D R F2 L2 B'
D L2 R' F2 B R2
D L2 R' B R2 F2
D L2 R' B F2 R2
D R F2 L2 D B'
D R F2 L2 D' B'
D R F2 L2 D2 B'
D R F2 L2 B' D
D R F2 L2 B' D'
D R F2 L2 B' D2
D R F2 B L2 B'
D R F2 B' L2 B'
D R F2 B2 L2 B'
D R B F2 L2 B'
D R B' F2 L2 B'
D R B2 F2 L2 B'
D R' L2 F2 B R2
D R' L2 B R2 F2
D R' L2 B F2 R2
D R' F2 L2 B R2
D R' F2 B L2 R2
D R' F2 B R2 L2
D R' B L2 R2 F2
D R' B L2 F2 R2
D R' B R2 L2 F2
D R' B R2 F2 L2
D R' B F2 L2 R2
D R' B F2 R2 L2
R2 D L2 R' F2 B
R2 D L2 R' B F2
R2 D L2 F2 R' B
R2 D R' L2 F2 B
R2 D R' L2 B F2
R2 D R' F2 L2 B
R2 D R' F2 B L2
R2 D R' B L2 F2
R2 D R' B F2 L2
D' R2 B2 L U2 B'
U' D R F2 L2 B'
R2 D F2 L2 R' B
U2 D R F2 L2 B'
R2 D F2 R' L2 B
R2 D F2 R' B L2
U D R F2 L2 B'
D U R F2 L2 B'
D U' R F2 L2 B'
D U2 R F2 L2 B'
D F2 L2 B2 R' B
D B R F2 L2 B'
D B' R F2 L2 B'
D B2 R F2 L2 B'
R F U L2 B2 R' U'
B2 D R' U' F2 B R2
B2 D R' U' B R2 F2
B2 D R' U' B F2 R2
B2 D U' R' F2 B R2
B2 D U' R' B R2 F2
B2 D U' R' B F2 R2
F2 D U' F2 L2 R B
F2 D U' F2 R L2 B
F2 D U' F2 R B L2
R' F' L2 R B2 U' R
R' F' L2 B2 R U' R
R' F' R L2 B2 U' R
R2 F' L2 R B2 U' R2
R' F' R B2 L2 U' R
R2 F' R L2 B2 U' R2
L2 F' R F B2 U' R
L2 F' R B2 F U' R
R2 F' R B2 L2 U' R2
R F' L2 B2 R U' R'
R2 F' R' D L2 F2 B2
R2 F' R' D L2 B2 F2
R2 F' R' D F2 L2 B2
R2 F' R' D F2 B2 L2
R2 F' R' D B2 L2 F2
R2 F' R' D B2 F2 L2
R F' U L2 R B2 U'
R F' U L2 B2 R U'
R F' U R L2 B2 U'
R F' U R B2 L2 U'
R F' U B2 L2 R U'
R F' U B2 R L2 U'
R' F' B2 L2 R U' R
R' F' B2 R L2 U' R
L2 F' B2 R F U' R
D' F2 L' R2 F B2 U2
D' F2 L' R2 B2 F U2
D' F2 L' F R2 B2 U2
R F' B2 L2 R U' R'
D' F2 L' F B2 R2 U2
R F' B2 R L2 U' R'
D F2 L D2 L R2 B'
D F2 L D2 L B' R2
D' F2 L' B2 R2 F U2
D F2 L D2 R2 L B'
D' F2 L' B2 F R2 U2
D F2 L2 R' B2 R' B'
D F2 L2 B R' B R'
D F2 L2 B2 R' D B
D F2 L2 B2 R' D' B
D F2 L2 B2 R' D2 B
D F2 L2 B2 R' B D
D F2 L2 B2 R' B D'
D F2 L2 B2 R' B D2
D' F2 R2 L' F B2 U2
D' F2 R2 L' B2 F U2
D F2 R' L2 B2 R' B'
D' F2 R2 B2 L' F U2
D F2 R' B' L2 B2 R'
D F2 B L2 B2 R' B
D' F2 B2 L' R2 F U2
D' F2 B2 L' F R2 U2
D' F2 B2 R2 L' F U2
D F2 B' L2 B2 R' B
L2 F2 B2 U L' U2 B'
D F2 B2 L2 B2 R' B
D B L2 R' F2 B R2
D B L2 R' B R2 F2
D B L2 R' B F2 R2
D B R F2 L2 D B'
D B R F2 L2 D' B'
D B R F2 L2 D2 B'
D B R F2 L2 B' D
D B R F2 L2 B' D'
D B R F2 L2 B' D2
D B R F2 B L2 B'
D B R F2 B' L2 B'
D B R F2 B2 L2 B'
D B R B F2 L2 B'
D B R B' F2 L2 B'
D B R B2 F2 L2 B'
D B R' L2 F2 B R2
D B R' L2 B R2 F2
D B R' L2 B F2 R2
D2 B R2 F2 L' U R'
D B R' F2 L2 B R2
D B R' F2 B L2 R2
D B R' F2 B R2 L2
D B R' B L2 R2 F2
D B R' B L2 F2 R2
D B R' B R2 L2 F2
D B R' B R2 F2 L2
D B R' B F2 L2 R2
D B R' B F2 R2 L2
D B U R F2 L2 B'
D B U' R F2 L2 B'
D B U2 R F2 L2 B'
L2 B D2 B R' U' R2
D2 B' L R2 F2 U R'
D B F2 L2 B2 R' B
D B' L2 R' F2 B R2
D B' L2 R' B R2 F2
D B' L2 R' B F2 R2
D2 B' R2 L F2 U R'
D B' R F2 L2 D B'
D B' R F2 L2 D' B'
D B' R F2 L2 D2 B'
D B' R F2 L2 B' D
D B' R F2 L2 B' D'
D B' R F2 L2 B' D2
D B' R F2 B L2 B'
D B' R F2 B' L2 B'
D B' R F2 B2 L2 B'
D B' R B F2 L2 B'
D B' R B' F2 L2 B'
D B' R B2 F2 L2 B'
D2 B' R2 F2 L U R'
D B' R' L2 F2 B R2
D B' R' L2 B R2 F2
D B' R' L2 B F2 R2
D B' R' F2 L2 B R2
D B' R' F2 B L2 R2
D B' R' F2 B R2 L2
D B' R' B L2 R2 F2
D B' R' B L2 F2 R2
D B' R' B R2 L2 F2
D B' R' B R2 F2 L2
D B' R' B F2 L2 R2
D B' R' B F2 R2 L2
B2 F' L2 R F U' R
D B' U R F2 L2 B'
B2 F' R L2 F U' R
D B' U' R F2 L2 B'
B2 F' R F L2 U' R
D B' U2 R F2 L2 B'
D' B2 L R2 U2 R' B'
D B' F2 L2 B2 R' B
D' B2 L' R2 F U2 R'
R' B2 L2 F' R U' R
D B2 L2 R' F2 B R2
D B2 L2 R' B R2 F2
D B2 L2 R' B F2 R2
R2 B2 L2 F2 U' R B
L2 B2 R F' R U' R'
F' B2 L2 R F U' R
D' B2 R2 L U2 R' B'
B2 F2 L2 U L F U2
D' B2 R2 L' F U2 R'
F2 B2 L2 U L F U2
D B2 R F2 L2 D B'
D B2 R F2 L2 D' B'
D B2 R F2 L2 D2 B'
D B2 R F2 L2 B' D
D B2 R F2 L2 B' D'
D B2 R F2 L2 B' D2
D B2 R F2 B L2 B'
D B2 R F2 B' L2 B'
D B2 R F2 B2 L2 B'
D' B2 R2 U2 D2 R' B
D B2 R B F2 L2 B'
R B2 L2 F' R U' R'
L2 B2 R' F' R U' R
D B2 R B' F2 L2 B'
D B2 R B2 F2 L2 B'
D' B2 R2 D2 U2 R' B
D B2 R' L2 F2 B R2
D B2 R' L2 B R2 F2
D B2 R' L2 B F2 R2
F' B2 R L2 F U' R
L2 B2 R2 U' D R' B
L2 B2 R2 D U' R' B
D B2 R' F2 L2 B R2
F' B2 R F L2 U' R
D B2 R' F2 B L2 R2
D B2 R' F2 B R2 L2
D B2 R' B L2 R2 F2
D B2 R' B L2 F2 R2
D B2 R' B R2 L2 F2
D B2 R' B R2 F2 L2
D B2 R' B F2 L2 R2
D B2 R' B F2 R2 L2
L2 B2 R2 F' R U' R2
D B2 U R F2 L2 B'
L2 B2 U' R2 D R' B
L2 B2 U' D R' B R2
D B2 U' R F2 L2 B'
D B2 U2 R F2 L2 B'
L2 B2 D R' U' B R2
L2 B2 D U' R' B R2
B2 F2 U' D F2 R B
F2 B2 U' D F2 R B
B2 F2 D U' F2 R B
F2 B2 D U' F2 R B
R' B2 F' L2 R U' R
R' B2 F' R L2 U' R
D' B2 F2 L' R2 F U2
D' B2 F2 L' F R2 U2
L2 B2 F' R F U' R
D' B2 F2 R2 L' F U2
L2 B2 F2 U L' U2 B'
D B2 F2 L2 B2 R' B
R B2 F' L2 R U' R'
R B2 F' R L2 U' R'
