D' L U2 F B'
D' L U2 B' F
F' L U' R U' F
F L U2 D' F B2
F L U2 D' B2 F
D' L U2 D F B'
D' L U2 D B' F
D' L U2 D' F B'
D' L U2 D' B' F
D' L U2 D2 F B'
F L U2 F D' B2
D' L U2 D2 B' F
D' L U2 F D B'
D' L U2 F D' B'
D' L U2 F D2 B'
D' L U2 F B' D
D' L U2 F B' D'
D' L U2 F B' D2
D' L U2 B' D F
D' L U2 B' D' F
D' L U2 B' D2 F
D' L U2 B' F D
D' L U2 B' F D'
D' L U2 B' F D2
D' L D U2 F B'
D' L D U2 B' F
F L D F2 U2 F'
D' L D' U2 F B'
D' L D' U2 B' F
F L D' U2 F B2
F L D' U2 B2 F
D' L D2 U2 F B'
D' L D2 U2 B' F
D' L F' U2 F2 B'
D' L F' U2 B' F2
D' L F2 U2 F' B'
D' L F2 U2 B' F'
D' L B U2 F B2
D' L B U2 B2 F
D' L B2 U2 F B
D' L B2 U2 B F
D' L' F L2 U2 F
D' L' F B' L2 U2
D' L' B' L2 U2 B'
D' L' B' F L2 U2
L U2 F U' L' U
U2 D B2 R' F' B
U2 D B2 R' B F'
B2 U2 D R' F' B
B2 U2 D R' B F'
D' F L U2 F B'
D' F L U2 B' F
D U2 B2 R' F' B
D U2 B2 R' B F'
D' F' L U2 F B'
D' F' L U2 B' F
B2 D U2 R' F' B
B2 D U2 R' B F'
L F' U' R U' F2
D' F2 L U2 F B'
D' F2 L U2 B' F
U2 B2 D R' F' B
U2 B2 D R' B F'
D B2 U2 R' F' B
D B2 U2 R' B F'
B2 D' B2 L U2 B' F
F' D2 L U' R U' F
L F2 U L' U F' B'
L F2 U L' U B' F'
D2 F2 D L U2 F B'
D2 F2 D L U2 B' F
F D2 L U2 D' F B2
F D2 L U2 D' B2 F
F D2 L U2 F D' B2
F D2 L D F2 U2 F'
F D2 L D' U2 F B2
F D2 L D' U2 B2 F
D F2 U2 B2 R' F' B
D F2 U2 B2 R' B F'
D F2 D2 L U2 F B'
D F2 D2 L U2 B' F
D F2 B2 U2 R' F' B
D F2 B2 U2 R' B F'
D' B L' F B' L U2
D' B L' B' F L U2
D B U2 R' F' B R'
D B U2 R' B F' R'
D B U2 B R' F' B
D B U2 B R' B F'
L B U2 F U' L' U
B2 F U L' U R' F'
D' B' L U2 F R B'
D' B' L U2 F B' R
D' B' L U2 B' F R
L' B' L D' L U2 B'
L B F' U' R U' F2
L' B' L' D' L' F U2
D' B' L' F B' U2 R'
D' B' L' B' F U2 R'
L' B' L2 F U L' U
L' B' L2 F' U' R U'
D B' L' B' U2 R' B
U2 B' D B' R' F' B
U2 B' D B' R' B F'
L B' U2 F U' L' U
L' B' F L2 U L U
L' B' F' L2 U' R U'
B2 F' U2 R' D F' B2
B2 F' U2 R' D B2 F'
B2 F' U2 R' F' D B2
D' B2 L U2 R' F B'
D' B2 L U2 R' B' F
D' B2 L U2 F R' B'
L B' F' U' R U' F2
D B2 L U2 R' F B
D B2 L U2 R' B F
D B2 L U2 F R' B
R B2 L D R' F B
R B2 L D R' B F
R B2 L D F R' B
U2 B2 R' F' U R U'
R B2 R' D' L F B'
R B2 R' D' L B' F
D' B2 U2 D2 R' F' B
D' B2 U2 D2 R' B F'
D B2 U2 R' D F' B
D B2 U2 R' D B F'
D B2 U2 R' D' F' B
D B2 U2 R' D' B F'
D B2 U2 R' D2 F' B
D B2 U2 R' D2 B F'
D B2 U2 R' F' D B
D B2 U2 R' F' D' B
D B2 U2 R' F' D2 B
D B2 U2 R' F' B D
D B2 U2 R' F' B D'
D B2 U2 R' F' B D2
D B2 U2 R' B D F'
D B2 U2 R' B D' F'
D B2 U2 R' B D2 F'
D B2 U2 R' B F' D
D B2 U2 R' B F' D'
D B2 U2 R' B F' D2
U2 B2 D R' D F' B
U2 B2 D R' D B F'
U2 B2 D R' D' F' B
U2 B2 D R' D' B F'
U2 B2 D R' D2 F' B
U2 B2 D R' D2 B F'
U2 B2 D R' F' D B
U2 B2 D R' F' D' B
U2 B2 D R' F' D2 B
U2 B2 D R' F' B D
U2 B2 D R' F' B D'
U2 B2 D R' F' B D2
U2 B2 D R' B D F'
U2 B2 D R' B D' F'
U2 B2 D R' B D2 F'
U2 B2 D R' B F' D
U2 B2 D R' B F' D'
U2 B2 D R' B F' D2
D B2 U2 F R' F' B
D B2 U2 F R' B F'
D B2 U2 F' R' F' B
D B2 U2 F' R' B F'
D B2 U2 F2 R' F' B
D B2 U2 F2 R' B F'
U2 B2 D F R' F' B
U2 B2 D F R' B F'
U2 B2 D F' R' F' B
U2 B2 D F' R' B F'
U2 B2 D F2 R' F' B
U2 B2 D F2 R' B F'
F B2 U L' U R' F'
L B2 U2 F U' L' U
F' B2 U2 R' D F' B2
F' B2 U2 R' D B2 F'
F' B2 U2 R' F' D B2
D' B2 D2 U2 R' F' B
D' B2 D2 U2 R' B F'
R B2 D L R' F B
R B2 D L R' B F
R B2 D L F R' B
R B2 D R' L F B
R B2 D R' L B F
R B2 D' L R' F B'
R B2 D' L R' B' F
R B2 D' L F R' B'
R B2 D' R' L F B'
R B2 D' R' L B' F
U2 B2 F' R' D F' B2
U2 B2 F' R' D B2 F'
U2 B2 F' R' F' D B2
D B2 F U2 R' F' B
D B2 F U2 R' B F'
D B2 F' U2 R' F' B
D B2 F' U2 R' B F'
L B2 F' U' R U' F2
D B2 F2 U2 R' F' B
D B2 F2 U2 R' B F'
