D L2 R2 B' D' R2
D L2 U F' U' B'
B2 L2 F' U' F B'
B2 L2 F' U' B' F
D L2 B' U F' U'
L2 U F' B2 U' B
L2 U B2 F' U' B
D R2 L2 B' D' R2
R' D L2 B R' B2
R2 D L2 B' D' R2
R' D B L2 R' B'
R' D B R' L2 B'
R' D B2 L2 B' R'
F' U' F D L2 B'
F U' F2 B2 U' F
F U' B2 F2 U' F
F U2 D L2 F' R2
F U2 D F' L2 R2
F U2 D F' R2 L2
U2 F U' F2 B2 U'
U2 F U' B2 F2 U'
U2 F U2 D L2 R2
U2 F U2 D R2 L2
U2 F D U2 L2 R2
U2 F D U2 R2 L2
U2 F D' L2 R2 U2
U2 F D' R2 L2 U2
F' D R2 U' F L2
F D U2 L2 F' R2
F D U2 F' L2 R2
F D U2 F' R2 L2
F D F' L2 R2 B'
F D F' L2 B' R2
F D F' R2 L2 B'
D F' U' F L2 B'
U F' D R2 U' L2
F D' L2 R2 B U2
L2 F' B2 U' F B
L2 F' B2 U' B F
F D' R2 L2 B U2
F D' R2 B L2 U2
U F' B2 U F2 U2
U F' B2 U' D2 B2
U F' B2 D R2 U'
U F' B2 D2 U' B2
L2 B' U F' B' U'
L2 B' U B' F' U'
B2 F' U F2 U2 F'
B2 F' U' D2 F B2
B2 F' U' D2 B2 F
B2 F' D R2 U' F
B2 F' D2 U' F B2
B2 F' D2 U' B2 F
F' B2 U F2 U2 F'
F' B2 U' D2 F B2
F' B2 U' D2 B2 F
F' B2 D R2 U' F
F' B2 D2 U' F B2
F' B2 D2 U' B2 F
L2 B2 F' U' F B
L2 B2 F' U' B F
U B2 F' U F2 U2
U B2 F' U' D2 B2
U B2 F' D R2 U'
U B2 F' D2 U' B2
F D B' F' L2 B' R2
F D B' F' R2 L2 B'
L2 F' U' D F B' L2
L2 F' U' D B' F L2
L2 F' U' F D B' L2
U F' U F2 U' B2 U'
U F' U F2 U2 D L2
U F' U F2 D U2 L2
U F' U F2 D' R2 U2
F D B2 U2 L2 F' R2
F D B2 U2 F' L2 R2
F D B2 U2 F' R2 L2
D F' U' F L2 D B'
D F' U' F L2 D' B'
D F' U' F L2 D2 B'
D F' U' F L2 B' D
D F' U' F L2 B' D'
D F' U' F L2 B' D2
D F' U' F B L2 B'
D F' U' F B' L2 B'
D F' U' F B2 L2 B'
F D B2 F' L2 R2 B'
F D B2 F' L2 B' R2
F D B2 F' R2 L2 B'
D F' U' B F L2 B'
U F' U' D L2 D B2
D F' U' B' F L2 B'
D2 F' D R2 B U' F
D F' U' B2 F L2 B'
D' F' D R2 B2 U' F
U F' U' D2 B2 D' L2
D' F' D B2 R2 U' F
L2 F' D U' F B' L2
L2 F' D U' B' F L2
U F' U2 D2 F2 U B2
F D' L' R2 B L' U2
B2 D' L2 F' U' F B'
B2 D' L2 F' U' B' F
U F' D R2 U' L2 D
U F' D R2 U' L2 D'
U F' D R2 U' L2 D2
U F' D R2 D' B2 U'
U F' D R2 B U' L2
U F' D R2 B' U' L2
U F' D R2 B2 U' L2
U F' D U' L2 D B2
F D' L2 R2 D B U2
F D' L2 R2 D' B U2
F D' L2 R2 D2 B U2
F D' L2 R2 B U2 D
F D' L2 R2 B U2 D'
F D' L2 R2 B U2 D2
F D' L2 R2 B D U2
F D' L2 R2 B D' U2
F D' L2 R2 B D2 U2
D' F' D2 U' F L2 B2
D' F' D2 U' F B2 L2
D' F' D2 U' B2 F L2
F D' L2 U2 D2 L2 F'
F D' L2 U2 D2 F' L2
F D' L2 U2 F' D2 L2
U F' D B R2 U' L2
U F' D B' R2 U' L2
U F' D B2 R2 U' L2
F D' L2 D2 U2 L2 F'
F D' L2 D2 U2 F' L2
F D' L2 B R2 B U2
F D' L2 B' R2 B U2
F D' L2 B2 R2 B U2
U F' D2 U' B2 D' L2
U F' D2 U2 F2 U B2
U' F' B2 U F2 U2 F2
D F' B U' F L2 B'
F D' R2 L' B L' U2
F D' R2 L2 D B U2
F D' R2 L2 D' B U2
F D' R2 L2 D2 B U2
F D' R2 L2 B U2 D
F D' R2 L2 B U2 D'
F D' R2 L2 B U2 D2
F D' R2 L2 B D U2
F D' R2 L2 B D' U2
F D' R2 L2 B D2 U2
U F' B D B R2 U'
F D' R2 U2 D2 R2 F'
U F' B D2 B U' B
D F' B' U' F L2 B'
U2 F' B2 U F2 B2 U2
F D' R2 D2 U2 R2 F'
U2 F' B2 U B2 F2 U2
F D' R2 D2 B U2 R2
U2 F' B2 U' D2 F2 B2
U2 F' B2 U' D2 B2 F2
L2 F' B2 U' D F B
L2 F' B2 U' D B F
L2 F' B2 U' D' F B
L2 F' B2 U' D' B F
L2 F' B2 U' D2 F B
L2 F' B2 U' D2 B F
L2 F' B2 U' F D B
L2 F' B2 U' F D' B
L2 F' B2 U' F D2 B
L2 F' B2 U' F B D
L2 F' B2 U' F B D'
L2 F' B2 U' F B D2
L2 F' B2 U' B D F
L2 F' B2 U' B D' F
L2 F' B2 U' B D2 F
L2 F' B2 U' B F D
L2 F' B2 U' B F D'
L2 F' B2 U' B F D2
U2 F' B2 D L2 R2 U'
U2 F' B2 D R2 L2 U'
L2 F' B2 D U' F B
L2 F' B2 D U' B F
F D' R2 B L2 U2 D
F D' R2 B L2 U2 D'
F D' R2 B L2 U2 D2
F D' R2 B L2 D U2
F D' R2 B L2 D' U2
F D' R2 B L2 D2 U2
L2 F' B2 D' U' F B
L2 F' B2 D' U' B F
F D' R2 B U2 D2 R2
F D' R2 B D2 U2 R2
U2 F' B2 D2 U' F2 B2
U2 F' B2 D2 U' B2 F2
F D' R2 B' L2 B2 U2
L2 F' B2 D2 U' F B
L2 F' B2 D2 U' B F
F D' R2 B2 L2 U2 F
U F' B' D R2 B' U'
U F' B' D B' R2 U'
U F' B' D2 B' U' B'
D F' B2 U' F L2 B'
U F' B2 R U F2 U2
U F' B2 R U' D2 B2
U F' B2 R D R2 U'
U F' B2 R D2 U' B2
U F' B2 R' U F2 U2
U F' B2 R' U' D2 B2
U F' B2 R' D R2 U'
U F' B2 R' D2 U' B2
U F' B2 R2 U F2 U2
U F' B2 R2 U' D2 B2
U F' B2 R2 D R2 U'
U F' B2 R2 D2 U' B2
U F' B2 U F2 U2 D
U F' B2 U F2 U2 D'
U F' B2 U F2 U2 D2
U F' B2 U F2 D U2
U F' B2 U F2 D' U2
U F' B2 U F2 D2 U2
U F' B2 U' D2 B2 D
U F' B2 U' D2 B2 D'
U F' B2 U' D2 B2 D2
U F' B2 U' B D2 B2
U F' B2 U' B' D2 B2
U F' B2 U' B2 D2 B2
U F' B2 U2 D' L2 U
U F' B2 D R2 U' D
U F' B2 D R2 U' D'
U F' B2 D R2 U' D2
U F' B2 D R2 D U'
U F' B2 D R2 D' U'
U F' B2 D R2 D2 U'
U F' B2 D' U2 L2 U
U F' B2 D2 R U' B2
U F' B2 D2 R' U' B2
U F' B2 D2 R2 U' B2
U F' B2 D2 U' B2 D
U F' B2 D2 U' B2 D'
U F' B2 D2 U' B2 D2
F D' U2 F' D2 L2 R2
F D' U2 F' D2 R2 L2
B2 D' F' U F2 U2 F'
B2 D' F' U' D2 F B2
B2 D' F' U' D2 B2 F
B2 D' F' D R2 U' F
B2 D' F' D2 U' F B2
B2 D' F' D2 U' B2 F
F D' F' D2 L2 R2 B'
F D' F' D2 L2 B' R2
F D' F' D2 R2 L2 B'
F D' B L2 R2 B U2
F D' B R2 L2 B U2
F D' B R2 B L2 U2
F D' B' L2 R2 B U2
U F2 R2 F B2 U' B'
F D' B' R2 L2 B U2
F D' B' R2 B L2 U2
U F2 R2 B2 F U' B'
F D' B2 L2 R2 B U2
F D' B2 R2 L2 B U2
F D' B2 R2 B L2 U2
B2 D2 L2 F' U' F B'
B2 D2 L2 F' U' B' F
F' D2 U' B2 D' F L2
F' D2 U2 F2 U F' B2
F' D2 U2 F2 U B2 F'
F D2 U F2 B2 U F
U F2 B2 R2 F U' B
F D2 U B2 F2 U F
B2 D2 F' U F2 U2 F'
B2 D2 F' U' D2 F B2
B2 D2 F' U' D2 B2 F
B2 D2 F' D R2 U' F
D B L2 R2 B' D' R2
D B L2 U F' U' B'
B2 D2 F' D2 U' F B2
B2 D2 F' D2 U' B2 F
D B L2 B' U F' U'
D B R2 L2 B' D' R2
L2 B U F' B U' B
L2 B U B F' U' B
D B F' U' F L2 B'
B' F U' F2 B' U' F
B' F U' B' F2 U' F
U B F' D B R2 U'
U B F' D2 B U' B
B F U' F2 B U' F
B F U' B F2 U' F
F B U' F2 B U' F
F B U' B F2 U' F
F' B D B R2 U' F
D B' L2 R2 B' D' R2
D B' L2 U F' U' B'
D B' L2 B' U F' U'
F' B D2 B U' F B
F' B D2 B U' B F
D B' R2 L2 B' D' R2
L' B' U F' B' R' U'
L' B' U B' F' R' U'
L2 B' U D F' B' U'
L2 B' U D B' F' U'
L2 B' U D' F' B' U'
L2 B' U D' B' F' U'
L2 B' U D2 F' B' U'
L2 B' U D2 B' F' U'
L2 B' U F' D B' U'
L2 B' U F' D' B' U'
L2 B' U F' D2 B' U'
L2 B' U F' B' U' D
L2 B' U F' B' U' D'
L2 B' U F' B' U' D2
L2 B' U F' B' D U'
L2 B' U F' B' D' U'
L2 B' U F' B' D2 U'
B2 F' L2 U F2 B' U2
B2 F' L2 U B' F2 U2
L2 B' U B' D F' U'
L2 B' U B' D' F' U'
L2 B' U B' D2 F' U'
L2 B' U B' F' U' D
L2 B' U B' F' U' D'
L2 B' U B' F' U' D2
L2 B' U B' F' D U'
L2 B' U B' F' D' U'
L2 B' U B' F' D2 U'
B2 F' R U F2 U2 F'
B2 F' R U' D2 F B2
B2 F' R U' D2 B2 F
B2 F' R D R2 U' F
B2 F' R D2 U' F B2
B2 F' R D2 U' B2 F
B2 F' R' U F2 U2 F'
B2 F' R' U' D2 F B2
B2 F' R' U' D2 B2 F
B2 F' R' D R2 U' F
B2 F' R' D2 U' F B2
B2 F' R' D2 U' B2 F
L2 B' D U F' B' U'
L2 B' D U B' F' U'
B2 F' R2 U F2 U2 F'
B2 F' R2 U' D2 F B2
B2 F' R2 U' D2 B2 F
B2 F' R2 D R2 U' F
B2 F' R2 D2 U' F B2
B2 F' R2 D2 U' B2 F
L2 B' D' U F' B' U'
L2 B' D' U B' F' U'
B2 F' U F2 U2 D F'
B2 F' U F2 U2 D' F'
B2 F' U F2 U2 D2 F'
B2 F' U F2 U2 F' D
B2 F' U F2 U2 F' D'
B2 F' U F2 U2 F' D2
B2 F' U F2 D U2 F'
B2 F' U F2 D' U2 F'
B2 F' U F2 D2 U2 F'
B2 F' U F2 B U2 F'
B2 F' U F2 B' U2 F'
B2 F' U F2 B2 U2 F'
L2 B' D2 U F' B' U'
L2 B' D2 U B' F' U'
B2 F' U B F2 U2 F'
B2 F' U B' F2 U2 F'
B2 F' U B2 F2 U2 F'
B2 F' U' D F D B2
B2 F' U' D' F D' B2
B2 F' U' D2 F B2 D
B2 F' U' D2 F B2 D'
B2 F' U' D2 F B2 D2
B2 F' U' D2 B2 D F
B2 F' U' D2 B2 D' F
B2 F' U' D2 B2 D2 F
B2 F' U' D2 B2 F D
B2 F' U' D2 B2 F D'
B2 F' U' D2 B2 F D2
B2 F' U' F L2 B' L2
B2 F' U' F U2 F U2
B2 F' U' B D2 F B2
B2 F' U' B D2 B2 F
B2 F' U' B' D2 F B2
B2 F' U' B' D2 B2 F
B2 F' U' B2 D2 F B2
B2 F' U' B2 D2 B2 F
B' F' D R2 B' U' F
F' B' D R2 B' U' F
B' F' D B' R2 U' F
F B' U' F2 B' U' F
B2 F' D R2 U' D F
B2 F' D R2 U' D' F
B2 F' D R2 U' D2 F
B2 F' D R2 U' F D
B2 F' D R2 U' F D'
B2 F' D R2 U' F D2
B2 F' D R2 D U' F
B2 F' D R2 D' U' F
B2 F' D R2 D2 U' F
D B' F' U' F L2 B'
F B' U' B' F2 U' F
B2 F' D U' F D B2
F' B' D B' R2 U' F
U B' F' D R2 B' U'
U B' F' D B' R2 U'
U B' F' D2 B' U' B'
B2 F' D' U' F D' B2
L2 B2 L F' U' F B
L2 B2 L F' U' B F
B F' D B R2 U' F
L' B2 L' F' U' F B'
L' B2 L' F' U' B' F
B' F' D2 B' U' F B'
B' F' D2 B' U' B' F
B2 F' D2 R U' F B2
B2 F' D2 R U' B2 F
B2 F' D2 R' U' F B2
B2 F' D2 R' U' B2 F
B2 F' D2 R2 U' F B2
B2 F' D2 R2 U' B2 F
B2 F' D2 U' F B2 D
B2 F' D2 U' F B2 D'
B2 F' D2 U' F B2 D2
B2 F' D2 U' B2 D F
B2 F' D2 U' B2 D' F
B2 F' D2 U' B2 D2 F
B2 F' D2 U' B2 F D
B2 F' D2 U' B2 F D'
B2 F' D2 U' B2 F D2
L2 B2 L' F' U' F B
L2 B2 L' F' U' B F
F' B' D2 B' U' F B'
F' B' D2 B' U' B' F
L B2 L F' U' F B'
L B2 L F' U' B' F
L2 B2 L2 F' U' F B
L2 B2 L2 F' U' B F
D B2 L2 R2 B' D' R2
D B2 L2 U F' U' B'
B F' D2 B U' F B
B F' D2 B U' B F
R2 B2 L2 F U' F' B'
R2 B2 L2 F U' B' F'
D B2 L2 B' U F' U'
F' B2 L2 U F2 B' U2
F' B2 L2 U B' F2 U2
U B2 R U F U2 R
F' B2 R U F2 U2 F'
F' B2 R U' D2 F B2
F' B2 R U' D2 B2 F
F' B2 R D R2 U' F
F' B2 R D2 U' F B2
F' B2 R D2 U' B2 F
D B2 R2 L2 B' D' R2
F' B2 R' U F2 U2 F'
F' B2 R' U' D2 F B2
F' B2 R' U' D2 B2 F
F' B2 R' D R2 U' F
F' B2 R' D2 U' F B2
F' B2 R' D2 U' B2 F
F' B2 R2 U F2 U2 F'
F' B2 R2 U' D2 F B2
F' B2 R2 U' D2 B2 F
F' B2 R2 D R2 U' F
F' B2 R2 D2 U' F B2
F' B2 R2 D2 U' B2 F
B2 F2 R2 F U' F B
B2 F2 R2 F U' B F
F2 B2 R2 F U' F B
F2 B2 R2 F U' B F
U B2 U F U' F2 U'
U B2 U F U2 D R2
U B2 U F D U2 R2
U B2 U F D' L2 U2
F' B2 U F2 U2 D F'
F' B2 U F2 U2 D' F'
F' B2 U F2 U2 D2 F'
F' B2 U F2 U2 F' D
F' B2 U F2 U2 F' D'
F' B2 U F2 U2 F' D2
F' B2 U F2 D U2 F'
F' B2 U F2 D' U2 F'
F' B2 U F2 D2 U2 F'
F' B2 U F2 B U2 F'
F' B2 U F2 B' U2 F'
F' B2 U F2 B2 U2 F'
F' B2 U B F2 U2 F'
F' B2 U B' F2 U2 F'
F' B2 U B2 F2 U2 F'
U2 B2 D L2 F' U' B'
F' B2 U' D F D B2
F' B2 U' D' F D' B2
F' B2 U' D2 F B2 D
F' B2 U' D2 F B2 D'
F' B2 U' D2 F B2 D2
F' B2 U' D2 B2 D F
F' B2 U' D2 B2 D' F
F' B2 U' D2 B2 D2 F
F' B2 U' D2 B2 F D
F' B2 U' D2 B2 F D'
F' B2 U' D2 B2 F D2
F' B2 U' F L2 B' L2
F' B2 U' F U2 F U2
L2 B2 D F' U' F B
L2 B2 D F' U' B F
F' B2 U' B D2 F B2
F' B2 U' B D2 B2 F
F' B2 U' B' D2 F B2
F' B2 U' B' D2 B2 F
F' B2 U' B2 D2 F B2
F' B2 U' B2 D2 B2 F
L2 B2 D' F' U' F B
L2 B2 D' F' U' B F
L B2 D F' R U' F
U B2 D F' U F2 U2
U B2 D F' U' D2 B2
U B2 D F' D R2 U'
U B2 D F' D2 U' B2
F' B2 D R2 U' D F
F' B2 D R2 U' D' F
F' B2 D R2 U' D2 F
F' B2 D R2 U' F D
F' B2 D R2 U' F D'
F' B2 D R2 U' F D2
F' B2 D R2 D U' F
F' B2 D R2 D' U' F
F' B2 D R2 D2 U' F
F' B2 D U' F D B2
L2 B2 D2 F' U' F B
L2 B2 D2 F' U' B F
U' B2 F' U F2 U2 F2
U B2 D' F' U F2 U2
U B2 D' F' U' D2 B2
U B2 D' F' D R2 U'
U B2 D' F' D2 U' B2
F' B2 D' U' F D' B2
F' B2 D2 R U' F B2
F' B2 D2 R U' B2 F
U B2 D2 F' U F2 U2
U B2 D2 F' U' D2 B2
U B2 D2 F' D R2 U'
F' B2 D2 R' U' F B2
F' B2 D2 R' U' B2 F
U B2 D2 F' D2 U' B2
F' B2 D2 R2 U' F B2
F' B2 D2 R2 U' B2 F
L2 B2 F' U' D F B
L2 B2 F' U' D B F
L2 B2 F' U' D' F B
L2 B2 F' U' D' B F
L2 B2 F' U' D2 F B
L2 B2 F' U' D2 B F
L2 B2 F' U' F D B
L2 B2 F' U' F D' B
L2 B2 F' U' F D2 B
L2 B2 F' U' F B D
L2 B2 F' U' F B D'
L2 B2 F' U' F B D2
U2 B2 F' U F2 B2 U2
L2 B2 F' U' B D F
L2 B2 F' U' B D' F
L2 B2 F' U' B D2 F
L2 B2 F' U' B F D
L2 B2 F' U' B F D'
L2 B2 F' U' B F D2
U2 B2 F' U B2 F2 U2
U2 B2 F' U' D2 F2 B2
U2 B2 F' U' D2 B2 F2
F' B2 D2 U' F B2 D
F' B2 D2 U' F B2 D'
F' B2 D2 U' F B2 D2
F' B2 D2 U' B2 D F
F' B2 D2 U' B2 D' F
F' B2 D2 U' B2 D2 F
F' B2 D2 U' B2 F D
F' B2 D2 U' B2 F D'
F' B2 D2 U' B2 F D2
L2 B2 F' D U' F B
L2 B2 F' D U' B F
U2 B2 F' D L2 R2 U'
U2 B2 F' D R2 L2 U'
L2 B2 F' D' U' F B
L2 B2 F' D' U' B F
L2 B2 F' D2 U' F B
L2 B2 F' D2 U' B F
U2 B2 F' D2 U' F2 B2
U2 B2 F' D2 U' B2 F2
D B2 F' U' F L2 B'
U B2 F' R U F2 U2
U B2 F' R U' D2 B2
U B2 F' R D R2 U'
U B2 F' R D2 U' B2
U B2 F' R' U F2 U2
U B2 F' R' U' D2 B2
U B2 F' R' D R2 U'
U B2 F' R' D2 U' B2
U B2 F' R2 U F2 U2
U B2 F' R2 U' D2 B2
U B2 F' R2 D R2 U'
U B2 F' R2 D2 U' B2
U B2 F' U F2 U2 D
U B2 F' U F2 U2 D'
U B2 F' U F2 U2 D2
U B2 F' U F2 D U2
U B2 F' U F2 D' U2
U B2 F' U F2 D2 U2
U B2 F' U' D2 B2 D
U B2 F' U' D2 B2 D'
U B2 F' U' D2 B2 D2
U B2 F' U' B D2 B2
U B2 F' U' B' D2 B2
U B2 F' U' B2 D2 B2
U B2 F' U2 D' L2 U
U B2 F' D R2 U' D
U B2 F' D R2 U' D'
U B2 F' D R2 U' D2
U B2 F' D R2 D U'
U B2 F' D R2 D' U'
U B2 F' D R2 D2 U'
U B2 F' D' U2 L2 U
U B2 F' D2 R U' B2
U B2 F' D2 R' U' B2
U B2 F' D2 R2 U' B2
U B2 F' D2 U' B2 D
U B2 F' D2 U' B2 D'
U B2 F' D2 U' B2 D2
U B2 F2 R2 F U' B
