D R' F B
D R' B F
D F R' B
F R' U' L' U
D R' D F B
D R' D B F
D R' D' F B
D R' D' B F
D R' D2 F B
D R' D2 B F
D R' F D B
D R' F D' B
D R' F D2 B
D R' F B D
D R' F B D'
D R' F B D2
F' R' F2 D B2
D R' B D F
D R' B D' F
D R' B D2 F
D R' B F D
D R' B F D'
D R' B F D2
F U' L' U R'
R' F U' L' U
D F R' D B
D F R' D' B
D F R' D2 B
D F R' B D
D F R' B D'
D F R' B D2
D' F D2 R' B
D2 F D' R' B
D F' R' F2 B
D F' R' B F2
F R' D2 U' L' D U
F R' D2 U' L' D' U
D R' D2 F2 B D F'
D R' D2 F2 B D' F'
F R' D2 U' L' D2 U
D R' D2 F2 B D2 F'
D' R' F U' L U B'
D R' D2 B R F R'
D R' D2 B R2 F R2
D R' D2 B D F D
D R' D2 B D F D'
D R' D2 B D F D2
D R' D2 B D' F D
D R' D2 B D' F D'
D R' D2 B D' F D2
D R' D2 B D2 F D
D R' D2 B D2 F D'
D R' D2 B D2 F D2
D R' D2 B F2 D F'
D R' D2 B F2 D' F'
D R' D2 B F2 D2 F'
F' R' F U R2 U' F
D2 R' F D L B' L'
U' R' F U' L' F' U
D R' D2 B2 D F B'
D R' D2 B2 D B' F
D R' D2 B2 D' F B'
D R' D2 B2 D' B' F
D R' D2 B2 D2 F B'
D R' D2 B2 D2 B' F
D R' D2 B2 F D B'
D R' D2 B2 F D' B'
D R' D2 B2 F D2 B'
D R' F L D L' B
D2 R' F D' R' B R
D R' F L D B L'
D R' F L D' L' B
D R' F L D' B L'
D R' F L D2 L' B
D R' F L D2 B L'
D R' F L B L' D
D R' F L B L' D'
D R' F L B L' D2
D R' F L B D L'
D R' F L B D' L'
D R' F L B D2 L'
D R' F L B' L' B2
D R' F L' D L B
D R' F L' D' L B
D R' F L' D2 L B
D' R' F D2 R' B R
F' R' F D F B2 D
F' R' F D F B2 D'
F' R' F D F B2 D2
F R' D2 B U' L' U
F' R' F D B2 D F
F' R' F D B2 D' F
F' R' F D B2 D2 F
F' R' F D B2 F D
F' R' F D B2 F D'
F' R' F D B2 F D2
D2 R' F B U R' U'
D' R' F B L B' L'
L U2 L' D R' F B
L U2 L' D R' B F
D R' F L2 B L2 D
D R' F L2 B L2 D'
D R' F L2 B L2 D2
L U2 L' D F R' B
D R' F L2 B' L2 B2
F2 R' F U R U' F'
F R' D2 B' U' L' U
D2 R' F B' U' L U
D' R' F B' L B' L'
F' R' F D2 F D' B2
F R' D2 B2 U' L' U
D' R' F B2 L B' L'
D R' F R' D R B
D R' F R' D' R B
D R' F R' D2 R B
D R' F R' B R B
D R' F R' B' R B
D R' F R' B2 R B
F' R' F B D F B2
F' R' F B D B2 F
D' R' F' L B' L' F2
F' R' F B' D F B2
F' R' F B' D B2 F
D R' F R2 B R2 B
D R' F R2 B' R2 B
D R' F R2 B2 R2 B
F' R' F B2 D F B2
F' R' F B2 D B2 F
D R' F U' L U B
D R' F U' L' U B
D R' F U' L2 U B
B R' F U' L' B' U
D R' F U2 F U2 B
D R' F U2 F' U2 B
D R' F U2 F2 U2 B
D R' F D L B L'
D R' F D L2 B L2
L2 U2 L2 D R' F B
L2 U2 L2 D R' B F
D R' F D B2 D B'
D R' F D B2 D' B'
D R' F D B2 D2 B'
D R' F D' L B L'
L2 U2 L2 D F R' B
D R' F D' L2 B L2
D R' F D' B2 D B'
D R' F D' B2 D' B'
D R' F D' B2 D2 B'
D R' F D2 L B L'
D R' F D2 L2 B L2
D R' F D2 B2 D B'
D R' F D2 B2 D' B'
D R' F D2 B2 D2 B'
D R' F B L D L'
D R' F B L D' L'
D R' F B L D2 L'
D R' F B L' D L
D R' F B L' D' L
D R' F B L' D2 L
D R' F B R D R'
D R' F B R D' R'
D R' F B R D2 R'
D R' F B R' D R
D R' F B R' D' R
D R' F B R' D2 R
U R' F U' L' U L
D R' F B' L B2 L'
D R' F B' L2 B2 L2
D R' F B' R' B2 R
D R' F B' R2 B2 R2
D R' F B2 R' B' R
D R' F B2 R2 B' R2
D R' F B2 D B' D
D R' F B2 D B' D'
D R' F B2 D B' D2
D R' F B2 D' B' D
D R' F B2 D' B' D'
D R' F B2 D' B' D2
D R' F B2 D2 B' D
D R' F B2 D2 B' D'
D R' F B2 D2 B' D2
D R' F' L B L' F2
F' R' F' D F' B2 D
F' R' F' D F' B2 D'
F' R' F' D F' B2 D2
D R' F' L' F2 L B
F' R' F' D B2 D F'
F' R' F' D B2 D' F'
F' R' F' D B2 D2 F'
F' R' F' D B2 F' D
F' R' F' D B2 F' D'
F' R' F' D B2 F' D2
D R' F' L2 F2 L2 B
D R' F' L2 F2 B L2
D R' F' L2 B L2 F2
D R' F' L2 B F2 L2
F' R' F' D2 F' D' B2
D R' F' R F2 R' B
F' R' F' B D F' B2
F' R' F' B D B2 F'
F' R' F' B' D F' B2
F' R' F' B' D B2 F'
D' R' F2 L B' L' F'
F' R' F' B2 D F' B2
F' R' F' B2 D B2 F'
F' R' F2 L D L' B2
F' R' F2 L D B2 L'
F' R' F2 L' D L B2
U R' F' R U' R' F2
U R' F' R U' F2 R'
D R' F' D B D' F2
D R' F' D' B D F2
D R' F' B L' F2 L
D R' F' B L2 F2 L2
D R' F' B R F2 R'
D R' F' B R2 F2 R2
F' R' F2 U R2 U' D
F' R' F2 U R2 U' D'
F' R' F2 U R2 U' D2
F' R' F2 U R2 D U'
F' R' F2 U R2 D' U'
F' R' F2 U R2 D2 U'
F' R' F2 U' D2 L2 U
F' R' F2 U2 D' F2 U2
F' R' F2 D L B2 L'
D R' F2 L B L' F'
F' R' F2 D L2 B2 L2
F' R' F2 D R' B2 R
F' R' F2 D R2 B2 R2
F' R' F2 D B D B
F' R' F2 D B D' B
F' R' F2 D B D2 B
F' R' F2 D B' D B'
F' R' F2 D B' D' B'
F' R' F2 D B' D2 B'
D R' F2 L' F' L B
F' R' F2 D' U2 F2 U2
F' R' F2 D' B D2 B2
F' R' F2 D' B' D2 B2
F' R' F2 D' B2 D2 B2
D R' F2 L2 F' L2 B
D R' F2 L2 F' B L2
D R' F2 L2 B L2 F'
D R' F2 L2 B F' L2
F' R' F2 D2 U' L2 U
F' R' F2 D2 B D' B2
F' R' F2 D2 B' D' B2
F' R' F2 D2 B2 D' B2
F' R' F2 B U R2 U'
F' R' F2 B D B2 D
F' R' F2 B D B2 D'
F' R' F2 B D B2 D2
F' R' F2 B' U R2 U'
F' R' F2 B' D B2 D
F' R' F2 B' D B2 D'
F' R' F2 B' D B2 D2
L' U2 R' D' L F' B'
L' U2 R' D' L B' F'
D' R' B L B' L' F
F' R' F2 B2 U R2 U'
L' U2 R' D' F' L B'
F' R' F2 B2 D B2 D
F' R' F2 B2 D B2 D'
F' R' F2 B2 D B2 D2
D R' F2 D F' D B
D R' F2 D F' D' B
D R' F2 D F' D2 B
D R' F2 D F' B D
D R' F2 D F' B D'
D R' F2 D F' B D2
D R' F2 D B D F'
D R' F2 D B D' F'
D R' F2 D B D2 F'
D R' F2 D B F' D
D R' F2 D B F' D'
D R' F2 D B F' D2
D2 R' B U R' U' F
F R' F2 U R U' F2
D R' F2 D' F' D B
D R' F2 D' F' D' B
D R' F2 D' F' D2 B
D R' F2 D' F' B D
D R' F2 D' F' B D'
D R' F2 D' F' B D2
D R' F2 D' B D F'
D R' F2 D' B D' F'
D R' F2 D' B D2 F'
D R' F2 D' B F' D
D R' F2 D' B F' D'
D R' F2 D' B F' D2
D R' F2 D2 F' D B
D R' F2 D2 F' D' B
D R' F2 D2 F' D2 B
D R' F2 D2 F' B D
D R' F2 D2 F' B D'
D R' F2 D2 F' B D2
D R' F2 D2 B D F'
D R' F2 D2 B D' F'
D R' F2 D2 B D2 F'
D R' F2 D2 B F' D
D R' F2 D2 B F' D'
D R' F2 D2 B F' D2
D R' F2 B L' F' L
D R' F2 B L2 F' L2
F' R' B U R2 U' F2
D R' F2 B D F' D
D R' F2 B D F' D'
D R' F2 B D F' D2
D R' F2 B D' F' D
D R' F2 B D' F' D'
D R' F2 B D' F' D2
D R' F2 B D2 F' D
D R' F2 B D2 F' D'
D R' F2 B D2 F' D2
D R' F2 B2 D F' B'
D R' F2 B2 D B' F'
D R' F2 B2 D' F' B'
D R' F2 B2 D' B' F'
D R' F2 B2 D2 F' B'
D R' F2 B2 D2 B' F'
B' R' B D R' F B
B' R' B D R' B F
B' R' B D F R' B
D R' B L' D L F
F' R' B D B2 D' F2
D R' B L' D' L F
D R' B L' D2 L F
D R' B L' F L F
D R' B L' F' L F
D R' B L' F2 L F
D2 R' B F U R' U'
D' R' B F L B' L'
D R' B L2 F L2 F
D R' B L2 F' L2 F
D R' B L2 F2 L2 F
D R' B R D R' F
D R' B R D F R'
D R' B R D' R' F
D R' B R D' F R'
D R' B R D2 R' F
D R' B R D2 F R'
D R' B R F R' D
D R' B R F R' D'
D R' B R F R' D2
D R' B R F D R'
D R' B R F D' R'
D R' B R F D2 R'
D R' B R F' R' F2
F' R' B F D F B2
F' R' B F D B2 F
D R' B R' D R F
D R' B R' D' R F
D R' B R' D2 R F
F R' B L D' L' B2
F' R' B F' D F' B2
F' R' B F' D B2 F'
F R' B L D' B2 L'
F' R' B F2 U R2 U'
D R' B R2 F R2 D
D R' B R2 F R2 D'
D R' B R2 F R2 D2
D R' B R2 F' R2 F2
F' R' B F2 D B2 D
F' R' B F2 D B2 D'
F' R' B F2 D B2 D2
D' R' B' L B' L' F
D R' B U' R U F
D R' B U' R' U F
D R' B U' R2 U F
D R' B U2 B U2 F
D R' B U2 B' U2 F
D R' B U2 B2 U2 F
D R' B D R F R'
D R' B D R2 F R2
D R' B D F2 D F'
D R' B D F2 D' F'
D R' B D F2 D2 F'
D R' B D' R F R'
D R' B D' R2 F R2
D R' B D' F2 D F'
D R' B D' F2 D' F'
D R' B D' F2 D2 F'
D R' B D2 R F R'
F R' B U' L' U D
F R' B U' L' U D'
D R' B D2 R2 F R2
F R' B U' L' U D2
F R' B U' L' D U
F R' B U' L' D' U
F R' B U' L' D2 U
F R' B U' D L' U
F R' B U' D' L' U
D R' B D2 F2 D F'
D R' B D2 F2 D' F'
F R' B U' D2 L' U
D R' B D2 F2 D2 F'
F' R' B' U R2 U' F2
D R' B F L D L'
D R' B F L D' L'
D R' B F L D2 L'
D R' B F L' D L
D R' B F L' D' L
D R' B F L' D2 L
D R' B F R D R'
D R' B F R D' R'
D R' B F R D2 R'
D R' B F R' D R
D R' B F R' D' R
D R' B F R' D2 R
D R' B F' L' F2 L
D R' B F' L2 F2 L2
D R' B F' R F2 R'
L' U2 D L R' F' B
L' U2 D L R' B F'
D R' B F' R2 F2 R2
F R' B D U' L' U
D R' B F2 L' F' L
D R' B F2 L2 F' L2
D R' B F2 D F' D
D R' B F2 D F' D'
D R' B F2 D F' D2
D R' B F2 D' F' D
D R' B F2 D' F' D'
D R' B F2 D' F' D2
D R' B F2 D2 F' D
D R' B F2 D2 F' D'
D R' B F2 D2 F' D2
F R' B D' U' L' U
D R' B' L B2 L' F
F' R' B' D B2 D' F2
F R' B D2 U' L' U
D2 R' B' F U' L U
D' R' B' F L B' L'
L' U2 D R' L F' B
L' U2 D R' L B F'
L' U2 D R' F' L B
F' R' B' F D F B2
F' R' B' F D B2 F
D R' B' R F R' B2
F' R' B' F' D F' B2
F' R' B' F' D B2 F'
F R' B' L D' L' B2
F R' B' L D' B2 L'
D R' B' R' B2 R F
F' R' B' F2 U R2 U'
F' R' B' F2 D B2 D
F' R' B' F2 D B2 D'
F' R' B' F2 D B2 D2
D' R' B2 L B' L' F
D R' B' R2 F R2 B2
D R' B' R2 F B2 R2
D R' B' R2 B2 R2 F
D R' B' R2 B2 F R2
B R' B' D R' F B
B R' B' D R' B F
D R' B' D F D' B2
B R' B' D F R' B
D R' B' D' F D B2
L' U2 D' L R' F' B'
L' U2 D' L R' B' F'
F R' B' U' L' U D
F R' B' U' L' U D'
F R' B' U' L' U D2
F R' B' U' L' D U
F R' B' U' L' D' U
F R' B' U' L' D2 U
F R' B' U' D L' U
F R' B' U' D' L' U
F' R' B2 U R2 U' F2
F R' B' U' D2 L' U
D R' B' F L B2 L'
D R' B' F L2 B2 L2
D R' B' F R' B2 R
D R' B' F R2 B2 R2
F R' B' D U' L' U
F R' B' D' U' L' U
L' U2 D' R' L F' B'
L' U2 D' R' L B' F'
L' U2 D' R' F' L B'
F' R' B2 D B2 D' F2
F R' B' D2 U' L' U
D' R' B2 F L B' L'
D R' B2 R F R' B'
F' R' B2 F D F B2
F' R' B2 F D B2 F
B2 R' B2 D R' F B
B2 R' B2 D R' B F
B2 R' B2 D F R' B
F' R' B2 F' D F' B2
F' R' B2 F' D B2 F'
F R' B2 L D' L' B2
F R' B2 L D' B2 L'
D R' B2 R' B' R F
F' R' B2 F2 U R2 U'
F' R' B2 F2 D B2 D
F' R' B2 F2 D B2 D'
F' R' B2 F2 D B2 D2
D R' B2 R2 F R2 B'
D R' B2 R2 F B' R2
D R' B2 R2 B' R2 F
D R' B2 R2 B' F R2
D R' B2 D F D B'
D R' B2 D F D' B'
D R' B2 D F D2 B'
D R' B2 D F B' D
D R' B2 D F B' D'
D R' B2 D F B' D2
D R' B2 D B' D F
D R' B2 D B' D' F
D R' B2 D B' D2 F
D R' B2 D B' F D
D R' B2 D B' F D'
D R' B2 D B' F D2
D R' B2 D' F D B'
D R' B2 D' F D' B'
D R' B2 D' F D2 B'
D R' B2 D' F B' D
D R' B2 D' F B' D'
D R' B2 D' F B' D2
D R' B2 D' B' D F
D R' B2 D' B' D' F
D R' B2 D' B' D2 F
D R' B2 D' B' F D
D R' B2 D' B' F D'
D R' B2 D' B' F D2
F R' B2 U' L' U D
F R' B2 U' L' U D'
F R' B2 U' L' U D2
F R' B2 U' L' D U
F R' B2 U' L' D' U
F R' B2 U' L' D2 U
F R' B2 U' D L' U
F R' B2 U' D' L' U
F R' B2 U' D2 L' U
D R' B2 D2 F D B'
D R' B2 D2 F D' B'
D R' B2 D2 F D2 B'
D R' B2 D2 F B' D
D R' B2 D2 F B' D'
D R' B2 D2 F B' D2
D R' B2 D2 B' D F
D R' B2 D2 B' D' F
D R' B2 D2 B' D2 F
D R' B2 D2 B' F D
D R' B2 D2 B' F D'
D R' B2 D2 B' F D2
D R' B2 F R' B' R
D R' B2 F R2 B' R2
D R' B2 F D B' D
D R' B2 F D B' D'
D R' B2 F D B' D2
D R' B2 F D' B' D
D R' B2 F D' B' D'
D R' B2 F D' B' D2
D R' B2 F D2 B' D
D R' B2 F D2 B' D'
D R' B2 F D2 B' D2
F R' B2 D U' L' U
D R' B2 F2 D F' B'
D R' B2 F2 D B' F'
D R' B2 F2 D' F' B'
D R' B2 F2 D' B' F'
D R' B2 F2 D2 F' B'
D R' B2 F2 D2 B' F'
F R' B2 D' U' L' U
D' R2 L B' L' R F
D' R2 L B' R L' F
F R' B2 D2 U' L' U
F R2 L D' L' R B2
F R2 L D' L' B2 R
F R2 L D' R L' B2
F R2 L D' R B2 L'
F R2 L D' B2 L' R
F R2 L D' B2 R L'
R' U2 F' U' R U' F2
F' R2 U R' U' R2 F2
F' R2 U R' U' F2 R2
F R2 U' L' U R D
F R2 U' L' U R D'
F R2 U' L' U R D2
F R2 U' L' U D R
F R2 U' L' U D' R
F R2 U' L' U D2 R
F R2 U' L' D U R
F R2 U' L' D' U R
F R2 U' L' D2 U R
F R2 U' L' B U R
F R2 U' L' B' U R
F R2 U' L' B2 U R
F R2 U' D L' U R
F R2 U' D' L' U R
F R2 U' D2 L' U R
F R2 U' B L' U R
F R2 U' B' L' U R
F R2 U' B2 L' U R
B2 R2 D F B2 R' B
D R2 D R D F B
D R2 D R D B F
D R2 D R D' F B
D R2 D R D' B F
D R2 D R D2 F B
D R2 D R D2 B F
D R2 D R F D B
D R2 D R F D' B
D R2 D R F D2 B
D R2 D R F B D
D R2 D R F B D'
D R2 D R F B D2
D R2 D R B D F
D R2 D R B D' F
D R2 D R B D2 F
D R2 D R B F D
D R2 D R B F D'
D R2 D R B F D2
D R2 D R2 F R' B
D2 R2 D' R F D2 B2
B2 R2 D B2 R' F B
B2 R2 D B2 R' B F
F R2 D R U' L' U
B2 R2 D B2 F R' B
D2 R2 D' R' F B R2
D2 R2 D' R' B R2 F
D2 R2 D' R' B F R2
F' R2 D' R D F2 B2
F' R2 D' R D B2 F2
B R2 D F B' R' B
F R2 D U' L' U R
D R2 D B R F B
D R2 D B R B F
L' D L R' D F B
L' D L R' D B F
D R2 D B' R F B
D R2 D B' R B F
L' D L R' D' F B
L' D L R' D' B F
L' D L R' D2 F B
L' D L R' D2 B F
B R2 D B' R' F B
B R2 D B' R' B F
L' D L R' F D B
L' D L R' F D' B
L' D L R' F D2 B
L' D L R' F B D
L' D L R' F B D'
L' D L R' F B D2
L' D L R' B D F
L' D L R' B D' F
L' D L R' B D2 F
L' D L R' B F D
L' D L R' B F D'
L' D L R' B F D2
B R2 D B' F R' B
D R2 D B2 R F B
D R2 D B2 R B F
D R2 D' R D F B
D R2 D' R D B F
D R2 D' R D' F B
D R2 D' R D' B F
D R2 D' R D2 F B
D R2 D' R D2 B F
D R2 D' R F D B
D R2 D' R F D' B
D R2 D' R F D2 B
D R2 D' R F B D
D R2 D' R F B D'
D R2 D' R F B D2
D R2 D' R B D F
D R2 D' R B D' F
D R2 D' R B D2 F
D R2 D' R B F D
D R2 D' R B F D'
D R2 D' R B F D2
D R2 D' R2 F R' B
L' D L F R' D B
L' D L F R' D' B
L' D L F R' D2 B
L' D L F R' B D
L' D L F R' B D'
L' D L F R' B D2
D' R2 D2 R F D2 B2
L' D L F' R' F2 B
L' D L F' R' B F2
F R2 D' R U' L' U
D' R2 D2 R' F B R2
D' R2 D2 R' B R2 F
D' R2 D2 R' B F R2
F R2 D' U' L' U R
D R2 D' B R F B
D R2 D' B R B F
D R2 D' B' R F B
D R2 D' B' R B F
D R2 D' B2 R F B
D R2 D' B2 R B F
R' D L' D2 L F B'
R' D L' D2 L B' F
D R2 D2 R D F B
D R2 D2 R D B F
D R2 D2 R D' F B
D R2 D2 R D' B F
D R2 D2 R D2 F B
D R2 D2 R D2 B F
D R2 D2 R F D B
D R2 D2 R F D' B
D R2 D2 R F D2 B
D R2 D2 R F B D
D R2 D2 R F B D'
D R2 D2 R F B D2
D R2 D2 R B D F
D R2 D2 R B D' F
D R2 D2 R B D2 F
D R2 D2 R B F D
D R2 D2 R B F D'
D R2 D2 R B F D2
D R2 D2 R2 F R' B
F R2 D2 R U' L' U
F R2 D2 U' L' U R
D R2 D2 B R F B
D R2 D2 B R B F
D R2 D2 B' R F B
D R2 D2 B' R B F
L' D L2 R' B L' F
D R2 D2 B2 R F B
D R2 D2 B2 R B F
D' R2 F D2 R' B R'
D' R2 F D2 B R' B
D R2 F R D2 B R'
B R2 F U' L' B' U
D R2 F D2 R B R'
R' D R F R' D2 B2
R' D R F D2 R' B2
R2 D R U2 F' U2 F2
L' D R' L D F B
L' D R' L D B F
L' D R' L D' F B
L' D R' L D' B F
L' D R' L D2 F B
L' D R' L D2 B F
L' D R' L F D B
L' D R' L F D' B
L' D R' L F D2 B
L' D R' L F B D
L' D R' L F B D'
L' D R' L F B D2
R2 D R D F D2 B2
L' D R' L B D F
L' D R' L B D' F
L' D R' L B D2 F
L' D R' L B F D
L' D R' L B F D'
L' D R' L B F D2
R2 D R D' F D2 B2
R' D R' D B R F
L' D R' L2 B L' F
R2 D R D2 F D2 B2
R' D R' D' B R F
R2 D R F U2 F2 U2
R2 D R F D2 B2 D
R2 D R F D2 B2 D'
R2 D R F D2 B2 D2
R2 D R F B D2 B2
R2 D R F B' D2 B2
R2 D R F B2 D2 B2
R' D R' D2 B R F
R' D R' F D2 B R'
L' D R' D L F B
L' D R' D L B F
L' D R' D' L F B
L' D R' D' L B F
R2 D R B F D2 B2
L' D R' D2 L F B
L' D R' D2 L B F
R' D R' B R D F
R' D R' B R D' F
R' D R' B R D2 F
R' D R' B R F D
R' D R' B R F D'
R' D R' B R F D2
R' D R' B R' F R2
R' D R' B R2 F R'
R2 D R B' F D2 B2
R' D R' B D R F
R' D R' B D' R F
R' D R' B D2 R F
L' D R' F L F B
L' D R' F L B F
R' D R' B' R F B2
R' D R' B' R B2 F
D2 R2 B R D F B2
D2 R2 B R D B2 F
R2 D R B2 F D2 B2
D2 R2 B R F D B2
L' D R' F' L F B
L' D R' F' L B F
R' D R' B2 R F B'
R' D R' B2 R B' F
R D R D' R2 F B
R D R D' R2 B F
L' D R' F2 L F B
L' D R' F2 L B F
L2 D R' D' L2 F B
L2 D R' D' L2 B F
B' R2 B D R' F B
B' R2 B D R' B F
B' R2 B D F R' B
R2 D R' F B R2 D
R2 D R' F B R2 D'
R2 D R' F B R2 D2
R2 D R' F B' R2 B2
R2 D R' F B2 R2 B'
R' D R2 F R B R
R2 D R' F' B R2 F2
R2 D R' B R' F R'
R2 D R' B R2 D F
R2 D R' B R2 D' F
R2 D R' B R2 D2 F
R2 D R' B R2 F D
R2 D R' B R2 F D'
R2 D R' B R2 F D2
D R2 B R D F B
D R2 B R D B F
D R2 B R D' F B
D R2 B R D' B F
R2 D R' B F R2 D
R2 D R' B F R2 D'
R2 D R' B F R2 D2
D R2 B R D2 F B
D R2 B R D2 B F
R2 D R' B F' R2 F2
D R2 B R F D B
D R2 B R F D' B
D R2 B R F D2 B
D R2 B R F B D
D R2 B R F B D'
D R2 B R F B D2
D R2 B R B D F
D R2 B R B D' F
D R2 B R B D2 F
D R2 B R B F D
D R2 B R B F D'
D R2 B R B F D2
R2 D R' B' R2 F B2
R2 D R' B' R2 B2 F
R2 D R' B' F R2 B2
R2 D R' B2 R2 F B'
R2 D R' B2 R2 B' F
L D R' D' L' F B
L D R' D' L' B F
R2 D R' B2 F R2 B'
D R2 B R2 F R' B
L D R' D' B L' F
R D R' D' F B R2
R D R' D' B R2 F
R D R' D' B F R2
F R2 B R U' L' U
R D R' F D' B R2
D R2 B D R F B
D R2 B D R B F
D R2 B D' R F B
D R2 B D' R B F
L D R' B D' L' F
R' D U R' U' F B
R' D U R' U' B F
F R2 B U' L' U R
D R2 B D2 R F B
D R2 B D2 R B F
R2 D R2 F R B R2
D R2 B' R D F B
D R2 B' R D B F
D R2 B' R D' F B
D R2 B' R D' B F
D R2 B' R D2 F B
D R2 B' R D2 B F
D R2 B' R F D B
D R2 B' R F D' B
D R2 B' R F D2 B
D R2 B' R F B D
D R2 B' R F B D'
D R2 B' R F B D2
D R2 B' R B D F
D R2 B' R B D' F
D R2 B' R B D2 F
D R2 B' R B F D
D R2 B' R B F D'
D R2 B' R B F D2
D R2 B' R2 F R' B
F R2 B' R U' L' U
R' D U' R' U F B
R' D U' R' U B F
B R2 B' D R' F B
B R2 B' D R' B F
B R2 B' D F R' B
D R2 B' D R F B
D R2 B' D R B F
D R2 B' D' R F B
D R2 B' D' R B F
F R2 B' U' L' U R
D R2 B' D2 R F B
D R2 B' D2 R B F
B2 R2 B2 D R' F B
B2 R2 B2 D R' B F
B2 R2 B2 D F R' B
F' U L R U' R2 F2
F' U L R U' F2 R2
D R2 B2 R D F B
D R2 B2 R D B F
D R2 B2 R D' F B
D R2 B2 R D' B F
D R2 B2 R D2 F B
D R2 B2 R D2 B F
D R2 B2 R F D B
D R2 B2 R F D' B
D R2 B2 R F D2 B
D R2 B2 R F B D
D R2 B2 R F B D'
D R2 B2 R F B D2
D R2 B2 R B D F
D R2 B2 R B D' F
D R2 B2 R B D2 F
D R2 B2 R B F D
D R2 B2 R B F D'
D R2 B2 R B F D2
D R2 B2 R2 F R' B
L' D U2 L R' F' B
L' D U2 L R' B F'
F R2 B2 R U' L' U
D R2 B2 D R F B
D R2 B2 D R B F
L' D U2 R' L F' B
L' D U2 R' L B F'
D R2 B2 D' R F B
D R2 B2 D' R B F
L' D U2 R' F' L B
D R2 B2 D2 R F B
D R2 B2 D2 R B F
F R2 B2 U' L' U R
R' D F L' D2 L B'
F' U L' R U' R2 F2
F' U L' R U' F2 R2
L' D F L R' F B
L' D F L R' B F
R' D F R' D B R
R' D F R' D' B R
R' D F R' D2 B R
R' D F R' B R D
R' D F R' B R D'
R' D F R' B R D2
R' D F R' B D R
R' D F R' B D' R
R' D F R' B D2 R
L' D F L F R' B
R' D F R' B' R B2
R' D F R' B2 R B'
R' D F U R' U' B
L' D F R' L F B
L' D F R' L B F
R' D F D2 L B' L'
R' D F B R' B R
F2 U L' U' F' R' B'
R' D F B' R' B R
R' D F B2 R' B R
U2 D L' U2 R' F' B
U2 D L' U2 R' B F'
R2 D F R' D2 B R'
F' U L2 R U' R2 F2
F' U L2 R U' F2 R2
L' D F' L R' F B
L' D F' L R' B F
R' D F' R' B R F2
L' D F' L F R' B
L' D F' R' L F B
L' D F' R' L B F
R D F R D' R2 B
R D F R' D' B R2
F' U R L U' R2 F2
F' U R L U' F2 R2
F' U R L' U' R2 F2
L' D F2 L R' F B
F' U R L' U' F2 R2
L' D F2 L R' B F
L' D F2 L F R' B
R' D F2 R' B R F'
F' U R L2 U' R2 F2
F' U R L2 U' F2 R2
U' D R U R2 F B
U' D R U R2 B F
F' U R U' R' F2 R'
F' U R U' R2 F2 D
F' U R U' R2 F2 D'
F' U R U' R2 F2 D2
F' U R U' F R2 F
F' U R U' F2 R2 D
F' U R U' F2 R2 D'
F' U R U' F2 R2 D2
L' D F2 R' L F B
L' D F2 R' L B F
F' U R D' L2 F2 U'
F' U R D' F2 L2 U'
F' U R F U' R2 F
F' U R F U' F R2
F' U R F' U' F' R2
R' D B R' B R F
D U R U' R2 F B
D U R U' R2 B F
F U R U2 L' U R2
U D R U' R2 F B
U D R U' R2 B F
R' D B F R' B R
F U R D' F2 R U'
F U R F2 R U' R
R2 D B R F D2 B2
R2 D B R' F B R2
R2 D B R' B R2 F
R2 D B R' B F R2
R' D B' R' B R F
U2 D R' F2 L' F' B
U2 D R' F2 L' B F'
U2 D R' F2 B L' F'
U2 D R' B F2 L' F'
B U R' F' R U' F2
R' D B' F R' B R
F U R' F2 R U' R'
R2 D B' R F D2 B2
R2 D B' R' F B R2
R2 D B' R' B R2 F
R2 D B' R' B F R2
R' D B2 R' B R F
F U R2 U2 L' U R
R' D B2 F R' B R
F' U D' L2 R U' R2
R2 D B2 R F D2 B2
F' U D' R L2 U' R2
L' D' L R F R2 B'
R2 D B2 R' F B R2
L' D' L R F B' R2
R2 D B2 R' B R2 F
R2 D B2 R' B F R2
L' D' L R B' R2 F
L' D' L R B' F R2
L' D' L R' D F B'
L' D' L R' D B' F
L' D' L R' D' F B'
L' D' L R' D' B' F
L' D' L R' D2 F B'
L' D' L R' D2 B' F
L' D' L R' F D B'
L' D' L R' F D' B'
L' D' L R' F D2 B'
L' D' L R' F B' D
L' D' L R' F B' D'
L' D' L R' F B' D2
L' D' L R' B' D F
L' D' L R' B' D' F
L' D' L R' B' D2 F
L' D' L R' B' F D
L' D' L R' B' F D'
L' D' L R' B' F D2
L' D' L R2 B' R F
L' D' L D R' F B'
L' D' L D R' B' F
L' D' L D F R' B'
L' D' L D' R' F B'
L' D' L D' R' B' F
L' D' L D' F R' B'
L' D' L D2 R' F B'
L' D' L D2 R' B' F
R' D' L B L' F B2
R' D' L B L' B2 F
L' D' L D2 F R' B'
L' D' L F R B' R2
L' D' L F R' D B'
L' D' L F R' D' B'
L' D' L F R' D2 B'
L' D' L F R' B' D
L' D' L F R' B' D'
L' D' L F R' B' D2
L' D' L F R2 B' R
R' D' L B' L' D F
R' D' L B' L' D' F
R' D' L B' L' D2 F
R' D' L B' L' F D
R' D' L B' L' F D'
R' D' L B' L' F D2
L' D' L F D R' B'
L' D' L F D' R' B'
L' D' L F D2 R' B'
L' D' L F' R' F2 B'
L' D' L F' R' B' F2
R' D' L B2 L' F B
R' D' L B2 L' B F
