B' R2 U D2 L2
B' R2 U' R2 U2
B' R2 D' F2 U
B' R2 D2 U L2
U R2 B' U B
R2 D' F2 B' U
R2 D' B' F2 U
R2 D2 B' U L2
R2 B' U D2 L2
R2 B' U' R2 U2
R2 B' D' F2 U
R2 B' D2 U L2
B' R2 F' D' F2 U D2
B' R2 F' D' F2 D U
B' R2 F' D' F2 D' U
B' R2 F' D' F2 D2 U
F' R2 F' D' B' F2 U
F R2 F D' F2 B' U
F R2 F D' B' F2 U
B' R2 F' D2 U L2 D
B' R2 F' D2 U L2 D'
B' R2 F' D2 U L2 D2
B' R2 F' D2 F U L2
B' R2 F' D2 F' U L2
B' R2 F' D2 F2 U L2
F' R2 F' D2 B' U L2
F R2 F D2 B' U L2
F' R2 F' B' U D2 L2
F' R2 F' B' U' R2 U2
F' R2 F' B' D' F2 U
F' R2 F' B' D2 U L2
F R2 F B' U D2 L2
F R2 F B' U' R2 U2
F R2 F B' D' F2 U
F R2 F B' D2 U L2
F2 R2 F' D' F2 B' U
F2 R2 F' D' B' F2 U
F2 R2 F' D2 B' U L2
F2 R2 F' B' U D2 L2
F2 R2 F' B' U' R2 U2
F2 R2 F' B' D' F2 U
F2 R2 F' B' D2 U L2
B' R2 F2 U L D2 L2
B' R2 F2 U L' D2 L2
B' R2 F2 U L2 D2 L2
B' R2 F2 U D2 L2 D
B' R2 F2 U D2 L2 D'
B' R2 F2 U D2 L2 D2
B R2 F' D' F2 U R2
B' R2 F2 U' R2 U2 D
B' R2 F2 U' R2 U2 D'
B' R2 F2 U' R2 U2 D2
B' R2 F2 U' R2 D U2
B' R2 F2 U' R2 D' U2
B' R2 F2 U' R2 D2 U2
B' R2 F2 U2 D B2 U'
B' R2 F2 D U2 B2 U'
B R2 F' B2 U D2 L2
B R2 F' B2 U' R2 U2
B R2 F' B2 D' F2 U
B R2 F' B2 D2 U L2
F' R2 F2 D' F2 B' U
R' D R' D' F2 B' U
B' R2 F2 D' F2 U D
B' R2 F2 D' F2 U D'
B' R2 F2 D' F2 U D2
B' R2 F2 D' F2 D U
B' R2 F2 D' F2 D' U
B' R2 F2 D' F2 D2 U
F' R2 F2 D' B' F2 U
R' D R' D' B' F2 U
F R2 F' D' F2 B' U
F R2 F' D' B' F2 U
B' R2 F2 D2 U L2 D
B' R2 F2 D2 U L2 D'
B' R2 F2 D2 U L2 D2
B' R2 F2 D2 F U L2
B' R2 F2 D2 F' U L2
B' R2 F2 D2 F2 U L2
F' R2 F2 D2 B' U L2
R' D R' D2 B' U L2
F R2 F' D2 B' U L2
F' R2 F2 B' U D2 L2
F' R2 F2 B' U' R2 U2
F' R2 F2 B' D' F2 U
F' R2 F2 B' D2 U L2
F R2 F' B' U D2 L2
F R2 F' B' U' R2 U2
F R2 F' B' D' F2 U
F R2 F' B' D2 U L2
F2 R2 F2 D' F2 B' U
F2 R2 F2 D' B' F2 U
F2 R2 F2 D2 B' U L2
R' D R' B' U D2 L2
R' D R' B' U' R2 U2
R' D R' B' D' F2 U
R' D R' B' D2 U L2
F2 R2 F2 B' U D2 L2
F2 R2 F2 B' U' R2 U2
F2 R2 F2 B' D' F2 U
F2 R2 F2 B' D2 U L2
R D R D' F2 B' U
R D R D' B' F2 U
R D R D2 B' U L2
B R2 F2 D' F2 U R2
R D R B' U D2 L2
R D R B' U' R2 U2
R D R B' D' F2 U
R D R B' D2 U L2
B R2 F2 B2 U D2 L2
B R2 F2 B2 U' R2 U2
B R2 F2 B2 D' F2 U
F' R2 B D' F2 U R2
B R2 F2 B2 D2 U L2
B' R2 B D' F2 B' U
B' R2 B D' B' F2 U
F R2 F2 D' F2 B' U
F R2 F2 D' B' F2 U
B' R2 B D2 B' U L2
F R2 F2 D2 B' U L2
F R2 F2 B' U D2 L2
F R2 F2 B' U' R2 U2
F R2 F2 B' D' F2 U
F R2 F2 B' D2 U L2
F2 R2 B D' F2 U R2
D' R2 B' R U F2 L'
D' R2 B' U F2 D2 L2
D' R2 B' U' R2 U2 F2
F' R2 B' U L D2 L2
F' R2 B' U L' D2 L2
F' R2 B' U L2 D2 L2
F' R2 B' U D2 L2 D
F' R2 B' U D2 L2 D'
F' R2 B' U D2 L2 D2
F' R2 B' U' R2 U2 D
F' R2 B' U' R2 U2 D'
F' R2 B' U' R2 U2 D2
F' R2 B' U' R2 D U2
F' R2 B' U' R2 D' U2
F' R2 B' U' R2 D2 U2
B R2 B D' F2 B U
B R2 B D' B F2 U
F' R2 B' U2 D B2 U'
U' R2 B' U2 B U' B'
B R2 B D2 B U L2
U R2 B U D' R2 B'
U R2 B U D' B' R2
F' R2 B' D U2 B2 U'
D2 R2 B' D2 R2 U L2
F' R2 B' D' F2 U D
F' R2 B' D' F2 U D'
F' R2 B' D' F2 U D2
F' R2 B' D' F2 D U
F' R2 B' D' F2 D' U
F' R2 B' D' F2 D2 U
F2 R2 B' U L D2 L2
F2 R2 B' U L' D2 L2
B' R2 B' D' F2 B U
F2 R2 B' U L2 D2 L2
B' R2 B' D' B F2 U
F2 R2 B' U D2 L2 D
F2 R2 B' U D2 L2 D'
F2 R2 B' U D2 L2 D2
F' R2 B' D2 U L2 D
F' R2 B' D2 U L2 D'
F' R2 B' D2 U L2 D2
F' R2 B' D2 F U L2
F' R2 B' D2 F' U L2
F' R2 B' D2 F2 U L2
F R2 B D' F2 U R2
B' R2 B' D2 B U L2
F2 R2 B' U' R2 U2 D
F2 R2 B' U' R2 U2 D'
F2 R2 B' U' R2 U2 D2
F2 R2 B' U' R2 D U2
F2 R2 B' U' R2 D' U2
F2 R2 B' U' R2 D2 U2
F' R2 B' F U D2 L2
F' R2 B' F U' R2 U2
F' R2 B' F D' F2 U
F' R2 B' F D2 U L2
F2 R2 B' U2 D B2 U'
F' R2 B' F' U D2 L2
F' R2 B' F' U' R2 U2
F' R2 B' F' D' F2 U
F' R2 B' F' D2 U L2
U R2 B D' U R2 B'
U R2 B D' U B' R2
F' R2 B' F2 U D2 L2
F' R2 B' F2 U' R2 U2
F2 R2 B' D U2 B2 U'
F' R2 B' F2 D' F2 U
F' R2 B' F2 D2 U L2
F2 R2 B' D' F2 U D
F2 R2 B' D' F2 U D'
F2 R2 B' D' F2 U D2
F2 R2 B' D' F2 D U
F2 R2 B' D' F2 D' U
F2 R2 B' D' F2 D2 U
F2 R2 B' D2 U L2 D
F2 R2 B' D2 U L2 D'
F2 R2 B' D2 U L2 D2
F2 R2 B' D2 F U L2
F2 R2 B' D2 F' U L2
F2 R2 B' D2 F2 U L2
F2 R2 B' F U D2 L2
F2 R2 B' F U' R2 U2
U2 R2 B' D2 L2 U L2
F2 R2 B' F D' F2 U
F2 R2 B' F D2 U L2
F2 R2 B' F' U D2 L2
U R2 B' L U D B
F2 R2 B' F' U' R2 U2
U R2 B' L U D' B
U R2 B' L U D2 B
U R2 B' L U B D
U R2 B' L U B D'
U R2 B' L U B D2
D R2 B' U D2 L2 F
U R2 B' L D U B
F2 R2 B' F' D' F2 U
U R2 B' L D' U B
F2 R2 B' F' D2 U L2
U R2 B' L D2 U B
F2 R2 B' F2 U D2 L2
F2 R2 B' F2 U' R2 U2
D R2 B' U' R2 B' U2
U R2 B' L' U D B
U R2 B' L' U D' B
U R2 B' L' U D2 B
F2 R2 B' F2 D' F2 U
U R2 B' L' U B D
U R2 B' L' U B D'
U R2 B' L' U B D2
F2 R2 B' F2 D2 U L2
U R2 B' L' D U B
U R2 B' L' D' U B
U R2 B' L' D2 U B
D R2 B' U' B' R2 U2
U R2 B' L2 U D B
U R2 B' L2 U D' B
U R2 B' L2 U D2 B
U R2 B' L2 U B D
U R2 B' L2 U B D'
U R2 B' L2 U B D2
U R2 B' L2 D U B
U R2 B' L2 D' U B
U R2 B' L2 D2 U B
F R2 B' U L D2 L2
F R2 B' U L' D2 L2
F R2 B' U L2 D2 L2
B R2 B' D' F2 B' U
B R2 B' D' B' F2 U
F R2 B' U D2 L2 D
F R2 B' U D2 L2 D'
F R2 B' U D2 L2 D2
F R2 B' U' R2 U2 D
F R2 B' U' R2 U2 D'
F R2 B' U' R2 U2 D2
F R2 B' U' R2 D U2
F R2 B' U' R2 D' U2
F R2 B' U' R2 D2 U2
B R2 B' D2 B' U L2
D R2 B' D2 U L2 F
U R2 B' U L B L'
F R2 B' U2 D B2 U'
U R2 B' U L2 B L2
U R2 B' U D B D
U R2 B' U D B D'
U R2 B' U D B D2
U R2 B' U D' B D
U R2 B' U D' B D'
U R2 B' U D' B D2
U R2 B' U D2 B D
U R2 B' U D2 B D'
U R2 B' U D2 B D2
U R2 B' U B2 D B'
U R2 B' U B2 D' B'
U R2 B' U B2 D2 B'
B' R2 B2 D' F2 U R2
F R2 B' D U2 B2 U'
F' R2 B2 D' F2 B U
F' R2 B2 D' B F2 U
U R2 B' U' F U2 B
U R2 B' U' F' U2 B
U R2 B' U' F2 U2 B
F' R2 B2 D2 B U L2
F R2 B' D' F2 U D
F R2 B' D' F2 U D'
F R2 B' D' F2 U D2
F R2 B' D' F2 D U
F R2 B' D' F2 D' U
F R2 B' D' F2 D2 U
U R2 B' D L U B
F R2 B' D2 U L2 D
F R2 B' D2 U L2 D'
F R2 B' D2 U L2 D2
U R2 B' D L' U B
U R2 B' D L2 U B
F R2 B' D2 F U L2
F R2 B' D2 F' U L2
F R2 B' D2 F2 U L2
U R2 B' D U B D
U R2 B' D U B D'
U R2 B' D U B D2
U R2 B' D' L U B
U R2 B' D' L' U B
U R2 B' D' L2 U B
F R2 B' F U D2 L2
F R2 B' F U' R2 U2
F R2 B' F D' F2 U
U R2 B' D' U B D
U R2 B' D' U B D'
U R2 B' D' U B D2
F R2 B' F D2 U L2
U R2 B' D2 L U B
F R2 B' F' U D2 L2
U R2 B' D2 L' U B
F R2 B' F' U' R2 U2
U R2 B' D2 L2 U B
F R2 B' F' D' F2 U
F R2 B' F' D2 U L2
U R2 B' D2 U B D
U R2 B' D2 U B D'
U R2 B' D2 U B D2
F R2 B' F2 U D2 L2
F R2 B' F2 U' R2 U2
F2 R2 B2 D' F2 B U
F2 R2 B2 D' B F2 U
F R2 B' F2 D' F2 U
F R2 B' F2 D2 U L2
F2 R2 B2 D2 B U L2
B R2 B2 U L D2 L2
B R2 B2 U L' D2 L2
B R2 B2 U L2 D2 L2
B R2 B2 U D2 L2 D
B R2 B2 U D2 L2 D'
B R2 B2 U D2 L2 D2
B R2 B2 U' R2 U2 D
B R2 B2 U' R2 U2 D'
B R2 B2 U' R2 U2 D2
B R2 B2 U' R2 D U2
B R2 B2 U' R2 D' U2
B R2 B2 U' R2 D2 U2
U R2 B2 L B U B
U R2 B2 L' B U B
B R2 B2 U2 D B2 U'
U R2 B2 L2 B U B
B R2 B2 D U2 B2 U'
B' U L D' F2 D' L2
B R2 B2 D' F2 U D
B R2 B2 D' F2 U D'
B R2 B2 D' F2 U D2
B R2 B2 D' F2 D U
B R2 B2 D' F2 D' U
B R2 B2 D' F2 D2 U
B R2 B2 D2 U L2 D
B R2 B2 D2 U L2 D'
B R2 B2 D2 U L2 D2
B R2 B2 D2 F U L2
B R2 B2 D2 F' U L2
B R2 B2 D2 F2 U L2
B R2 B2 F U D2 L2
B R2 B2 F U' R2 U2
B R2 B2 F D' F2 U
B R2 B2 F D2 U L2
B R2 B2 F' U D2 L2
B R2 B2 F' U' R2 U2
B R2 B2 F' D' F2 U
B R2 B2 F' D2 U L2
B R2 B2 F2 U D2 L2
B R2 B2 F2 U' R2 U2
B' U L F2 D' L2 F2
B R2 B2 F2 D' F2 U
B' U L F2 D' F2 L2
B R2 B2 F2 D2 U L2
F R2 B2 D' F2 B U
F R2 B2 D' B F2 U
U R2 B2 D L2 B U
F R2 B2 D2 B U L2
U R2 B2 D B L2 U
B U L R2 B2 U B2
B2 U L B R2 U B'
B' U L' D' F2 D' L2
R2 D U2 B2 U2 B U
B' U L' F2 D' L2 F2
B' U L' F2 D' F2 L2
B U L B2 R2 U B2
B U L' R2 B2 U B2
B2 U L' B R2 U B'
R2 D F D B' U L2
B' U L2 D' F2 D' L2
R2 D F D2 F2 B' U
R2 D F D2 B' F2 U
R2 D F B' U2 B' U'
B' U L2 F2 D' L2 F2
B' U L2 F2 D' F2 L2
B U L' B2 R2 U B2
B U L2 R2 B2 U B2
B2 U L2 B R2 U B'
R' D F2 R' B' U L'
R2 D F' D B' U L2
R2 D F' D2 F2 B' U
R2 D F' D2 B' F2 U
R2 D F' B' U2 B' U'
D' U R B' U F2 B
D' U R B' U B F2
B U L2 B2 R2 U B2
R2 D F2 D B' U L2
R2 D F2 D2 F2 B' U
R2 D F2 D2 B' F2 U
L2 D F2 B2 U' F' U'
R2 D F2 B' U2 B' U'
D' U R' B' U F2 B
D' U R' B' U B F2
B U R B2 R U B2
B' U R2 U R2 D B2
B' U R2 D B2 U B2
F' U R2 D B' U B
F' U R2 D' B' U B
F' U R2 D2 B' U B
D' U R2 B' U F2 B
D' U R2 B' U B F2
F2 U R2 D B' U B
B' U R2 B U R2 B'
B' U R2 B U B' R2
F2 U R2 D' B' U B
B' U R2 B' U B R2
F' U R2 B' L U B
F' U R2 B' L' U B
F' U R2 B' L2 U B
F2 U R2 D2 B' U B
B U R2 L B2 U B2
F' U R2 B' U D B
F' U R2 B' U D' B
F' U R2 B' U D2 B
F' U R2 B' U B D
F' U R2 B' U B D'
F' U R2 B' U B D2
F' U R2 B' D U B
F' U R2 B' D' U B
F' U R2 B' D2 U B
R2 D B' L2 F L2 U
B' U R2 B2 U R2 B2
B' U R2 B2 U B2 R2
B U R2 L' B2 U B2
B U R2 L2 B2 U B2
F2 U R2 B' L U B
F2 U R2 B' L' U B
F2 U R2 B' L2 U B
F2 U R2 B' U D B
F2 U R2 B' U D' B
F2 U R2 B' U D2 B
F2 U R2 B' U B D
F2 U R2 B' U B D'
F2 U R2 B' U B D2
F2 U R2 B' D U B
F2 U R2 B' D' U B
F2 U R2 B' D2 U B
R2 D B' U2 D B' U'
R2 D B' U2 D' B' U'
R2 D B' U2 D2 B' U'
R2 D B' U2 B' U' D
R2 D B' U2 B' U' D'
R2 D B' U2 B' U' D2
R2 D B' U2 B' D U'
R2 D B' U2 B' D' U'
R2 D B' U2 B' D2 U'
R2 D B' D U2 B' U'
R2 D B' D' U2 B' U'
R2 D B' D2 U2 B' U'
R2 D B' F U2 B' U'
F U R2 D B' U B
R2 D B' F' U2 B' U'
F U R2 D' B' U B
R2 D B' F2 U2 B' U'
F U R2 D2 B' U B
B U R2 B2 L U B2
B U R2 B2 L' U B2
B U R2 B2 L2 U B2
B U R2 B2 U B2 D
B U R2 B2 U B2 D'
B U R2 B2 U B2 D2
B U R2 B2 D L2 U
B' U D' L F2 D' L2
B' U D' L' F2 D' L2
B' U D' L2 F2 D' L2
F U R2 B' L U B
F U R2 B' L' U B
F U R2 B' L2 U B
F U R2 B' U D B
F U R2 B' U D' B
F U R2 B' U D2 B
F U R2 B' U B D
F U R2 B' U B D'
F U R2 B' U B D2
F U R2 B' D U B
F U R2 B' D' U B
F U R2 B' D2 U B
R D B' D' R F' U
B' U D' F2 L D' L2
B' U D' F2 L' D' L2
B' U D' F2 L2 D' L2
B' U D' F2 U' F2 U
B' U D' F2 D' L2 D
B' U D' F2 D' L2 D'
B' U D' F2 D' L2 D2
F' U D' B' U F2 B
F' U D' B' U B F2
L2 D B2 F2 U' F' U'
B2 U D' B U F2 B'
B2 U D' B U B' F2
F2 U D' B' U F2 B
F2 U D' B' U B F2
B U D' R2 F2 D' L2
B U D' F2 R2 D' L2
D' U F2 U' F2 B' U
D' U F2 U' B' F2 U
F U D' B' U F2 B
F U D' B' U B F2
B' U F U' F' R2 U
R2 D' L' F2 L B' U
D' U B' L U F2 B
D' U B' L U B F2
D' U B' L' U F2 B
D' U B' L' U B F2
B' U F' U' R2 F U
B' U F' U' F R2 U
D' U B' L2 U F2 B
D' U B' L2 U B F2
D' U B' U F2 D B
D' U B' U F2 D' B
D' U B' U F2 D2 B
D' U B' U F2 B D
D' U B' U F2 B D'
D' U B' U F2 B D2
D' U B' U B F2 D
D' U B' U B F2 D'
D' U B' U B F2 D2
D2 U B' U D F2 B
D2 U B' U D B F2
D2 U B' U B D F2
B' U F2 L D' L2 F2
B' U F2 L D' F2 L2
D2 U B' U2 L2 U' B
B' U F2 L' D' L2 F2
B' U F2 L' D' F2 L2
D2 U B' D U F2 B
D2 U B' D U B F2
B' U F2 L2 D' L2 F2
B' U F2 L2 D' F2 L2
B' U F2 U' R2 F2 U
B' U F2 U' F2 R2 U
D U B' L2 U F B
D U B' L2 U B F
B' U F2 D' L F2 L
B' U F2 D' L2 F2 D
B' U F2 D' L2 F2 D'
B' U F2 D' L2 F2 D2
B' U F2 D' F' L2 F'
B' U F2 D' F2 L2 D
B' U F2 D' F2 L2 D'
B' U F2 D' F2 L2 D2
R' D' R' D' F2 B' U
R' D' R' D' B' F2 U
R' D' R' D2 B' U L2
D U B' U B D2 F2
R2 D' R F2 R' B' U
D U B' U' B' U2 B2
U D B' L2 U F B
U D B' L2 U B F
R' D' R' B' U D2 L2
R' D' R' B' U' R2 U2
R' D' R' B' D' F2 U
R' D' R' B' D2 U L2
U D B' U B D2 F2
B' U B R2 U R2 B'
B' U B R2 U B' R2
U D B' U' B' U2 B2
F' U B R2 B2 U B
R D' R D' F2 B' U
R D' R D' B' F2 U
B2 U B R2 U D B'
B2 U B R2 U D' B'
B2 U B R2 U D2 B'
B2 U B R2 U B' D
B2 U B R2 U B' D'
B2 U B R2 U B' D2
B2 U B R2 D U B'
B2 U B R2 D' U B'
R D' R D2 B' U L2
B2 U B R2 D2 U B'
B U F2 D' L2 R2 F2
B U F2 D' L2 F2 R2
B U F2 D' R2 L2 F2
B U F2 D' R2 F2 L2
B U F2 D' F2 L2 R2
B U F2 D' F2 R2 L2
B2 U B U D' F2 B'
B2 U B U D' B' F2
B2 U B U B' D' F2
F2 U B R2 B2 U B
R D' R B' U D2 L2
R D' R B' U' R2 U2
R D' R B' D' F2 U
R D' R B' D2 U L2
B2 U B D' U F2 B'
B2 U B D' U B' F2
R2 D' R' B' R F2 U
B' U B' R2 U R2 B
F' U B' R2 U' F' U2
F' U B' U D' F2 B
F' U B' U D' B F2
F' U B' U B D' F2
F2 U B' R2 U' F' U2
F U B R2 B2 U B
F' U B' D' U F2 B
F' U B' D' U B F2
F2 U B' U D' F2 B
F2 U B' U D' B F2
F2 U B' U B D' F2
R2 D' R2 F2 R2 B' U
R2 D' R2 F2 B' R2 U
F2 U B' D' U F2 B
F2 U B' D' U B F2
R2 D' R2 B' R2 F2 U
R2 D' R2 B' F2 R2 U
B' U B2 R2 U R2 B2
B' U B2 R2 U B2 R2
B2 U B2 R2 B' U B'
F U B' R2 U' F' U2
F U B' U D' F2 B
F U B' U D' B F2
F U B' U B D' F2
B U B2 L R2 U B2
B U B2 L' R2 U B2
D2 U' L2 F R2 U' B
D2 U' L2 F U F' U2
F U B' D' U F2 B
F U B' D' U B F2
B U B2 L2 R2 U B2
L2 D' U' F U' F B2
L2 D' U' F U' B2 F
B U B2 R2 L U B2
B U B2 R2 L' U B2
B U B2 R2 L2 U B2
B U B2 R2 U B2 D
B U B2 R2 U B2 D'
B U B2 R2 U B2 D2
B U B2 R2 D L2 U
B U B2 U B2 D' F2
U2 D' L2 F U' F L2
R2 D' F D F B' U
R2 D' F D B' F U
R2 D' F D' F B' U
R2 D' F D' B' F U
R2 D' F D2 F B' U
R2 D' F D2 B' F U
R2 D' F B' D F U
R2 D' F B' D' F U
R2 D' F B' D2 F U
U D' R B' U F2 B
U D' R B' U B F2
R' D' F2 R' B' U L'
R2 D' F' D F' B' U
R2 D' F' D B' F' U
R2 D' F' D' F' B' U
R2 D' F' D' B' F' U
R2 D' F' D2 F' B' U
R2 D' F' D2 B' F' U
R2 D' F' B' D F' U
R2 D' F' B' D' F' U
R2 D' F' B' D2 F' U
U D' R' B' U F2 B
U D' R' B' U B F2
R2 D' F2 R' B' R U
R2 D' F2 R2 B' R2 U
R2 D' F2 D B' U D
R2 D' F2 D B' U D'
R2 D' F2 D B' U D2
R2 D' F2 D B' D U
R2 D' F2 D B' D' U
R2 D' F2 D B' D2 U
R2 D' F2 D' B' U D
R2 D' F2 D' B' U D'
R2 D' F2 D' B' U D2
R2 D' F2 D' B' D U
R2 D' F2 D' B' D' U
R2 D' F2 D' B' D2 U
R2 D' F2 D2 B' U D
R2 D' F2 D2 B' U D'
R2 D' F2 D2 B' U D2
R2 D' F2 D2 B' D U
R2 D' F2 D2 B' D' U
R2 D' F2 D2 B' D2 U
D2 U' F' L2 F U' B'
R2 D' F2 B U D' R2
R2 D' F2 B D' U R2
R2 D' F2 B2 D B U
R2 D' F2 B2 D' B U
U D' R2 B' U F2 B
U D' R2 B' U B F2
R2 D' F2 B2 D2 B U
R2 D' B U D' L2 R2
R2 D' B U D' R2 L2
R2 D' B D' U L2 R2
R2 D' B D' U R2 L2
R2 D' B F2 U D' R2
R2 D' B F2 D' U R2
R2 D' B' L' F2 L U
R2 D' B' L2 F2 L2 U
R2 D' B' R F2 R' U
R2 D' B' R2 F2 R2 U
R2 D' B' U L D' L2
R2 D' B' U L' D' L2
R2 D' B' U L2 D' L2
R2 D' B' U D' L2 D
R2 D' B' U D' L2 D'
R2 D' B' U D' L2 D2
R2 D' B' U' D R2 U2
R2 D' B' U2 D2 B2 U'
R2 D' B' D U' R2 U2
R2 D' B' D' U L2 D
R2 D' B' D' U L2 D'
R2 D' B' D' U L2 D2
R2 D' B' D' F U L2
R2 D' B' D' F' U L2
R2 D' B' D' F2 U L2
U2 D' F2 U' B' U B
R2 D' B' D2 U2 B2 U'
R2 D' B' F D F U
R2 D' B' F D' F U
R2 D' B' F D2 F U
R2 D' B' F' D F' U
R2 D' B' F' D' F' U
R2 D' B' F' D2 F' U
B' U' D B2 U' B2 U'
B' U' D B2 U2 D L2
B' U' D B2 D U2 L2
B' U' D B2 D' R2 U2
R D' B' D' R F' U
U D' F2 U' F2 B' U
U D' F2 U' B' F2 U
R2 D' B2 D' B U L2
R2 D' B2 F2 D B U
R2 D' B2 F2 D' B U
R2 D' B2 F2 D2 B U
U D' B' L U F2 B
U D' B' L U B F2
U D' B' L' U F2 B
U D' B' L' U B F2
U D' B' L2 U F2 B
U D' B' L2 U B F2
U D' B' U F2 D B
U D' B' U F2 D' B
U D' B' U F2 D2 B
U D' B' U F2 B D
U D' B' U F2 B D'
U D' B' U F2 B D2
U D' B' U B F2 D
U D' B' U B F2 D'
U D' B' U B F2 D2
R' D2 R' D' F2 B' U
R' D2 R' D' B' F2 U
R' D2 R' D2 B' U L2
R' D2 R' B' U D2 L2
R' D2 R' B' U' R2 U2
R' D2 R' B' D' F2 U
R' D2 R' B' D2 U L2
U' D2 L2 F R2 U' B
U' D2 L2 F U F' U2
D' U2 L2 F U' F L2
D2 U2 L2 D' F B2 U'
D2 U2 L2 D' B2 F U'
D2 U2 L2 F U' L2 D
D2 U2 L2 F U' L2 D'
D2 U2 L2 F U' L2 D2
D2 U2 L2 F D' B2 U'
D2 U2 L2 F B U' L2
D2 U2 L2 F B' U' L2
D2 U2 L2 F B2 U' L2
R D2 R D' F2 B' U
R D2 R D' B' F2 U
D2 U2 L2 B F U' L2
R D2 R D2 B' U L2
D2 U2 L2 B' F U' L2
D2 U2 L2 B2 F U' L2
U2 D2 L2 D' F B2 U'
U2 D2 L2 D' B2 F U'
R D2 R B' U D2 L2
R D2 R B' U' R2 U2
R D2 R B' D' F2 U
R D2 R B' D2 U L2
U2 D2 L2 F U' L2 D
U2 D2 L2 F U' L2 D'
U2 D2 L2 F U' L2 D2
U2 D2 L2 F D' B2 U'
U2 D2 L2 F B U' L2
U2 D2 L2 F B' U' L2
U2 D2 L2 F B2 U' L2
R2 D2 R' B' R U L2
U2 D2 L2 B F U' L2
B' U' B' U R2 F' U
U2 D2 L2 B' F U' L2
U2 D2 L2 B2 F U' L2
R2 D2 R2 B' R2 U L2
R2 D2 U L2 U F U'
B' U' B2 D B2 U2 L2
B' U' B2 D' R2 U2 F2
B' U2 L U' L' D' F2
B' U2 L U' D' L' F2
B' U2 L U2 R2 U L'
L2 D2 U' R2 F L2 U'
L2 D2 U' F L2 R2 U'
L2 D2 U' F R2 L2 U'
B' U2 L D' U' L' F2
B' U2 L D2 L2 U' L
D2 U2 F L2 F U' L2
B' U2 L' U' L D' F2
B' U2 L' U' D' L F2
B' U2 L' U' D' F2 L
B' U2 L' U2 R2 U L
B' U2 L' D' U' L F2
B' U2 L' D' U' F2 L
B' U2 L' D2 L2 U' L'
U2 D2 F L2 F U' L2
U' D2 F' L2 F U' B'
D2 U2 F' L2 F U' L2
B' U2 L2 U' L2 D' F2
B' U2 L2 U2 R2 U L2
B' U2 L2 D' B2 U' F2
R2 D2 F D F2 B' U
R2 D2 F D B' F2 U
U2 D2 F' L2 F U' L2
R2 D2 F B' U L2 D
R2 D2 F B' U L2 D'
R2 D2 F B' U L2 D2
R2 D2 F B' D F2 U
D2 U2 F2 L2 F U' L2
R' D2 F2 R' B' U L'
D' U2 F2 U' B' U B
R2 D2 F' D F2 B' U
R2 D2 F' D B' F2 U
U2 D2 F2 L2 F U' L2
R2 D2 F' B' U L2 D
R2 D2 F' B' U L2 D'
R2 D2 F' B' U L2 D2
R2 D2 F' B' D F2 U
R2 D2 F2 D F2 B' U
R2 D2 F2 D B' F2 U
R2 D2 F2 B' U L2 D
R2 D2 F2 B' U L2 D'
R2 D2 F2 B' U L2 D2
R2 D2 F2 B' D F2 U
R2 D2 B U L2 D' R2
R2 D2 B' U L D L
R2 D2 B' U L D' L
R2 D2 B' U L D2 L
R2 D2 B' U L' D L'
R2 D2 B' U L' D' L'
R2 D2 B' U L' D2 L'
R2 D2 B' U F L2 F'
R2 D2 B' U F2 L2 F2
R2 D2 B' U B' L2 B
R2 D2 B' U B2 L2 B2
R2 D2 B' U' R U2 L2
R2 D2 B' U' R' U2 L2
R2 D2 B' U' R2 U2 L2
R2 D2 B' U' D2 R2 U2
R2 D2 B' U2 D' B2 U'
R2 D2 B' U2 B U' L2
R2 D2 B' U2 B' U' L2
R2 D2 B' U2 B2 U' L2
R2 D2 B' D F2 U D
R2 D2 B' D F2 U D'
R2 D2 B' D F2 U D2
R2 D2 B' D F2 D U
R2 D2 B' D F2 D' U
R2 D2 B' D F2 D2 U
R2 D2 B' D' U2 B2 U'
R2 D2 B' D2 U' R2 U2
R2 D2 B' F U L2 D
R2 D2 B' F U L2 D'
R2 D2 B' F U L2 D2
R2 D2 B' F D F2 U
B' U2 D' L U' L' F2
R2 D2 B' F' U L2 D
R2 D2 B' F' U L2 D'
R2 D2 B' F' U L2 D2
R2 D2 B' F' D F2 U
R2 D2 B' F2 U L2 D
R2 D2 B' F2 U L2 D'
R2 D2 B' F2 U L2 D2
B' U2 D' L' U' L F2
B' U2 D' L' U' F2 L
R2 D2 B' F2 D F2 U
B' U2 D' L2 U' L2 F2
B' U2 D' L2 U' F2 L2
U D2 B' U D F2 B
U D2 B' U D B F2
U D2 B' U B D F2
U D2 B' U2 L2 U' B
U D2 B' D U F2 B
U D2 B' D U B F2
R D2 B' D' R F' U
R2 D2 B2 D F2 B U
R2 D2 B2 D B F2 U
B' U2 D2 L2 U' L2 D
B' U2 D2 L2 U' L2 D'
B' U2 D2 L2 U' L2 D2
B' U2 D2 L2 D' B2 U'
B' U2 D2 L2 B U' L2
B' U2 D2 L2 B' U' L2
B' U2 D2 L2 B2 U' L2
F' U2 D2 L2 F U' L2
B' U2 D2 B L2 U' L2
F2 U2 D2 L2 F U' L2
B' U2 D2 B' L2 U' L2
B' U2 D2 B2 L2 U' L2
B U2 D' R2 F2 D B2
B U2 D' F2 R2 D B2
B U2 D2 L2 F2 U' L2
F U2 D2 L2 F U' L2
