D L' B' L' F2
D F2 L' B' L'
D2 L D' L2 F2 B'
D2 L D' L2 B' F2
D' L D2 L2 F2 B'
D' L D2 L2 B' F2
D2 L' D' F2 B' L2
D2 L' D' B' L2 F2
D2 L' D' B' F2 L2
D' L' D2 F2 B' L2
D' L' D2 B' L2 F2
D' L' D2 B' F2 L2
D L' B L' F2 B2
D L' B L' B2 F2
D L' B' L F2 L2
D L' B' L' F2 D
D L' B' L' F2 D'
D L' B' L' F2 D2
D L' B' L2 F2 L
D2 L' B' D' L2 F2
D2 L' B' D' F2 L2
D' L' B' D2 L2 F
D L' B2 L' F2 B
D L' B2 L' B F2
D L2 F2 L B' L'
U L2 B' R' B' U'
L' U B2 L' U' B
B' U B' L2 R' U'
B' U B' R' L2 U'
F' D L' B' L' F2
F2 D L' B' L' F2
F D L' B' L' F2
F' D F2 L' B' L'
D F' L' B' L' F'
F2 D F2 L' B' L'
F D F2 L' B' L'
D F2 L' D B' L'
D F2 L' D' B' L'
D F2 L' D2 B' L'
D F2 L' B L' B2
D F2 L' B' L' D
D F2 L' B' L' D'
D F2 L' B' L' D2
D F2 L' B' D L'
D F2 L' B' D' L'
D F2 L' B' D2 L'
D F2 L' B2 L' B
D F2 B L' B' L'
D F2 B' L' B' L'
D F2 B2 L' B' L'
D B L' B' L' F2
D B F2 L' B' L'
D B' L' B' L' F2
L' B' U B' L' U'
U B' R' B' L2 U'
D B' F2 L' B' L'
D B2 L' B' L' F2
D B2 F2 L' B' L'
D F2 L' B2 D' L' B
D F2 L' B2 D' B L'
D F2 L' B2 D2 L' B
D F2 L' B2 D2 B L'
L F2 L' D F2 L2 B'
D F2 L2 R D2 R' B
D F2 L2 U' L U B'
D F2 L2 D2 R' B R
D F2 L2 B L B' L'
D F2 L2 B' L B' L'
D F2 L2 B2 L B' L'
D F2 R L2 D2 R' B
D2 F2 R2 L' U R2 B'
D2 F2 R2 L' U B' R2
D F2 R' L' B' L' R
D F2 R' L' B' R L'
D F2 R2 L' B' L' R2
D F2 R2 L' B' R2 L'
F' D2 L D' L2 F2 B'
F' D2 L D' L2 B' F2
D F2 U B' R' U' L2
F2 D2 L D' L2 F2 B'
F2 D2 L D' L2 B' F2
D F2 U' L' U L' B'
B' D2 L' D' F2 B' L
B' D2 L' D' B' L F2
B' D2 L' D' B' F2 L
D F2 U' F' L' U L'
F' D2 L' D' F2 B' L2
F' D2 L' D' B' L2 F2
F' D2 L' D' B' F2 L2
F2 D2 L' D' F2 B' L2
F2 D2 L' D' B' L2 F2
F2 D2 L' D' B' F2 L2
F' D2 L' B' D' L2 F2
F' D2 L' B' D' F2 L2
D F2 U2 R U2 L2 B
D F2 U2 R U2 B L2
D F2 U2 R' F' U2 L2
F D2 L D' L2 F2 B'
F D2 L D' L2 B' F2
F2 D2 L' B' D' L2 F2
F2 D2 L' B' D' F2 L2
D F2 D L D' L2 B'
D F2 D L' D' B' L2
D F2 D L' B' D' L2
F D2 L' D' F2 B' L2
F D2 L' D' B' L2 F2
F D2 L' D' B' F2 L2
D' F2 D2 L' B' L' F2
F D2 L' B' D' L2 F2
F D2 L' B' D' F2 L2
D F2 D' L D L2 B'
D F2 D' L' D B' L2
D' F2 D2 F2 L' B' L'
D F2 D2 L D2 L2 B'
D F2 D2 L' D2 B' L2
D F2 D2 L' B' D2 L2
D F2 B L' D B' L'
D F2 B L' D' B' L'
D F2 B L' D2 B' L'
D F2 B L' B L' B2
D F2 B L' B' L' D
D F2 B L' B' L' D'
D F2 B L' B' L' D2
D F2 B L' B' D L'
D F2 B L' B' D' L'
D F2 B L' B' D2 L'
D F2 B L' B2 L' B
D F2 B' L' D B' L'
D F2 B' L' D' B' L'
D F2 B' L' D2 B' L'
D F2 B' L' B L' B2
D F2 B' L' B' L' D
D F2 B' L' B' L' D'
D F2 B' L' B' L' D2
D F2 B' L' B' D L'
D F2 B' L' B' D' L'
D F2 B' L' B' D2 L'
D F2 B' L' B2 L' B
D2 B L D' L2 F2 B'
D2 B L D' L2 B' F2
D F2 B2 L' D B' L'
D F2 B2 L' D' B' L'
D F2 B2 L' D2 B' L'
D F2 B2 L' B L' B2
D F2 B2 L' B' L' D
D F2 B2 L' B' L' D'
D F2 B2 L' B' L' D2
D F2 B2 L' B' D L'
D F2 B2 L' B' D' L'
D F2 B2 L' B' D2 L'
D F2 B2 L' B2 L' B
D2 B L' D' F2 B' L2
D2 B L' D' B' L2 F2
D2 B L' D' B' F2 L2
B D2 U' R2 F' L' U
D2 B L' B' D' L2 F2
D2 B L' B' D' F2 L2
D' B L' B' D2 L2 F2
D' B L' B' D2 F2 L2
U' B L2 F B R U'
U' B L2 B F R U'
D B L' B L' F2 B2
D B L' B L' B2 F2
D B L' B' L F2 L2
D B L' B' L' F2 D
D B L' B' L' F2 D'
D B L' B' L' F2 D2
D B L' B' L2 F2 L
D B L' B2 L' F2 B
D B L' B2 L' B F2
D B L2 F2 L B' L'
U B L2 B U2 L' U
L' B U L' B U' B
L' B U B L' U' B
D2 B D' L' B' L' F2
D2 B D' F2 L' B' L'
L2 B D' B R' U' R
B' F U B' L2 R' U'
B' F U B' R' L2 U'
D B F' L' B' L' F'
D2 B' L D' L2 F2 B'
D2 B' L D' L2 B' F2
D B F2 L' D B' L'
D B F2 L' D' B' L'
D B F2 L' D2 B' L'
D B F2 L' B L' B2
D B F2 L' B' L' D
D B F2 L' B' L' D'
D B F2 L' B' L' D2
D B F2 L' B' D L'
D B F2 L' B' D' L'
D B F2 L' B' D2 L'
D B F2 L' B2 L' B
D2 B' L' D' F2 B' L2
D2 B' L' D' B' L2 F2
D2 B' L' D' B' F2 L2
D2 B' L' B' D' L2 F2
D2 B' L' B' D' F2 L2
D B' L' B L' F2 B2
D B' L' B L' B2 F2
D B' L' B' L F2 L2
D B' L' B' L' F2 D
D B' L' B' L' F2 D'
D B' L' B' L' F2 D2
D B' L' B' L2 F2 L
D B' L' B2 L' F2 B
D B' L' B2 L' B F2
D B' L2 F2 L B' L'
U B' L2 R' U2 F U
U B' R B' L2 R2 U'
U B' R B' R2 L2 U'
U B' R' L2 U2 F U
U B' R' D B' U' F2
L' B' U D B' L' U'
L' B' U D' B' L' U'
L' B' U D2 B' L' U'
L' B' U B L' B2 U'
U B' R' B L2 B2 U'
L' B' U B' L' U' D
L' B' U B' L' U' D'
L' B' U B' L' U' D2
L' B' U B' L' D U'
L' B' U B' L' D' U'
L' B' U B' L' D2 U'
U B' R' B' L2 U' D
U B' R' B' L2 U' D'
U B' R' B' L2 U' D2
U B' R' B' L2 D U'
U B' R' B' L2 D' U'
U B' R' B' L2 D2 U'
L' B' U B' D L' U'
L' B' U B' D' L' U'
L' B' U B' D2 L' U'
U B' R' B' U' D F2
U B' R' B' D U' F2
L' B' U B2 L' B U'
U B' R' B2 L2 B U'
U B' R2 B' L2 R U'
U B' R2 B' R L2 U'
U2 B' U' B' L2 R' U'
U2 B' U' B' R' L2 U'
L' B' D U B' L' U'
D2 B' D' L' B' L' F2
D2 B' D' F2 L' B' L'
L' B' D' U B' L' U'
D' B' D2 L' B' L' F
U B' D R' B' U' F2
L' B' D2 U B' L' U'
B' F' U B' L2 R' U'
B' F' U B' R' L2 U'
F' B' U B' L2 R' U'
F' B' U B' R' L2 U'
F2 B' U B' L2 R' U'
F2 B' U B' R' L2 U'
F B' U B' L2 R' U'
F B' U B' R' L2 U'
D B' F' L' B' L' F'
D' B2 L R2 F U2 R2
D2 B2 L D' L2 F2 B'
D2 B2 L D' L2 B' F2
D' B2 L F R2 U2 R2
D B' F2 L' D B' L'
D B' F2 L' D' B' L'
D B' F2 L' D2 B' L'
D B' F2 L' B L' B2
D B' F2 L' B' L' D
D B' F2 L' B' L' D'
D B' F2 L' B' L' D2
D B' F2 L' B' D L'
D B' F2 L' B' D' L'
D B' F2 L' B' D2 L'
D B' F2 L' B2 L' B
L' B2 L' R U' R' B
D' B2 L' R2 U2 R2 B'
D' B2 L' R2 U2 B' R2
L' B2 L' R2 U' R2 B
D2 B2 L' D' F2 B' L2
D2 B2 L' D' B' L2 F2
D2 B2 L' D' B' F2 L2
D2 B2 L' B' D' L2 F2
D2 B2 L' B' D' F2 L2
U B2 L D L U' B'
L' B2 R L' U' R' B
D B2 L' B L' F2 B2
D B2 L' B L' B2 F2
D B2 L' B' L F2 L2
D B2 L' B' L' F2 D
D B2 L' B' L' F2 D'
D B2 L' B' L' F2 D2
D B2 L' B' L2 F2 L
D B2 L' B2 L' F2 B
D B2 L' B2 L' B F2
L2 B2 R U' D2 R' B
D B2 L2 F2 L B' L'
L2 B2 R D2 U' R' B
U B2 L2 D' R' U' B
R B2 L2 U L' F U2
U B2 L2 B R' B' U'
D' B2 R2 L F U2 R2
D' B2 R2 L' U2 R2 B'
D' B2 R2 L' U2 B' R2
L' B2 R2 L' U' R2 B
D' B2 R2 U2 R B R
B' F2 U B' L2 R' U'
B' F2 U B' R' L2 U'
D2 B2 D' L' B' L' F2
L2 B2 D F' R U' R'
D2 B2 D' F2 L' B' L'
U B2 D L U' F2 B'
U B2 D L U' B' F2
L2 B2 D2 R' U' B R
D B2 F' L' B' L' F'
D B2 F2 L' D B' L'
D B2 F2 L' D' B' L'
D B2 F2 L' D2 B' L'
D B2 F2 L' B L' B2
D B2 F2 L' B' L' D
D B2 F2 L' B' L' D'
D B2 F2 L' B' L' D2
D B2 F2 L' B' D L'
D B2 F2 L' B' D' L'
D B2 F2 L' B' D2 L'
D B2 F2 L' B2 L' B
