L2 R U' B2 L U'
R L2 U' B2 L U'
R L2 U' B2 L U'
L2 R2 D B2 U2 L2
R2 L2 D B2 U2 L2
L2 R2 D' R2 U2 F2
R2 L2 D' R2 U2 F2
B' L2 U F U F'
U' L2 U' B2 U' B2
L2 U D2 F2 U F2
L2 U' B2 U B2 U2
L2 U' B2 U' D2 F2
L2 U' B2 D L2 U'
L2 U' B2 D2 U' F2
L2 U2 L2 D L2 F2
L2 U2 L2 D F2 L2
L2 U2 D L2 D F2
D' R2 U R2 B2 U
D' R2 U B2 R2 U
D' R2 U2 D' R2 F2
D' R2 U2 D' F2 R2
D' R2 D L2 B2 U2
D' R2 D B2 L2 U2
D' R2 D' U2 R2 F2
D' R2 D' U2 F2 R2
L U2 B2 U' R' B2
L2 D U2 L2 D F2
U2 D L2 D R2 F2
U2 D L2 D F2 R2
D2 U F2 U R2 F2
D2 U F2 U F2 R2
L2 D' R2 U R2 U
L2 D' R2 U2 D' F2
L2 D' R2 D B2 U2
L2 D' R2 D' U2 F2
D U2 L2 D R2 F2
D U2 L2 D F2 R2
L2 D2 U F2 U F2
U D2 F2 U R2 F2
U D2 F2 U F2 R2
D2 F2 U R2 D2 B2
D2 F2 U' F2 U2 R2
F' D2 F2 U R2 B
F2 D2 F2 U R2 B2
F2 D2 F2 U B2 R2
U' B2 U L2 B2 U2
U2 B2 U L2 U2 B2
U' B2 U B2 L2 U2
U' B2 U' D2 R2 F2
U' B2 U' D2 F2 R2
U2 B2 U' B2 D2 R2
U' B2 D L2 F2 U'
U' B2 D F2 L2 U'
U' B2 D2 U' R2 F2
U' B2 D2 U' F2 R2
D2 U B2 F2 U F2 R2
L' D' R2 L' U R2 U
L' D' R2 L' U2 D' F2
L' D' R2 L' D B2 U2
L' D' R2 L' D' U2 F2
L' D' R2 U2 D' F2 R
L' D' R2 D L' B2 U2
L' D' R2 D B2 L' U2
L' D' R2 D' L' U2 F2
L' D' R2 D' U2 F2 R
U2 D B2 F2 U' L2 B2
U2 D B2 F2 U' B2 L2
L2 D' R2 U R2 U D
L2 D' R2 U R2 U D'
L2 D' R2 U R2 U D2
L2 D' R2 U R2 D U
L2 D' R2 U R2 D' U
L2 D' R2 U R2 D2 U
L2 D' R2 U' D2 L2 U'
L2 D' R2 U2 D' F2 D
L2 D' R2 U2 D' F2 D'
L2 D' R2 U2 D' F2 D2
L2 D' R2 U2 F D' F2
L2 D' R2 U2 F' D' F2
L2 D' R2 U2 F2 D' F2
R2 D' R2 U B2 U F2
L2 D' R2 D B2 U2 D
L2 D' R2 D B2 U2 D'
L2 D' R2 D B2 U2 D2
L2 D' R2 D B2 D U2
L2 D' R2 D B2 D' U2
L2 D' R2 D B2 D2 U2
L2 D' R2 D' U2 F2 D
L2 D' R2 D' U2 F2 D'
L2 D' R2 D' U2 F2 D2
L2 D' R2 D' B U2 F2
L2 D' R2 D' B' U2 F2
L2 D' R2 D' B2 U2 F2
R2 D' R2 U2 F2 D' R2
L2 D' R2 D2 U' L2 U'
L2 D' R2 B U R2 U
L D' R2 L U R2 U
L2 D' R2 B U2 D' F2
L D' R2 L U2 D' F2
L2 D' R2 B D B2 U2
L2 D' R2 B D' U2 F2
L D' R2 L D B2 U2
L D' R2 L D' U2 F2
L2 D' R2 B' U R2 U
L2 D' R2 B' U2 D' F2
L2 D' R2 B' D B2 U2
L2 D' R2 B' D' U2 F2
L2 D' R2 B2 U R2 U
L2 D' R2 B2 U2 D' F2
L2 D' R2 B2 D B2 U2
L2 D' R2 B2 D' U2 F2
R D' R2 U R B2 U
R D' R2 U B2 R U
L D' R2 D L B2 U2
L D' R2 D B2 U2 R'
L D' R2 D' L U2 F2
R D' U R' B2 U L
F' U' L2 U' B2 U' B
F' U' L2 U2 D B' L2
F' U' L2 D U2 B' L2
B2 U' L2 U2 L2 D' B2
F' U' L2 D' R2 U2 B'
U' D' R2 D L2 U2 B2
D' U' R2 D L2 U2 B2
U' D' R2 D' F2 U2 R2
D' U' R2 D' F2 U2 R2
F2 U' L2 F2 U' B2 U'
F2 U' L2 F2 U2 D L2
F2 U' L2 F2 D U2 L2
F2 U' L2 F2 D' R2 U2
B U' L2 U' B U' B'
F U' L2 D F' U2 L2
F U' L2 D' R2 U2 B
F U' L2 D' F' R2 U2
F U' L2 F' U' B2 U'
F U' L2 F' U2 D L2
F U' L2 F' D U2 L2
F U' L2 F' D' R2 U2
L2 D' B R2 U R2 U
L2 D' B R2 U2 D' F2
L2 D' B R2 D B2 U2
L2 D' B R2 D' U2 F2
L2 D' B' R2 U R2 U
L2 D' B' R2 U2 D' F2
L2 D' B' R2 D B2 U2
L2 D' B' R2 D' U2 F2
L2 D' B2 R2 U R2 U
L2 D' B2 R2 U2 D' F2
L2 D' B2 R2 D B2 U2
L2 D' B2 R2 D' U2 F2
D U' F2 U' L2 D F2
D U' F2 B U' L2 F
L' D2 L' U F2 U F2
B' U' D2 B' U' R2 F'
D U' B F2 U' L2 F
F' U' F L2 U' B2 U'
F' U' F L2 U2 D L2
F' U' F L2 D U2 L2
F' U' F L2 D' R2 U2
L D2 L U F2 U F2
U D' B2 D' F2 U F2
L2 D2 R U R' F2 U
L2 D2 R U F2 R' U
F2 U' F2 L2 U' B2 U'
F2 U' F2 L2 U2 D L2
F2 U' F2 L2 D U2 L2
F2 U' F2 L2 D' R2 U2
F U' F' L2 U' B2 U'
F U' F' L2 U2 D L2
F U' F' L2 D U2 L2
F U' F' L2 D' R2 U2
L2 D2 R' U R F2 U
D U2 L2 R D R2 F2
D U2 L2 R D F2 R2
D U2 L2 R' D R2 F2
D U2 L2 R' D F2 R2
D U2 L2 R2 D R2 F2
D U2 L2 R2 D F2 R2
D U2 L2 U L2 F2 U'
D U2 L2 U F2 L2 U'
L2 D2 R2 U R2 F2 U
L2 D2 R2 U F2 R2 U
B' U' B' U L2 B U2
L2 D2 R2 U2 D' L2 F2
L2 D2 R2 U2 D' F2 L2
B' U' B' U B L2 U2
D U2 L2 D R' F2 R'
D U2 L2 D R2 F2 D
D U2 L2 D R2 F2 D'
D U2 L2 D R2 F2 D2
D U2 L2 D F R2 F
D U2 L2 D F2 R2 D
D U2 L2 D F2 R2 D'
L2 D2 R2 D R2 B2 U2
D U2 L2 D F2 R2 D2
B' U' B' U' D2 R2 F'
L2 D2 R2 D B2 R2 U2
B U' B U L2 U2 F
L2 D2 R2 D' U2 L2 F2
L2 D2 R2 D' U2 F2 L2
U D2 L2 R2 D' L2 B2
U D2 L2 R2 D' B2 L2
B U' B U B' L2 U2
B' U' B' D2 U' R2 F'
L' D2 U F2 U R F2
D U2 R L2 D R2 F2
D U2 R L2 D F2 R2
L2 D2 U R F2 U F2
L2 D2 U R' F2 U F2
L2 D2 U R2 F2 U F2
L2 D2 U F2 R U F2
L2 D2 U F2 R' U F2
L2 D2 U F2 R2 U F2
L2 D2 U F2 U F2 D
L2 D2 U F2 U F2 D'
L2 D2 U F2 U F2 D2
L2 D2 U F2 D R2 U
D2 U2 R2 U' F2 U F2
D U2 R' L2 D R2 F2
D U2 R' L2 D F2 R2
U D2 R F2 U F2 R
D2 U2 R2 D' L2 D F2
R D2 U R' F2 U R'
R D2 U F2 R' U R'
U2 D2 R2 U' F2 U F2
U2 D2 R2 D' L2 D F2
D U2 R2 L2 D R2 F2
D U2 R2 L2 D F2 R2
U D2 R' F2 U R' F2
U D2 R' F2 U F2 R'
U D2 R2 L2 D' L2 B2
U D2 R2 L2 D' B2 L2
U D2 R2 D' L2 D' B2
L' D2 F2 U R D2 B2
L' D2 F2 U D2 R B2
L' D2 F2 U D2 B2 R
L' D2 F2 U' F2 L' U2
L' D2 F2 D' L2 U R
L' D2 F2 D2 U R B2
L' D2 F2 D2 U B2 R
D U2 F2 U' L2 D' B2
U D2 F2 R U R F2
U D2 F2 R' U R' F2
U D2 F2 R' U F2 R'
D U2 F2 D' B2 U' B2
U D2 F2 U R' F2 R'
U D2 F2 U R2 F2 D
U D2 F2 U R2 F2 D'
U D2 F2 U R2 F2 D2
D U2 F2 B U' B' L2
U D2 F2 U F R2 F
U D2 F2 U F2 R2 D
U D2 F2 U F2 R2 D'
U D2 F2 U F2 R2 D2
D U2 F2 B' U' L2 B
D U2 F2 B' U' B L2
L2 D2 B U F2 U F2
D U2 F2 B2 U' L2 B2
D U2 F2 B2 U' B2 L2
L D2 F2 U D2 B2 R'
L D2 F2 U' L F2 U2
U D2 F2 D R2 B2 U
L D2 F2 U' F2 L U2
U D2 F2 D B2 R2 U
U D2 F2 B U R2 F2
U D2 F2 B U F2 R2
U D2 F2 B' U R2 F2
U D2 F2 B' U F2 R2
L D2 F2 D2 U B2 R'
U D2 F2 B2 U R2 F2
U D2 F2 B2 U F2 R2
L2 D2 B' U F2 U F2
D U2 B F2 U' B' L2
U D2 B F2 U R2 F2
U D2 B F2 U F2 R2
B' U2 D F2 B' U' B
B' U2 D B' F2 U' B
F2 U2 D R2 F2 U' L2
F2 U2 D F2 R2 U' L2
L2 D2 B2 U F2 U F2
D U2 B' F2 U' L2 B
D U2 B' F2 U' B L2
U D2 B' F2 U R2 F2
U D2 B' F2 U F2 R2
B U2 D F2 B U' B'
B U2 D B F2 U' B'
D U2 B2 F2 U' L2 B2
D2 F L' U R2 B L
D U2 B2 F2 U' B2 L2
F U2 D F2 U' L2 B'
B' U2 D2 B' U' B R2
U D2 B2 F2 U R2 F2
U D2 B2 F2 U F2 R2
U' F L2 U' B2 U' B2
B U2 D2 B U' R2 B'
B U2 D2 B U' B' R2
B' U2 B' U L2 U2 B
B' U2 B' U' D2 B R2
B' U2 B' U' B D2 R2
B' U2 B' D F2 U' B
B U2 B U L2 F U2
B U2 B U' D2 R2 B'
B' U2 B' D2 U' B R2
B U2 B U' D2 B' R2
B U2 B U' B' D2 R2
B U2 B D F2 U' B'
B U2 B D2 U' R2 B'
B U2 B D2 U' B' R2
F' U2 B2 U L2 U2 B'
F' U2 B2 U F L2 U2
F2 U2 B2 U L2 F2 U2
F2 U2 B2 U F2 L2 U2
F2 U2 B2 U' D2 R2 B2
F2 U2 B2 U' D2 B2 R2
F2 U2 B2 D R2 F2 U'
F2 U2 B2 D F2 R2 U'
F2 U2 B2 D2 U' R2 B2
F2 U2 B2 D2 U' B2 R2
F U2 B2 U L2 F' U2
F U2 B2 U F' L2 U2
F U2 B2 U' D2 R2 B
F U2 B2 D2 U' R2 B
U2 F D L2 D R2 F2
U2 F D L2 D F2 R2
U F D2 F2 U R2 F
U F D2 F2 U F R2
F' D U L2 D R2 B'
F' D U L2 D B' R2
U' F B2 U L2 B2 U2
F' D U L2 B' D R2
U' F B2 U B2 L2 U2
U' F B2 U' D2 R2 F2
U' F B2 U' D2 F2 R2
U' F B2 D L2 F2 U'
U' F B2 D F2 L2 U'
F2 D U L2 D R2 B2
F2 D U L2 D B2 R2
D' F B2 U' R2 U2 B
D' F B2 U' F' R2 U2
U' F B2 D2 U' R2 F2
U' F B2 D2 U' F2 R2
U2 F B2 U L2 U2 B2
U2 F B2 U' B2 D2 R2
F D U L2 D R2 B
B' D U2 F2 B' U' B
B' D U2 B' F2 U' B
F2 D U2 R2 F2 U' L2
F2 D U2 F2 R2 U' L2
U' F' L2 U' B2 U' B2
B D U2 F2 B U' B'
B D U2 B F2 U' B'
D2 F' L2 F' U R2 B'
D2 F' L2 F' U B' R2
F D U2 F2 U' L2 B'
B2 D F2 U F2 U2 F2
U2 F' D L2 D R2 F2
U2 F' D L2 D F2 R2
F2 D' L2 D' F2 U R2
D' F' D' F2 U R2 B
F2 D' L2 B2 U D2 L2
F2 D' L2 B2 U' R2 U2
F2 D' L2 B2 D' F2 U
F2 D' L2 B2 D2 U L2
U F' D2 F2 U F' R2
U' F' B2 U L2 B2 U2
U' F' B2 U B2 L2 U2
U' F' B2 U' D2 R2 F2
U' F' B2 U' D2 F2 R2
U' F' B2 D L2 F2 U'
U' F' B2 D F2 L2 U'
D' F' B2 U D2 L2 B'
D' F' B2 U' R2 F U2
U' F' B2 D2 U' R2 F2
U' F' B2 D2 U' F2 R2
D' F' B2 U' F R2 U2
D' F' B2 D2 U L2 B'
D2 F2 L U R2 D2 B2
D2 F2 L U' F2 U2 R2
U2 F' B2 U L2 U2 B2
U2 F' B2 U' B2 D2 R2
D2 F2 L' U R2 D2 B2
D2 F2 L' U' F2 U2 R2
U' F2 L2 U' B2 U' B2
D2 F2 L2 U R2 D2 B2
D2 F2 L2 U' F2 U2 R2
D2 F2 U R D2 R B2
D2 F2 U R D2 B2 R
D2 F2 U R' D2 R' B2
D2 F2 U R2 U2 F2 U2
D2 F2 U R2 D2 B2 D
D2 F2 U R2 D2 B2 D'
D2 F2 U R2 D2 B2 D2
D2 F2 U R2 B D2 B2
D2 F2 U R2 B' D2 B2
D2 F2 U R2 B2 D2 B2
D2 F2 U D2 B2 D2 R2
D2 F2 U F' R2 F B
D2 F2 U F' R2 B F
D2 F2 U B R2 D2 B2
D2 F2 U B' R2 D2 B2
D2 F2 U B2 R2 D2 B2
B' D' B2 U2 B U' B'
D2 F2 U' L F2 U2 R2
D2 F2 U' L' F2 U2 R2
D2 F2 U' L2 F2 U2 R2
F' D' B2 U D2 L2 B'
F2 D' B2 L2 U D2 L2
F2 D' B2 L2 U' R2 U2
F' D' B2 U' R2 F U2
F2 D' B2 L2 D' F2 U
F2 D' B2 L2 D2 U L2
F' D' B2 U' F R2 U2
F' D' B2 D2 U L2 B'
D2 F2 U' D2 L2 U2 B2
B2 D' B2 U2 B2 U' B2
D F2 U L2 D2 R2 B2
D F2 U L2 D2 B2 R2
D2 F2 U' F' U2 R2 B
D2 F2 U' F2 L U2 R2
D2 F2 U' F2 L' U2 R2
D2 F2 U' F2 L2 U2 R2
D2 F2 U' F2 U2 R2 D
D2 F2 U' F2 U2 R2 D'
D2 F2 U' F2 U2 R2 D2
D2 F2 U' F2 D2 L2 U2
F2 D' B2 D' F2 U B2
D F2 U F2 U2 L2 F2
D F2 U F2 U2 F2 L2
B D' B2 U2 B' U' B
D2 F2 U2 F' U' R2 B
F2 D2 L F2 U R2 B2
F2 D2 L F2 U B2 R2
F D' B2 U' R2 U2 B
F D' B2 U' F' R2 U2
F2 D2 L' F2 U R2 B2
F2 D2 L' F2 U B2 R2
D2 F2 D B2 U D B2
U2 F2 D L2 D R2 F2
D2 F2 D B2 U2 R2 U'
U2 F2 D L2 D F2 R2
D2 F2 D B2 D U B2
D2 F2 D B2 D2 L2 U
B' D2 L2 F U R2 B
D2 F2 D' L2 U D R2
D2 F2 D' L2 U2 F2 U'
D2 F2 D' L2 D U R2
D2 F2 D' L2 D2 B2 U
D' F2 D' L2 F2 U R2
F' D2 L2 F2 U R2 B'
F' D2 L2 F2 U B' R2
D' F2 D' F2 L2 U R2
F2 D2 L2 F2 U R2 B2
F2 D2 L2 F2 U B2 R2
D2 F2 D2 L U B2 R'
D2 F2 D2 U B2 D2 R2
D2 F2 D2 U' L2 U2 B2
D2 F2 B U R2 D2 B2
D2 F2 B U' F2 U2 R2
F' D2 R2 D' L2 F2 B'
F' D2 R2 D' L2 B' F2
D2 F2 B' U R2 D2 B2
D2 F2 B' U' F2 U2 R2
U' F2 B2 U L2 B2 U2
L F2 D2 F2 U B2 R'
U' F2 B2 U B2 L2 U2
U' F2 B2 U' D2 R2 F2
U' F2 B2 U' D2 F2 R2
U' F2 B2 D L2 F2 U'
U' F2 B2 D F2 L2 U'
F2 D2 R2 B2 D' L2 F2
F2 D2 R2 B2 D' F2 L2
D2 F2 B2 U R2 D2 B2
F' D2 U R2 D' L2 B'
D' F2 B2 U D2 L2 B2
D' F2 B2 U D2 B2 L2
U' F2 B2 D2 U' R2 F2
U' F2 B2 D2 U' F2 R2
D2 F2 B2 U' F2 U2 R2
D' F2 B2 U' R2 F2 U2
D' F2 B2 U' F2 R2 U2
D' F2 B2 D' L2 F2 U
D' F2 B2 D' F2 L2 U
D' F2 B2 D2 U L2 B2
D' F2 B2 D2 U B2 L2
F2 D2 U R2 B2 D' L2
F D2 R2 D' L2 F2 B
F D2 R2 D' L2 B F2
U2 F2 B2 U L2 U2 B2
F2 D2 U B2 R2 D' L2
F D2 R2 D' F2 L2 B
F D2 R2 D' F2 B L2
F D2 R2 D' B L2 F2
F D2 R2 D' B F2 L2
B' D2 U' B' U' R2 F'
U2 F2 B2 U' B2 D2 R2
F D2 R2 B D' L2 F2
F D2 R2 B D' F2 L2
F D2 U R2 D' L2 B
F D2 U R2 D' B L2
B' D2 U2 B' U' B R2
F D2 U R2 B D' L2
B D2 U2 B U' R2 B'
B D2 U2 B U' B' R2
R2 B L2 U R2 F' U
F' D2 F2 L U R2 B
F' D2 F2 L' U R2 B
F' D2 F2 L2 U R2 B
F2 D2 F2 L U R2 B2
F2 D2 F2 L U B2 R2
F' D2 F2 U R2 D B
F' D2 F2 U R2 D' B
F' D2 F2 U R2 D2 B
F' D2 F2 U R2 B D
F' D2 F2 U R2 B D'
F' D2 F2 U R2 B D2
F2 D2 F2 L' U R2 B2
F2 D2 F2 L' U B2 R2
F' D2 F2 U B R2 B
F' D2 F2 U B' R2 B
F' D2 F2 U B2 R2 B
F2 D2 F2 L2 U R2 B2
F2 D2 F2 L2 U B2 R2
F' D2 F2 U' F' U2 R2
F2 D2 F2 U R B2 R
F2 D2 F2 U R2 B2 D
F2 D2 F2 U R2 B2 D'
F2 D2 F2 U R2 B2 D2
F2 D2 F2 U B' R2 B'
F2 D2 F2 U B2 R2 D
F2 D2 F2 U B2 R2 D'
F2 D2 F2 U B2 R2 D2
F' D2 F2 B U R2 B
F' D2 F2 B' U R2 B
F' D2 F2 B2 U R2 B
F2 D2 F2 D L2 B2 U
F2 D2 F2 D B2 L2 U
F2 D2 F2 B U B R2
F2 D2 F2 B' U R2 B'
F2 D2 F2 B' U B' R2
D' B R2 U R2 B U
F D2 F2 L2 U R2 B'
F D2 F2 L2 U B' R2
F' D2 B F2 U R2 B
F D2 F2 U' F U2 R2
F2 D2 B F2 U B R2
L2 B R2 U F' R2 U
F' D2 B' F2 U R2 B
D2 B U F2 U R2 F2
D2 B U F2 U F2 R2
F2 D2 B' F2 U R2 B'
F2 D2 B' F2 U B' R2
L2 B U R2 F' U F
F2 D2 B2 R2 D' L2 F2
F2 D2 B2 R2 D' F2 L2
F' D2 B2 F2 U R2 B
L2 B U' B L2 U' F
L2 B U' B U B' U2
D B U2 L2 D R2 F2
D B U2 L2 D F2 R2
U2 B D F2 B U' B2
U2 B D B F2 U' B2
L B U2 B U' R' B'
U2 B D2 B U' R2 B2
U2 B D2 B U' B2 R2
D2 B F2 U R2 D2 B2
B2 F U L2 F' U2 F
D2 B F2 U' F2 U2 R2
B2 F U F' L2 B' U2
B2 F U' L2 F' U2 L2
B2 F U' F' L2 U2 L2
R' B' L2 U R F U
R2 B' L2 U R2 F U
R2 B' L2 U F R2 U
F2 B D' B2 L2 F U
D' B' R2 U R2 B' U
D' B' R2 U B' R2 U
D2 B' U F2 U R2 F2
D2 B' U F2 U F2 R2
L2 B' U' B' U B U2
D B' U2 L2 D R2 F2
D B' U2 L2 D F2 R2
U2 B' D F2 B' U' B2
U2 B' D B' F2 U' B2
B2 F' U F L2 U2 F'
B2 F' U' L2 U2 B' L2
U2 B' D2 B' U' R2 B2
U2 B' D2 B' U' B2 R2
B2 F' U' F L2 U2 L2
D2 B' F2 U R2 D2 B2
D2 B' F2 U' F2 U2 R2
U' B2 L U L B2 U2
U' B2 L U B2 U2 R'
U' B2 L' U L' B2 U2
U' B2 L' U B2 L' U2
U' B2 L' U' D2 F2 R
U' B2 L' D2 U' F2 R
F2 B' D' L2 F B2 U
F2 B' D' L2 B2 F U
U2 B2 R U L2 U2 B2
U2 B2 R U' B2 D2 R2
U2 B2 R' U L2 U2 B2
R B2 L2 U' L' U' L
U2 B2 R' U' B2 D2 R2
D' B2 R2 U R2 U R2
U' B2 U L B2 U2 R'
U' B2 U L' B2 L' U2
U' B2 U L2 U2 D2 F2
U' B2 U L2 D2 U2 F2
U' B2 U L2 B2 U2 D
U' B2 U L2 B2 U2 D'
U' B2 U L2 B2 U2 D2
U' B2 U L2 B2 D U2
U' B2 U L2 B2 D' U2
U' B2 U L2 B2 D2 U2
U2 B2 R2 U L2 U2 B2
U2 B2 R2 U' B2 D2 R2
U' B2 U B L2 B U2
U' B2 U B' L2 U2 F
U' B2 U B2 L2 U2 D
U' B2 U B2 L2 U2 D'
U' B2 U B2 L2 U2 D2
U' B2 U B2 L2 D U2
U' B2 U B2 L2 D' U2
U' B2 U B2 L2 D2 U2
U' B2 U B2 U2 D2 R2
U' B2 U B2 D2 U2 R2
D' B2 U D2 L2 D' B2
D2 B2 U F2 U R2 F2
D2 B2 U F2 U F2 R2
U' B2 U' R D2 R2 F2
U' B2 U' R D2 F2 R2
U2 B2 U L U2 B2 R'
U' B2 U' R' D2 R2 F2
U' B2 U' R' D2 F2 R2
U' B2 U' R2 D2 R2 F2
U' B2 U' R2 D2 F2 R2
U2 B2 U L2 U2 B2 D
U2 B2 U L2 U2 B2 D'
U2 B2 U L2 U2 B2 D2
U2 B2 U L2 D2 F2 U2
U2 B2 U L2 F U2 B2
U2 B2 U L2 F' U2 B2
U2 B2 U L2 F2 U2 B2
U' B2 U' D2 R' F2 R'
U' B2 U' D2 R2 F2 D
U' B2 U' D2 R2 F2 D'
U' B2 U' D2 R2 F2 D2
U' B2 U' D2 F R2 F
U' B2 U' D2 F2 R2 D
U' B2 U' D2 F2 R2 D'
U' B2 U' D2 F2 R2 D2
U' B2 U' F D2 R2 F2
U' B2 U' F D2 F2 R2
U' B2 U' F' D2 R2 F2
U' B2 U' F' D2 F2 R2
U' B2 U' F2 D2 R2 F2
U' B2 U' F2 D2 F2 R2
U2 B2 U D2 F2 U2 R2
D' B2 U' R2 U' R2 U'
D' B2 U' R2 U2 D B2
U2 B2 U F L2 U2 B2
D' B2 U' R2 D U2 B2
D' B2 U' R2 D' F2 U2
U2 B2 U F' L2 U2 B2
U2 B2 U F2 L2 U2 B2
U2 B2 U' L B2 L' R'
U2 B2 U' L B2 R' L'
U' B2 U2 D' R2 B2 U
U' B2 U2 D' B2 R2 U
U2 B2 U' R B2 D2 R2
U2 B2 U' R' B2 D2 R2
U2 B2 U' R2 B2 D2 R2
U2 B2 U' D2 R2 D2 B2
D' B2 U2 D B2 U' B2
U' B2 D L F2 L U'
U2 B2 U' B D2 B R2
U' B2 D L2 U' D R2
U' B2 D L2 D U' R2
U' B2 D L2 F2 U' D
U' B2 D L2 F2 U' D'
U' B2 D L2 F2 U' D2
U' B2 D L2 F2 D U'
U' B2 D L2 F2 D' U'
U' B2 D L2 F2 D2 U'
U2 B2 U' B' D2 R2 B'
U2 B2 U' B' D2 B' R2
U2 B2 U' B2 R D2 R2
U2 B2 U' B2 R' D2 R2
U2 B2 U' B2 R2 D2 R2
U2 B2 U' B2 U2 L2 U2
U2 B2 U' B2 D2 R2 D
U2 B2 U' B2 D2 R2 D'
U2 B2 U' B2 D2 R2 D2
U2 B2 U2 L U B2 R'
B2 F2 U L2 F2 U2 F2
U' B2 D F' L2 F' U'
F2 B2 U L2 F2 U2 F2
U' B2 D F2 L2 U' D
U' B2 D F2 L2 U' D'
U' B2 D F2 L2 U' D2
U' B2 D F2 L2 D U'
U' B2 D F2 L2 D' U'
U' B2 D F2 L2 D2 U'
U' B2 D F2 U' D F2
U' B2 D F2 D U' F2
F' B2 U F L2 U2 F'
D' B2 D U2 B2 U' B2
B2 F2 U F2 L2 U2 F2
D B2 U2 L2 D R2 F2
D B2 U2 L2 D F2 R2
F2 B2 U F2 L2 U2 F2
F' B2 U' L2 U2 B' L2
U' B2 D' U2 R2 B2 U
B2 F2 U' L2 F2 U2 L2
U' B2 D' U2 B2 R2 U
F2 B2 U' L2 F2 U2 L2
F' B2 U' F L2 U2 L2
U' B2 D2 L U' R2 F2
U' B2 D2 L U' F2 R2
U2 B2 D F2 U' D' B2
U2 B2 D F2 U2 L2 U
U2 B2 D F2 D' U' B2
U2 B2 D F2 D2 R2 U'
U' B2 D2 L' U' R2 F2
U' B2 D2 L' U' F2 R2
B2 F2 U' F2 L2 U2 L2
U' B2 D2 L2 U' R2 F2
U' B2 D2 L2 U' F2 R2
F B2 U L2 F' U2 F
D' B2 D' F2 U D2 B2
D' B2 D' F2 U' F2 U2
D' B2 D' F2 D' L2 U
D' B2 D' F2 D2 U B2
F2 B2 U' F2 L2 U2 L2
U' B2 D2 U' R' F2 R'
U' B2 D2 U' R2 F2 D
U' B2 D2 U' R2 F2 D'
U' B2 D2 U' R2 F2 D2
U' B2 D2 U' F R2 F
U' B2 D2 U' F2 R2 D
U' B2 D2 U' F2 R2 D'
U' B2 D2 U' F2 R2 D2
U' B2 D2 F U' R2 F
U' B2 D2 F U' F R2
U2 B2 D' R2 U' D' R2
U2 B2 D' R2 U2 B2 U
U2 B2 D' R2 D' U' R2
U2 B2 D' R2 D2 F2 U'
U' B2 D2 F' U' F' R2
F B2 U F' L2 B' U2
D' B2 D2 U L2 D' B2
D' B2 D2 F' U L2 B'
F B2 U' L2 F' U2 L2
U' B2 F U L2 B2 U2
U' B2 F U B2 L2 U2
U' B2 F U' D2 R2 F2
U' B2 F U' D2 F2 R2
U' B2 F D L2 F2 U'
U' B2 F D F2 L2 U'
F B2 U' F' L2 U2 L2
U2 B2 D2 U F2 U2 R2
U2 B2 D2 U' R2 D2 B2
U' B2 F D2 U' R2 F2
U' B2 F D2 U' F2 R2
B' F2 D' L2 F B2 U
B' F2 D' L2 B2 F U
U2 B2 D2 F' U' R2 B
D' B2 F U' R2 U2 B
D' B2 F U' F' R2 U2
U' B2 F' U L2 B2 U2
U' B2 F' U B2 L2 U2
U' B2 F' U' D2 R2 F2
U' B2 F' U' D2 F2 R2
U' B2 F' D L2 F2 U'
U' B2 F' D F2 L2 U'
U' B2 F' D2 U' R2 F2
U' B2 F' D2 U' F2 R2
U2 B2 F U L2 U2 B2
D' B2 F' U D2 L2 B'
D' B2 F' U' R2 F U2
D' B2 F' U' F R2 U2
U2 B2 F U' B2 D2 R2
U' B2 F2 U L2 B2 U2
D' B2 F' D2 U L2 B'
U' B2 F2 U B2 L2 U2
U' B2 F2 U' D2 R2 F2
U' B2 F2 U' D2 F2 R2
U' B2 F2 D L2 F2 U'
U' B2 F2 D F2 L2 U'
D2 B2 F2 U R2 D2 B2
U' B2 F2 D2 U' R2 F2
U' B2 F2 D2 U' F2 R2
D2 B2 F2 U' F2 U2 R2
U2 B2 F' U L2 U2 B2
D' B2 F2 U D2 L2 B2
D' B2 F2 U D2 B2 L2
D' B2 F2 U' R2 F2 U2
U2 B2 F' U' B2 D2 R2
D' B2 F2 U' F2 R2 U2
D' B2 F2 D' L2 F2 U
D' B2 F2 D' F2 L2 U
D' B2 F2 D2 U L2 B2
D' B2 F2 D2 U B2 L2
B F2 D' B2 L2 F U
U2 B2 F2 U L2 U2 B2
U2 B2 F2 U' B2 D2 R2
