D L' R2 F2 U' L
U L' U L' F2 U2
D2 L' U' L R2 B2
D2 L' U' L B2 R2
U L' U F2 U2 R
D2 L' U' R2 L B2
D L' F2 R2 U' L
F2 L2 U R U L2
L' U L' F2 U2 L2
U2 L2 F2 U' L U'
D' L2 B2 R' U L2
L' U F2 U2 L R
L' U F2 U2 R L
L' U' L D2 R2 B2
L' U' L D2 B2 R2
D R2 L' F2 U' L
D2 R2 U L' U' B2
D2 R2 B2 U L' U'
D2 U L' U' R2 B2
D2 U L' U' B2 R2
U D L' R2 F2 U'
D U L' R2 F2 U'
U D L' F2 R2 U'
D U L' F2 R2 U'
U D R2 L' F2 U'
D U R2 L' F2 U'
U' D' L2 B2 R' U
D' U' L2 B2 R' U
U D2 L' U' R2 B2
U D2 L' U' B2 R2
U2 F2 L2 U R U
L2 F2 U' L U' L
D2 B2 R2 U L' U'
D2 B2 U L' U' R2
D2 B2 U L' U' R2
L2 F2 U' L U' D2 L
L2 F2 U' L D U' L
L2 F2 U' L D' U' L
L2 F2 U' L D2 U' L
D' F2 U' B2 L2 R U
D' F2 U' B2 R L2 U
U2 F2 U' D F2 L' U'
L2 F2 U' D' L B2 U'
B' D2 L' U' L R2 B2
B' D2 L' U' L B2 R2
B' D2 L' U' R2 L B2
L2 F2 U2 L' D L' F2
L2 F2 U2 L2 U L' U'
B2 D2 L' U' L R2 B2
B2 D2 L' U' L B2 R2
B2 D2 L' U' R2 L B2
B D2 L' U' L R2 B2
B D2 L' U' L B2 R2
B D2 L' U' R2 L B2
U2 F2 D U' F2 L' U'
L F2 D L R U2 F2
L F2 D L U2 F2 L'
F' D2 R D' R F' B
F' D2 R D' R B F'
U2 F2 D' U R B2 U
L F2 D R L U2 F2
U2 F2 D' U B2 R U
L2 F2 D' U' L B2 U'
L F2 D' L R B2 U2
L F2 D' L B2 R U2
L2 F2 D2 R2 U' L U'
U2 F2 D2 U R U R
L F2 D' R L B2 U2
L F2 D' R B2 U2 R'
B' D2 R2 U L' U' B2
U2 F2 B L2 U R U
L F2 D' B2 R U2 R2
B2 D2 R2 U L' U' B2
B' D2 R2 B2 U L' U'
B' D2 U L' U' R2 B2
B' D2 U L' U' B2 R2
F' D2 R2 B U' R' U
U2 F2 B' L2 U R U
D' F2 B2 L2 R U L2
D' F2 B2 R L2 U L2
B2 D2 R2 B2 U L' U'
D2 F2 B2 R' D' R' F2
D2 F2 B2 R' D' F2 R'
D2 F2 B2 R2 U' R' U
B2 D2 U L' U' R2 B2
B2 D2 U L' U' B2 R2
B D2 R2 U L' U' B2
D2 F2 B2 U' R U R
U2 F2 B2 L2 U R U
B D2 R2 B2 U L' U'
L2 F2 B2 U R' U L2
B D2 U L' U' R2 B2
B D2 U L' U' B2 R2
D2 B L' U' L B R2
D B L' R2 F2 U' L
D B L' F2 R2 U' L
U2 B L2 F2 U' L U'
D2 B U L' U' B R2
D B R2 L' F2 U' L
B' D2 B2 R2 U L' U'
B' D2 B2 U L' U' R2
B2 D2 B2 R2 U L' U'
B2 D2 B2 U L' U' R2
D B U L' R2 F2 U'
D B U L' F2 R2 U'
D B U R2 L' F2 U'
B D2 B2 R2 U L' U'
B D2 B2 U L' U' R2
U' B D' L2 B2 R' U
F2 B L2 U R U L2
U2 B F2 L2 U R U
D2 B' L' U' L R2 B'
D2 B' L' U' L B' R2
D2 B' L' U' R2 L B'
D B' L' R2 F2 U' L
D B' L' F2 R2 U' L
U2 B' L2 F2 U' L U'
D2 B' R2 B' U L' U'
D B' R2 L' F2 U' L
D B' U L' R2 F2 U'
D B' U L' F2 R2 U'
F2 B' L2 U R U L2
D B' U R2 L' F2 U'
U' B' D' L2 B2 R' U
D2 B2 L R2 D L' F2
U2 B' F2 L2 U R U
D' B2 L2 U2 L U' L
D B2 L' R2 F2 U' L
D2 B2 R U L' U' R
D B2 L' F2 R2 U' L
U2 B2 L2 F2 U' L U'
D2 B2 R' U L' U' R'
B' F2 L2 U R U L2
D2 B2 R' F2 R' D' F2
D2 B2 R2 L D L' F2
D2 B2 R2 U L' U' D
D2 B2 R2 U L' U' D'
D2 B2 R2 U L' U' D2
D2 B2 R2 U L' D U'
D2 B2 R2 U L' D' U'
D2 B2 R2 U L' D2 U'
D2 B2 R2 U D L' U'
D2 B2 R2 U D' L' U'
D2 B2 R2 U D2 L' U'
B2 F2 L2 U R U L2
F2 B2 L2 U R U L2
D2 B2 R2 D U L' U'
D2 B2 R2 D' U L' U'
D2 B2 R2 D2 U L' U'
D2 B2 R2 F2 U' R U
D2 B2 U L' U' R2 D
D2 B2 U L' U' R2 D'
D2 B2 U L' U' R2 D2
D2 B2 U L' D' F2 U'
D2 B2 U L' F U' R2
D2 B2 U L' F' U' R2
D2 B2 U L' F2 U' R2
B F2 L2 U R U L2
L' B2 U L' R' F2 U2
L' B2 U L' F2 R' U2
D2 B2 U D' L' F2 U'
L' B2 U R' L' F2 U2
L' B2 U R' F2 U2 R
D B2 R2 L' F2 U' L
L' B2 U F2 R' U2 R2
D B2 U L' R2 F2 U'
D B2 U L' F2 R2 U'
D B2 U R2 L' F2 U'
U' B2 D' L2 B2 R' U
D2 B2 D' U L' F2 U'
D2 B2 F' R D R F'
D2 B2 F2 R' D' R' F2
D2 B2 F2 R' D' F2 R'
D' B2 F2 L2 R U L2
D2 B2 F2 R2 U' R' U
D' B2 F2 R L2 U L2
D2 B2 F2 U' R U R
U2 B2 F2 L2 U R U
L2 B2 F2 U R' U L2
