U2 L B' U'
U2 L D B' U'
U2 L D' B' U'
U2 L D2 B' U'
U2 L B' U' D
U2 L B' U' D'
U2 L B' U' D2
U2 L B' D U'
U2 L B' D' U'
U2 L B' D2 U'
R' U2 L B' U'
R2 U2 L B' U'
R U2 L B' U'
F U2 L B' U'
F' U2 L B' U'
F2 U2 L B' U'
D R2 F U2 L U' L2
F' R2 F' U2 L B' U'
F R2 F U2 L B' U'
F2 R2 F' U2 L B' U'
F' R2 F2 U2 L B' U'
F R2 F' U2 L B' U'
F2 R2 F2 U2 L B' U'
F R2 F2 U2 L B' U'
R' D U F L' D F2
D2 R2 B2 R' F' B2 U
D2 R2 B2 R' B2 F' U
B R2 B' U2 L B' U'
R2 D U F L' D F2
B2 R2 B2 D2 R F' U
R D U F L' D F2
U2 D L U' F L' F'
U2 D L U2 F U L'
U2 D L D2 B' U' L
R' D F U L' D F2
F' U L' U L2 B' U'
R' D F U2 L U' L2
F2 U L' U L2 B' U'
R2 D F U L' D F2
L' D F' L F2 U F
R2 D F U2 L U' L2
F U L' U L2 B' U'
D U L' F D L' F2
D U L' F' D F2 L'
R D F U L' D F2
U D L' F D L' F2
R D F U2 L U' L2
U D L' F' D F2 L'
L' D F2 L F' U F
F' U D F L' D F2
U2 D F L F' U' L2
F2 U D F L' D F2
L D B' U2 L' B U
D U F L' U L2 U'
D U F L' D F2 D
D U F L' D F2 D'
D U F L' D F2 D2
D U F L' F D F2
D U F L' F' D F2
D U F L' F2 D F2
L D B' U2 B L' U
D U F U L U' L2
U D F L' U L2 U'
U D F L' D F2 D
U D F L' D F2 D'
U D F L' D F2 D2
U D F L' F D F2
U D F L' F' D F2
U D F L' F2 D F2
D U F D L' D F2
D U F D' L' D F2
D U F D2 L' D F2
F U D F L' D F2
U D F U L U' L2
U D F D L' D F2
D U F' L' D F2 L'
U D F D' L' D F2
U D F D2 L' D F2
U D F' L' D F2 L'
F' U F U L B' U'
F2 U F U L B' U'
L D' L' U2 L B' U'
F' U F' U L B' U'
F U F U L B' U'
F2 U F' U L B' U'
F' U F2 U L B' U'
U2 D B' U' L F L'
F U F' U L B' U'
F2 U F2 U L B' U'
F U F2 U L B' U'
U2 D' L U' B' L B
U2 D' L B U R' U2
U2 D' L B' U' L D
U2 D' L B' U' L D'
U2 D' L B' U' L D2
U2 D' L B' U' D L
U2 D' L B' U' D' L
U2 D' L B' U' D2 L
U2 D' L B' D U' L
U2 D' L B' D' U' L
U2 D' L B' D2 U' L
U2 D' L' B' L2 U' L'
R' D' U2 L B' U' L
R' D' U2 B' U' L F
U2 D' L2 B' L' U' L2
R2 D' U2 L B' U' L
L' D' F L U D2 F2
L' D' F L U' B2 U2
L' D' F L D' R2 U
L' D' F L D2 U F2
R2 D' U2 B' U' L F
L' D' F D' L R2 U
L' D' F D' R2 L U
D2 U' R' U' L B U'
L' D' F D2 L U F2
R D' U2 L B' U' L
R D' U2 B' U' L F
F' U' R U' L B' U'
F2 U' R U' L B' U'
F' U' R' U' L B' U'
F2 U' R' U' L B' U'
F U' R U' L B' U'
F' U' R2 U' L B' U'
F2 U' R2 U' L B' U'
F U' R' U' L B' U'
F U' R2 U' L B' U'
U' D' B D' R' B U2
D' U' B D' R' B U2
L D' B' U2 L' B U
L D' B' U2 B L' U
U2 D' B' U' L D F
U2 D' B' U' L D' F
U2 D' B' U' L D2 F
U2 D' B' U' L F D
U2 D' B' U' L F D'
U2 D' B' U' L F D2
U2 D' B' U' D L F
U2 D' B' U' D' L F
U2 D' B' U' D2 L F
U2 D' B' U' F L F
U2 D' B' U' F' L F
U2 D' B' U' F2 L F
U' D' B2 U R' F' U
D' U' B2 U R' F' U
U2 D' B' D U' L F
U2 D' B' D' U' L F
U2 D' B' D2 U' L F
L2 D2 L' B' R2 F' U'
D' U2 L U' B' L B
D2 U2 L R' B R U'
D2 U2 L D B' U' L
L D2 L' U2 L B' U'
D' U2 L B U R' U2
D' U2 L B' U' L D
D' U2 L B' U' L D'
D' U2 L B' U' L D2
D' U2 L B' U' D L
D' U2 L B' U' D' L
D' U2 L B' U' D2 L
D' U2 L B' D U' L
D' U2 L B' D' U' L
D' U2 L B' D2 U' L
U2 D2 L R' B R U'
R' D2 R F' U2 L U'
U2 D2 L D B' U' L
D U2 L U' F L' F'
D U2 L U2 F U L'
D' U2 L' B' L2 U' L'
R' D2 R' U2 L B U'
D U2 L D2 B' U' L
R2 D2 R F' U2 L U'
L' D2 R' F L R' U
L' D2 R' F R' L U
D' U2 L2 B' L' U' L2
R2 D2 R' U2 L B U'
R D2 R F' U2 L U'
L' D2 R2 D F L U
L' D2 R2 D' F L U
L' D2 R2 D2 F L U
L' D2 R2 F L U D
L' D2 R2 F L U D'
L' D2 R2 F L U D2
L' D2 R2 F L D U
L' D2 R2 F L D' U
L' D2 R2 F L D2 U
L' D2 R2 F D L U
L' D2 R2 F D' L U
L' D2 R2 F D2 L U
L' D2 R2 F' L F2 U
L' D2 R2 F2 L F' U
R D2 R' U2 L B U'
U' D2 R' U' L B U'
D2 U2 R' L B R U'
U2 D2 R' L B R U'
F' U2 L R' B' R U'
F' U2 L R2 B' R2 U'
F2 U2 L R' B' R U'
F2 U2 L R2 B' R2 U'
F' U2 L D B' U' D
F' U2 L D B' U' D'
F' U2 L D B' U' D2
F' U2 L D B' D U'
F' U2 L D B' D' U'
F' U2 L D B' D2 U'
F' U2 L D' B' U' D
F' U2 L D' B' U' D'
F' U2 L D' B' U' D2
F' U2 L D' B' D U'
F' U2 L D' B' D' U'
F' U2 L D' B' D2 U'
F' U2 L D2 B' U' D
F' U2 L D2 B' U' D'
F' U2 L D2 B' U' D2
F' U2 L D2 B' D U'
F' U2 L D2 B' D' U'
F' U2 L D2 B' D2 U'
F2 U2 L D B' U' D
F2 U2 L D B' U' D'
F2 U2 L D B' U' D2
F2 U2 L D B' D U'
F2 U2 L D B' D' U'
F2 U2 L D B' D2 U'
F2 U2 L D' B' U' D
F2 U2 L D' B' U' D'
F2 U2 L D' B' U' D2
F2 U2 L D' B' D U'
F2 U2 L D' B' D' U'
F2 U2 L D' B' D2 U'
F' U2 L B U' D L2
F' U2 L B D U' L2
F2 U2 L D2 B' U' D
F2 U2 L D2 B' U' D'
F2 U2 L D2 B' U' D2
F2 U2 L D2 B' D U'
F2 U2 L D2 B' D' U'
F2 U2 L D2 B' D2 U'
L' D2 F L R2 U D
L' D2 F L R2 U D'
L' D2 F L R2 U D2
L' D2 F L R2 D U
L' D2 F L R2 D' U
L' D2 F L R2 D2 U
L' D2 F L U D' F2
L' D2 F L D' U F2
F' U2 L B2 D B U'
F' U2 L B2 D' B U'
F' U2 L B2 D2 B U'
F2 U2 L B U' D L2
F2 U2 L B D U' L2
F2 U2 L B2 D B U'
F2 U2 L B2 D' B U'
F2 U2 L B2 D2 B U'
L' D2 F R2 L U D
L' D2 F R2 L U D'
L' D2 F R2 L U D2
L' D2 F R2 L D U
L' D2 F R2 L D' U
L' D2 F R2 L D2 U
L' D2 F R2 D L U
L' D2 F R2 D' L U
L' D2 F R2 D2 L U
F U2 L R' B' R U'
F U2 L R2 B' R2 U'
L' D2 F D' L U F2
F' U2 L' B L2 B' U'
F U2 L D B' U' D
F U2 L D B' U' D'
F U2 L D B' U' D2
F U2 L D B' D U'
F U2 L D B' D' U'
F U2 L D B' D2 U'
F' U2 L' B' L2 B' U'
B U2 L B' L F U'
F U2 L D' B' U' D
F U2 L D' B' U' D'
F U2 L D' B' U' D2
F U2 L D' B' D U'
F U2 L D' B' D' U'
F U2 L D' B' D2 U'
L' D2 F' L R2 F2 U
F' U2 L' B2 L2 B' U'
F U2 L D2 B' U' D
F U2 L D2 B' U' D'
F U2 L D2 B' U' D2
F U2 L D2 B' D U'
F U2 L D2 B' D' U'
F U2 L D2 B' D2 U'
L' D2 F' L F2 R2 U
D U2 F L F' U' L2
F2 U2 L' B L2 B' U'
F2 U2 L' B' L2 B' U'
F2 U2 L' B2 L2 B' U'
F U2 L B U' D L2
F U2 L B D U' L2
L' D2 F' R2 L F2 U
L' D2 F' R2 F2 L U
F U2 L B2 D B U'
F U2 L B2 D' B U'
F U2 L B2 D2 B U'
F' U2 L2 D L' B' U'
F' U2 L2 D' L' B' U'
F' U2 L2 D2 L' B' U'
F2 U2 L2 D L' B' U'
F2 U2 L2 D' L' B' U'
F2 U2 L2 D2 L' B' U'
F' U2 L2 B L' B' U'
F' U2 L2 B' L' B' U'
F' U2 L2 B2 L' B' U'
L' D2 F2 L F' R2 U
F2 U2 L2 B L' B' U'
F2 U2 L2 B' L' B' U'
F U2 L' B L2 B' U'
F2 U2 L2 B2 L' B' U'
F U2 L' B' L2 B' U'
F U2 L' B2 L2 B' U'
F U2 L2 D L' B' U'
F U2 L2 D' L' B' U'
F U2 L2 D2 L' B' U'
F' U2 R' L B' R U'
F U2 L2 B L' B' U'
F U2 L2 B' L' B' U'
F U2 L2 B2 L' B' U'
F2 U2 R' L B' R U'
F' U2 R2 L B' R2 U'
D' U2 B' U' L D F
D' U2 B' U' L D' F
D' U2 B' U' L D2 F
D' U2 B' U' L F D
D' U2 B' U' L F D'
D' U2 B' U' L F D2
D' U2 B' U' D L F
D' U2 B' U' D' L F
D' U2 B' U' D2 L F
D' U2 B' U' F L F
D' U2 B' U' F' L F
D' U2 B' U' F2 L F
D' U2 B' D U' L F
F2 U2 R2 L B' R2 U'
D' U2 B' D' U' L F
F U2 R' L B' R U'
D' U2 B' D2 U' L F
F U2 R2 L B' R2 U'
D U2 B' U' L F L'
F' U2 D' L B' U' L
L' F L R U2 L U'
L' F L R' U2 L U'
L' F L R2 U2 L U'
L D2 B' U2 L' B U
L D2 B' U2 B L' U
F2 U2 D' L B' U' L
L' F L U2 L U' D
L' F L U2 L U' D'
L' F L U2 L U' D2
L' F L U2 L D U'
L' F L U2 L D' U'
L' F L U2 L D2 U'
L' F L U2 D L U'
L' F L U2 D' L U'
L' F L U2 D2 L U'
L' F L D U2 L U'
L' F L D' U2 L U'
L' F L D2 U2 L U'
F' U2 D' B' U' L F
F2 U2 D' B' U' L F
U2 F L D F' B' U'
U2 F L D B' F' U'
L' F L B2 R' B2 U
U2 F L D' F' B' U'
U2 F L D' B' F' U'
U2 F L D2 F' B' U'
U2 F L D2 B' F' U'
L2 F L F L R U
L2 F L F R L U
U2 F L F' D B' U'
U2 F L F' D' B' U'
U2 F L F' D2 B' U'
U2 F L F' B' U' D
U2 F L F' B' U' D'
U2 F L F' B' U' D2
U2 F L F' B' D U'
U2 F L F' B' D' U'
U2 F L F' B' D2 U'
F U2 D' L B' U' L
U2 F L B' D F' U'
U2 F L B' D' F' U'
U2 F L B' D2 F' U'
U2 F L B' F' U' D
U2 F L B' F' U' D'
U2 F L B' F' U' D2
U2 F L B' F' D U'
U2 F L B' F' D' U'
U2 F L B' F' D2 U'
F' U2 F L F' B' U'
F' U2 F L B' F' U'
F2 U2 F L F' B' U'
F2 U2 F L B' F' U'
F U2 D' B' U' L F
U F L' U L2 B' U'
F U2 F L F' B' U'
L' F R L U2 L U'
F U2 F L B' F' U'
R' F R U2 L B' U'
L' F R D L U F2
L' F R D2 L R2 U
D2 F R F' U2 L U'
L' F R D2 R2 L U
F' U2 F2 L F2 B' U'
F' U2 F2 L B' F2 U'
F2 U2 F2 L F2 B' U'
F2 U2 F2 L B' F2 U'
L' F R' L U2 L U'
R' F R' U2 L B' U'
D2 F R' U2 L B U'
R2 F R U2 L B' U'
D F R U L' D F2
L' F R' D L U F2
D F R U2 L U' L2
L' F R' D2 L R2 U
L' F R' D2 R2 L U
F' U2 B L B' L U'
F2 U2 B L B' L U'
L' F R2 L U2 L U'
F U2 F2 L F2 B' U'
R' F R2 U2 L B' U'
F U2 F2 L B' F2 U'
R F R U2 L B' U'
R2 F R' U2 L B' U'
D F R' U L' D F2
L' F R2 D L U F2
D F R' U2 L U' L2
L' F R2 D2 L R2 U
L' F R2 D2 R2 L U
F U2 B L B' L U'
R F R' U2 L B' U'
R2 F R2 U2 L B' U'
D F R2 U L' D F2
D F R2 U2 L U' L2
R F R2 U2 L B' U'
D F U L' U L2 U'
D F U L' D F2 D
D F U L' D F2 D'
D F U L' D F2 D2
D F U L' F D F2
D F U L' F' D F2
D F U L' F2 D F2
D F U D L' D F2
U F U L D B' U'
U F U L D' B' U'
U F U L D2 B' U'
D F U D' L' D F2
U F U L B' U' D
U F U L B' U' D'
U F U L B' U' D2
U F U L B' D U'
U F U L B' D' U'
U F U L B' D2 U'
D F U D2 L' D F2
R' F U2 L D B' U'
R' F U2 L D' B' U'
R' F U2 L D2 B' U'
R' F U2 L B' U' D
R' F U2 L B' U' D'
R' F U2 L B' U' D2
R' F U2 L B' D U'
R' F U2 L B' D' U'
R' F U2 L B' D2 U'
D' F U2 L B' U' L
L' F U2 L2 U2 L' U
D' F U2 D L B' U'
D2 F U2 D2 L B' U'
D' F U2 B' U' L F
R2 F U2 L D B' U'
R2 F U2 L D' B' U'
R2 F U2 L D2 B' U'
R2 F U2 L B' U' D
R2 F U2 L B' U' D'
R2 F U2 L B' U' D2
R2 F U2 L B' D U'
R2 F U2 L B' D' U'
R2 F U2 L B' D2 U'
L' F D L R U F2
L' F D L R' U F2
L' F D L R2 U F2
L' F D L U F2 D
L' F D L U F2 D'
L' F D L U F2 D2
L' F D L D R2 U
D F U2 L U' L2 D
D F U2 L U' L2 D'
D F U2 L U' L2 D2
D F U2 L D' B2 U'
D F U2 L B U' L2
L' F D R L U F2
D F U2 L B' U' L2
D F U2 L B2 U' L2
L' F D R' L U F2
D' F D U2 L B' U'
L' F D R2 L U F2
D F U2 D L U' L2
D F U2 D' L U' L2
D F U2 D2 L U' L2
R F U2 L D B' U'
R F U2 L D' B' U'
R F U2 L D2 B' U'
R F U2 L B' U' D
R F U2 L B' U' D'
R F U2 L B' U' D2
R F U2 L B' D U'
R F U2 L B' D' U'
R F U2 L B' D2 U'
L' F D' L U D2 F2
L' F D' L U' B2 U2
L' F D' L D' R2 U
L' F D' L D2 U F2
D F D U L' D F2
D F D U2 L U' L2
L' F D2 L R2 U D
L' F D2 L R2 U D'
L' F D2 L R2 U D2
L' F D2 L R2 D U
L' F D2 L R2 D' U
L' F D2 L R2 D2 U
L' F D2 L U D' F2
L' F D2 L D' U F2
U F D F L' D F2
D2 F D2 U2 L B' U'
L' F D2 R2 L U D
L' F D2 R2 L U D'
L' F D2 R2 L U D2
L' F D2 R2 L D U
L' F D2 R2 L D' U
L' F D2 R2 L D2 U
L' F D2 R2 D L U
L' F D2 R2 D' L U
L' F D2 R2 D2 L U
D F D' U L' D F2
D F D' U2 L U' L2
D F D2 U L' D F2
D F D2 U2 L U' L2
F' D U F L' D F2
F2 D U F L' D F2
D F B2 R' B2 U L'
L F B' U2 B L U
L' F' L F2 U2 L U'
F D U F L' D F2
L' F' L' F2 L2 R U
L' F' L' F2 R L2 U
F' D F U L' D F2
F' D F U2 L U' L2
F2 D F U L' D F2
F2 D F U2 L U' L2
U F' L' U L2 B' U'
R' F' R U2 L B' U'
F D F U L' D F2
D2 F' R F' U2 L U'
B D F B' U L' F
F D F U2 L U' L2
R' F' R' U2 L B' U'
D2 F' R' U2 L B U'
R2 F' R U2 L B' U'
D F' R U2 L U' L'
R' F' R2 U2 L B' U'
R2 F' R' U2 L B' U'
R F' R U2 L B' U'
R2 F' R2 U2 L B' U'
R F' R' U2 L B' U'
B D B' U L' F L'
B D B' U F L' F
R F' R2 U2 L B' U'
D F' U L' D F2 L'
B D B' F U L' F
U F' U L D B' U'
U F' U L D' B' U'
U F' U L D2 B' U'
R' F' U2 L D B' U'
R' F' U2 L D' B' U'
R' F' U2 L D2 B' U'
U F' U L B' U' D
U F' U L B' U' D'
U F' U L B' U' D2
U F' U L B' D U'
U F' U L B' D' U'
U F' U L B' D2 U'
R' F' U2 L B' U' D
R' F' U2 L B' U' D'
R' F' U2 L B' U' D2
R' F' U2 L B' D U'
R' F' U2 L B' D' U'
R' F' U2 L B' D2 U'
D' F' U2 L B' U' L
D F' U F2 L' D F2
D' F' U2 D L B' U'
D2 F' U2 D2 L B' U'
D F' U' R U' L U'
D' F' U2 B' U' L F
R2 F' U2 L D B' U'
R2 F' U2 L D' B' U'
R2 F' U2 L D2 B' U'
R2 F' U2 L B' U' D
R2 F' U2 L B' U' D'
R2 F' U2 L B' U' D2
R2 F' U2 L B' D U'
R2 F' U2 L B' D' U'
R2 F' U2 L B' D2 U'
D F' U2 L U R U2
D' F' D U2 L B' U'
R F' U2 L D B' U'
R F' U2 L D' B' U'
R F' U2 L D2 B' U'
R F' U2 L B' U' D
R F' U2 L B' U' D'
R F' U2 L B' U' D2
R F' U2 L B' D U'
R F' U2 L B' D' U'
R F' U2 L B' D2 U'
U2 F' D F L U' L2
U F' D F L' D F2
D2 F' D2 U2 L B' U'
B D' R B' U L F'
B D' R B' U F' L
L F' B' R2 F' R U'
L2 F2 L R F L U
L' F2 L F' U2 L U'
F' D' U2 L B' U' L
U2 F2 L D B' U' R2
F2 D' U2 L B' U' L
U2 F2 L F2 D B' U'
U2 F2 L F2 D' B' U'
U2 F2 L F2 D2 B' U'
U2 F2 L F2 B' U' D
U2 F2 L F2 B' U' D'
U2 F2 L F2 B' U' D2
U2 F2 L F2 B' D U'
U2 F2 L F2 B' D' U'
U2 F2 L F2 B' D2 U'
F' D' U2 B' U' L F
U2 F2 L B' U' D R2
U2 F2 L B' D U' R2
U2 F2 L B' F2 U' D
U2 F2 L B' F2 U' D'
U2 F2 L B' F2 U' D2
U2 F2 L B' F2 D U'
U2 F2 L B' F2 D' U'
U2 F2 L B' F2 D2 U'
F2 D' U2 B' U' L F
F D' U2 L B' U' L
U F2 L' U L2 B' U'
R' F2 R U2 L B' U'
F D' U2 B' U' L F
L2 F2 L2 D2 R F' U
D2 F2 R F' U2 L U'
L2 F2 R L F L U
R' F2 R' U2 L B' U'
D2 F2 R' U2 L B U'
R2 F2 R U2 L B' U'
R' F2 R2 U2 L B' U'
R2 F2 R' U2 L B' U'
R F2 R U2 L B' U'
L F2 R B' U2 B U
R2 F2 R2 U2 L B' U'
R F2 R' U2 L B' U'
L F2 R' B' R2 F' U'
B D' B' R U L F'
B D' B' R U F' L
R F2 R2 U2 L B' U'
R' F2 U2 L D B' U'
R' F2 U2 L D' B' U'
R' F2 U2 L D2 B' U'
R' F2 U2 L B' U' D
R' F2 U2 L B' U' D'
R' F2 U2 L B' U' D2
R' F2 U2 L B' D U'
R' F2 U2 L B' D' U'
R' F2 U2 L B' D2 U'
U F2 U L D B' U'
U F2 U L D' B' U'
U F2 U L D2 B' U'
D' F2 U2 L B' U' L
U F2 U L B' U' D
U F2 U L B' U' D'
U F2 U L B' U' D2
U F2 U L B' D U'
U F2 U L B' D' U'
U F2 U L B' D2 U'
D' F2 U2 D L B' U'
D2 F2 U2 D2 L B' U'
D' F2 U2 B' U' L F
L' F2 D L F' U F'
R2 F2 U2 L D B' U'
R2 F2 U2 L D' B' U'
R2 F2 U2 L D2 B' U'
R2 F2 U2 L B' U' D
R2 F2 U2 L B' U' D'
R2 F2 U2 L B' U' D2
R2 F2 U2 L B' D U'
R2 F2 U2 L B' D' U'
R2 F2 U2 L B' D2 U'
D F2 U2 L B U' L
D' F2 D U2 L B' U'
L' F2 D F' L U F'
R F2 U2 L D B' U'
R F2 U2 L D' B' U'
R F2 U2 L D2 B' U'
R F2 U2 L B' U' D
R F2 U2 L B' U' D'
R F2 U2 L B' U' D2
R F2 U2 L B' D U'
R F2 U2 L B' D' U'
R F2 U2 L B' D2 U'
L' F2 D2 L F' R2 U
F' D2 R F' U2 L U'
D2 F2 D2 U2 L B' U'
B2 D2 R F' R2 B U
U F2 D F L' D F2
F2 D2 R F' U2 L U'
L' F2 D2 F' L R2 U
L' F2 D2 F' R2 L U
F' D2 R' U2 L B U'
B2 D2 R' U2 F2 B U'
B2 D2 R' U2 B F2 U'
F2 D2 R' U2 L B U'
B D2 R F' R B' U
B D2 R F' B' R U
B D2 R B' F' R U
F D2 R F' U2 L U'
F D2 R' U2 L B U'
L F2 B' R2 F' R' U'
U2 B L B' L U' D
U2 B L B' L U' D'
U2 B L B' L U' D2
U2 B L B' L D U'
U2 B L B' L D' U'
U2 B L B' L D2 U'
U2 B L B' D L U'
U2 B L B' D' L U'
U2 B L B' D2 L U'
B D2 F' R F' B' U
B D2 F' R B' F' U
B D2 F' B' R F' U
U' B U' L B' L U'
B D2 B' R F' R U
U' B U' B' L B' U'
B D2 B' F' R F' U
U' B U2 D L' F L'
U' B U2 D F L' F
U2 B U' D L' F L'
U2 B U' D F L' F
U' B D U2 L' F L'
U' B D U2 F L' F
U2 B D L' U' F L'
U' B D' R' B R' U2
U2 B D U' L' F L'
U2 B D U' F L' F
U' B D' B R' B U2
U B D F B' L' F
U B D B' L' F L'
U B D B' F L' F
U2 B' L B L B2 U'
U2 B' L B' U2 R' U
U2 B' L' U2 F R U
L B' R F2 R F' U'
L B' R' U2 L' B' U
U' B' U' L B' U' F
L B' R2 F2 R F U'
U2 B' U' D L F L'
L B' U2 L B L2 U
L B' U2 L' D B U
L B' U2 L' D' B U
L B' U2 L' D2 B U
U2 B' D U' L F L'
L B' U2 L' B U D
L B' U2 L' B U D'
L B' U2 L' B U D2
L B' U2 L' B D U
L B' U2 L' B D' U
L B' U2 L' B D2 U
L B' U2 D L' B U
L B' U2 D B L' U
L B' U2 D' L' B U
L B' U2 D' B L' U
L B' U2 D2 L' B U
L B' U2 D2 B L' U
L B' U2 B L' U D
L B' U2 B L' U D'
L B' U2 B L' U D2
L B' U2 B L' D U
L B' U2 B L' D' U
L B' U2 B L' D2 U
L B' U2 B D L' U
L B' U2 B D' L' U
L B' U2 B D2 L' U
L B' U2 B' L' B2 U
L B' D U2 L' B U
L B' D U2 B L' U
L B' D' U2 L' B U
L B' D' U2 B L' U
L B' D2 U2 L' B U
L B' D2 U2 B L' U
L B' F U2 B L U
L B' F' R2 F' R U'
L B' F2 R2 F' R' U'
U2 B2 L B2 L B U'
U2 B2 L' U2 R' F U
U2 B2 L' U2 F R' U
U2 B2 L2 U2 R' F' U
D2 B2 R F' R2 B2 U
D2 B2 R F' B2 R2 U
D2 B2 R B2 F' R2 U
D2 B2 R' B2 U2 B' U'
D B2 R' F B2 U L'
D B2 R' B2 F U L'
U' B2 U' B2 L B' U'
D B2 F R' B2 U L'
L B2 D2 F2 B R U'
L B2 D2 B F2 R U'
