U L2 R F U
U R L2 F U
L2 R D' F B2 U
L2 R D' B2 F U
L2 R D2 F U R2
L2 R F U D2 R2
L2 R F U' L2 U2
L2 R F D' B2 U
L2 R F D2 U R2
R L2 D' F B2 U
R L2 D' B2 F U
U L2 R D F U
U2 L2 R F U R'
U L2 R D' F U
U L2 R D2 F U
U L2 R F U D
U L2 R F U D'
U L2 R F U D2
U L2 R F D U
U L2 R F D' U
U L2 R F D2 U
R L2 D2 F U R2
U L2 R' F R2 U
R L2 F U D2 R2
R L2 F U' L2 U2
R L2 F D' B2 U
R L2 F D2 U R2
U L2 R2 F R' U
U L2 D R F U
U L2 D' R F U
U L2 D2 R F U
R' U L2 R2 F U
R' U L2 F R2 U
R2 U L2 R' F U
R2 U L2 F R' U
R U L2 F U F'
R2 U R' L2 F U
R' U R2 L2 F U
U R L2 D F U
U R L2 D' F U
U2 R L2 F U R'
U R L2 D2 F U
U R L2 D2 F U
U R L2 F U D
U R L2 F U D'
U R L2 F U D2
U R L2 F D U
U R L2 F D' U
U R L2 F D2 U
U R F L2 F U
U R F' L2 F U
U R F2 L2 F U
U R F2 L2 F U
U R' L2 F R2 U
U R2 L2 F R' U
L2 D' R F B2 U
L2 D' R B2 F U
L2 D' B2 R F U
B' U2 L2 R U R'
B' U2 R L2 U R'
U F' L2 F R U
D F2 U' B' L' U'
U' B' U2 L2 R U
U' B' U2 R L2 U
D F2 U' D B' L' U'
D F2 U' D' B' L' U'
D F2 U' D2 B' L' U'
D F2 U' B L' B2 U'
D F2 U' B' L' U' D
D F2 U' B' L' U' D'
D F2 U' B' L' U' D2
D F2 U' B' L' D U'
D F2 U' B' L' D' U'
D F2 U' B' L' D2 U'
D F2 U' B' D L' U'
D F2 U' B' D' L' U'
D F2 U' B' D2 L' U'
D F2 U' B2 L' B U'
D F2 D U' B' L' U'
D F2 D' U' B' L' U'
U' F2 B' L' F2 R U'
B' D2 R2 U2 R' U R
D F2 D2 U' B' L' U'
D F2 B U' L' B2 U'
D F2 B U' B2 L' U'
D F2 B' U' L' U' L
B D2 U R F2 L' U
F2 D2 U' R2 B' L' U'
F2 D2 U' B' L' R2 U'
D F2 B2 U' L' B U'
F2 D2 U' B' R2 L' U'
D F2 B2 U' B L' U'
F D2 U' R2 B' L U'
F D2 U' B' L R2 U'
F D2 U' B' R2 L U'
L2 B R D' F B2 U
L2 B R D' B2 F U
L2 B R D2 F U R2
L2 B R F U D2 R2
L2 B R F U' L2 U2
L2 B R F D' B2 U
L2 B R F D2 U R2
R B L2 D2 F2 U R2
U B R B' L2 F U
D2 B U' R2 B2 L U'
R' B D F2 B2 U2 L2
R' B D B2 F2 U2 L2
R' B D' R2 U2 F2 B2
R' B D' R2 U2 B2 F2
L2 B D' R F B2 U
L2 B D' R B2 F U
L2 B D' B2 R F U
U' B' L U2 L R U
U' B' L U2 R L U
U' B' L' U2 L' R U
U' B' L' U2 R L' U
D B F2 U' L' B2 U'
D B F2 U' B2 L' U'
U' B' R' U' D' F2 B2
U' B' R' U' D' B2 F2
U' B' R' U2 L2 R2 U
U' B' R' U2 R2 L2 U
U' B' R' D' U' F2 B2
U' B' R' D' U' B2 F2
U' B' R' D2 L2 R2 U'
U' B' R' D2 R2 L2 U'
L2 B' R D' F B2 U
L2 B' R D' B2 F U
L2 B' R D2 F U R2
L2 B' R F U D2 R2
L2 B' R F U' L2 U2
L2 B' R F D' B2 U
L2 B' R F D2 U R2
R B' L2 U' L2 U2 L2
U' B' R2 U2 L2 R' U
U' B' R2 U2 R' L2 U
D2 B' R2 U2 R' U R
U' B' U2 L2 R U D
U' B' U2 L2 R U D'
U' B' U2 L2 R U D2
U' B' U2 L2 R D U
U' B' U2 L2 R D' U
U' B' U2 L2 R D2 U
U' B' U2 L2 D R U
U' B' U2 L2 D' R U
U' B' U2 L2 D2 R U
U' B' U2 R L2 U D
U' B' U2 R L2 U D'
U' B' U2 R L2 U D2
U' B' U2 R L2 D U
U' B' U2 R L2 D' U
U' B' U2 R L2 D2 U
U' B' U2 R U D' B2
U' B' U2 R D' U B2
U2 B' U' L2 R U L2
R' B' U2 L2 R2 U R2
U2 B' U' R L2 U L2
U' B' U2 D' R U B2
R' B' U2 R2 L2 U R2
D' B' U2 R U R' B'
U' B' D' U2 R U B2
U B' U2 L2 B R U
U' B' D2 R2 U2 R' U
U B' U2 B L2 R U
U B' U2 B R L2 U
L2 B' D' R F B2 U
L2 B' D' R B2 F U
L2 B' D' B2 R F U
U' B' F2 L' F2 R U'
L' B2 L' R F U R2
D B' F2 U' L' U' L
F2 B' D' L' U' B2 R'
L' B2 R L' F U R2
L2 B2 R D' F B2 U
L2 B2 R D' B2 F U
L2 B2 R D2 F U R2
L2 B2 R F U D2 R2
L2 B2 R F U' L2 U2
L2 B2 R F D' B2 U
L2 B2 R F D2 U R2
R' B2 U L2 R2 F' U
R' B2 U R2 L2 F' U
R' B2 U R2 F' L2 U
L2 B2 D' R F B2 U
L2 B2 D' R B2 F U
L2 B2 D' B2 R F U
B' F2 D' L' U' B2 R'
D B2 F2 U' L' B U'
D B2 F2 U' B L' U'
