U2 L U L2 R U2
U2 L U R L2 U2
U2 L D F2 U' L'
U' L' R U' L2 U'
U' L' R U2 D F2
U' L' R D U2 F2
U' L' R D' B2 U2
U' L' U2 D F2 L'
U' L' D R U2 F2
U' L' D U2 F2 L'
U' L' D' R B2 U2
U' L' D' B2 R U2
U' R L' U' L2 U'
U' R L' U2 D F2
U' R L' D U2 F2
U' R L' D' B2 U2
B2 R' U' L' R2 U2
B2 R' U' R2 L' U2
B2 R' D' F2 U R
F2 U L' R D F2
F2 U L' D R F2
F2 U R L' D F2
L D F2 R U' L'
B' U' L' R B' U2
B' U' L' B' R U2
B' U' R L' B' U2
F2 U2 L U' L2 R
F2 U2 L U' R L2
U2 F2 L U' L2 R
U2 F2 L U' R L2
U F2 L' R D F2
U F2 L' D R F2
U F2 R L' D F2
B2 F2 R' U L' R2
B2 F2 R' U R2 L'
F2 B2 R' U L' R2
F2 B2 R' U R2 L'
F2 D2 B2 R' U L' R2
F2 D2 B2 R' U R2 L'
U' B D L' R U2 F
U' B D R L' U2 F
U' B D' L' R U2 F'
U' B D' R L' U2 F'
L' B D' R F' B2 U2
L' B D' R B2 F' U2
R' B D' F2 U R F'
L' B D' B2 R F' U2
L B D F2 R U' L'
B2 F R' F U L' R
B2 F R' F U R L'
F2 B U L' D' R F'
F2 B U R D L' F
F2 B U D L' R F
F2 B U D R L' F
F2 B U D' L' R F'
F2 B U D' R L' F'
F2 B D U L' R F
F2 B D U R L' F
F2 B D' U L' R F'
F2 B D' U R L' F'
U2 B' U L' R B U2
R' B' U' L' R2 B' U2
D2 B' U' L' R B' U2
R' B' U' L' B' R2 U2
D2 B' U' L' B' R U2
U2 B' U R L' B U2
U2 B' U R B L' U2
D2 B' U' R L' B' U2
D' B' U' L' R B' U2
D' B' U' L' B' R U2
R' B' U' R2 L' B' U2
D' B' U' R L' B' U2
R2 B' U' L' B' U2 L
D B' U' L' R B' U2
D B' U' L' B' R U2
D B' U' R L' B' U2
B2 F' R' F' U L' R
B2 F' R' F' U R L'
F2 B' R2 U L' R' F'
F2 B' R2 U R' L' F'
F2 B' U L' R' F' R2
F2 B' U R' L' F' R2
L B' D F2 R U' L'
U' B2 L' R U R2 U
U' B2 L' R U2 D' F2
U' B2 L' R D B2 U2
U' B2 L' R D' U2 F2
U' B2 R L' U R2 U
U' B2 R L' U2 D' F2
U' B2 R L' D B2 U2
U' B2 R L' D' U2 F2
U' B2 R U2 D' F2 R
U' B2 R D L' B2 U2
U' B2 R D B2 L' U2
U' B2 R D' L' U2 F2
U' B2 R D' U2 F2 R
L' B2 R U' L2 R2 U'
L' B2 R U' R2 L2 U'
L' B2 R U2 D F2 B2
L' B2 R U2 D B2 F2
L' B2 R D U2 F2 B2
L' B2 R D U2 B2 F2
L' B2 R D' F2 B2 U2
L' B2 R D' B2 F2 U2
R B2 L' U L R' U
R B2 L' U R' L U
R' B2 R' U' L' R' U2
R' B2 R' U' R' L' U2
D2 B2 R' U' L' R2 U2
D2 B2 R' U' R2 L' U2
D' B2 R' U' L' R2 U2
D' B2 R' U' R2 L' U2
D2 B2 R' D' F2 U R
D' B2 R' D' F2 U R
R2 B2 R' U L D2 R2
R2 B2 R' U' L' U2 L2
D B2 R' U' L' R2 U2
D B2 R' U' R2 L' U2
D B2 R' D' F2 U R
R2 B2 R' F2 U L R
R2 B2 R' F2 U R L
R B2 R' U' L' R U2
R B2 R' U' R L' U2
B2 F2 R' U L' R2 D
B2 F2 R' U L' R2 D'
B2 F2 R' U L' R2 D2
B2 F2 R' U R2 L' D
B2 F2 R' U R2 L' D'
B2 F2 R' U R2 L' D2
B2 F2 R' U R2 D L'
B2 F2 R' U R2 D' L'
B2 F2 R' U R2 D2 L'
F2 B2 R' U L' R2 D
F2 B2 R' U L' R2 D'
F2 B2 R' U L' R2 D2
F2 B2 R' U R2 L' D
F2 B2 R' U R2 L' D'
F2 B2 R' U R2 L' D2
F2 B2 R' U R2 D L'
F2 B2 R' U R2 D' L'
F2 B2 R' U R2 D2 L'
B' F2 R2 U L' R' F'
B2 F2 R' D B2 U L'
B' F2 R2 U R' L' F'
F' B2 R' F' U L' R
F' B2 R' F' U R L'
R B2 R' F2 U L' R
F2 B2 R' D B2 U L'
R B2 R' F2 U R L'
B2 F2 R' B U L' R2
B2 F2 R' B U R2 L'
B2 F2 R' B' U L' R2
B2 F2 R' B' U R2 L'
B2 F2 R' B2 U L' R2
B2 F2 R' B2 U R2 L'
F2 B2 R' B U L' R2
F2 B2 R' B U R2 L'
F2 B2 R' B' U L' R2
F2 B2 R' B' U R2 L'
F2 B2 R' B2 U L' R2
F2 B2 R' B2 U R2 L'
B' F2 U L' R' F' R2
B' F2 U R' L' F' R2
B2 F2 U L' R D' F2
B2 F2 U R L' D' F2
F2 B2 U L' R D' F2
B2 F2 U R D' L' F2
F B2 R' F U L' R
F B2 R' F U R L'
F2 B2 U R L' D' F2
F2 B2 U R D' L' F2
B F2 U L' D' R F'
R' B2 D' R' F2 U R
B F2 U R D L' F
B F2 U D L' R F
B F2 U D R L' F
B F2 U D' L' R F'
B F2 U D' R L' F'
R' B2 D' F2 R' U R2
L B2 D F2 R U' L'
B2 F2 D R' U L' R2
B2 F2 D R' U R2 L'
F2 B2 D R' U L' R2
F2 B2 D R' U R2 L'
B2 F2 D' R' U L' R2
B2 F2 D' R' U R2 L'
B F2 D U L' R F
B F2 D U R L' F
F2 B2 D' R' U L' R2
F2 B2 D' R' U R2 L'
D2 B2 F2 R' U L' R2
D2 B2 F2 R' U R2 L'
D' B2 F2 R' U L' R2
D' B2 F2 R' U R2 L'
B2 F2 D2 R' U L' R2
B2 F2 D2 R' U R2 L'
B F2 D' U L' R F'
B F2 D' U R L' F'
F2 B2 D2 R' U L' R2
F2 B2 D2 R' U R2 L'
R2 B2 F2 R' U L R2
R2 B2 F2 R' U R2 L
D B2 F2 R' U L' R2
D B2 F2 R' U R2 L'
