D L R2 U2 F R
B L U F2 U F'
D' L U2 F L R
D' L U2 F L R
D' L U2 F R L
B L U2 D' F L2
B L D R2 U2 F
B L D' U2 F L2
D L' R2 B' U2 R'
D' L' B' U2 L' R'
D L' B' R2 U2 R
D' L' B' U2 R' L'
L' U2 D' L2 F R
L U2 D' F L2 R
L U2 D' F R L2
D R2 L U2 F R
D R2 L' B' U2 R'
D R2 L' B' U2 R'
L' D R2 B' U2 R'
D R2 B L U2 F
L D R2 U2 F R
D R2 B' U2 R' F'
L' D B' R2 U2 R
B' U F2 U R' F'
L' D' U2 L2 F R
L D' U2 F L2 R
L D' U2 F R L2
L' D' B' U2 L2 R'
L' D' B' U2 R' L2
B' U2 R' D' L2 F'
B' U2 R' D' F' L2
B' U2 D' L2 R' F'
B' U2 D' R' L2 F'
B' U2 D' R' F' L2
B D L R2 U2 F
B D R2 L U2 F
B D' L U2 F L
B' D' U2 L2 R' F'
B' D' U2 R' L2 F'
B' D' U2 R' F' L2
D' B L U2 F L
D B L R2 U2 F
D B R2 L U2 F
L' B' U F2 U R'
L' B' U2 R' D' L2
L' B' U2 D' L2 R'
L' B' U2 D' R' L2
L' B' D R2 U2 R
L' B' D' U2 L2 R'
L' B' D' U2 R' L2
D' B' U2 L2 R' F'
D' B' U2 R' L2 F'
D' B' U2 R' F' L2
B' U2 R' L D' F' L2
B' U2 R' L' D' L2 F'
B' U2 R' L' D' F' L2
B' U2 R' L2 D' L2 F'
B' U2 R' L2 D' F' L2
B' U2 R' U' F2 U F
B' U2 R' D F' D2 L2
B' U2 R' D' L F' L
B' U2 R' D' L2 D F'
B' U2 R' D' L2 D' F'
B' U2 R' D' L2 D2 F'
B' U2 R' D' L2 F' D
B' U2 R' D' L2 F' D'
B' U2 R' D' L2 F' D2
B' U2 R' D' F L2 F2
B' U2 R' D' F' L2 D
B' U2 R' D' F' L2 D'
B' U2 R' D' F' L2 D2
B' U2 R' D2 F' D L2
B' U2 R' F' U' F' U
B' U2 D' L R' F' L
B' U2 D' L2 R' D F'
B' U2 D' L2 R' D' F'
B' U2 D' L2 R' D2 F'
B' U2 D' L2 R' F' D
B' U2 D' L2 R' F' D'
B' U2 D' L2 R' F' D2
B' U2 D' L2 D R' F'
B' U2 D' L2 D' R' F'
B' U2 D' L2 D2 R' F'
B' U2 D' L2 F R' F'
B' U2 D' L2 F' R' F'
B' U2 D' L2 F2 R' F'
B' U2 D' R' L F' L
B' U2 D' R' L2 D F'
B' U2 D' R' L2 D' F'
B' U2 D' R' L2 D2 F'
B' U2 D' R' L2 F' D
B' U2 D' R' L2 F' D'
B' U2 D' R' L2 F' D2
B' U2 D' R' F L2 F2
B' U2 D' R' F' L2 D
B' U2 D' R' F' L2 D'
B' U2 D' R' F' L2 D2
B' U2 D' F L2 R' F'
B' U2 D' F R' L2 F'
B' U2 D' F R' F' L2
B' U2 D' F' L2 R' F'
B' U2 D' F' R' L2 F'
B' U2 D' F' R' F' L2
B' U2 D' F2 L2 R' F'
B' U2 D' F2 R' L2 F'
B' U2 D' F2 R' F' L2
B' U2 D2 R' D L2 F'
B' U2 D2 R' D F' L2
B' U2 D2 R' F' D L2
B' U2 F R' F' D' L2
U2 F R' F' R2 D' L2
B' D L R2 U2 R F
U' F U2 R F B U
U' F U2 R B F U
B' D L' R2 B' U2 R
B D L R2 U2 D F
B D L R2 U2 D' F
B D L R2 U2 D2 F
B D L R2 U2 F D
B D L R2 U2 F D'
B D L R2 U2 F D2
B D L R2 D U2 F
B D L R2 D' U2 F
B D L R2 D2 U2 F
B D L R2 B U2 F
B D L R2 B' U2 F
B D L R2 B2 U2 F
B D L U2 D2 F L2
B D L U2 F D2 L2
B D L D2 U2 F L2
B D L B R2 U2 F
B D L B' R2 U2 F
B D L B2 R2 U2 F
B D L' R2 B' L2 U2
B D L' B' L2 R2 U2
B D L' B' R2 L2 U2
B' D R2 L U2 R F
B' D R2 L' B' U2 R
B' D R2 U2 R' F' R2
B D R2 L U2 D F
B D R2 L U2 D' F
B D R2 L U2 D2 F
B D R2 L U2 F D
B D R2 L U2 F D'
B D R2 L U2 F D2
B D R2 L D U2 F
B D R2 L D' U2 F
B D R2 L D2 U2 F
B D R2 L B U2 F
B D R2 L B' U2 F
B D R2 L B2 U2 F
B D R2 L' B' L2 U2
B D R2 D L U2 F
B D R2 D' L U2 F
B D R2 D2 L U2 F
B D R2 B2 U2 R' F'
D' F' L F L B' R'
U' F' L' U2 F' B' U
U' F' L' U2 B' F' U
B' D B2 L R2 U2 F
B' D B2 R2 L U2 F
B' D' L U2 R' F L
B' D' L U2 F L R'
B' D' L U2 F R' L
B D' L R U2 F L
B D' L R' U2 F L
B D' L R2 U2 F L
B D' L U2 D F L
B D' L U2 D' F L
B D' L U2 D2 F L
B D' L U2 F L D
B D' L U2 F L D'
B D' L U2 F L D2
B D' L U2 F D L
B D' L U2 F D' L
B D' L U2 F D2 L
B D' L U2 F' L F2
B D' L U2 F2 L F'
B D' L D U2 F L
B D' L D' U2 F L
B D' L D2 U2 F L
B D' L B2 R' U2 F
B D' L' B' L2 U2 L
B D' R L U2 F L
B D' R' L U2 F L
B D' R2 L U2 F L
B' D' U2 L R' F' L
B' D' U2 L2 R' D F'
B' D' U2 L2 R' D' F'
B' D' U2 L2 R' D2 F'
B' D' U2 L2 R' F' D
B' D' U2 L2 R' F' D'
B' D' U2 L2 R' F' D2
B' D' U2 L2 D R' F'
B' D' U2 L2 D' R' F'
B' D' U2 L2 D2 R' F'
B' D' U2 L2 F R' F'
B' D' U2 L2 F' R' F'
B' D' U2 L2 F2 R' F'
B' D' U2 R' L F' L
B' D' U2 R' L2 D F'
B' D' U2 R' L2 D' F'
B' D' U2 R' L2 D2 F'
B' D' U2 R' L2 F' D
B' D' U2 R' L2 F' D'
B' D' U2 R' L2 F' D2
B' D' U2 R' F L2 F2
B' D' U2 R' F' L2 D
B' D' U2 R' F' L2 D'
B' D' U2 R' F' L2 D2
B' D' U2 F L2 R' F'
B' D' U2 F R' L2 F'
B' D' U2 F R' F' L2
B' D' U2 F' L2 R' F'
B' D' U2 F' R' L2 F'
B' D' U2 F' R' F' L2
B' D' U2 F2 L2 R' F'
B' D' U2 F2 R' L2 F'
B' D' U2 F2 R' F' L2
U F2 R B U2 L U'
U F2 R B' R' B2 U
U F2 R' U2 F' L' U'
B' D' B2 L U2 F L
U F2 R2 B' R' B U
U F2 U R' F R F2
U F2 U R2 F R F'
B D' B2 U2 L2 R' F'
B D' B2 U2 R' L2 F'
B D' B2 U2 R' F' L2
U F2 U F R' F' R2
U F2 U F2 R' F' R
U F2 U' L U2 F R
U F2 U' L' B' U2 R'
B D2 L U' B2 U' F
B D2 L U2 D F L2
B D2 L U2 F D L2
B D2 L D U2 F L2
B D2 L D' R2 U2 F
U F2 U' B L U2 F
U F2 U' B' U2 R' F'
D' B L R U2 F L
D' B L R' U2 F L
U F2 B U2 L F U'
R' B L U F2 U F'
D' B L R2 U2 F L
R' B L U2 D' F L2
D2 B L U' B U' F
R' B L D R2 U2 F
D' B L U2 D F L
D' B L U2 D' F L
D' B L U2 D2 F L
D' B L U2 F L D
D' B L U2 F L D'
D' B L U2 F L D2
D' B L U2 F D L
D' B L U2 F D' L
D' B L U2 F D2 L
D' B L U2 F' L F2
D' B L U2 F2 L F'
R' B L D' U2 F L2
D' B L D U2 F L
D' B L D' U2 F L
D' B L D2 U2 F L
U F2 B' R B R2 U
U F2 B' R' U2 F' U'
B' D2 U2 R' D L2 F'
B' D2 U2 R' D F' L2
B' D2 U2 R' F' D L2
D' B L B2 R' U2 F
L' B L B2 U F2 U
L' B L B2 U2 D' L2
L' B L B2 D R2 U2
L' B L B2 D' U2 L2
L2 B L U2 D' L2 F
L2 B L D R2 B' U2
L2 B L D B' R2 U2
L2 B L D' U2 L2 F
L2 B L D' B' U2 L2
R2 B L U F2 U F'
U F2 B2 R B R' U
R2 B L U2 D' F L2
D B L R2 U2 D F
D B L R2 U2 D' F
D B L R2 U2 D2 F
D B L R2 U2 F D
D B L R2 U2 F D'
D B L R2 U2 F D2
D B L R2 D U2 F
D B L R2 D' U2 F
D B L R2 D2 U2 F
D B L R2 B U2 F
D B L R2 B' U2 F
D B L R2 B2 U2 F
R2 B L D R2 U2 F
L2 B L B' U F2 U
L2 B L B' U2 D' L2
L2 B L B' D R2 U2
L2 B L B' D' U2 L2
R2 B L D' U2 F L2
D B L U2 D2 F L2
D B L U2 F D2 L2
D' B L' B' L2 U2 L
D B L D2 U2 F L2
B D2 U' B2 U' R' F'
D B L B R2 U2 F
D B L B' R2 U2 F
D B L B2 R2 U2 F
D B L' R2 B' L2 U2
R B L U F2 U F'
R B L U2 D' F L2
R B L D R2 U2 F
R B L D' U2 F L2
D' B R L U2 F L
D B L' B' L2 R2 U2
D B L' B' R2 L2 U2
D' B R' L U2 F L
D' B R2 L U2 F L
D B R2 L U2 D F
D B R2 L U2 D' F
D B R2 L U2 D2 F
D B R2 L U2 F D
D B R2 L U2 F D'
D B R2 L U2 F D2
D B R2 L D U2 F
D B R2 L D' U2 F
D B R2 L D2 U2 F
D B R2 L B U2 F
D B R2 L B' U2 F
D B R2 L B2 U2 F
D B R2 L' B' L2 U2
D B R2 D L U2 F
D B R2 D' L U2 F
D B R2 D2 L U2 F
D B R2 B2 U2 R' F'
R' B D L R2 U2 F
R' B D R2 L U2 F
R' B D' L U2 F L
R2 B D L R2 U2 F
R2 B D R2 L U2 F
D' B D2 L R2 U2 F
R2 B D' L U2 F L
D' B D2 R2 L U2 F
R B D L R2 U2 F
R B D R2 L U2 F
D B D2 L U2 F L
R B D' L U2 F L
D' B' L U2 R' F L
L' B' L U F2 U R'
D' B' L U2 F L R'
D' B' L U2 F R' L
L' B' L U2 R' D' L2
L' B' L U2 D' L2 R'
L' B' L U2 D' R' L2
L' B' L D R2 U2 R
L' B' L D' U2 L2 R'
L' B' L D' U2 R' L2
L' B' L' U F2 U R'
L' B' L' U2 R' D' L2
L' B' L' U2 D' L2 R'
L' B' L' U2 D' R' L2
L' B' L' D R2 U2 R
D B' L R2 U2 R F
L' B' L' D' U2 L2 R'
L' B' L' D' U2 R' L2
U B F2 U2 L F U'
L' B' L2 U F2 U R'
L' B' L2 U2 R' D' L2
L' B' L2 U2 D' L2 R'
L' B' L2 U2 D' R' L2
L' B' L2 D R2 U2 R
L' B' L2 D' U2 L2 R'
L' B' L2 D' U2 R' L2
D B' L' R2 B' U2 R
L' B' R U F2 U R2
L' B' R U2 R2 D' L2
L' B' R' D R2 U2 R2
L' B' R2 U2 R D' L2
L' B' R2 U2 D' L2 R
L' B' R2 U2 D' R L2
L' B' R2 D R2 U2 R'
L' B' R2 D' U2 L2 R
L' B' R2 D' U2 R L2
U B' R F2 B R2 U
U B' R B R2 F2 U
U B' R B F2 R2 U
D B' R2 L U2 R F
D B' R2 L' B' U2 R
R' B' U F2 U R' F'
D B' R2 U2 R' F' R2
L' B' U F2 U R' D
L' B' U F2 U R' D'
L' B' U F2 U R' D2
L' B' U F2 U D R'
L' B' U F2 U D' R'
L' B' U F2 U D2 R'
L' B' U F2 D U R'
L' B' U F2 D' U R'
L' B' U F2 D2 U R'
U B' R' F2 U2 F U'
D' B' U2 L R' F' L
R2 B' U F2 U R' F'
L' B' U2 L R' D' L2
D' B' U2 L2 R' D F'
D' B' U2 L2 R' D' F'
D' B' U2 L2 R' D2 F'
D' B' U2 L2 R' F' D
D' B' U2 L2 R' F' D'
D' B' U2 L2 R' F' D2
R' B' U2 R' D' L2 F'
R' B' U2 R' D' F' L2
L' B' U2 L D' L2 R'
L' B' U2 L D' R' L2
D' B' U2 L2 D R' F'
D' B' U2 L2 D' R' F'
D' B' U2 L2 D2 R' F'
D' B' U2 L2 F R' F'
D' B' U2 L2 F' R' F'
D' B' U2 L2 F2 R' F'
L' B' U2 L' R' D' L2
L' B' U2 L' D' L2 R'
L' B' U2 L' D' R' L2
L' B' U2 L2 R' D' L2
D' B' U2 R' L F' L
D' B' U2 R' L2 D F'
D' B' U2 R' L2 D' F'
D' B' U2 R' L2 D2 F'
D' B' U2 R' L2 F' D
D' B' U2 R' L2 F' D'
D' B' U2 R' L2 F' D2
L' B' U2 L2 D' L2 R'
L' B' U2 L2 D' R' L2
D' B' U2 R' F L2 F2
R' B' U2 D' L2 R' F'
D' B' U2 R' F' L2 D
D' B' U2 R' F' L2 D'
D' B' U2 R' F' L2 D2
R' B' U2 D' R' L2 F'
R' B' U2 D' R' F' L2
L' B' U2 R' L D' L2
L' B' U2 R' L' D' L2
L' B' U2 R' L2 D' L2
L' B' U2 R' U' F2 U
L' B' U2 R' D' L2 D
L' B' U2 R' D' L2 D'
L' B' U2 R' D' L2 D2
L' B' U2 R2 D' L2 R
L' B' U2 R2 D' R L2
D' B' U2 F L2 R' F'
L' B' U2 D' L2 R' D
L' B' U2 D' L2 R' D'
L' B' U2 D' L2 R' D2
L' B' U2 D' L2 D R'
D' B' U2 F R' L2 F'
L' B' U2 D' L2 D' R'
L' B' U2 D' L2 D2 R'
D' B' U2 F R' F' L2
L' B' U2 D' R' L2 D
L' B' U2 D' R' L2 D'
L' B' U2 D' R' L2 D2
D' B' U2 F' L2 R' F'
D' B' U2 F' R' L2 F'
L' B' U2 D2 R' D L2
D' B' U2 F' R' F' L2
D' B' U2 F2 L2 R' F'
D' B' U2 F2 R' L2 F'
D' B' U2 F2 R' F' L2
L B' U F2 U F' R'
L' B' D L R2 U2 R
L' B' D L' R2 U2 R
L' B' D L2 R2 U2 R
R B' U F2 U R' F'
L' B' D R2 L U2 R
L' B' D R2 L' U2 R
L' B' D R2 L2 U2 R
L' B' D R2 U2 R D
L' B' D R2 U2 R D'
L' B' D R2 U2 R D2
L' B' D R2 U2 D R
L' B' D R2 U2 D' R
L' B' D R2 U2 D2 R
L' B' D R2 D U2 R
L' B' D R2 D' U2 R
L' B' D R2 D2 U2 R
R2 B' U2 R' D' L2 F'
R2 B' U2 R' D' F' L2
R2 B' U2 D' L2 R' F'
R2 B' U2 D' R' L2 F'
R2 B' U2 D' R' F' L2
D B' U2 D2 L2 R' F'
D B' U2 D2 R' L2 F'
D B' U2 D2 R' F' L2
L' B' D' L U2 L R'
L' B' D' L U2 R' L
L' B' D' L' U2 L' R'
L' B' D' L' U2 R' L'
L' B' D' R U2 L2 R2
L' B' D' R U2 R2 L2
R' B' D' U2 L2 R' F'
R' B' D' U2 R' L2 F'
R' B' D' U2 R' F' L2
L B' U2 R' D' F L2
L' B' D' R2 U2 L2 R
L' B' D' R2 U2 R L2
L B' U2 D' R' F L2
L B' U2 D' F L2 R'
L B' U2 D' F R' L2
L' B' D' U2 L2 R' D
L' B' D' U2 L2 R' D'
L' B' D' U2 L2 R' D2
L' B' D' U2 L2 D R'
L' B' D' U2 L2 D' R'
L' B' D' U2 L2 D2 R'
L' B' D' U2 R' L2 D
L' B' D' U2 R' L2 D'
L' B' D' U2 R' L2 D2
R B' U2 R' D' L2 F'
R B' U2 R' D' F' L2
R B' U2 D' L2 R' F'
R B' U2 D' R' L2 F'
R B' U2 D' R' F' L2
L B' D R2 U2 R F
L' B' D2 U2 R' D L2
R2 B' D' U2 L2 R' F'
R2 B' D' U2 R' L2 F'
R2 B' D' U2 R' F' L2
L B' D' U2 R' F L2
L B' D' U2 F L2 R'
L B' D' U2 F R' L2
D B' D2 U2 L2 R' F'
D B' D2 U2 R' L2 F'
D B' D2 U2 R' F' L2
R B' D' U2 L2 R' F'
R B' D' U2 R' L2 F'
R B' D' U2 R' F' L2
U B' F2 R B R2 U
U B' F2 R' U2 F' U'
D' B2 L' B' L U2 L2
D B2 L' R2 B' L U2
D B2 L' B' L R2 U2
D B2 L' B' R2 L U2
U B2 R F2 B R' U
U B2 R B R' F2 U
U B2 R B F2 R' U
D B2 R2 L' B' L U2
D B2 R2 B U2 R' F'
D B2 R2 B' L U2 F
U B2 F2 R B R' U
