B2 R' F' B' U
B2 R' B' F' U
U2 L U2 F B U
U2 L U2 B F U
B2 R' D F' B' U
B2 R' D B' F' U
B2 R' D' F' B' U
B2 R' D' B' F' U
B2 R' D2 F' B' U
B2 R' D2 B' F' U
B R' D2 F' R U
B R' D2 F' R U
B2 R' F' D B' U
B2 R' F' D B' U
B2 R' F' D' B' U
B2 R' F' D2 B' U
B2 R' F' B' U D
B2 R' F' B' U D'
B2 R' F' B' U D2
B2 R' F' B' D U
B2 R' F' B' D' U
B2 R' F' B' D2 U
B2 R' B' D F' U
B2 R' B' D' F' U
B2 R' B' D2 F' U
B2 R' B' F' U D
B2 R' B' F' U D'
B2 R' B' F' U D2
B2 R' B' F' D U
B2 R' B' F' D' U
B2 R' B' F' D2 U
B2 R2 B' R F' U
B U D F' L' F
B U F' D L' F
B U2 L' B' L U'
B2 D R' F' B' U
B2 D R' B' F' U
B D U F' L' F
R' F' U2 L F U'
B2 D' R' F' B' U
B2 D' R' B' F' U
B2 D2 R' F' B' U
B2 D2 R' B' F' U
B D2 R' F' R U
B2 F R' F' B' U
B2 F R' B' F' U
B2 F' R' F' B' U
B2 F' R' B' F' U
D2 B2 R' F' B' U
D2 B2 R' B' F' U
D' B2 R' F' B' U
D' B2 R' B' F' U
D B2 R' F' B' U
F' B2 R' F' B' U
D B2 R' B' F' U
F' B2 R' B' F' U
B2 F2 R' F' B' U
F2 B2 R' F' B' U
B2 F2 R' B' F' U
F2 B2 R' B' F' U
F B2 R' F' B' U
F B2 R' B' F' U
B2 F2 D' R' B' F' U
B F2 D U F' L' F
F2 B2 D' R' F' B' U
F2 B2 D' R' B' F' U
D2 B2 F2 R' F' B' U
D2 B2 F2 R' B' F' U
D B2 F R' F' B' U
D B2 F R' B' F' U
F B2 D R' F' B' U
F B2 D R' B' F' U
D' B2 F2 R' F' B' U
D' B2 F2 R' B' F' U
F' B2 D2 R' F' B' U
F' B2 D2 R' B' F' U
B2 F2 D2 R' F' B' U
B2 F2 D2 R' B' F' U
F2 B2 D2 R' F' B' U
F2 B2 D2 R' B' F' U
D B2 F' R' F' B' U
D B2 F' R' B' F' U
F B2 D' R' F' B' U
F B2 D' R' B' F' U
B F2 D2 R' F' R U
D B2 F2 R' F' B' U
D B2 F2 R' B' F' U
F B2 D2 R' F' B' U
F B2 D2 R' B' F' U
