B' L2 U' B R2
R2 U B' L2 U'
U B' L2 U' R2
L2 R2 U' F U F'
R2 L2 U' F U F'
B' L2 U' B R2 D
B' L2 U' B R2 D'
B' L2 U' B R2 D2
B' L2 U' B' R2 B2
B' L2 U' B2 R2 B'
U L2 U2 F U R2
B' L2 D' F2 U' B
B' L2 F U' B R2
B' L2 F U' B R2
R2 U L2 U2 F U
B' L2 F' U' B R2
B' L2 F2 U' B R2
B2 L2 B U' B R2
R2 U D B' U' F2
R2 U B L2 B2 U'
R2 U B' L2 U' D
R2 U B' L2 U' D'
R2 U B' L2 U' D2
R2 U B' L2 D U'
R2 U B' L2 D' U'
R2 U B' L2 D2 U'
R2 U B' U' D F2
R2 U B' D U' F2
R U B' L2 U' R
R2 U B2 L2 B U'
L2 U' F U F' R2
L2 U2 F U R2 B
F' R2 U B' L2 U'
F2 R2 U B' L2 U'
F R2 U B' L2 U'
B R2 D F2 B' L2
B R2 D B' L2 F2
B R2 D B' F2 L2
R2 D U B' U' F2
R2 D F2 U B' U'
F' U B' L2 U' R2
F2 U B' L2 U' R2
F U B' L2 U' R2
B' U' B R2 D F2
R2 F U B' L2 U'
U F B' L2 U' R2
U F B' L2 U' R2
R2 F' U B' L2 U'
U F' B' L2 U' R2
R2 F2 U B' L2 U'
U F2 B' L2 U' R2
U B L2 B2 U' R2
B' F L2 U' B R2
R2 B D F2 B' L2
R2 B D B' L2 F2
R2 B D B' F2 L2
R' B' L2 U' B R'
U B' L2 U' R2 D
U B' L2 U' R2 D'
U B' L2 U' R2 D2
U B' L2 D' F2 U'
U B' L2 F U' R2
U B' L2 F' U' R2
U B' L2 F2 U' R2
R B' L2 U' B R
F' B' L2 U' B R2
B' F' L2 U' B R2
F2 B' L2 U' B R2
F B' L2 U' B R2
U B' U' R2 D F2
U B' F L2 U' R2
U B' F' L2 U' R2
U B' F2 L2 U' R2
B' F2 L2 U' B R2
U B2 L2 B U' R2
R2 F2 U B' U' D F2
R2 F2 U B' D U' F2
R2 F2 U B2 L2 B U'
D F2 U B' U2 B' U
L2 F2 U' F' U R2 F
L2 F2 U' F' U F R2
U' F2 U2 B' L2 U' R2
D F2 U' B2 U2 B U'
D' F2 D B' L2 U' B
R2 F2 D U B' U' F2
R2 F2 D F2 U B' U'
D F2 D' R2 U B' U'
D' F2 D2 B' U' F2 B
D' F2 D2 B' U' B F2
D F2 D' U B' U' R2
R' F2 B' L2 U' B R'
D F2 D2 U F2 B' U'
D F2 D2 U B' F2 U'
D' F2 B' L2 U' F B
D' F2 B' L2 U' B F
D' F2 B' U B' U2 B2
D' F2 B' U' B D2 F2
R2 F2 B D F2 B' L2
R2 F2 B D B' L2 F2
R2 F2 B D B' F2 L2
U F2 B L2 B2 U' R2
U F2 B' L2 U' R2 D
U F2 B' L2 U' R2 D'
U F2 B' L2 U' R2 D2
U F2 B' L2 D' F2 U'
U F2 B' L2 F U' R2
U F2 B' L2 F' U' R2
U F2 B' L2 F2 U' R2
U F2 B' U' R2 D F2
U F2 B2 L2 B U' R2
U B L' B2 L' U' R2
U B L2 U' R2 D L2
U B L2 F B2 U' R2
U B L2 F' B2 U' R2
U B L2 F2 B2 U' R2
U B L2 B2 U' R2 D
U B L2 B2 U' R2 D'
U B L2 B2 U' R2 D2
U B L2 B2 D' F2 U'
U B L2 B2 F U' R2
U B L2 B2 F' U' R2
U B L2 B2 F2 U' R2
R B R D F2 B' L2
R B R D B' L2 F2
R B R D B' F2 L2
U' B U R2 D L2 F2
U' B U R2 D F2 L2
U B R2 D L2 F2 B2
U B R2 D L2 B2 F2
U B R2 D F2 L2 B2
U B R2 D F2 B2 L2
U B R2 D B2 L2 F2
U B R2 D B2 F2 L2
U' B U2 L2 B2 U' R2
U2 B U' L2 B2 U' R2
R2 B U B2 L2 U' B
U' B U2 B2 L2 U' R2
U2 B U' B2 L2 U' R2
U2 B U2 R2 D L2 F2
U2 B U2 R2 D F2 L2
D' B D R2 F' B' L2
D' B D R2 B' L2 F'
D' B D R2 B' F' L2
L2 B U2 F U R2 B'
L2 B U2 F U B' R2
U B U' R2 D L2 F2
U B U' R2 D F2 L2
B' F L2 U' B R2 D
B' F L2 U' B R2 D'
B' F L2 U' B R2 D2
U' B D B2 U L2 F2
U' B D B2 U F2 L2
B' F L2 U' B' R2 B2
B' F L2 U' B2 R2 B'
R' B D F2 B' L2 R'
R' B D F2 B' R' L2
R' B D B' L2 R' F2
R' B D B' L2 F2 R'
R' B D B' R' L2 F2
R' B D B' R' F2 L2
B' F L2 D' F2 U' B
R' B D B' F2 L2 R'
R' B D B' F2 R' L2
B' F L2 F U' B R2
B' F L2 F' U' B R2
B' F L2 F2 U' B R2
B2 F L2 B U' B R2
R2 B D F' B' L2 F'
R2 B D F2 B L2 B2
R2 B D F2 B' L2 D
R2 B D F2 B' L2 D'
R2 B D F2 B' L2 D2
R2 B D F2 B2 L2 B
R2 B D B L2 F2 B2
R2 B D B L2 B2 F2
R2 B D B F2 L2 B2
R2 B D B' L F2 L
R2 B D B' L2 F2 D
R2 B D B' L2 F2 D'
R2 B D B' L2 F2 D2
R2 B D B' F' L2 F'
R2 B D B' F2 L2 D
R2 B D B' F2 L2 D'
R2 B D B' F2 L2 D2
R2 B D B2 L2 F2 B
R2 B D B2 L2 B F2
R2 B D B2 F2 L2 B
R B D R F2 B' L2
R B D R B' L2 F2
R B D R B' F2 L2
R2 B D' B' D2 L2 F
R B D B' L2 R F2
R B D B' R L2 F2
R B D B' R F2 L2
F' B R2 D F2 B' L2
F' B R2 D B' L2 F2
F' B R2 D B' F2 L2
R2 B D2 B' D' L2 F2
R2 B D2 B' D' F2 L2
L2 B F U B' R2 F'
F2 B R2 D F2 B' L2
F2 B R2 D B' L2 F2
F2 B R2 D B' F2 L2
R2 B F D F2 B' L2
R2 B F D B' L2 F2
R2 B F D B' F2 L2
B F R2 D F2 B' L2
B F R2 D B' L2 F2
B F R2 D B' F2 L2
U B F L2 B2 U' R2
F B R2 D F2 B' L2
F B R2 D B' L2 F2
F B R2 D B' F2 L2
R2 B F' D F2 B' L2
R2 B F' D B' L2 F2
R2 B F' D B' F2 L2
B' F U' B R2 D F2
U B F' L2 B2 U' R2
R2 B F2 D F2 B' L2
R2 B F2 D B' L2 F2
R2 B F2 D B' F2 L2
U B F2 L2 B2 U' R2
U' B' L2 U' R2 D' B2
U' B' L2 U2 L2 U R2
U' B' L2 D' F2 U' B2
R' B' L2 U' B R' D
R' B' L2 U' B R' D'
R' B' L2 U' B R' D2
R' B' L2 U' B D R'
R' B' L2 U' B D' R'
R' B' L2 U' B D2 R'
R' B' L2 F U' B R'
U B' L D' L F2 U'
R' B' L2 F' U' B R'
U B' L D' F2 L U'
R' B' L2 F2 U' B R'
U B' L F L U' R2
D' B' L2 F2 U' F' B
D' B' L2 F2 U' B F'
U B' L F' L U' R2
U B' L F2 L U' R2
U2 B' L2 U' R2 D B2
R2 B' L2 R U' R' B
R2 B' L2 R2 U' R2 B
U2 B' L2 F U' R2 B
U B' L' D' L' F2 U'
D B' L2 F U' F B
D B' L2 F U' B F
U B' L2 U L U2 R2
U B' L2 U L' U2 R2
U B' L2 U L2 U2 R2
U B' L2 U D2 L2 U2
U B' L2 U' R D R
U B' L2 U' R D' R
U B' L2 U' R D2 R
U B' L2 U' R' D R'
U B' L2 U' R' D' R'
U B' L2 U' R' D2 R'
R2 B' R L2 U' R' B
U B' L2 U' F' R2 F
U B' L2 U' F2 R2 F2
U B' L2 U' B R2 B'
U B' L2 U' B2 R2 B2
U B' L2 U2 D B2 U
U B' L2 U2 B U R2
U B' L2 U2 B' U R2
U B' L2 U2 B2 U R2
U B' L2 D U2 B2 U
U B' L2 D' F2 U' D
U B' L2 D' F2 U' D'
U B' L2 D' F2 U' D2
U B' L2 D' F2 D U'
U B' L2 D' F2 D' U'
U B' L2 D' F2 D2 U'
U B' L2 D2 U L2 U2
U B' L2 F U' R2 D
U B' L2 F U' R2 D'
U B' L2 F U' R2 D2
U B' L2 F D' F2 U'
U B' L2 F' U' R2 D
U B' L2 F' U' R2 D'
U B' L2 F' U' R2 D2
U B' L2 F' D' F2 U'
U B' L2 F2 U' R2 D
U B' L2 F2 U' R2 D'
U B' L2 F2 U' R2 D2
U B' L2 F2 D' F2 U'
R B' L2 U' D B R
R B' L2 U' D' B R
R B' L2 U' D2 B R
R B' L2 U' B R D
R B' L2 U' B R D'
R B' L2 U' B R D2
R B' L2 U' B D R
R B' L2 U' B D' R
R B' L2 U' B D2 R
R B' L2 U' B' R B2
R B' L2 U' B2 R B'
R B' L2 D U' B R
R B' L2 D' U' B R
R B' L2 D2 U' B R
R2 B' R2 L2 U' R2 B
B' F' L2 U' B R2 D
B' F' L2 U' B R2 D'
B' F' L2 U' B R2 D2
B' F' L2 U' B' R2 B2
B' F' L2 U' B2 R2 B'
B' F' L2 D' F2 U' B
B' F' L2 F U' B R2
B' F' L2 F' U' B R2
F' B' L2 U' B R2 D
F' B' L2 U' B R2 D'
F' B' L2 U' B R2 D2
F' B' L2 U' B' R2 B2
F' B' L2 U' B2 R2 B'
B' F' L2 F2 U' B R2
R' B' U' B R' D F2
R' B' U' B D R' F2
R' B' U' B D F2 R'
F' B' L2 D' F2 U' B
F2 B' L2 U' B R2 D
F2 B' L2 U' B R2 D'
F2 B' L2 U' B R2 D2
F2 B' L2 U' B' R2 B2
F' B' L2 F U' B R2
F2 B' L2 U' B2 R2 B'
F' B' L2 F' U' B R2
U2 B' U' L2 U' L2 R2
U2 B' U' L2 U' R2 L2
F' B' L2 F2 U' B R2
F2 B' L2 D' F2 U' B
F2 B' L2 F U' B R2
U2 B' U' R2 D F2 B2
U2 B' U' R2 D B2 F2
F2 B' L2 F' U' B R2
B2 F' L2 B U' B R2
F2 B' L2 F2 U' B R2
F B' L2 U' B R2 D
F B' L2 U' B R2 D'
F B' L2 U' B R2 D2
F B' L2 U' B' R2 B2
F B' L2 U' B2 R2 B'
D B' U' F2 B D' R2
D B' U' B F2 D' R2
L2 B' U2 F U B R2
U B' U' R D R F2
F B' L2 D' F2 U' B
U B' U' R' D R' F2
U B' U' R' D F2 R'
U B' U' R2 U L2 U'
U B' U' R2 D F2 D
U B' U' R2 D F2 D'
U B' U' R2 D F2 D2
U B' U' R2 F D F2
U B' U' R2 F' D F2
U B' U' R2 F2 D F2
F B' L2 F U' B R2
U B' U' D F2 D' R2
F B' L2 F' U' B R2
F B' L2 F2 U' B R2
U B' U' F R2 D F2
U B' U' F' R2 D F2
U B' U' F2 R2 D F2
R B' U' D B R F2
D B' U2 B' U F2 B2
D B' U2 B' U B2 F2
R B' U' B R D F2
R B' U' B D R F2
U B' U2 D B2 U F2
D2 B' D2 L2 U' B R2
D B' D' L2 F U' B
U B' D U' F2 D' R2
U B' D U2 B2 U F2
B F' R2 D F2 B' L2
B F' R2 D B' L2 F2
B F' R2 D B' F2 L2
R' B' F L2 U' B R'
R B' D U' B R F2
B' F' U' B R2 D F2
R' B' F' L2 U' B R'
U2 B' F L2 U' R2 B
U B' D' F2 U B2 U2
U B' D' F2 U' D2 F2
U B' D' F2 D L2 U'
U B' D' F2 D2 U' F2
F' B' U' B R2 D F2
F2 B' U' B R2 D F2
R' B' F2 L2 U' B R'
U2 B' F' L2 U' R2 B'
U2 B' F' L2 U' B' R2
D' B' F2 L2 U' F B
D' B' F2 L2 U' B F
D' B' F2 U B' U2 B2
D' B' F2 U' B D2 F2
U B' F L2 U' R2 D
U B' F L2 U' R2 D'
U B' F L2 U' R2 D2
U B' F L2 D' F2 U'
U B' F L2 F U' R2
U B' F L2 F' U' R2
U B' F L2 F2 U' R2
U B' F U' R2 D F2
F B' U' B R2 D F2
U B' F' L2 U' R2 D
U B' F' L2 U' R2 D'
U B' F' L2 U' R2 D2
U B' F' L2 D' F2 U'
U B' F' L2 F U' R2
U B' F' L2 F' U' R2
U B' F' L2 F2 U' R2
U B' F' U' R2 D F2
U B' F2 L2 U' R2 D
U B' F2 L2 U' R2 D'
U B' F2 L2 U' R2 D2
U B' F2 L2 D' F2 U'
U B' F2 L2 F U' R2
U B' F2 L2 F' U' R2
U B' F2 L2 F2 U' R2
U B' F2 U' R2 D F2
U B2 L' B L' U' R2
B' F2 L2 U' B R2 D
B' F2 L2 U' B R2 D'
B' F2 L2 U' B R2 D2
B' F2 L2 U' B' R2 B2
B' F2 L2 U' B2 R2 B'
B' F2 L2 D' F2 U' B
U B2 L2 D' F2 B U'
U B2 L2 D' B F2 U'
B' F2 L2 F U' B R2
U B2 L2 F B U' R2
B' F2 L2 F' U' B R2
U B2 L2 F' B U' R2
B' F2 L2 F2 U' B R2
U B2 L2 F2 B U' R2
U B2 L2 B U' R2 D
U B2 L2 B U' R2 D'
U B2 L2 B U' R2 D2
U B2 L2 B D' F2 U'
U B2 L2 B F U' R2
U B2 L2 B F' U' R2
U B2 L2 B F2 U' R2
F' B2 L2 B U' B R2
R B2 L2 B U' B R
B2 F2 L2 B U' B R2
F2 B2 L2 B U' B R2
D B2 R2 F' U F' B2
D B2 R2 F' U B2 F'
F B2 L2 B U' B R2
R2 B2 U L2 B U' B
U' B2 U2 L2 B U' R2
D' B2 U' F2 B U' B
D' B2 U' B F2 U' B
U2 B2 U' L2 B U' R2
R2 B2 U B L2 U' B
U' B2 U2 B L2 U' R2
U2 B2 U' B L2 U' R2
B F2 R2 D F2 B' L2
B F2 R2 D B' L2 F2
B F2 R2 D B' F2 L2
L2 B2 U2 F U R2 B2
L2 B2 U2 F U B2 R2
B' F2 U' B R2 D F2
D B2 U2 B U' F2 B
D B2 U2 B U' B F2
D B2 D L2 R2 F' U
D B2 D R2 L2 F' U
D B2 D R2 F' L2 U
L2 B2 D' F2 R2 B U'
U B2 F L2 B U' R2
U B2 F' L2 B U' R2
U B2 F2 L2 B U' R2
