D' U' B2 R' F'
U' D' B2 R' F'
F' L' D F2 R U'
U2 L2 U' L' B' U2
L2 U L' B' U2 B
D' R U' B2 R' F'
L2 U' L' U2 L F
R' U' D' B2 R' F'
R2 U' D' B2 R' F'
R U' D' B2 R' F'
D' R' U' B2 R' F'
U' R' D' F' B2 R'
U' R' D' B2 F' R'
U' R' F' D' B2 R'
D2 R2 U L U2 F
D' R2 U' B2 R' F'
D' U L U2 F B2
D' U L U2 B2 F
U D L F2 U2 F'
D U L F2 U2 F'
D U F2 L U2 F
U D F2 L U2 F
R' D' U' B2 R' F'
U D' L U2 F B2
U D' L U2 B2 F
R2 D' U' B2 R' F'
U' D' R' F' B2 R'
R D' U' B2 R' F'
U' D' R' B2 F' R'
D' U' R' F' B2 R'
D' U' R' B2 F' R'
U' D' F B2 R' F'
D' U' F B2 R' F'
U' D' F' B2 R' F'
D' U' F' B2 R' F'
U' D' F2 B2 R' F'
D' U' F2 B2 R' F'
U' D' B2 R' D F'
U' D' B2 R' D' F'
U' D' B2 R' D2 F'
U' D' B2 R' F' D
U' D' B2 R' F' D'
U' D' B2 R' F' D2
U' D' B2 D R' F'
U' D' B2 D' R' F'
U' D' B2 D2 R' F'
D' U' B2 R' D F'
D' U' B2 R' D' F'
U' D' B2 F R' F'
D' U' B2 R' D2 F'
D' U' B2 R' F' D
D' U' B2 R' F' D'
D' U' B2 R' F' D2
U' D' B2 F' R' F'
U' D' B2 F2 R' F'
D' U' B2 D R' F'
D' U' B2 D' R' F'
D' U' B2 D2 R' F'
D' U' B2 F R' F'
D' U' B2 F' R' F'
D' U' B2 F2 R' F'
U' F D' B2 R' F'
U' F' D' B2 R' F'
U' F2 D' B2 R' F'
U' B2 R' D' F' B2
U' B2 R' D' B2 F'
U' B2 R' F' D' B2
U' B2 D' R' F' B2
U' B2 D' R' B2 F'
D' U' B2 R' L2 F' L2
U' D' B2 R' L2 F' L2
D' U' B2 R' D F' D
D' U' B2 R' D F' D'
D' U' B2 R' D F' D2
U' D' B2 R' D F' D
U' D' B2 R' D F' D'
U' D' B2 R' D F' D2
D' U' B2 R' D' F' D
D' U' B2 R' D' F' D'
D' U' B2 R' D' F' D2
U' D' B2 R' D' F' D
U' D' B2 R' D' F' D'
U' D' B2 R' D' F' D2
D' U' B2 R' D2 F' D
D' U' B2 R' D2 F' D'
D' U' B2 R' D2 F' D2
U' D' B2 R' D2 F' D
U' D' B2 R' D2 F' D'
U' D' B2 R' D2 F' D2
D' U' B2 R' F2 D F
D' U' B2 R' F2 D' F
D' U' B2 R' F2 D2 F
U' D' B2 R' F2 D F
U' D' B2 R' F2 D' F
U D' B U2 B R' F'
U' D' B2 R' F2 D2 F
U' D' B2 D R' D F'
U' D' B2 D R' D' F'
D' U' B2 D R' D F'
U' D' B2 D R' D2 F'
D' U' B2 D R' D' F'
U' D' B2 D R' F' D
U' D' B2 D R' F' D'
U' D' B2 D R' F' D2
D' U' B2 D R' D2 F'
D' U' B2 D R' F' D
D' U' B2 D R' F' D'
D' U' B2 D R' F' D2
U' D' B2 D F R' F'
D' U' B2 D F R' F'
U' D' B2 D F' R' F'
D' U' B2 D F' R' F'
U' D' B2 D F2 R' F'
D' U' B2 D F2 R' F'
D' U' B2 D' R' D F'
D' U' B2 D' R' D' F'
D' U' B2 D' R' D2 F'
D' U' B2 D' R' F' D
D' U' B2 D' R' F' D'
D' U' B2 D' R' F' D2
U' D' B2 D' R' D F'
U' D' B2 D' R' D' F'
U' D' B2 D' R' D2 F'
U' D' B2 D' R' F' D
U' D' B2 D' R' F' D'
U' D' B2 D' R' F' D2
D' U' B2 D' F R' F'
U' D' B2 D' F R' F'
D' U' B2 D' F' R' F'
U' D' B2 D' F' R' F'
D' U' B2 D' F2 R' F'
U' D' B2 D' F2 R' F'
D' U' B2 D2 R' D F'
D' U' B2 D2 R' D' F'
D' U' B2 D2 R' D2 F'
D' U' B2 D2 R' F' D
D' U' B2 D2 R' F' D'
D' U' B2 D2 R' F' D2
U' D' B2 D2 R' D F'
U' D' B2 D2 R' D' F'
U' D' B2 D2 R' D2 F'
U' D' B2 D2 R' F' D
U' D' B2 D2 R' F' D'
U' D' B2 D2 R' F' D2
D' U' B2 D2 F R' F'
U' D' B2 D2 F R' F'
D' U' B2 D2 F' R' F'
U' D' B2 D2 F' R' F'
D' U' B2 D2 F2 R' F'
U' D' B2 D2 F2 R' F'
D' U' B2 F R' D F'
D' U' B2 F R' D' F'
D' U' B2 F R' D2 F'
D' U' B2 F R' F' D
D' U' B2 F R' F' D'
D' U' B2 F R' F' D2
U' D' B2 F R' D F'
U' D' B2 F R' D' F'
U' D' B2 F R' D2 F'
U' D' B2 F R' F' D
U' D' B2 F R' F' D'
U' D' B2 F R' F' D2
D2 U' B2 D R' F' B2
D2 U' B2 D R' B2 F'
D' U' B2 F D R' F'
U' D' B2 F D R' F'
D' U' B2 F D' R' F'
U' D' B2 F D' R' F'
D' U' B2 F D2 R' F'
U' D' B2 F D2 R' F'
D' U' B2 F' R' D F'
D' U' B2 F' R' D' F'
D' U' B2 F' R' D2 F'
D' U' B2 F' R' F' D
D' U' B2 F' R' F' D'
D' U' B2 F' R' F' D2
U' D' B2 F' R' D F'
U' D' B2 F' R' D' F'
U' D' B2 F' R' D2 F'
U' D' B2 F' R' F' D
U' D' B2 F' R' F' D'
U' D' B2 F' R' F' D2
F U' D' B2 R' D' F2
D' U' B2 F' D R' F'
U' D' B2 F' D R' F'
D' U' B2 F' D' R' F'
U' D' B2 F' D' R' F'
D' U' B2 F' D2 R' F'
U' D' B2 F' D2 R' F'
D' U' B2 F2 R' D F'
D' U' B2 F2 R' D' F'
D' U' B2 F2 R' D2 F'
D' U' B2 F2 R' F' D
D' U' B2 F2 R' F' D'
D' U' B2 F2 R' F' D2
U' D' B2 F2 R' D F'
U' D' B2 F2 R' D' F'
U' D' B2 F2 R' D2 F'
U' D' B2 F2 R' F' D
U' D' B2 F2 R' F' D'
U' D' B2 F2 R' F' D2
D' U' B2 F2 D R' F'
U' D' B2 F2 D R' F'
D' U' B2 F2 D' R' F'
U' D' B2 F2 D' R' F'
D' U' B2 F2 D2 R' F'
U' D' B2 F2 D2 R' F'
D U' B2 R' D2 F' B2
D U' B2 R' D2 B2 F'
D U' B2 D2 R' F' B2
D U' B2 D2 R' B2 F'
U D2 L U' R2 U' F
U D2 L U2 D F B2
U D2 L U2 D B2 F
U D2 L U2 F D B2
U D2 L D U2 F B2
U D2 L D U2 B2 F
U D2 L D' F2 U2 F'
R' D2 R2 U L U2 F
D' U2 R U B2 R' F'
R2 D2 R2 U L U2 F
D' U2 R' U B2 R' F'
L2 D2 U L' B' U2 B
R D2 R2 U L U2 F
D' U2 R2 U B2 R' F'
L2 D2 U' L' U2 L F
F U' B2 R' D' F2 B2
F U' B2 R' D' B2 F2
U' D2 F D B2 R' F'
U' D2 F' D B2 R' F'
U' D2 F2 D B2 R' F'
F U2 L2 R U' L' U2
F U2 R L2 U' L' U2
F U2 R U D' B2 R'
F U2 R D' U B2 R'
F U2 R B2 L2 U R'
U' D2 B2 D R' F' B2
U' D2 B2 D R' B2 F'
F U2 D' R U B2 R'
U' F R' D' F' B2 R'
U' F R' D' B2 F' R'
U' F R' F' D' B2 R'
D' F U' B2 R' D' F2
D' F U2 R U B2 R'
F U2 B2 L2 R U R2
F U2 B2 R L2 U R2
F' D L' U L2 F2 U2
F' D L' U F2 L2 U2
F' D L' U' D2 R2 B2
F' D L' U' D2 B2 R2
F' D L' D R2 F2 U'
F' D L' D F2 R2 U'
F' D L' D2 U' R2 B2
F' D L' D2 U' B2 R2
L F U2 L R U R'
L F U2 R L U R'
U' F D' R' F' B2 R'
U' F D' R' B2 F' R'
U F U2 D' B2 R' F'
U' F D' F B2 R' F'
U' F D' F' B2 R' F'
U' F D' F2 B2 R' F'
U' F D' B2 R' D F'
U' F D' B2 R' D' F'
U' F D' B2 R' D2 F'
U' F D' B2 R' F' D
U' F D' B2 R' F' D'
U' F D' B2 R' F' D2
U' F D' B2 D R' F'
U' F D' B2 D' R' F'
U' F D' B2 D2 R' F'
U' F D' B2 F R' F'
U' F D' B2 F' R' F'
U' F D' B2 F2 R' F'
U F D L F2 U2 F'
U F D F2 L U2 F
U F D' L U2 F B2
U F D' L U2 B2 F
U F D' U2 B2 R' F'
U' F B2 R' D' F' B2
U' F B2 R' D' B2 F'
U' F B2 R' F' D' B2
U' F B2 D' R' F' B2
U' F B2 D' R' B2 F'
D2 F' L' R2 U L2 U2
D2 F' L' R2 U' D2 R2
D2 F' L' R2 D F2 U'
D2 F' L' R2 D2 U' R2
D' F' L' U L2 U2 B2
D' F' L' U' B2 D2 R2
R' F' L' D F2 R U'
D2 F' L' D F2 U' B2
L' F' L' F2 U' R B
R2 F' L' D F2 R U'
D F' L' U L2 F' U2
D F' L' U F' L2 U2
D F' L' U' D2 R2 B
D F' L' D2 U' R2 B
L F' L' U' D' B2 R'
L F' L' D' U' B2 R'
R F' L' D F2 R U'
U' F' R' D' F' B2 R'
U' F' R' D' B2 F' R'
U' F' R' F' D' B2 R'
D2 F' R2 L' U L2 U2
D2 F' R2 L' U' D2 R2
D2 F' R2 L' D F2 U'
D2 F' R2 L' D2 U' R2
F' D' L' U L2 U2 B2
F' D' L' U' B2 D2 R2
U' F' D' R' F' B2 R'
U' F' D' R' B2 F' R'
U' F' D' F B2 R' F'
U F' U2 D' B2 R' F'
U' F' D' F' B2 R' F'
U' F' D' F2 B2 R' F'
U' F' D' B2 R' D F'
U' F' D' B2 R' D' F'
U' F' D' B2 R' D2 F'
U' F' D' B2 R' F' D
U' F' D' B2 R' F' D'
U' F' D' B2 R' F' D2
U' F' D' B2 D R' F'
U' F' D' B2 D' R' F'
U' F' D' B2 D2 R' F'
U' F' D' B2 F R' F'
U' F' D' B2 F' R' F'
U' F' D' B2 F2 R' F'
U F' D L F2 U2 F'
U F' D F2 L U2 F
U F' D' L U2 F B2
U F' D' L U2 B2 F
U F' D' U2 B2 R' F'
U' F' B2 R' D' F' B2
U' F' B2 R' D' B2 F'
U' F' B2 R' F' D' B2
U' F' B2 D' R' F' B2
U' F' B2 D' R' B2 F'
F2 D' U L B' U2 B'
B2 D' U R' B2 L F
B2 D' U' R' F' B2 L
B2 D' U' R' B2 L F'
B2 D' U' R' B2 F' L
F' D' F U' B2 R' F'
F D' U' B2 R' D' F2
F D' U2 R U B2 R'
U' F2 R' D' F' B2 R'
U' F2 R' D' B2 F' R'
U' F2 R' F' D' B2 R'
F D' F' U' B2 R' F'
F' D2 L' R2 U L2 U2
F' D2 L' R2 U' D2 R2
F' D2 L' R2 D F2 U'
F' D2 L' R2 D2 U' R2
F' D2 L' D F2 U' B2
L' F2 D R F2 U' F
U' F2 D' R' F' B2 R'
U' F2 D' R' B2 F' R'
U' F2 D' F B2 R' F'
U' F2 D' F' B2 R' F'
U' F2 D' F2 B2 R' F'
U F2 U2 D' B2 R' F'
U' F2 D' B2 R' D F'
U' F2 D' B2 R' D' F'
U' F2 D' B2 R' D2 F'
U' F2 D' B2 R' F' D
U' F2 D' B2 R' F' D'
U' F2 D' B2 R' F' D2
U' F2 D' B2 D R' F'
U' F2 D' B2 D' R' F'
U' F2 D' B2 D2 R' F'
U' F2 D' B2 F R' F'
U' F2 D' B2 F' R' F'
U' F2 D' B2 F2 R' F'
U F2 D L F2 U2 F'
U F2 D F2 L U2 F
U F2 D' L U2 F B2
U F2 D' L U2 B2 F
U F2 D' U2 B2 R' F'
F' D2 R2 L' U L2 U2
F' D2 R2 L' U' D2 R2
F' D2 R2 L' D F2 U'
F' D2 R2 L' D2 U' R2
U' F2 B2 R' D' F' B2
U' F2 B2 R' D' B2 F'
U' F2 B2 R' F' D' B2
U' F2 B2 D' R' F' B2
U' F2 B2 D' R' B2 F'
U2 B' L2 R' B' U R'
U2 B' R' L2 B' U R'
U2 B' R' B' L2 U R'
U' B' D' B' R' F' B'
U' B' D' B' R' B' F'
U' B2 R' U' L2 U F'
U' B2 R' D' F' B2 D
U' B2 R' D' F' B2 D'
U' B2 R' D' F' B2 D2
U' B2 R' D' B2 D F'
U' B2 R' D' B2 D' F'
U' B2 R' D' B2 D2 F'
U' B2 R' D' B2 F' D
U' B2 R' D' B2 F' D'
U' B2 R' D' B2 F' D2
U' B2 R' D2 F' D B2
U' B2 R' F' U' L2 U
U' B2 R' F' D' B2 D
U' B2 R' F' D' B2 D'
U' B2 R' F' D' B2 D2
U' B2 R' F' B D' B2
U' B2 R' F' B' D' B2
U' B2 R' F' B2 D' B2
U' B2 R' F2 D' F B2
U' B2 R' F2 D' B2 F
U' B2 R' B D' F' B2
U' B2 R' B D' B2 F'
U' B2 R' B F' D' B2
U' B2 R' B' D' F' B2
U' B2 R' B' D' B2 F'
U' B2 R' B' F' D' B2
U' B2 R' B2 D' F' B2
U' B2 R' B2 D' B2 F'
U' B2 R' B2 F' D' B2
U' B2 U' L2 U R' F'
U B2 U L2 U R' F'
U' B2 D R' D2 F' B2
U' B2 D R' D2 B2 F'
L B2 U' R' B2 U' F'
U' B2 D' R' F' B2 D
U' B2 D' R' F' B2 D'
U' B2 D' R' F' B2 D2
U' B2 D' R' B2 D F'
U' B2 D' R' B2 D' F'
U' B2 D' R' B2 D2 F'
U' B2 D' R' B2 F' D
U' B2 D' R' B2 F' D'
U' B2 D' R' B2 F' D2
U' B2 D' R2 B2 R F'
U' B2 D' F R' F' B2
U' B2 D' F R' B2 F'
U' B2 D' F' R' F' B2
U' B2 D' F' R' B2 F'
U' B2 D' F2 R' F' B2
U' B2 D' F2 R' B2 F'
U B2 U2 R' D' F' B2
U B2 U2 R' D' B2 F'
U B2 U2 R' F' D' B2
U B2 U2 D' R' F' B2
U B2 U2 D' R' B2 F'
U' B2 F R' D' F' B2
U' B2 F R' D' B2 F'
U' B2 F R' F' D' B2
U B2 D F2 U2 R' F'
U' B2 F D' R' F' B2
U' B2 F D' R' B2 F'
U' B2 F' R' D' F' B2
U' B2 F' R' D' B2 F'
U' B2 F' R' F' D' B2
U B2 D' U2 R' F' B2
U B2 D' U2 R' B2 F'
U' B2 F' D' R' F' B2
U' B2 F' D' R' B2 F'
U' B2 F2 R' D' F' B2
U' B2 F2 R' D' B2 F'
U' B2 F2 R' F' D' B2
U' B2 F2 D' R' F' B2
U' B2 F2 D' R' B2 F'
