L' U' L' B R2
L' U' B L' R2
L' U' B R2 L'
B L R2 D L F2
B L R2 D F2 L
B' L' U' L' R2 B2
U' L' U' L' B R2
B' L' U' L' B2 R2
B' L' U' R2 L' B2
B' L' U' R2 B2 L'
U2 L' U' L' B R2
U L' U' L' B R2
U' L' U' B L' R2
U' L' U' B R2 L'
B' L' U' B2 L' R2
B' L' U' B2 R2 L'
U2 L' U' B L' R2
U2 L' U' B R2 L'
U L' U' B L' R2
U L' U' B R2 L'
D' L' F2 B2 U' B'
D' L' B2 F2 U' B'
B L2 R2 U L U'
B L2 U L U' R2
L2 U L U' B R2
L' U' L B L2 R2
L' U' L B R2 L2
L' U' L' B R2 D
L' U' L' B R2 D'
L' U' L' B R2 D2
L' U' L' B' R2 B2
L' U' L' B2 R2 B'
L' U' B L' R2 D
L' U' B L' R2 D'
L' U' B L' R2 D2
L' U' B R2 L' D
L' U' B R2 L' D'
L' U' B R2 L' D2
L' U' B R2 D L'
L' U' B R2 D' L'
L' U' B R2 D2 L'
L' U' B' L' R2 B2
L' U' B' L' B2 R2
L' U' B' R2 L' B2
L' U' B' R2 B2 L'
L' U' B2 R2 B' L'
B R2 L D L F2
B R2 L D F2 L
B R2 L2 U L U'
B R2 U L' U' L'
B U L' U' L' R2
B U L' U' R2 L'
D F2 B2 R U B'
L2 B R D' R F'
L' B' U' L' R2 B2
L' B' U' L' B2 R2
L' B' U' R2 L' B2
L' B' U' R2 B2 L'
L' B' U' B2 L' R2
L' B' U' B2 R2 L'
L' B2 U' R2 B' L'
L' B2 U' B' L' R2
L' B2 U' B' R2 L'
D B2 F2 R U B'
L F2 L2 U' B L' R2
L F2 L2 U' B R2 L'
D F2 L2 B2 R U B'
R2 F2 R U L2 R' B'
R2 F2 R U R' L2 B'
B' D' B2 L' R2 F2 U'
B' D' B2 L' F2 R2 U'
B' D' B2 R2 L' F2 U'
L2 F2 U L U' B R2
B2 D' B2 L' F2 U' B
B D' B2 L' F2 U' B2
L' F2 U' B' R2 B2 L
R2 F2 U' R U L2 B'
L' F2 D' F2 U' L' B
L' F2 D' F2 U' B L'
L2 F2 B R D' R F'
L' F2 B' U' R2 B2 L
D' F2 B2 U2 R U B'
U' B L R2 D L F2
U' B L R2 D F2 L
D F2 B' R B' U B'
D F2 B2 R U D B'
D F2 B2 R U D' B'
D F2 B2 R U D2 B'
D F2 B2 R U B' D
D F2 B2 R U B' D'
D F2 B2 R U B' D2
D F2 B2 R D U B'
D F2 B2 R D' U B'
D F2 B2 R D2 U B'
U2 B L R2 D L F2
U2 B L R2 D F2 L
L2 B L R2 D L' F
D F2 B2 D R U B'
L' B L' R2 U L U'
L' B L' U L U' R2
D F2 B2 D' R U B'
D F2 B2 D2 R U B'
D' B L' F2 B U' B'
U' B L2 R2 U L U'
U' B L2 U L U' R2
D' B L' B F2 U' B'
U B L R2 D L F2
U B L R2 D F2 L
L' B L2 R2 D L F2
L' B L2 R2 D F2 L
U2 B L2 R2 U L U'
U2 B L2 U L U' R2
U B L2 R2 U L U'
U B L2 U L U' R2
L2 B R D' R D F'
L2 B R D' R D' F'
L2 B R D' R D2 F'
L2 B R D' R F' D
L2 B R D' R F' D'
L2 B R D' R F' D2
U' B R2 L D L F2
U' B R2 L D F2 L
U' B R2 L2 U L U'
U' B R2 U L' U' L'
L' B R2 L' U L U'
L' B R2 L2 D L F2
L' B R2 L2 D F2 L
L2 B R' D' R F' R2
U' B U L' U' L' R2
U' B U L' U' R2 L'
U2 B R2 L D L F2
U2 B R2 L D F2 L
L2 B R2 L D L' F
U2 B R2 L2 U L U'
U2 B R2 U L' U' L'
D' B U L' F2 B U'
D' B U L' B F2 U'
L2 B R2 D L' F L
L2 B R2 D' R F' R'
D' B U B L' F2 U'
U2 B U L' U' L' R2
U2 B U L' U' R2 L'
U B R2 L D L F2
U B R2 L D F2 L
U B R2 L2 U L U'
U B R2 U L' U' L'
U B U L' U' L' R2
U B U L' U' R2 L'
L2 B U' B R' U R'
F' B L' R2 D' L' F
D B U' F2 B R U
D B U' B F2 R U
F' B L2 R D R F'
F2 B L2 R' D' R' F2
F2 B L2 R' D' F2 R'
F2 B L2 R2 U' R' U
F2 B L2 U' R U R
F' B R L2 D R F'
L2 B D' R D F' R2
L2 B D' R' D R2 F'
F2 B R' L2 D' R' F2
F2 B R' L2 D' F2 R'
F' B R2 L' D' L' F
L2 B F R D' R F'
F2 B R2 L2 U' R' U
F2 B R2 U' R' U L2
L2 B F' R D' R F'
L2 B F2 R D' R F'
F2 B U' R U L2 R
F2 B U' R U R L2
U' B' L' U' L' R2 B2
U' B' L' U' L' B2 R2
U' B' L' U' R2 L' B2
U' B' L' U' R2 B2 L'
U' B' L' U' B2 L' R2
U' B' L' U' B2 R2 L'
U2 B' L' U' L' R2 B2
U2 B' L' U' L' B2 R2
U2 B' L' U' R2 L' B2
U2 B' L' U' R2 B2 L'
U2 B' L' U' B2 L' R2
U2 B' L' U' B2 R2 L'
L' B' R U' L' R B2
L' B' R U' L' B2 R
L' B' R U' R L' B2
U B' L' U' L' R2 B2
L' B' R U' R B2 L'
U B' L' U' L' B2 R2
U B' L' U' R2 L' B2
U B' L' U' R2 B2 L'
L' B' R U' B2 L' R
L' B' R U' B2 R L'
U B' L' U' B2 L' R2
U B' L' U' B2 R2 L'
L' B' R' U' L' R' B2
L' B' R' U' R' L' B2
L' B' R' U' R' B2 L'
L2 B' R B2 D' R F'
L' B' U' L R2 B2 L2
L' B' U' L B2 L2 R2
L' B' U' L B2 R2 L2
L' B' U' L' R B2 R
L' B' U' L' R2 B2 D
L' B' U' L' R2 B2 D'
L' B' U' L' R2 B2 D2
L' B' U' L' B' R2 B'
L' B' U' L' B2 R2 D
L' B' U' L' B2 R2 D'
L' B' U' L' B2 R2 D2
L' B' U' R L' B2 R
L' B' U' R B2 L' R
L' B' U' R B2 R L'
L' B' U' R2 L B2 L2
L' B' U' R2 L' B2 D
L' B' U' R2 L' B2 D'
L' B' U' R2 L' B2 D2
B F' L' R2 D' L' F
L' B' U' R2 B L' B
L' B' U' R2 B2 L' D
L' B' U' R2 B2 L' D'
L' B' U' R2 B2 L' D2
L' B' U' R2 B2 D L'
L' B' U' R2 B2 D' L'
L' B' U' R2 B2 D2 L'
L' B' U' B L' B R2
L' B' U' B' R2 B' L'
L' B' U' B2 L' R2 D
L' B' U' B2 L' R2 D'
L' B' U' B2 L' R2 D2
L' B' U' B2 R2 L' D
L' B' U' B2 R2 L' D'
L' B' U' B2 R2 L' D2
L' B' U' B2 R2 D L'
L' B' U' B2 R2 D' L'
L' B' U' B2 R2 D2 L'
B F' L2 R D R F'
F2 B' R U L2 R B2
F2 B' R U L2 B2 R
F2 B' R U R L2 B2
F2 B' R U R B2 L2
F2 B' R U B2 L2 R
F2 B' R U B2 R L2
B F' R L2 D R F'
B F' R2 L' D' L' F
L' B' F2 U' R2 B2 L
D B' F2 R B' U B'
L' B2 R U' R B' L'
L' B2 R U' B' L' R
L' B2 R U' B' R L'
L2 B2 R D' R F2 B'
L2 B2 R D' R B' F2
L2 B2 R D' B' R F2
L' B2 R' U' R' B' L'
L2 B2 R B' D' R F2
D B2 R F2 R U B'
B' F2 R U L2 R B2
B' F2 R U L2 B2 R
B' F2 R U R L2 B2
B' F2 R U R B2 L2
B' F2 R U B2 L2 R
B' F2 R U B2 R L2
B F2 L2 R' D' R' F2
B F2 L2 R' D' F2 R'
L2 B2 R2 U' R U B'
B F2 L2 R2 U' R' U
B2 F2 R U R B' L2
B2 F2 R U B' L2 R
B2 F2 R U B' R L2
B F2 L2 U' R U R
F2 B2 R U R B' L2
D B2 R' F2 R U B'
F2 B2 R U B' L2 R
F2 B2 R U B' R L2
L2 B2 R2 B' U' R U
L' B2 U B' L' R2 F'
L' B2 U B' R2 L' F'
D B2 R2 F2 R U B'
L' B2 U' R B' L' R
L' B2 U' R B' R L'
L' B2 U' R2 D B' L'
L' B2 U' R2 D' B' L'
L' B2 U' R2 D2 B' L'
L' B2 U' R2 B L' B2
L' B2 U' R2 B' L' D
L' B2 U' R2 B' L' D'
L' B2 U' R2 B' L' D2
L' B2 U' R2 B' D L'
L' B2 U' R2 B' D' L'
L' B2 U' R2 B' D2 L'
L' B2 U' R2 B2 L' B
L B2 R2 D F2 B' L'
L B2 R2 D B' F2 L'
L' B2 U' B L' R2 B2
L' B2 U' B L' B2 R2
L' B2 U' B R2 L' B2
L' B2 U' B R2 B2 L'
L' B2 U' B' L' R2 D
L' B2 U' B' L' R2 D'
L' B2 U' B' L' R2 D2
L' B2 U' B' R2 L' D
L' B2 U' B' R2 L' D'
L' B2 U' B' R2 L' D2
L' B2 U' B' R2 D L'
L' B2 U' B' R2 D' L'
L' B2 U' B' R2 D2 L'
L' B2 U' B2 L' B R2
L2 B2 U' R' U R' B'
B F2 R' L2 D' R' F2
B F2 R' L2 D' F2 R'
L B2 R2 B' D F2 L'
B F2 R2 L2 U' R' U
B F2 R2 U' R' U L2
B F2 U' R U L2 R
B F2 U' R U R L2
D' B2 F2 U2 R U B'
D B2 F2 R U D B'
D B2 F2 R U D' B'
D B2 F2 R U D2 B'
D B2 F2 R U B' D
D B2 F2 R U B' D'
D B2 F2 R U B' D2
D B2 F2 R D U B'
D B2 F2 R D' U B'
D B2 F2 R D2 U B'
D B2 F2 D R U B'
D B2 F2 D' R U B'
D B2 F2 D2 R U B'
