B U' F' R
B L U' F' R
B L' U' F' R
B L2 U' F' R
B U' F' R D
B U' F' R D'
B U' F' R D2
B U' F' D R
B U' F' D' R
B U' F' D2 R
L' B U' F' R
L B U' F' R
L2 B U' F' R
D2 B U' F' R'
F B U' F2 R
B F U' F2 R
L2 D2 B F2 U' R' F
L2 D2 B F2 U' F R'
L D2 B L U' F' R'
L D2 B L' U' F' R'
L D2 B L2 U' F' R'
L D2 B U' D F' R'
L D2 B U' D' F' R'
L D2 B U' D2 F' R'
L D2 B U' F R' F2
L D2 B U' F' R' D
L D2 B U' F' R' D'
L D2 B U' F' R' D2
L D2 B U' F' D R'
L D2 B U' F' D' R'
L D2 B U' F' D2 R'
L D2 B U' F2 R' F
L D2 B D U' F' R'
B U2 R2 U R2 F' R
L D2 B D' U' F' R'
L D2 B D2 U' F' R'
L D2 B F U' R' F2
L D2 B F U' F2 R'
L D2 B F2 U' R' F
L D2 B F2 U' F R'
F U2 R2 F' U F' R
D2 F L B U' R' F2
D2 F L B U' F2 R'
D' F L' F B U' F
D' F L' B F U' F
D2 F L' B U' R' F2
D2 F L' B U' F2 R'
B U2 D2 B U F' R'
D2 F L2 B U' R' F2
D2 F L2 B U' F2 R'
B U2 B U F' R D
B U2 B U F' R D'
B U2 B U F' R D2
B U2 B U F' D R
B U2 B U F' D' R
B U2 B U F' D2 R
U2 F R2 F' U F' R
U' F U B U' F2 R
B U2 B' U F' R D
B U2 B' U F' R D'
B U2 B' U F' R D2
B U2 B' U F' D R
B U2 B' U F' D' R
B U2 B' U F' D2 R
B U2 B2 U F' R D
B U2 B2 U F' R D'
B U2 B2 U F' R D2
B U2 B2 U F' D R
B U2 B2 U F' D' R
B U2 B2 U F' D2 R
B D L U' D' F' R
B D L D' U' F' R
U2 F U2 B U' F2 R
B D L' U' D' F' R
D' F D' L2 B U' R'
B D L' D' U' F' R
D' F D' B L2 U' R'
F' D R U R' B U'
B D L2 U' D' F' R
B D L2 D' U' F' R
D2 F B L U' R' F2
D2 F B L U' F2 R'
D' F B L' F U' F
D2 F B L' U' R' F2
D2 F B L' U' F2 R'
D2 F B L2 U' R' F2
D2 F B L2 U' F2 R'
U' F B U' F2 R B'
U' F B U' F2 B' R
U' F B U' B' F2 R
B D R F' R' U' F'
D2 F B U' R F2 R2
D2 F B U' R' F2 D
D2 F B U' R' F2 D'
D2 F B U' R' F2 D2
D2 F B U' F R' F
D2 F B U' F2 R' D
D2 F B U' F2 R' D'
D2 F B U' F2 R' D2
D2 F B U' F2 D R'
D2 F B U' F2 D' R'
D2 F B U' F2 D2 R'
L' F B U L' U2 F2
D2 F B D' L2 U' R'
L' F B U' R F2 R
L' F B U' R' F2 R
L' F B U' R2 F2 R
L' F B U' F2 R D
L' F B U' F2 R D'
L' F B U' F2 R D2
L' F B U' F2 D R
L' F B U' F2 D' R
L' F B U' F2 D2 R
L2 F B U L' U2 F2
L2 F B U' R F2 R
L2 F B U' R' F2 R
L2 F B U' R2 F2 R
L2 F B U' F2 R D
L2 F B U' F2 R D'
L2 F B U' F2 R D2
L2 F B U' F2 D R
L2 F B U' F2 D' R
L2 F B U' F2 D2 R
L F B U L' U2 F2
L F B U' R F2 R
L F B U' R' F2 R
L F B U' R2 F2 R
L F B U' F2 R D
L F B U' F2 R D'
L F B U' F2 R D2
L F B U' F2 D R
L F B U' F2 D' R
L F B U' F2 D2 R
B' D U' L2 D' F' R
U' F' L U B U' R
U' F' L' U B U' R
D' F' L' F B U' F'
D' F' L' B F U' F'
U' F' L2 U B U' R
F' D F B U' F' R
U' F' R D B' L B
U' F' R D' F L' F'
L' F' R U R' B U'
U' F' R F' D' F L'
U' F' R B D B' L
U F' L2 R D B' L
F2 D F' B U' F2 R
L2 F' R U R' B U'
F' D F2 B U' F2 R
U F' L2 B' R D L2
U F' L2 B' D L2 R
U F' L2 B' D R L2
F2 D F2 B U' F' R
U F' R L2 D B' L
U' F' R2 U' F' U R'
L F' R U R' B U'
U F' R D L2 B' L
F' D B F U' F' R
F' D B F2 U' F2 R
F2 D B F' U' F2 R
F2 D B F2 U' F' R
R' F' U R F' L' B'
U' F' U D B U' R
U' F' U D' B U' R
U' F' U D2 B U' R
B2 D B' U' D' F' R
U2 F' R2 F' U R' F
U2 F' R2 F' U F R'
U' F' U B U' R D
U' F' U B U' R D'
U' F' U B U' R D2
U' F' U B U' D R
U' F' U B U' D' R
U' F' U B U' D2 R
U' F' U B D U' R
U' F' U B D' U' R
U' F' U B D2 U' R
B2 D B' D' U' F' R
F D B U' D' F2 R
R F' R' B U' F' R2
F D B D' U' F2 R
R' F' U' R F' B L
R' F' U' R B L F'
R' F' U' R B F' L
U2 F' U B U' R B'
U2 F' U B U' B' R
U' F' D U B U' R
B D' L U2 B' U F'
R2 F' U2 R2 U' F' R'
B D' L' U' F' D R2
U' F' D' U B U' R
B D' L' D F U' F2
B D' L' D' F U' F2
B D' L' D2 F U' F2
B D' L' F L U' F2
B D' L' F L' U' F2
B D' L' F L2 U' F2
B D' L' F U' F2 D
B D' L' F U' F2 D'
B D' L' F U' F2 D2
B D' L' F D' L2 U'
F' D' R U R' B U'
B D' L2 U' F R F2
U' F' D2 U B U' R
B D' L2 F2 U' F R
D' F' B L' F U' F'
U' F' B' D L2 B R
U' F' B' D B L2 R
U' F' B' D B R L2
U F' B' R D L2 B'
U F' B' D L2 R B'
U F' B' D L2 B' R
U F' B' D R L2 B'
F' D' F B U' F' R
B D' F L' F U' F
U' F2 R D' F L' R
U' F2 R D' F R L'
F2 D' F' B U' F2 R
B D' F' L' F U' F'
F' D' F2 B U' F2 R
F2 D' F2 B U' F' R
U' F2 R2 F R D' L2
U' F2 R2 F D' L2 R
U' F2 R2 F D' R L2
F D' F2 L2 B U' R
F' D' B F U' F' R
F' D' B F2 U' F2 R
F2 D' B F' U' F2 R
F2 D' B F2 U' F' R
B2 D' B' L' F U' F2
F D' F2 B L2 U' R
B2 D' B' U' D F' R
U2 F2 R2 F' U F2 R
F D' B L2 U L U2
U' F2 U B U' F R
B2 D' B' D U' F' R
F D' B U' D F2 R
F D' B D U' F2 R
F D' B F2 L2 U' R
F D' B' L2 B2 U' R'
B D2 L U' D2 F' R
B D2 L D2 U' F' R
B D2 L' U' D2 F' R
B D2 L' D2 U' F' R
D' F2 D' B U' R' F
D' F2 D' B U' F R'
F' D2 R U R' B U'
B D2 L2 U' D2 F' R
D F2 D B U' R' F
D F2 D B U' F R'
B D2 L2 D2 U' F' R
D2 F2 B U' R F R2
D2 F2 B U' R' D F
D2 F2 B U' R' D' F
D2 F2 B U' R' D2 F
D2 F2 B U' R' F D
D2 F2 B U' R' F D'
D2 F2 B U' R' F D2
D2 F2 B U' D R' F
D2 F2 B U' D F R'
D2 F2 B U' D' R' F
D2 F2 B U' D' F R'
D2 F2 B U' D2 R' F
D2 F2 B U' D2 F R'
D2 F2 B U' F R' D
D2 F2 B U' F R' D'
D2 F2 B U' F R' D2
D2 F2 B U' F D R'
D2 F2 B U' F D' R'
D2 F2 B U' F D2 R'
D2 F2 B U' F' R' F2
D2 F2 B D U' R' F
D2 F2 B D U' F R'
D2 F2 B D' U' R' F
D2 F2 B D' U' F R'
D2 F2 B D2 U' R' F
D2 F2 B D2 U' F R'
D2 B L U' D F' R'
D2 B L U' D' F' R'
D2 B L U' D2 F' R'
D2 B L U' F R' F2
D2 B L U' F' R' D
D2 B L U' F' R' D'
D2 B L U' F' R' D2
D2 B L U' F' D R'
D2 B L U' F' D' R'
D2 B L U' F' D2 R'
D2 B L U' F2 R' F
D' B L U2 B' U F'
D2 B L D U' F' R'
L' B L U' F' R D
L' B L U' F' R D'
L' B L U' F' R D2
L' B L U' F' D R
L' B L U' F' D' R
L' B L U' F' D2 R
D2 B L D' U' F' R'
D2 B L D2 U' F' R'
D2 B L F U' R' F2
D2 B L F U' F2 R'
D2 B L F2 U' R' F
D2 B L F2 U' F R'
L' B L F U' F2 R
B D2 U B U2 F' R'
L2 B L U' F' R D
L2 B L U' F' R D'
L2 B L U' F' R D2
L2 B L U' F' D R
L2 B L U' F' D' R
L2 B L U' F' D2 R
B D2 U B' L U2 F'
D2 B L' U' D F' R'
D2 B L' U' D' F' R'
D2 B L' U' D2 F' R'
D2 B L' U' F R' F2
D2 B L' U' F' R' D
D2 B L' U' F' R' D'
D2 B L' U' F' R' D2
D2 B L' U' F' D R'
D2 B L' U' F' D' R'
D2 B L' U' F' D2 R'
D2 B L' U' F2 R' F
D' B L' U' F' D R2
D2 B L' D U' F' R'
L2 B L F U' F2 R
D' B L' D F U' F2
L' B L' U' F' R D
L' B L' U' F' R D'
L' B L' U' F' R D2
L' B L' U' F' D R
L' B L' U' F' D' R
L' B L' U' F' D2 R
D2 B L' D' U' F' R'
D' B L' D' F U' F2
D2 B L' D2 U' F' R'
D' B L' D2 F U' F2
D2 B L' F U' R' F2
D2 B L' F U' F2 R'
D' B L' F L U' F2
D' B L' F L' U' F2
D' B L' F L2 U' F2
D' B L' F U' F2 D
D' B L' F U' F2 D'
D' B L' F U' F2 D2
D' B L' F D' L2 U'
D2 B L' F2 U' R' F
D2 B L' F2 U' F R'
D B L U' D' F' R
L' B L' F U' F2 R
B D2 U' F' B R' B'
B D2 U' B F' R' B'
D B L D' U' F' R
L2 B L' U' F' R D
L2 B L' U' F' R D'
L2 B L' U' F' R D2
L2 B L' U' F' D R
L2 B L' U' F' D' R
L2 B L' U' F' D2 R
D2 B L2 U' D F' R'
D2 B L2 U' D' F' R'
D2 B L2 U' D2 F' R'
D2 B L2 U' F R' F2
D2 B L2 U' F' R' D
D2 B L2 U' F' R' D'
D2 B L2 U' F' R' D2
D2 B L2 U' F' D R'
D2 B L2 U' F' D' R'
D2 B L2 U' F' D2 R'
D2 B L2 U' F2 R' F
D' B L2 U' F R F2
L B L U' F' R D
L B L U' F' R D'
L B L U' F' R D2
L B L U' F' D R
L B L U' F' D' R
L B L U' F' D2 R
D2 B L2 D U' F' R'
L2 B L' F U' F2 R
L' B L2 U' F' R D
L' B L2 U' F' R D'
L' B L2 U' F' R D2
L' B L2 U' F' D R
L' B L2 U' F' D' R
L' B L2 U' F' D2 R
D2 B L2 D' U' F' R'
D2 B L2 D2 U' F' R'
F' D2 F B U' F' R
D2 B L2 F U' R' F2
D2 B L2 F U' F2 R'
L B L F U' F2 R
B D2 U2 B U F' R'
D2 B L2 F2 U' R' F
D2 B L2 F2 U' F R'
D B L' U' D' F' R
L' B L2 F U' F2 R
D' B L2 F2 U' F R
D B L' D' U' F' R
L2 B L2 U' F' R D
L2 B L2 U' F' R D'
L2 B L2 U' F' R D2
L2 B L2 U' F' D R
L2 B L2 U' F' D' R
L2 B L2 U' F' D2 R
L B L' U' F' R D
L B L' U' F' R D'
L B L' U' F' R D2
L B L' U' F' D R
L B L' U' F' D' R
L B L' U' F' D2 R
L2 B L2 F U' F2 R
L B L' F U' F2 R
R' B R B U' F' R
D B L2 U' D' F' R
F2 D2 F' B U' F2 R
D B L2 D' U' F' R
L B L2 U' F' R D
L B L2 U' F' R D'
L B L2 U' F' R D2
L B L2 U' F' D R
L B L2 U' F' D' R
L B L2 U' F' D2 R
F' D2 F2 B U' F2 R
L B L2 F U' F2 R
F2 D2 F2 B U' F' R
D B R F' R' U' F'
F' D2 B F U' F' R
F' D2 B F2 U' F2 R
D2 B U L U2 F' R'
F2 D2 B F' U' F2 R
F2 D2 B F2 U' F' R
D2 B U L' U2 F' R'
D2 B U L2 U2 F' R'
L' B U L U2 F' R
L' B U L' U2 F' R
L' B U L2 U2 F' R
B2 D2 B' U L U2 F'
F D2 B U L' B U2
L2 B U L U2 F' R
F D2 B U B L' U2
D2 B U B2 L U2 F'
L2 B U L' U2 F' R
L2 B U L2 U2 F' R
L' B U B U2 F' R
L' B U B' U2 F' R
D2 B U' L' F' L R'
D2 B U' L' F' R' L
L' B U B2 U2 F' R
D2 B U' L2 F' L2 R'
D2 B U' L2 F' R' L2
L' B U' L' F' L R
L' B U' L' F' R L
L' B U' L2 F' L2 R
L' B U' L2 F' R L2
U' B U' F' R D B'
U' B U' F' R D' B'
U' B U' F' R D2 B'
U' B U' F' R B' D
U' B U' F' R B' D'
U' B U' F' R B' D2
U' B U' F' R' B' R2
U' B U' F' D R B'
U' B U' F' D B' R
U' B U' F' D' R B'
U' B U' F' D' B' R
U' B U' F' D2 R B'
U' B U' F' D2 B' R
U' B U' F' B R B2
U' B U' F' B' R D
U' B U' F' B' R D'
U' B U' F' B' R D2
U' B U' F' B' D R
U' B U' F' B' D' R
U' B U' F' B' D2 R
D2 B U' D F R' F2
D2 B U' D F' R' D
D2 B U' D F' R' D'
D2 B U' D F' R' D2
D2 B U' D F' D R'
D2 B U' D F' D' R'
D2 B U' D F' D2 R'
D2 B U' D F2 R' F
D2 B U' D' F R' F2
D2 B U' D' F' R' D
D2 B U' D' F' R' D'
D2 B U' D' F' R' D2
D2 B U' D' F' D R'
D2 B U' D' F' D' R'
D2 B U' D' F' D2 R'
D' B U' D F' R D
D' B U' D F' R D'
D' B U' D F' R D2
D2 B U' D' F2 R' F
D' B U' D F' D R
D' B U' D F' D' R
D' B U' D F' D2 R
L' B U' R' F' R F'
D2 B U' D2 F R' F2
U' B U' B F' R B2
D2 B U' D2 F' R' D
D2 B U' D2 F' R' D'
D2 B U' D2 F' R' D2
D2 B U' D2 F' D R'
D2 B U' D2 F' D' R'
D2 B U' D2 F' D2 R'
D2 B U' D2 F2 R' F
D2 B U' F R F2 R2
D2 B U' F R' F2 D
D2 B U' F R' F2 D'
D2 B U' F R' F2 D2
U' B U' B' F' R D
U' B U' B' F' R D'
U' B U' B' F' R D2
U' B U' B' F' D R
U' B U' B' F' D' R
U' B U' B' F' D2 R
D2 B U' F' R2 D R
D2 B U' F' R2 D' R
D2 B U' F' R2 D2 R
D2 B U' F' D R' D
D2 B U' F' D R' D'
D2 B U' F' D R' D2
D2 B U' F' D' R' D
D2 B U' F' D' R' D'
D2 B U' F' D' R' D2
L2 B U B U2 F' R
D2 B U' F' D2 R' D
D2 B U' F' D2 R' D'
D2 B U' F' D2 R' D2
D2 B U' F2 R F R2
D2 B U' F2 R' D F
D2 B U' F2 R' D' F
D2 B U' F2 R' D2 F
D2 B U' F2 R' F D
D2 B U' F2 R' F D'
D2 B U' F2 R' F D2
D2 B U' F2 D R' F
D2 B U' F2 D F R'
D2 B U' F2 D' R' F
D2 B U' F2 D' F R'
L2 B U B' U2 F' R
D2 B U' F2 D2 R' F
D2 B U' F2 D2 F R'
L' B U' F R F2 R
L' B U' F R' F2 R
L' B U' F R2 F2 R
L2 B U B2 U2 F' R
L' B U' F' R2 D R'
L' B U' F' R2 D' R'
L' B U' F' R2 D2 R'
L' B U' F' D R D
L' B U' F' D R D'
L' B U' F' D R D2
L' B U' F' D' R D
L' B U' F' D' R D'
L' B U' F' D' R D2
L' B U' F' D2 R D
L' B U' F' D2 R D'
L' B U' F' D2 R D2
L' B U' F' B R B'
L' B U' F' B2 R B2
L' B U' F2 R F R
L' B U' F2 R' F R
L' B U' F2 R2 F R
L' B U' F2 D F R
L' B U' F2 D' F R
L' B U' F2 D2 F R
L2 B U' L' F' L R
L2 B U' L' F' R L
L' B U' B F' R B'
L2 B U' L2 F' L2 R
L2 B U' L2 F' R L2
L B U L U2 F' R
L' B U' B2 F' R B2
L2 B U' R' F' R F'
L B U L' U2 F' R
L B U L2 U2 F' R
F' B L F U' F' R
L2 B U' F R F2 R
L2 B U' F R' F2 R
F' B L F2 U' F2 R
L2 B U' F R2 F2 R
L2 B U' F' R2 D R'
L2 B U' F' R2 D' R'
L2 B U' F' R2 D2 R'
L2 B U' F' D R D
L2 B U' F' D R D'
L2 B U' F' D R D2
L2 B U' F' D' R D
L2 B U' F' D' R D'
L2 B U' F' D' R D2
L2 B U' F' D2 R D
L2 B U' F' D2 R D'
L2 B U' F' D2 R D2
L2 B U' F' B R B'
L2 B U' F' B2 R B2
L2 B U' F2 R F R
L2 B U' F2 R' F R
L2 B U' F2 R2 F R
L2 B U' F2 D F R
L2 B U' F2 D' F R
L2 B U' F2 D2 F R
L2 B U' B F' R B'
L2 B U' B2 F' R B2
L B U B U2 F' R
D2 B D L U' F' R'
D B U' D' F' R D
D B U' D' F' R D'
D B U' D' F' R D2
D B U' D' F' D R
D B U' D' F' D' R
D B U' D' F' D2 R
L' B U2 B U F' R
L B U B' U2 F' R
D2 B D L' U' F' R'
D' B D L U' F' R
B F L U L2 U2 F2
L' B U2 B' U F' R
L B U B2 U2 F' R
D2 B D L2 U' F' R'
D' B D L' U' F' R
L' B U2 B2 U F' R
B F L U' F2 D2 R2
D' B D L2 U' F' R
L B U' L' F' L R
L B U' L' F' R L
L B U' L2 F' L2 R
L B U' L2 F' R L2
F' B L' F U' F' R
L B U' R' F' R F'
D2 B D U' F R' F2
D2 B D U' F' R' D
D2 B D U' F' R' D'
D2 B D U' F' R' D2
D2 B D U' F' D R'
D2 B D U' F' D' R'
D2 B D U' F' D2 R'
D2 B D U' F2 R' F
F' B L' F2 U' F2 R
D' B D U' F' R D
D' B D U' F' R D'
D' B D U' F' R D2
D' B D U' F' D R
D' B D U' F' D' R
D' B D U' F' D2 R
F B L U L2 U2 F2
D2 B D F U' R' F2
D2 B D F U' F2 R'
D' B D F U' F2 R
L2 B U2 B U F' R
F B L U' F2 D2 R2
L B U' F R F2 R
L B U' F R' F2 R
D2 B D F2 U' R' F
D2 B D F2 U' F R'
L B U' F R2 F2 R
L2 B U2 B' U F' R
L B U' F' R2 D R'
L B U' F' R2 D' R'
L B U' F' R2 D2 R'
L2 B U2 B2 U F' R
L B U' F' D R D
L B U' F' D R D'
L B U' F' D R D2
L B U' F' D' R D
L B U' F' D' R D'
L B U' F' D' R D2
L B U' F' D2 R D
L B U' F' D2 R D'
L B U' F' D2 R D2
L B U' F' B R B'
L B U' F' B2 R B2
L B U' F2 R F R
L B U' F2 R' F R
L B U' F2 R2 F R
L B U' F2 D F R
L B U' F2 D' F R
L B U' F2 D2 F R
L B U' B F' R B'
D2 B D' L U' F' R'
D2 B D' L' U' F' R'
L B U' B2 F' R B2
D2 B D' L2 U' F' R'
B F L' U' F2 D R2
L' B D' L' F U' F2
B' F L2 B2 U' R' F2
B' F L2 B2 U' F2 R'
F' B L2 F U' F' R
D2 B D' U' F R' F2
D2 B D' U' F' R' D
D2 B D' U' F' R' D'
D2 B D' U' F' R' D2
D2 B D' U' F' D R'
D2 B D' U' F' D' R'
D2 B D' U' F' D2 R'
D2 B D' U' F2 R' F
F' B L2 F2 U' F2 R
D2 B D' F U' R' F2
D2 B D' F U' F2 R'
F B L' U' F2 D R2
D2 B D' F2 U' R' F
D2 B D' F2 U' F R'
L B U2 B U F' R
L2 B D' L' F U' F2
D2 B D2 L U' F' R'
L B U2 B' U F' R
D2 B D2 L' U' F' R'
B F L2 U L U2 F2
L B U2 B2 U F' R
D2 B D2 L2 U' F' R'
D2 B D2 U' F R' F2
D2 B D2 U' F' R' D
D2 B D2 U' F' R' D'
D2 B D2 U' F' R' D2
D2 B D2 U' F' D R'
D2 B D2 U' F' D' R'
D2 B D2 U' F' D2 R'
D2 B D2 U' F2 R' F
D B D' L U' F' R
F B L2 U L U2 F2
D B D' L' U' F' R
D2 B D2 F U' R' F2
D2 B D2 F U' F2 R'
D B D' L2 U' F' R
D2 B D2 F2 U' R' F
D2 B D2 F2 U' F R'
D2 B F L U' R' F2
D2 B F L U' F2 R'
D B D' U' F' R D
D B D' U' F' R D'
D B D' U' F' R D2
D B D' U' F' D R
D B D' U' F' D' R
D B D' U' F' D2 R
D2 B F L' U' R' F2
D2 B F L' U' F2 R'
D B D' F U' F2 R
D2 B F L2 U' R' F2
D2 B F L2 U' F2 R'
D' B F L' F U' F
U' B F U' F2 R B'
U' B F U' F2 B' R
U' B F U' B' F2 R
L B D' L' F U' F2
D2 B F U' R F2 R2
D2 B F U' R' F2 D
D2 B F U' R' F2 D'
D2 B F U' R' F2 D2
D2 B F U' F R' F
D2 B F U' F2 R' D
D2 B F U' F2 R' D'
D2 B F U' F2 R' D2
D2 B F U' F2 D R'
D2 B F U' F2 D' R'
D2 B F U' F2 D2 R'
D B D2 L' F U' F2
L' B F U L' U2 F2
D2 B F D' L2 U' R'
L' B F U' R F2 R
L' B F U' R' F2 R
L' B F U' R2 F2 R
L' B F U' F2 R D
L' B F U' F2 R D'
L' B F U' F2 R D2
L' B F U' F2 D R
L' B F U' F2 D' R
L' B F U' F2 D2 R
D' B F' L' F U' F'
L2 B F U L' U2 F2
L2 B F U' R F2 R
L2 B F U' R' F2 R
L2 B F U' R2 F2 R
L2 B F U' F2 R D
L2 B F U' F2 R D'
L2 B F U' F2 R D2
L2 B F U' F2 D R
L2 B F U' F2 D' R
L2 B F U' F2 D2 R
D2 B F2 U' R F R2
D2 B F2 U' R' D F
D2 B F2 U' R' D' F
D2 B F2 U' R' D2 F
D2 B F2 U' R' F D
D2 B F2 U' R' F D'
D2 B F2 U' R' F D2
D2 B F2 U' D R' F
D2 B F2 U' D F R'
D2 B F2 U' D' R' F
D2 B F2 U' D' F R'
D2 B F2 U' D2 R' F
D2 B F2 U' D2 F R'
D2 B F2 U' F R' D
D2 B F2 U' F R' D'
D2 B F2 U' F R' D2
D2 B F2 U' F D R'
D2 B F2 U' F D' R'
D2 B F2 U' F D2 R'
D2 B F2 U' F' R' F2
D2 B F2 D U' R' F
D2 B F2 D U' F R'
D2 B F2 D' U' R' F
D2 B F2 D' U' F R'
D2 B F2 D2 U' R' F
D2 B F2 D2 U' F R'
L B F U L' U2 F2
L B F U' R F2 R
L B F U' R' F2 R
L B F U' R2 F2 R
L B F U' F2 R D
L B F U' F2 R D'
L B F U' F2 R D2
L B F U' F2 D R
L B F U' F2 D' R
L B F U' F2 D2 R
F' B U' R U' R' U
B F U L' U2 F2 D
B F U L' U2 F2 D'
B F U L' U2 F2 D2
B F U L' D2 B2 U2
B F U L' B U2 F2
B F U L' B' U2 F2
B F U L' B2 U2 F2
B' F U' F2 R D L2
F' B U' R2 D' R' F2
F' B U' R2 D' F2 R'
B' F U' F2 D L2 R
B' F U' F2 D R L2
F2 B U' R' F D R2
B F U D2 L' B2 U2
B F U D2 B2 L' U2
F B U L' U2 F2 D
F B U L' U2 F2 D'
F B U L' U2 F2 D2
F B U L' D2 B2 U2
F B U L' B U2 F2
F B U L' B' U2 F2
F B U L' B2 U2 F2
L' B' L B2 U' F' R
B F U B L' U2 F2
B F U B U2 F2 R
B F U B' L' U2 F2
B F U B' U2 F2 R
B F U B2 L' U2 F2
B F U B2 U2 F2 R
F B U D2 L' B2 U2
F B U D2 B2 L' U2
B F U' R F2 R D
B F U' R F2 R D'
B F U' R F2 R D2
B F U' R F2 D R
B F U' R F2 D' R
B F U' R F2 D2 R
D' B' L' F B2 U' F2
F B U B L' U2 F2
B F U' R' F2 R D
B F U' R' F2 R D'
B F U' R' F2 R D2
B F U' R' F2 D R
B F U' R' F2 D' R
B F U' R' F2 D2 R
F B U B U2 F2 R
F B U B' L' U2 F2
B F U' R2 F2 R D
B F U' R2 F2 R D'
B F U' R2 F2 R D2
L2 B' L B2 U' F' R
B F U' R2 F2 D R
B F U' R2 F2 D' R
B F U' R2 F2 D2 R
F B U B' U2 F2 R
F B U B2 L' U2 F2
F B U B2 U2 F2 R
B F U' F R F R
B F U' F R' F R
B F U' F R2 F R
D' B' L' B2 F U' F2
B F U' F D F R
B F U' F D' F R
B F U' F D2 F R
L' B' L' B2 U' F' R
B F U' F2 R2 D R'
B F U' F2 R2 D' R'
B F U' F2 R2 D2 R'
F B U' R F2 R D
F B U' R F2 R D'
F B U' R F2 R D2
B F U' F2 D R D
B F U' F2 D R D'
B F U' F2 D R D2
F B U' R F2 D R
F B U' R F2 D' R
F B U' R F2 D2 R
B F U' F2 D' R D
B F U' F2 D' R D'
B F U' F2 D' R D2
B F U' F2 D2 R D
B F U' F2 D2 R D'
B F U' F2 D2 R D2
B F U' F2 B R B'
B F U' F2 B2 R B2
F B U' R' F2 R D
F B U' R' F2 R D'
F B U' R' F2 R D2
F B U' R' F2 D R
F B U' R' F2 D' R
F B U' R' F2 D2 R
B F U' B F2 R B'
F B U' R2 F2 R D
F B U' R2 F2 R D'
F B U' R2 F2 R D2
F B U' R2 F2 D R
F B U' R2 F2 D' R
F B U' R2 F2 D2 R
B F U' B2 F2 R B2
F2 B U2 B' U R' F
F2 B U2 B' U F R'
F B U' F R F R
F B U' F R' F R
F B U' F R2 F R
F B U' F D F R
F B U' F D' F R
F B U' F D2 F R
B F U2 R U F2 R
F B U' F2 R2 D R'
F B U' F2 R2 D' R'
F B U' F2 R2 D2 R'
F B U' F2 D R D
F B U' F2 D R D'
F B U' F2 D R D2
F B U' F2 D' R D
F B U' F2 D' R D'
F B U' F2 D' R D2
B F U2 R' U F2 R
F B U' F2 D2 R D
F B U' F2 D2 R D'
F B U' F2 D2 R D2
F B U' F2 B R B'
F B U' F2 B2 R B2
B F U2 R2 U F2 R
F B U' B F2 R B'
L2 B' L' B2 U' F' R
F' B D F U' F' R
F B U' B2 F2 R B2
F' B D F2 U' F2 R
L' B' L2 B2 U' F' R
L B' L B2 U' F' R
F B U2 R U F2 R
F B U2 R' U F2 R
B F U2 B U F2 R
F2 B D F' U' F2 R
F B U2 R2 U F2 R
B F U2 B' U F2 R
F2 B D F2 U' F' R
B F U2 B2 U F2 R
R' B' R B U' F' R
F B U2 B U F2 R
L2 B' L2 B2 U' F' R
F B U2 B' U F2 R
F' B D' F U' F' R
F B U2 B2 U F2 R
F' B D' F2 U' F2 R
L B' L' B2 U' F' R
F2 B D' F' U' F2 R
F2 B D' F2 U' F' R
B F D' L2 U L U2
F' B D2 F U' F' R
F' B D2 F2 U' F2 R
F B D' L2 U L U2
L B' L2 B2 U' F' R
B F D' F2 L2 U' R
F2 B D2 F' U' F2 R
F2 B D2 F2 U' F' R
F B D' F2 L2 U' R
B F D2 U L' B2 U2
B F D2 U B2 L' U2
F B D2 U L' B2 U2
F B D2 U B2 L' U2
B F' L F U' F' R
B F' L F2 U' F2 R
D' B' U' D L2 F' R
D' B' U' D F' L2 R
D' B' U' D F' R L2
U2 B' U F' R D L2
U2 B' U F' D L2 R
U2 B' U F' D R L2
L' B' U' F' R D L2
L' B' U' F' D L2 R
L' B' U' F' D R L2
B' F' R U R' B2 U'
B F' L' F U' F' R
B F' L' F2 U' F2 R
F' B' R U R' B2 U'
L2 B' U' F' R D L2
L2 B' U' F' D L2 R
L2 B' U' F' D R L2
B2 F' R U R' B' U'
B F' L2 F U' F' R
B F' L2 F2 U' F2 R
D' B' D U' L2 F' R
D' B' D U' F' L2 R
D' B' D U' F' R L2
U2 B' U2 B2 U' F' R
L B' U' F' R D L2
L B' U' F' D L2 R
L B' U' F' D R L2
F B' L2 B2 U' R' F2
F B' L2 B2 U' F2 R'
U B' U' B2 U' F' R
B' F' R2 D L2 R' B2
B' F' R2 D R' L2 B2
B' F' R2 D R' B2 L2
F' B' R2 D L2 R' B2
F' B' R2 D R' L2 B2
F' B' R2 D R' B2 L2
U B' U2 F' R D L2
U B' U2 F' D L2 R
U B' U2 F' D R L2
U' B' F' D L2 B R
U' B' F' D B L2 R
U' B' F' D B R L2
B F' U' R U' R' U
B F' U' R2 D' R' F2
B F' U' R2 D' F2 R'
F B' U' F2 R D L2
F B' U' F2 D L2 R
F B' U' F2 D R L2
L' B2 L U' F' L' R
L' B2 L U' F' R L'
U B' F' R D L2 B'
L2 B2 L U' F' L' R
L2 B2 L U' F' R L'
U B' F' D L2 R B'
U B' F' D L2 B' R
U B' F' D R L2 B'
B F' D F U' F' R
B F' D F2 U' F2 R
L B2 L U' F' L' R
L B2 L U' F' R L'
B F' D' F U' F' R
B F' D' F2 U' F2 R
