B' U F' B2 U
B' U B2 F' U
B' L U F' B2 U
B' L U B2 F' U
B' L' U F' B2 U
B' L' U B2 F' U
B' L2 U F' B2 U
B' L2 U B2 F' U
F' L2 B U F B2
F' L2 B U B2 F
L2 U F' B U F2
L2 U B F' U F2
B' U D' F' U R2
B' U F' U D' R2
B' U F' D' U R2
B' U F' B2 U D
B' U F' B2 U D'
B' U F' B2 U D2
B' U F' B2 D U
B' U F' B2 D' U
B' U F' B2 D2 U
B' U B2 D F' U
B' U B2 D' F' U
B' U B2 D2 F' U
B' U B2 F' U D
B' U B2 F' U D'
B' U B2 F' U D2
B' U B2 F' D U
B' U B2 F' D' U
B' U B2 F' D2 U
B' D L2 U F' U
B' D' U F' U R2
U F' B U D2 F2
U F' B U' B2 U2
U F' B D' R2 U
U F' B D2 U F2
U B D' F' R2 U
U B D2 F' U F'
F' B U' F B2 U2
F' B U' B2 F U2
U B F' U D2 F2
U B F' U' B2 U2
U B F' D' R2 U
U B F' D2 U F2
D2 B' U F' B2 U
D' B' U F' B2 U
D2 B' U B2 F' U
D' B' U B2 F' U
R2 B' U' F' B2 U'
R2 B' U' B2 F' U'
D B' U F' B2 U
D B' U B2 F' U
B F' U' F B2 U2
B F' U' F B2 U2
B F' U' B2 F U2
B F' U' B2 F U2 D2
B F' U' B2 F D U2
B F' U' B2 F D' U2
B F' U' B2 F D2 U2
B F' U2 D L2 U' B'
F B' U2 D' L2 R2 B
F B' U2 D' R2 L2 B
F B' U2 D' R2 B L2
B F' D U2 L2 U' B'
F B' D L2 R2 U2 B
F B' D L2 F' R2 U2
F B' D R2 L2 U2 B
B F' D' L2 R2 U B'
F B' D F' L2 R2 U2
F B' D F' R2 L2 U2
B F' D' R2 L2 U B'
B F' D' R2 U' F U2
F B' D' R2 B L2 F
F B' D' U2 L2 R2 B
F B' D' U2 R2 L2 B
F B' D' U2 R2 B L2
B F' D2 L2 U F2 B'
B F' D2 L2 U B' F2
F B' D' F' U2 L2 R2
F B' D' F' U2 R2 L2
B F' D2 U' F U2 F
L2 B2 U F' B' U F2
L2 B2 U B' F' U F2
L B2 U F' B' R' U
L B2 U B' F' R' U
B F2 D' R2 F L2 U
B F2 D' F L2 R2 U
B F2 D' F R2 L2 U
B F2 D2 F U F B2
B F2 D2 F U B2 F
U B2 F' R2 B' U F'
