L' R U L2 U2
L' R U' D2 R2
L' R D F2 U'
L' R D2 U' R2
R L' U L2 U2
R L' U' D2 R2
R L' D F2 U'
R L' D2 U' R2
L' D R F2 U'
L' D2 R U' R
D2 L' D R D U' R2
R' L' F2 R2 U' D2 R2
R' L' F2 R2 D F2 U'
R' L' F2 R2 D2 U' R2
D' L' D R U' D R2
D2 L' D R F2 U' D
D2 L' D R F2 U' D'
D2 L' D R F2 U' D2
D2 L' D R F2 D U'
D2 L' D R F2 D' U'
D2 L' D R F2 D2 U'
D' L' D R D U' R2
L' R' F2 R2 U L2 U2
L' R' F2 R2 U L2 U2
L' R' F2 R2 U' D2 R2
D' L' D R F2 U' D
D' L' D R F2 U' D'
D' L' D R F2 U' D2
D' L' D R F2 D U'
D' L' D R F2 D' U'
D' L' D R F2 D2 U'
L' R' F2 R2 D F2 U'
L' R' F2 R2 D2 U' R2
D2 L' D R' F2 R2 U'
D' L' D R' F2 R2 U'
D2 L' D R2 F2 R' U'
U' L' D R F2 U' L
D' L' D R2 F2 R' U'
B2 L' D R U' L2 R2
B2 L' D R U' R2 L2
R2 L' F2 R' U L2 U2
R2 L' F2 R' U' D2 R2
D L' D R U' D R2
R2 L' F2 R' D F2 U'
D L' D R D U' R2
R2 L' F2 R' D2 U' R2
L2 R' F2 R2 L U' R'
D L' D R F2 U' D
D L' D R F2 U' D'
D L' D R F2 U' D2
D L' D R F2 D U'
D L' D R F2 D' U'
D L' D R F2 D2 U'
R' L' F2 D F2 U' B2
L' R' F2 D F2 U' B2
D L' D R' F2 R2 U'
D L' D R2 F2 R' U'
R L' F2 U L2 U2 D
R L' F2 U L2 U2 D'
R L' F2 U L2 U2 D2
R L' F2 U L2 D U2
R L' F2 U L2 D' U2
R L' F2 U L2 D2 U2
D2 L' D F2 U2 L' U
D' L' D F2 U2 L' U
R L' F2 U' R D2 R2
R L' F2 U' R' D2 R2
R L' F2 U' R2 D2 R2
R2 L' F2 D R' F2 U'
R L' F2 U' D2 R2 D
R L' F2 U' D2 R2 D'
R L' F2 U' D2 R2 D2
R2 L' F2 D F2 R' U'
R L' F2 U2 D' B2 U
R2 L' F2 D2 R' U' R'
R L' F2 D F2 U' D
R L' F2 D F2 U' D'
R L' F2 D F2 U' D2
R L' F2 D F2 D U'
R L' F2 D F2 D' U'
R L' F2 D F2 D2 U'
D L' D F2 U2 L' U
R L' F2 D' U2 B2 U
R L' F2 D2 U' R2 D
R L' F2 D2 U' R2 D'
R L' F2 D2 U' R2 D2
R L' F2 D2 F U' R2
R L' F2 D2 F' U' R2
R L' F2 D2 F2 U' R2
D2 L' D' R U' D' R2
D2 L' D' R U2 B2 U
D2 L' D' R D' U' R2
D' L' D' R U' D' R2
D2 L' D' R D2 F2 U'
D' L' D' R U2 B2 U
D' L' D' R D' U' R2
D' L' D' R D2 F2 U'
D L' D' R U' D' R2
D L' D' R U2 B2 U
D L' D' R D' U' R2
D L' D' R D2 F2 U'
R L' B D F2 B' U'
R L' B D B' F2 U'
R L' B D2 B' U' R2
D2 L' D2 R U' R D
D2 L' D2 R U' R D'
D2 L' D2 R U' R D2
D2 L' D2 R U' D R
D2 L' D2 R U' D' R
D2 L' D2 R U' D2 R
D2 L' D2 R D U' R
D2 L' D2 R D' U' R
D' L' D2 R U' R D
D' L' D2 R U' R D'
D' L' D2 R U' R D2
D' L' D2 R U' D R
D' L' D2 R U' D' R
D' L' D2 R U' D2 R
D2 L' D2 R D2 U' R
D' L' D2 R D U' R
D' L' D2 R D' U' R
D' L' D2 R D2 U' R
U' L' D2 R U' L R
U' L' D2 R U' R L
D L' D2 R U' R D
D L' D2 R U' R D'
D L' D2 R U' R D2
D L' D2 R U' D R
D L' D2 R U' D' R
D L' D2 R U' D2 R
D L' D2 R D U' R
D L' D2 R D' U' R
D L' D2 R D2 U' R
R L' B' D F2 B U'
R L' B' D B F2 U'
R L' B' D2 B U' R2
L' R2 U L2 U' R' U'
R L' B2 D F2 U' L2
R L2 U L' U' L2 U'
R L2 U L' U2 D F2
R L2 U L' D U2 F2
R L2 U L' D' B2 U2
L R2 U' L2 R' U' L2
L R2 U' R' L2 U' L2
D' L' F2 D F2 R U'
D2 L' F2 D F2 R U'
D L' F2 D F2 R U'
B' L' B R U L U2
L' R2 U2 D' B2 L U
L' R2 D R F2 R2 U'
L' R2 D R' U' D R2
L' R2 D R' D U' R2
L' R2 D R' F2 U' D
L' R2 D R' F2 U' D'
L' R2 D R' F2 U' D2
L' R2 D R' F2 D U'
L' R2 D R' F2 D' U'
L' R2 D R' F2 D2 U'
B' L' B' R B2 U' R2
R L2 D L U L2 U2
R L2 D L U' D2 R2
R L2 D L D F2 U'
R L2 D L D2 U' R2
L' R2 D F R' F U'
L' R2 D F2 R' U' D
L' R2 D F2 R' U' D'
L' R2 D F2 R' U' D2
L' R2 D F2 R' D U'
L' R2 D F2 R' D' U'
L' R2 D F2 R' D2 U'
L' R2 D F2 D R' U'
L' R2 D F2 D' R' U'
L' R2 D F2 D2 R' U'
L' R2 D' R' U' D' R2
L' R2 D' R' U2 B2 U
R L2 D F2 L U' R
L' R2 D' R' D' U' R2
L' R2 D' R' D2 F2 U'
B2 L' B2 R U L U2
L' R2 D' U2 B2 L U
R L2 D' L U L2 U2
R L2 D' L U' D2 R2
R L2 D' L D F2 U'
R L2 D' L D2 U' R2
L' R2 D2 R' U' R' D
L' R2 D2 R' U' R' D'
L' R2 D2 R' U' R' D2
L' R2 D2 R' U' D R'
L' R2 D2 R' U' D' R'
L' R2 D2 R' U' D2 R'
L' R2 D2 R' D U' R'
L' R2 D2 R' D' U' R'
L' R2 D2 R' D2 U' R'
L' R2 D2 R' F U' R'
L' R2 D2 R' F' U' R'
L' R2 D2 R' F2 U' R'
R L2 D' F2 L U' R
L' R2 D2 F R' U' R'
R L2 D2 L U L2 U2
D2 L2 R F2 L U' R
R L2 D2 L U' D2 R2
D' L2 R F2 L U' R
R L2 D2 L D F2 U'
R L2 D2 L D2 U' R2
L' R2 D2 F' R' U' R'
L' R2 D2 F2 R' U' R'
D L2 R F2 L U' R
L' R2 F R' U L2 U2
L' R2 F R' U' D2 R2
L' R2 F R' D F2 U'
L' R2 F R' D2 U' R2
R L2 D2 F2 L U' R
L' R2 F D R' F2 U'
R L2 F L F U' R
L' R2 F D F2 R' U'
L' R2 F D2 R' U' R'
L' R2 F' R' U L2 U2
L' R2 F' R' U' D2 R2
L' R2 F' R' D F2 U'
L' R2 F' R' D2 U' R2
L' R2 F' D R' F2 U'
L' R2 F' D F2 R' U'
R L2 F' L F' U' R
L' R2 F' D2 R' U' R'
R' L2 F2 L R2 U' R'
R' L2 F2 R2 L U' R'
L' R2 F2 R' U L2 U2
L' R2 F2 R' U' D2 R2
L' R2 F2 R' D F2 U'
L' R2 F2 R' D2 U' R2
L2 R2 F2 L R' U' R2
R2 L2 F2 L R' U' R2
L2 R2 F2 R' L U' R2
L' R2 F2 D R' F2 U'
R L2 F2 L U' R D
R L2 F2 L U' R D'
R L2 F2 L U' R D2
R L2 F2 L U' D R
R L2 F2 L U' D' R
R L2 F2 L U' D2 R
R2 L2 F2 R' L U' R2
R L2 F2 L D U' R
L' R2 F2 D F2 R' U'
R L2 F2 L D' U' R
R L2 F2 L D2 U' R
L' R2 F2 D2 R' U' R'
R L2 F2 D L U' R
R L2 F2 D' L U' R
R L2 F2 D2 L U' R
R' U L U' L2 R2 U'
R' U L U' R2 L2 U'
R' U L U2 D F2 B2
R' U L U2 D B2 F2
R' U L D U2 F2 B2
R' U L D U2 B2 F2
R' U L D' F2 B2 U2
R' U L D' B2 F2 U2
R2 U L U' L2 R' U'
R2 U L U' R' L2 U'
R U L U D2 R2 U
R U L U' L2 U' D
R U L U' L2 U' D'
R U L U' L2 U' D2
R U L U' L2 D U'
R U L U' L2 D' U'
R U L U' L2 D2 U'
R U L U2 D F2 D
R U L U2 D F2 D'
R U L U2 D F2 D2
R U L U2 F D F2
R U L U2 F' D F2
R U L U2 F2 D F2
R U L D U2 F2 D
R U L D U2 F2 D'
R U L D U2 F2 D2
R U L D B U2 F2
R U L D B' U2 F2
R U L D B2 U2 F2
R U L D' B2 U2 D
R U L D' B2 U2 D'
R U L D' B2 U2 D2
R U L D' B2 D U2
R U L D' B2 D' U2
R U L D' B2 D2 U2
R U L D2 U R2 U
R U L B U' L2 U'
R U L B U2 D F2
R U L B D U2 F2
R U L B D' B2 U2
R U L B' U' L2 U'
R U L B' U2 D F2
R U L B' D U2 F2
R U L B' D' B2 U2
L2 U L' U' L2 R U'
L2 U L' U' R L2 U'
R U L B2 U' L2 U'
R U L B2 U2 D F2
R U L B2 D U2 F2
R U L B2 D' B2 U2
L' U L2 U' R U' D
L' U L2 U' R U' D'
L' U L2 U' R U' D2
L' U L2 U' R D U'
L' U L2 U' R D' U'
L' U L2 U' R D2 U'
L' U L2 U' D R U'
L' U L2 U' D' R U'
L' U L2 U' D2 R U'
L' U L2 D U' R U'
L' U L2 D' U' R U'
L' U L2 D2 U' R U'
L' U L2 F2 U L' U
R U D L U' L2 U'
R U D L U2 D F2
R U D L D U2 F2
R U D L D' B2 U2
R U D' L U' L2 U'
R U D' L U2 D F2
R U D' L D U2 F2
R U D' L D' B2 U2
D2 R L' U L2 U2 D
D2 R L' U L2 U2 D'
D2 R L' U L2 U2 D2
D2 R L' U L2 D U2
D2 R L' U L2 D' U2
D2 R L' U L2 D2 U2
D' R L' U L2 U2 D
D' R L' U L2 U2 D'
D' R L' U L2 U2 D2
D' R L' U L2 D U2
D' R L' U L2 D' U2
D' R L' U L2 D2 U2
D2 R L' U' R D2 R2
D2 R L' U' R' D2 R2
D2 R L' U' R2 D2 R2
D2 R L' U' D2 R2 D
D2 R L' U' D2 R2 D'
D2 R L' U' D2 R2 D2
U' R L' U L2 U2 L'
D' R L' U' R D2 R2
D' R L' U' R' D2 R2
D' R L' U' R2 D2 R2
R U D2 L U' L2 U'
D' R L' U' D2 R2 D
D' R L' U' D2 R2 D'
D' R L' U' D2 R2 D2
R U D2 L U2 D F2
D2 R L' U2 D' B2 U
R U D2 L D U2 F2
R U D2 L D' B2 U2
U' R L' U' D2 L R2
U' R L' U' D2 R2 L
B2 R L B2 L2 U' R2
D' R L' U2 D' B2 U
D2 R L' D F2 U' D
D2 R L' D F2 U' D'
D2 R L' D F2 U' D2
D2 R L' D F2 D U'
D2 R L' D F2 D' U'
D2 R L' D F2 D2 U'
D2 R L' D' U2 B2 U
D' R L' D F2 U' D
D' R L' D F2 U' D'
D' R L' D F2 U' D2
D' R L' D F2 D U'
D' R L' D F2 D' U'
D' R L' D F2 D2 U'
U2 R L' U L2 U2 L2
D' R L' D' U2 B2 U
U' R L' D F2 U' L
D2 R L' D2 U' R2 D
D2 R L' D2 U' R2 D'
D2 R L' D2 U' R2 D2
B2 R L' U' R2 D L2
D2 R L' D2 F U' R2
D2 R L' D2 F' U' R2
D2 R L' D2 F2 U' R2
F2 R L' U' L2 U2 L2
D' R L' D2 U' R2 D
D' R L' D2 U' R2 D'
D' R L' D2 U' R2 D2
D2 R L' F U L2 U2
D' R L' D2 F U' R2
D2 R L' F U' D2 R2
D' R L' D2 F' U' R2
D' R L' D2 F2 U' R2
D2 R L' F D F2 U'
D2 R L' F D2 U' R2
U' R L' D2 U' L R2
U' R L' D2 U' R2 L
D' R L' F U L2 U2
D' R L' F U' D2 R2
D2 R L' F' U L2 U2
D R L' U L2 U2 D
D R L' U L2 U2 D'
D R L' U L2 U2 D2
D R L' U L2 D U2
D R L' U L2 D' U2
D R L' U L2 D2 U2
D' R L' F D F2 U'
D2 R L' F' U' D2 R2
D' R L' F D2 U' R2
D2 R L' F' D F2 U'
D2 R L' F' D2 U' R2
D' R L' F' U L2 U2
D' R L' F' U' D2 R2
D2 R L' F2 U L2 U2
D R L' U' R D2 R2
D2 R L' F2 U' D2 R2
D' R L' F' D F2 U'
D R L' U' R' D2 R2
D R L' U' R2 D2 R2
D2 R L' F2 D F2 U'
D' R L' F' D2 U' R2
D2 R L' F2 D2 U' R2
D R L' U' D2 R2 D
D R L' U' D2 R2 D'
D R L' U' D2 R2 D2
D' R L' F2 U L2 U2
D' R L' F2 U' D2 R2
D' R L' F2 D F2 U'
D' R L' F2 D2 U' R2
D R L' U2 D' B2 U
D R L' D F2 U' D
D R L' D F2 U' D'
D R L' D F2 U' D2
D R L' D F2 D U'
D R L' D F2 D' U'
D R L' D F2 D2 U'
B2 R L' F B2 U' R2
D R L' D' U2 B2 U
B2 R L' F' B2 U' R2
U R L' U L2 R' U2
U R L' U R' L2 U2
D R L' D2 U' R2 D
D R L' D2 U' R2 D'
D R L' D2 U' R2 D2
D R L' D2 F U' R2
D R L' D2 F' U' R2
D R L' D2 F2 U' R2
B2 R L' F2 B2 U' R2
D R L' F U L2 U2
D R L' F U' D2 R2
D R L' F D F2 U'
D R L' F D2 U' R2
D R L' F' U L2 U2
D R L' F' U' D2 R2
D R L' F' D F2 U'
D R L' F' D2 U' R2
B2 R L' B2 U' R2 D
B2 R L' B2 U' R2 D'
B2 R L' B2 U' R2 D2
D R L' F2 U L2 U2
D R L' F2 U' D2 R2
B2 R L' B2 D' F2 U'
D R L' F2 D F2 U'
B2 R L' B2 F U' R2
B2 R L' B2 F' U' R2
B2 R L' B2 F2 U' R2
D R L' F2 D2 U' R2
D2 R L2 F2 L U' R
D' R L2 F2 L U' R
D2 R U L U' L2 U'
D2 R U L U2 D F2
D2 R U L D U2 F2
D2 R U L D' B2 U2
D' R U L U' L2 U'
D' R U L U2 D F2
D' R U L D U2 F2
D' R U L D' B2 U2
D R L2 F2 L U' R
D R U L U' L2 U'
D R U L U2 D F2
D R U L D U2 F2
D R U L D' B2 U2
L' U F2 L2 U L U
D2 R D L' U L2 U2
D2 R D L' U' D2 R2
D2 R D L' D F2 U'
D2 R D L' D2 U' R2
D' R D L' U L2 U2
D' R D L' U' D2 R2
D' R D L' D F2 U'
D' R D L' D2 U' R2
D R D L' U L2 U2
D R D L' U' D2 R2
D R D L' D F2 U'
D R D L' D2 U' R2
D2 R D' L' U L2 U2
D2 R D' L' U' D2 R2
D2 R D' L' D F2 U'
D2 R D' L' D2 U' R2
D' R D' L' U L2 U2
D' R D' L' U' D2 R2
D' R D' L' D F2 U'
D' R D' L' D2 U' R2
B R D B' L' F U'
D R D' L' U L2 U2
D R D' L' U' D2 R2
D R D' L' D F2 U'
D R D' L' D2 U' R2
R U B2 U' L' U' R'
D2 R D2 L' U L2 U2
D2 R D2 L' U' D2 R2
D2 R D2 L' D F2 U'
D2 R D2 L' D2 U' R2
D' R D2 L' U L2 U2
D' R D2 L' U' D2 R2
D' R D2 L' D F2 U'
D' R D2 L' D2 U' R2
D R D2 L' U L2 U2
D R D2 L' U' D2 R2
D R D2 L' D F2 U'
D R D2 L' D2 U' R2
D2 R F U L U2 F
D' R F U L U2 F
D R F U L U2 F
L U' L2 R U' L2 D
L U' L2 R U' L2 D'
L U' L2 R U' L2 D2
L U' L2 R D' B2 U'
L U' L2 R B U' L2
L U' L2 R B' U' L2
L U' L2 R B2 U' L2
L U' L2 D' R B2 U'
L U' L2 D' B2 R U'
L U' L2 B R U' L2
L' U' R D2 R2 D B2
L U' L2 B' R U' L2
L U' L2 B2 R U' L2
L U' R L2 U' L2 D
L U' R L2 U' L2 D'
L U' R L2 U' L2 D2
L U' R L2 D' B2 U'
L U' R L2 B U' L2
L U' R L2 B' U' L2
L U' R L2 B2 U' L2
L' U' R' D B2 D R2
L U' R B L2 U' L2
L' U' R' D2 R2 D' B2
L U' R B' L2 U' L2
L U' R B2 L2 U' L2
B2 R B L' B U' R2
B R B' L' U L2 U2
B R B' L' U' D2 R2
B R B' L' D F2 U'
B R B' L' D2 U' R2
L' U' D R' D R2 B2
L' U' D R' D B2 R2
U' R B2 L' U' L R'
U' R B2 L' U' R' L
B2 R B2 L' U' R2 D
B2 R B2 L' U' R2 D'
B2 R B2 L' U' R2 D2
B2 R B2 L' D' F2 U'
B2 R B2 L' F U' R2
B2 R B2 L' F' U' R2
B2 R B2 L' F2 U' R2
B2 R B2 D' L' F2 U'
U R B2 L' U' L2 R'
U R B2 L' U' R' L2
L' U' D2 R' D R' B2
B2 R' L D L2 F2 B2
B2 R' L D L2 B2 F2
L' U' D2 R2 U R' U'
B2 R' L D F2 L2 B2
B2 R' L D F2 B2 L2
B2 R' L D B2 L2 F2
B2 R' L D B2 F2 L2
D2 R' L' D F2 U' B2
D' R' L' D F2 U' B2
D R' L' D F2 U' B2
B2 R' L' B2 R2 U' R2
B2 R' U L' R2 B2 U'
B2 R' U L' B2 R2 U'
B2 R' U R2 L' B2 U'
B2 R' U R2 B2 L' U'
B2 R' U B2 L' R2 U'
B2 R' U B2 R2 L' U'
L U' B L2 R U' L2
L U' B R L2 U' L2
L U' B' L2 R U' L2
L U' B' R L2 U' L2
L U' B2 L2 R U' L2
L U' B2 R L2 U' L2
L' U2 L2 U2 R U' R'
B2 R' B2 L' R2 U' R2
B2 R' B2 R2 L' U' R2
L' U2 D' B2 U2 R U'
D2 R2 L' D R' F2 U'
D' R2 L' D R' F2 U'
D2 R2 L' D F2 R' U'
D' R2 L' D F2 R' U'
D2 R2 L' D2 R' U' R'
D' R2 L' D2 R' U' R'
D R2 L' D R' F2 U'
D R2 L' D F2 R' U'
D R2 L' D2 R' U' R'
L' U2 F2 L' F2 U R
L2 D L R U L2 U2
L2 D L R U' D2 R2
L2 D L R D F2 U'
L2 D L R D2 U' R2
R U2 B2 U2 L' U' R'
L2 D L D R F2 U'
R' D L' U L2 U2 B2
L2 D L D2 R U' R
R' D L' U' B2 D2 R2
L' D L' R F2 L U'
L D L R U' F2 R
R2 D L' R' U L2 U2
R2 D L' R' U' D2 R2
R2 D L' R' D F2 U'
R2 D L' R' D2 U' R2
R2 D L' D R' F2 U'
L' D L2 R F2 L2 U'
R2 D L' D F2 R' U'
R2 D L' D2 R' U' R'
R D L' U L2 U2 D
R D L' U L2 U2 D'
R D L' U L2 U2 D2
R D L' U L2 D U2
R D L' U L2 D' U2
R D L' U L2 D2 U2
R D L' U' R D2 R2
R D L' U' R' D2 R2
R D L' U' R2 D2 R2
R D L' U' D2 R2 D
R D L' U' D2 R2 D'
R D L' U' D2 R2 D2
R D L' U2 D' B2 U
R D L' D F2 U' D
R D L' D F2 U' D'
R D L' D F2 U' D2
R D L' D F2 D U'
R D L' D F2 D' U'
R D L' D F2 D2 U'
R D L' D' U2 B2 U
R D L' D2 U' R2 D
R D L' D2 U' R2 D'
R D L' D2 U' R2 D2
R D L' D2 F U' R2
R D L' D2 F' U' R2
R D L' D2 F2 U' R2
R D L' F U L2 U2
R D L' F U' D2 R2
R D L' F D F2 U'
R D L' F D2 U' R2
R D L' F' U L2 U2
R D L' F' U' D2 R2
R D L' F' D F2 U'
R D L' F' D2 U' R2
R D L' F2 U L2 U2
R D L' F2 U' D2 R2
R D L' F2 D F2 U'
R D L' F2 D2 U' R2
L' D R L' F2 L U'
L' D R L2 F2 L2 U'
L' D R U D' L2 U2
L' D R U' R D R2
L' D R U' R' D R2
L' D R U' R2 D R2
L' D R U' D R2 D
L' D R U' D R2 D'
L' D R U' D R2 D2
L' D R U2 D2 B2 U
L' D R D U' R2 D
L' D R D U' R2 D'
L' D R D U' R2 D2
L' D R D F U' R2
L' D R D F' U' R2
L' D R D F2 U' R2
L2 D R L U L2 U2
L' D R D' U L2 U2
L2 D R L U' D2 R2
L2 D R L D F2 U'
L2 D R L D2 U' R2
L' D R D2 U2 B2 U
L' D R F D F U'
L' D R F D' F U'
L' D R F D2 F U'
L' D R F' D F' U'
L' D R F' D' F' U'
L' D R F' D2 F' U'
R D L2 F2 L U' R
L D R L U' F2 R
L2 D R F2 L U' R
L' D R' U' D R2 B2
L' D R' U' D B2 R2
L' D R' D U' R2 B2
L' D R' D U' B2 R2
L D R U' F2 D R2
L' D R' F R2 F U'
R2 D R' L' U L2 U2
R2 D R' L' U' D2 R2
R2 D R' L' D F2 U'
R2 D R' L' D2 U' R2
L' D R' F2 R2 U' D
L' D R' F2 R2 U' D'
L' D R' F2 R2 U' D2
L' D R' F2 R2 D U'
L' D R' F2 R2 D' U'
L' D R' F2 R2 D2 U'
L' D R' F2 U' D B2
L' D R' F2 D U' B2
L' D R2 D R' U' R'
L' D R2 F R' F U'
L' D R2 F2 R' U' D
L' D R2 F2 R' U' D'
L' D R2 F2 R' U' D2
L' D R2 F2 R' D U'
L' D R2 F2 R' D' U'
L' D R2 F2 R' D2 U'
L' D R2 F2 D R' U'
L' D R2 F2 D' R' U'
L' D R2 F2 D2 R' U'
L' D U' R' D R2 B2
L' D U' R' D B2 R2
R D U L U' L2 U'
R D U L U2 D F2
R D U L D U2 F2
R D U L D' B2 U2
D' U L U' L2 R U'
D' U L U' R L2 U'
D2 U L U' L2 R U'
D2 U L U' R L2 U'
F2 U L U L2 R U
F2 U L U R L2 U
F' U L F U' L' U'
D U L U' L2 R U'
D U L U' R L2 U'
B2 U L' R B2 U' R2
R' D F U' B2 R' F'
U D L U' L2 R U'
U D L U' R L2 U'
R D F U L U2 F
L' D F2 R U2 L' U
L' D F2 R' U2 L' U
B2 U R L' B2 U' R2
L' D F2 R2 U2 L' U
L' D F2 U2 L' U D
L' D F2 U2 L' U D'
L' D F2 U2 L' U D2
L' D F2 U2 L' D U
L' D F2 U2 L' D' U
L' D F2 U2 L' D2 U
L' D F2 U2 D L' U
L' D F2 U2 D' L' U
L' D F2 U2 D2 L' U
L' D F2 D U2 L' U
L' D F2 D' U2 L' U
L' D F2 D2 U2 L' U
B2 U R B2 L' U' R2
L' D B R F2 B' U'
L' D B R B' F2 U'
L' D B2 R F2 B2 U'
L' D B2 R B2 F2 U'
F' U D' L F B' U2
F' U D' L B' F U2
L2 D' L R U L2 U2
L2 D' L R U' D2 R2
L2 D' L R D F2 U'
L2 D' L R D2 U' R2
R' D' L' U L2 F2 U2
R' D' L' U F2 L2 U2
L2 D' L D R F2 U'
R' D' L' U' D2 R2 B2
R' D' L' U' D2 B2 R2
F U D' L U2 F B'
F U D' L U2 B' F
L2 D' L D2 R U' R
R' D' L' D R2 F2 U'
R' D' L' D F2 R2 U'
R' D' L' D2 U' R2 B2
R' D' L' D2 U' B2 R2
R2 D' L' R' U L2 U2
R2 D' L' R' U' D2 R2
R2 D' L' R' D F2 U'
R2 D' L' R' D2 U' R2
R2 D' L' D R' F2 U'
R2 D' L' D F2 R' U'
R2 D' L' D2 R' U' R'
R D' L' U L2 U2 D
R D' L' U L2 U2 D'
R D' L' U L2 U2 D2
R D' L' U L2 D U2
R D' L' U L2 D' U2
R D' L' U L2 D2 U2
R D' L' U' R D2 R2
R D' L' U' R' D2 R2
R D' L' U' R2 D2 R2
R D' L' U' D2 R2 D
R D' L' U' D2 R2 D'
R D' L' U' D2 R2 D2
R D' L' U2 D' B2 U
R D' L' D F2 U' D
R D' L' D F2 U' D'
R D' L' D F2 U' D2
R D' L' D F2 D U'
R D' L' D F2 D' U'
R D' L' D F2 D2 U'
R D' L' D' U2 B2 U
R D' L' D2 U' R2 D
R D' L' D2 U' R2 D'
R D' L' D2 U' R2 D2
R D' L' D2 F U' R2
R D' L' D2 F' U' R2
R D' L' D2 F2 U' R2
R D' L' F U L2 U2
R D' L' F U' D2 R2
R D' L' F D F2 U'
R D' L' F D2 U' R2
L' D' R U D L2 U2
R D' L' F' U L2 U2
R D' L' F' U' D2 R2
R D' L' F' D F2 U'
R D' L' F' D2 U' R2
L' D' R U' R D' R2
L' D' R U' R' D' R2
L' D' R U' R2 D' R2
L' D' R U' D' R2 D
L' D' R U' D' R2 D'
L' D' R U' D' R2 D2
R D' L' F2 U L2 U2
R D' L' F2 U' D2 R2
R D' L' F2 D F2 U'
R D' L' F2 D2 U' R2
L' D' R U2 B2 U D
L' D' R U2 B2 U D'
L' D' R U2 B2 U D2
L' D' R U2 B2 D U
L' D' R U2 B2 D' U
L' D' R U2 B2 D2 U
L' D' R D U L2 U2
L' D' R D' U' R2 D
L' D' R D' U' R2 D'
L' D' R D' U' R2 D2
L' D' R D' F U' R2
L' D' R D' F' U' R2
L' D' R D' F2 U' R2
L' D' R D2 F2 U' D
L' D' R D2 F2 U' D'
L' D' R D2 F2 U' D2
L' D' R D2 F2 D U'
L' D' R D2 F2 D' U'
L' D' R D2 F2 D2 U'
L2 D' R L U L2 U2
L2 D' R L U' D2 R2
L2 D' R L D F2 U'
L2 D' R L D2 U' R2
L' D' R F U' D' R2
L' D' R F U2 B2 U
L' D' R F D' U' R2
L' D' R F D2 F2 U'
L' D' R F' U' D' R2
L' D' R F' U2 B2 U
L' D' R F' D' U' R2
L' D' R F' D2 F2 U'
L' D' R F2 U' D' R2
L' D' R F2 U2 B2 U
L' D' R F2 D' U' R2
L' D' R F2 D2 F2 U'
R D' L2 F2 L U' R
L2 D' R F2 L U' R
R2 D' R' L' U L2 U2
R2 D' R' L' U' D2 R2
R2 D' R' L' D F2 U'
R2 D' R' L' D2 U' R2
L' D' R2 U2 B2 L U
L' D' R2 D' R' U' R'
L' D' R2 D2 R' F2 U'
L' D' R2 D2 F2 R' U'
U D' L U' L2 R U'
U D' L U' R L2 U'
R D' U L U' L2 U'
R D' U L U2 D F2
R D' U L D U2 F2
R D' U L D' B2 U2
L' D' U2 B2 U2 R U'
B2 U' L' R B2 U' R2
R D' F U L U2 F
B2 U' R L' B2 U' R2
L' D' F2 U2 L' B2 U
L' D' F2 U2 B2 L' U
L' D' F2 D2 F2 R U'
B2 U' R B2 L' U' R2
L2 D2 L R U L2 U2
L2 D2 L R U' D2 R2
L2 D2 L R D F2 U'
L2 D2 L R D2 U' R2
L2 D2 L D R F2 U'
L D' B2 U' R B2 U'
L D' B2 U' B2 R U'
L2 D2 L D2 R U' R
R' D2 L' D F2 R U'
F U' D B2 R' F' B
F U' D B2 R' B F'
R2 D2 L' R' U L2 U2
R2 D2 L' R' U' D2 R2
R2 D2 L' R' D F2 U'
R2 D2 L' R' D2 U' R2
R2 D2 L' D R' F2 U'
R2 D2 L' D F2 R' U'
R2 D2 L' D2 R' U' R'
R D2 L' U L2 U2 D
R D2 L' U L2 U2 D'
R D2 L' U L2 U2 D2
R D2 L' U L2 D U2
R D2 L' U L2 D' U2
R D2 L' U L2 D2 U2
R D2 L' U' R D2 R2
R D2 L' U' R' D2 R2
R D2 L' U' R2 D2 R2
R D2 L' U' D2 R2 D
R D2 L' U' D2 R2 D'
R D2 L' U' D2 R2 D2
R D2 L' U2 D' B2 U
R D2 L' D F2 U' D
R D2 L' D F2 U' D'
R D2 L' D F2 U' D2
R D2 L' D F2 D U'
R D2 L' D F2 D' U'
R D2 L' D F2 D2 U'
R D2 L' D' U2 B2 U
L' D2 R U L U2 R
L' D2 R U L' U2 R
L' D2 R U L2 U2 R
R D2 L' D2 U' R2 D
R D2 L' D2 U' R2 D'
R D2 L' D2 U' R2 D2
R D2 L' D2 F U' R2
R D2 L' D2 F' U' R2
R D2 L' D2 F2 U' R2
L' D2 R U' R2 D R'
L' D2 R U' R2 D' R'
L' D2 R U' R2 D2 R'
L' D2 R U' D R D
L' D2 R U' D R D'
L' D2 R U' D R D2
R D2 L' F U L2 U2
L' D2 R U' D' R D
L' D2 R U' D' R D'
L' D2 R U' D' R D2
L' D2 R U' D2 R D
L' D2 R U' D2 R D'
L' D2 R U' D2 R D2
R D2 L' F U' D2 R2
R D2 L' F D F2 U'
L' D2 R U' B R B'
R D2 L' F D2 U' R2
L' D2 R U' B2 R B2
R D2 L' F' U L2 U2
R D2 L' F' U' D2 R2
R D2 L' F' D F2 U'
R D2 L' F' D2 U' R2
L' D2 R U2 B U R
L' D2 R U2 B' U R
L' D2 R U2 B2 U R
R D2 L' F2 U L2 U2
R D2 L' F2 U' D2 R2
