U2 R U' F U'
F2 L' U F' U' F'
F2 L' F D R2 F
F2 L' F D F R2
F2 L' F2 U F U'
U2 L2 R U B' U
R' U D F B2 U'
R' U D B2 F U'
R' U D2 F U' L2
R' U F U R2 U2
R' U F U' D2 L2
R' U F D B2 U'
R' U F D2 U' L2
R2 U F U R' U2
U2 R L2 U B' U
R2 U F B2 U' L
R U F U2 F' U
U2 R U' D F U'
U2 R U' D' F U'
U2 R U' D2 F U'
U2 R U' F U' D
U2 R U' F U' D'
U2 R U' F U' D2
U2 R U' F D U'
U2 R U' F D' U'
U2 R U' F D2 U'
U2 R D U' F U'
R2 U B2 F U' L
U2 R D' U' F U'
U2 R D2 U' F U'
L2 U' F2 B' U L'
L2 U' B' U' R U2
L2 U' B' F2 U L'
L' U2 R U B U
L2 U2 R U B' U
R' U2 R2 U' F U'
R2 U2 R' U' F U'
R' D U F B2 U'
R' D U B2 F U'
U2 D R U' F U'
F' U F2 U' F' L'
U2 D' R U' F U'
R' D2 L2 U' B' U
R' D2 U F U' L2
D2 U2 R U' F U'
U2 D2 R U' F U'
D' U2 R U' F U'
D U2 R U' F U'
U F U' F L' F'
U F U2 F U L'
F' D R2 F' L' F2
U F D2 B' U' L
F' D F' L' R2 F2
F' D F' L' F2 R2
F' D F' R2 L' F2
F' D' F' L' F2 R
U F U' L2 F L' F'
F2 D L' U' R2 B U
U F U' D2 B' L B
U F U' F L F' L2
U F U' F L' D F'
U F U' F L' D' F'
U F U' F L' D2 F'
U F U' F L' F' D
U F U' F L' F' D'
U F U' F L' F' D2
U F U' F L2 F' L
U F U' F D L' F'
U F U' F D' L' F'
U F U' F D2 L' F'
U F U' B D2 B' L
R' F D B2 U' F' B2
R' F D B2 U' B2 F'
U F U2 F U L' D
U F U2 F U L' D'
U F U2 F U L' D2
U F U2 F U D L'
U F U2 F U D' L'
U F U2 F U D2 L'
U F U2 F D U L'
U F U2 F D' U L'
U F U2 F D2 U L'
U F U2 F' U' R U2
U F D R' B R U'
U F D' L B' L' U'
F' D R' F R' D2 L2
F' D R' F' L' R' F2
F' D R' F' L' F2 R'
F' D R' F' R' L' F2
F' D R2 L F' L' F
F' D R2 D F' L' F2
F' D R2 D' F' L' F2
F' D R2 D2 F' L' F2
U F D2 U' B' L B
F' D R2 F U2 R U2
F' D R2 F' L F2 L2
F' D R2 F' L' F2 D
F' D R2 F' L' F2 D'
F' D R2 F' L' F2 D2
F' D R2 F' L2 F2 L
U F D2 B U R' U2
U F D2 B' U' L D
U F D2 B' U' L D'
U F D2 B' U' L D2
U F D2 B' U' D L
U F D2 B' U' D' L
U F D2 B' U' D2 L
U F D2 B' D U' L
U F D2 B' D' U' L
U F D2 B' D2 U' L
F2 D R2 B U B' L'
U F B U' F L' F'
U F B U2 F U L'
U F B D2 B' U' L
U F B' U' F L' F'
F2 D U' R2 B U L'
U F B' U2 F U L'
R2 F B2 U' L F' B2
R2 F B2 U' L B2 F'
R2 F B2 U' F' L B2
U F B' D2 B' U' L
F' D U2 F R2 B L
U F B2 U' F L' F'
U F B2 U2 F U L'
U F B2 D2 B' U' L
F' D F R' D2 L2 R'
F' D F R' D2 R' L2
F' D F R2 U2 R' U2
F' D F R2 B2 L B2
F' D F U2 R U2 R
F' D F B2 R2 B2 L
F' D F' L R2 F2 L2
F' D F' L F2 L2 R2
F' D F' L F2 R2 L2
F' D F' L' R' F2 R'
F' D F' L' R2 F2 D
F' D F' L' R2 F2 D'
F' D F' L' R2 F2 D2
F' D F' L' F R2 F
F' D F' L' F2 R2 D
F' D F' L' F2 R2 D'
F' D F' L' F2 R2 D2
F' D F' L2 R2 F2 L
F' D F' L2 F2 L R2
F' D F' L2 F2 R2 L
F' D F' R' L' F2 R'
F' D F' R2 L F2 L2
F' D F' R2 L' F2 D
F' D F' R2 L' F2 D'
F' D F' R2 L' F2 D2
F' D F' R2 L2 F2 L
D2 F' U F2 U' F' L'
D' F' U F2 U' F' L'
F' D B2 F R2 B2 L
D F' U F2 U' F' L'
U' F' U2 F2 B U' L
U' F' U2 B F2 U' L
F2 D' L' U L' F' U'
R' F' D R2 D F L2
R' F' D R2 F D L2
D2 F' D R2 F' L' F2
D' F' D R2 F' L' F2
U' F' D F' U L' R2
U' F' D F' U R2 L'
R' F' D F R2 D L2
D2 F' D F' L' R2 F2
D2 F' D F' L' F2 R2
D2 F' D F' R2 L' F2
D' F' D F' L' R2 F2
D' F' D F' L' F2 R2
D' F' D F' R2 L' F2
F D' L B' U' F' B
F D' L B' U' B F'
U2 F' D F R U2 R
R2 F' D R2 F2 L' F'
D2 F' D' F' L' F2 R
F' D' L2 B' U2 B L
D' F' D' F' L' F2 R
R F' U2 D F R2 B
D F' D R2 F' L' F2
R2 F' D F' R2 F2 L'
D F' D F' L' R2 F2
D F' D F' L' F2 R2
D F' D F' R2 L' F2
U2 F' D' F L2 R U2
U2 F' D' F R L2 U2
F' D' R F' L' F2 R
U' F' D2 F' B2 U L'
R' F' D2 F L2 D' R2
U F' D F' U' L' R2
U F' D F' U' R2 L'
R F' D R2 D2 F L2
L F' D F' L' R F2
R F' D R2 F D2 L2
L F' D F' R L' F2
U' F' D2 B2 F' U L'
R F' D U2 F R2 B
R F' D F R2 D2 L2
D F' D' F' L' F2 R
F' D' R' F' L' F2 R
R F' D' L2 B' U2 B
F' D' R2 F' L' F2 R
F2 D' U L2 F' U' L
F' D' U2 L2 B' R' U2
D2 F2 L' U F' U' F'
D' F2 L' U F' U' F'
L' F2 L' U' B' U F2
D2 F2 L' F D R2 F
D2 F2 L' F D F R2
D' F2 L' F D R2 F
D' F2 L' F D F R2
D2 F2 L' F2 U F U'
D' F2 L' F2 U F U'
L' F2 L' F2 U' B' U
F' D' F R' D2 L2 R2
F' D' F R' D2 R2 L2
F' D' F U2 L2 R U2
F' D' F U2 R L2 U2
L2 F2 L' F' D F' R
D F2 L' U F' U' F'
F' D' F' L' R F2 R
F' D' F' L' R' F2 R
F' D' F' L' R2 F2 R
F' D' F' L' F2 R D
F' D' F' L' F2 R D'
F' D' F' L' F2 R D2
F' D' F' L' F2 D R
F' D' F' L' F2 D' R
F' D' F' L' F2 D2 R
F' D' F' R L' F2 R
F' D' F' R' L' F2 R
D F2 L' F D R2 F
D F2 L' F D F R2
F' D' F' R2 L' F2 R
D F2 L' F2 U F U'
L F2 L' U F U' F
U F2 L' F' L U' L'
L F2 L' F' D F' R2
L F2 L' F2 U F' U'
U F2 L2 F' L2 U' L'
U' F2 R2 B R2 U L'
U' F2 U L' U F' U'
F D' F2 D R2 F L'
F D' F2 D F L' R2
F D' F2 D F R2 L'
L2 F2 U' B' U L' F2
U F2 U' L' U F' U'
L2 F2 B' U L' F2 B
L2 F2 B' U L' B F2
L2 F2 B' U B L' F2
F' D2 F' L' F2 D' R2
U2 B R B' U' F U'
U' B U' R U' F U'
F D2 B' U' L F' B
F D2 B' U' L B F'
F D2 B' U' F' L B
U B U R U' F U'
L2 B D' R2 B2 L B
L2 B D' B R2 B2 L
U B F U' F L' F'
U B F U2 F U L'
B' F U' F L' F2 B
B' F U' F L' B F2
U B F D2 B' U' L
B' F U' F B L' F2
B' F U' B F L' F2
B2 F U' F L' F2 B2
B2 F U' F L' B2 F2
B2 F U' F B2 L' F2
B2 F U' B2 F L' F2
B F U' D2 F' B' L
B F U' D2 B' L F'
B F U' D2 B' F' L
B F U' F B' L' F2
B F U' B' F L' F2
F B U' D2 F' B' L
F B U' D2 B' L F'
F B U' D2 B' F' L
F B U' F B' L' F2
F B U' B' F L' F2
B F D2 U' F' B' L
B F D2 U' B' L F'
B F D2 U' B' F' L
F B D2 U' F' B' L
F B D2 U' B' L F'
F B D2 U' B' F' L
U' B' U' R U' F U'
U B' U R U' F U'
R' B' D2 L2 B D' R2
L B' D' B R' D2 L2
F B' U' F L' F2 B
F B' U' F L' B F2
F B' U' F B L' F2
U B' F U' F L' F'
U B' F U2 F U L'
L2 B' F2 U L' F2 B
L2 B' F2 U L' B F2
F B' U' B F L' F2
L2 B' F2 U B L' F2
U B' F D2 B' U' L
R2 B2 L B D' B R'
U2 B2 R B2 U' F U'
U' B2 U' R U' F U'
R2 B2 U F U' L B2
U B2 U R U' F U'
F B2 U' F L' F2 B2
F B2 U' F L' B2 F2
F B2 U' F B2 L' F2
F B2 U' B2 F L' F2
R2 B2 F U' L F' B2
R2 B2 F U' L B2 F'
R2 B2 F U' F' L B2
U B2 F U' F L' F'
U B2 F U2 F U L'
U B2 F D2 B' U' L
