U2 F R F' B
U2 F R B F'
U' L F R U' F'
D2 L F B' U2 R'
D2 L B' F U2 R'
D2 L' U2 F R B'
D2 L' U2 F B' R
D2 L' U2 B' F R
U2 R F B R F2
U R B L U F'
U2 R B F R F2
L' U2 F R F' B'
L' U2 F R B' F'
L' U2 F B' R F'
L' U2 B' F R F'
B2 U2 R F' B R'
B' U2 R F' B R2
B2 U2 R B F' R'
B' U2 R B F' R2
F' U2 F R F' B
F' U2 F R B F'
F2 U2 F R F' B
F2 U2 F R B F'
F U2 F R F' B
F U2 F R B F'
U2 F R D F' B
U2 F R D B F'
U2 F R D' F' B
U2 F R D' B F'
U2 F R D2 F' B
U2 F R D2 B F'
U2 F R F' D B
U2 F R F' D' B
U2 F R F' D2 B
U2 F R F' B D
U2 F R F' B D'
U2 F R F' B D2
U2 F R B D F'
U2 F R B D' F'
U2 F R B D2 F'
U2 F R B F' D
U2 F R B F' D'
U2 F R B F' D2
L F U2 F R F'
U2 F B R F' B
U2 F B R B F'
U2 F B' R F' B
U2 F B' R B F'
U2 F B2 R F' B
U2 F B2 R B F'
U2 F2 R F' B R
U2 F2 R B F' R
B D2 L F B' U2
B D2 L B' F U2
R' B L R F U2
D2 B L F B' U2
D2 B L B' F U2
R' B R L F U2
U2 B F R F' B
U2 B F R B F'
U2 B' F R F' B
U2 B' F R B F'
U2 B2 F R F' B
U2 B2 F R B F'
R' B R D' L F U2
R' B R D2 L F U2
R' B R F L F U2
R' B R F' L F U2
R' B R F2 L F U2
L' B R F' B2 L R'
L' B R F' B2 R' L
R' B R' L F R2 U2
B D2 F' L F B' U2
B D2 F' L B' F U2
L' B R B2 L F' R'
L' B R B2 F' L R'
L' B R B2 F' R' L
U2 B R F B R F2
U2 B R B F R F2
F' D2 B L F B' U2
F' D2 B L B' F U2
R' B R2 L F R' U2
B D2 F2 L F B' U2
B D2 F2 L B' F U2
F2 D2 B L F B' U2
F2 D2 B L B' F U2
U B R L B U F'
B' D2 B2 L F B' U2
B' D2 B2 L B' F U2
F D2 B L F B' U2
F D2 B L B' F U2
L' B U2 R F' B2 R'
L' B U2 R B2 F' R'
L' B U2 R2 B2 R' F'
R' B D L R F U2
L' B U2 B2 R F' R2
R' B D R L F U2
R' B D' L R F U2
D' B D' L F B' U2
D' B D' L B' F U2
R' B D' R L F U2
R' B D2 L R F U2
R' B D2 R L F U2
L' B D2 L F2 B' U2
L' B D2 L B' F2 U2
L' B D2 F2 L B' U2
R' B F L F U2 L'
D2 B F L F B' U2
D2 B F L B' F U2
R' B F' L F R U2
D2 B F' L F B' U2
D2 B F' L B' F U2
U2 B F R D F' B
U2 B F R D B F'
U2 B F R D' F' B
U2 B F R D' B F'
U2 B F R D2 F' B
U2 B F R D2 B F'
U2 B F R F' D B
U2 B F R F' D' B
U2 B F R F' D2 B
U2 B F R F' B D
U2 B F R F' B D'
U2 B F R F' B D2
U2 B F R B D F'
U2 B F R B D' F'
U2 B F R B D2 F'
U2 B F R B F' D
U2 B F R B F' D'
U2 B F R B F' D2
R' B F2 L U2 L2 B'
R' B F2 L F U2 L2
D2 B F2 L F B' U2
D2 B F2 L B' F U2
L B D2 F L B' U2
U2 B F2 R F' B R
U2 B F2 R B F' R
L B F D2 L B' U2
B' F U2 R F' B R2
B' F U2 R B F' R2
D2 B' L' U2 R' F B'
D2 B' L' U2 R' B' F
D2 B' L' U2 F R' B'
B2 F U2 R F' B R'
B2 F U2 R B F' R'
L' B' R F R2 F2 L'
F' B D2 L F B' U2
F' B D2 L B' F U2
R B' L' F' R' B' L
U2 B' R F B R F2
L' B' R' U2 B R U2
F2 B D2 L F B' U2
D2 B' R' F2 L' F B'
D2 B' R' F2 L' B' F
F2 B D2 L B' F U2
U2 B' R B F R F2
B F D2 L F B' U2
B F D2 L B' F U2
F B D2 L F B' U2
F B D2 L B' F U2
R2 B' R2 U2 R F' B
R2 B' R2 U2 R B F'
L' B' D2 R' F2 L' F
R' B' D2 F2 L' R' B'
R' B' D2 F2 R' L' B'
B' F' U2 R F' B R2
U2 B' F R D F' B
B' F' U2 R B F' R2
U2 B' F R D B F'
U2 B' F R D' F' B
U2 B' F R D' B F'
U2 B' F R D2 F' B
U2 B' F R D2 B F'
U2 B' F R F' D B
U2 B' F R F' D' B
U2 B' F R F' D2 B
U2 B' F R F' B D
U2 B' F R F' B D'
U2 B' F R F' B D2
U2 B' F R B D F'
U2 B' F R B D' F'
U2 B' F R B D2 F'
U2 B' F R B F' D
U2 B' F R B F' D'
U2 B' F R B F' D2
F' B' U2 R F' B R2
F' B' U2 R B F' R2
B2 F' U2 R F' B R'
B2 F' U2 R B F' R'
F2 B' U2 R F' B R2
F2 B' U2 R B F' R2
U2 B' F2 R F' B R
U2 B' F2 R B F' R
L B' F U2 R F' R2
D2 B2 L F B' L U2
D2 B2 L B' F L U2
F B' U2 R F' B R2
F B' U2 R B F' R2
R B' F' L' R' B' L
R B' F' R' L' B' L
B F' D2 L F B' U2
B F' D2 L B' F U2
R' B2 R B' L F U2
U2 B2 R F B R F2
U2 B2 R B F R F2
L' B2 U2 B R F' R2
B' F2 U2 R F' B R2
B' F2 U2 R B F' R2
F' B2 U2 R F' B R'
F' B2 U2 R B F' R'
B2 F2 U2 R F' B R'
B2 F2 U2 R B F' R'
F2 B2 U2 R F' B R'
F2 B2 U2 R B F' R'
F B2 U2 R F' B R'
F B2 U2 R B F' R'
U2 B2 F R D F' B
U2 B2 F R D B F'
U2 B2 F R D' F' B
U2 B2 F R D' B F'
U2 B2 F R D2 F' B
U2 B2 F R D2 B F'
U2 B2 F R F' D B
U2 B2 F R F' D' B
U2 B2 F R F' D2 B
U2 B2 F R F' B D
U2 B2 F R F' B D'
U2 B2 F R F' B D2
U2 B2 F R B D F'
U2 B2 F R B D' F'
U2 B2 F R B D2 F'
U2 B2 F R B F' D
U2 B2 F R B F' D'
U2 B2 F R B F' D2
L B2 D2 F L' U2 F
U2 B2 F2 R F' B R
U2 B2 F2 R B F' R
B F2 D2 L F B' U2
B F2 D2 L B' F U2
