B2 L U L' D2 F2
B2 L U D2 L' F2
B2 L U' B2 U2 L'
B2 L D' R2 U L'
B2 L D2 U L' F2
U' L' B2 L R' U
U' L' B2 R' L U
D L2 U' R' U' L2
L2 U B2 L U L
L U B2 L U L2
U R' U2 R B2 U
U R' U2 B2 R U
U R' D2 F2 L' U'
R D L2 U2 L2 B2
R D L2 U2 B2 L2
D2 U R' F2 L' U'
R D B2 D2 R2 F2
R D B2 D2 F2 R2
U D2 R' F2 L' U'
B2 D' L R2 U L'
B2 D' R2 L U L'
B2 D2 L U L' F2
U' B2 L U2 L' U'
U B2 L U D L2
U B2 L U2 B2 U'
U B2 L D U L2
U B2 L D2 F2 U
U B2 U2 B2 R' U'
U B2 D L U L
U B2 D2 L F2 U
U B2 D2 F2 L U
L2 B2 L D' R2 U L
B2 F' D' R2 L U L'
L2 B2 L D2 U L F2
L2 B2 L D2 U F2 L
U' B2 L2 D L' U F2
B2 F' D2 L U L' F2
U' B2 L2 D2 L' R2 U
U' B2 L2 D2 R2 L' U
L B2 L U L2 D2 F2
U B2 L U L D L2
U B2 L U L' D L2
U B2 L U L2 D L2
U B2 L U D L2 D
U B2 L U D L2 D'
U B2 L U D L2 D2
L B2 L U' B2 U2 L2
U B2 L U' D' R2 U2
U' B2 R L U2 L' U'
U B2 L U2 B2 U' D
U B2 L U2 B2 U' D'
U B2 L U2 B2 U' D2
U B2 L U2 B2 D U'
U B2 L U2 B2 D' U'
U B2 L U2 B2 D2 U'
U B2 L D U L2 D
U B2 L D U L2 D'
U B2 L D U L2 D2
U B2 L D F U L2
U B2 L D F' U L2
U B2 L D F2 U L2
U B2 L D' U' R2 U2
U B2 L D2 F2 U D
U B2 L D2 F2 U D'
U B2 L D2 F2 U D2
U B2 L D2 F2 D U
U B2 L D2 F2 D' U
U B2 L D2 F2 D2 U
U B2 L F U D L2
U B2 L F U2 B2 U'
U B2 L F D U L2
U B2 L F D2 F2 U
F' B2 L U L' D2 F2
U B2 L F' U D L2
F' B2 L U D2 L' F2
U B2 L F' U2 B2 U'
U B2 L F' D U L2
U B2 L F' D2 F2 U
U B2 L F2 U D L2
U B2 L F2 U2 B2 U'
U B2 L F2 D U L2
U B2 L F2 D2 F2 U
F' B2 L U' B2 U2 L'
B2 F2 L U L' D2 F2
B2 F2 L U D2 L' F2
F' B2 L D' R2 U L'
B2 F2 L U' B2 U2 L'
F2 B2 L U L' D2 F2
F' B2 L D2 U L' F2
F2 B2 L U D2 L' F2
F2 B2 L U' B2 U2 L'
B2 F2 L D' R2 U L'
B2 F2 L D2 U L' F2
U' B2 R' L U2 L' U'
F2 B2 L D' R2 U L'
F2 B2 L D2 U L' F2
U' B2 R2 L U2 L' U'
U B2 L2 D L' U L'
F B2 L U L' D2 F2
F B2 L U D2 L' F2
U B2 L2 D2 L' F2 U
F B2 L U' B2 U2 L'
F B2 L D' R2 U L'
F B2 L D2 U L' F2
U' B2 D L U2 L' U'
U' B2 D' L U2 L' U'
U' B2 D2 L U2 L' U'
U B2 U2 R B2 R' U'
U B2 U2 R' B2 R' U'
U B2 U2 R2 B2 R' U'
U B2 U2 B2 R' U' D
U B2 U2 B2 R' U' D'
U B2 U2 B2 R' U' D2
U B2 U2 B2 R' D U'
U B2 U2 B2 R' D' U'
U B2 U2 B2 R' D2 U'
U B2 U2 B2 D R' U'
U B2 U2 B2 D' R' U'
U B2 U2 B2 D2 R' U'
U B2 D L U L D
U B2 D L U L D'
U B2 D L U L D2
U B2 D L U D L
U B2 D L U D' L
U B2 D L U D2 L
U B2 D L D U L
U B2 D L D' U L
U B2 D L D2 U L
U B2 D L F U L
U B2 D L F' U L
U B2 D L F2 U L
U B2 D F L U L
U B2 D F' L U L
U B2 D F2 L U L
L B2 D' L R2 U L2
U B2 D' L U D2 L2
U B2 D' L U' R2 U2
U B2 D' L D' F2 U
U B2 D' L D2 U L2
L B2 D' R2 L U L2
F' B2 D' L R2 U L'
B2 F2 D' L R2 U L'
F' B2 D' R2 L U L'
F2 B2 D' L R2 U L'
U' B2 F2 L F2 R U
L B2 D2 L U L2 F2
L B2 D2 L U F2 L2
B2 F2 D' R2 L U L'
U B2 D2 L U D' L2
U B2 D2 L D' U L2
U B2 D2 L F2 U D
U B2 D2 L F2 U D'
U B2 D2 L F2 U D2
U B2 D2 L F2 D U
U B2 D2 L F2 D' U
U B2 D2 L F2 D2 U
U B2 D2 L' F2 L2 U
F2 B2 D' R2 L U L'
F' B2 D2 L U L' F2
B2 F2 D2 L U L' F2
R B2 D2 L2 U L2 F2
R B2 D2 L2 U F2 L2
U B2 D2 F' L F' U
U B2 D2 F2 L U D
U B2 D2 F2 L U D'
U B2 D2 F2 L U D2
U B2 D2 F2 L D U
U B2 D2 F2 L D' U
U B2 D2 F2 L D2 U
U B2 D2 F2 D L U
U B2 D2 F2 D' L U
U B2 D2 F2 D2 L U
F2 B2 D2 L U L' F2
U B2 F L U D L2
U B2 F L U2 B2 U'
U B2 F L D U L2
U B2 F L D2 F2 U
F B2 D' L R2 U L'
F B2 D' R2 L U L'
U B2 F U2 B2 R' U'
U B2 F D L U L
U B2 F D2 L F2 U
U B2 F D2 F2 L U
U B2 F' L U D L2
U B2 F' L U2 B2 U'
U B2 F' L D U L2
U B2 F' L D2 F2 U
F B2 D2 L U L' F2
U B2 F' U2 B2 R' U'
U B2 F' D L U L
U B2 F' D2 L F2 U
U B2 F' D2 F2 L U
U B2 F2 L U D L2
U B2 F2 L U2 B2 U'
U B2 F2 L D U L2
U B2 F2 L D2 F2 U
U B2 F2 U2 B2 R' U'
U B2 F2 D L U L
U B2 F2 D2 L F2 U
U B2 F2 D2 F2 L U
