D L2 R2 F U' L2
B' L2 U F L2 B'
D L2 F R2 U' L2
D R2 L2 F U' L2
B R2 F' D' R2 B
F' R2 B D' R2 F'
D' R2 B' L2 U L2
U D L2 R2 F U'
D U L2 R2 F U'
U D L2 F R2 U'
D U L2 F R2 U'
U D R2 L2 F U'
D U R2 L2 F U'
U' D' R2 B' L2 U
D' U' R2 B' L2 U
U' D' B' L2 R2 U
U' D' B' R2 L2 U
D' U' B' L2 R2 U
D2 U' B' U F2 B'
D2 U' B' U B' F2
D' U' B' R2 L2 U
U' D2 B' U F2 B'
U' D2 B' U B' F2
B' D' L2 U F L2
B D' R2 D' F' B2
B D' R2 D' B2 F'
B D' R2 F' D' B2
B D' R2 F' D' B2
D2 F2 U' B' U B'
D2 F2 B D' B R2
U2 F2 B2 U B U
D2 F2 B2 U' B U
B' D2 B2 D' R2 F'
D' B D' R2 F2 B2
D' B D' R2 B2 F2
D' B D' F2 R2 B2
D' B D' F2 B2 R2
D' B D' B2 R2 F2
D' B D' B2 F2 R2
D2 B F2 D' B R2
D' B' L2 R2 U L2
F' B D' R2 F' B
F' B D' R2 B F'
D' B' R2 L2 U L2
U' B' U' F2 B' U2
U' B' U' B' F2 U2
U' B' D' L2 U F
B F' D' R2 F' B
B F' D' R2 B F'
D2 B2 U' B U F2
D2 B2 F2 U' B U
U2 B2 F2 U B U
D' F2 B D' F2 B2 R2
D' F2 B D' B2 R2 F2
D' F2 B D' B2 F2 R2
D2 F2 B D2 B D R2
D' F2 B' L2 R2 U L2
D' F2 B' R2 L2 U L2
U2 F2 B U2 D' R2 F'
B' D2 R2 B2 D' R2 F'
U2 F2 B D L2 B U2
U2 F2 B D B L2 U2
F' D2 R2 F2 B D' R2
U2 F2 B D' U2 R2 F'
U2 F2 B D' B U2 R2
F' D2 R2 B F2 D' R2
U' F2 B2 U F2 B U
U' F2 B2 U B F2 U
D2 F2 B2 R2 U F' U'
D2 F2 B2 U' D B U
D2 F2 B2 U' D' B U
D2 F2 B2 U' D2 B U
D2 F2 B2 U' B U D
D2 F2 B2 U' B U D'
D2 F2 B2 U' B U D2
D2 F2 B2 U' B D U
D2 F2 B2 U' B D' U
D2 F2 B2 U' B D2 U
D2 F2 B2 D U' B U
D2 F2 B2 D' U' B U
D2 F2 B2 D2 U' B U
U2 F2 B2 L U B U
U2 F2 B2 L' U B U
U2 F2 B2 L2 U B U
B D2 R2 B2 D F' R2
U2 F2 B2 U D B U
U2 F2 B2 U D' B U
U2 F2 B2 U D2 B U
U2 F2 B2 U B U D
U2 F2 B2 U B U D'
U2 F2 B2 U B U D2
U2 F2 B2 U B D U
U2 F2 B2 U B D' U
U2 F2 B2 U B D2 U
L2 F2 B2 U' F' U' L2
U2 F2 B2 D U B U
U2 F2 B2 D' U B U
U2 F2 B2 D2 U B U
D' B L2 R2 B2 U L2
B' D2 F B2 D' R2 F'
D' B L2 B2 R2 U L2
B' D2 F' B2 D' R2 F'
B' D2 F2 B2 D' R2 F'
D' B R2 L2 B2 U L2
R' B R2 F' D' R2 B
F D2 F2 R2 B D' R2
D' B R2 B2 L2 U L2
F D2 F2 B D' R2 B
B2 D2 B' D' R2 F' B'
B2 D2 B' D' R2 B' F'
B' D2 B2 R2 D' F' R2
B' D2 B2 R2 F' D' R2
R2 B R2 F' D' R2 B
B' D2 B2 D' R2 D F'
B' D2 B2 D' R2 D' F'
B' D2 B2 D' R2 D2 F'
B' D2 B2 D' R2 F' D
B' D2 B2 D' R2 F' D'
B' D2 B2 D' R2 F' D2
B' D2 B2 D' F R2 F'
B' D2 B2 D' F' R2 F'
B' D2 B2 D' F2 R2 F'
B' D2 B2 F D' R2 F'
D' B U' L2 R2 B2 U
D' B U' L2 B2 R2 U
B' D2 B2 F' D' R2 F'
B' D2 B2 F2 D' R2 F'
F D2 B F2 D' R2 B
D' B U' R2 L2 B2 U
D' B U' R2 B2 L2 U
D2 B U' B2 U F2 B'
D2 B U' B2 U B' F2
D' B U' B2 L2 R2 U
D' B U' B2 R2 L2 U
R B R2 F' D' R2 B
B' F L2 U F B' L2
B' F L2 U B' F L2
U' B D' L2 U R2 F'
D' B D' R B2 R F2
R' B D' R2 D' F' B2
R' B D' R2 D' B2 F'
R' B D' R2 F' D' B2
D' B D' R' F2 R' B2
D' B D' R2 F2 B2 D
D' B D' R2 F2 B2 D'
D' B D' R2 F2 B2 D2
D' B D' R2 B2 F2 D
D' B D' R2 B2 F2 D'
D' B D' R2 B2 F2 D2
D' B D' F R2 F B2
D' B D' F R2 B2 F
D' B D' F B2 R2 F
D' B D' F2 R B2 R
D2 B D' B R2 D F2
D' B D' F2 R2 B2 D
D' B D' F2 R2 B2 D'
D' B D' F2 R2 B2 D2
D' B D' F2 B' R2 B'
D' B D' F2 B2 R2 D
D' B D' F2 B2 R2 D'
D' B D' F2 B2 R2 D2
D' B D' B' R2 F2 B'
D' B D' B' R2 B' F2
D' B D' B' F2 R2 B'
D' B D' B2 R' F2 R'
D' B D' B2 R2 F2 D
D' B D' B2 R2 F2 D'
D' B D' B2 R2 F2 D2
D' B D' B2 F R2 F
D' B D' B2 F2 R2 D
D' B D' B2 F2 R2 D'
D' B D' B2 F2 R2 D2
D B D F2 B2 D2 R2
D B D B2 F2 D2 R2
R2 B D' R2 D' F' B2
R2 B D' R2 D' B2 F'
R2 B D' R2 F' D' B2
D2 B D2 B D R2 F'
D B D' R2 D2 F2 B2
D B D' R2 D2 B2 F2
D2 B F D' F B R2
D2 B F D' B R2 F
D2 B F D' B F R2
D' B F D' R2 F2 B2
D' B F D' R2 B2 F2
D' B F D' F2 R2 B2
D' B F D' F2 B2 R2
D' B F D' B2 R2 F2
D' B F D' B2 F2 R2
R B D' R2 D' F' B2
R B D' R2 D' B2 F'
R B D' R2 F' D' B2
F' B R2 D' F' B R2
F' B R2 D' B F' R2
F' B R2 F' D' B R2
R' B F' D' R2 F' B
R' B F' D' R2 B F'
D2 B F' D' F' B R2
D2 B F' D' B F' R2
D' B F' D' R2 F2 B2
D' B F' D' R2 B2 F2
D' B F' D' F2 R2 B2
D' B F' D' F2 B2 R2
D' B F' D' B2 R2 F2
D' B F' D' B2 F2 R2
D2 B F2 R2 D' R2 B
D2 B F2 U' B2 U B'
D2 B F2 D B D2 R2
D2 B F2 D' B R2 D
D2 B F2 D' B R2 D'
D2 B F2 D' B R2 D2
D2 B F2 D' B' R2 B2
D2 B F2 D' B2 R2 B'
D' B F2 D' R2 F2 B2
D' B F2 D' R2 B2 F2
D2 B F2 D2 B D R2
D' B F2 D' F2 R2 B2
D' B F2 D' F2 B2 R2
D' B F2 D' B2 R2 F2
D' B F2 D' B2 F2 R2
R2 B F' D' R2 F' B
R2 B F' D' R2 B F'
U2 B F2 U2 D' R2 F'
U2 B F2 D L2 B U2
U2 B F2 D B L2 U2
U2 B F2 D' U2 R2 F'
U2 B F2 D' B U2 R2
D2 B' L' U L F2 B'
D2 B' L' U L B' F2
D2 B' L' U F2 L B'
R B F' D' R2 F' B
R B F' D' R2 B F'
U' B' L2 U D2 F B2
U' B' L2 U D2 B2 F
U' B' L2 U' F2 U2 F'
D2 B' L2 U L2 F2 B'
D2 B' L2 U L2 B' F2
R' B' L2 U F L2 B'
D' B' L2 R2 U L2 D
D' B' L2 R2 U L2 D'
D' B' L2 R2 U L2 D2
D' B' L2 R2 D F2 U
D' B' L2 R2 F U L2
D' B' L2 R2 F' U L2
D' B' L2 R2 F2 U L2
U' B' L2 D2 U F B2
U' B' L2 D2 U B2 F
D' B' L2 U L2 D' F2
D' B' L2 F R2 U L2
D' B' L2 F' R2 U L2
F2 B D L2 B U2 L2
D' B' L2 F2 R2 U L2
U' B' R U' F2 B' U2
U' B' R U' B' F2 U2
U' B' R D' L2 U F
F2 B D B L2 U2 L2
R2 B' L2 U F L2 B'
F' B D' R2 D F' B
F' B D' R2 D B F'
F' B D' R2 D' F' B
F' B D' R2 D' B F'
F' B D' R2 D2 F' B
F' B D' R2 D2 B F'
F' B D' R2 F' D B
F' B D' R2 F' D' B
F' B D' R2 F' D2 B
F' B D' R2 F' B D
F' B D' R2 F' B D'
F' B D' R2 F' B D2
F' B D' R2 B D F'
F' B D' R2 B D' F'
F' B D' R2 B D2 F'
F' B D' R2 B F' D
F' B D' R2 B F' D'
F' B D' R2 B F' D2
U' B' R' U' F2 B' U2
U' B' R' U' B' F2 U2
U' B' R' D' L2 U F
F2 B D' F R2 F' B
F2 B D' F R2 B F'
B F D' R2 F' D2 B2
R B' L2 U F L2 B'
U' B' R2 U' F2 B' U2
U' B' R2 U' B' F2 U2
U' B' R2 D' L2 U F
D' B' R2 L2 U L2 D
D' B' R2 L2 U L2 D'
D' B' R2 L2 U L2 D2
B F D' F2 R2 F' B
B F D' F2 R2 B F'
D' B' R2 L2 D F2 U
D' B' R2 L2 F U L2
D' B' R2 L2 F' U L2
D' B' R2 L2 F2 U L2
F B D' R2 F' D2 B2
D' B' R2 F L2 U L2
F B D' F2 R2 F' B
F B D' F2 R2 B F'
D' B' R2 F' L2 U L2
D' B' R2 F2 L2 U L2
U' B' U L2 F L2 B'
U' B' U B D2 F2 B2
U' B' U B D2 B2 F2
U' B' U' D2 B' U2 B'
U' B' U' F2 D B' U2
U' B' U' F2 D' B' U2
U' B' U' F2 D2 B' U2
U' B' U' F2 B' U2 D
U' B' U' F2 B' U2 D'
U' B' U' F2 B' U2 D2
U' B' U' F2 B' D U2
U' B' U' F2 B' D' U2
U' B' U' F2 B' D2 U2
U' B' U' B' U2 D2 B2
U' B' U' B' D2 U2 B2
U' B' U' B' F2 U2 D
U' B' U' B' F2 U2 D'
U' B' U' B' F2 U2 D2
U' B' U' B' F2 D U2
U' B' U' B' F2 D' U2
U' B' U' B' F2 D2 U2
D B' U L2 R2 U' R2
D B' U R2 L2 U' R2
F B' L2 U F B' L2
F B' L2 U B' F L2
U' B' D' L2 R U F
U' B' D' L2 R' U F
U' B' D' L2 R2 U F
U' B' D' L2 U D F
U' B' D' L2 U D' F
U' B' D' L2 U D2 F
U' B' D' L2 U F D
U' B' D' L2 U F D'
U' B' D' L2 U F D2
U' B' D' L2 D U F
U' B' D' L2 D' U F
U' B' D' L2 D2 U F
U' B' D' R L2 U F
U' B' D' R' L2 U F
U' B' D' R2 L2 U F
R' B' D' L2 U F L2
U' B' D2 L2 U F B2
U' B' D2 L2 U B2 F
D' B' D' F2 B2 D' R2
D' B' D' B2 F2 D' R2
U' B' D2 U' B' U2 B'
D B' D F2 B2 D' R2
R2 B' D' L2 U F L2
D B' D B2 F2 D' R2
R' B' D2 B2 D' R2 F'
B F' R2 D' F' B R2
B F' R2 D' B F' R2
B F' R2 F' D' B R2
D' B' F L2 R2 U L2
D' B' F R2 L2 U L2
D B' D2 L2 R2 U L2
D B' D2 R2 L2 U L2
R B' D' L2 U F L2
D' B' F' L2 R2 U L2
D' B' F' R2 L2 U L2
L2 B' F U' L2 F B'
L2 B' F U' L2 B' F
R2 B' D2 B2 D' R2 F'
D' B' F2 L2 R2 U L2
D' B' F2 R2 L2 U L2
R B' D2 B2 D' R2 F'
U2 B2 L F2 U B U
B F' D' R2 D F' B
B F' D' R2 D B F'
B F' D' R2 D' F' B
B F' D' R2 D' B F'
B F' D' R2 D2 F' B
B F' D' R2 D2 B F'
B F' D' R2 F' D B
B F' D' R2 F' D' B
B F' D' R2 F' D2 B
B F' D' R2 F' B D
B F' D' R2 F' B D'
B F' D' R2 F' B D2
B F' D' R2 B D F'
B F' D' R2 B D' F'
B F' D' R2 B D2 F'
B F' D' R2 B F' D
B F' D' R2 B F' D'
B F' D' R2 B F' D2
U2 B2 L' F2 U B U
D' B2 L2 B R2 U L2
B2 F2 L U B U L'
F2 B2 L U B U L'
D2 B2 R F' D' F' R
U2 B2 L2 F2 U B U
D B2 L2 R2 F' U' L2
D2 B2 R2 U F' U' F'
B2 F2 L2 U B U L2
F2 B2 L2 U B U L2
D2 B2 R2 F D R2 F
D2 B2 R2 F D F R2
D2 B2 R2 F2 U F U'
D B2 R2 L2 F' U' L2
D B2 R2 F' L2 U' L2
D' B2 U' L2 B R2 U
U2 B2 U D' L2 B U
D2 B2 U' D B R2 U
U2 B2 U D' B L2 U
U2 B2 U D2 B U B
U2 B2 U B U D2 B2
U2 B2 U B U' F2 U2
D2 B2 U' B R U F2
D2 B2 U' B R' U F2
U2 B2 U B D' L2 U
D2 B2 U' B R2 U F2
U2 B2 U B D2 U B2
D2 B2 U' B U F2 D
D2 B2 U' B U F2 D'
D2 B2 U' B U F2 D2
D2 B2 U' B D R2 U
D B2 U L2 R2 F' U'
D' B2 U' B L2 R2 U
D' B2 U' B R2 L2 U
D B2 U R2 L2 F' U'
D B2 U R2 F' L2 U'
U2 B2 U' D R2 F' U'
L2 B2 U' F U' L2 B'
D2 B2 D U' B R2 U
B2 F2 U B U2 B' U'
F2 B2 U B U2 B' U'
U2 B2 D U' R2 F' U'
U' B2 D' B L2 U F
U2 B2 D' U L2 B U
U2 B2 D' U B L2 U
D2 B2 F R2 F D R2
U2 B2 D2 U B U B
D2 B2 F U' B U F
B F2 D L2 B U2 L2
D2 B2 F' U' B U F'
U' B2 F2 U F2 B U
U' B2 F2 U B F2 U
B F2 D B L2 U2 L2
D2 B2 F2 R2 U F' U'
D2 B2 F2 U' D B U
D2 B2 F2 U' D' B U
D2 B2 F2 U' D2 B U
D2 B2 F2 U' B U D
D2 B2 F2 U' B U D'
D2 B2 F2 U' B U D2
D2 B2 F2 U' B D U
D2 B2 F2 U' B D' U
D2 B2 F2 U' B D2 U
D2 B2 F2 D U' B U
D2 B2 F2 D' U' B U
D2 B2 F2 D2 U' B U
U2 B2 F2 L U B U
B F2 D' F R2 F' B
B F2 D' F R2 B F'
U2 B2 F2 L' U B U
U2 B2 F2 L2 U B U
U2 B2 F2 U D B U
U2 B2 F2 U D' B U
U2 B2 F2 U D2 B U
U2 B2 F2 U B U D
U2 B2 F2 U B U D'
U2 B2 F2 U B U D2
L2 B2 F2 U' F' U' L2
U2 B2 F2 U B D U
U2 B2 F2 U B D' U
U2 B2 F2 U B D2 U
U2 B2 F2 D U B U
U2 B2 F2 D' U B U
U2 B2 F2 D2 U B U
