L2 R U' R2 F L2
L2 R U' F L2 R2
L2 R U' F R2 L2
L2 R' F L2 D B2
R L2 U' R2 F L2
R L2 U' F L2 R2
R L2 U' F R2 L2
R' L2 F L2 D B2
U L2 R U' R2 F
U L2 R U' F R2
R' U L2 R2 U' F
R' U R2 L2 U' F
R' U R2 U B' U2
U R L2 U' R2 F
U R L2 U' F R2
U R U B' U2 R2
R' U' D2 L2 U F
B2 R' D B2 R' F'
R' U2 D B' U2 B'
R' U2 D' F2 B' U2
R' U2 D' B' F2 U2
R' U2 B' U' R2 U'
R' U2 B' U2 D B2
R' U2 B' D U2 B2
R' U2 B' D' F2 U2
R' D L2 F L2 B2
R' D L2 F B2 L2
R' D L2 B2 F L2
R' D R2 B2 R2 F'
R' D U2 B' U2 B'
R' D B D2 F2 B
R' D B D2 B F2
R' D B2 R2 F' R2
R' D B2 U2 B U2
R' D' L2 F L2 B'
R' D' U2 F2 B' U2
R' D' U2 B' F2 U2
R' D' B D2 F2 B2
R' D' B D2 B2 F2
R' D2 U' L2 U F
L2 F L2 D R' B
F D R' B D2 F2
R' B D B2 D F2
R' B D2 F2 D' B2
R' B' D B2 D2 F2
R' B2 U R2 U' F'
R B2 R2 D F' B2
R B2 R2 D B2 F'
R B2 R2 F' D B2
L' D2 R U' L F' R2
L' D2 R U' F' L R2
L' D2 R U' F' R2 L
L2 D2 R' D F B2 L
L2 D2 R' D B2 F L
L2 D2 R' F D B2 L
U D2 L2 R U' R2 F
U D2 L2 R U' F R2
R' D2 U' L2 R U F
R' D2 U' L2 R' U F
R' D2 U' L2 R2 U F
R' D2 U' L2 U D F
R' D2 U' L2 U D' F
R' D2 U' L2 U D2 F
R' D2 U' L2 U F D
R' D2 U' L2 U F D'
R' D2 U' L2 U F D2
R' D2 U' L2 D U F
R' D2 U' L2 D' U F
R' D2 U' L2 D2 U F
R' D2 U' R L2 U F
R' D2 U' R' L2 U F
R' D2 U' R2 L2 U F
U D2 R L2 U' R2 F
U D2 R L2 U' F R2
U D2 R U B' U2 R2
R' D2 U2 B' U L2 U
R' D2 U2 B' U2 D' B2
R' D2 U2 B' D F2 U2
R' D2 U2 B' D' U2 B2
B2 U2 L B U' R U'
R' D2 F U' L2 U F
R' D2 F' U' L2 U F
R' D2 F2 U' L2 U F
R' D2 B D' B2 D' F2
R' D2 B D2 F2 D B2
R' D2 B' D' B2 D2 F2
L2 F L R' D' L B'
L2 F L D L R' B
L2 F L D R' L B
L2 F L D' L R' B'
L2 F L D' R' L B'
L2 F L' D L' R' B
L2 F L' D R' L' B
L2 F L' D R' B L'
R' F L2 F L2 D B2
L2 F L2 D R' D B
L2 F L2 D R' D' B
L2 F L2 D R' D2 B
L2 F L2 D R' B D
L2 F L2 D R' B D'
L2 F L2 D R' B D2
R F L2 U' R2 F L2
R F L2 U' F L2 R2
R F L2 U' F R2 L2
L2 F R' L D' L B'
R' F U L2 R2 U' F
R' F U R2 L2 U' F
R' F U R2 U B' U2
R' F U' D2 L2 U F
R' F U2 D B' U2 B'
R' F U2 D' F2 B' U2
R' F U2 D' B' F2 U2
R' F U2 B' U' R2 U'
R' F U2 B' U2 D B2
R' F U2 B' D U2 B2
R' F U2 B' D' F2 U2
R' F D L2 F L2 B2
R' F D L2 F B2 L2
R' F D L2 B2 F L2
D' F D R' B D2 F2
R' F D R2 B2 R2 F'
D2 F D R' B D2 F2
R' F D U2 B' U2 B'
R' F D B D2 F2 B
R' F D B D2 B F2
R' F D B2 R2 F' R2
R' F D B2 U2 B U2
L2 F D R' D' L2 B
L2 F D R' D' B L2
L2 F D R' B D' L2
R' F D' L2 F L2 B'
R' F D' U2 F2 B' U2
R' F D' U2 B' F2 U2
D F D R' B D2 F2
R' F D' B D2 F2 B2
R' F D' B D2 B2 F2
F D L2 R' F L2 B
F D L2 R' F B L2
F D L2 R' B F L2
R' F D2 U' L2 U F
F D L2 F L2 R' B
F D L2 F R' L2 B
F D L2 F R' B L2
B2 D R' D B2 R' F'
R' F B D B2 D F2
R' F B D2 F2 D' B2
F D R B2 R2 F' B
F D R B2 R2 B F'
F D R' L2 F L2 B
F D R' L2 F B L2
F D R' L2 B F L2
R' F B' D B2 D2 F2
F D R' U2 B' U2 B2
F D R' D B D2 F2
F D R' D' B D2 F2
F D R' D2 B D2 F2
F D R' F B D2 F2
F D R' F' B D2 F2
F D R' F2 B D2 F2
R' F B2 U R2 U' F'
F D R' B U2 B2 U2
F D R' B D2 F2 D
F D R' B D2 F2 D'
F D R' B D2 F2 D2
F D R' B F D2 F2
F D R' B F' D2 F2
F D R' B F2 D2 F2
R F B2 R2 D F' B2
R F B2 R2 D B2 F'
R F B2 R2 F' D B2
R' F' L2 F L2 D B2
L2 F' L2 F2 D R' B
F D F R' B D2 F2
R F' L2 U' R2 F L2
R F' L2 U' F L2 R2
R F' L2 U' F R2 L2
F D F' R' B D2 F2
F D F2 R' B D2 F2
R' F' U L2 R2 U' F
R' F' U R2 L2 U' F
R' F' U R2 U B' U2
B D B' R' D F2 B2
B D B' R' D B2 F2
R' F' U' D2 L2 U F
L2 F' U' R' F2 L2 B'
R' F' U2 D B' U2 B'
R' F' U2 D' F2 B' U2
R' F' U2 D' B' F2 U2
R' F' U2 B' U' R2 U'
R' F' U2 B' U2 D B2
R' F' U2 B' D U2 B2
R' F' U2 B' D' F2 U2
R' F' D L2 F L2 B2
R' F' D L2 F B2 L2
R' F' D L2 B2 F L2
R' F' D R2 B2 R2 F'
R' F' D U2 B' U2 B'
R' F' D B D2 F2 B
R' F' D B D2 B F2
R' F' D B2 R2 F' R2
R' F' D B2 U2 B U2
R' F' D' L2 F L2 B'
R' F' D' U2 F2 B' U2
R' F' D' U2 B' F2 U2
R' F' D' B D2 F2 B2
R' F' D' B D2 B2 F2
R' F' D2 U' L2 U F
B2 D' R' D B2 R' F'
R' F' B D B2 D F2
R' F' B D2 F2 D' B2
R' F' B' D B2 D2 F2
R' F' B2 U R2 U' F'
L' F2 L' U R' F L2
L' F2 L' U F L2 R'
L' F2 L' U F R' L2
R F' B2 R2 D F' B2
R F' B2 R2 D B2 F'
R F' B2 R2 F' D B2
L2 F2 L' U L' F' R'
R' F2 L2 F L2 D B2
R F2 L2 U' R2 F L2
R F2 L2 U' F L2 R2
R F2 L2 U' F R2 L2
R' F2 U L2 R2 U' F
R' F2 U R2 L2 U' F
R' F2 U R2 U B' U2
R' F2 U' D2 L2 U F
R' F2 U2 D B' U2 B'
R' F2 U2 D' F2 B' U2
R' F2 U2 D' B' F2 U2
R' F2 U2 B' U' R2 U'
R' F2 U2 B' U2 D B2
R' F2 U2 B' D U2 B2
R' F2 U2 B' D' F2 U2
R' F2 D L2 F L2 B2
R' F2 D L2 F B2 L2
R' F2 D L2 B2 F L2
R' F2 D R2 B2 R2 F'
R' F2 D U2 B' U2 B'
R' F2 D B D2 F2 B
R' F2 D B D2 B F2
R' F2 D B2 R2 F' R2
R' F2 D B2 U2 B U2
R' F2 D' L2 F L2 B'
R' F2 D' U2 F2 B' U2
R' F2 D' U2 B' F2 U2
R' F2 D' B D2 F2 B2
R' F2 D' B D2 B2 F2
R' F2 D2 U' L2 U F
B2 D2 R' D B2 R' F'
R' F2 B D B2 D F2
R' F2 B D2 F2 D' B2
R' F2 B' D B2 D2 F2
R' F2 B2 U R2 U' F'
R F2 B2 R2 D F' B2
R F2 B2 R2 D B2 F'
R F2 B2 R2 F' D B2
B D2 F2 U' L' B' U
R' B U R2 U B2 U2
R' B U R2 U' D2 F2
R' B U R2 D L2 U'
R' B U R2 D2 U' F2
R' B U D L2 U' B2
B D2 B' R' F2 D B2
R' B U' D2 L2 U F2
R B R2 D B2 D F2
R B R2 D2 F2 D' B2
R' B U2 B2 U' R2 U'
R' B U2 B2 U2 D B2
R' B U2 B2 D U2 B2
R' B U2 B2 D' F2 U2
R' B D U L2 U' B2
R' B D F B2 D F2
R' B D F' B2 D F2
R' B D F2 B2 D F2
R' B D B D F2 B
R' B D B D B F2
R' B D B' D F2 B'
R' B D B' D B' F2
R' B D B2 U L2 U'
R' B D B2 D F2 D
R' B D B2 D F2 D'
R' B D B2 D F2 D2
R' B D B2 F D F2
R' B D B2 F' D F2
R' B D B2 F2 D F2
R' B D2 U' L2 U F2
R' B D2 F D' F B2
R' B D2 F D' B2 F
R' B D2 F' D' F' B2
R' B D2 F' D' B2 F'
R' B D2 F2 U' L2 U
R' B D2 F2 D' B2 D
R' B D2 F2 D' B2 D'
R' B D2 F2 D' B2 D2
R' B D2 F2 B D' B2
R' B D2 F2 B' D' B2
R' B D2 F2 B2 D' B2
R' B D2 B F2 D' B2
R' B D2 B' F2 D' B2
R' B D2 B2 F2 D' B2
R' B F D B2 D F2
R' B F D2 F2 D' B2
R' B F' D B2 D F2
R' B F' D2 F2 D' B2
R' B F2 D B2 D F2
R' B F2 D2 F2 D' B2
R' B' U R2 U' D' F2
R' B' U R2 U2 R2 U
R' B' U R2 D' U' F2
R' B' U R2 D2 L2 U'
R B' R2 D B2 D2 F2
U2 B' U' D' R F' U'
R' B' U2 D' F2 U2 F2
R' B' D F B2 D2 F2
R' B' D F' B2 D2 F2
U2 B' U2 B R' D B2
R' B' D F2 B2 D2 F2
R' B' D B2 U2 B2 U2
R' B' D B2 D2 F2 D
R' B' D B2 D2 F2 D'
R' B' D B2 D2 F2 D2
R' B' D B2 F D2 F2
R' B' D B2 F' D2 F2
R' B' D B2 F2 D2 F2
U B' U' B R U' R2
R' B' D' U2 F2 U2 F2
R' B' D' B2 D2 F2 B2
R' B' D' B2 D2 B2 F2
U2 B' D' U' R F' U'
R' B' F D B2 D2 F2
R' B' F' D B2 D2 F2
R' B' F2 D B2 D2 F2
U2 B2 L B U' R U'
R B2 L U' L' R2 F'
R B2 L U' R2 L' F'
R B2 L' U' L R2 F'
R B2 L' U' R2 L F'
R B2 L' U' R2 F' L
D2 B2 R' D B2 R' F'
D' B2 R' D B2 R' F'
R B2 L2 U' L2 R2 F'
R B2 L2 U' R2 L2 F'
R B2 L2 U' R2 F' L2
R' B2 R2 F' R2 D B2
R' B2 U L R2 U' F'
R' B2 U L' R2 U' F'
R' B2 U L2 R2 U' F'
D B2 R' D B2 R' F'
R' B2 U R2 L U' F'
R' B2 U R2 L' U' F'
R' B2 U R2 L2 U' F'
R' B2 U R2 U' D F'
R' B2 U R2 U' D' F'
R' B2 U R2 U' D2 F'
R' B2 U R2 U' F' D
R' B2 U R2 U' F' D'
R' B2 U R2 U' F' D2
R' B2 U R2 D U' F'
R' B2 U R2 D' U' F'
R' B2 U R2 D2 U' F'
R B2 R2 D F' B2 D
R B2 R2 D F' B2 D'
R B2 R2 D F' B2 D2
R B2 R2 D B2 D F'
R B2 R2 D B2 D' F'
R B2 R2 D B2 D2 F'
R B2 R2 D B2 F' D
R B2 R2 D B2 F' D'
R B2 R2 D B2 F' D2
R' B2 U2 D B U2 B
R' B2 U2 D' F2 B U2
R B2 R2 D2 F' D' B2
R' B2 U2 D' B F2 U2
R B2 R2 F' U R2 U'
R B2 R2 F' D B2 D
R B2 R2 F' D B2 D'
R B2 R2 F' D B2 D2
R B2 R2 F' B D B2
R B2 R2 F' B' D B2
R B2 R2 F' B2 D B2
R B2 R2 F2 D F B2
R B2 R2 F2 D B2 F
R B2 R2 B D F' B2
R B2 R2 B D B2 F'
R B2 R2 B F' D B2
R' B2 U2 B U' R2 U'
R' B2 U2 B U2 D B2
R' B2 U2 B D U2 B2
R' B2 U2 B D' F2 U2
R B2 R2 B' D F' B2
R B2 R2 B' D B2 F'
R B2 R2 B' F' D B2
R B2 R2 B2 D F' B2
R B2 R2 B2 D B2 F'
R B2 R2 B2 F' D B2
R' B2 D L2 B2 L2 F
R' B2 D R2 F' R2 B2
R' B2 D R2 F' B2 R2
R' B2 D R2 B2 F' R2
R' B2 D U2 B U2 B
R' B2 D B' D2 F2 B'
R' B2 D B' D2 B' F2
R' B2 D B2 L2 F L2
R' B2 D B2 U2 B' U2
R' B2 D' R2 F' R2 B
R' B2 D' U2 F2 B U2
R' B2 D' U2 B F2 U2
R' B2 D' B' D2 F2 B2
R' B2 D' B' D2 B2 F2
R' B2 F U R2 U' F'
R' B2 F' U R2 U' F'
R' B2 F2 U R2 U' F'
R B2 F R2 D F' B2
R B2 F R2 D B2 F'
R B2 F R2 F' D B2
R B2 F' R2 D F' B2
R B2 F' R2 D B2 F'
R B2 F' R2 F' D B2
R B2 F2 R2 D F' B2
R B2 F2 R2 D B2 F'
R B2 F2 R2 F' D B2
