F2 U F R
F2 R B U F
F2 U R F R
F2 U R' F R
F2 U R2 F R
F2 U D F R
F2 U D' F R
F2 U D2 F R
F2 U F R D
F2 U F R D'
F2 U F R D2
F2 U F D R
F2 U F D' R
F2 U F D2 R
F2 D U F R
F2 D' U F R
F2 D2 U F R
F2 B U F R
F2 B' U F R
B' F2 U F R
F2 B2 U F R
B F2 U F R
B2 F2 U F R
F2 U B D B' F R
F2 U B D' F R B'
F2 U B D' F B' R
F2 U B D' B' F R
F2 U B D2 F R B'
F2 U B D2 F B' R
F2 U B D2 B' F R
F2 U B F R D B'
F2 U B F R D' B'
F2 U B F R D2 B'
F2 U B F R B' D
F2 U B F R B' D'
F2 U B F R B' D2
F2 U B F R' B' R2
F2 U B F D R B'
F2 U B F D B' R
F2 U B F D' R B'
F2 U B F D' B' R
F2 U B F D2 R B'
F2 U B F D2 B' R
R2 D' R2 U L2 F' R
R2 D' R2 U F' L2 R
R2 D' R2 U F' R L2
D U' L R2 B L U2
U2 D' L F U' L F2
U2 D' L F U' F2 L
F2 U B' R' F R B
F2 U B' D F B R
F2 U B' D B F R
F2 U B' D' F B R
F2 U B' D' B F R
F2 U B' D2 F B R
F2 U B' D2 B F R
F2 U B' F D B R
F2 U B' F D' B R
F2 U B' F D2 B R
R2 D' U L2 R2 F' R
U D' L F L R F2
U D' L F R L F2
U D' L F R F2 L
U D' L F' L D2 R2
L2 D' U F' L2 B2 R'
R2 D' U R2 L2 F' R
F2 U B2 R F R B2
F2 U B2 R F B2 R
R2 D' U R2 F' L2 R
R2 D' U R2 F' R L2
F2 U B2 R B2 F R
D U' L' R2 B L U2
F2 U B2 R' F R B2
F2 U B2 R' F B2 R
F2 U B2 R' B2 F R
F2 U B2 R2 F R B2
F2 U B2 R2 F B2 R
F2 U B2 R2 B2 F R
F2 U B2 F R B2 D
F2 U B2 F R B2 D'
F2 U B2 F R B2 D2
F2 U B2 F R' B2 R2
D U' L2 R2 B L U2
U D' L2 R' F R F'
F2 U' L B L B' U2
U D' L2 D F R F2
U D' L2 D' F R F2
U D' L2 D2 F R F2
U D' L2 F R F2 D
U D' L2 F R F2 D'
U D' L2 F R F2 D2
U D' L2 F R' F2 R2
U D' L2 F R2 F2 R'
U D' L2 F' U2 L' U2
F2 U' L' B L U2 F
F2 U' L' B' U2 R' F'
F2 U' L2 D B' U2 R'
F2 U' L2 D' B' U2 R'
F2 U' L2 D2 B' U2 R'
U D' R' L2 F R F'
D' U' R2 B L U2 L
U' D' R2 B L U2 L
F2 U' L2 B L B2 U2
F2 U' L2 B' L U2 R'
F2 U' L2 B' L' U2 R'
F2 U' L2 B' L2 U2 R'
F2 U' L2 B' U2 R' D
F2 U' L2 B' U2 R' D'
F2 U' L2 B' U2 R' D2
F2 U' L2 B' U2 D R'
F2 U' L2 B' U2 D' R'
F2 U' L2 B' U2 D2 R'
F2 U' L2 B' D U2 R'
F2 U' L2 B' D' U2 R'
F2 U' L2 B' D2 U2 R'
U D' R' F L2 R F'
U D' R' F R L2 F'
U D' R' F R F' L2
D U' R2 L B L U2
D U' R2 L' B L U2
D U' R2 L2 B L U2
D U' R2 D B L U2
D U' R2 D' B L U2
D U' R2 D2 B L U2
D U' R2 B L U2 D
D U' R2 B L U2 D'
D U' R2 B L U2 D2
D U' R2 B L D U2
D U' R2 B L D' U2
D U' R2 B L D2 U2
D U' R2 B D L U2
D U' R2 B D' L U2
D U' R2 B D2 L U2
U' D' F' L2 R B' R'
D' U' F' L2 R B' R'
U' D' F' L2 R' B' R'
U' D' F' L2 R2 B' R'
D' U' F' L2 R' B' R'
D' U' F' L2 R2 B' R'
U' D' F' L2 D B' R'
U' D' F' L2 D' B' R'
D' U' F' L2 D B' R'
U' D' F' L2 D2 B' R'
D' U' F' L2 D' B' R'
D' U' F' L2 D2 B' R'
U' D' F' L2 B' R' D
U' D' F' L2 B' R' D'
U' D' F' L2 B' R' D2
U' D' F' L2 B' D R'
U' D' F' L2 B' D' R'
U' D' F' L2 B' D2 R'
D' U' F' L2 B' R' D
D' U' F' L2 B' R' D'
D' U' F' L2 B' R' D2
D' U' F' L2 B' D R'
D' U' F' L2 B' D' R'
D' U' F' L2 B' D2 R'
U' D' F' R L2 B' R'
D' U' F' R L2 B' R'
D' U' F' R' L2 B' R'
U' D' F' R' L2 B' R'
U' D' F' R2 L2 B' R'
D' U' F' R2 L2 B' R'
U D' F L R F2 L
U D' F L2 R F2 D
U D' F L2 R F2 D'
U D' F L2 R F2 D2
U D' F L2 R' F2 R2
U D' F L2 R2 F2 R'
D2 U' F' D L2 B' R'
U D' F R L F2 L
U D' F R L2 F2 D
U D' F R L2 F2 D'
U D' F R L2 F2 D2
U D' F R F' L2 F'
U D' F R F2 L2 D
U D' F R F2 L2 D'
U D' F R F2 L2 D2
U' D' F' B' L2 R' B'
D' U' F' B' L2 R' B'
U' D' F' B' R' L2 B'
D' U' F' B' R' L2 B'
U D' F R' L2 F2 R2
U D' F R' F2 L2 R2
U D' F R' F2 R2 L2
U D' F R2 L2 F2 R'
U D' F R2 F2 L2 R'
U D' F R2 F2 R' L2
R D' B R' U L2 F'
R D' B R' U F' L2
U D' F' L D2 L R2
U D' F' L D2 R2 L
U D' F' L2 U2 L U2
U D' F' L2 B2 R' B2
D' U' B L U2 L F'
U' D' B L U2 L F'
D' U' B L U2 F' L
U' D' B L U2 F' L
D U' F' D2 L2 B' R'
B' U' D R2 B L U2
U D' F' U2 L' U2 L'
U2 D' F2 U' F L2 R
U2 D' F2 U' F R L2
F2 U' D L2 B' U2 R'
B2 U' D R2 B L U2
U D' F' B2 L2 B2 R'
F2 U' D B' U2 R' F
F2 U' D B' U2 F R'
B' U' D' F' L2 B' R'
F2 U' D' L2 B' U2 R'
B U' D R2 B L U2
D U' B L R2 B U2
B2 U' D' F' L2 B' R'
U' D' B' U2 L2 F' R'
D' U' B' U2 L2 F' R'
U' D' B' U2 F' L2 R'
U' D' B' U2 F' R' L2
D' U' B' U2 F' L2 R'
D' U' B' U2 F' R' L2
D U' B R2 L B U2
F2 U' D' B' U2 R' F
F2 U' D' B' U2 F R'
U' D' B' F' L2 R' B'
D' U' B' F' L2 R' B'
U' D' B' F' R' L2 B'
D' U' B' F' R' L2 B'
F2 U' D2 L2 B' U2 R'
B U' D' F' L2 B' R'
F2 U' D2 B' U2 R' F
F2 U' D2 B' U2 F R'
D U' B' R2 B U2 R
D' U2 L F U' L F2
D' U2 L F U' F2 L
D U' B2 R2 B U2 R'
D2 U2 L F B2 U' F2
D2 U2 L B2 F U' F2
U2 D2 L F B2 U' F2
U D' B2 F' L2 B2 R'
U2 D2 L B2 F U' F2
F2 U' B L2 B' L' U2
F2 U' B' L' U2 R' F'
F2 U' B' U2 R F R2
F2 U' B' U2 R' D F
F2 U' B' U2 R' D' F
F2 U' B' U2 R' D2 F
F2 U' B' U2 R' F D
F2 U' B' U2 R' F D'
F2 U' B' U2 R' F D2
F2 U' B' U2 D R' F
F2 U' B' U2 D F R'
F2 U' B' U2 D' R' F
F2 U' B' U2 D' F R'
F2 U' B' U2 D2 R' F
F2 U' B' U2 D2 F R'
F2 U' B' U2 F R' D
F2 U' B' U2 F R' D'
F2 U' B' U2 F R' D2
F2 U' B' U2 F D R'
F2 U' B' U2 F D' R'
F2 U' B' U2 F D2 R'
F2 U' B' U2 F' R' F2
F2 U' B' D U2 R' F
F2 U' B' D U2 F R'
F2 U' B' D' U2 R' F
F2 U' B' D' U2 F R'
F2 U' B' D2 U2 R' F
F2 U' B' D2 U2 F R'
F2 U' B2 L2 B' L U2
F2 U2 L D F L' U'
F2 U2 L F L' U' F
U' D2 F' D L2 B' R'
U D2 F R F2 D L2
D' U2 F2 U' F L2 R
D' U2 F2 U' F R L2
D2 U2 F2 B2 U' F R
U2 D2 F2 B2 U' F R
D2 U2 B2 L F U' F2
R D2 B R' U F' L'
D2 U2 B2 U' F R F2
U2 D2 B2 L F U' F2
D2 U2 B2 F2 U' F R
U2 D2 B2 U' F R F2
U2 D2 B2 F2 U' F R
F2 U2 F L F U' F'
F2 U2 F' L F U' F
F2 U2 F' U' F R F
D' F R B U L2 F2
D' F R B U F2 L2
F2 U2 F2 L F U' F2
F2 U2 F2 U' F R F2
U F R U' F U F
D F R B U F2 L'
U F R F' D' L2 F'
U F R F' D' F' L2
U F R F2 U' F' U
D' F U L2 F R F
D' F U F R F L2
U2 F U2 F U F R
F2 D R D B U F
F2 D R D' B U F
F2 D R D2 B U F
F2 D R B R U F
F2 D R B R' U F
F2 D R B R2 U F
F2 D R B U D F
F2 D R B U D' F
F2 D R B U D2 F
F2 D R B U F D
F2 D R B U F D'
F2 D R B U F D2
F2 D R B D U F
F2 D R B D' U F
F2 D R B D2 U F
F2 D R' U F D R2
F2 D R' U2 F' U' F2
F D R B R F U
B' D U F R F2 L'
F2 D U R D F R
F2 D U R D' F R
F2 D U R D2 F R
F2 D U R F R D
F2 D U R F R D'
F2 D U R F R D2
F2 D U R F D R
F2 D U R F D' R
F2 D U R F D2 R
F2 D U R' D F R
F2 D U R' D' F R
F2 D U R' D2 F R
F2 D U R' F R D
F2 D U R' F R D'
F2 D U R' F R D2
F2 D U R' F D R
F2 D U R' F D' R
F2 D U R' F D2 R
B2 D U F R F2 L'
F2 D U R2 D F R
F2 D U R2 D' F R
F2 D U R2 D2 F R
F2 D U R2 F R D
F2 D U R2 F R D'
F2 D U R2 F R D2
F2 D U R2 F D R
F2 D U R2 F D' R
F2 D U R2 F D2 R
R F B R' F U F2
F2 D U F R2 D R'
F2 D U F R2 D' R'
F2 D U F R2 D2 R'
F2 D U F D R D
F2 D U F D R D'
F2 D U F D R D2
F2 D U F D' R D
F2 D U F D' R D'
F2 D U F D' R D2
F2 D U F D2 R D
F2 D U F D2 R D'
F2 D U F D2 R D2
F2 D U F B R B'
F2 D U F B2 R B2
F2 D U F' R F2 R
F2 D U F' R' F2 R
F2 D U F' R2 F2 R
F2 D U B F R B'
B' D U' R2 B L U2
F2 D U B2 F R B2
F2 D U' L2 B' U2 R'
B2 D U' R2 B L U2
B D U F R F2 L'
L' F' L F' U F R
F2 D U' B' U2 R' F
F2 D U' B' U2 F R'
B D U' R2 B L U2
F' D F' R B U F
F' D F' U R F R
F' D F' U R' F R
F' D F' U R2 F R
F' D F' U D F R
F' D F' U D' F R
F' D F' U D2 F R
F' D F' U F R D
F' D F' U F R D'
F' D F' U F R D2
F' D F' U F D R
F' D F' U F D' R
F' D F' U F D2 R
F' D F' D U F R
F' D F' D' U F R
L2 F' L2 F' U F R
F D F R B R U
F' D F' D2 U F R
F' D F' B U F R
F' D F' B' U F R
F' D F' B2 U F R
F2 D B R B U F
F2 D B U R F R
F2 D B U R' F R
F2 D B U R2 F R
F2 D B U D F R
F2 D B U D' F R
F2 D B U D2 F R
F2 D B U F R D
F2 D B U F R D'
F2 D B U F R D2
F2 D B U F D R
F2 D B U F D' R
F2 D B U F D2 R
F' D B F' U F R
F2 D B D U F R
F2 D B D' U F R
F2 D B D2 U F R
F2 D B' R B U F
F2 D B' U R F R
F2 D B' U R' F R
F2 D B' U R2 F R
F2 D B' U D F R
F2 D B' U D' F R
F2 D B' U D2 F R
F2 D B' U F R D
F2 D B' U F R D'
F2 D B' U F R D2
F2 D B' U F D R
F2 D B' U F D' R
F2 D B' U F D2 R
F' D B' F' U F R
F2 D B' D U F R
F2 D B' D' U F R
F2 D B' D2 U F R
F2 D B2 R B U F
F2 D B2 U R F R
F2 D B2 U R' F R
F2 D B2 U R2 F R
F2 D B2 U D F R
F2 D B2 U D' F R
F2 D B2 U D2 F R
F2 D B2 U F R D
F2 D B2 U F R D'
F2 D B2 U F R D2
F2 D B2 U F D R
F2 D B2 U F D' R
F2 D B2 U F D2 R
F' D B2 F' U F R
F2 D B2 D U F R
F2 D B2 D' U F R
F2 D B2 D2 U F R
U F' U2 L' U F' U
F2 D' R D B U F
F2 D' R D' B U F
F2 D' R D2 B U F
F2 D' R B R U F
F2 D' R B R' U F
F2 D' R B R2 U F
F2 D' R B U D F
F2 D' R B U D' F
F2 D' R B U D2 F
F2 D' R B U F D
F2 D' R B U F D'
F2 D' R B U F D2
F2 D' R B D U F
F2 D' R B D' U F
F2 D' R B D2 U F
F2 D' R' U F D R2
F2 D' R' U2 F' U' F2
B' D' U L2 F R F2
B' D' U F L2 R F2
B' D' U F R L2 F2
B' D' U F R F2 L2
B2 D' U L2 F R F2
F2 D' U R D F R
F2 D' U R D' F R
F2 D' U R D2 F R
F2 D' U R F R D
F2 D' U R F R D'
F2 D' U R F R D2
F2 D' U R F D R
F2 D' U R F D' R
F2 D' U R F D2 R
B2 D' U F L2 R F2
B2 D' U F R L2 F2
B2 D' U F R F2 L2
F2 D' U R' D F R
F2 D' U R' D' F R
F2 D' U R' D2 F R
F2 D' U R' D2 F R
F2 D' U R' F R D
F2 D' U R' F R D'
F2 D' U R' F R D2
F2 D' U R' F D R
F2 D' U R' F D' R
F2 D' U R' F D2 R
F2 D' U R2 D F R
F2 D' U R2 D' F R
F2 D' U R2 D2 F R
F2 D' U R2 F R D
F2 D' U R2 F R D'
F2 D' U R2 F R D2
F2 D' U R2 F D R
F2 D' U R2 F D' R
F2 D' U R2 F D2 R
F2 D' U F R2 D R'
F2 D' U F R2 D' R'
F2 D' U F R2 D2 R'
F2 D' U F D R D
F2 D' U F D R D'
F2 D' U F D R D2
F2 D' U F D' R D
F2 D' U F D' R D'
F2 D' U F D' R D2
F2 D' U F D2 R D
F2 D' U F D2 R D'
F2 D' U F D2 R D2
F2 D' U F B R B'
F2 D' U F B2 R B2
F2 D' U F' R F2 R
F2 D' U F' R' F2 R
F2 D' U F' R2 F2 R
F2 D' U B F R B'
B' D' U' F' L2 B' R'
F2 D' U B2 F R B2
B D' U L2 F R F2
F2 D' U' L2 B' U2 R'
B2 D' U' F' L2 B' R'
B D' U F L2 R F2
B D' U F R L2 F2
B D' U F R F2 L2
F2 D' U' B' U2 R' F
F2 D' U' B' U2 F R'
B D' U' F' L2 B' R'
F' D' F' R B U F
L2 F2 L2 U' B' U2 R'
R' F2 R U F' D R2
F' D' F' U R F R
F' D' F' U R' F R
F' D' F' U R2 F R
F' D' F' U D F R
F' D' F' U D' F R
F' D' F' U D2 F R
F' D' F' U F R D
F' D' F' U F R D'
F' D' F' U F R D2
F' D' F' U F D R
F' D' F' U F D' R
F' D' F' U F D2 R
R' F2 R U2 F U' F2
F' D' F' D U F R
F' D' F' D' U F R
F' D' F' D2 U F R
F' D' F' B U F R
F' D' F' B' U F R
F' D' F' B2 U F R
D' F2 R B U F L2
B' D' F2 U F L2 R
B' D' F2 U F R L2
B2 D' F2 U F L2 R
B2 D' F2 U F R L2
F2 D' B R B U F
B D' F2 U F L2 R
B D' F2 U F R L2
F2 D' B U R F R
F2 D' B U R' F R
F2 D' B U R2 F R
F2 D' B U D F R
F2 D' B U D' F R
F2 D' B U D2 F R
F2 D' B U F R D
F2 D' B U F R D'
F2 D' B U F R D2
F2 D' B U F D R
F2 D' B U F D' R
F2 D' B U F D2 R
F' D' B F' U F R
F2 D' B D U F R
F2 D' B D' U F R
F2 D' B D2 U F R
R2 F2 R' B R' U F'
R' F2 U R F' D R2
D' F2 U R F L2 R
D' F2 U R F R L2
D' F2 U R' F L2 R
D' F2 U R' F R L2
F2 D' B' R B U F
D' F2 U R2 F L2 R
D' F2 U R2 F R L2
D2 F2 U D F L2 R
D2 F2 U D F R L2
R2 F2 R2 U F R F2
F2 D' B' U R F R
F2 D' B' U R' F R
F2 D' B' U R2 F R
F2 D' B' U D F R
F2 D' B' U D' F R
F2 D' B' U D2 F R
F2 D' B' U F R D
F2 D' B' U F R D'
F2 D' B' U F R D2
F2 D' B' U F D R
F2 D' B' U F D' R
F2 D' B' U F D2 R
R F2 R' U F R F2
D2 F2 U F R D L2
D2 F2 U F D L2 R
D2 F2 U F D R L2
D' F2 U F L2 R D
D' F2 U F L2 R D'
D' F2 U F L2 R D2
D' F2 U F L2 D R
D' F2 U F L2 D' R
D' F2 U F L2 D2 R
D' F2 U F R L2 D
D' F2 U F R L2 D'
D' F2 U F R L2 D2
F' D' B' F' U F R
F2 D' B' D U F R
D' F2 U F2 L2 F' R
F2 D' B' D' U F R
F2 D' B' D2 U F R
L2 F2 U D' F R B2
L2 F2 U D' F B2 R
L2 F2 U D' B2 F R
F2 D' B2 R B U F
L2 F2 U F R D' B2
L2 F2 U F D' R B2
L2 F2 U F D' B2 R
F2 D' B2 U R F R
F2 D' B2 U R' F R
F2 D' B2 U R2 F R
F2 D' B2 U D F R
F2 D' B2 U D' F R
F2 D' B2 U D2 F R
F2 D' B2 U F R D
F2 D' B2 U F R D'
F2 D' B2 U F R D2
F2 D' B2 U F D R
F2 D' B2 U F D' R
F2 D' B2 U F D2 R
F' D' B2 F' U F R
R2 F2 U D' R2 F' R
F2 D' B2 D U F R
F2 D' B2 D' U F R
F2 D' B2 D2 U F R
D F2 U D2 F L2 R
D F2 U D2 F R L2
D F2 U F D2 L2 R
D F2 U F D2 R L2
R' F2 U2 D' F L' U'
R2 F2 U' D B U2 R'
D F2 U' R2 U2 F R
D2 F2 U2 B2 U' F R
D2 F2 D U F L2 R
D2 F2 D U F R L2
L F2 U2 R U' F R
R' F2 D' U2 F L' U'
R2 F2 D U' B U2 R'
L2 F2 D' U F R B2
L2 F2 D' U F B2 R
L2 F2 D' U B2 F R
F2 D2 R D B U F
F2 D2 R D' B U F
R2 F2 D' R2 U F' R
F2 D2 R D2 B U F
R2 F2 D' U R2 F' R
F2 D2 R B R U F
F2 D2 R B R' U F
F2 D2 R B R2 U F
F2 D2 R B U D F
F2 D2 R B U D' F
F2 D2 R B U D2 F
F2 D2 R B U F D
F2 D2 R B U F D'
F2 D2 R B U F D2
F2 D2 R B D U F
F2 D2 R B D' U F
F2 D2 R B D2 U F
R F2 D B R' U F'
F2 D2 R' U F D R2
F2 D2 R' U2 F' U' F2
D' F2 B U F L2 R
D' F2 B U F R L2
D F2 D2 U F L2 R
D F2 D2 U F R L2
R F2 D' B R' U F'
D' F2 B' U F L2 R
D' F2 B' U F R L2
L' F2 B' U F R B
D' F2 B2 U F L2 R
D' F2 B2 U F R L2
R F2 D2 B R' U F'
F2 D2 U R D F R
F2 D2 U R D' F R
F2 D2 U R D2 F R
F2 D2 U R F R D
F2 D2 U R F R D'
F2 D2 U R F R D2
F2 D2 U R F D R
F2 D2 U R F D' R
F2 D2 U R F D2 R
F2 D2 U R' D F R
F2 D2 U R' D' F R
F2 D2 U R' D2 F R
F2 D2 U R' F R D
F2 D2 U R' F R D'
F2 D2 U R' F R D2
F2 D2 U R' F D R
F2 D2 U R' F D' R
F2 D2 U R' F D2 R
U' B L U F2 U F
F2 D2 U R2 D F R
F2 D2 U R2 D' F R
F2 D2 U R2 D2 F R
F2 D2 U R2 F R D
F2 D2 U R2 F R D'
F2 D2 U R2 F R D2
F2 D2 U R2 F D R
F2 D2 U R2 F D' R
F2 D2 U R2 F D2 R
F2 D2 U F R2 D R'
F2 D2 U F R2 D' R'
F2 D2 U F R2 D2 R'
U' B L U2 D' L2 F'
U' B L U2 D' F' L2
F2 D2 U F D R D
F2 D2 U F D R D'
F2 D2 U F D R D2
F2 D2 U F D' R D
F2 D2 U F D' R D'
F2 D2 U F D' R D2
F2 D2 U F D2 R D
F2 D2 U F D2 R D'
F2 D2 U F D2 R D2
F2 D2 U F B R B'
F2 D2 U F B2 R B2
F2 D2 U F' R F2 R
U' B L D R2 B U2
F2 D2 U F' R' F2 R
F2 D2 U F' R2 F2 R
U' B L D' U2 L2 F'
U' B L D' U2 F' L2
R F2 B R U' B U2
R F2 B R' U D F'
R F2 B R' U D' F'
R F2 B R' U D2 F'
R F2 B R' U F' D
R F2 B R' U F' D'
R F2 B R' U F' D2
F2 D2 U B F R B'
R F2 B R' D U F'
R F2 B R' D' U F'
R F2 B R' D2 U F'
F2 D2 U B2 F R B2
R F2 B U2 L U' F
F2 D2 U' L2 B' U2 R'
R F2 B D R' U F'
R F2 B D' R' U F'
R F2 B D2 R' U F'
F2 D2 U' B' U2 R' F
F2 D2 U' B' U2 F R'
R F2 B' R' B2 U F'
R F2 B2 R' B' U F'
F' D2 F' R B U F
F' D2 F' U R F R
F' D2 F' U R' F R
F' D2 F' U R2 F R
F' D2 F' U D F R
F' D2 F' U D' F R
F' D2 F' U D2 F R
F' D2 F' U F R D
F' D2 F' U F R D'
F' D2 F' U F R D2
F' D2 F' U F D R
F' D2 F' U F D' R
F' D2 F' U F D2 R
F' D2 F' D U F R
F' D2 F' D' U F R
F' D2 F' D2 U F R
F' D2 F' B U F R
L2 B L2 F2 U F R
F' D2 F' B' U F R
R' B R F2 U F R
F' D2 F' B2 U F R
L B L' F2 U F R
F2 D2 B R B U F
F2 D2 B U R F R
F2 D2 B U R' F R
F2 D2 B U R2 F R
F2 D2 B U D F R
F2 D2 B U D' F R
F2 D2 B U D2 F R
F2 D2 B U F R D
F2 D2 B U F R D'
F2 D2 B U F R D2
F2 D2 B U F D R
F2 D2 B U F D' R
F2 D2 B U F D2 R
F' D2 B F' U F R
F2 D2 B D U F R
F2 D2 B D' U F R
F2 D2 B D2 U F R
D' B U L2 F R F2
R B R F2 R2 U F'
R B R F2 U' B U2
F2 D2 B' R B U F
F2 D2 B' U R F R
F2 D2 B' U R' F R
F2 D2 B' U R2 F R
F2 D2 B' U D F R
F2 D2 B' U D' F R
F2 D2 B' U D2 F R
F2 D2 B' U F R D
F2 D2 B' U F R D'
F2 D2 B' U F R D2
F2 D2 B' U F D R
F2 D2 B' U F D' R
F2 D2 B' U F D2 R
F' D2 B' F' U F R
D' B U F L2 R F2
D' B U F R L2 F2
D' B U F R F2 L2
D' B U F R F2 L2
F2 D2 B' D U F R
R B R' U D' L2 F'
R B R' U D' F' L2
F2 D2 B' D' U F R
F2 D2 B' D2 U F R
R B R' D' U L2 F'
R B R' D' U F' L2
R B R' F2 R U F
R B R' F2 R' U F
R B R' F2 R2 U F
R B R' F2 U D F
R B R' F2 U D' F
R B R' F2 U D2 F
R B R' F2 U F D
R B R' F2 U F D'
R B R' F2 U F D2
R B R' F2 D U F
R B R' F2 D' U F
R B R' F2 D2 U F
F2 D2 B2 R B U F
F2 D2 B2 U R F R
F2 D2 B2 U R' F R
F2 D2 B2 U R2 F R
F2 D2 B2 U D F R
F2 D2 B2 U D' F R
F2 D2 B2 U D2 F R
F2 D2 B2 U F R D
F2 D2 B2 U F R D'
F2 D2 B2 U F R D2
F2 D2 B2 U F D R
F2 D2 B2 U F D' R
F2 D2 B2 U F D2 R
F' D2 B2 F' U F R
D' B U' F' L2 B' R'
F2 D2 B2 D U F R
F2 D2 B2 D' U F R
F2 D2 B2 D2 U F R
D B U F R F2 L'
R B R2 F2 R U F'
U' B D L R2 B U2
D B U' R2 B L U2
U' B D R2 L B U2
U2 B U2 F2 U F R
U' B D' L U2 L F'
U' B D' L U2 F' L
D' B D F2 U F R
B' F R F B U F
B' F R B F U F
F2 B R D B U F
F2 B R D' B U F
B2 F R F B U F
F2 B R D2 B U F
B2 F R B F U F
F2 B R B R U F
F2 B R B R' U F
F2 B R B R2 U F
F2 B R B U D F
F2 B R B U D' F
F2 B R B U D2 F
F2 B R B U F D
F2 B R B U F D'
F2 B R B U F D2
F2 B R B D U F
F2 B R B D' U F
F2 B R B D2 U F
D B D' F2 U F R
F2 B R' U F D R2
F2 B R' U2 F' U' F2
B F R F B U F
B F R B F U F
R B D' R' U L2 F'
R B D' R' U F' L2
F B R F B U F
F B R B F U F
D' B F2 U F L2 R
D' B F2 U F R L2
F2 B U R D F R
F2 B U R D' F R
F2 B U R D2 F R
F2 B U R F R D
F2 B U R F R D'
F2 B U R F R D2
F2 B U R F D R
F2 B U R F D' R
F2 B U R F D2 R
F2 B U R' D F R
F2 B U R' D' F R
F2 B U R' D2 F R
F2 B U R' F R D
F2 B U R' F R D'
F2 B U R' F R D2
F2 B U R' F D R
F2 B U R' F D' R
F2 B U R' F D2 R
F2 B U R2 D F R
F2 B U R2 D' F R
F2 B U R2 D2 F R
F2 B U R2 F R D
F2 B U R2 F R D'
F2 B U R2 F R D2
F2 B U R2 F D R
F2 B U R2 F D' R
F2 B U R2 F D2 R
F2 B U D R F R
F2 B U D R' F R
F2 B U D R2 F R
F2 B U D F R D
F2 B U D F R D'
F2 B U D F R D2
F2 B U D F D R
F2 B U D F D' R
F2 B U D F D2 R
F2 B U D' R F R
F2 B U D' R' F R
F2 B U D' R2 F R
F2 B U D' F R D
F2 B U D' F R D'
F2 B U D' F R D2
F2 B U D' F D R
F2 B U D' F D' R
F2 B U D' F D2 R
F2 B U D2 R F R
F2 B U D2 R' F R
F2 B U D2 R2 F R
F2 B U D2 F R D
F2 B U D2 F R D'
F2 B U D2 F R D2
F2 B U D2 F D R
F2 B U D2 F D' R
F2 B U D2 F D2 R
F2 B U F R2 D R'
F2 B U F R2 D' R'
F2 B U F R2 D2 R'
F2 B U F D R D
F2 B U F D R D'
F2 B U F D R D2
F2 B U F D' R D
F2 B U F D' R D'
F2 B U F D' R D2
F2 B U F D2 R D
F2 B U F D2 R D'
F2 B U F D2 R D2
F2 B U F B R B'
F2 B U F B2 R B2
F2 B U F' R F2 R
F2 B U F' R' F2 R
F2 B U F' R2 F2 R
F2 B U B F R B'
R B F R' F U F2
F2 B U B2 F R B2
F2 B U' L2 B' U2 R'
F2 B U' B' U2 R' F
F2 B U' B' U2 F R'
R B F2 R U' B U2
R B F2 R' U D F'
R B F2 R' U D' F'
R B F2 R' U D2 F'
R B F2 R' U F' D
R B F2 R' U F' D'
R B F2 R' U F' D2
R B F2 R' D U F'
R B F2 R' D' U F'
R B F2 R' D2 U F'
R B F2 U2 L U' F
R B F2 D R' U F'
R B F2 D' R' U F'
R B F2 D2 R' U F'
F2 B D R B U F
F' B D F' U F R
F2 B D U R F R
F2 B D U R' F R
F2 B D U R2 F R
F2 B D U F R D
F2 B D U F R D'
F2 B D U F R D2
F2 B D U F D R
F2 B D U F D' R
F2 B D U F D2 R
F2 B D B U F R
F2 B D B' U F R
F2 B D B2 U F R
L2 B' L2 F2 U F R
R' B' R F2 U F R
F2 B D' R B U F
L B' L' F2 U F R
F' B D' F' U F R
F2 B D' U R F R
F2 B D' U R' F R
F2 B D' U R2 F R
F2 B D' U F R D
F2 B D' U F R D'
F2 B D' U F R D2
F2 B D' U F D R
F2 B D' U F D' R
F2 B D' U F D2 R
F2 B D' B U F R
F2 B D' B' U F R
F2 B D' B2 U F R
F2 B D2 R B U F
F' B D2 F' U F R
F2 B D2 U R F R
F2 B D2 U R' F R
F2 B D2 U R2 F R
F2 B D2 U F R D
F2 B D2 U F R D'
F2 B D2 U F R D2
F2 B D2 U F D R
F2 B D2 U F D' R
F2 B D2 U F D2 R
F2 B D2 B U F R
F2 B D2 B' U F R
F2 B D2 B2 U F R
D' B' U L2 F R F2
U' B' U F2 U R' F
U' B' U F2 U F R'
D' B' U F L2 R F2
D' B' U F R L2 F2
D' B' U F R F2 L2
R B' R' F2 B2 U F
R B' R' B2 F2 U F
D' B' U' F' L2 B' R'
U' B' U2 D' L2 F' R'
D B' U F R F2 L'
U' B' U2 D' F' L2 R'
U' B' U2 D' F' R' L2
D B' U' R2 B L U2
U' B' D R2 B U2 R
F2 B' R D B U F
F2 B' R D' B U F
F2 B' R D2 B U F
F2 B' R B R U F
F2 B' R B R' U F
F2 B' R B R2 U F
F2 B' R B U D F
F2 B' R B U D' F
F2 B' R B U D2 F
F2 B' R B U F D
F2 B' R B U F D'
F2 B' R B U F D2
F2 B' R B D U F
F2 B' R B D' U F
F2 B' R B D2 U F
U2 B' U2 F2 U F R
F2 B' R' U F D R2
D' B' D F2 U F R
F2 B' R' U2 F' U' F2
