F R B2 U B2
B2 F R U B2
F B2 R U B2
F L R B2 U B2
F L B2 R U B2
F L' R B2 U B2
F L' B2 R U B2
F L2 R B2 U B2
F L2 B2 R U B2
F R L B2 U B2
F R L' B2 U B2
F R L2 B2 U B2
B2 R F R U B2
F R B2 L U B2
F R B2 L' U B2
F R B2 L2 U B2
F R B2 U B2 D
F R B2 U B2 D'
F R B2 U B2 D2
F R B2 D L2 U
B2 R' F R U B2
U' R' F B2 U F2
U' R' B2 F U F2
F R' B2 R2 U B2
B2 R2 F R U B2
F U' R B2 U L
F2 U' F' R B2 U
F' U' F2 R B2 U
F2 U' F' B2 R U
F' U' F2 B2 R U
F' U' B2 F2 R U
F2 U' B2 F' R U
R' F R B2 U B2
U' F R' B2 U F'
R2 F R B2 U B2
R F R B2 U B2
R' F B2 R U B2
U' F B2 R' U F'
R2 F B2 R U B2
B2 D F L2 R U
B2 D F R L2 U
R F B2 R U B2
B2 F L R U B2
B2 F L' R U B2
B2 F L2 R U B2
B2 F R L U B2
B2 F R L' U B2
B2 F R L2 U B2
B2 F R U B2 D
B2 F R U B2 D'
B2 F R U B2 D2
B2 F R D L2 U
B2 F D L2 R U
B2 F D R L2 U
U' B2 R' F U F2
F B2 L R U B2
F B2 L' R U B2
F B2 L2 R U B2
F B2 R L U B2
F B2 R L' U B2
F B2 R L2 U B2
F B2 R U B2 D
F B2 R U B2 D'
F B2 R U B2 D2
F B2 R D L2 U
R' B2 F R U B2
U' B2 F R' U F'
R2 B2 F R U B2
F B2 D L2 R U
F B2 D R L2 U
R B2 F R U B2
U' B2 D2 F R' U F'
F B2 U B2 U' R U
U' B2 F R U' B U2
R' B2 F L R U B2
U' B2 F R' U D F'
U' B2 F R' U D' F'
U' B2 F R' U D2 F'
U' B2 F R' U F' D
U' B2 F R' U F' D'
U' B2 F R' U F' D2
U' B2 F R' D U F'
U' B2 F R' D' U F'
U' B2 F R' D2 U F'
R' B2 F L' R U B2
R' B2 F L2 R U B2
R' B2 F R L U B2
R' B2 F R L' U B2
R' B2 F R L2 U B2
R' B2 F R U B2 D
R' B2 F R U B2 D'
R' B2 F R U B2 D2
R' B2 F R D L2 U
U' B2 F U2 L U' F
U' B2 F D R' U F'
D' B2 F R U R B2
D' B2 F R U B2 R
U' B2 F D' R' U F'
U' B2 F D2 R' U F'
R B2 D F L2 R U
R B2 D F R L2 U
R' B2 F D L2 R U
R' B2 F D R L2 U
U' B2 F' R' F2 U F
R2 B2 F L R U B2
R2 B2 F L' R U B2
R2 B2 F L2 R U B2
R2 B2 F R L U B2
R2 B2 F R L' U B2
R2 B2 F R L2 U B2
R2 B2 F R U B2 D
R2 B2 F R U B2 D'
R2 B2 F R U B2 D2
R2 B2 F R D L2 U
F B2 D L2 R U D
F B2 D L2 R U D'
F B2 D L2 R U D2
F B2 D L2 R D U
F B2 D L2 R D' U
F B2 D L2 R D2 U
F B2 D L2 D R U
F B2 D L2 D' R U
F B2 D L2 D2 R U
F B2 D R L2 U D
F B2 D R L2 U D'
F B2 D R L2 U D2
F B2 D R L2 D U
F B2 D R L2 D' U
F B2 D R L2 D2 U
F B2 D R U D' B2
F B2 D R D' U B2
R2 B2 F D L2 R U
R2 B2 F D R L2 U
R B2 F L R U B2
F B2 D' R U2 R U'
R B2 F L' R U B2
R B2 F L2 R U B2
R B2 F R L U B2
R B2 F R L' U B2
R B2 F R L2 U B2
R B2 F R U B2 D
R B2 F R U B2 D'
R B2 F R U B2 D2
R B2 F R D L2 U
R B2 F D L2 R U
R B2 F D R L2 U
F B2 D2 R U D2 B2
F B2 D2 R U' F2 U2
F B2 D2 R D' L2 U
F B2 D2 R D2 U B2
