L2 R' B' R' B
R' L2 B' R' B
B2 L2 R2 B R'
B' L2 R2 B R
R2 L2 B' R' B2
L2 R2 B' R' B2
F2 L2 F2 B' R'
F2 L2 B' R' F2
F2 L2 B' F2 R'
B' R2 L2 B R
L2 U2 F' L' U2
B2 R2 L2 B R'
B' R2 B L2 R
B' R2 B R L2
B2 R2 B L2 R'
B2 R2 B R' L2
F' U2 F L2 R
F' U2 F R L2
U2 F' L' U2 L'
R' B' L2 R' B
R' B' R' L2 B
R' B' R' B L2
R2 B' L2 R' B2
R2 B' R' L2 B2
R2 B' R' B2 L2
L2 B' R2 B R
L2 B2 R2 B R'
L2 R2 D B' R' B2 D
L2 R2 D B' R' B2 D'
L2 R2 D B' R' B2 D2
L2 R2 D B' R2 B2 R
B L' B' D2 L' R2 B
R2 L2 D B' R B2 R2
R2 L2 D B' R' B2 D
R2 L2 D B' R' B2 D'
R2 L2 D B' R' B2 D2
B' L' B2 L' D2 R2 B
B L' B' D2 R2 L' B
R2 L2 D B' R2 B2 R
B L' B' D2 R2 B L'
R L2 D B' R B R2
L R2 D' L B' R' B2
R L2 D B2 R B R'
L2 R2 D' R B' R' B
R2 L2 D' R B' R' B
L' R2 D' B L' D2 R2
R' L2 D' B' D R' B
L' R2 D' B' L' R' B2
R L2 D' R B' R' B2
L' R2 D' B' R' L' B2
L' R2 D' B' R' B2 L'
R' L2 D2 L B' L' R'
R' L2 D2 L B' R' L'
R L2 D' R2 B' R' B
L' R2 D2 L' B' R' B2
L2 R2 D' B U2 L U2
L2 R2 D' B' R B2 R2
L2 R2 D' B' R' B2 D
L2 R2 D' B' R' B2 D'
L2 R2 D' B' R' B2 D2
R2 L2 D' B U2 L U2
L2 R2 D' B' R2 B2 R
B L' B2 D2 L' R2 B
B L' B2 D2 R2 L' B
B L' B2 D2 R2 B L'
R2 L2 D' B' R B2 R2
R2 L2 D' B' R' B2 D
R2 L2 D' B' R' B2 D'
R2 L2 D' B' R' B2 D2
R2 L2 D' B' R2 B2 R
L R2 D2 L B' R' B2
R L2 D' B' R B R2
R L2 D' B2 R B R'
L2 R2 D2 R B' R' B
B L2 R U2 L' U2 B'
R2 L2 D2 R B' R' B
F2 L2 R F B' R' F
B' L2 R B R B R
L' R2 D2 B L' D2 R2
B' L2 R B' R B R
F2 L2 R F2 R B' R'
R' L2 D2 B' D2 R' B
F2 L2 R F2 R' B' R'
F2 L2 R F2 R2 B' R'
L' R2 D2 B' L' R' B2
F2 L2 R F2 D B' R'
F2 L2 R F2 D' B' R'
L' R2 D2 B' R' L' B2
F2 L2 R F2 D2 B' R'
R L2 D2 R B' R' B2
L' R2 D2 B' R' B2 L'
F2 L2 R F2 B' R' D
F2 L2 R F2 B' R' D'
F2 L2 R F2 B' R' D2
F2 L2 R F2 B' D R'
F2 L2 R F2 B' D' R'
F2 L2 R F2 B' D2 R'
B' L2 R B2 R B R
B2 L2 R B R B R2
B' L2 R' U R' U' B
B' L2 R' U R' U' B
F2 L2 R B' R F2 R2
F2 L2 R B' R' F2 D
F2 L2 R B' R' F2 D'
F2 L2 R B' R' F2 D2
R L2 D2 R2 B' R' B
F2 L2 R B' F R' F
F2 L2 R B' F2 R' D
F2 L2 R B' F2 R' D'
F2 L2 R B' F2 R' D2
F2 L2 R B' F2 D R'
F2 L2 R B' F2 D' R'
F2 L2 R B' F2 D2 R'
B L2 R F2 R F2 B
B L2 R F2 R B F2
L2 R2 D2 B U2 L U2
L2 R2 D2 B' R B2 R2
L2 R2 D2 B' R' B2 D
L2 R2 D2 B' R' B2 D'
L2 R2 D2 B' R' B2 D2
L2 R2 D2 B' R2 B2 R
R2 L2 D2 B U2 L U2
R2 L2 D2 B' R B2 R2
R2 L2 D2 B' R' B2 D
R2 L2 D2 B' R' B2 D'
R2 L2 D2 B' R' B2 D2
R2 L2 D2 B' R2 B2 R
B' L2 R' D2 L B' L'
R L2 D2 B' R B R2
R L2 D2 B2 R B R'
F2 L2 R' F B' R' F
B' L2 R' B R' B R
B' L2 R' B' R' B R
F2 L2 R' F2 R B' R'
F2 L2 R' F2 R' B' R'
F2 L2 R' F2 R2 B' R'
F2 L2 R' F2 D B' R'
F2 L2 R' F2 D' B' R'
F2 L2 R' F2 D2 B' R'
F2 L2 R' F2 B' R' D
F2 L2 R' F2 B' R' D'
F2 L2 R' F2 B' R' D2
F2 L2 R' F2 B' D R'
F2 L2 R' F2 B' D' R'
F2 L2 R' F2 B' D2 R'
B' L2 R' B2 R' B R
B2 L2 R' B R' D B
B2 L2 R' B R' D' B
B2 L2 R' B R' D2 B
B2 L2 R' B R' B D
B2 L2 R' B R' B D'
B2 L2 R' B R' B D2
F2 L2 R' B' R F2 R2
F2 L2 R' B' R' F2 D
F2 L2 R' B' R' F2 D'
F2 L2 R' B' R' F2 D2
F2 L2 R' B' F R' F
F2 L2 R' B' F2 R' D
F2 L2 R' B' F2 R' D'
F2 L2 R' B' F2 R' D2
F2 L2 R' B' F2 D R'
F2 L2 R' B' F2 D' R'
F2 L2 R' B' F2 D2 R'
B' L2 R2 D B R D
B' L2 R2 D B R D'
B' L2 R2 D B R D2
B' L2 R2 D B D R
B' L2 R2 D B D' R
B' L2 R2 D B D2 R
B' L2 R2 D B' R B2
B' L2 R2 D B2 R B'
B' L2 R2 D' B R D
B' L2 R2 D' B R D'
B' L2 R2 D' B R D2
B' L2 R2 D' B D R
B' L2 R2 D' B D' R
B' L2 R2 D' B D2 R
B' L2 R2 D' B' R B2
B' L2 R2 D' B2 R B'
B' L2 R2 D2 B R D
B' L2 R2 D2 B R D'
B' L2 R2 D2 B R D2
B' L2 R2 D2 B D R
U' L2 R2 D' F2 B R'
B' L2 R2 D2 B D' R
B' L2 R2 D2 B D2 R
U' L2 R2 D' B R' F2
B' L2 R2 D2 B' R B2
U' L2 R2 D' B F2 R'
B' L2 R2 D2 B2 R B'
B L2 R2 U2 L' U2 B
F2 L2 R2 F B' R' F
B' L2 R2 B R2 D R'
B' L2 R2 B R2 D' R'
B' L2 R2 B R2 D2 R'
B' L2 R2 B D R D
B' L2 R2 B D R D'
B' L2 R2 B D R D2
B' L2 R2 B D' R D
B' L2 R2 B D' R D'
B' L2 R2 B D' R D2
B' L2 R2 B D2 R D
B' L2 R2 B D2 R D'
B' L2 R2 B D2 R D2
B' L2 R2 B' R B2 D
B' L2 R2 B' R B2 D'
B' L2 R2 B' R B2 D2
B' L2 R2 B' R' B2 R2
F2 L2 R2 F2 R B' R'
F2 L2 R2 F2 R' B' R'
F2 L2 R2 F2 R2 B' R'
B2 L2 R2 F' B R' F
F2 L2 R2 F2 D B' R'
F2 L2 R2 F2 D' B' R'
F2 L2 R2 F2 D2 B' R'
F2 L2 R2 F2 B' R' D
F2 L2 R2 F2 B' R' D'
F2 L2 R2 F2 B' R' D2
F2 L2 R2 F2 B' D R'
F2 L2 R2 F2 B' D' R'
F2 L2 R2 F2 B' D2 R'
B' L2 R2 B2 R D B'
B' L2 R2 B2 R D' B'
B' L2 R2 B2 R D2 B'
B' L2 R2 B2 R B' D
B' L2 R2 B2 R B' D'
B' L2 R2 B2 R B' D2
B' L2 R2 B2 R' B' R2
B' L2 R2 B2 D R B'
B' L2 R2 B2 D B' R
B' L2 R2 B2 D' R B'
B' L2 R2 B2 D' B' R
B' L2 R2 B2 D2 R B'
B' L2 R2 B2 D2 B' R
B2 L2 R2 F2 B R' F2
U L2 R2 D F2 B R'
U L2 R2 D B R' F2
B2 L2 R2 B R2 D R
B2 L2 R2 B R2 D' R
U L2 R2 D B F2 R'
B2 L2 R2 B R2 D2 R
F2 L2 R2 B' R F2 R2
F2 L2 R2 B' R' F2 D
F2 L2 R2 B' R' F2 D'
F2 L2 R2 B' R' F2 D2
B2 L2 R2 B D R' D
B2 L2 R2 B D R' D'
B2 L2 R2 B D R' D2
B2 L2 R2 B D' R' D
B2 L2 R2 B D' R' D'
B2 L2 R2 B D' R' D2
B2 L2 R2 B D2 R' D
B2 L2 R2 B D2 R' D'
B2 L2 R2 B D2 R' D2
B2 L2 R2 B F' R' F
B2 L2 R2 B F2 R' F2
F2 L2 R2 B' F R' F
F2 L2 R2 B' F2 R' D
F2 L2 R2 B' F2 R' D'
F2 L2 R2 B' F2 R' D2
F2 L2 R2 B' F2 D R'
B2 L2 R2 B' R B2 R'
F2 L2 R2 B' F2 D' R'
F2 L2 R2 B' F2 D2 R'
B2 L2 R2 B' R' B2 R'
B2 L2 R2 B' R2 B2 R'
B L2 R2 F2 B R F2
B2 L2 R2 B2 R B' R'
B2 L2 R2 B2 R' B' R'
B2 L2 R2 B2 R2 B' R'
B2 L2 R2 B2 D B' R'
B2 L2 R2 B2 D' B' R'
B2 L2 R2 B2 D2 B' R'
B L2 R2 B U2 L' U2
B L2 R2 B F2 R F2
R' L2 F' B' R' F B
R' L2 F' B' R' B F
B' L2 U R2 U' B R
B2 L2 U R2 U' B R'
L2 R2 F' B' R' F B2
L2 R2 F' B' R' B2 F
R2 L2 F' B' R' F B2
R2 L2 F' B' R' B2 F
R' L2 F2 B' R' F2 B
R' L2 F2 B' R' B F2
L' R2 B L' R D2 R2
L' R2 B L' R' D2 R2
L' R2 B L' R2 D2 R2
L' R2 B L' U2 L2 U2
L' R2 B L' D2 R2 D
L' R2 B L' D2 R2 D'
L' R2 B L' D2 R2 D2
L' R2 B R L' D2 R2
L2 R2 F2 B' R' F2 B2
L2 R2 F2 B' R' B2 F2
R' L2 B R' B2 R' B'
L' R2 B R' L' D2 R2
R2 L2 F2 B' R' F2 B2
R2 L2 F2 B' R' B2 F2
L' R2 B R2 L' D2 R2
L2 R2 B L' D2 L R2
L2 R2 B L' D2 R2 L
R2 L2 B L' D2 L R2
R2 L2 B L' D2 R2 L
L' R2 B U2 L U2 L2
L2 R2 B R U2 L U2
R2 L2 B R U2 L U2
L2 R2 B R B2 R' B2
L' R2 B D L' D2 R2
B' L2 U2 L F' U2 R'
L2 R2 B R' U2 L U2
R2 L2 B R B2 R' B2
R2 L2 B R' U2 L U2
L' R2 B D' L' D2 R2
L2 R2 B R' B2 R' B2
B' L2 U2 L' F' U2 R'
L2 R2 B R2 U2 L U2
R2 L2 B R' B2 R' B2
L' R2 B D2 L' D2 R2
L2 R2 B R2 B2 R' B2
R2 L2 B R2 U2 L U2
B' L2 U2 L2 F' U2 R'
R2 L2 B R2 B2 R' B2
L2 R2 B U' B2 U R'
L2 R2 B U2 L U2 D
L2 R2 B U2 L U2 D'
L2 R2 B U2 L U2 D2
L2 R2 B U2 L D U2
L2 R2 B U2 L D' U2
L2 R2 B U2 L D2 U2
R L2 B R B2 R' B'
R' L2 B' L R' B L'
L2 R2 B U2 D L U2
L2 R2 B U2 D' L U2
L2 R2 B U2 D2 L U2
R2 L2 B U' B2 U R'
R2 L2 B U2 L U2 D
R2 L2 B U2 L U2 D'
R2 L2 B U2 L U2 D2
R2 L2 B U2 L D U2
R2 L2 B U2 L D' U2
R2 L2 B U2 L D2 U2
R2 L2 B U2 D L U2
R2 L2 B U2 D' L U2
R2 L2 B U2 D2 L U2
L' R2 B' L R' B2 L2
L2 R2 B D U2 L U2
B L2 U2 L F' L2 U2
L2 R2 B D B2 R' B2
B' L2 U2 D F' U2 R'
R2 L2 B D U2 L U2
L' R2 B' L' R B2 R2
R L2 B R2 B2 R' B
L' R2 B' L' R' B2 D
L' R2 B' L' R' B2 D'
L' R2 B' L' R' B2 D2
L' R2 B' L' R2 B2 R
R' L2 B' L2 R' B L2
L2 R2 B D' U2 L U2
B L2 U2 L' D F' U2
B L2 U2 L' D' F' U2
B L2 U2 L' D2 F' U2
R2 L2 B D B2 R' B2
B' L2 U2 D' F' U2 R'
B L2 U2 L' F' U2 D
B L2 U2 L' F' U2 D'
B L2 U2 L' F' U2 D2
B L2 U2 L' F' D U2
B L2 U2 L' F' D' U2
B L2 U2 L' F' D2 U2
L2 R2 B D' B2 R' B2
R2 L2 B D' U2 L U2
L2 R2 B D2 U2 L U2
B' L2 U2 D2 F' U2 R'
R2 L2 B D' B2 R' B2
B L2 U2 L2 F' L U2
L2 R2 B D2 B2 R' B2
R' L2 B' R B R2 B
D2 L2 U2 F' L' R2 U2
R' L2 B' R B' R2 B
R' L2 B' R B2 R2 B
R' L2 B' R' L B L'
R2 L2 B D2 U2 L U2
L' R2 B' R L' B2 R2
R' L2 B' R' L2 B L2
D2 L2 U2 F' R2 L' U2
R L2 B U2 L F U2
R' L2 B' R' D B D
R' L2 B' R' D B D'
R' L2 B' R' D B D2
R' L2 B' R' D' B D
R' L2 B' R' D' B D'
R' L2 B' R' D' B D2
R' L2 B' R' D2 B D
R' L2 B' R' D2 B D'
R' L2 B' R' D2 B D2
R2 L2 B D2 B2 R' B2
B' L2 U2 F' L U2 R'
B' L2 U2 F' L' U2 R'
B' L2 U2 F' L2 U2 R'
L' R2 B' R B2 L' R2
R' L2 B' R' B2 D B'
R' L2 B' R' B2 D' B'
R' L2 B' R' B2 D2 B'
L' R2 B' R B2 R2 L'
L' R2 B' R' L B2 L2
L' R2 B' R' L' B2 D
L' R2 B' R' L' B2 D'
L' R2 B' R' L' B2 D2
B' L2 U2 F' U2 R' D
B' L2 U2 F' U2 R' D'
B' L2 U2 F' U2 R' D2
B' L2 U2 F' U2 D R'
B' L2 U2 F' U2 D' R'
B' L2 U2 F' U2 D2 R'
R' L2 B' R2 D R B
B' L2 U2 F' D U2 R'
R' L2 B' R2 D' R B
B' L2 U2 F' D' U2 R'
R' L2 B' R2 D2 R B
B' L2 U2 F' D2 U2 R'
L' R2 B' R' B L' B
R' L2 B' R2 B R B
R' L2 B' R2 B' R B
L' R2 B' R' B2 L' D
L' R2 B' R' B2 L' D'
L' R2 B' R' B2 L' D2
R' L2 B' R2 B2 R B
L' R2 B' R' B2 D L'
L' R2 B' R' B2 D' L'
L' R2 B' R' B2 D2 L'
L' R2 B' R2 L' B2 R
L2 R2 B' L R' B2 L'
B2 L2 U2 D2 F' U2 R
L' R2 B' R2 B2 L' R
L' R2 B' R2 B2 R L'
B L2 U2 D L' F' U2
R2 L2 B' L R' B2 L'
B L2 U2 D' L' F' U2
L2 R2 B' L2 R' B2 L2
B L2 U2 D2 L' F' U2
U2 L2 U2 F' U2 F R
R2 L2 B' L2 R' B2 L2
L2 R2 B' R B' R2 B'
L2 R2 B' R B2 R2 D
L2 R2 B' R B2 R2 D'
L2 R2 B' R B2 R2 D2
L2 R2 B' R' L B2 L'
L2 R2 B' R' L2 B2 L2
L2 R2 B' R' B D B
L2 R2 B' R' B D' B
L2 R2 B' R' B D2 B
R2 L2 B' R B' R2 B'
L2 R2 B' R' B' D B'
L2 R2 B' R' B' D' B'
L2 R2 B' R' B' D2 B'
R2 L2 B' R B2 R2 D
R2 L2 B' R B2 R2 D'
R2 L2 B' R B2 R2 D2
R2 L2 B' R' L B2 L'
R2 L2 B' R' L2 B2 L2
R2 L2 B' R' B D B
R2 L2 B' R' B D' B
R2 L2 B' R' B D2 B
R2 L2 B' R' B' D B'
R2 L2 B' R' B' D' B'
R2 L2 B' R' B' D2 B'
L2 R2 B' R2 B' R B'
L2 R2 B' R2 B2 R D
L2 R2 B' R2 B2 R D'
L2 R2 B' R2 B2 R D2
L2 R2 B' R2 B2 D R
L2 R2 B' R2 B2 D' R
L2 R2 B' R2 B2 D2 R
L R2 B' R' B L B
R' L2 B' F' R' F B
R' L2 B' F' R' B F
R2 L2 B' R2 B' R B'
R2 L2 B' R2 B2 R D
R2 L2 B' R2 B2 R D'
R2 L2 B' R2 B2 R D2
R2 L2 B' R2 B2 D R
R2 L2 B' R2 B2 D' R
R2 L2 B' R2 B2 D2 R
R' L2 B' F2 R' F2 B
R' L2 B' F2 R' B F2
R L2 B' R B R2 D
R L2 B' R B R2 D'
R L2 B' R B R2 D2
R L2 B' R B' R2 B2
R L2 B' R B2 R2 B'
R L2 B' R' U2 F' U2
B' L2 D R2 D B R
B' L2 D R2 D' B R
B' L2 D R2 D2 B R
L2 R2 B' D R' D' B2
B' L2 D R2 B R D
B' L2 D R2 B R D'
B' L2 D R2 B R D2
B' L2 D R2 B D R
B' L2 D R2 B D' R
B' L2 D R2 B D2 R
B' L2 D R2 B' R B2
B' L2 D R2 B2 R B'
R2 L2 B' D R' D' B2
L2 R2 B' D2 R' D2 B2
B' L2 D U2 F' U2 R'
B2 L2 D R2 D' B R'
R2 L2 B' D2 R' D2 B2
R' L2 B2 R' B R' D
R' L2 B2 R' B R' D'
R' L2 B2 R' B R' D2
R' L2 B2 R' B D R'
R' L2 B2 R' B D' R'
R' L2 B2 R' B D2 R'
L2 R2 B' F' R' F B2
L2 R2 B' F' R' B2 F
R L2 B' D R B R2
L2 R2 B' F2 R' F2 B2
L2 R2 B' F2 R' B2 F2
R2 L2 B' F' R' F B2
R2 L2 B' F' R' B2 F
R L2 B' D' R B R2
R2 L2 B' F2 R' F2 B2
R2 L2 B' F2 R' B2 F2
R L2 B' D2 R B R2
B' L2 D B' R2 B R'
U2 L2 D F' L' U2 L
B L2 D U2 L' F' U2
L2 R2 B2 R B R' B2
R2 L2 B2 R B R' B2
L2 R2 B2 R' B R' B2
F2 L2 D B' D' R' F2
F2 L2 D B' D' F2 R'
R2 L2 B2 R' B R' B2
L2 R2 B2 R2 B R' B2
R2 L2 B2 R2 B R' B2
R L2 B2 R B R' D
R L2 B2 R B R' D'
R L2 B2 R B R' D2
R L2 B2 R B D R'
R L2 B2 R B D' R'
R L2 B2 R B D2 R'
B' L2 D' R2 D B R
B' L2 D' R2 D' B R
B' L2 D' R2 D2 B R
B' L2 D' R2 B R D
B' L2 D' R2 B R D'
B' L2 D' R2 B R D2
B' L2 D' R2 B D R
B' L2 D' R2 B D' R
B' L2 D' R2 B D2 R
B' L2 D' R2 B' R B2
B' L2 D' R2 B2 R B'
R L2 B2 R2 B R' B
B' L2 D' U2 F' U2 R'
B' L2 D' B' R2 B R'
U2 L2 D' F' L' U2 L
B L2 D' U2 L' F' U2
F2 L2 D' B' R' D F2
F2 L2 D' B' D R' F2
F2 L2 D' B' D F2 R'
B' L2 D2 R2 D B R
B' L2 D2 R2 D' B R
B' L2 D2 R2 D2 B R
B' L2 D2 R2 B R D
B' L2 D2 R2 B R D'
B' L2 D2 R2 B R D2
B' L2 D2 R2 B D R
B' L2 D2 R2 B D' R
B' L2 D2 R2 B D2 R
B' L2 D2 R2 B' R B2
B' L2 D2 R2 B2 R B'
B' L2 D2 U2 F' U2 R'
B2 L2 D2 R2 D2 B R'
B2 L2 D2 U2 F' U2 R
U2 L2 D2 F' L' U2 L
B' L2 D2 B' R2 B R'
B L2 D2 U2 L' F' U2
F L2 D2 F' B' R' B'
F L2 D2 B' F' R' B'
F2 L2 F R F B' R'
F2 L2 F R B' R' F
F2 L2 F R B' F R'
F L2 D2 B2 D2 F' R
F2 L2 F R' F B' R'
F2 L2 F R' B' R' F
F2 L2 F R' B' F R'
F2 L2 F R2 F B' R'
F2 L2 F R2 B' R' F
F2 L2 F R2 B' F R'
B' L2 F D2 F' R' B2
F2 L2 F D F B' R'
F2 L2 F D B' R' F
F2 L2 F D B' F R'
F2 L2 F D' F B' R'
F2 L2 F D' B' R' F
F2 L2 F D' B' F R'
B2 L2 F D2 F' R B2
B2 L2 F D2 F' B2 R
F2 L2 F D2 F B' R'
B2 L2 F D2 B2 F' R
F2 L2 F D2 B' R' F
F2 L2 F D2 B' F R'
F2 L2 F B' R F R2
F2 L2 F B' R' D F
F2 L2 F B' R' D' F
F2 L2 F B' R' D2 F
F2 L2 F B' R' F D
F2 L2 F B' R' F D'
F2 L2 F B' R' F D2
F2 L2 F B' D R' F
F2 L2 F B' D F R'
F2 L2 F B' D' R' F
F2 L2 F B' D' F R'
F2 L2 F B' D2 R' F
F2 L2 F B' D2 F R'
B' L2 F' R F R2 B
D2 L2 F' R2 U2 F R
U2 L2 F' L' R U2 L
U2 L2 F' L' R' U2 L
U2 L2 F' L' R2 U2 L
U2 L2 F' L' U2 L D
U2 L2 F' L' U2 L D'
U2 L2 F' L' U2 L D2
U2 L2 F' L' U2 D L
U2 L2 F' L' U2 D' L
U2 L2 F' L' U2 D2 L
U2 L2 F' L' D U2 L
U2 L2 F' L' D' U2 L
U2 L2 F' L' D2 U2 L
U2 L2 F' R L' U2 L
F2 L2 F' R B' R' F'
U2 L2 F' R' L' U2 L
U2 L2 F' R2 L' U2 L
U2 L2 F' D L' U2 L
F L2 F' R' B' R' B
F2 L2 F' D F' B' R'
F2 L2 F' D B' F' R'
U2 L2 F' D' L' U2 L
F L2 F' R2 B' R' B2
F2 L2 F' D' F' B' R'
F2 L2 F' D' B' F' R'
U2 L2 F' D2 L' U2 L
F2 L2 F' D2 F' B' R'
F2 L2 F' D2 B' F' R'
F L2 F' U2 F' L' U2
F2 L2 F' B' D F' R'
F2 L2 F' B' D' F' R'
F2 L2 F' B' D2 F' R'
B' L2 F2 R F2 R2 B
F L2 F' B' R2 B R
F2 L2 F2 R D B' R'
F2 L2 F2 R D' B' R'
F2 L2 F2 R D2 B' R'
F L2 F' B2 R2 B R'
F2 L2 F2 R B' R' D
F2 L2 F2 R B' R' D'
F2 L2 F2 R B' R' D2
F2 L2 F2 R B' D R'
F2 L2 F2 R B' D' R'
F2 L2 F2 R B' D2 R'
F2 L2 F2 R' D B' R'
F2 L2 F2 R' D' B' R'
F2 L2 F2 R' D2 B' R'
F2 L2 F2 R' B' R' D
F2 L2 F2 R' B' R' D'
F2 L2 F2 R' B' R' D2
F2 L2 F2 R' B' D R'
F2 L2 F2 R' B' D' R'
F2 L2 F2 R' B' D2 R'
F2 L2 F2 R2 D B' R'
F2 L2 F2 R2 D' B' R'
F2 L2 F2 R2 D2 B' R'
F2 L2 F2 R2 B' R' D
F2 L2 F2 R2 B' R' D'
F2 L2 F2 R2 B' R' D2
F2 L2 F2 R2 B' D R'
F2 L2 F2 R2 B' D' R'
F2 L2 F2 R2 B' D2 R'
B L2 F2 R' F2 R2 B
F2 L2 F2 D R B' R'
F2 L2 F2 D R' B' R'
F2 L2 F2 D R2 B' R'
F2 L2 F2 D B' R' D
F2 L2 F2 D B' R' D'
F2 L2 F2 D B' R' D2
F2 L2 F2 D B' D R'
F2 L2 F2 D B' D' R'
F2 L2 F2 D B' D2 R'
F2 L2 F2 D' R B' R'
F2 L2 F2 D' R' B' R'
F2 L2 F2 D' R2 B' R'
F2 L2 F2 D' B' R' D
F2 L2 F2 D' B' R' D'
F2 L2 F2 D' B' R' D2
F2 L2 F2 D' B' D R'
F2 L2 F2 D' B' D' R'
F2 L2 F2 D' B' D2 R'
F2 L2 F2 D2 R B' R'
F2 L2 F2 D2 R' B' R'
F2 L2 F2 D2 R2 B' R'
F2 L2 F2 D2 B' R' D
F2 L2 F2 D2 B' R' D'
F2 L2 F2 D2 B' R' D2
F2 L2 F2 D2 B' D R'
F2 L2 F2 D2 B' D' R'
F2 L2 F2 D2 B' D2 R'
F2 L2 F2 B R B2 R'
F2 L2 F2 B R' B2 R'
R' U R' F' U' L2 B
R' U R' F' U' B L2
F2 L2 F2 B R2 B2 R'
F' L2 B L B2 U2 L'
F2 L2 F2 B' R2 D R
F2 L2 F2 B' R2 D' R
F2 L2 F2 B' R2 D2 R
F2 L2 F2 B' D R' D
F2 L2 F2 B' D R' D'
F2 L2 F2 B' D R' D2
F2 L2 F2 B' D' R' D
F2 L2 F2 B' D' R' D'
F2 L2 F2 B' D' R' D2
F2 L2 F2 B' D2 R' D
F2 L2 F2 B' D2 R' D'
F2 L2 F2 B' D2 R' D2
L2 U R' D' F' R U'
B' L2 B R' B' R' B
B' L2 B R2 B' R' B2
L2 U R' F' R' U' B
F2 L2 B R F2 B2 R'
F2 L2 B R B2 R' F2
F2 L2 B R B2 F2 R'
F2 L2 B R' F2 B2 R'
F2 L2 B R' B2 R' F2
F2 L2 B R' B2 F2 R'
B2 L2 B R2 D B R
B2 L2 B R2 D' B R
B2 L2 B R2 D2 B R
B2 L2 B R2 B R D
B2 L2 B R2 B R D'
B2 L2 B R2 B R D2
B2 L2 B R2 B D R
B2 L2 B R2 B D' R
B2 L2 B R2 B D2 R
B2 L2 B R2 B' R B2
B2 L2 B R2 B2 R B'
F2 L2 B R2 F2 B2 R'
B' L2 B U2 F' L' U2
F2 L2 B R2 B2 R' F2
F2 L2 B R2 B2 F2 R'
B2 L2 B U2 F' U2 R'
B2 L2 B D R2 B R
B2 L2 B D' R2 B R
B L2 B U2 L' F' U2
B2 L2 B D2 R2 B R
F' L2 B' L U2 L' R'
F' L2 B' L U2 R' L'
L2 U R2 U' D B R'
F' L2 B' L' U2 L R'
F' L2 B' L' U2 R' L
F' L2 B' L2 U2 L2 R'
F' L2 B' L2 U2 R' L2
F2 L2 B F2 R B2 R'
F2 L2 B F2 R' B2 R'
F2 L2 B F2 R2 B2 R'
L2 U R2 D U' B R'
F2 L2 B' L' R' F2 L
F L2 B D2 F' B2 R'
F2 L2 B' L' F2 L R'
B' L2 B' R' B R' B
F2 L2 B' L' F2 R' L
F L2 B D2 B2 F' R'
F2 L2 B' L2 R' F2 L2
B' L2 B' R2 B R' D
B' L2 B' R2 B R' D'
B' L2 B' R2 B R' D2
F2 L2 B' L2 F2 L2 R'
F2 L2 B' L2 F2 R' L2
B' L2 B' R2 B D R'
B' L2 B' R2 B D' R'
B' L2 B' R2 B D2 R'
F2 L2 B' R F R2 F
F2 L2 B' R F2 R2 D
F2 L2 B' R F2 R2 D'
F2 L2 B' R F2 R2 D2
F2 L2 B' R' L' F2 L
F2 L2 B' R' L2 F2 L2
B2 L2 B' R' B2 R' B
F2 L2 B' R' F D F
F2 L2 B' R' F D' F
F2 L2 B' R' F D2 F
F2 L2 B' R' F' D F'
F2 L2 B' R' F' D' F'
F2 L2 B' R' F' D2 F'
B2 L2 B' R2 B2 R' B'
B2 L2 B' U2 L F' U2
B2 L2 B' U2 F' L U2
F2 L2 B' D' R' D F2
B L2 B' U2 L' F' U2
F2 L2 B' D2 R' D2 F2
F2 L2 B' F R F R2
F2 L2 B' F R' D F
F2 L2 B' F R' D' F
F2 L2 B' F R' D2 F
F2 L2 B' F R' F D
F2 L2 B' F R' F D'
F2 L2 B' F R' F D2
F2 L2 B' F D R' F
F2 L2 B' F D F R'
F2 L2 B' F D' R' F
F2 L2 B' F D' F R'
F2 L2 B' F D2 R' F
F2 L2 B' F D2 F R'
F2 L2 B' F' D F' R'
F2 L2 B' F' D' F' R'
F2 L2 B' F' D2 F' R'
F2 L2 B' F2 R2 D R
F2 L2 B' F2 R2 D' R
F2 L2 B' F2 R2 D2 R
F2 L2 B' F2 D R' D
F2 L2 B' F2 D R' D'
F2 L2 B' F2 D R' D2
F2 L2 B' F2 D' R' D
F2 L2 B' F2 D' R' D'
F2 L2 B' F2 D' R' D2
F2 L2 B' F2 D2 R' D
F2 L2 B' F2 D2 R' D'
F2 L2 B' F2 D2 R' D2
F L2 B' D2 F' R' B2
B' L2 B2 R' B2 R' B
B' L2 B2 R2 B2 R' B'
F L2 B' F' R2 B R
B2 L2 B2 R' B' R' B
B' L2 B2 U2 L F' U2
B2 L2 B2 R2 B' R' B2
B' L2 B2 U2 F' L U2
B2 L2 B2 U2 F' L' U2
B L2 B2 U2 L' F' U2
F L2 B2 D2 F' R B2
F L2 B2 D2 F' B2 R
F L2 B2 D2 B2 F' R
F L2 B2 F' R2 B R'
R2 U D' B2 U' B' R'
F2 R L F2 L B' R'
U2 R L' U2 L' B' R'
B R L2 U2 L' U2 B'
B' R L2 B R B R
F2 R L2 F B' R' F
B' R L2 B' R B R
B' R L2 B2 R B R
F2 R L2 F2 R B' R'
F2 R L2 F2 R' B' R'
F2 R L2 F2 R2 B' R'
F2 R L2 F2 D B' R'
F2 R L2 F2 D' B' R'
B2 R L2 B R B R2
