F2 L2 R F' B
F2 L2 R B F'
F2 R L2 F' B
F2 R L2 B F'
F2 R F' L2 B
F2 R F' B L2
F2 R B L2 F'
F2 R B F' L2
F' R L2 F' D2 B R
F' R L2 F' B R D
F' R L2 F' B R D'
F' R L2 F' B R D2
F' R L2 F' B D R
F' R L2 F' B D' R
F' R L2 F' B D2 R
F' R L2 F' B' R B2
F' R L2 F' B2 R B'
F2 R L2 D' F' D B
F2 R L2 D' F' D' B
F2 R L2 D' F' D2 B
B' R L2 F' B2 R' B'
F2 R L2 D' F' B D
F2 R L2 D' F' B D'
F2 R L2 D' F' B D2
F2 R L2 D' B D F'
F2 R L2 D' B D' F'
F2 R L2 D' B D2 F'
F2 R L2 D' B F' D
F2 R L2 D' B F' D'
F2 R L2 D' B F' D2
F2 R L2 D2 F' D B
F2 R L2 D2 F' D' B
F2 R L2 D2 F' D2 B
F2 R L2 D2 F' B D
F2 R L2 D2 F' B D'
F2 R L2 D2 F' B D2
F2 R L2 D2 B D F'
F2 R L2 D2 B D' F'
F2 R L2 D2 B D2 F'
F2 R L2 D2 B F' D
F2 R L2 D2 B F' D'
F2 R L2 D2 B F' D2
F' R L2 B F' R D
F' R L2 B F' R D'
F' R L2 B F' R D2
F' R L2 B F' D R
F' R L2 B F' D' R
F' R L2 B F' D2 R
B' R L2 B D2 F' R
F2 R L2 F' L B L'
F2 R L2 F' L2 B L2
B2 R L2 F' B2 R' B'
F' R L2 B' F' R B2
F2 R L2 F' D B D
F2 R L2 F' D B D'
F2 R L2 F' D B D2
F2 R L2 F' D' B D
F2 R L2 F' D' B D'
F2 R L2 F' D' B D2
F2 R L2 F' D2 B D
F2 R L2 F' D2 B D'
F2 R L2 F' D2 B D2
F2 R L2 F' B2 D B'
F2 R L2 F' B2 D' B'
F2 R L2 F' B2 D2 B'
F' R L2 B2 F' R B'
F2 R L2 F2 D F B
F2 R L2 F2 D B F
B' R L2 B2 F' R' B'
F2 R L2 F2 D' F B
F2 R L2 F2 D' B F
F2 R L2 F2 D2 F B
F2 R L2 F2 D2 B F
F2 R L2 F2 B D F
F2 R L2 F2 B D' F
F2 R L2 F2 B D2 F
F2 R L2 B L' F' L
F2 R L2 B L2 F' L2
B2 R L2 B D2 F' R
F2 R L2 B D F' D
F2 R L2 B D F' D'
F2 R L2 B D F' D2
F2 R L2 B D' F' D
F2 R L2 B D' F' D'
F2 R L2 B D' F' D2
F2 R L2 B D2 F' D
F2 R L2 B D2 F' D'
F2 R L2 B D2 F' D2
F2 R L2 B F2 D F
F2 R L2 B F2 D' F
F2 R L2 B F2 D2 F
B R L2 F' B2 R' B'
B2 R L2 B2 F' R' B'
F' R U L2 F' B R
F' R U L2 B F' R
F2 R L2 B2 D F' B'
F2 R L2 B2 D B' F'
F2 R L2 B2 D' F' B'
F2 R L2 B2 D' B' F'
F2 R L2 B2 D2 F' B'
F2 R L2 B2 D2 B' F'
F2 R L2 B2 F' D B'
F2 R L2 B2 F' D' B'
F2 R L2 B2 F' D2 B'
F R L2 F B R F2
B R L2 B D2 F' R
B R L2 B2 F' R' B'
R U F' L2 D2 B R'
F R L2 B F R F2
F' R U F' L2 B R
F' R U F' B L2 R
F' R U F' B R L2
F' R U B L2 F' R
F' R U B F' L2 R
F' R U B F' R L2
F' R U' L2 F' B R
F' R U' L2 B F' R
F' R U' F' L2 B R
F' R U' F' B L2 R
F' R U' F' B R L2
F' R U' B L2 F' R
F' R U' B F' L2 R
F' R U' B F' R L2
R U F2 B R F L2
F' R U2 L2 F' B R
F' R U2 L2 B F' R
F' R U2 F' L2 B R
F' R U2 F' B L2 R
F' R U2 F' B R L2
F' R U2 B L2 F' R
F' R U2 B F' L2 R
F' R U2 B F' R L2
R U B F2 R F L2
R U B' L2 F' B2 R'
R U B' L2 B2 F' R'
F2 R D B D' L2 F'
F2 R D B D' F' L2
F2 R D' F' D L2 B
F2 R D' F' D B L2
F2 R D2 F' D2 L2 B
F2 R D2 F' D2 B L2
F2 R D2 F' B D2 L2
F2 R D2 B D2 L2 F'
F2 R D2 B D2 F' L2
F2 R D2 B F' D2 L2
F2 R F L F2 L B
F2 R F L' B L' F2
F2 R F L2 F2 D B
F2 R F L2 F2 D' B
F2 R F L2 F2 D2 B
F2 R F L2 F2 B D
F2 R F L2 F2 B D'
F2 R F L2 F2 B D2
F2 R F L2 B F2 D
F2 R F L2 B F2 D'
F2 R F L2 B F2 D2
R U' L' U2 L' F' B
R U' L' U2 L' B F'
R U' L' U2 B L' F'
F R F L2 B R F2
F2 R F B L F2 L
F2 R F B L2 F2 D
F2 R F B L2 F2 D'
F2 R F B L2 F2 D2
B' R F' L2 D2 B R'
F' R F' L' B L' R
F' R F' L' B R L'
F2 R F B' L2 F2 B2
F2 R F B' L2 B2 F2
F' R F' L2 D B R
F' R F' L2 D' B R
F' R F' L2 D2 B R
F' R F' L2 B R D
F' R F' L2 B R D'
F' R F' L2 B R D2
F' R F' L2 B D R
F' R F' L2 B D' R
F' R F' L2 B D2 R
F' R F' L2 B' R B2
F' R F' L2 B2 R B'
F2 R F' L D L B
F2 R F' L D' L B
F2 R F' L D2 L B
F2 R F' L' D L' B
B2 R F' L2 D2 B R'
F2 R F' L' D B L'
F2 R F' L' D' L' B
F2 R F' L' D' B L'
F2 R F' L' D2 L' B
F2 R F' L' D2 B L'
F2 R F' L' B L' D
F2 R F' L' B L' D'
F2 R F' L' B L' D2
F2 R F' L' B D L'
F2 R F' L' B D' L'
F2 R F' L' B D2 L'
F2 R F' L' B' L' B2
F2 R F' L2 D B D
F2 R F' L2 D B D'
F2 R F' L2 D B D2
F2 R F' L2 D' B D
F2 R F' L2 D' B D'
F2 R F' L2 D' B D2
F2 R F' L2 D2 B D
F2 R F' L2 D2 B D'
F2 R F' L2 D2 B D2
F2 R F' L2 B2 D B'
F2 R F' L2 B2 D' B'
F2 R F' L2 B2 D2 B'
F R F B L2 R F2
F R F B R L2 F2
F R F B R F2 L2
B R F' L2 D2 B R'
L' U' R U' L' F' B'
L' U' R U' L' B' F'
F' R F' B L2 R D
F' R F' B L2 R D'
F' R F' B L2 R D2
F' R F' B L2 D R
F' R F' B L2 D' R
F' R F' B L2 D2 R
F' R F' B R L2 D
F' R F' B R L2 D'
F' R F' B R L2 D2
F R F' L2 B2 R' B'
F' R F' B' L2 R B2
F' R F' B' L2 B2 R
F' R F' B' R L2 B2
F' R F' B' R B2 L2
F2 R F' D B D' L2
F' R F' B2 R B' L2
R U' L2 F' B2 R' B'
D2 R F2 L' B R F
F2 R F' D2 B D2 L2
F2 R F' B L D L
F2 R F' B L D' L
F2 R F' B L D2 L
F2 R F' B L' D L'
F2 R F' B L' D' L'
F2 R F' B L' D2 L'
R U' L2 B D2 F' R
F2 R F' B' L' B2 L'
F2 R F' B' L2 B2 D
F2 R F' B' L2 B2 D'
F2 R F' B' L2 B2 D2
R U' L2 B2 F' R' B'
F2 R F2 L2 B D2 F2
F R F' B' L2 B2 R'
D2 R F2 B L' R F
D2 R F2 B R L' F
B' R F2 B R F L2
B2 R F2 B R F L2
F' R B L F' L R
F' R B L F' R L
F' R B L2 F' R D
F' R B L2 F' R D'
F' R B L2 F' R D2
F' R B L2 F' D R
F' R B L2 F' D' R
F' R B L2 F' D2 R
F2 R B L D L F'
F2 R B L D F' L
F2 R B L D' L F'
F2 R B L D' F' L
F2 R B L D2 L F'
F2 R B L D2 F' L
F2 R B L F L F2
F2 R B L F' L D
F2 R B L F' L D'
F2 R B L F' L D2
F2 R B L F' D L
F2 R B L F' D' L
F2 R B L F' D2 L
B R F2 B R F L2
F2 R B L' D L' F'
F2 R B L' D' L' F'
F2 R B L' D2 L' F'
F2 R B L2 D F' D
F2 R B L2 D F' D'
F2 R B L2 D F' D2
F2 R B L2 D' F' D
F2 R B L2 D' F' D'
F2 R B L2 D' F' D2
F2 R B L2 D2 F' D
F2 R B L2 D2 F' D'
F2 R B L2 D2 F' D2
F2 R B L2 F2 D F
F2 R B L2 F2 D' F
F2 R B L2 F2 D2 F
D2 R B F2 L' R F
D2 R B F2 R L' F
F R B L2 F R F2
F' R B F' L2 R D
F' R B F' L2 R D'
F' R B F' L2 R D2
F' R B F' L2 D R
F' R B F' L2 D' R
F' R B F' L2 D2 R
B' R B F2 R F L2
F' R B F' R L2 D
F' R B F' R L2 D'
F' R B F' R L2 D2
F2 R B D' F' D L2
F2 R B D2 F' D2 L2
F2 R B F L F2 L
F2 R B F L2 F2 D
F2 R B F L2 F2 D'
F2 R B F L2 F2 D2
F2 R B F' L D L
F2 R B F' L D' L
F2 R B F' L D2 L
F2 R B F' L' D L'
F2 R B F' L' D' L'
F2 R B F' L' D2 L'
B2 R B F2 R F L2
B' R B' L2 F' B2 R'
B' R B' L2 B2 F' R'
F' R B' L2 F' R B2
F' R B' L2 F' B2 R
F' R B' L2 B2 F' R
F2 R B' L F' L B2
B2 R B' L2 F' B2 R'
F2 R B' L' B2 L' F'
B2 R B' L2 B2 F' R'
F2 R B' L2 F' B2 D
F2 R B' L2 F' B2 D'
F2 R B' L2 F' B2 D2
B R B F2 R F L2
F2 R B' L2 B2 D F'
F2 R B' L2 B2 D' F'
F2 R B' L2 B2 D2 F'
F2 R B' L2 B2 F' D
F2 R B' L2 B2 F' D'
F2 R B' L2 B2 F' D2
F R B F L2 R F2
F R B F R L2 F2
F R B F R F2 L2
B R B' L2 F' B2 R'
B R B' L2 B2 F' R'
F' R B' F' L2 R B2
F' R B' F' L2 B2 R
F' R B' F' R L2 B2
F' R B' F' R B2 L2
F2 R B' F L2 F2 B2
F2 R B' F L2 B2 F2
F2 R B' F' L' B2 L'
F2 R B' F' L2 B2 D
F2 R B' F' L2 B2 D'
F2 R B' F' L2 B2 D2
F2 R B2 L2 F' D2 B2
F R B' F' L2 B2 R'
F' R B2 F' R B' L2
D2 R' L' F' R' U2 F2
U2 R' L' B U2 L' B2
U2 R' L' B U2 B2 L'
F2 R' U L2 R2 F' B
F2 R' U L2 R2 B F'
R U' F' L2 D2 B R'
F2 R' U R2 L2 F' B
F2 R' U R2 L2 B F'
F2 R' U R2 F' L2 B
F2 R' U R2 F' B L2
F2 R' U R2 B L2 F'
F2 R' U R2 B F' L2
F2 R' U' L2 R2 F' B
F2 R' U' L2 R2 B F'
F2 R' U' R2 L2 F' B
F2 R' U' R2 L2 B F'
F2 R' U' R2 F' L2 B
F2 R' U' R2 F' B L2
F2 R' U' R2 B L2 F'
F2 R' U' R2 B F' L2
R U' F2 B R F L2
F2 R' U2 L2 R2 F' B
F2 R' U2 L2 R2 B F'
F2 R' U2 R2 L2 F' B
F2 R' U2 R2 L2 B F'
F2 R' U2 R2 F' L2 B
F2 R' U2 R2 F' B L2
F2 R' U2 R2 B L2 F'
F2 R' U2 R2 B F' L2
R U' B F2 R F L2
R U' B' L2 F' B2 R'
R U' B' L2 B2 F' R'
L' U2 L' R F' R' B'
L' U2 L' B' R F' R'
R U2 L' U2 L' F' B
R U2 L' U2 L' B F'
R U2 L' U2 B L' F'
L' U2 R L' F' R' B'
F2 R' F' R2 F' L2 B'
F' R' F' B U2 L2 R
F' R' F' B U2 R L2
F2 R' F' U2 L2 R2 F'
F2 R' F' U2 R2 L2 F'
F2 R' F' U2 R2 F' L2
F R' F' L' B U2 L'
R U2 L2 F' B2 R' B'
F2 R' F' B U2 L2 R2
F2 R' F' B U2 R2 L2
R U2 L2 B D2 F' R
R U2 L2 B2 F' R' B'
F2 R' F2 L2 R2 F' B'
F2 R' F2 L2 R2 B' F'
F2 R' F2 R2 L2 F' B'
F2 R' F2 R2 L2 B' F'
F R' F' B L' U2 L'
U2 R' B L' U2 B' L'
F2 R' B R2 B L2 F
F2 R' B U2 L2 R2 B
F2 R' B U2 R2 L2 B
F2 R' B U2 R2 B L2
F' R' B F' U2 L2 R
F' R' B F' U2 R L2
F2 R' B F' U2 L2 R2
F2 R' B F' U2 R2 L2
F R' B F' L' U2 L'
F2 R' B2 L2 R2 F B
F2 R' B2 L2 R2 B F
F2 R' B2 R2 L2 F B
F2 R' B2 R2 L2 B F
L' U2 D2 L' D F B'
L' U2 D2 L' D B' F
L' U2 D2 L' D' F B'
L' U2 D2 L' D' B' F
L' U2 D2 L' D2 F B'
L' U2 D2 L' D2 B' F
L' U2 D2 L' F D B'
L' U2 D2 L' F D' B'
L' U2 D2 L' F D2 B'
L' U2 D2 L' F B' D
L' U2 D2 L' F B' D'
L' U2 D2 L' F B' D2
L' U2 D2 L' B' D F
L' U2 D2 L' B' D' F
L' U2 D2 L' B' D2 F
L' U2 D2 L' B' F D
L' U2 D2 L' B' F D'
L' U2 D2 L' B' F D2
L2 U2 D2 L F B' U2
L2 U2 D2 L B' F U2
L' U2 D2 B L' F B'
L' U2 D2 B L' B' F
L' U2 D2 B' L' F B'
L' U2 D2 B' L' B' F
L' U2 D2 B2 L' F B'
L' U2 D2 B2 L' B' F
F2 R2 L2 F R' F' B
F2 R2 L2 F R' B F'
B' R2 L2 B2 R' F' B
B' R2 L2 B2 R' B F'
F2 R2 L2 F' R' F' B
F2 R2 L2 F' R' B F'
F2 R2 L2 F2 R' F' B
F2 R2 L2 F2 R' B F'
B2 R2 L2 B2 R' F' B
B2 R2 L2 B2 R' B F'
B R2 L2 B2 R' F' B
B R2 L2 B2 R' B F'
R U2 F' L2 D2 B R'
L' U2 B D2 L' F B'
L' U2 B D2 L' B' F
R U2 F2 B R F L2
L' U2 B' D2 L' F B'
L' U2 B' D2 L' B' F
R U2 B F2 R F L2
R U2 B' L2 F' B2 R'
R U2 B' L2 B2 F' R'
L' U2 B2 D2 L' F B'
L' U2 B2 D2 L' B' F
F2 R2 F L2 R' F' B
F2 R2 F L2 R' B F'
F2 R2 F R' L2 F' B
F2 R2 F R' L2 B F'
F2 R2 F R' F' L2 B
F2 R2 F R' F' B L2
F2 R2 F R' B L2 F'
F2 R2 F R' B F' L2
F2 R2 F' L2 R' F' B
F2 R2 F' L2 R' B F'
F2 R2 F' R' L2 F' B
F2 R2 F' R' L2 B F'
F2 R2 F' R' F' L2 B
F2 R2 F' R' F' B L2
F2 R2 F' R' B L2 F'
F2 R2 F' R' B F' L2
F2 R2 F2 L2 R' F' B
F2 R2 F2 L2 R' B F'
F2 R2 F2 R' L2 F' B
F2 R2 F2 R' L2 B F'
F2 R2 F2 R' F' L2 B
F2 R2 F2 R' F' B L2
F2 R2 F2 R' B L2 F'
F2 R2 F2 R' B F' L2
R D F2 U B R F
R' D2 L' R2 U2 F' B
R' D2 L' R2 U2 B F'
R' D2 L' F' R2 U2 F'
L2 D2 L B' U2 L' B'
R' D2 L' F' B R2 U2
R' D2 L' B R2 U2 B
R' D2 L' B F' R2 U2
R D2 L' R2 F' B U2
R D2 L' R2 B F' U2
L' D2 R U2 L' F B
L' D2 R U2 L' B F
L' D2 R U2 B L' F
D2 U2 L' R2 U2 F B'
D2 U2 L' R2 U2 B' F
U2 D2 L' R2 U2 F B'
U2 D2 L' R2 U2 B' F
R' D2 R2 L' U2 F' B
R' D2 R2 L' U2 B F'
R D2 R2 L' F' B U2
R D2 R2 L' B F' U2
D2 U2 R2 L' U2 F B'
D2 U2 R2 L' U2 B' F
R D2 R2 B L' F' U2
L' D2 U2 L' D F B'
L' D2 U2 L' D B' F
L' D2 U2 L' D' F B'
L' D2 U2 L' D' B' F
L' D2 U2 L' D2 F B'
L' D2 U2 L' D2 B' F
L' D2 U2 L' F D B'
L' D2 U2 L' F D' B'
L' D2 U2 L' F D2 B'
L' D2 U2 L' F B' D
L' D2 U2 L' F B' D'
L' D2 U2 L' F B' D2
L' D2 U2 L' B' D F
L' D2 U2 L' B' D' F
L' D2 U2 L' B' D2 F
L' D2 U2 L' B' F D
L' D2 U2 L' B' F D'
L' D2 U2 L' B' F D2
U2 D2 R2 L' U2 F B'
U2 D2 R2 L' U2 B' F
L2 D2 U2 L F B' U2
L2 D2 U2 L B' F U2
L' D2 U2 B L' F B'
L' D2 U2 B L' B' F
L' D2 U2 B' L' F B'
L' D2 U2 B' L' B' F
L' D2 U2 B2 L' F B'
L' D2 U2 B2 L' B' F
F2 U2 L' R B' L' F'
R' D2 F' R2 U2 F' R
F2 U2 L' B' L' R F'
F2 U2 L' B' R L' F'
F2 U2 R L' B' L' F'
R' D2 B L' R2 U2 B
R' D2 B L' F' R2 U2
F2 U2 R F' L' B' L'
R' D2 B R2 L' U2 B
R D2 F' D2 L2 B R'
R D2 F' D2 B L2 R'
R D2 F' D2 B R' L2
L' D2 B U2 L' F B'
L' D2 B U2 L' B' F
L' D2 B' U2 L' F B'
L' D2 B' U2 L' B' F
L' D2 B2 U2 L' F B'
L' D2 B2 U2 L' B' F
L' F R U2 F' B L
L' F R U2 B L F'
L' F R U2 B F' L
L2 F R F' B2 R' B'
L2 F R B D2 F' R
R F L2 F B R F
L2 F R B2 F' R' B'
R F L2 F2 D2 B R'
R F L2 B F R F
L' F R' F' B U2 L'
L' F R' B F' U2 L'
L2 F R2 B2 R' F' B
L2 F R2 B2 R' B F'
R F U2 B L2 F2 R
L2 F B R F' B R'
L2 F B R B F' R'
R F B L2 F R F
L2 F B2 R F' B R2
L2 F B2 R B F' R2
R F' L D2 L B R'
R2 F' L2 R' F' B R
R2 F' L2 R' B F' R
R F' L' D2 L' B R'
R F' L' D2 B L' R'
R F' L' D2 B R' L'
L2 F' R F' B2 R' B'
L2 F' R B D2 F' R
R F' L2 D2 B R' D
R F' L2 D2 B R' D'
R F' L2 D2 B R' D2
R F' L2 D2 B D R'
R F' L2 D2 B D' R'
R F' L2 D2 B D2 R'
L2 F' R B2 F' R' B'
R F' L2 F' B R F
L' F' R' F' B R U2
R F' L2 B F' R F
L' F' R' B F' R U2
R' F' R2 U2 L2 F' R
R' F' R2 U2 F' L2 R
R' F' R2 U2 F' R L2
R2 F' R' L2 F' B R
R2 F' R' L2 B F' R
R' F' R2 F' L2 R B'
R' F' R2 F' L2 B' R
R' F' R2 F' R L2 B'
R2 F' R' F' L2 B R
R2 F' R' F' B L2 R
R2 F' R' F' B R L2
R2 F' R' B L2 F' R
R2 F' R' B F' L2 R
R2 F' R' B F' R L2
L2 F' R2 B2 R' F' B
L2 F' R2 B2 R' B F'
R' F' U2 L2 R2 F' R
R' F' U2 R2 L2 F' R
R' F' U2 R2 F' L2 R
R' F' U2 R2 F' R L2
R' F' D2 B R2 U2 R
L2 F' B R F' B R'
L2 F' B R B F' R'
R F' D2 B D2 L2 R'
R F' D2 B D2 R' L2
R F' B L2 F' R F
L2 F' B2 R F' B R2
L2 F' B2 R B F' R2
U2 F2 L' R B' L' F'
R' F2 L2 R2 F' R' B'
U2 F2 L' B' L' R F'
U2 F2 L' B' R L' F'
R' F2 L2 B' R D2 F2
R' F2 L2 B' D2 R F2
R2 F2 L2 R' F' B R2
R2 F2 L2 R' B F' R2
L' F2 R U2 D F' B
L' F2 R U2 D B F'
L' F2 R U2 D' F' B
L' F2 R U2 D' B F'
L' F2 R U2 D2 F' B
L' F2 R U2 D2 B F'
L' F2 R U2 F' D B
L' F2 R U2 F' D' B
L' F2 R U2 F' D2 B
L' F2 R U2 F' B D
L' F2 R U2 F' B D'
L' F2 R U2 F' B D2
L' F2 R U2 B D F'
L' F2 R U2 B D' F'
L' F2 R U2 B D2 F'
L' F2 R U2 B F' D
L' F2 R U2 B F' D'
L' F2 R U2 B F' D2
L' F2 R D U2 F' B
L' F2 R D U2 B F'
L' F2 R D' U2 F' B
L' F2 R D' U2 B F'
D2 F2 R F2 L' F B
D2 F2 R F2 L' B F
L' F2 R D2 U2 F' B
L' F2 R D2 U2 B F'
D2 F2 R F2 B L' F
L' F2 R F U2 F2 B
L' F2 R F U2 B F2
D2 F2 R B F2 L' F
U2 F2 R L' B' L' F'
L' F2 R F2 U2 F B
L' F2 R F2 U2 B F
L' F2 R B' U2 F' B2
L' F2 R B' U2 B2 F'
L' F2 R B2 U2 F' B'
L' F2 R B2 U2 B' F'
U2 F2 R F' L' B' L'
L2 F2 R F' B2 R' B'
L2 F2 R B D2 F' R
L2 F2 R B2 F' R' B'
L' F2 R' F' R2 U2 F'
L' F2 R' F' B R2 U2
L' F2 R' B R2 U2 B
L' F2 R' B F' R2 U2
R' F2 R2 L2 F' R' B'
R F2 L2 B R D2 F2
R F2 L2 B D2 R F2
R2 F2 R' L2 F' B R2
R2 F2 R' L2 B F' R2
U' F2 U L2 R F' B
U' F2 U L2 R B F'
R2 F2 R' F' L2 B R2
R2 F2 R' F' B L2 R2
R2 F2 R' F' B R2 L2
U' F2 U R L2 F' B
U' F2 U R L2 B F'
U' F2 U R F' L2 B
U' F2 U R F' B L2
U' F2 U R B L2 F'
U' F2 U R B F' L2
R2 F2 R' B L2 F' R2
R2 F2 R' B F' L2 R2
R2 F2 R' B F' R2 L2
L2 F2 R2 B2 R' F' B
L2 F2 R2 B2 R' B F'
U2 F2 U2 L2 R F' B
U2 F2 U2 L2 R B F'
U2 F2 U2 R L2 F' B
U2 F2 U2 R L2 B F'
U2 F2 U2 R F' L2 B
U2 F2 U2 R F' B L2
U2 F2 U2 R B L2 F'
U2 F2 U2 R B F' L2
R F2 U B R F L2
R F2 U' B R F L2
D2 F2 D2 L2 R F' B
D2 F2 D2 L2 R B F'
D2 F2 D2 R L2 F' B
D2 F2 D2 R L2 B F'
R F2 U2 B R F L2
D2 F2 D2 R F' L2 B
D2 F2 D2 R F' B L2
D2 F2 D2 R B L2 F'
D2 F2 D2 R B F' L2
F2 D2 R F2 L' F B
F2 D2 R F2 L' B F
F2 D2 R F2 B L' F
F2 D2 R B F2 L' F
L' F2 B R U2 F' B
L' F2 B R U2 B F'
R' F2 B U2 L2 R B'
R' F2 B U2 L2 B' R
R' F2 B U2 R L2 B'
L2 F2 B R F' B R'
L2 F2 B R B F' R'
L' F2 B' R U2 F' B
L' F2 B' R U2 B F'
R' F2 B2 L2 R F B'
R' F2 B2 L2 R B' F
D F2 B R' U R2 B
R' F2 B2 L2 B' R F
R' F2 B2 R L2 F B'
R' F2 B2 R L2 B' F
L' F2 B2 R U2 F' B
L' F2 B2 R U2 B F'
R F2 B R F L2 D
R F2 B R F L2 D'
R F2 B R F L2 D2
R F2 B R F' L2 F2
R F2 B R F2 L2 F'
L2 F2 B2 R F' B R2
L2 F2 B2 R B F' R2
R F2 B R' F L2 R2
R F2 B R' F R2 L2
R F2 B R2 F L2 R'
R F2 B R2 F R' L2
R' B L F' L2 U2 L'
R' B L' R U2 L' B'
R' B L' R2 U2 L' B
R' B L' R2 U2 B L'
R F2 B' R F L2 B2
R F2 B' R F B2 L2
R F2 B' R B2 F L2
R' B L' F2 R F U2
R F2 B2 R F B' L2
R F2 B2 R B' F L2
R' B L2 F' L U2 L'
R' B R L' U2 L' B'
R B L D2 L F' R2
R B L D2 F' L R2
R B L D2 F' R2 L
R B L F' D2 L R2
R B L F' D2 R2 L
L' B R U2 L' F' B
L' B R U2 L' B F'
L' B R U2 B L' F'
R2 B L2 B2 R' F' B
R2 B L2 B2 R' B F'
L2 B R D2 F' B R
L2 B R D2 B F' R
L2 B R F B R' F2
L2 B R F' B R' D
L2 B R F' B R' D'
L2 B R F' B R' D2
L2 B R F' B D R'
L2 B R F' B D' R'
L2 B R F' B D2 R'
L2 B R F2 B R' F
L2 B R B D F' R'
L2 B R B D' F' R'
L2 B R B D2 F' R'
L2 B R B F R' F2
L2 B R B F' R' D
L2 B R B F' R' D'
L2 B R B F' R' D2
L2 B R B F' D R'
L2 B R B F' D' R'
L2 B R B F' D2 R'
L2 B R B F2 R' F
R B L2 U2 L U2 F'
R' B R2 L' U2 L' B
R' B R2 L' U2 B L'
R B L2 F' U2 L U2
R B L2 F' B2 R' B2
R B L2 B2 F' R' B2
L2 B R2 B R' F' B
L2 B R2 B R' B F'
R B R' F2 L2 R F'
R B R' F2 R L2 F'
R B R' F2 R F' L2
F2 B L R F' L B
L' B U2 D2 L' F B'
L' B U2 D2 L' B' F
F2 B L' R B L' F'
F' B L2 R F' B R
F' B L2 R B F' R
B' F L2 F R F' B
B' F L2 F R B F'
F2 B L2 R D F' B
F2 B L2 R D B F'
F2 B L2 R D' F' B
F2 B L2 R D' B F'
F2 B L2 R D2 F' B
F2 B L2 R D2 B F'
F2 B L2 R F' D B
F2 B L2 R F' D' B
F2 B L2 R F' D2 B
F2 B L2 R F' B D
F2 B L2 R F' B D'
F2 B L2 R F' B D2
F2 B L2 R B D F'
F2 B L2 R B D' F'
F2 B L2 R B D2 F'
F2 B L2 R B F' D
F2 B L2 R B F' D'
F2 B L2 R B F' D2
F' B L2 F' R F' B
F' B L2 F' R B F'
B2 F L2 F R F' B
B2 F L2 F R B F'
R B U2 L' U2 L' F'
F2 B L2 B R F' B
F2 B L2 B R B F'
F' B R L2 F' B R
F' B R L2 B F' R
F2 B L2 B' R F' B
F2 B L2 B' R B F'
F2 B L2 B2 R F' B
F2 B L2 B2 R B F'
R' B D2 L' R2 U2 B
R' B D2 L' F' R2 U2
F2 B R L F' L B
F2 B R L' B L' F'
F2 B R L2 D F' B
F2 B R L2 D B F'
F2 B R L2 D' F' B
F2 B R L2 D' B F'
F2 B R L2 D2 F' B
F2 B R L2 D2 B F'
F2 B R L2 F' D B
F2 B R L2 F' D' B
F2 B R L2 F' D2 B
F2 B R L2 F' B D
F2 B R L2 F' B D'
F2 B R L2 F' B D2
F2 B R L2 B D F'
F2 B R L2 B D' F'
F2 B R L2 B D2 F'
F2 B R L2 B F' D
F2 B R L2 B F' D'
F2 B R L2 B F' D2
R' B D2 R2 L' U2 B
F' B R F' L2 B R
F' B R F' B L2 R
F' B R F' B R L2
B F L2 F R F' B
B F L2 F R B F'
F' B R B L2 F' R
F' B R B F' L2 R
F' B R B F' R L2
F2 B R F L2 F2 B
F2 B R F L2 B F2
L' B D2 U2 L' F B'
F2 B R F B L2 F2
L' B D2 U2 L' B' F
F2 B R F' L' B L'
F2 B R F' L2 D B
F2 B R F' L2 D' B
F2 B R F' L2 D2 B
F2 B R F' L2 B D
F2 B R F' L2 B D'
F2 B R F' L2 B D2
F2 B R F' B L2 D
F2 B R F' B L2 D'
F2 B R F' B L2 D2
F2 B R F' B' L2 B2
F2 B R B L F' L
F2 B R B L2 D F'
F2 B R B L2 D' F'
F2 B R B L2 D2 F'
F2 B R B L2 F' D
F2 B R B L2 F' D'
F2 B R B L2 F' D2
F2 B R B F L2 F2
F2 B R B F' L2 D
F2 B R B F' L2 D'
F2 B R B F' L2 D2
F2 B R B' L2 F' B2
F2 B R B' L2 B2 F'
F2 B R B' F' L2 B2
F B L2 F R F' B
F B L2 F R B F'
L2 B F R F' B R'
L2 B F R B F' R'
L2 B F' R F' B R'
L2 B F' R B F' R'
L' B F2 R U2 F' B
L' B F2 R U2 B F'
R' B F2 U2 L2 R B'
R' B F2 U2 L2 B' R
R' B F2 U2 R L2 B'
L2 B F2 R F' B R'
L2 B F2 R B F' R'
R B F L2 F R F
D B F2 R' U R2 B
R B F' L2 F' R F
R B F2 R F L2 D
R B F2 R F L2 D'
R B F2 R F L2 D2
R B F2 R F' L2 F2
R B F2 R F2 L2 F'
R B F2 R' F L2 R2
R B F2 R' F R2 L2
R B F2 R2 F L2 R'
R B F2 R2 F R' L2
R B' L F' L B2 R'
L' B' R U2 L' F' B
L' B' R U2 L' B F'
L' B' R U2 B L' F'
R B' L' U2 L' F' B2
R B' L' U2 L' B2 F'
R B' L' U2 B2 L' F'
R2 B' L2 B2 R' F' B
R2 B' L2 B2 R' B F'
L2 B' R F' B' R' B2
R B' L2 R B2 R' F'
L2 B' R B' F' R' B2
R B' L2 F B2 R' F2
R B' L2 F' R B2 R'
R B' L2 F' R' B2 R'
R B' L2 F' R2 B2 R'
R B' L2 F' B2 R' D
R B' L2 F' B2 R' D'
R B' L2 F' B2 R' D2
