R2 U R2 B U2
R2 U' D2 L2 F'
R2 U' D2 F' L2
R2 U' F' D2 L2
U' R2 U' F' R2
R2 D B2 U' F'
B U' R2 U' R2
R2 D2 U' L2 F'
R2 D2 U' F' L2
U' L' B2 D L2 B2 F
L2 R2 D' U2 F2 U F
R2 L2 D' U2 F2 U F
L R2 D' U2 F2 U F
L' R2 D2 L U' L F'
L' R2 D2 L U' F' L
L' R2 D2 L' U' L' F'
L2 R2 D2 L U' L F'
L2 R2 D2 L U' F' L
R2 L2 D2 L U' L F'
R2 L2 D2 L U' F' L
L2 R2 D2 L' U' L' F'
L R2 D2 L U' L F'
L R2 D2 L U' F' L
R2 L2 D2 L' U' L' F'
L' R2 D2 U' L F' L
L' R2 D2 U' L2 D F'
L' R2 D2 U' L2 D' F'
L' R2 D2 U' L2 D2 F'
L' R2 D2 U' L2 F' D
L' R2 D2 U' L2 F' D'
L' R2 D2 U' L2 F' D2
L' R2 D2 U' F L2 F2
L' R2 D2 U' F' L2 D
L' R2 D2 U' F' L2 D'
L' R2 D2 U' F' L2 D2
L R2 D2 L' U' L' F'
L2 R2 D2 U' L F' L
L2 R2 D2 U' L2 D F'
L2 R2 D2 U' L2 D' F'
L2 R2 D2 U' L2 D2 F'
L2 R2 D2 U' L2 F' D
L2 R2 D2 U' L2 F' D'
L2 R2 D2 U' L2 F' D2
L2 R2 D2 U' F L2 F2
L' R2 D2 B U' L2 F'
L' R2 D2 B U' F' L2
L2 R2 D2 U' F' L2 D
L2 R2 D2 U' F' L2 D'
L2 R2 D2 U' F' L2 D2
R2 L2 D2 U' L F' L
R2 L2 D2 U' L2 D F'
R2 L2 D2 U' L2 D' F'
R2 L2 D2 U' L2 D2 F'
R2 L2 D2 U' L2 F' D
R2 L2 D2 U' L2 F' D'
R2 L2 D2 U' L2 F' D2
R2 L2 D2 U' F L2 F2
R2 L2 D2 U' F' L2 D
R2 L2 D2 U' F' L2 D'
R2 L2 D2 U' F' L2 D2
L' R2 D2 B' U' L2 F'
L' R2 D2 B' U' F' L2
L R2 D2 U' L F' L
L R2 D2 U' L2 D F'
L R2 D2 U' L2 D' F'
L R2 D2 U' L2 D2 F'
L R2 D2 U' L2 F' D
L R2 D2 U' L2 F' D'
L R2 D2 U' L2 F' D2
L R2 D2 U' F L2 F2
L R2 D2 U' F' L2 D
L R2 D2 U' F' L2 D'
L R2 D2 U' F' L2 D2
L' R2 D2 B2 U' L2 F'
L' R2 D2 B2 U' F' L2
L2 R2 D2 B U' L2 F'
L2 R2 D2 B U' F' L2
R2 L2 D2 B U' L2 F'
R2 L2 D2 B U' F' L2
L2 R2 D2 B' U' L2 F'
L2 R2 D2 B' U' F' L2
L R2 D2 B U' L2 F'
L R2 D2 B U' F' L2
R2 L2 D2 B' U' L2 F'
R2 L2 D2 B' U' F' L2
L2 R2 D2 B2 U' L2 F'
L2 R2 D2 B2 U' F' L2
L R2 D2 B' U' L2 F'
L R2 D2 B' U' F' L2
R2 L2 D2 B2 U' L2 F'
R2 L2 D2 B2 U' F' L2
L R2 D2 B2 U' L2 F'
L R2 D2 B2 U' F' L2
B' L2 R2 U R2 B2 U2
B' L2 R2 U B2 R2 U2
B' L2 R2 U' D2 L2 F2
B' L2 R2 U' D2 F2 L2
U' L2 R2 U' F R2 F2
U' L2 R2 U' F' R2 D
U' L2 R2 U' F' R2 D'
U' L2 R2 U' F' R2 D2
U' L2 R2 U' F2 R2 F
B' L2 R2 D L2 B2 U'
B2 L2 R2 U R2 U2 F
U2 L2 R2 U F' L2 B'
B' L2 R2 D B2 L2 U'
B2 L2 R2 U' D2 F L2
B2 L2 R2 U' F D2 L2
B' L2 R2 D2 U' L2 F2
B' L2 R2 D2 U' F2 L2
U' L2 R2 D' F2 U' F
B2 L2 R2 D B2 U' F
U' L2 R2 F U' R2 F2
U' L2 R2 F U' F2 R2
B2 L2 R2 D2 U' F L2
U' L2 R2 F2 U' R2 F
U' L2 R2 F2 U' F R2
F2 L2 U' R2 F2 U' F
B2 L2 U' R2 U' R2 F
B2 L2 U' R2 U' F R2
B L2 U' R2 U' R2 D
B L2 U' R2 U' R2 D'
B L2 U' R2 U' R2 D2
B L2 U' R2 D' F2 U'
B L2 U' R2 F U' R2
B L2 U' R2 F' U' R2
B L2 U' R2 F2 U' R2
L' R2 B U R2 B U2
F2 L2 U' F2 R2 U' F'
L' R2 B U' D2 L2 F'
L' R2 B U' D2 F' L2
L' R2 B U' F' D2 L2
B L2 U' F R2 U' R2
B L2 U' F' R2 U' R2
L' R2 B D B2 U' F'
B L2 U' F2 R2 U' R2
F L2 U' F' R2 U' F'
L' R2 B D2 U' L2 F'
L' R2 B D2 U' F' L2
L2 R2 B U R2 B U2
R2 L2 B U R2 B U2
L2 R2 B U' D2 L2 F'
L2 R2 B U' D2 F' L2
L2 R2 B U' F' D2 L2
D L2 U' B2 D L2 F
L R2 B U R2 B U2
R2 L2 B U' D2 L2 F'
R2 L2 B U' D2 F' L2
R2 L2 B U' F' D2 L2
L R2 B U' D2 L2 F'
L R2 B U' D2 F' L2
L R2 B U' F' D2 L2
L2 R2 B D B2 U' F'
R2 L2 B D B2 U' F'
L2 R2 B D2 U' L2 F'
L2 R2 B D2 U' F' L2
L R2 B D B2 U' F'
U2 L2 U2 R2 U' L2 F'
U2 L2 U2 R2 U' F' L2
R2 L2 B D2 U' L2 F'
R2 L2 B D2 U' F' L2
F2 L2 U2 D R2 F' B2
F2 L2 U2 D R2 B2 F'
L R2 B D2 U' L2 F'
L R2 B D2 U' F' L2
L' R2 B' U R2 B U2
B L2 U2 D B2 D' R2
L' R2 B' U' D2 L2 F'
L' R2 B' U' D2 F' L2
L' R2 B' U' F' D2 L2
L' R2 B' D B2 U' F'
L' R2 B' D2 U' L2 F'
L' R2 B' D2 U' F' L2
L2 R2 B' U R2 B U2
R2 L2 B' U R2 B U2
L2 R2 B' U' D2 L2 F'
L2 R2 B' U' D2 F' L2
L2 R2 B' U' F' D2 L2
L R2 B' U R2 B U2
R2 L2 B' U' D2 L2 F'
R2 L2 B' U' D2 F' L2
R2 L2 B' U' F' D2 L2
L R2 B' U' D2 L2 F'
L R2 B' U' D2 F' L2
L R2 B' U' F' D2 L2
L2 R2 B' D B2 U' F'
R2 L2 B' D B2 U' F'
L2 R2 B' D2 U' L2 F'
L2 R2 B' D2 U' F' L2
L R2 B' D B2 U' F'
R2 L2 B' D2 U' L2 F'
R2 L2 B' D2 U' F' L2
L R2 B' D2 U' L2 F'
L R2 B' D2 U' F' L2
F2 L2 D U2 R2 F' B2
F2 L2 D U2 R2 B2 F'
L' R2 B2 U R2 B U2
L' R2 B2 U' D2 L2 F'
L' R2 B2 U' D2 F' L2
L' R2 B2 U' F' D2 L2
B L2 D U2 B2 D' R2
U' L2 D B2 D L2 F
F2 L2 D B U2 B R2
L' R2 B2 D B2 U' F'
L' R2 B2 D2 U' L2 F'
L' R2 B2 D2 U' F' L2
L2 R2 B2 U R2 B U2
R2 L2 B2 U R2 B U2
L2 R2 B2 U' D2 L2 F'
L2 R2 B2 U' D2 F' L2
R L2 B2 R U' L F'
L2 R2 B2 U' F' D2 L2
R L2 B2 R U' F' L
L R2 B2 U R2 B U2
R2 L2 B2 U' D2 L2 F'
R2 L2 B2 U' D2 F' L2
R2 L2 B2 U' F' D2 L2
F2 L2 D' L2 F2 B U2
F2 L2 D' L2 B F2 U2
L R2 B2 U' D2 L2 F'
L R2 B2 U' D2 F' L2
L R2 B2 U' F' D2 L2
L2 R2 B2 D B2 U' F'
R2 L2 B2 D B2 U' F'
L2 R2 B2 D2 U' L2 F'
L2 R2 B2 D2 U' F' L2
L R2 B2 D B2 U' F'
R2 L2 B2 D2 U' L2 F'
R2 L2 B2 D2 U' F' L2
L R2 B2 D2 U' L2 F'
L R2 B2 D2 U' F' L2
F2 L2 D' F2 L2 B U2
F2 L2 D' F2 B L2 U2
R2 U L R2 B L' U2
F2 L2 D' B L2 F2 U2
F2 L2 D' B F2 L2 U2
B L2 D' F2 U' F2 U'
B L2 D' F2 U2 D R2
B L2 D' F2 D U2 R2
B L2 D' F2 D' L2 U2
U L2 D2 L2 U R2 F'
U' L2 F R2 U' F' R2
B L2 F U' F' R2 U'
R2 U L2 R2 B L2 U2
U' L2 F' R2 U' F' R2
B L2 F' U' R2 F U'
B L2 F' U' F R2 U'
R2 U R D R B U2
R2 U R D' R B U2
U' L2 F2 R2 U' F' R2
R2 U R D2 R B U2
D' L2 F2 U2 D R2 F'
D' L2 F2 D U2 R2 F'
D' L2 F2 D B U2 R2
D' L2 F2 D' L2 B U2
D' L2 F2 D' B L2 U2
R2 U R B R B U2
R2 U R B' R B U2
D' L2 F2 B U' F2 U'
D' L2 F2 B U2 D R2
D' L2 F2 B D U2 R2
D' L2 F2 B D' L2 U2
R2 U R B2 R B U2
B L2 F2 U' R2 F2 U'
B L2 F2 U' F2 R2 U'
B L2 F2 U2 D R2 B2
B L2 F2 U2 D B2 R2
B L2 F2 D U2 R2 B2
B L2 F2 D U2 B2 R2
B L2 F2 D' L2 F2 U2
B L2 F2 D' F2 L2 U2
R U R' U' R2 U' F'
R U R' D B U2 B
F' L2 B D L2 U2 B2
R U R' D' F2 B U2
R U R' D' B F2 U2
F2 L2 B U' R2 F2 U'
F' L2 B D' F2 U2 R2
F2 L2 B U' F2 R2 U'
F2 L2 B U2 D R2 B2
F2 L2 B U2 D B2 R2
F2 L2 B D U2 R2 B2
F2 L2 B D U2 B2 R2
F2 L2 B D' L2 F2 U2
D' L2 B F2 U' F2 U'
D' L2 B F2 U2 D R2
F2 L2 B D' F2 L2 U2
D' L2 B F2 D U2 R2
D' L2 B F2 D' L2 U2
R2 U R2 L B L' U2
R U R' B U' R2 U'
R U R' B U2 D B2
R U R' B D U2 B2
R U R' B D' F2 U2
F L2 B U' F' R2 U'
R2 U R2 L2 B L2 U2
R2 U R2 U R2 U F'
R2 U R2 U2 R2 F' R2
R2 U R2 D B U2 D
R2 U R2 D B U2 D'
R2 U R2 D B U2 D2
R2 U R2 D B D U2
R2 U R2 D B D' U2
R2 U R2 D B D2 U2
R2 U R2 D' B U2 D
R2 U R2 D' B U2 D'
R2 U R2 D' B U2 D2
R2 U R2 D' B D U2
R2 U R2 D' B D' U2
R2 U R2 D' B D2 U2
R2 U R2 D2 B U2 D
R2 U R2 D2 B U2 D'
R2 U R2 D2 B U2 D2
R2 U R2 D2 B D U2
R2 U R2 D2 B D' U2
R2 U R2 D2 B D2 U2
R2 U R2 B' U2 D2 F2
R2 U R2 B' D2 U2 F2
R2 U R2 B2 D B' U2
R2 U R2 B2 D' B' U2
R2 U R2 B2 D2 B' U2
B' L2 B2 U' R2 U' R2
U' L2 B2 D L2 F B2
U' L2 B2 D L2 B2 F
R2 U D2 R2 B U2 L2
R2 U D2 B U2 L2 F'
R2 U D2 B U2 F' L2
R2 U D2 B' U2 L2 F'
R2 U D2 B' U2 F' L2
R2 U D2 B2 U2 L2 F'
R2 U D2 B2 U2 F' L2
R2 U F R2 U2 F2 B
R2 U F R2 U2 B F2
D' R U R' F2 B U2
D' R U R' B F2 U2
R2 U F' R2 F U2 F'
U2 R U R U' F' R'
D' R U F2 R' B U2
D R U R' B U2 B
R2 U F2 R2 F2 U2 F'
R2 U B R2 D B U2
R2 U B R2 D' B U2
R2 U B R2 D2 B U2
R2 U B R2 B U2 D
R2 U B R2 B U2 D'
R2 U B R2 B U2 D2
R2 U B R2 B D U2
R2 U B R2 B D' U2
R2 U B R2 B D2 U2
R2 U B U2 D2 L2 F'
R2 U B U2 D2 F' L2
R2 U B U2 F' D2 L2
R2 U B D2 U2 L2 F'
R2 U B D2 U2 F' L2
U R U2 R U' F' R'
R2 U B' R2 D B U2
R2 U B' R2 D' B U2
R2 U B' R2 D2 B U2
R2 U B' R2 B U2 D
R2 U B' R2 B U2 D'
R2 U B' R2 B U2 D2
R2 U B' R2 B D U2
R2 U B' R2 B D' U2
R2 U B' R2 B D2 U2
R2 U B' U2 D2 L2 F'
R2 U B' U2 D2 F' L2
R2 U B' U2 F' D2 L2
R2 U B' D2 U2 L2 F'
R2 U B' D2 U2 F' L2
R2 U B2 R2 D B U2
R2 U B2 R2 D' B U2
R2 U B2 R2 D2 B U2
R2 U B2 R2 B U2 D
R2 U B2 R2 B U2 D'
R2 U B2 R2 B U2 D2
R2 U B2 R2 B D U2
R2 U B2 R2 B D' U2
R2 U B2 R2 B D2 U2
R2 U B2 U2 D2 L2 F'
R2 U B2 U2 D2 F' L2
L' U' L R2 U' F' R2
R2 U B2 U2 F' D2 L2
R2 U B2 D2 U2 L2 F'
R2 U B2 D2 U2 F' L2
L2 U' L R2 U' F' R2
L U' L R2 U' F' R2
R2 U' L U2 R2 B U2
R2 U' L D F' D L2
R2 U' L D2 L F' L
R2 U' L D2 L2 D F'
R2 U' L D2 L2 D' F'
R2 U' L D2 L2 D2 F'
R2 U' L D2 L2 F' D
R2 U' L D2 L2 F' D'
R2 U' L D2 L2 F' D2
R2 U' L D2 F L2 F2
R2 U' L D2 F' L2 D
R2 U' L D2 F' L2 D'
R2 U' L D2 F' L2 D2
L' U' L' R2 U' F' R2
R2 U' L F' L D2 L2
R2 U' L F' L' D2 L2
R2 U' L F' L2 D2 L2
R2 U' L F' U2 R2 U2
R2 U' L F' D2 L2 D
R2 U' L F' D2 L2 D'
R2 U' L F' D2 L2 D2
R2 U' L F2 D2 F L2
L2 U' L' R2 U' F' R2
L U' L' R2 U' F' R2
R2 U' L' U2 R2 B U2
R2 U' L' D F' D L2
R2 U' L' D2 L F' L
R2 U' L' D2 L2 D F'
R2 U' L' D2 L2 D' F'
R2 U' L' D2 L2 D2 F'
R2 U' L' D2 L2 F' D
R2 U' L' D2 L2 F' D'
R2 U' L' D2 L2 F' D2
R2 U' L' D2 F L2 F2
R2 U' L' D2 F' L2 D
R2 U' L' D2 F' L2 D'
R2 U' L' D2 F' L2 D2
L' U' L2 R2 U' F' R2
R2 U' L' F' L D2 L2
R2 U' L' F' L' D2 L2
R2 U' L' F' L2 D2 L2
R2 U' L' F' U2 R2 U2
R2 U' L' F' D2 L2 D
R2 U' L' F' D2 L2 D'
R2 U' L' F' D2 L2 D2
R2 U' L' F2 D2 F L2
L2 U' L2 R2 U' F' R2
L U' L2 R2 U' F' R2
R2 U' L2 U2 R2 B U2
R2 U' L2 D F' D L2
R2 U' L2 D2 L F' L
R2 U' L2 D2 L2 D F'
R2 U' L2 D2 L2 D' F'
R2 U' L2 D2 L2 D2 F'
R2 U' L2 D2 L2 F' D
R2 U' L2 D2 L2 F' D'
R2 U' L2 D2 L2 F' D2
R2 U' L2 D2 F L2 F2
R2 U' L2 D2 F' L2 D
R2 U' L2 D2 F' L2 D'
R2 U' L2 D2 F' L2 D2
R2 U' L2 F' L D2 L2
R2 U' L2 F' L' D2 L2
R2 U' L2 F' L2 D2 L2
R2 U' L2 F' U2 R2 U2
R2 U' L2 F' D2 L2 D
R2 U' L2 F' D2 L2 D'
R2 U' L2 F' D2 L2 D2
R2 U' L2 F2 D2 F L2
R2 U' R F' R' F' L'
R2 U' R F2 L' R' F'
R2 U' R F2 R' L' F'
L' U' R2 L U' F' R2
L' U' R2 L' U' F' R2
L' U' R2 L2 U' F' R2
L' U' R2 U' F R2 F2
L' U' R2 U' F' R2 D
L' U' R2 U' F' R2 D'
L' U' R2 U' F' R2 D2
L' U' R2 U' F2 R2 F
L2 U' R2 L U' F' R2
L2 U' R2 L' U' F' R2
L2 U' R2 L2 U' F' R2
L' U' R2 D' F2 U' F
L' U' R2 F U' R2 F2
L' U' R2 F U' F2 R2
L2 U' R2 U' F R2 F2
L2 U' R2 U' F' R2 D
L2 U' R2 U' F' R2 D'
L2 U' R2 U' F' R2 D2
L2 U' R2 U' F2 R2 F
L U' R2 L U' F' R2
L' U' R2 F2 U' R2 F
L' U' R2 F2 U' F R2
L U' R2 L' U' F' R2
L2 U' R2 D' F2 U' F
L U' R2 L2 U' F' R2
L2 U' R2 F U' R2 F2
L2 U' R2 F U' F2 R2
L U' R2 U' F R2 F2
L U' R2 U' F' R2 D
L U' R2 U' F' R2 D'
L U' R2 U' F' R2 D2
L U' R2 U' F2 R2 F
L2 U' R2 F2 U' R2 F
L2 U' R2 F2 U' F R2
L U' R2 D' F2 U' F
L U' R2 F U' R2 F2
L U' R2 F U' F2 R2
R2 U' R2 B U2 R2 B'
R2 U' R2 B U2 B' R2
L U' R2 F2 U' R2 F
L U' R2 F2 U' F R2
R2 U' D L D L2 F'
R2 U' D L D F' L2
R2 U' D L F' D L2
R2 U' D L' D L2 F'
R2 U' D L' D F' L2
R2 U' D L' F' D L2
R2 U' D L2 D L2 F'
R2 U' D L2 D F' L2
R2 U' D L2 F' D L2
L' U' D B2 D L2 F
R2 U' D F' L D L2
R2 U' D F' L' D L2
R2 U' D F' L2 D L2
R2 U' D F' U B2 U'
R2 U' D F' D L2 D
R2 U' D F' D L2 D'
R2 U' D F' D L2 D2
L2 U' D B2 D L2 F
R2 U' D F2 D F L2
R2 U' D' L D' L2 F'
R2 U' D' L D' F' L2
R2 U' D' L' D' L2 F'
R2 U' D' L' D' F' L2
L U' D B2 D L2 F
R2 U' D' L2 D' L2 F'
R2 U' D' L2 D' F' L2
R2 U' D' F' U' F' U
R2 U' D2 L D L F'
R2 U' D2 L D F' L
R2 U' D2 L D' L F'
R2 U' D2 L D' F' L
R2 U' D2 L D2 L F'
R2 U' D2 L D2 F' L
R2 U' D2 L F L F2
R2 U' D2 L F' L D
R2 U' D2 L F' L D'
R2 U' D2 L F' L D2
R2 U' D2 L F' D L
R2 U' D2 L F' D' L
R2 U' D2 L F' D2 L
R2 U' D2 L' D L' F'
R2 U' D2 L' D' L' F'
R2 U' D2 L' D2 L' F'
R2 U' D2 L2 D F' D
R2 U' D2 L2 D F' D'
R2 U' D2 L2 D F' D2
R2 U' D2 L2 D' F' D
R2 U' D2 L2 D' F' D'
R2 U' D2 L2 D' F' D2
R2 U' D2 L2 D2 F' D
R2 U' D2 L2 D2 F' D'
R2 U' D2 L2 D2 F' D2
R2 U' D2 L2 F2 D F
R2 U' D2 L2 F2 D' F
R2 U' D2 L2 F2 D2 F
R2 U' D2 F L F2 L
R2 U' D2 F L2 F2 D
R2 U' D2 F L2 F2 D'
R2 U' D2 F L2 F2 D2
R2 U' D2 F' L D L
R2 U' D2 F' L D' L
R2 U' D2 F' L D2 L
R2 U' D2 F' L' D L'
R2 U' D2 F' L' D' L'
R2 U' D2 F' L' D2 L'
R2 U' D2 F' B' L2 B
R2 U' D2 F' B2 L2 B2
L' U' F R2 U' F' R2
R2 U' D2 B' L2 F' B
R2 U' D2 B' L2 B F'
R2 U' D2 B' F' L2 B
R2 U' D2 B2 L2 F' B2
R2 U' D2 B2 L2 B2 F'
R2 U' D2 B2 F' L2 B2
R2 U' F L F2 D2 L2
R2 U' F L' F2 D2 L2
L2 U' F R2 U' F' R2
R2 U' F L2 F2 D2 L2
R2 U' F R F2 L' R'
R2 U' F R F2 R' L'
R2 U' F U2 R2 U2 F2
L U' F R2 U' F' R2
R2 U' F D2 L2 D2 F2
L' U' F' R2 U' F' R2
R2 U' F' L U2 R2 U2
R2 U' F' L D2 L2 D
R2 U' F' L D2 L2 D'
R2 U' F' L D2 L2 D2
R2 U' F' L' U2 R2 U2
R2 U' F' L' D2 L2 D
R2 U' F' L' D2 L2 D'
R2 U' F' L' D2 L2 D2
R2 U' F' L2 U2 R2 U2
L2 U' F' R2 U' F' R2
R2 U' F' L2 D2 L2 D
R2 U' F' L2 D2 L2 D'
R2 U' F' L2 D2 L2 D2
R2 U' F' U D B2 U'
R2 U' F' U' D' F2 U
R2 U' F' U2 R2 U2 D
R2 U' F' U2 R2 U2 D'
R2 U' F' U2 R2 U2 D2
R2 U' F' U2 R2 D U2
R2 U' F' U2 R2 D' U2
R2 U' F' U2 R2 D2 U2
L U' F' R2 U' F' R2
R2 U' F' D L D L2
R2 U' F' D L' D L2
R2 U' F' D L2 D L2
R2 U' F' D U B2 U'
R2 U' F' D' L D' L2
R2 U' F' D' L' D' L2
R2 U' F' D' L2 D' L2
R2 U' F' D' U' F2 U
R2 U' F' D2 L D L
R2 U' F' D2 L D' L
R2 U' F' D2 L D2 L
R2 U' F' D2 L' D L'
R2 U' F' D2 L' D' L'
R2 U' F' D2 L' D2 L'
L' U' F2 R2 U' F' R2
R2 U' F' D2 F L2 F'
R2 U' F' D2 F2 L2 F2
R2 U' F' D2 B' L2 B
R2 U' F' D2 B2 L2 B2
R2 U' F' B D2 B' L2
R2 U' F' B' D2 L2 B
R2 U' F' B' D2 B L2
L2 U' F2 R2 U' F' R2
R2 U' F2 L2 D2 L2 F
R2 U' F2 U2 R2 U2 F
L U' F2 R2 U' F' R2
R2 U' F2 D F D L2
R2 U' F2 D2 F L2 D
R2 U' F2 D2 F L2 D'
R2 U' F2 D2 F L2 D2
R2 U' F2 D2 F' L2 F2
R2 U' F2 D2 F2 L2 F'
R2 U' B D2 F' B' L2
R2 U' B D2 B' L2 F'
R2 U' B D2 B' F' L2
R2 U' B F' D2 B' L2
U' R' D R' U' F' R2
R2 U' B' D2 L2 F' B
R2 U' B' D2 L2 B F'
R2 U' B' D2 F' L2 B
R2 U' B' D2 F' B L2
R2 U' B' D2 B L2 F'
R2 U' B' D2 B F' L2
R2 U' B' F' D2 L2 B
R2 U' B' F' D2 B L2
L' U' B2 D L2 F B2
L' U' B2 D L2 B2 F
U' R' D' R' U' F' R2
L2 U' B2 D L2 F B2
L2 U' B2 D L2 B2 F
L U' B2 D L2 F B2
L U' B2 D L2 B2 F
U' R' D2 R' U' F' R2
U' R' F R' U' F' R
F2 R' F2 R' U' L' F'
R2 U2 R' U' R' B U2
B' R2 L U R2 B2 U2
B' R2 L U B2 R2 U2
B' R2 L U' D2 L2 F2
B' R2 L U' D2 F2 L2
U' R2 L U' F R2 F2
U' R2 L U' F' R2 D
U' R2 L U' F' R2 D'
U' R2 L U' F' R2 D2
U' R2 L U' F2 R2 F
B' R2 L D L2 B2 U'
B' R2 L D B2 L2 U'
U' R2 L D' F2 U' F
B' R2 L D2 U' L2 F2
B' R2 L D2 U' F2 L2
U' R2 L F U' R2 F2
U' R2 L F U' F2 R2
R2 U2 D' F2 R U F
R2 U2 D' F2 R' U F
R2 U2 D' F2 R2 U F
R2 U2 D' F2 U D F
R2 U2 D' F2 U D' F
R2 U2 D' F2 U D2 F
R2 U2 D' F2 U F D
R2 U2 D' F2 U F D'
R2 U2 D' F2 U F D2
R2 U2 D' F2 D U F
R2 U2 D' F2 D' U F
R2 U2 D' F2 D2 U F
U' R2 L F2 U' R2 F
U' R2 L F2 U' F R2
B' R2 L' U R2 B2 U2
B' R2 L' U B2 R2 U2
B' R2 L' U' D2 L2 F2
B' R2 L' U' D2 F2 L2
U' R2 L' U' F R2 F2
U' R2 L' U' F' R2 D
U' R2 L' U' F' R2 D'
U' R2 L' U' F' R2 D2
U' R2 L' U' F2 R2 F
B' R2 L' D L2 B2 U'
B' R2 L' D B2 L2 U'
U' R2 L' D' F2 U' F
R2 U2 D2 F U L2 F2
R2 U2 D2 F U F2 L2
B' R2 L' D2 U' L2 F2
B' R2 L' D2 U' F2 L2
U' R2 L' F U' R2 F2
U' R2 L' F U' F2 R2
R2 U2 D2 F2 U F L2
U' R2 L' F2 U' R2 F
U' R2 L' F2 U' F R2
B' R2 L2 U R2 B2 U2
B' R2 L2 U B2 R2 U2
B' R2 L2 U' D2 L2 F2
B' R2 L2 U' D2 F2 L2
U' R2 L2 U' F R2 F2
U' R2 L2 U' F' R2 D
U' R2 L2 U' F' R2 D'
U' R2 L2 U' F' R2 D2
U' R2 L2 U' F2 R2 F
R2 U2 F R U F2 L'
B' R2 L2 D L2 B2 U'
B2 R2 L2 U R2 U2 F
B' R2 L2 D B2 L2 U'
U' R2 L2 D' F2 U' F
B2 R2 L2 U' D2 F L2
B2 R2 L2 U' F D2 L2
B' R2 L2 D2 U' L2 F2
B' R2 L2 D2 U' F2 L2
R2 U2 F U F2 D2 L2
U2 R2 L2 U F' L2 B'
R2 U2 F U' R2 U2 F2
U' R2 L2 F U' R2 F2
U' R2 L2 F U' F2 R2
B2 R2 L2 D B2 U' F
U' R2 L2 F2 U' R2 F
U' R2 L2 F2 U' F R2
B2 R2 L2 D2 U' F L2
U' R2 U L U2 F' R2
U' R2 U L' U2 F' R2
U' R2 U L2 U2 F' R2
B' R2 U R B2 R U2
D' R2 U R2 F2 B U2
D' R2 U R2 B F2 U2
B' R2 U R' B2 U2 L
B' R2 U R2 U2 D2 F2
B' R2 U R2 D2 U2 F2
B' R2 U R2 B2 U2 D
B' R2 U R2 B2 U2 D'
B' R2 U R2 B2 U2 D2
B' R2 U R2 B2 D U2
B' R2 U R2 B2 D' U2
B' R2 U R2 B2 D2 U2
B2 R2 U R B' R U2
U' R2 U D2 L2 U2 F'
B2 R2 U R2 D B' U2
B2 R2 U R2 D' B' U2
B2 R2 U R2 D2 B' U2
B2 R2 U R2 B' U2 D
B2 R2 U R2 B' U2 D'
B2 R2 U R2 B' U2 D2
B2 R2 U R2 B' D U2
B2 R2 U R2 B' D' U2
B2 R2 U R2 B' D2 U2
D' R2 U F2 R2 U2 F
B2 R2 U D2 B' U2 L2
B' R2 U B R2 U2 F'
R2 U2 F' D' F2 U F2
U' R2 U B U2 F' R2
B' R2 U B' R2 B' U2
U' R2 U B' U2 F' R2
B' R2 U B2 R2 U2 D
B' R2 U B2 R2 U2 D'
B' R2 U B2 R2 U2 D2
B' R2 U B2 R2 D U2
B' R2 U B2 R2 D' U2
B' R2 U B2 R2 D2 U2
B' R2 U B2 U2 D2 L2
U' R2 U B2 U2 F' R2
B' R2 U B2 D2 U2 L2
B R2 U R2 U R2 U
B R2 U R2 U2 D' F2
B R2 U R2 D B2 U2
B R2 U R2 D' U2 F2
B2 R2 U B R2 B2 U2
B' R2 U' L D2 L2 F2
B' R2 U' L D2 F2 L2
D R2 U R2 B U2 B
B2 R2 U B' R2 U2 D
B2 R2 U B' R2 U2 D'
B2 R2 U B' R2 U2 D2
B2 R2 U B' R2 D U2
B2 R2 U B' R2 D' U2
B2 R2 U B' R2 D2 U2
B' R2 U' L' D2 L2 F2
B' R2 U' L' D2 F2 L2
B2 R2 U B' U2 D2 L2
U' R2 U' L' F' L R2
U' R2 U' L' F' R2 L
B2 R2 U B' D2 U2 L2
B2 R2 U B2 R2 U2 F'
B' R2 U' L2 D2 L2 F2
B' R2 U' L2 D2 F2 L2
U' R2 U' L2 F' L2 R2
U' R2 U' L2 F' R2 L2
U' R2 U' R2 U2 B U2
B2 R2 U' L2 D2 F L2
B2 R2 U' L2 F D2 L2
U' R2 U' D F' D' R2
D' R2 U' D2 L2 F' B2
D' R2 U' D2 L2 B2 F'
D' R2 U' D2 F' L2 B2
D' R2 U' D2 F' B2 L2
D' R2 U' D2 B2 L2 F'
D' R2 U' D2 B2 F' L2
R2 U2 F2 U D2 F L2
B' R2 U' D2 L F2 L
R2 U2 F2 U F D2 L2
B' R2 U' D2 L2 F2 D
B' R2 U' D2 L2 F2 D'
B' R2 U' D2 L2 F2 D2
B' R2 U' D2 F' L2 F'
U' R2 U' D2 F' D2 R2
B' R2 U' D2 F2 L2 D
B' R2 U' D2 F2 L2 D'
B' R2 U' D2 F2 L2 D2
R2 U2 F2 U' R2 U2 F
U' R2 U' F R' F2 R'
U' R2 U' F R2 F2 D
U' R2 U' F R2 F2 D'
U' R2 U' F R2 F2 D2
B' R2 U' F D2 L2 F2
B' R2 U' F D2 F2 L2
U' R2 U' F' R D R
U' R2 U' F' R D' R
U' R2 U' F' R D2 R
U' R2 U' F' R' D R'
U' R2 U' F' R' D' R'
U' R2 U' F' R' D2 R'
