U' L2 U' R2 B
U2 R2 D F2 B
U2 R2 D B F2
U2 R2 B D F2
F' U' L2 U' R2
F' U2 R2 D F2
U2 R2 D2 F D' B F2
U2 R2 D2 F B D' F2
U2 R2 D2 F' D' F2 B
U2 R2 D2 F' D' B F2
U2 R2 D2 F' B D' F2
U2 R2 D2 F2 D' F2 B
U2 R2 D2 F2 D' B F2
U2 R2 D2 F2 B D' F2
F R2 D2 L2 B2 D' F2
U2 R2 D2 B U' R2 U
U2 R2 D2 B D' F2 D
U2 R2 D2 B D' F2 D'
U2 R2 D2 B D' F2 D2
U2 R2 D2 B F D' F2
U2 R2 D2 B F' D' F2
U2 R2 D2 B F2 D' F2
U2 R2 D2 B2 D' F2 B'
U2 R2 D2 B2 D' B' F2
U R2 D2 R2 U R2 B
B R2 D2 B L2 D' F2
U2 R2 F U L2 U' B
R2 D L' F2 D L2 B
R2 D L' F2 D B L2
F R2 D2 B2 L2 D' F2
U2 R2 F D F2 D B
U2 R2 F D F2 D' B
U2 R2 F D F2 D2 B
U2 R2 F D F2 B D
U2 R2 F D F2 B D'
U2 R2 F D F2 B D2
U2 R2 F D B F2 D
U2 R2 F D B F2 D'
U2 R2 F D B F2 D2
U2 R2 F D2 B D' F2
U2 R2 F B U L2 U'
U2 R2 F B D F2 D
U2 R2 F B D F2 D'
U2 R2 F B D F2 D2
U2 R2 F B2 D F2 B'
U2 R2 F B2 D B' F2
U2 R2 F' U L2 U' B
R2 D L2 F2 D L2 B
R2 D L2 F2 D B L2
U2 R2 F' D F2 D B
U2 R2 F' D F2 D' B
U2 R2 F' D F2 D2 B
U2 R2 F' D F2 B D
U2 R2 F' D F2 B D'
U2 R2 F' D F2 B D2
U2 R2 F' D B F2 D
U2 R2 F' D B F2 D'
U2 R2 F' D B F2 D2
U2 R2 F' D2 B D' F2
U2 R2 F' B U L2 U'
U2 R2 F' B D F2 D
U2 R2 F' B D F2 D'
U2 R2 F' B D F2 D2
U2 R2 F' B2 D F2 B'
U2 R2 F' B2 D B' F2
U2 R2 F2 U L2 U' B
U2 R2 F2 D F2 D B
U2 R2 F2 D F2 D' B
U2 R2 F2 D F2 D2 B
U2 R2 F2 D F2 B D
U2 R2 F2 D F2 B D'
U2 R2 F2 D F2 B D2
U2 R2 F2 D B F2 D
U2 R2 F2 D B F2 D'
U2 R2 F2 D B F2 D2
U2 R2 F2 D2 B D' F2
U2 R2 F2 B U L2 U'
U2 R2 F2 B D F2 D
U2 R2 F2 B D F2 D'
U2 R2 F2 B D F2 D2
U2 R2 F2 B2 D F2 B'
U2 R2 F2 B2 D B' F2
U' R2 B U B' L2 U'
R D R F2 D2 L2 B
R D R F2 D2 B L2
R D R F2 B D2 L2
R D R B F2 D2 L2
U2 R2 B R D R' F2
U2 R2 B R D F2 R'
B' R2 B D F2 D L2
U2 R2 B R' D R F2
B' R2 B D2 L2 D' F2
U2 R2 B U L2 U' D
U2 R2 B U L2 U' D'
U2 R2 B U L2 U' D2
U2 R2 B U L2 D U'
U2 R2 B U L2 D' U'
U2 R2 B U L2 D2 U'
B2 R2 B D F2 D L2
U2 R2 B U' D2 R2 U
U2 R2 B U2 D' B2 U2
B2 R2 B D2 L2 D' F2
U2 R2 B D L' F2 L
U2 R2 B D L2 F2 L2
U2 R2 B D R F2 R'
U2 R2 B D R2 F2 R2
U2 R2 B D F D F
U2 R2 B D F D' F
U2 R2 B D F D2 F
U2 R2 B D F' D F'
U2 R2 B D F' D' F'
U2 R2 B D F' D2 F'
R D R' U2 R2 F2 B
R D R' U2 R2 B F2
U2 R2 B D' U2 B2 U2
U2 R2 B D' F D2 F2
U2 R2 B D' F' D2 F2
U2 R2 B D' F2 D2 F2
U2 R2 B D2 U' R2 U
U2 R2 B D2 F D' F2
U2 R2 B D2 F' D' F2
U2 R2 B D2 F2 D' F2
U2 R2 B F U L2 U'
U2 R2 B F D F2 D
U2 R2 B F D F2 D'
U2 R2 B F D F2 D2
U2 R2 B F' U L2 U'
U2 R2 B F' D F2 D
U2 R2 B F' D F2 D'
U2 R2 B F' D F2 D2
U2 R2 B F2 U L2 U'
U2 R2 B F2 D F2 D
U2 R2 B F2 D F2 D'
U2 R2 B F2 D F2 D2
B R2 B D F2 D L2
R D R' F' U2 F' R2
B R2 B D2 L2 D' F2
U R2 B U L2 U' L2
U2 R2 B' U L2 U' B2
U R2 B D F2 D' L2
U2 R2 B' D F2 D' B2
R D R2 F2 L' R' B
R D R2 F2 R' L' B
R D R2 F2 R' B L'
U' R2 B2 D F2 B' L2
U' R2 B2 D B' L2 F2
U' R2 B2 D B' F2 L2
R2 D U B2 U' F2 B'
R2 D U B2 U' B' F2
U2 R2 B2 D F2 D B'
U2 R2 B2 D F2 D' B'
U2 R2 B2 D F2 D2 B'
U2 R2 B2 D F2 B' D
U2 R2 B2 D F2 B' D'
U2 R2 B2 D F2 B' D2
U2 R2 B2 D B' F2 D
U2 R2 B2 D B' F2 D'
U2 R2 B2 D B' F2 D2
U2 R2 B2 D2 B' D' F2
U2 R2 B2 F D F2 B'
U2 R2 B2 F D B' F2
U2 R2 B2 F' D F2 B'
U2 R2 B2 F' D B' F2
U2 R2 B2 F2 D F2 B'
U2 R2 B2 F2 D B' F2
R2 D F D F L2 B
R2 D F D F B L2
R2 D F D B F L2
F2 U L2 U B' R2 F'
R' D F2 L' D' R' B
F' U R U R D F2
F' U R U D R F2
F' U R U2 L2 U' R
R2 D F' D L2 F' B
R2 D F' D L2 B F'
R2 D F' D F' L2 B
R2 D F' D F' B L2
R2 D F' D B L2 F'
R2 D F' D B F' L2
F' U R D U R F2
R' D F2 D' L' R' B
R' D F2 D' R' L' B
R' D F2 D' R' B L'
F' U R D2 R2 U R'
R2 D F2 L D L2 B
R2 D F2 L D B L2
L D F' U B2 R' U
R2 D F2 L' D L2 B
R2 D F2 L' D B L2
R2 D F2 L2 D L2 B
R2 D F2 L2 D B L2
R2 D F2 U B2 U' B'
F' U R' U R' D F2
F' U R' U D R' F2
F' U R' U D F2 R'
F' U R' U2 L2 U' R'
R2 D F2 D L' B L'
R2 D F2 D L2 D B
R2 D F2 D L2 D' B
R2 D F2 D L2 D2 B
R2 D F2 D L2 B D
R2 D F2 D L2 B D'
R2 D F2 D L2 B D2
R2 D F2 D B L2 D
R2 D F2 D B L2 D'
R2 D F2 D B L2 D2
R2 D F2 D B' L2 B2
F' U R' D U R' F2
F' U R' D U F2 R'
R2 D F2 D' B D2 L2
R2 D F2 D2 B D' L2
F' U R' D2 R2 U R
R2 D F2 B U B U'
D2 U R2 U D2 B R2
D2 U R2 U B D2 R2
D2 U R2 U' L2 U2 B
R2 D B U B U' F2
D2 U R2 D' B2 U B'
D2 U R2 D2 U B R2
F' U R2 D2 R2 U R2
R D B R F2 B L
R D B R B L F2
R D B R B F2 L
R2 D B F2 U B U'
U2 D R2 F2 D' B R2
F' U D R B2 U F2
F' U D R' B2 U F2
F' U D R2 B2 U F2
F' U D B2 R U F2
F' U D B2 R' U F2
F' U D B2 R2 U F2
F' U D B2 U F2 D
F' U D B2 U F2 D'
F' U D B2 U F2 D2
D U R2 B2 U F2 B'
D U R2 B2 U B' F2
F' U D B2 D R2 U
U D R2 B2 U F2 B'
U D R2 B2 U B' F2
R D B2 L R F2 B
R D B2 L R B F2
R D B2 R L F2 B
R D B2 R L B F2
R D B2 R F2 L B
F' U D2 R2 U D2 R2
F' U D2 R2 U' L2 U2
F' U D2 R2 D' B2 U
F' U D2 R2 D2 U R2
D U F2 D' L2 R2 B'
D U F2 D' L2 B' R2
D U F2 D' R2 L2 B'
U D F2 D' L2 R2 B'
U D F2 D' L2 B' R2
U D F2 D' R2 L2 B'
F' U B U R2 D F2
R D' R D2 L2 F2 B
R D' R D2 L2 B F2
F' U B U2 L2 U' R2
R D' R D2 F2 L2 B
R D' R D2 F2 B L2
R D' R D2 B L2 F2
R D' R D2 B F2 L2
F' U B D B2 U F2
D U B2 R2 U F2 B
D U B2 R2 U B F2
D U B2 U' F' U2 F'
D U B2 D R2 U B
U D B2 R2 U F2 B
U D B2 R2 U B F2
U D B2 U' F' U2 F'
F' U B' U R2 D F2
U D B2 D R2 U B
F' U B' U2 L2 U' R2
F' U B' D B2 U F2
R D' R' F' B2 U2 R2
R D' R' B2 U2 R2 B
R D' R' B2 F' U2 R2
F' U B2 U R2 D F2
F' U B2 U2 L2 U' R2
F' U B2 D B2 U F2
F' U' L D' L F2 U'
F' U' L D' F2 L U'
F' U' L F L U' R2
F' U' L F' L U' R2
F' U' L F2 L U' R2
F' U' L' D' L' F2 U'
B' U' L2 R' U' R' B
B' U' L2 U F' U2 R2
B' U' L2 U' R2 D B
B' U' L2 U' R2 D' B
B' U' L2 U' R2 D2 B
B' U' L2 U' R2 B D
B' U' L2 U' R2 B D'
B' U' L2 U' R2 B D2
F' U' L2 U L U2 R2
B' U' L2 U' B R2 B
F' U' L2 U L' U2 R2
B' U' L2 U' B' R2 B
F' U' L2 U L2 U2 R2
B' U' L2 U' B2 R2 B
B2 U' L2 R' U' R' B
F' U' L2 U D2 L2 U2
F' U' L2 U' R D R
F' U' L2 U' R D' R
F' U' L2 U' R D2 R
F' U' L2 U' R' D R'
F' U' L2 U' R' D' R'
F' U' L2 U' R' D2 R'
F2 U' L2 R U' R B'
F2 U' L2 R U' B' R
F' U' L2 U' F' R2 F
F' U' L2 U' F2 R2 F2
F' U' L2 U' B R2 B'
F' U' L2 U' B2 R2 B2
F2 U' L2 R' U' R' B'
F' U' L2 U2 D B2 U
B2 U' L2 U F' U2 R2
F' U' L2 U2 B U R2
F' U' L2 U2 B' U R2
F' U' L2 U2 B2 U R2
B2 U' L2 U' R2 D B
B2 U' L2 U' R2 D' B
B2 U' L2 U' R2 D2 B
B2 U' L2 U' R2 B D
B2 U' L2 U' R2 B D'
B2 U' L2 U' R2 B D2
F' U' L2 D U2 B2 U
B2 U' L2 U' B R2 B
B2 U' L2 U' B' R2 B
B2 U' L2 U' B2 R2 B
F' U' L2 D' F2 U' D
F' U' L2 D' F2 U' D'
F' U' L2 D' F2 U' D2
F' U' L2 D' F2 D U'
F' U' L2 D' F2 D' U'
F' U' L2 D' F2 D2 U'
F2 U' L2 U' R B' R
F2 U' L2 U' R2 D B'
F2 U' L2 U' R2 D' B'
F2 U' L2 U' R2 D2 B'
F2 U' L2 U' R2 B' D
F2 U' L2 U' R2 B' D'
F2 U' L2 U' R2 B' D2
F' U' L2 D2 U L2 U2
F2 U' L2 U' B R2 B2
F2 U' L2 U' B' R2 D
F2 U' L2 U' B' R2 D'
F2 U' L2 U' B' R2 D2
F' U' L2 F U' R2 D
F' U' L2 F U' R2 D'
F' U' L2 F U' R2 D2
F' U' L2 F D' F2 U'
F' U' L2 F' U' R2 D
F' U' L2 F' U' R2 D'
F' U' L2 F' U' R2 D2
F' U' L2 F' D' F2 U'
F' U' L2 F2 U' R2 D
F' U' L2 F2 U' R2 D'
F' U' L2 F2 U' R2 D2
F2 U' L2 D' F2 U' B'
F' U' L2 F2 D' F2 U'
F2 U' L2 F U' R2 B'
F2 U' L2 F U' B' R2
F2 U' L2 F' U' R2 B'
F2 U' L2 F' U' B' R2
L2 D' F' U' F' U' F
B U' L2 R' U' R' B
F2 U' L2 F2 U' R2 B'
F2 U' L2 F2 U' B' R2
B U' L2 U F' U2 R2
B U' L2 U' R2 D B
B U' L2 U' R2 D' B
B U' L2 U' R2 D2 B
B U' L2 U' R2 B D
B U' L2 U' R2 B D'
B U' L2 U' R2 B D2
B U' L2 U' B R2 B
B U' L2 U' B' R2 B
B U' L2 U' B2 R2 B
F2 U' R L2 U' R B'
F2 U' R L2 U' B' R
F U' L2 U F2 U2 R2
F U' L2 U' R2 D2 B2
U2 D' R2 B D R2 F'
L D' F' U' L F' U'
L D' F' U' F' L U'
B' U' R' L2 U' R' B
F U' L2 F' U' R2 B
B2 U' R' L2 U' R' B
F2 U' R' L2 U' R' B'
B U' R' L2 U' R' B
D' U' F2 U F B2 U2
U' D' F2 U F B2 U2
D' U' F2 U B2 F U2
U' D' F2 U B2 F U2
D' U' F2 D L2 U' B'
U' D' F2 D L2 U' B'
F' U' D' F2 U B2 U2
F' U' D' F2 U' D2 F2
F' U' D' F2 D L2 U'
F' U' D' F2 D2 U' F2
U2 D' B D R2 F' B
U2 D' B D R2 B F'
R2 D2 L D' L F2 B
R2 D2 L D' L B F2
R2 D2 L D' F2 L B
F' U' F L2 U' R2 D
F' U' F L2 U' R2 D'
F' U' F L2 U' R2 D2
F' U' F L2 D' F2 U'
F' U' F L2 F U' R2
F' U' F L2 F' U' R2
F' U' F L2 F2 U' R2
F' U' F U' R2 D F2
R2 D2 L' D' L' F2 B
R2 D2 L' D' L' B F2
R2 D2 L' D' B L' F2
R2 D2 L' B L' D' F2
R2 D2 L' B D' L' F2
L' D2 L2 F' U' L U'
F' U' F' L2 U' R2 D
F' U' F' L2 U' R2 D'
F' U' F' L2 U' R2 D2
F' U' F' L2 D' F2 U'
F' U' F' L2 F U' R2
F' U' F' L2 F' U' R2
F' U' F' L2 F2 U' R2
L2 D2 L2 D F' U2 F'
L2 D2 L2 D' F' B2 U2
L2 D2 L2 D' B2 F' U2
F' U' F' U' R2 D F2
F U' F L2 U' R2 B'
F U' F L2 U' B' R2
L2 D2 L2 F' U' L2 U'
L2 D2 L2 F' U2 D F2
L2 D2 L2 F' D U2 F2
L2 D2 L2 F' D' B2 U2
R2 D2 L2 D' F2 D B
R2 D2 L2 D' F2 D' B
R2 D2 L2 D' F2 D2 B
R2 D2 L2 D' F2 B D
R2 D2 L2 D' F2 B D'
R2 D2 L2 D' F2 B D2
R2 D2 L2 D' B F2 D
R2 D2 L2 D' B F2 D'
R2 D2 L2 D' B F2 D2
R2 D2 L2 D2 B D F2
R2 D2 L2 F D' F2 B
R2 D2 L2 F D' B F2
R2 D2 L2 F B D' F2
R2 D2 L2 F' D' F2 B
R2 D2 L2 F' D' B F2
R2 D2 L2 F' B D' F2
R2 D2 L2 F2 D' F2 B
R2 D2 L2 F2 D' B F2
R2 D2 L2 F2 B D' F2
B' U' F2 L2 U' R2 B'
B' U' F2 L2 U' B' R2
R2 D2 L2 B U' R2 U
R2 D2 L2 B D' F2 D
R2 D2 L2 B D' F2 D'
R2 D2 L2 B D' F2 D2
R2 D2 L2 B F D' F2
R2 D2 L2 B F' D' F2
R2 D2 L2 B F2 D' F2
F' U' F2 L2 U' R2 D
F' U' F2 L2 U' R2 D'
F' U' F2 L2 U' R2 D2
F' U' F2 L2 D' F2 U'
F' U' F2 L2 F U' R2
F' U' F2 L2 F' U' R2
F' U' F2 L2 F2 U' R2
R2 D2 L2 B2 D' F2 B'
R2 D2 L2 B2 D' B' F2
B2 U' F2 L2 U' R2 B'
B2 U' F2 L2 U' B' R2
F2 U' F2 L2 U' R2 B
F' U' F2 U' R2 D F2
F U' F' L2 U' R2 B
B U' F2 L2 U' R2 B'
B U' F2 L2 U' B' R2
F' U' B' L2 B U' R2
R2 D2 R2 U L2 R2 B
R2 D2 R2 U R2 L2 B
R2 D2 R2 U R2 B L2
F' U' B2 L2 B2 U' R2
D' U2 R2 B D R2 F'
U D2 R2 U D2 B R2
U D2 R2 U B D2 R2
U D2 R2 U' L2 U2 B
D U2 R2 F2 D' B R2
U D2 R2 D' B2 U B'
U D2 R2 D2 U B R2
R2 D2 F L2 D' F2 B
R2 D2 F L2 D' B F2
R2 D2 F L2 B D' F2
B' U2 L2 U' L2 R2 B
B' U2 L2 U' R2 L2 B
B' U2 L2 U' R2 B L2
B2 U2 L2 U' L2 R2 B
B2 U2 L2 U' R2 L2 B
B2 U2 L2 U' R2 B L2
F2 U2 L2 U' R2 B' L2
F2 U2 L2 U' B' L2 R2
F2 U2 L2 U' B' R2 L2
R2 D2 F B L2 D' F2
L2 D2 F' L2 U' L2 U'
L2 D2 F' L2 U2 D F2
L2 D2 F' L2 D U2 F2
L2 D2 F' L2 D' B2 U2
R2 D2 F' L2 D' F2 B
R2 D2 F' L2 D' B F2
R2 D2 F' L2 B D' F2
F' U2 R U L2 U' R
B' U2 R D R F2 B
B' U2 R D R B F2
B U2 L2 U' L2 R2 B
B U2 L2 U' R2 L2 B
B U2 L2 U' R2 B L2
F' U2 R D R F2 D
F' U2 R D R F2 D'
F' U2 R D R F2 D2
F' U2 R D R' F2 R2
F' U2 R D R2 F2 R'
F' U2 R D' R D2 F2
B2 U2 R D R F2 B
B2 U2 R D R B F2
R2 D2 F' B L2 D' F2
L D2 F' L2 U' L' U'
F' U2 R F2 D F2 R
R2 D2 F2 L2 D' F2 B
R2 D2 F2 L2 D' B F2
R2 D2 F2 L2 B D' F2
F' U2 R' U L2 U' R'
D' U2 B D R2 F' B
D' U2 B D R2 B F'
F' U2 R' D R F2 R2
F' U2 R' D R' F2 D
F' U2 R' D R' F2 D'
F' U2 R' D R' F2 D2
F' U2 R' D F R' F
F' U2 R' D F2 R' D
F' U2 R' D F2 R' D'
F' U2 R' D F2 R' D2
F' U2 R' D F2 D R'
F' U2 R' D F2 D' R'
F' U2 R' D F2 D2 R'
B U2 R D R F2 B
B U2 R D R B F2
F' U2 R' D' R' D2 F2
F' U2 R' F R' D F2
R2 D2 F2 B L2 D' F2
F' U2 R' F D R' F2
F' U2 R' F D F2 R'
F' U2 R' F' R' D F2
F' U2 R' F' D R' F2
F' U2 R' F' D F2 R'
F' U2 R' F2 R' D F2
F' U2 R' F2 D R' F2
F' U2 R' F2 D F2 R'
R2 D2 B L D' L F2
R2 D2 B L D' F2 L
R2 D2 B L' D' L' F2
R2 D2 B L2 U' R2 U
R2 D2 B L2 D' F2 D
R2 D2 B L2 D' F2 D'
R2 D2 B L2 D' F2 D2
R2 D2 B L2 F D' F2
R2 D2 B L2 F' D' F2
R2 D2 B L2 F2 D' F2
B' U2 R2 U L2 U' B
F' U2 R2 U L2 U' D
F' U2 R2 U L2 U' D'
F' U2 R2 U L2 U' D2
F' U2 R2 U L2 D U'
F' U2 R2 U L2 D' U'
F' U2 R2 U L2 D2 U'
B' U2 R2 D F2 D B
B' U2 R2 D F2 D' B
B' U2 R2 D F2 D2 B
B' U2 R2 D F2 B D
B' U2 R2 D F2 B D'
B' U2 R2 D F2 B D2
B' U2 R2 D B F2 D
B' U2 R2 D B F2 D'
B' U2 R2 D B F2 D2
F' U2 R2 U' D2 R2 U
R2 D2 B U' R2 U L2
B2 U2 R2 U L2 U' B
F' U2 R2 U2 D' B2 U2
F' U2 R2 D L' F2 L
F' U2 R2 D L2 F2 L2
F' U2 R2 D R F2 R'
B' U2 R2 D2 B D' F2
F' U2 R2 D R2 F2 R2
F' U2 R2 D F D F
F' U2 R2 D F D' F
F' U2 R2 D F D2 F
F' U2 R2 D F' D F'
F' U2 R2 D F' D' F'
F' U2 R2 D F' D2 F'
B' U2 R2 F D F2 B
B' U2 R2 F D B F2
F2 U2 R2 U L2 U' B'
B' U2 R2 F B D F2
F' U2 R2 D' U2 B2 U2
F' U2 R2 D' F D2 F2
F' U2 R2 D' F' D2 F2
F' U2 R2 D' F2 D2 F2
R2 D2 B D' F2 D L2
B' U2 R2 F' D F2 B
B' U2 R2 F' D B F2
B' U2 R2 F' B D F2
F' U2 R2 D2 U' R2 U
B2 U2 R2 D F2 D B
B2 U2 R2 D F2 D' B
B2 U2 R2 D F2 D2 B
B2 U2 R2 D F2 B D
B2 U2 R2 D F2 B D'
B2 U2 R2 D F2 B D2
F' U2 R2 D2 F D' F2
B2 U2 R2 D B F2 D
B2 U2 R2 D B F2 D'
B2 U2 R2 D B F2 D2
F' U2 R2 D2 F' D' F2
F' U2 R2 D2 F2 D' F2
B' U2 R2 F2 D F2 B
B' U2 R2 F2 D B F2
B' U2 R2 F2 B D F2
R2 D2 B F L2 D' F2
F' U2 R2 F U L2 U'
F' U2 R2 F D F2 D
F' U2 R2 F D F2 D'
F' U2 R2 F D F2 D2
B' U2 R2 B U L2 U'
B' U2 R2 B D F2 D
B' U2 R2 B D F2 D'
B' U2 R2 B D F2 D2
R2 D2 B F' L2 D' F2
B' U2 R2 B F D F2
B' U2 R2 B F' D F2
F' U2 R2 F' U L2 U'
B' U2 R2 B F2 D F2
B2 U2 R2 D2 B D' F2
F' U2 R2 F' D F2 D
F' U2 R2 F' D F2 D'
F' U2 R2 F' D F2 D2
R2 D2 B F2 L2 D' F2
F' U2 R2 F2 U L2 U'
B2 U2 R2 F D F2 B
B2 U2 R2 F D B F2
F' U2 R2 F2 D F2 D
F' U2 R2 F2 D F2 D'
F' U2 R2 F2 D F2 D2
B2 U2 R2 F B D F2
B' U2 R2 B2 D F2 B'
B' U2 R2 B2 D B' F2
B2 U2 R2 F' D F2 B
B2 U2 R2 F' D B F2
B2 U2 R2 F' B D F2
F' U2 R2 B D F2 B'
F' U2 R2 B D B' F2
B2 U2 R2 F2 D F2 B
B2 U2 R2 F2 D B F2
B2 U2 R2 F2 B D F2
F' U2 R2 B' D F2 B
F' U2 R2 B' D B F2
B2 U2 R2 B U L2 U'
B2 U2 R2 B D F2 D
B2 U2 R2 B D F2 D'
B2 U2 R2 B D F2 D2
R2 D2 B' L2 B2 D' F2
B2 U2 R2 B F D F2
B2 U2 R2 B F' D F2
B2 U2 R2 B F2 D F2
B2 U2 R2 B2 D F2 B'
B2 U2 R2 B2 D B' F2
B U2 R2 U L2 U' B
F' U2 D R F2 D' R2
F' U2 D R' F2 D' R2
F' U2 D R2 F2 D' R2
F' U2 D F D' R2 F
F' U2 D F D' F R2
B U2 R2 D F2 D B
B U2 R2 D F2 D' B
B U2 R2 D F2 D2 B
B U2 R2 D F2 B D
B U2 R2 D F2 B D'
B U2 R2 D F2 B D2
B U2 R2 D B F2 D
B U2 R2 D B F2 D'
B U2 R2 D B F2 D2
F' U2 D F' D' F' R2
F' U2 D F2 R D' R2
F' U2 D F2 R' D' R2
F' U2 D F2 R2 D' R2
F' U2 D F2 U' B2 U
F' U2 D F2 D' R2 D
F' U2 D F2 D' R2 D'
F' U2 D F2 D' R2 D2
B U2 R2 D2 B D' F2
B U2 R2 F D F2 B
B U2 R2 F D B F2
B U2 R2 F B D F2
B U2 R2 F' D F2 B
B U2 R2 F' D B F2
B U2 R2 F' B D F2
B U2 R2 F2 D F2 B
B U2 R2 F2 D B F2
F U2 R2 D F2 D B2
B U2 R2 F2 B D F2
B U2 R2 B U L2 U'
F2 U2 D F2 D' R2 B
B U2 R2 B D F2 D
B U2 R2 B D F2 D'
B U2 R2 B D F2 D2
B U2 R2 B F D F2
B U2 R2 B F' D F2
B U2 R2 B F2 D F2
F U2 R2 D2 B2 D' F2
B U2 R2 B2 D F2 B'
B U2 R2 B2 D B' F2
F' U2 F R D R F2
F' U2 F R' D R' F2
F' U2 F R' D F2 R'
U' F L2 U F2 U2 R2
F' U2 F R2 U L2 U'
U' F L2 U' R2 D2 B2
F' U2 F R2 D F2 D
F' U2 F R2 D F2 D'
F' U2 F R2 D F2 D2
F' U2 F R2 F D F2
F' U2 F R2 F' D F2
F' U2 F R2 F2 D F2
F' U2 F U L2 U' R2
F' U2 F D F2 D' R2
U' F L2 F' U' R2 B
D2 F L2 F2 U R2 U
D2 F L2 F2 U2 D' F2
D2 F L2 F2 D B2 U2
D2 F L2 F2 D' U2 F2
F' U2 F' R D R F2
F' U2 F' R' D R' F2
F' U2 F' R' D F2 R'
F' U2 F' R2 U L2 U'
F' U2 F' R2 D F2 D
F' U2 F' R2 D F2 D'
F' U2 F' R2 D F2 D2
F' U2 F' R2 F D F2
F' U2 F' R2 F' D F2
F' U2 F' R2 F2 D F2
F' U2 F' U L2 U' R2
F' U2 F' D F2 D' R2
F' U2 F2 R D R F2
F' U2 F2 R' D R' F2
F' U2 F2 R' D F2 R'
F' U2 F2 R2 U L2 U'
F' U2 F2 R2 D F2 D
F' U2 F2 R2 D F2 D'
F' U2 F2 R2 D F2 D2
F' U2 F2 R2 F D F2
F' U2 F2 R2 F' D F2
F' U2 F2 R2 F2 D F2
F' U2 F2 U L2 U' R2
F2 U2 F2 R2 D F2 B
F2 U2 F2 R2 D B F2
F2 U2 F2 R2 B D F2
F' U2 F2 D F2 D' R2
F U2 F' R2 D F2 B
F U2 F' R2 D B F2
F U2 F' R2 B D F2
B' U2 B R2 D F2 B
B' U2 B R2 D B F2
B' U2 B R2 B D F2
F' U2 B R2 D F2 B'
F' U2 B R2 D B' F2
F' U2 B R2 B' D F2
B2 U2 B R2 D F2 B
B2 U2 B R2 D B F2
B2 U2 B R2 B D F2
B' U2 B' R2 D F2 B
B' U2 B' R2 D B F2
B' U2 B' R2 B D F2
U2 F R2 D F2 D B2
B U2 B R2 D F2 B
B U2 B R2 D B F2
B U2 B R2 B D F2
B2 U2 B' R2 D F2 B
B2 U2 B' R2 D B F2
B2 U2 B' R2 B D F2
U2 F R2 D2 B2 D' F2
B' U2 B2 R2 D F2 B
B' U2 B2 R2 D B F2
B' U2 B2 R2 B D F2
F' U2 B2 R2 B2 D F2
B U2 B' R2 D F2 B
B U2 B' R2 D B F2
B U2 B' R2 B D F2
B2 U2 B2 R2 D F2 B
B2 U2 B2 R2 D B F2
B2 U2 B2 R2 B D F2
F' D L U B2 U F2
F' D L U2 F2 D' R2
B U2 B2 R2 D F2 B
B U2 B2 R2 D B F2
B U2 B2 R2 B D F2
F' D L' U B2 U F2
F' D L' U2 F2 D' R2
F' D L2 U B2 U F2
F' D L2 U2 F2 D' R2
R2 F D F2 D L2 B
R2 F D F2 D B L2
R2 F D2 L2 D' F2 B
R2 F D2 L2 D' B F2
R2 F D2 L2 B D' F2
R2 F D2 B L2 D' F2
R2 F B D F2 D L2
R2 F B D2 L2 D' F2
F' D U R B2 U F2
F' D U R' B2 U F2
F' D U R2 B2 U F2
F' D U B2 R U F2
F' D U B2 R' U F2
F' D U B2 R2 U F2
F' D U B2 U F2 D
F' D U B2 U F2 D'
F' D U B2 U F2 D2
F' D U B2 D R2 U
D2 F' L D L B2 U2
D2 F' L D B2 U2 R'
D2 F' L D' L U2 F2
D' F' L B2 U' F' U'
L2 F' L U' L' U' R2
F' D U2 R F2 D' R2
F' D U2 R' F2 D' R2
F' D U2 R2 F2 D' R2
F' D U2 F D' R2 F
F' D U2 F D' F R2
D2 F' L' U2 D' F2 R
D2 F' L' D L' B2 U2
F' D U2 F' D' F' R2
F' D U2 F2 R D' R2
D2 F' L' D B2 L' U2
F' D U2 F2 R' D' R2
F' D U2 F2 R2 D' R2
D2 F' L' D' L' U2 F2
F' D U2 F2 U' B2 U
F' D U2 F2 D' R2 D
F' D U2 F2 D' R2 D'
F' D U2 F2 D' R2 D2
D2 F' L' D' U2 F2 R
D F' L U B2 U F'
D F' L U2 D' F' R2
D F' L U2 F' D' R2
D F' L D L2 U2 F'
F2 D U2 F2 D' R2 B
D F' L D' U2 F' R2
D' F' L' B2 U' F' U'
L2 F' L' U' L U' R2
U' F' L2 U' R2 D B2
D2 F' L2 U R2 U D
D2 F' L2 U R2 U D'
D2 F' L2 U R2 U D2
D2 F' L2 U R2 D U
D2 F' L2 U R2 D' U
D2 F' L2 U R2 D2 U
L F' L U2 R2 D' F2
D2 F' L2 U' D2 L2 U'
D2 F' L2 U2 D' F2 D
D2 F' L2 U2 D' F2 D'
D2 F' L2 U2 D' F2 D2
D2 F' L2 U2 F D' F2
D2 F' L2 U2 F' D' F2
D2 F' L2 U2 F2 D' F2
U' F' L2 F U' R2 B
D2 F' L2 D B2 U2 D
D2 F' L2 D B2 U2 D'
D2 F' L2 D B2 U2 D2
D2 F' L2 D B2 D U2
D2 F' L2 D B2 D' U2
D2 F' L2 D B2 D2 U2
F2 D F U B2 U F
D2 F' L2 D' U2 F2 D
D2 F' L2 D' U2 F2 D'
D2 F' L2 D' U2 F2 D2
D2 F' L2 D' B U2 F2
