D' F U2 F R
D' L2 B' R' F2 L'
D L2 B2 U2 B R'
F U R B R U
L2 D B2 U2 B R'
L2 D' B' R' F2 L'
F U2 D' F R F
D' F L2 B' U2 R'
F U2 F D' R F2
F U2 F' D' F2 R
D' F U2 R F R
D' F U2 R' F R
D' F U2 R2 F R
D' F U2 D F R
D' F U2 D' F R
D' F U2 D2 F R
D' F U2 F R D
D' F U2 F R D'
D' F U2 F R D2
D' F U2 F D R
D' F U2 F D' R
D' F U2 F D2 R
D' F D U2 F R
D' F D' U2 F R
D' F D2 U2 F R
D F B L B U2
D' F B' U2 R' F
D' F B' U2 F R'
B' D F B2 L U2
B D F L B2 U2
B D F B2 U2 R'
F D B L B U2
B' D B2 F L U2
B D B2 F U2 R'
B' D' F U2 R' F
B' D' F U2 F R'
F D' U2 F R F
F D' B L U2 F2
F D' B' U2 R' F2
F D' B' U2 F2 R'
B F L U R2 U
B F L U2 D' F2
B F L D B2 U2
F B L U R2 U
B F L D' U2 F2
F B L U2 D' F2
F B L D B2 U2
F B L D' U2 F2
D B F L B U2
B' F U R2 U R
B' F U2 D' R' F2
B' F U2 D' F2 R'
B' F U2 D' F2 R'
B' F D B2 L U2
B' F D' U2 R' F2
B' F D' U2 F2 R'
B F D L B2 U2
F B D L B2 U2
B F D B2 U2 R'
B F D' L U2 F2
F B D B2 U2 R'
F B D' L U2 F2
L2 B' D' R' F2 L'
D' B' F U2 R' F
D' B' F U2 F R'
F B' U R2 U R
F B' U2 D' R' F2
F B' U2 D' F2 R'
F B' D B2 L U2
F B' D' U2 R' F2
F B' D' U2 F2 R'
D B2 D2 F L' U2
B D2 F D L U2 F2
B D2 F D' L B2 U2
B D2 F D' B2 U2 R'
D B L2 B L' U2 B2
F D2 B L U' L U'
F D2 B D L U2 F2
F D2 B D' L B2 U2
F D2 B D' B2 U2 R'
L2 B U R2 U B2 R'
B' F L U R2 U R
B' F L U2 D' R' F2
B' F L U2 D' F2 R'
B' F L D B2 L U2
B' F L D' U2 R' F2
B' F L D' U2 F2 R'
F D2 B' U' L2 U' R'
F D2 B' U2 R' D F2
F D2 B' U2 D R' F2
F D2 B' U2 D F2 R'
F D2 B' D U2 R' F2
F D2 B' D U2 F2 R'
F D2 B' D' B2 L U2
F2 B L U R2 U B
F' B L F2 U R2 U
F' B L F2 U2 D' F2
F' B L F2 D B2 U2
F' B L F2 D' U2 F2
F2 B L D F' B2 U2
F2 B L D B2 F' U2
B' F L' U R2 U R
F2 B L D' F' U2 F'
R2 B U' R2 F L U2
B' F L' U2 D' R' F2
B' F L' U2 D' F2 R'
F2 B L F' U R2 U
F2 B L F' U2 D' F2
F2 B L F' D B2 U2
F2 B L F' D' U2 F2
B' F L' D B2 L U2
B' F L' D' U2 R' F2
B' F L' D' U2 F2 R'
R2 B U' F L R2 U2
R2 B U' F R2 L U2
B F L U R2 U D
B F L U R2 U D'
B F L U R2 U D2
B F L U R2 D U
B F L U R2 D' U
B F L U R2 D2 U
B F L U' D2 L2 U'
L' B D L F B2 U2
B F L U2 D' F2 D
B F L U2 D' F2 D'
B F L U2 D' F2 D2
B F L U2 F D' F2
L' B D L B2 F U2
B F L U2 F' D' F2
B F L U2 F2 D' F2
B F L D B2 U2 D
B F L D B2 U2 D'
B F L D B2 U2 D2
B F L D B2 D U2
B F L D B2 D' U2
B F L D B2 D2 U2
B F L D' U2 F2 D
B F L D' U2 F2 D'
B F L D' U2 F2 D2
B F L D' B U2 F2
B F L D' B' U2 F2
B F L D' B2 U2 F2
B F L D2 U' L2 U'
B' F L2 U R2 U R
F B L U R2 U D
F B L U R2 U D'
F B L U R2 U D2
F B L U R2 D U
F B L U R2 D' U
F B L U R2 D2 U
F B L U' D2 L2 U'
B' F L2 U2 D' R' F2
B' F L2 U2 D' F2 R'
B F L B U R2 U
B F L B U2 D' F2
B F L B D B2 U2
B F L B D' U2 F2
F B L U2 D' F2 D
F B L U2 D' F2 D'
F B L U2 D' F2 D2
F B L U2 F D' F2
F B L U2 F' D' F2
F B L U2 F2 D' F2
B F L B' U R2 U
B F L B' U2 D' F2
B F L B' D B2 U2
B' F L2 D B2 L U2
B F L B' D' U2 F2
L2 B U2 B2 D' R' F2
L2 B U2 B2 D' F2 R'
B' F L2 D' U2 R' F2
B' F L2 D' U2 F2 R'
B F L B2 U R2 U
F B L D B2 U2 D
F B L D B2 U2 D'
F B L D B2 U2 D2
F B L D B2 D U2
F B L D B2 D' U2
F B L D B2 D2 U2
B F L B2 U2 D' F2
B F L B2 D B2 U2
B F L B2 D' U2 F2
F B L D' U2 F2 D
F B L D' U2 F2 D'
F B L D' U2 F2 D2
F B L D' B U2 F2
F B L D' B' U2 F2
F B L D' B2 U2 F2
F B L D2 U' L2 U'
L' B D' L F U2 F
F B L B U R2 U
F B L B U2 D' F2
F B L B D B2 U2
F B L B D' U2 F2
F B L B' U R2 U
F B L B' U2 D' F2
F B L B' D B2 U2
F B L B' D' U2 F2
F B L B2 U R2 U
F B L B2 U2 D' F2
F B L B2 D B2 U2
F B L B2 D' U2 F2
D2 B D' F L B2 U2
D2 B D' F B2 U2 R'
D2 B D' B2 F U2 R'
D B D F L B U2
B F L2 U2 D' F2 R
B F L2 D L' B2 U2
B F L2 D B2 L' U2
B F L2 D' L' U2 F2
B F L2 D' U2 F2 R
D' B D2 F L B2 U2
D' B D2 F B2 U2 R'
F B L2 U2 D' F2 R
F B L2 D L' B2 U2
F B L2 D B2 L' U2
F B L2 D' L' U2 F2
F B L2 D' U2 F2 R
D2 B F L U' L U'
D' B D2 B2 F U2 R'
D B D' F L B U2
D' B F L2 B' L' U2
D2 B F D L U2 F2
D2 B F D' L B2 U2
D2 B F D' B2 U2 R'
D' B F' L F2 U2 F
D B D2 F L B U2
D B F L D B U2
D B F L D' B U2
D B F L D2 B U2
D B F L B U2 D
D B F L B U2 D'
D B F L B U2 D2
D B F L B D U2
D B F L B D' U2
D B F L B D2 U2
D B F L' B L2 U2
D B F L2 B L' U2
B' F U R2 U R D
B' F U R2 U R D'
B' F U R2 U R D2
B' F U R2 U D R
B' F U R2 U D' R
B' F U R2 U D2 R
B' F U R2 D U R
B' F U R2 D' U R
B' F U R2 D2 U R
D' B F2 L F' U2 F
B' F U R2 B U R
B' F U R2 B' U R
B' F U R2 B2 U R
D B F D L B U2
D B F D' L B U2
D B F D2 L B U2
B2 F U R2 B U R'
D B F' L F2 B U2
D B F' L B F2 U2
B2 F U B R2 U R
B' F U' D2 L2 U' R'
D B F2 L F' B U2
D B F2 L B F' U2
B F U R2 U' L U2
B F U R2 B2 U R'
D' B' L' R' F2 L' B'
B' F U2 R' U' R' U
F B U R2 U' L U2
B' F U2 D R' D2 F2
L2 B' L D' R' F2 L'
F B U R2 B2 U R'
B' F U2 D' R F2 R2
B' F U2 D' R' F2 D
B' F U2 D' R' F2 D'
B' F U2 D' R' F2 D2
B' F U2 D' F R' F
B F U B2 R2 U R
B' F U2 D' F2 R' D
B' F U2 D' F2 R' D'
B' F U2 D' F2 R' D2
B' F U2 D' F2 D R'
B' F U2 D' F2 D' R'
B' F U2 D' F2 D2 R'
B' F U2 D2 R' D F2
B' F U2 F D' R' F2
B' F U2 F D' F2 R'
B' F U2 F' D' R' F2
B' F U2 F' D' F2 R'
B' F U2 F2 D' R' F2
B' F U2 F2 D' F2 R'
F B U B2 R2 U R
B' F D L B2 L U2
B' F D L' B2 L U2
B' F D L2 B2 L U2
D' B' L2 R' F2 B' L'
D' B' L2 R' B' F2 L'
L2 B' L' D' R' F2 L'
D' B' L2 U2 R' F2 B'
D' B' L2 U2 R' B' F2
D' B' L2 U2 F2 R' B'
B' F D U2 R' D2 F2
F2 B D L F' B2 U2
F2 B D L B2 F' U2
B' F D B2 L U2 D
B' F D B2 L U2 D'
B' F D B2 L U2 D2
B' F D B2 L D U2
B' F D B2 L D' U2
B' F D B2 L D2 U2
B' F D B2 D L U2
B' F D B2 D' L U2
B' F D B2 D2 L U2
B' F D' L U2 R' F2
B' F D' L U2 F2 R'
B' F D' L' U2 R' F2
B' F D' L' U2 F2 R'
B' F D' L2 U2 R' F2
B' F D' L2 U2 F2 R'
F2 B D F' L B2 U2
L2 B' L2 D' R' F2 L'
F2 B D F' B2 U2 R'
B' F D' U2 R F2 R2
B' F D' U2 R' F2 D
B' F D' U2 R' F2 D'
B' F D' U2 R' F2 D2
B' F D' U2 F R' F
B' F D' U2 F2 R' D
B' F D' U2 F2 R' D'
B' F D' U2 F2 R' D2
B' F D' U2 F2 D R'
B' F D' U2 F2 D' R'
B' F D' U2 F2 D2 R'
B F D L U2 D2 F2
B F D L D2 U2 F2
B F D L B2 U2 D
B F D L B2 U2 D'
B F D L B2 U2 D2
B F D L B2 D U2
B F D L B2 D' U2
B F D L B2 D2 U2
B F D L' B2 L2 U2
F2 B D B2 F' U2 R'
B F D L2 B2 L' U2
F2 B D' L F' U2 F'
B' F D' B2 L U2 F2
D B' L2 U2 R' F B'
D B' L2 U2 R' B' F
D B' L2 U2 F R' B'
F B D L U2 D2 F2
F B D L D2 U2 F2
F B D L B2 U2 D
F B D L B2 U2 D'
F B D L B2 U2 D2
F B D L B2 D U2
F B D L B2 D' U2
F B D L B2 D2 U2
F B D L' B2 L2 U2
F B D L2 B2 L' U2
D' B' R' L' F2 L' B'
D' B' R' L2 F2 B' L'
D' B' R' L2 B' F2 L'
F2 B D' F' L U2 F'
B' F D2 U' L2 U' R'
B F D B2 L U2 R'
B F D B2 L' U2 R'
B F D B2 L2 U2 R'
B F D B2 U2 R' D
B F D B2 U2 R' D'
B F D B2 U2 R' D2
B F D B2 U2 D R'
B F D B2 U2 D' R'
B F D B2 U2 D2 R'
B F D B2 D U2 R'
B F D B2 D' U2 R'
B F D B2 D2 U2 R'
B' F D2 U2 R' D F2
B F D' L U2 F2 D
B F D' L U2 F2 D'
B F D' L U2 F2 D2
B F D' L D2 B2 U2
B F D' L B U2 F2
B F D' L B' U2 F2
B F D' L B2 U2 F2
B F D' L2 U2 F2 R
F B D B2 L U2 R'
F B D B2 L' U2 R'
F B D B2 L2 U2 R'
F B D B2 U2 R' D
F B D B2 U2 R' D'
F B D B2 U2 R' D2
F B D B2 U2 D R'
F B D B2 U2 D' R'
F B D B2 U2 D2 R'
F B D B2 D U2 R'
F B D B2 D' U2 R'
F B D B2 D2 U2 R'
F B D' L U2 F2 D
F B D' L U2 F2 D'
F B D' L U2 F2 D2
F B D' L D2 B2 U2
F B D' L B U2 F2
F B D' L B' U2 F2
F B D' L B2 U2 F2
F B D' L2 U2 F2 R
B F D' B2 U2 R' F2
B F D' B2 U2 F2 R'
B F D2 L U' L U'
F B D' B2 U2 R' F2
F B D' B2 U2 F2 R'
F B D2 L U' L U'
L' B' U R2 U R B
D2 B' U' L2 U' R' B'
F B' L U R2 U R
B F' L F2 U R2 U
B F' L F2 U2 D' F2
B F' L F2 D B2 U2
B F' L F2 D' U2 F2
F B' L U2 D' R' F2
F B' L U2 D' F2 R'
F B' L D B2 L U2
F B' L D' U2 R' F2
F B' L D' U2 F2 R'
R2 B' U D2 L2 R' B'
R2 B' U D2 R' L2 B'
F B' L' U R2 U R
D' B' U2 R F2 R2 B
F B' L' U2 D' R' F2
F B' L' U2 D' F2 R'
F B' L' D B2 L U2
F B' L' D' U2 R' F2
F B' L' D' U2 F2 R'
D' B' U2 F2 R2 B R
R2 B' U' F R2 U2 R
F B' L2 U R2 U R
F B' L2 U2 D' R' F2
F B' L2 U2 D' F2 R'
F B' L2 D B2 L U2
F B' L2 D' U2 R' F2
F B' L2 D' U2 F2 R'
D2 B' D F U2 R' F
D2 B' D F U2 F R'
L' B' D B2 L F U2
L2 B' D R' D2 F2 L'
L' B' D' R' F2 L' B'
D2 B' D' F B2 L U2
L2 B' D B2 L U2 B2
L2 B' D B2 U2 B2 R'
L2 B' D' L R' F2 L'
D2 B' D' B2 F L U2
L2 B' D' L' R' F2 L'
L2 B' D' L2 R' F2 L'
L2 B' D' R' L F2 L'
L2 B' D' R' L' F2 L'
L2 B' D' R' L2 F2 L'
L2 B' D' R' F2 L' D
L2 B' D' R' F2 L' D'
L2 B' D' R' F2 L' D2
L2 B' D' R' F2 D L'
L2 B' D' R' F2 D' L'
L2 B' D' R' F2 D2 L'
D' B' D2 F B2 L U2
F2 B' U R2 U B R
D' B' D2 B2 F L U2
L2 B' D2 R' D F2 L'
D' B' F L' U2 R' F'
D2 B' F U' L2 U' R'
D2 B' F U2 R' D F2
D2 B' F U2 D R' F2
D2 B' F U2 D F2 R'
D2 B' F D U2 R' F2
D2 B' F D U2 F2 R'
D' B' F U2 R F R2
D' B' F U2 R' D F
D' B' F U2 R' D' F
D' B' F U2 R' D2 F
D' B' F U2 R' F D
D' B' F U2 R' F D'
D' B' F U2 R' F D2
D2 B' F D' B2 L U2
D' B' F U2 D R' F
D' B' F U2 D F R'
D' B' F U2 D' R' F
D' B' F U2 D' F R'
D' B' F U2 D2 R' F
D' B' F U2 D2 F R'
D' B' F U2 F R' D
D' B' F U2 F R' D'
D' B' F U2 F R' D2
D' B' F U2 F D R'
D' B' F U2 F D' R'
D' B' F U2 F D2 R'
D' B' F U2 F' R' F2
D' B' F D U2 R' F
D' B' F D U2 F R'
D' B' F D' U2 R' F
R2 B' D2 U L2 R' B'
D' B' F D' U2 F R'
R2 B' D2 U R' L2 B'
D' B' F D2 U2 R' F
D' B' F D2 U2 F R'
F B' U R2 U R D
F B' U R2 U R D'
F B' U R2 U R D2
F B' U R2 U D R
F B' U R2 U D' R
F B' U R2 U D2 R
F B' U R2 D U R
F B' U R2 D' U R
F B' U R2 D2 U R
F B' U R2 B U R
F B' U R2 B' U R
F B' U R2 B2 U R
L2 B' F D' R' F2 L'
D B' F L U2 R' F'
D B' F L2 U2 R' F
D B' F L2 U2 F R'
L2 B' F' D' R' F2 L'
F B' U' D2 L2 U' R'
L2 B' F2 D' R' F2 L'
F2 B' D F' B2 L U2
F B' U2 R' U' R' U
F B' U2 D R' D2 F2
F B' U2 D' R F2 R2
F B' U2 D' R' F2 D
F B' U2 D' R' F2 D'
F B' U2 D' R' F2 D2
F2 B' D B2 L F' U2
F B' U2 D' F R' F
F B' U2 D' F2 R' D
F B' U2 D' F2 R' D'
F B' U2 D' F2 R' D2
F B' U2 D' F2 D R'
F B' U2 D' F2 D' R'
F B' U2 D' F2 D2 R'
F B' U2 D2 R' D F2
F2 B' D B2 F' L U2
F B' U2 F D' R' F2
F B' U2 F D' F2 R'
F B' U2 F' D' R' F2
F B' U2 F' D' F2 R'
F B' U2 F2 D' R' F2
F B' U2 F2 D' F2 R'
F B' D L B2 L U2
F B' D L' B2 L U2
F B' D L2 B2 L U2
F2 B' D' F' U2 F' R'
F B' D U2 R' D2 F2
F B' D B2 L U2 D
F B' D B2 L U2 D'
F B' D B2 L U2 D2
F B' D B2 L D U2
F B' D B2 L D' U2
F B' D B2 L D2 U2
F B' D B2 D L U2
F B' D B2 D' L U2
F B' D B2 D2 L U2
F B' D' L U2 R' F2
F B' D' L U2 F2 R'
F B' D' L' U2 R' F2
F B' D' L' U2 F2 R'
F B' D' L2 U2 R' F2
F B' D' L2 U2 F2 R'
D B2 L' U2 R B R'
F B' D' U2 R F2 R2
F B' D' U2 R' F2 D
F B' D' U2 R' F2 D'
F B' D' U2 R' F2 D2
F B' D' U2 F R' F
F B' D' U2 F2 R' D
F B' D' U2 F2 R' D'
F B' D' U2 F2 R' D2
F B' D' U2 F2 D R'
F B' D' U2 F2 D' R'
F B' D' U2 F2 D2 R'
F B' D' B2 L U2 F2
D B2 L2 U2 B R' B2
F B' D2 U' L2 U' R'
F B' D2 U2 R' D F2
B F2 L U R2 U B
B F2 L D F' B2 U2
B F2 L D B2 F' U2
B F2 L D' F' U2 F'
B F2 L F' U R2 U
B F2 L F' U2 D' F2
B F2 L F' D B2 U2
B F2 L F' D' U2 F2
B' F2 U R2 U B R
D' B2 U2 F2 R2 B R'
B2 F2 U R2 U B R'
F2 B2 U R2 U B R'
L2 B2 U2 B D' R' F2
L2 B2 U2 B D' F2 R'
F B2 U R2 B U R'
F B2 U B R2 U R
D' B2 D2 F L' B2 U2
D' B2 D2 F B2 L' U2
B' F2 D F' B2 L U2
D' B2 D2 B2 F L' U2
B' F2 D B2 L F' U2
B' F2 D B2 F' L U2
D' B2 F L2 B' L U2
B' F2 D' F' U2 F' R'
B F2 D L F' B2 U2
B F2 D L B2 F' U2
D B2 D2 F L' U2 D
D B2 D2 F L' U2 D'
D B2 D2 F L' U2 D2
D B2 D2 F L' D U2
D B2 D2 F L' D' U2
D B2 D2 F L' D2 U2
D B2 D2 F D L' U2
D B2 D2 F D' L' U2
D B2 D2 F D2 L' U2
B F2 D F' L B2 U2
B F2 D F' B2 U2 R'
B F2 D B2 F' U2 R'
B F2 D' L F' U2 F'
D B2 F U B U R'
D B2 F U2 B R' B'
B F2 D' F' L U2 F'
D B2 F2 U2 R2 B R'
D B2 F2 D2 F' U2 R
