U' R D' L2 F'
U' R D' F' L2
U' L R D' L2 F'
U' L R D' F' L2
U' L' R D' L2 F'
U' L' R D' F' L2
D2 L' B2 U' R F
U' L2 R D' L2 F'
U' L2 R D' F' L2
U' R L D' L2 F'
U' R L D' F' L2
U' R L' D' L2 F'
U' R L' D' L2 F'
U' R L' D' F' L2
U' R L2 D' L2 F'
U' R L2 D' F' L2
U' R U' F2 U F
U' R D F' D2 L2
U' R D' L F' L
U' R D' L2 D F'
U' R D' L2 D' F'
U' R D' L2 D2 F'
U' R D' L2 F' D
U' R D' L2 F' D'
U' R D' L2 F' D2
U' R D' F L2 F2
U' R D' F' L2 D
U' R D' F' L2 D'
U' R D' F' L2 D2
U R D' F' L2 B'
U' R D2 F' D L2
L' U' R D' L2 F'
L' U' R D' F' L2
U' R F' U' F' U
L2 U' R D' L2 F'
L2 U' R D' F' L2
L U' R D' L2 F'
L U' R D' F' L2
U2 R' F2 U R2 F'
U' R2 D' L2 R' F'
U' R2 D' R' L2 F'
U' R2 D' R' F' L2
R2 D R' F' B2 L
R2 D R' B2 L F'
R2 D R' B2 F' L
U' D' L2 D R F'
D' U' L2 D R F'
B2 U' R D' L2 F'
B2 U' R D' F' L2
B' U' R D' L2 F'
B' U' R D' F' L2
B U' R D' L2 F'
B U' R D' F' L2
R' F2 L' U R2 F'
U2 F2 U F2 R F'
D2 B2 L' U' R F
D2 B2 U' D2 R F'
D2 B2 D2 U' R F'
U2 F2 R' U' B L' U2
D' F2 U L' B' U2 L'
U2 F2 U R F2 R F
U2 F2 U F' R F' R
U2 F2 U F2 R D F'
U2 F2 U F2 R D' F'
U2 F2 U F2 R D2 F'
U2 F2 U F2 R F' D
U2 F2 U F2 R F' D'
U2 F2 U F2 R F' D2
U2 F2 U' D2 L' U2 F
B' D2 L' B2 U' R F
U2 F2 U2 F2 U' R F'
U F2 U' F2 U2 R F'
B2 D2 L' B2 U' R F
B D2 L' B2 U' R F
U2 F2 D2 U' L' U2 F
U2 F2 B U F2 R F'
D2 F2 B2 U L' U2 F
U2 F2 B' U F2 R F'
F2 D2 U L' U2 F L
U2 F2 B2 U F2 R F'
D2 B L' B U' R F
U' B R D' F' B' L2
U' B R D' B' L2 F'
U' B R D' B' F' L2
U' B R B' D' L2 F'
U' B R B' D' F' L2
U2 B R' F2 U R2 F'
U B R D' F' L2 B'
B' D2 B2 L' U' R F
R' B U F2 L' U R2
B' D2 B2 U' D2 R F'
B2 D2 B2 L' U' R F
U2 B U R D' L2 F'
U2 B U R D' F' L2
B' D2 B2 D2 U' R F'
D' B U' L2 D R F'
L' B U' R D' L2 F'
L' B U' R D' F' L2
B2 D2 B2 U' D2 R F'
B2 D2 B2 D2 U' R F'
B D2 B2 L' U' R F
L2 B U' R D' L2 F'
L2 B U' R D' F' L2
B D2 B2 U' D2 R F'
B D2 B2 D2 U' R F'
D B U' R D' F2 L'
L B U' R D' L2 F'
L B U' R D' F' L2
U B U2 R D' L2 F'
U B U2 R D' F' L2
D B D B2 L U' R
D2 B D2 B U' R F'
U2 B F2 U F2 R F'
D B' L U R2 U2 R'
D B' L U' D2 L2 R
D B' L U' D2 R L2
D B' L D B2 U' R
D B' L D2 U' L2 R
D B' L D2 U' R L2
U2 B' R' F2 U R2 F'
U B' R D' F' L2 B'
U2 B' U R D' L2 F'
U2 B' U R D' F' L2
D' B' U' L2 D R F'
L' B' U' R D' L2 F'
L' B' U' R D' F' L2
L2 B' U' R D' L2 F'
L2 B' U' R D' F' L2
L B' U' R D' L2 F'
L B' U' R D' F' L2
U B' U2 R D' L2 F'
U B' U2 R D' F' L2
D B' D L B2 U' R
D2 B' D' B' L U' R
D2 B' D2 B' U' R F'
D B' D2 L U' L R
D B' D2 L U' R L
D2 B2 L U B' U2 R
U2 B' F2 U F2 R F'
D2 B2 L' U' R D F
D2 B2 L' U' R D' F
D2 B2 L' U' R D2 F
D2 B2 L' U' R F D
D2 B2 L' U' R F D'
D2 B2 L' U' R F D2
D2 B2 L' U' R' F R2
D2 B2 L' U' R2 F R'
D2 B2 L' U' D R F
D2 B2 L' U' D' R F
D2 B2 L' U' D2 R F
D2 B2 L' D U' R F
D2 B2 L' D' U' R F
D2 B2 L' D2 U' R F
U' B2 R B2 D' L2 F'
U' B2 R B2 D' F' L2
R B2 L' D' L2 F' B2
R B2 L' D' L2 B2 F'
R B2 L' D' F' L2 B2
R B2 L' D' F' B2 L2
R B2 L' D' B2 L2 F'
R B2 L' D' B2 F' L2
U2 B2 R' F2 U R2 F'
U B2 R D' F' L2 B'
D2 B2 U L B' U2 R
D2 B2 U L' U2 R F
D2 B2 U' L' R F L
U2 B2 U R D' L2 F'
U2 B2 U R D' F' L2
D2 B2 U' R L' F L
D' B2 U' L2 D R F'
L' B2 U' R D' L2 F'
L' B2 U' R D' F' L2
D2 B2 U' D2 R D F'
D2 B2 U' D2 R D' F'
D2 B2 U' D2 R D2 F'
D2 B2 U' D2 R F' D
D2 B2 U' D2 R F' D'
D2 B2 U' D2 R F' D2
L2 B2 U' R D' L2 F'
L2 B2 U' R D' F' L2
L B2 U' R D' L2 F'
L B2 U' R D' F' L2
R B2 U' L F2 U F
U B2 U2 R D' L2 F'
U B2 U2 R D' F' L2
D2 B2 D2 L U' R F'
D2 B2 D2 L' U' R F'
D2 B2 D2 L2 U' R F'
D2 B2 D2 U' R D F'
D2 B2 D2 U' R D' F'
D2 B2 D2 U' R D2 F'
D2 B2 D2 U' R F' D
D2 B2 D2 U' R F' D'
D2 B2 D2 U' R F' D2
D2 B2 F2 U L' U2 F
U2 B2 F2 U F2 R F'
R B2 F' U' L F' U
R B2 F' U' F' L U
