B2 L' U' R U' L2
L' R' B2 U' R2 U'
L' R' B2 U2 D B2
L' R' B2 D U2 B2
R' L' B2 U' R2 U'
L' R' B2 D' F2 U2
R' L' B2 U2 D B2
R' L' B2 D U2 B2
R' L' B2 D' F2 U2
R U L' R2 B2 U2
R U L' B2 R2 U2
R U R2 L' B2 U2
R U R2 B2 L' U2
R U B2 L' R2 U2
R U B2 R2 L' U2
R U' D2 F2 L2 R
R U' D2 F2 R L2
R D L2 B2 U' R'
R D2 U' F2 L2 R
R D2 U' F2 R L2
R' B2 L' U' R2 U'
R' B2 L' U2 D B2
R' B2 L' D U2 B2
R' B2 L' D' F2 U2
L' B2 U' R U' L
R' B2 D L' U2 B2
R' B2 D' L' F2 U2
R' B2 D' F2 U2 R
D2 B2 F2 L D' R B2
D2 B2 F2 L D' B2 R
D2 B2 F2 R L D' B2
R' B2 F2 U' R2 U' R'
R' B2 F2 U2 D R B2
R' B2 F2 U2 D B2 R
R' B2 F2 D U2 R B2
R' B2 F2 D U2 B2 R
L' B2 F2 U L' U L2
R' B2 F2 D' F2 L' U2
L' B2 F2 U2 L D' B2
F B2 D' U2 L B' R'
