F2 U2 F' L'
B' R' F2 U2 F'
F2 R2 B U2 L
F2 U2 L F' L'
F2 U2 L' F' L'
F2 U2 L2 F' L'
F2 U2 D F' L'
F2 U2 D' F' L'
F2 U2 D2 F' L'
F2 U2 F' L' D
F2 U2 F' L' D'
F2 U2 F' L' D2
F2 U2 F' D L'
F2 U2 F' D' L'
F2 U2 F' D2 L'
F2 D U2 F' L'
R' F2 U2 F' L'
F2 D' U2 F' L'
R2 F2 U2 F' L'
R F2 U2 F' L'
F2 D2 U2 F' L'
F2 B U2 L F'
F2 B U2 F' L
B F2 U2 L F'
B F2 U2 F' L
B' R' B F2 D U2 F'
B' R' B F2 D' U2 F'
B' R' B F2 D2 U2 F'
D2 R' B' R' U2 F B'
D2 R' B' R' U2 B' F
F' R' B' R' U2 F2 B
F' R' B' R' U2 B F2
F2 R' B' R' D B U2
F2 R' B' R' D' B U2
B' R' B' U2 D2 F B2
B' R' B' U2 D2 B2 F
F2 R' B' R' D2 B U2
F2 R' B' R' B U2 D
F2 R' B' R' B U2 D'
F2 R' B' R' B U2 D2
F2 R' B' R' B D U2
F2 R' B' R' B D' U2
F2 R' B' R' B D2 U2
F R' B F U2 L F'
F R' B F U2 F' L
B' R' B' D2 U2 F B2
B' R' B' D2 U2 B2 F
B' R' B' F2 U2 D F'
B' R' B' F2 U2 D' F'
B' R' B' F2 U2 D2 F'
B' R' B' F2 U2 F' D
B' R' B' F2 U2 F' D'
B' R' B' F2 U2 F' D2
B' R' B' F2 D U2 F'
B' R' B' F2 D' U2 F'
B' R' B' F2 D2 U2 F'
B2 R' B' F2 U2 L F'
B2 R' B' F2 U2 F' L
F R' B' R' F U2 F'
B' R' B2 U2 D2 F B2
B' R' B2 U2 D2 B2 F
B R' B' F2 U2 F' L'
F2 R' B2 R' B R' U2
B' R' B2 D2 U2 F B2
B' R' B2 D2 U2 B2 F
B R' B2 R' F2 U2 F'
B' R' B2 F2 U2 D F'
B' R' B2 F2 U2 D' F'
B' R' B2 F2 U2 D2 F'
B' R' B2 F2 U2 F' D
B' R' B2 F2 U2 F' D'
B' R' B2 F2 U2 F' D2
B' R' B2 F2 D U2 F'
B' R' B2 F2 D' U2 F'
B' R' B2 F2 D2 U2 F'
B2 R' B2 F2 U2 F' L'
R' U2 D2 F' L' F2 B2
R' U2 D2 F' L' B2 F2
R' U2 D2 F' B2 L' F2
F' R2 L F2 B L R
F' R2 L F2 B R L
F' R2 L B F2 L R
F' R2 L B F2 R L
R' U2 D2 B2 F' L' F2
F2 R2 L B L' U2 L2
L' U2 D2 B2 R' F' L'
R2 U2 D2 F' L' F2 B2
R2 U2 D2 F' L' B2 F2
R' U2 F U2 R F U2
R2 U2 D2 F' B2 L' F2
L2 U2 D2 B2 R2 F' L'
R2 U2 D2 B2 F' L' F2
R U2 D2 F' L' F2 B2
R U2 D2 F' L' B2 F2
R' U2 F' L F2 L2 B'
R U2 D2 F' B2 L' F2
R U2 D2 B2 F' L' F2
R2 U2 F U2 R F U2
F2 R2 L2 B L2 U2 L'
R U2 F U2 R F U2
R2 U2 F' L F2 L2 B'
R U2 F' L F2 L2 B'
F R2 L2 B L B2 R'
U' R2 U F2 U2 F' L'
L2 U2 F2 L2 U2 F L'
D2 R2 U2 F' L' F2 B2
D2 R2 U2 F' L' B2 F2
D2 R2 U2 F' B2 L' F2
F2 R2 U2 R2 F' L' R2
F2 R2 U2 R2 F' R2 L'
F' R2 U2 F' L' F' B
F' R2 U2 F' L' B F'
F' R2 U2 F' B L' F'
B2 R2 U2 D2 F L' B2
B2 R2 U2 D2 F B2 L'
B2 R2 U2 D2 B2 F L'
B2 R2 U2 F L2 B' L
F' R2 U2 B F' L' F'
D2 R2 U2 B2 F' L' F2
B R2 U2 D2 F L B2
B R2 U2 F L2 B' L'
F R2 U2 F R U2 R'
F2 R2 D R2 U2 F' L'
D' R2 D F2 U2 F' L'
F2 R2 D B R U2 L
F2 R2 D B R' U2 L
F2 R2 D B R2 U2 L
F2 R2 D B U2 L D
F2 R2 D B U2 L D'
F2 R2 D B U2 L D2
F2 R2 D B U2 D L
F2 R2 D B U2 D' L
F2 R2 D B U2 D2 L
F2 R2 D B D U2 L
F2 R2 D B D' U2 L
F2 R2 D B D2 U2 L
F2 R2 D B' R' B2 U2
F R2 D F U2 F' L'
F2 R2 D' R2 U2 F' L'
F2 R2 D' B R U2 L
F2 R2 D' B R' U2 L
F2 R2 D' B R2 U2 L
F2 R2 D' B U2 L D
F2 R2 D' B U2 L D'
F2 R2 D' B U2 L D2
F2 R2 D' B U2 D L
F2 R2 D' B U2 D' L
F2 R2 D' B U2 D2 L
F2 R2 D' B D U2 L
F2 R2 D' B D' U2 L
F2 R2 D' B D2 U2 L
F2 R2 D' B' R' B2 U2
B' R2 D2 R U2 F B2
B' R2 D2 R U2 B2 F
F R2 D' F U2 F' L'
D2 R2 D2 F2 U2 F' L'
F2 R2 D2 R2 U2 F' L'
B2 R2 D2 U2 F L' B2
B2 R2 D2 U2 F B2 L'
B2 R2 D2 U2 B2 F L'
B2 R2 D2 F L' B2 R'
F' R2 D2 B2 U2 B' L
F2 R2 D2 B R U2 L
F2 R2 D2 B R' U2 L
F2 R2 D2 B R2 U2 L
F2 R2 D2 B U2 L D
F2 R2 D2 B U2 L D'
F2 R2 D2 B U2 L D2
F2 R2 D2 B U2 D L
F2 R2 D2 B U2 D' L
F2 R2 D2 B U2 D2 L
F2 R2 D2 B D U2 L
F2 R2 D2 B D' U2 L
F2 R2 D2 B D2 U2 L
F2 R2 D2 B' R' B2 U2
B R2 D2 U2 F L B2
F R2 D2 F U2 F' L'
F R2 F R2 B U2 L
U2 R2 F' L' R2 F2 B
U2 R2 F' L' R2 B F2
F R2 F U2 L F' L'
F R2 F U2 L' F' L'
F R2 F U2 L2 F' L'
F R2 F U2 D F' L'
F' R2 F' U2 F' L' B
F' R2 F' U2 F' B L'
F R2 F U2 D' F' L'
F R2 F U2 D2 F' L'
F' R2 F' U2 B F' L'
F R2 F U2 F' L' D
F R2 F U2 F' L' D'
F R2 F U2 F' L' D2
F R2 F U2 F' D L'
F R2 F U2 F' D' L'
F R2 F U2 F' D2 L'
F R2 F D U2 F' L'
F R2 F D' U2 F' L'
U2 R2 F' R2 L' F2 B
U2 R2 F' R2 L' B F2
U2 R2 F' R2 B L' F2
F R2 F D2 U2 F' L'
F R2 F B U2 L F'
F R2 F B U2 F' L
B' R2 F2 R2 B U2 L'
D2 R2 F2 U2 F' L' B2
D2 R2 F2 U2 F' B2 L'
D2 R2 F2 U2 B2 F' L'
B' R2 F2 U2 L F' L2
B' R2 F2 U2 L' D F'
B' R2 F2 U2 L' D' F'
B' R2 F2 U2 L' D2 F'
B' R2 F2 U2 L' F' D
B' R2 F2 U2 L' F' D'
B' R2 F2 U2 L' F' D2
B' R2 F2 U2 L2 F' L
B' R2 F2 U2 D L' F'
B' R2 F2 U2 D' L' F'
B' R2 F2 U2 D2 L' F'
B2 R2 F2 R2 B R' U2
B' R2 F2 D U2 L' F'
B' R2 F2 D' U2 L' F'
B' R2 F2 D2 U2 L' F'
B' R2 F2 B U2 L' F'
B' R2 F2 B' U2 L' F'
B R2 F2 R U2 L F
B' R2 F2 B2 U2 L' F'
F' R2 B L R F2 R
F' R2 B L R' F2 R
F' R2 B L R2 F2 R
F' R2 B L F2 R D
F' R2 B L F2 R D'
F' R2 B L F2 R D2
F' R2 B L F2 D R
F' R2 B L F2 D' R
F' R2 B L F2 D2 R
B2 R2 F2 B' U2 L F'
B2 R2 F2 B' U2 F' L
F' R2 B R L F2 R
B2 R2 F2 B2 U2 F' L'
B' R2 B R F2 U2 F'
F' R2 B R' L F2 R
B R2 F2 U2 L D F'
B R2 F2 U2 L D' F'
B R2 F2 U2 L D2 F'
B R2 F2 U2 L F' D
B R2 F2 U2 L F' D'
B R2 F2 U2 L F' D2
B R2 F2 U2 L' F' L2
B R2 F2 U2 D L F'
B R2 F2 U2 D F' L
B R2 F2 U2 D' L F'
B R2 F2 U2 D' F' L
B R2 F2 U2 D2 L F'
B R2 F2 U2 D2 F' L
B R2 F2 U2 F L F2
B R2 F2 U2 F' L D
B R2 F2 U2 F' L D'
B R2 F2 U2 F' L D2
B R2 F2 U2 F' D L
B R2 F2 U2 F' D' L
B R2 F2 U2 F' D2 L
F' R2 B R2 L F2 R
B R2 F2 D U2 L F'
B R2 F2 D U2 F' L
B R2 F2 D' U2 L F'
B R2 F2 D' U2 F' L
D2 R2 B U2 F L B
F2 R2 B R U2 L D
F2 R2 B R U2 L D'
F2 R2 B R U2 L D2
F2 R2 B R U2 D L
F2 R2 B R U2 D' L
F2 R2 B R U2 D2 L
F2 R2 B R D U2 L
F2 R2 B R D' U2 L
B R2 F2 D2 U2 L F'
B R2 F2 D2 U2 F' L
F2 R2 B R D2 U2 L
B2 R2 B R' F2 U2 F'
F2 R2 B R' U2 L D
F2 R2 B R' U2 L D'
F2 R2 B R' U2 L D2
F2 R2 B R' U2 D L
F2 R2 B R' U2 D' L
F2 R2 B R' U2 D2 L
F2 R2 B R' D U2 L
F2 R2 B R' D' U2 L
F2 R2 B R' D2 U2 L
F2 R2 B R2 U2 L D
F2 R2 B R2 U2 L D'
F2 R2 B R2 U2 L D2
B R2 F2 B' U2 F' L'
F2 R2 B R2 U2 D L
F2 R2 B R2 U2 D' L
F2 R2 B R2 U2 D2 L
F2 R2 B R2 D U2 L
F2 R2 B R2 D' U2 L
F2 R2 B R2 D2 U2 L
F2 R2 B U F U L
F2 R2 B U F' U L
F2 R2 B U F2 U L
F2 R2 B U2 L2 D L'
F2 R2 B U2 L2 D' L'
F2 R2 B U2 L2 D2 L'
F2 R2 B U2 D L D
F2 R2 B U2 D L D'
F2 R2 B U2 D L D2
F2 R2 B U2 D' L D
F2 R2 B U2 D' L D'
F2 R2 B U2 D' L D2
F2 R2 B U2 D2 L D
F2 R2 B U2 D2 L D'
F2 R2 B U2 D2 L D2
F2 R2 B U2 F L F'
F2 R2 B U2 F2 L F2
F2 R2 B D R U2 L
F2 R2 B D R' U2 L
F2 R2 B D R2 U2 L
F2 R2 B D U2 L D
F2 R2 B D U2 L D'
F2 R2 B D U2 L D2
B' R2 B F2 U2 L' F'
F2 R2 B D' R U2 L
F2 R2 B D' R' U2 L
F2 R2 B D' R2 U2 L
F2 R2 B D' U2 L D
F2 R2 B D' U2 L D'
F2 R2 B D' U2 L D2
F2 R2 B D2 R U2 L
F2 R2 B D2 R' U2 L
F2 R2 B D2 R2 U2 L
F2 R2 B D2 U2 L D
F2 R2 B D2 U2 L D'
F2 R2 B D2 U2 L D2
D2 R2 B' R' U2 F B'
D2 R2 B' R' U2 B' F
B' R2 B' R F2 U2 F'
F' R2 B' R' U2 F2 B2
F' R2 B' R' U2 B2 F2
F2 R2 B' R B2 R2 U2
F' R2 B' U2 F2 B2 L
F' R2 B' U2 B2 L F2
F' R2 B' U2 B2 F2 L
F2 R2 B' R' U2 D2 F2
F2 R2 B' R' D2 U2 F2
F2 R2 B' R' B2 U2 D
F2 R2 B' R' B2 U2 D'
F2 R2 B' R' B2 U2 D2
F2 R2 B' R' B2 D U2
F2 R2 B' R' B2 D' U2
F2 R2 B' R' B2 D2 U2
F2 R2 B' R2 B2 R U2
F R2 B F U2 L F'
F R2 B F U2 F' L
B' R2 B' F2 U2 L' F'
F2 R2 B' D2 R' U2 F2
B2 R2 B' F2 U2 L F'
B2 R2 B' F2 U2 F' L
B' R2 B2 R F2 U2 F'
F R2 B' R' F U2 F'
F2 R2 B2 R B' U2 L
F' R2 B2 U2 F2 B' L
F' R2 B2 U2 B' L F2
F' R2 B2 U2 B' F2 L
F2 R2 B2 R' B' U2 L
F2 R2 B2 R2 B' U2 L
B R2 B' F2 U2 F' L'
B' R2 B2 F2 U2 L' F'
B R2 B2 R' F2 U2 F'
B2 R2 B2 F2 U2 F' L'
D' U L2 U' B' R' U2
D' U R' F' L2 U F2
D2 U R' F' U F2 B2
D2 U R' F' U B2 F2
F2 U R' D' F' R U
F2 U R' F' R U F'
U' D R2 U' F' L' F2
U2 D F' L' F2 D B2
D' U F2 L2 U F' L'
D2 U F2 U F' L' B2
D2 U F2 U F' B2 L'
D2 U F2 U B2 F' L'
F2 U F R' F' U F'
F2 U F U F' L' F'
F2 U F' R' F' U F
F2 U F2 R' F' U F2
F2 U F2 U F' L' F2
F2 U' L U' F' D' L2
F2 U' L U2 F U F2
U D' L2 U' B' R' U2
F2 U' L' D B' U' F'
F2 U' L' D' B' U' F'
F2 U' L' D2 B' U' F'
F2 U' L' B' L U' F'
F2 U' L' B' L' U' F'
F2 U' L' B' L2 U' F'
F2 U' L' B' U' D F'
F2 U' L' B' U' D' F'
F2 U' L' B' U' D2 F'
F2 U' L' B' U' F' D
F2 U' L' B' U' F' D'
F2 U' L' B' U' F' D2
F2 U' L' B' D U' F'
F2 U' L' B' D' U' F'
F2 U' L' B' D2 U' F'
U D' R' F' L2 U F2
D U' R2 U' F' L' F2
F2 U' D L' B' U' F'
F2 U' D B U' F' L'
U D' F2 L2 U F' L'
F2 U' D B' U' F' L'
F2 U' D B2 U' F' L'
F2 U' D' L' B' U' F'
B U' D R2 U' F L
F2 U' D' B U' F' L'
F2 U' D' B' U' F' L'
F2 U' D' B2 U' F' L'
F2 U' D2 L' B' U' F'
F2 U' D2 B U' F' L'
F2 U' D2 B' U' F' L'
F2 U' D2 B2 U' F' L'
D2 U2 L F' L' F B2
D2 U2 L F' L' B2 F
D2 U2 L F' B2 L' F
D2 U2 L B2 F' L' F
U2 D2 L F' L' F B2
U2 D2 L F' L' B2 F
U2 D2 L F' B2 L' F
U2 D2 L B2 F' L' F
F2 U' B L' B' U' F'
F2 U' B U' L F' L'
F2 U' B U' L' F' L'
F2 U' B U' L2 F' L'
F2 U' B U' D F' L'
F2 U' B U' D' F' L'
F2 U' B U' D2 F' L'
F2 U' B U' F' L' D
F2 U' B U' F' L' D'
F2 U' B U' F' L' D2
F2 U' B U' F' D L'
F2 U' B U' F' D' L'
F2 U' B U' F' D2 L'
F2 U' B D U' F' L'
F2 U' B D' U' F' L'
F2 U' B D2 U' F' L'
F2 U' B' L' B' U' F'
F2 U' B' U' L F' L'
F2 U' B' U' L' F' L'
F2 U' B' U' L2 F' L'
F2 U' B' U' D F' L'
F2 U' B' U' D' F' L'
F2 U' B' U' D2 F' L'
F2 U' B' U' F' L' D
F2 U' B' U' F' L' D'
F2 U' B' U' F' L' D2
F2 U' B' U' F' D L'
F2 U' B' U' F' D' L'
F2 U' B' U' F' D2 L'
F2 U' B' D U' F' L'
F2 U' B' D' U' F' L'
F2 U' B' D2 U' F' L'
F2 U' B2 L' B' U' F'
F2 U' B2 U' L F' L'
F2 U' B2 U' L' F' L'
F2 U' B2 U' L2 F' L'
F2 U' B2 U' D F' L'
F2 U' B2 U' D' F' L'
F2 U' B2 U' D2 F' L'
F2 U' B2 U' F' L' D
F2 U' B2 U' F' L' D'
F2 U' B2 U' F' L' D2
F2 U' B2 U' F' D L'
F2 U' B2 U' F' D' L'
F2 U' B2 U' F' D2 L'
F2 U' B2 D U' F' L'
F2 U' B2 D' U' F' L'
F2 U' B2 D2 U' F' L'
R' D2 U2 F' L' F2 B2
R' D2 U2 F' L' B2 F2
R' D2 U2 F' B2 L' F2
D2 U2 R2 F R2 B2 L
F2 U2 L D L F' L'
F2 U2 L D L' F' L'
R' D2 U2 B2 F' L' F2
F2 U2 L D L2 F' L'
F2 U2 L D F' L' D
F2 U2 L D F' L' D'
F2 U2 L D F' L' D2
F2 U2 L D F' D L'
F2 U2 L D F' D' L'
F2 U2 L D F' D2 L'
F2 U2 L D' L F' L'
F2 U2 L D' L' F' L'
F2 U2 L D' L2 F' L'
F2 U2 L D' F' L' D
F2 U2 L D' F' L' D'
F2 U2 L D' F' L' D2
F2 U2 L D' F' D L'
F2 U2 L D' F' D' L'
F2 U2 L D' F' D2 L'
F2 U2 L D2 L F' L'
F2 U2 L D2 L' F' L'
F2 U2 L D2 L2 F' L'
F2 U2 L D2 F' L' D
F2 U2 L D2 F' L' D'
F2 U2 L D2 F' L' D2
F2 U2 L D2 F' D L'
F2 U2 L D2 F' D' L'
F2 U2 L D2 F' D2 L'
F2 U2 L F L F2 L'
F2 U2 L F L' F2 L'
F2 U2 L F L2 F2 L'
L' D2 U2 B2 R' F' L'
F2 U2 L F' L2 D L
F2 U2 L F' L2 D' L
F2 U2 L F' L2 D2 L
F2 U2 L F' D L' D
F2 U2 L F' D L' D'
F2 U2 L F' D L' D2
F2 U2 L F' D' L' D
F2 U2 L F' D' L' D'
F2 U2 L F' D' L' D2
F2 U2 L F' D2 L' D
F2 U2 L F' D2 L' D'
F2 U2 L F' D2 L' D2
F2 U2 L F' B' L' B
F2 U2 L F' B2 L' B2
U2 D2 R2 F R2 B2 L
U D2 R' F' U F2 B2
U D2 R' F' U B2 F2
F2 U2 L B' F' L' B
D2 U2 F R2 B2 L R2
D2 U2 F R2 B2 R2 L
F2 U2 L B2 F' L' B2
D2 U2 F U2 R U2 B2
R2 D2 U2 F' L' F2 B2
R2 D2 U2 F' L' B2 F2
B' U2 L' D2 B2 L F
L2 D2 U2 B2 R2 F' L'
R2 D2 U2 F' B2 L' F2
F2 U2 L' D L F' L'
F2 U2 L' D L' F' L'
F2 U2 L' D L2 F' L'
F2 U2 L' D F' L' D
F2 U2 L' D F' L' D'
F2 U2 L' D F' L' D2
F2 U2 L' D F' D L'
F2 U2 L' D F' D' L'
F2 U2 L' D F' D2 L'
F2 U2 L' D' L F' L'
F2 U2 L' D' L' F' L'
F2 U2 L' D' L2 F' L'
R2 D2 U2 B2 F' L' F2
F2 U2 L' D' F' L' D
F2 U2 L' D' F' L' D'
F2 U2 L' D' F' L' D2
F2 U2 L' D' F' D L'
F2 U2 L' D' F' D' L'
F2 U2 L' D' F' D2 L'
D2 U2 F B2 U2 R U2
F2 U2 L' D2 L F' L'
F2 U2 L' D2 L' F' L'
F2 U2 L' D2 L2 F' L'
F2 U2 L' D2 F' L' D
F2 U2 L' D2 F' L' D'
F2 U2 L' D2 F' L' D2
F2 U2 L' D2 F' D L'
F2 U2 L' D2 F' D' L'
F2 U2 L' D2 F' D2 L'
U2 D2 F R2 B2 L R2
U2 D2 F R2 B2 R2 L
D2 U2 F' L F2 L2 B2
D2 U2 F' L F2 B2 L2
F2 U2 L' F L F2 L'
D2 U2 F' L B2 L2 F2
F2 U2 L' F L' F2 L'
D2 U2 F' L B2 F2 L2
F2 U2 L' F L2 F2 L'
D2 U2 F' L' F2 B2 D
D2 U2 F' L' F2 B2 D'
D2 U2 F' L' F2 B2 D2
D2 U2 F' L' B2 F2 D
D2 U2 F' L' B2 F2 D'
D2 U2 F' L' B2 F2 D2
F2 U2 L' F' L2 D L
F2 U2 L' F' L2 D' L
F2 U2 L' F' L2 D2 L
F2 U2 L' F' D L' D
F2 U2 L' F' D L' D'
F2 U2 L' F' D L' D2
F2 U2 L' F' D' L' D
F2 U2 L' F' D' L' D'
F2 U2 L' F' D' L' D2
F2 U2 L' F' D2 L' D
F2 U2 L' F' D2 L' D'
F2 U2 L' F' D2 L' D2
D2 U2 F' L2 F2 L B2
F2 U2 L' F' B' L' B
F2 U2 L' F' B2 L' B2
U2 D2 F U2 R U2 B2
F2 U2 L' B' F' L' B
F2 U2 L' B2 F' L' B2
R D2 U2 F' L' F2 B2
R D2 U2 F' L' B2 F2
R D2 U2 F' B2 L' F2
U2 D2 F B2 U2 R U2
U2 D2 F' L F2 L2 B2
U2 D2 F' L F2 B2 L2
U2 D2 F' L B2 L2 F2
U2 D2 F' L B2 F2 L2
U2 D2 F' L' F2 B2 D
U2 D2 F' L' F2 B2 D'
U2 D2 F' L' F2 B2 D2
U2 D2 F' L' B2 F2 D
U2 D2 F' L' B2 F2 D'
U2 D2 F' L' B2 F2 D2
U2 D2 F' L2 F2 L B2
R D2 U2 B2 F' L' F2
D2 U2 F' B L' F2 B
D2 U2 F' B L' B F2
F2 U2 L2 D L F' L'
F2 U2 L2 D L' F' L'
F2 U2 L2 D L2 F' L'
F2 U2 L2 D F' L' D
F2 U2 L2 D F' L' D'
F2 U2 L2 D F' L' D2
F2 U2 L2 D F' D L'
F2 U2 L2 D F' D' L'
F2 U2 L2 D F' D2 L'
F2 U2 L2 D' L F' L'
F2 U2 L2 D' L' F' L'
F2 U2 L2 D' L2 F' L'
D2 U2 F' B2 L F2 L2
D2 U2 F' B2 L' F2 D
D2 U2 F' B2 L' F2 D'
D2 U2 F' B2 L' F2 D2
D2 U2 F' B2 L2 F2 L
F2 U2 L2 D' F' L' D
F2 U2 L2 D' F' L' D'
F2 U2 L2 D' F' L' D2
F2 U2 L2 D' F' D L'
F2 U2 L2 D' F' D' L'
F2 U2 L2 D' F' D2 L'
F2 U2 L2 D2 L F' L'
F2 U2 L2 D2 L' F' L'
F2 U2 L2 D2 L2 F' L'
F2 U2 L2 D2 F' L' D
F2 U2 L2 D2 F' L' D'
F2 U2 L2 D2 F' L' D2
F2 U2 L2 D2 F' D L'
F2 U2 L2 D2 F' D' L'
F2 U2 L2 D2 F' D2 L'
F2 U2 L2 F L F2 L'
F2 U2 L2 F L' F2 L'
F2 U2 L2 F L2 F2 L'
F2 U2 L2 F' L2 D L
F2 U2 L2 F' L2 D' L
F2 U2 L2 F' L2 D2 L
F2 U2 L2 F' D L' D
F2 U2 L2 F' D L' D'
F2 U2 L2 F' D L' D2
F2 U2 L2 F' D' L' D
F2 U2 L2 F' D' L' D'
F2 U2 L2 F' D' L' D2
F2 U2 L2 F' D2 L' D
F2 U2 L2 F' D2 L' D'
F2 U2 L2 F' D2 L' D2
F2 U2 L2 F' B' L' B
F2 U2 L2 F' B2 L' B2
D U2 F' L' F2 D B2
F2 U2 L2 B' F' L' B
F2 U2 L2 B2 F' L' B2
U2 D2 F' B L' F2 B
U2 D2 F' B L' B F2
R' D2 F2 U2 F' L' B2
R' D2 F2 U2 F' B2 L'
R' D2 F2 U2 B2 F' L'
U2 D2 F' B2 L F2 L2
U2 D2 F' B2 L' F2 D
U2 D2 F' B2 L' F2 D'
U2 D2 F' B2 L' F2 D2
U2 D2 F' B2 L2 F2 L
F2 U2 R D R' F' L'
F2 U2 R D' R' F' L'
F2 U2 R D2 R' F' L'
F2 U2 R F' L' R' F'
F2 U2 R F' R' L' F'
L' D2 B L F B R'
L' D2 B L B R' F
L' D2 B L B F R'
R' D2 B U2 F L B
R2 D2 F2 U2 F' L' B2
R2 D2 F2 U2 F' B2 L'
R2 D2 F2 U2 B2 F' L'
L2 D2 B L B R2 F'
B' U2 R' F2 L' U2 F'
D2 U2 B F' L' F2 B
D2 U2 B F' L' B F2
U D2 F2 U F' L' B2
U D2 F2 U F' B2 L'
U D2 F2 U B2 F' L'
R' D2 B' R' U2 F B'
R' D2 B' R' U2 B' F
F U2 R F R U2 R2
R D2 F2 U2 F' L' B2
R D2 F2 U2 F' B2 L'
R D2 F2 U2 B2 F' L'
U2 D2 B F' L' F2 B
U2 D2 B F' L' B F2
R2 D2 B U2 F L B
L2 D2 B' R' U2 R' B'
D2 U2 B2 L F' L' F
F2 U2 R2 F' L' R2 F'
F2 U2 R2 F' R2 L' F'
R2 D2 B' R' U2 F B'
R2 D2 B' R' U2 B' F
R D2 B U2 F L B
B' U2 D F D B2 L
F2 U2 D L D F' L'
F2 U2 D L D' F' L'
F2 U2 D L D2 F' L'
F2 U2 D L F' L' D
F2 U2 D L F' L' D'
F2 U2 D L F' L' D2
F2 U2 D L F' D L'
F2 U2 D L F' D' L'
F2 U2 D L F' D2 L'
F2 U2 D L' D F' L'
F2 U2 D L' D' F' L'
F2 U2 D L' D2 F' L'
F2 U2 D L' F' L' D
F2 U2 D L' F' L' D'
F2 U2 D L' F' L' D2
F2 U2 D L' F' D L'
F2 U2 D L' F' D' L'
F2 U2 D L' F' D2 L'
F2 U2 D L2 D F' L'
F2 U2 D L2 D' F' L'
F2 U2 D L2 D2 F' L'
D2 U2 B2 D F' L' F2
F2 U2 D L2 F' L' D
F2 U2 D L2 F' L' D'
F2 U2 D L2 F' L' D2
F2 U2 D L2 F' D L'
F2 U2 D L2 F' D' L'
F2 U2 D L2 F' D2 L'
U2 D2 B2 L F' L' F
D2 U2 B2 D' F' L' F2
D2 U2 B2 D2 F' L' F2
D2 U2 B2 F U2 R U2
D2 U2 B2 F' L F2 L2
D2 U2 B2 F' L' F2 D
D2 U2 B2 F' L' F2 D'
D2 U2 B2 F' L' F2 D2
D2 U2 B2 F' L2 F2 L
F2 U2 D F L F2 L'
F2 U2 D F L' F2 L'
F2 U2 D F L2 F2 L'
F2 U2 D F' L2 D L
F2 U2 D F' L2 D' L
F2 U2 D F' L2 D2 L
F2 U2 D F' D L' D
F2 U2 D F' D L' D'
F2 U2 D F' D L' D2
F2 U2 D F' D' L' D
F2 U2 D F' D' L' D'
F2 U2 D F' D' L' D2
F2 U2 D F' D2 L' D
F2 U2 D F' D2 L' D'
F2 U2 D F' D2 L' D2
F2 U2 D F' B' L' B
F2 U2 D F' B2 L' B2
R D2 B' R' U2 F B'
R D2 B' R' U2 B' F
F U2 R2 F R U2 R
F2 U2 D B' F' L' B
F2 U2 D B2 F' L' B2
U2 D2 B2 D F' L' F2
B' U2 D' F D' B2 L
F2 U2 D' L D F' L'
F2 U2 D' L D' F' L'
F2 U2 D' L D2 F' L'
F2 U2 D' L F' L' D
F2 U2 D' L F' L' D'
F2 U2 D' L F' L' D2
F2 U2 D' L F' D L'
F2 U2 D' L F' D' L'
F2 U2 D' L F' D2 L'
U2 D2 B2 D' F' L' F2
F2 U2 D' L' D F' L'
F2 U2 D' L' D' F' L'
F2 U2 D' L' D2 F' L'
F2 U2 D' L' F' L' D
F2 U2 D' L' F' L' D'
F2 U2 D' L' F' L' D2
F2 U2 D' L' F' D L'
F2 U2 D' L' F' D' L'
F2 U2 D' L' F' D2 L'
U2 D2 B2 D2 F' L' F2
F2 U2 D' L2 D F' L'
F2 U2 D' L2 D' F' L'
F2 U2 D' L2 D2 F' L'
F2 U2 D' L2 F' L' D
F2 U2 D' L2 F' L' D'
F2 U2 D' L2 F' L' D2
F2 U2 D' L2 F' D L'
F2 U2 D' L2 F' D' L'
F2 U2 D' L2 F' D2 L'
U2 D2 B2 F U2 R U2
U2 D2 B2 F' L F2 L2
U2 D2 B2 F' L' F2 D
U2 D2 B2 F' L' F2 D'
U2 D2 B2 F' L' F2 D2
U2 D2 B2 F' L2 F2 L
B U2 D F L D B2
B U2 D F D L B2
F2 U2 D' F L F2 L'
F2 U2 D' F L' F2 L'
F2 U2 D' F L2 F2 L'
F2 U2 D' F' L2 D L
F2 U2 D' F' L2 D' L
F2 U2 D' F' L2 D2 L
B' U2 D2 L' B2 L F
F2 U2 D' F' D L' D
F2 U2 D' F' D L' D'
F2 U2 D' F' D L' D2
F2 U2 D' F' D' L' D
F2 U2 D' F' D' L' D'
F2 U2 D' F' D' L' D2
F2 U2 D' F' D2 L' D
F2 U2 D' F' D2 L' D'
F2 U2 D' F' D2 L' D2
F2 U2 D' F' B' L' B
F2 U2 D' F' B2 L' B2
F U2 D F R U2 R'
F2 U2 D' B' F' L' B
B' U2 D2 F L B2 L
B' U2 D2 F L' B2 L
B' U2 D2 F L2 B2 L
F2 U2 D' B2 F' L' B2
B' U2 D2 F B2 L D
B' U2 D2 F B2 L D'
B' U2 D2 F B2 L D2
B' U2 D2 F B2 D L
B' U2 D2 F B2 D' L
B' U2 D2 F B2 D2 L
F2 U2 D2 L D F' L'
F2 U2 D2 L D' F' L'
F2 U2 D2 L D2 F' L'
F2 U2 D2 L F' L' D
F2 U2 D2 L F' L' D'
F2 U2 D2 L F' L' D2
F2 U2 D2 L F' D L'
F2 U2 D2 L F' D' L'
