R2 L U' R' U2 R
U2 L R2 U' R' U2
U2 L U D' F2 L'
U2 L D' U F2 L'
U2 L F2 R2 U L'
U' L' D' F2 L' B2
U' L' D' F2 B2 L'
U' L' D' B2 F2 L'
L R2 U' R' U2 R
U R U L R U
U R U R L U
L' U' D' F2 L' B2
L' U' D' F2 B2 L'
L' U' D' B2 F2 L'
B2 R' D B2 L U'
R U2 L R U L'
R U2 R L U L'
U2 R2 L U' R' U2
R' D B2 L R' U'
R' D B2 R' L U'
L' D' U' F2 L' B2
L' D' U' F2 B2 L'
L' D' U' B2 F2 L'
U2 D' L U F2 L'
U' D' F2 L' D' B2
D' U' F2 L' D' B2
B' U' D' F2 L' B'
D' U2 L U F2 L'
U2 F2 L R2 U L2
B' D' U' F2 L' B'
U' F2 L' D' F2 B2
U' F2 L' D' B2 F2
U2 F2 R2 L U L2
D' B' U' F2 L' B'
D' F2 D2 L' D' R2 B2
D' F2 D2 L' D' B2 R2
B2 D2 R' L2 U R2 U2
B2 D2 R' L2 U' D2 L2
B2 D2 R' L2 D B2 U'
B2 D2 R' L2 D2 U' L2
R2 F2 D2 L B2 U L
B2 D2 R' D B2 U' F2
L F2 D' U L' F2 R
L B R2 U' R' U2 R
L' B U' D' F2 L' B2
L' B U' D' F2 B2 L'
L' B U' D' B2 F2 L'
L' B D' U' F2 L' B2
L' B D' U' F2 B2 L'
L' B D' U' B2 F2 L'
U B D' R F' U2 F'
D' B' L U' F2 L' B'
D' B' L' U' F2 L' B'
D2 B' L2 U R U2 B
D' B' L2 U' F2 L' B'
U B' R U R U B
D' B' U R U2 F2 B
D' B' U R U2 B F2
D' B' U' L' F2 B' L'
D' B' U' L' B' F2 L'
D2 B' U' D F2 L' B'
L B' R2 U' R' U2 R
L' B' U' D' F2 L' B2
L' B' U' D' F2 B2 L'
L' B' U' D' B2 F2 L'
D' B' U' F2 L' D B'
D' B' U' F2 L' D' B'
D' B' U' F2 L' D2 B'
D' B' U' F2 L' B' D
D' B' U' F2 L' B' D'
D' B' U' F2 L' B' D2
D B' U R B' U2 B2
D' B' U' F2 D L' B'
D' B' U' F2 D' L' B'
D' B' U' F2 D2 L' B'
D' B' U' F2 B L' B'
D' B' U' F2 B' L' B'
D' B' U' F2 B2 L' B'
D' B' U' B F2 L' B'
D' B' U' B' F2 L' B'
D' B' U' B2 F2 L' B'
D B' U B' R U2 B
D2 B' D U' F2 L' B'
L' B' D' U' F2 L' B2
L' B' D' U' F2 B2 L'
L' B' D' U' B2 F2 L'
R' B2 L R' U R' U2
R' B2 L R' B2 U' L
R' B2 L D R' B2 U'
R' B2 L D2 R' U' L2
D2 B2 L2 R' U R2 U2
D2 B2 L2 R' U' D2 L2
D2 B2 L2 R' D B2 U'
D2 B2 L2 R' D2 U' L2
R' B2 R' L U R' U2
R' B2 R' L B2 U' L
D2 B2 R' L2 U R2 U2
D2 B2 R' L2 U' D2 L2
D2 B2 R' L2 D B2 U'
D2 B2 R' L2 D2 U' L2
D' B2 R' U R2 U2 F2
D2 B2 R' D B2 U' F2
D' B2 R' U' F2 D2 L2
D B2 R U' R2 U' R2
R2 B2 R' U2 R U L
R B2 R' U' D' F2 L'
R B2 R' D' U' F2 L'
L B2 R2 U' R' U2 R
L' B2 U' D' F2 L' B2
L' B2 U' D' F2 B2 L'
L' B2 U' D' B2 F2 L'
R' B2 D L R' B2 U'
R' B2 D R' L B2 U'
L' B2 D' U' F2 L' B2
L' B2 D' U' F2 B2 L'
L' B2 D' U' B2 F2 L'
R' B2 D2 L R' U' L
R' B2 D2 R' L U' L
