U L' B U2 B2
U B L' U2 B'
U L F L2 B U2
U L F B L2 U2
U L B L2 U2 B'
U L B F L2 U2
U L' U2 B' D2 F2
U L' U2 B' D2 F2
U L' D B U2 B2
U L' D' B U2 B2
U L' D2 B U2 B2
U L' F B U2 B2
U L' F' B U2 B2
U L' F2 B U2 B2
U L' B U2 B2 D
U L' B U2 B2 D'
U L' B U2 B2 D2
U L' B D2 F2 U2
U L' B F U2 B2
U L' B F' U2 B2
U L' B F2 U2 B2
L2 U L F B U2
L2 U L B F U2
R2 U L' U2 F' B'
R2 U L' U2 B' F'
F R F U' R F'
U' R F2 B R F'
U' R B F2 R F'
R2 U' F2 R F B
R2 U' F2 R B F
R U' F2 R F' B
R U' F2 R B F'
D2 U L' B U2 B2
D' U L' B U2 B2
U D L' B U2 B2
D U L' B U2 B2
D2 U B L' U2 B'
D' U B L' U2 B'
D U B L' U2 B'
U D B L' U2 B'
U D' L' B U2 B2
U D' B L' U2 B'
U D2 L' B U2 B2
U D2 B L' U2 B'
U' F2 R2 F' R' B
U F2 B U2 R B
U B L F L2 U2
U B L' U2 D B'
U B L' U2 D' B'
U B L' U2 D2 B'
U B L' U2 B' D
U B L' U2 B' D'
U B L' U2 B' D2
U B L' D U2 B'
U B L' D' U2 B'
U B L' D2 U2 B'
U B L' F U2 B'
U B L' F' U2 B'
U B L' F2 U2 B'
U B D L' U2 B'
U B D' L' U2 B'
U B D2 L' U2 B'
U B F2 U2 R B
U B' L' B2 U2 B
U' B' D2 F2 R B
U B D L' F2 U2 B'
U B D F2 U2 R B
U B D' L F L2 U2
U B D' L' U2 D B'
U B D' L' U2 D' B'
U B D' L' U2 D2 B'
U B D' L' U2 B' D
U B D' L' U2 B' D'
U B D' L' U2 B' D2
U B D' L' D U2 B'
U B D' L' D' U2 B'
U B D' L' D2 U2 B'
U B D' L' F U2 B'
U B D' L' F' U2 B'
U B D' L' F2 U2 B'
L' B F U' R B' U'
L' B F U' B' R U'
U B D' F2 U2 R B
U B D2 L F L2 U2
U B D2 L' U2 D B'
U B D2 L' U2 D' B'
U B D2 L' U2 D2 B'
U B D2 L' U2 B' D
U B D2 L' U2 B' D'
U B D2 L' U2 B' D2
U B D2 L' D U2 B'
U B D2 L' D' U2 B'
U B D2 L' D2 U2 B'
U B D2 L' F U2 B'
U B D2 L' F' U2 B'
U B D2 L' F2 U2 B'
U B D2 F2 U2 R B
U B F L F U2 R
U B F L' U2 B' R'
U B F' L F L' U2
U B F2 L' U2 R B'
U B F2 L' U2 B' R
U' B' L' B2 R' F' U2
U B F2 U2 R D B
U B F2 U2 R D' B
U B F2 U2 R D2 B
U B F2 U2 R B D
U B F2 U2 R B D'
U B F2 U2 R B D2
U B F2 U2 D R B
U B F2 U2 D' R B
U B F2 U2 D2 R B
U B F2 U2 B R B
U B F2 U2 B' R B
U B F2 U2 B2 R B
U B F2 D U2 R B
U B F2 D' U2 R B
U B F2 D2 U2 R B
U B' L F L2 B2 U2
U B' L F B2 L2 U2
U B' L B2 L2 U2 B'
U B' L B2 F L2 U2
U' B' R D2 F2 B R
U' B' R D2 B F2 R
U B' L' U2 D2 F2 B'
U B' L' U2 D2 B' F2
U B' L' D2 U2 F2 B'
U B' L' D2 U2 B' F2
U B' L' F B2 U2 B
U B' L' F' B2 U2 B
U B' L' F2 B2 U2 B
U B' L' B2 U2 D B
U B' L' B2 U2 D' B
U B' L' B2 U2 D2 B
U B' L' B2 U2 B D
U B' L' B2 U2 B D'
U B' L' B2 U2 B D2
U B' L' B2 D U2 B
U B' L' B2 D' U2 B
U B' L' B2 D2 U2 B
U B' L' B2 F U2 B
U B' L' B2 F' U2 B
U B' L' B2 F2 U2 B
U' B' U2 L' B2 U2 B
U' B' U2 B2 L' U2 B'
U B' U2 D2 F2 R B
U' B' D2 R F2 B R
U' B' D2 R B F2 R
U' B' D2 F2 R D B
U' B' D2 F2 R D' B
U' B' D2 F2 R D2 B
U' B' D2 F2 R B D
U' B' D2 F2 R B D'
U' B' D2 F2 R B D2
U' B' D2 F2 D R B
U' B' D2 F2 D' R B
U' B' D2 F2 D2 R B
U' B' D2 F2 B R B
U' B' D2 F2 B' R B
U' B' D2 F2 B2 R B
U' B' D2 B F2 R B
U' B' D2 B' F2 R B
U' B' D2 B2 F2 R B
U B' D2 L' U2 F2 B'
U B' D2 L' U2 B' F2
U' B' F2 R D2 F2 B
U' B' F2 R D2 B F2
U B' D2 U2 F2 R B
U' B' F2 D2 R F2 B
U' B' F2 D2 R B F2
U' B2 R B D2 F2 R
U' B2 U2 B' L' U2 B'
U B2 D B' L' U2 B'
U B2 D' B' L' U2 B'
U' B2 F2 R B D2 F2
U B2 D2 B' L' U2 B'
