B2 L2 F U' F2
B2 U2 B' U F'
B2 L U' F R F2
B2 L F2 U' F R
B2 L' U' D F' R
B2 L' D U' F' R
B2 L2 U' F' D R2
B2 L2 D F U' F2
B2 L2 D' F U' F2
B2 L2 D' F U' F2
B2 L2 D2 F U' F2
B2 L2 F L U' F2
B2 L2 F L' U' F2
B2 L2 F L2 U' F2
B2 L2 F U' F2 D
B2 L2 F U' F2 D'
B2 L2 F U' F2 D2
B2 L2 F D' L2 U'
U2 D B U L2 F'
U2 D B U F' L2
B2 U' F' U' B' U
U2 D2 F2 B U F
D2 U2 F2 B U F
U2 D2 B F2 U F
D2 U2 B F2 U F
D U2 B U L2 F'
D U2 B U F' L2
B2 U2 D B' U F'
B2 U2 D' B' U F'
B2 U2 D2 B' U F'
B2 U2 B' U D F'
B2 U2 B' U D' F'
B2 U2 B' U D2 F'
B2 U2 B' U F' D
B2 U2 B' U F' D'
B2 U2 B' U F' D2
B2 U2 B' D U F'
B2 U2 B' D' U F'
B2 U2 B' D2 U F'
B2 D L2 F U' F2
B2 D U2 B' U F'
B2 D U2 B' U F'
R2 F' R2 B2 U' F'
B2 D' L2 F U' F2
B2 D' U2 B' U F'
B' D' B' U' F' R2
B2 D2 L2 F U' F2
B2 D2 L2 F U' F2
B2 D2 U2 B' U F'
B' D2 F2 B' U' F
B' D2 B' F2 U' F
D B U F' L2 B'
U2 B U2 B U' F'
B2 F L2 F U' F
B2 F U2 B' U F2
B2 F D' L2 F U'
B2 F' L2 F U' F'
L' B2 L2 F U' F2
L2 B2 L2 F U' F2
L B2 L2 F U' F2
F' B2 L2 F U' F'
L' B2 U2 B' U F'
F B2 L2 F U' F
L2 B2 U2 B' U F'
L B2 U2 B' U F'
F2 B2 U2 B' U F
B2 F2 U2 B' U F
F B2 U2 B' U F2
F B2 D' L2 F U'
D B U F' B L2 B'
B2 F L U' F R F
D B U F' B' L2 B'
D B U F' B2 L2 B'
D B U B F' L2 B'
D B U B' F' L2 B'
D B U B2 F' L2 B'
U' B U2 B U' F' B2
U' B U2 B U' B2 F'
B2 F L F U' F R
D B U' L2 D2 F' R2
D B U' L2 F' D2 R2
U2 B U2 L B U' F'
U2 B U2 L' B U' F'
R2 B U' F' B R2 U'
U2 B U2 L2 B U' F'
D B U' F' L2 D2 R2
R2 B U' B F' R2 U'
U2 B U2 D B U' F'
U2 B U2 D' B U' F'
U2 B U2 D2 B U' F'
U2 B U2 B L U' F'
U2 B U2 B L' U' F'
U2 B U2 B L2 U' F'
U2 B U2 B U' D F'
U2 B U2 B U' D' F'
U2 B U2 B U' D2 F'
U2 B U2 B U' F' D
U2 B U2 B U' F' D'
U2 B U2 B U' F' D2
U2 B U2 B D U' F'
U2 B U2 B D' U' F'
U2 B U2 B D2 U' F'
U2 B D U2 B U' F'
D2 B D' U F' L2 B'
B2 F L2 D' F L2 U'
B2 F L2 F U' D F
B2 F L2 F U' D' F
B2 F L2 F U' D2 F
B2 F L2 F U' F D
B2 F L2 F U' F D'
B2 F L2 F U' F D2
B2 F L2 F D U' F
B2 F L2 F D' U' F
B2 F L2 F D2 U' F
U B U2 B U' F' B'
U B U2 B U' B' F'
U2 B D' U2 B U' F'
D' B D2 U F' L2 B'
U2 B D2 U2 B U' F'
U2 B F R2 F' U F'
U2 B F U2 B U' F2
U2 B F D R2 F' U
U2 B F' R2 F' U F
U2 B F2 R2 F' U F2
U2 B F2 U2 B U' F
B2 F U' F2 U' B' U
B2 F U2 R B' U F2
B2 F U2 R' B' U F2
B2 F U2 R2 B' U F2
B2 F U2 D R2 B' U
B2 F U2 D B' R2 U
B2 F U2 B' R U F2
B2 F U2 B' R' U F2
B2 F U2 B' R2 U F2
B2 F U2 B' U F2 D
B2 F U2 B' U F2 D'
B2 F U2 B' U F2 D2
B2 F U2 B' D R2 U
B2 F D U2 R2 B' U
B2 F D U2 B' R2 U
B2 F D' L2 D F U'
B2 F D' L2 D' F U'
B2 F D' L2 D2 F U'
B2 F D' L2 F U' D
B2 F D' L2 F U' D'
B2 F D' L2 F U' D2
B2 F D' L2 F D U'
B2 F D' L2 F D' U'
B2 F D' L2 F D2 U'
B' F D' B' L2 U' R2
B2 F D' F L2 F U'
B2 F D' F' L2 F U'
B2 F D' F2 L2 F U'
B F D' B L2 F U'
F B D' B L2 F U'
B2 F' L F' U' F R
D2 B' U' D' L2 F' R2
D2 B' U' D' F' L2 R2
D2 B' U' D' F' R2 L2
B2 F' L2 D F U' F'
B2 F' L2 D' F U' F'
B2 F' L2 D2 F U' F'
B2 F' L2 F L U' F'
B2 F' L2 F L' U' F'
B2 F' L2 F L2 U' F'
B2 F' L2 F U' D F'
B2 F' L2 F U' D' F'
B2 F' L2 F U' D2 F'
B2 F' L2 F U' F' D
B2 F' L2 F U' F' D'
B2 F' L2 F U' F' D2
B2 F' L2 F D U' F'
B2 F' L2 F D' U' F'
B2 F' L2 F D2 U' F'
D B' U' L2 D' F' R2
D2 B' U2 F2 B2 U F
D B' U' L2 F' D' R2
D2 B' U2 B2 F2 U F
D B' U' F' L2 D' R2
D2 B' D' U' L2 F' R2
D2 B' D' U' F' L2 R2
D2 B' D' U' F' R2 L2
D B' U2 B2 U L2 F'
D B' U2 B2 U F' L2
L' B' D' B' U' F' R2
D2 B' D2 F2 B2 U' F
L2 B' D' B' U' F' R2
D' B' D2 F2 U' F L2
D2 B' D2 B2 F2 U' F
L' B' D2 F2 B' U' F
L' B' D2 B' F2 U' F
D B' D' B2 U' F' R2
L2 B' D2 F2 B' U' F
L2 B' D2 B' F2 U' F
L B' D' B' U' F' R2
L B' D2 F2 B' U' F
L B' D2 B' F2 U' F
B2 F' U2 B' R2 U F'
B2 F' U2 B' U' B U2
B2 F' D L2 F U' F'
L' B2 L U' F R F2
L' B2 L F2 U' F R
L2 B2 L U' F R F2
B2 F' D' L2 F U' F'
L' B2 L' U' D F' R
L2 B2 L F2 U' F R
L' B2 L' D U' F' R
F2 B' D' B' U' R2 F
F2 B' D' B' U' F R2
L2 B2 L' U' D F' R
B' F' D2 F2 B' U' F2
B2 F' D2 L2 F U' F'
U' B2 L2 F U' F2 B2
U' B2 L2 F U' B2 F2
L2 B2 L' D U' F' R
B' F' D2 B' F2 U' F2
L' B2 L2 U' F' D R2
L B2 L U' F R F2
F' B' D2 F2 B' U' F2
L' B2 L2 D F U' F2
L' B2 L2 D' F U' F2
F' B' D2 B' F2 U' F2
L' B2 L2 D2 F U' F2
L' B2 L2 F L U' F2
L' B2 L2 F L' U' F2
L' B2 L2 F L2 U' F2
L' B2 L2 F U' F2 D
L' B2 L2 F U' F2 D'
L' B2 L2 F U' F2 D2
L' B2 L2 F D' L2 U'
F2 B' D2 F2 B' U' F'
L B2 L F2 U' F R
F2 B' D2 B' F2 U' F'
L2 B2 L2 U' F' D R2
L2 B2 L2 D F U' F2
R' B2 R U2 B U F'
L2 B2 L2 D' F U' F2
L2 B2 L2 D2 F U' F2
L2 B2 L2 F L U' F2
L2 B2 L2 F L' U' F2
L2 B2 L2 F L2 U' F2
L2 B2 L2 F U' F2 D
L2 B2 L2 F U' F2 D'
L2 B2 L2 F U' F2 D2
F B' D' B' L2 U' R2
L2 B2 L2 F D' L2 U'
F' B2 L F' U' F R
L B2 L' U' D F' R
L B2 L' D U' F' R
R2 B2 L2 F' R2 U' F2
L B2 L2 U' F' D R2
R' B2 R' F' R2 U' F'
L B2 L2 D F U' F2
L B2 L2 D' F U' F2
L B2 L2 D2 F U' F2
L B2 L2 F L U' F2
L B2 L2 F L' U' F2
L B2 L2 F L2 U' F2
F B2 L U' F R F
L B2 L2 F U' F2 D
L B2 L2 F U' F2 D'
L B2 L2 F U' F2 D2
L B2 L2 F D' L2 U'
F' B2 L2 D F U' F'
F B2 L F U' F R
F' B2 L2 D' F U' F'
F' B2 L2 D2 F U' F'
F' B2 L2 F L U' F'
F' B2 L2 F L' U' F'
F' B2 L2 F L2 U' F'
F' B2 L2 F U' D F'
F' B2 L2 F U' D' F'
F' B2 L2 F U' D2 F'
F' B2 L2 F U' F' D
F' B2 L2 F U' F' D'
F' B2 L2 F U' F' D2
F' B2 L2 F D U' F'
F' B2 L2 F D' U' F'
F' B2 L2 F D2 U' F'
B2 F2 L2 F L2 U' F
B2 F2 L2 F U B' U2
F2 B2 L2 F L2 U' F
F2 B2 L2 F U B' U2
F B2 L2 D' F L2 U'
F B2 L2 F U' D F
F B2 L2 F U' D' F
F B2 L2 F U' D2 F
F B2 L2 F U' F D
F B2 L2 F U' F D'
F B2 L2 F U' F D2
F B2 L2 F D U' F
F B2 L2 F D' U' F
F B2 L2 F D2 U' F
L' B2 U' F' U' B' U
U' B2 U2 B' U F' B'
U' B2 U2 B' U B' F'
L2 B2 U' F' U' B' U
L' B2 U2 D B' U F'
D2 B2 U2 F2 B' U F
L' B2 U2 D' B' U F'
L' B2 U2 D2 B' U F'
D B2 U' L2 F' D R2
D2 B2 U2 B' F2 U F
L' B2 U2 B' U D F'
L' B2 U2 B' U D' F'
L' B2 U2 B' U D2 F'
L' B2 U2 B' U F' D
L' B2 U2 B' U F' D'
L' B2 U2 B' U F' D2
L' B2 U2 B' D U F'
L' B2 U2 B' D' U F'
L' B2 U2 B' D2 U F'
L2 B2 U2 D B' U F'
L' B2 D L2 F U' F2
L2 B2 U2 D' B' U F'
L2 B2 U2 D2 B' U F'
L2 B2 U2 B' U D F'
L2 B2 U2 B' U D' F'
L2 B2 U2 B' U D2 F'
L2 B2 U2 B' U F' D
L2 B2 U2 B' U F' D'
L2 B2 U2 B' U F' D2
L' B2 D U2 B' U F'
L2 B2 U2 B' D U F'
L2 B2 U2 B' D' U F'
L2 B2 U2 B' D2 U F'
L B2 U' F' U' B' U
L2 B2 D L2 F U' F2
L' B2 D' L2 F U' F2
L2 B2 D U2 B' U F'
D B2 U2 B' U L2 F'
D B2 U2 B' U F' L2
B2 F2 U' F U' B' U
L' B2 D' U2 B' U F'
L B2 U2 D B' U F'
F2 B2 U' F U' B' U
L B2 U2 D' B' U F'
L B2 U2 D2 B' U F'
L2 B2 D' L2 F U' F2
L B2 U2 B' U D F'
L B2 U2 B' U D' F'
L B2 U2 B' U D2 F'
L B2 U2 B' U F' D
L B2 U2 B' U F' D'
L B2 U2 B' U F' D2
L B2 U2 B' D U F'
L B2 U2 B' D' U F'
L B2 U2 B' D2 U F'
U B2 U2 B' U F' B
U B2 U2 B' U B F'
B2 F2 U2 R B' U F
B2 F2 U2 R' B' U F
L' B2 D2 L2 F U' F2
B2 F2 U2 R2 B' U F
L2 B2 D' U2 B' U F'
F2 B2 U2 R B' U F
B2 F2 U2 D B' U F
L B2 D L2 F U' F2
F2 B2 U2 R' B' U F
B2 F2 U2 D' B' U F
F2 B2 U2 R2 B' U F
B2 F2 U2 D2 B' U F
F2 B2 U2 D B' U F
F' B2 U2 B' R2 U F'
F' B2 U2 B' U' B U2
F2 B2 U2 D' B' U F
F2 B2 U2 D2 B' U F
L' B2 D2 U2 B' U F'
B2 F2 U2 B' R U F
B2 F2 U2 B' R' U F
B2 F2 U2 B' R2 U F
L B2 D U2 B' U F'
B2 F2 U2 B' U D F
B2 F2 U2 B' U D' F
B2 F2 U2 B' U D2 F
B2 F2 U2 B' U F D
B2 F2 U2 B' U F D'
B2 F2 U2 B' U F D2
B2 F2 U2 B' D U F
B2 F2 U2 B' D' U F
B2 F2 U2 B' D2 U F
F' B2 D L2 F U' F'
L2 B2 D2 L2 F U' F2
F2 B2 U2 B' R U F
F2 B2 U2 B' R' U F
F2 B2 U2 B' R2 U F
F2 B2 U2 B' U D F
F2 B2 U2 B' U D' F
F2 B2 U2 B' U D2 F
F2 B2 U2 B' U F D
F2 B2 U2 B' U F D'
F2 B2 U2 B' U F D2
F2 B2 U2 B' D U F
F2 B2 U2 B' D' U F
F2 B2 U2 B' D2 U F
L' B2 F L2 F U' F
F B2 U' F2 U' B' U
L2 B2 D2 U2 B' U F'
L B2 D' L2 F U' F2
B2 F2 D U2 B' U F
F2 B2 D U2 B' U F
L' B2 F U2 B' U F2
L' B2 F D' L2 F U'
L B2 D' U2 B' U F'
F B2 U2 R B' U F2
F' B2 D' L2 F U' F'
F B2 U2 R' B' U F2
L2 B2 F L2 F U' F
F B2 U2 R2 B' U F2
F B2 U2 D R2 B' U
F B2 U2 D B' R2 U
B' F2 D' B' U' R2 F
B' F2 D' B' U' F R2
L' B2 F' L2 F U' F'
L2 B2 F U2 B' U F2
L B2 D2 L2 F U' F2
F B2 U2 B' R U F2
F B2 U2 B' R' U F2
L2 B2 F D' L2 F U'
F B2 U2 B' R2 U F2
F B2 U2 B' U F2 D
F B2 U2 B' U F2 D'
F B2 U2 B' U F2 D2
F B2 U2 B' D R2 U
B2 F2 D' U2 B' U F
F2 B2 D' U2 B' U F
L2 B2 F' L2 F U' F'
L B2 D2 U2 B' U F'
F' B2 D2 L2 F U' F'
B' F2 D2 F2 B' U' F'
B' F2 D2 B' F2 U' F'
F B2 D U2 R2 B' U
F B2 D U2 B' R2 U
L' B2 F2 U2 B' U F
R2 B2 F' L2 R2 U' F
L B2 F L2 F U' F
B2 F2 D2 U2 B' U F
R2 B2 F' R2 L2 U' F
R2 B2 F' R2 U B' U2
F2 B2 D2 U2 B' U F
F B2 D' L2 D F U'
F B2 D' L2 D' F U'
F B2 D' L2 D2 F U'
F B2 D' L2 F U' D
F B2 D' L2 F U' D'
F B2 D' L2 F U' D2
F B2 D' L2 F D U'
F B2 D' L2 F D' U'
F B2 D' L2 F D2 U'
L B2 F U2 B' U F2
L B2 F D' L2 F U'
L2 B2 F2 U2 B' U F
F B2 D' F L2 F U'
F B2 D' F' L2 F U'
L B2 F' L2 F U' F'
F B2 D' F2 L2 F U'
L B2 F2 U2 B' U F
