U L U2 B L
U' B2 R' B' L
U L R2 F' U2 L'
U L U2 L B L
U L U2 L' B L
U L U2 L2 B L
U L U2 D B L
U L U2 D' B L
U L U2 D2 B L
U L U2 B L D
U L U2 B L D'
U L U2 B L D2
U L U2 B D L
U L U2 B D' L
U L U2 B D2 L
U L D U2 B L
U L D' U2 B L
U L D2 U2 B L
U L F' U2 L' B
U L F' U2 B L'
U' L' D2 B L R2
U' L' D2 B R2 L
U' L' B D2 L R2
U' L' B D2 R2 L
U' L2 B L D2 R2
B2 R B U' R2 B2
B2 R B U' B2 R2
B R B U' R' B'
U R2 L F' U2 L'
U R2 F' L U2 L2
F' U L U2 B L
F2 U L U2 B L
D2 U L U2 B L
D' U L U2 B L
U D L U2 B L
D U L U2 B L
F U L U2 B L
U' D B2 R' B' L
U D' L U2 B L
B2 U' R' B L B2
U' D' B2 R' B' L
D2 U' B2 R' B' L
D' U' B2 R' B' L
D U' B2 R' B' L
U D2 L U2 B L
F' U' B2 R' B' L
F2 U' B2 R' B' L
F U' B2 R' B' L
U' D2 B2 R' B' L
U F' L U2 L2 B
U F' L U2 B L2
U' B L B R' B'
R B R' U' B R'
R B U' R' B R'
R B U' B R' B
U' B2 R B' L R2
U' B2 R B' R2 L
U' B2 R' B' L D
U' B2 R' B' L D'
U' B2 R' B' L D2
U' B2 R' B' D L
U' B2 R' B' D' L
U' B2 R' B' D2 L
U' B2 R2 B' L R
U' B2 R2 B' R L
U' B L R B R' B'
U' B L R' B R' B'
U' B L R2 B R' B'
U' B L U' B U R'
U' B L D2 F' R F
R F2 B R' U' B R'
U' B L F D2 F' R
R F2 B U' R' B R'
U' B L B R B' R2
U' B L B R' D B'
U' B L B R' D' B'
U' B L B R' D2 B'
U' B L B R' B' D
U' B L B R' B' D'
U' B L B R' B' D2
U' B L B R2 B' R
R F2 B U' B R' B
U' B L B D R' B'
U' B L B D' R' B'
U' B L B D2 R' B'
B2 D2 U' R' B L B2
F' D2 U' B2 R' B' L
F D2 U L U2 B L
F2 D2 U' B2 R' B' L
U' B L' B R' B' L2
U' B L2 B R' B' L'
F D2 U' B2 R' B' L
U' B R L B R' B'
R' B R U' B L R'
R' B R U' B R' L
U' B R B R' B' L
U' B R' L B R' B'
D2 B R B U' R' B'
D' B R B U' R' B'
U' B R' B R' B' L
U' B R2 L B R' B'
D B R B U' R' B'
U' B R2 B R' B' L
R' B R2 B U' R' B
R B R U' R2 B R'
R2 B R' B U' R' B
R2 B R2 U' B L R'
R2 B R2 U' B R' L
R B R' U' B R' D
R B R' U' B R' D'
R B R' U' B R' D2
R B R' U' B D R'
R B R' U' B D' R'
R B R' U' B D2 R'
R B R' F U' B R'
R B R' F' U' B R'
R B R' F2 U' B R'
U' B D L U' B' U
R B U' R' B R' D
R B U' R' B R' D'
R B U' R' B R' D2
R B U' R' B D R'
R B U' R' B D' R'
R B U' R' B D2 R'
R B U' B R' D B
R B U' B R' D' B
R B U' B R' D2 B
R B U' B R' B D
R B U' B R' B D'
R B U' B R' B D2
U' B D2 L F' R F
U B U2 B' L R' U2
U B U2 B' R' L U2
U' B D2 F' R F L
R B U2 B U R' B
F' B R B U' R' B'
U' B F L D2 F' R
B2 F R B U' R2 B2
B2 F R B U' B2 R2
F2 B R B U' R' B'
U' B F D2 L F' R
U' B F D2 F' L R
U' B F D2 F' R L
B F R B U' R' B'
R B D' R F' R U'
F B R B U' R' B'
R B D' F' R F' U'
R B F R' U' B R'
U' B' L B' R' B' L
R B F U' R' B R'
R B F U' B R' B
B2 F U' R' B L B2
R B F' R' U' B R'
R B F' U' R' B R'
R B F' U' B R' B
U' B' L' B' R' B' L
R B F2 R' U' B R'
R B F2 U' R' B R'
R B F2 U' B R' B
U' B' L2 B' R' B' L
B2 F' R B U' R2 B2
B2 F' R B U' B2 R2
B F' R B U' R' B'
B2 F' U' R' B L B2
U' B2 L' R' B' L B'
R' B2 R U' B L R2
R' B2 R U' B R2 L
U' B2 R B' L R2 D
U' B2 R B' L R2 D'
U' B2 R B' L R2 D2
U' B2 R B' R2 L D
U' B2 R B' R2 L D'
U' B2 R B' R2 L D2
U' B2 R B' R2 D L
U' B2 R B' R2 D' L
U' B2 R B' R2 D2 L
U' B2 R' L' B' L B'
D2 B2 R B U' R2 B2
D2 B2 R B U' B2 R2
D' B2 R B U' R2 B2
D' B2 R B U' B2 R2
U' B2 R' F B' L F'
U' B2 R' F2 B' L F2
U' B2 R' B L B2 L
U' B2 R' B L' B2 L
U' B2 R' B L2 B2 L
U' B2 R' B' L2 D L'
U' B2 R' B' L2 D' L'
U' B2 R' B' L2 D2 L'
U' B2 R' B' D L D
U' B2 R' B' D L D'
U' B2 R' B' D L D2
U' B2 R' B' D' L D
U' B2 R' B' D' L D'
U' B2 R' B' D' L D2
U' B2 R' B' D2 L D
U' B2 R' B' D2 L D'
U' B2 R' B' D2 L D2
U' B2 R' B' F L F'
U' B2 R' B' F2 L F2
U' B2 R' B2 L B L
U' B2 R' B2 L' B L
U' B2 R' B2 L2 B L
U' B2 R' B2 D B L
U' B2 R' B2 D' B L
U' B2 R' B2 D2 B L
D B2 R B U' R2 B2
D B2 R B U' B2 R2
U' B2 R2 B' L R D
U' B2 R2 B' L R D'
U' B2 R2 B' L R D2
U' B2 R2 B' L D R
U' B2 R2 B' L D' R
U' B2 R2 B' L D2 R
U' B2 R2 B' R L D
U' B2 R2 B' R L D'
U' B2 R2 B' R L D2
U' B2 R2 B' R D L
U' B2 R2 B' R D' L
U' B2 R2 B' R D2 L
U' B2 R2 B' D L R
U' B2 R2 B' D R L
U' B2 R2 B' D' L R
U' B2 R2 B' D' R L
U' B2 R2 B' D2 L R
U' B2 R2 B' D2 R L
F' B2 R B U' R2 B2
F' B2 R B U' B2 R2
R B2 R B' U' R2 B
R2 B2 R2 U' B L R
R2 B2 R2 U' B R L
B2 F2 R B U' R2 B2
B2 F2 R B U' B2 R2
F2 B2 R B U' R2 B2
F2 B2 R B U' B2 R2
U2 B2 U R' B L B2
D2 B2 U' R' B L B2
D' B2 U' R' B L B2
B F2 R B U' R' B'
F B2 R B U' R2 B2
F B2 R B U' B2 R2
U' B2 D R' D' B' L
D B2 U' R' B L B2
U' B2 D' R' B' D L2
F' B2 U' R' B L B2
R B2 U' R' B D L2
B2 F2 U' R' B L B2
F2 B2 U' R' B L B2
U' B2 D2 R' D2 B' L
F B2 U' R' B L B2
U' B2 F' R' F B' L
U' B2 F' R' B' F L
U' B2 F2 R' F2 B' L
U' B2 F2 R' B' L F2
U' B2 F2 R' B' F2 L
