D2 L2 B' U' R2
D2 L2 D' F2 B' U'
D2 L2 D' B' F2 U'
D2 L2 F B' U' R2
D2 L2 F' B' U' R2
D2 L2 F2 B' U' R2
D2 L2 B' U' R2 D
D2 L2 B' U' R2 D'
D2 L2 B' U' R2 D2
D2 L2 B' D' F2 U'
D2 L2 B' F U' R2
D2 L2 B' F' U' R2
D2 L2 B' F2 U' R2
U2 R2 D' F B2 U
U2 R2 D' B2 F U
U2 R2 D2 F U R2
F R2 D2 L2 U R2
U2 R2 F U D2 R2
U2 R2 F U' L2 U2
U2 R2 F D' B2 U
U2 R2 F D2 U R2
U2 D' F B2 U F
U2 D' B2 F U F
R2 D2 F L2 U R2
D' U2 F B2 U F
D' U2 B2 F U F
U2 F R2 U D2 R2
U2 F R2 U' L2 U2
U2 F R2 D' B2 U
U2 F R2 D2 U R2
U2 F D' B2 U F2
R2 F D2 L2 U R2
F' D2 L2 B2 U' R2
B' D2 L2 B' U' R2
B2 D2 L2 B' U' R2
B D2 L2 B' U' R2
D2 B L2 B' U' R2
F' D2 B2 L2 U' R2
F' D2 B2 L2 U' R2
D2 B' L2 B' U' R2
L2 B' U2 R2 U R2
D2 B2 L2 B' U' R2
B D2 L2 B' U' R2 D'
B D2 L2 B' U' R2 D2
B D2 L2 B' D' F2 U'
B D2 L2 B' F U' R2
B D2 L2 B' F' U' R2
B D2 L2 B' F2 U' R2
D F2 D' U2 F' R2 U
R2 F2 D2 L2 F' U R2
R2 F2 D2 F' L2 U R2
D F2 D2 U2 F' U F'
F' D2 R2 D L2 F2 B2
F' D2 R2 D L2 B2 F2
F' D2 R2 D F2 L2 B2
F' D2 R2 D F2 B2 L2
F' D2 R2 D B2 L2 F2
F' D2 R2 D B2 F2 L2
L2 F2 B' U2 R2 U R2
F' D2 U' R2 D L2 F2
F' D2 U' R2 D F2 L2
D F2 B2 U2 F' U F
F' D2 F L2 B2 U' R2
D2 B L2 D' F2 B' U'
D2 B L2 D' B' F2 U'
D2 B L2 F B' U' R2
F' D2 F B2 L2 U' R2
D2 B L2 F' B' U' R2
D2 B L2 F2 B' U' R2
D2 B L2 B' U' R2 D
D2 B L2 B' U' R2 D'
D2 B L2 B' U' R2 D2
D2 B L2 B' D' F2 U'
D2 B L2 B' F U' R2
D2 B L2 B' F' U' R2
D2 B L2 B' F2 U' R2
F' D2 F' L2 B2 U' R2
F' D2 F' B2 L2 U' R2
F' D2 F2 L2 B2 U' R2
F2 D2 F2 L2 B' U' R2
B' D2 B L2 B' U' R2
F D2 F' L2 B' U' R2
F' D2 F2 B2 L2 U' R2
F' D2 B L2 B U' R2
B2 D2 B L2 B' U' R2
B' D2 B' L2 B' U' R2
B D2 B L2 B' U' R2
B2 D2 B' L2 B' U' R2
U2 B R2 D' F B2 U
U2 B R2 D' B2 F U
U2 B R2 D2 F U R2
U2 B R2 F U D2 R2
U2 B R2 F U' L2 U2
U2 B R2 F D' B2 U
U2 B R2 F D2 U R2
B' D2 B2 L2 B' U' R2
F' D2 B2 L2 U' R2 D
F' D2 B2 L2 U' R2 D'
F' D2 B2 L2 U' R2 D2
F' D2 B2 L2 D' F2 U'
F' D2 B2 L2 F U' R2
F' D2 B2 L2 F' U' R2
F' D2 B2 L2 F2 U' R2
B D2 B' L2 B' U' R2
B2 D2 B2 L2 B' U' R2
F' D2 B2 U' R2 D F2
F' D2 B2 F L2 U' R2
F' D2 B2 F' L2 U' R2
F' D2 B2 F2 L2 U' R2
B D2 B2 L2 B' U' R2
D' B U2 F B U F
D' B U2 B F U F
U2 B D' F B2 U F
U2 B D' B2 F U F
B' F R2 D2 L2 U R2
R2 B D2 F L2 U R2
U2 B F R2 U D2 R2
U2 B F R2 U' L2 U2
U2 B F R2 D' B2 U
U2 B F R2 D2 U R2
B2 F R2 D2 L2 U R2
U2 B F D' B2 U F2
R2 B F D2 L2 U R2
B F R2 D2 L2 U R2
F B R2 D2 L2 U R2
L2 B' L U' D' F2 R
L2 B' L D' U' F2 R
D2 B' L2 D' F2 B' U'
D2 B' L2 D' B' F2 U'
D2 B' L2 F B' U' R2
D2 B' L2 F' B' U' R2
D' B' L2 F B' U' F
D2 B' L2 F2 B' U' R2
D2 B' L2 B' U' R2 D
D2 B' L2 B' U' R2 D'
D2 B' L2 B' U' R2 D2
D2 B' L2 B' D' F2 U'
D2 B' L2 B' F U' R2
D2 B' L2 B' F' U' R2
D2 B' L2 B' F2 U' R2
D' B' L2 B' F U' F
L2 B' L2 D2 L2 U' R2
D B' L2 F2 B' U' F'
D B' L2 B' F2 U' F'
F' B D2 L2 B2 U' R2
F' B D2 B2 L2 U' R2
U2 B' R2 D' F B2 U
U2 B' R2 D' B2 F U
U2 B' R2 D2 F U R2
U2 B' R2 F U D2 R2
U2 B' R2 F U' L2 U2
U2 B' R2 F D' B2 U
U2 B' R2 F D2 U R2
L2 B' U' D' F2 D R2
D' B' U2 F B' U F
D' B' U2 B' F U F
L2 B' U2 R2 U R2 D
L2 B' U2 R2 U R2 D'
L2 B' U2 R2 U R2 D2
L2 B' U2 R2 D B2 U
L2 B' U2 R2 B U R2
L2 B' U2 R2 B' U R2
L2 B' U2 R2 B2 U R2
L2 B' U2 B R2 U R2
L2 B' U2 B' R2 U R2
L2 B' U2 B2 R2 U R2
D' B' D' L2 F B' U'
D' B' D' L2 B' F U'
L2 B' D' L U' F2 R
L2 B' D' U' F2 D R2
U2 B' D' F B2 U F
U2 B' D' B2 F U F
L2 B' D2 L2 U L2 U2
L2 B' D2 L2 U' D2 R2
L2 B' D2 L2 D F2 U'
L2 B' D2 L2 D2 U' R2
F B' R2 D2 L2 U R2
R2 B' D2 F L2 U R2
U2 B' F R2 U D2 R2
U2 B' F R2 U' L2 U2
U2 B' F R2 D' B2 U
U2 B' F R2 D2 U R2
L2 B' F U2 R2 U R2
U2 B' F D' B2 U F2
R2 B' F D2 L2 U R2
L2 B' F' U2 R2 U R2
L2 B' F2 U2 R2 U R2
B' F' D2 L2 B2 U' R2
F' B' D2 L2 B2 U' R2
B2 F' D2 L2 B2 U' R2
B' F' D2 B2 L2 U' R2
D2 B2 L2 D' F2 B' U'
D2 B2 L2 D' B' F2 U'
D2 B2 L2 F B' U' R2
D2 B2 L2 F' B' U' R2
D2 B2 L2 F2 B' U' R2
F' B' D2 B2 L2 U' R2
D2 B2 L2 B' U' R2 D
D2 B2 L2 B' U' R2 D'
D2 B2 L2 B' U' R2 D2
D2 B2 L2 B' D' F2 U'
D2 B2 L2 B' F U' R2
D2 B2 L2 B' F' U' R2
D2 B2 L2 B' F2 U' R2
B2 F' D2 B2 L2 U' R2
B F' D2 L2 B2 U' R2
B F' D2 B2 L2 U' R2
U2 B2 R2 D' F B2 U
U2 B2 R2 D' B2 F U
U2 B2 R2 D2 F U R2
U2 B2 R2 F U D2 R2
U2 B2 R2 F U' L2 U2
U2 B2 R2 F D' B2 U
U2 B2 R2 F D2 U R2
L2 B2 U2 R2 F' U R2
F B2 R2 D2 L2 U R2
U2 B2 D' F B2 U F
U2 B2 D' B2 F U F
R2 B2 D2 F L2 U R2
U2 B2 F R2 U D2 R2
U2 B2 F R2 U' L2 U2
U2 B2 F R2 D' B2 U
U2 B2 F R2 D2 U R2
U2 B2 F D' B2 U F2
F' B2 D2 L2 B2 U' R2
R2 B2 F D2 L2 U R2
F' B2 D2 B2 L2 U' R2
D B2 F2 U2 F' U F
