R U R2 U B
R D F' B2 U2
R D B2 F' U2
R D' F' U2 F'
R F' U R2 U
R F' U2 D' F2
R F' D B2 U2
R F' D' U2 F2
R F' U R' D R' U
R F' U R' D' R' U
R F' U R' D2 R' U
R F' U D' R U F2
R F' U D' R' U F2
R F' U D' R2 U F2
R F' U F' R2 F U
R F' U F2 R2 F2 U
R F' U B R2 B' U
R F' U B2 R2 B2 U
R F' U' L U' D' F2
R F' U' L U2 R2 U
R F' U' L D' U' F2
R F' U' L D2 L2 U'
R F' U' L' U' D' F2
R F' U' L' U2 R2 U
R F' U' L' D' U' F2
R F' U' L' D2 L2 U'
R F' U' L2 U' D' F2
R F' U' L2 U2 R2 U
R F' U' L2 D' U' F2
R F' U' L2 D2 L2 U'
R F' U' D' L U' F2
R F' U' D' L' U' F2
R F' U' D' L2 U' F2
R F' U' D2 L2 U' D
R F' U' D2 L2 U' D'
R F' U' D2 L2 U' D2
R F' U' D2 L2 D U'
R F' U' D2 L2 D' U'
R F' U' D2 L2 D2 U'
R F' U2 L D' L' F2
R F' U2 L' D' L F2
R F' U2 L' D' F2 L
R F' U2 D F D2 F2
R F' U2 D F' D2 F2
R F' U2 D F2 D2 F2
R F' U2 D' L' F2 L
R F' U2 D' L2 F2 L2
R F' U2 D' R F2 R'
R F' U2 D' R2 F2 R2
R F' U2 D' F D F
R F' U2 D' F D' F
R F' U2 D' F D2 F
R F' U2 D' F' D F'
R F' U2 D' F' D' F'
R F' U2 D' F' D2 F'
R F' U2 D2 F D F2
R F' U2 D2 F' D F2
R F' U2 D2 F2 D F2
R F' U2 F U' R2 U
R F' U2 F D' F2 D
R F' U2 F D' F2 D'
R F' U2 F D' F2 D2
R F' U2 F' U' R2 U
R F' U2 F' D' F2 D
R F' U2 F' D' F2 D'
R F' U2 F' D' F2 D2
R F' U2 F2 U' R2 U
R F' U2 F2 D' F2 D
R F' U2 F2 D' F2 D'
R F' U2 F2 D' F2 D2
R F' U2 B D' F2 B'
R F' U2 B D' B' F2
R F' U2 B' D' F2 B
R F' U2 B' D' B F2
R F' D L B2 L' U2
R F' D L' B2 U2 R'
R F' D L2 B2 L2 U2
R F' D R B2 U2 L
R F' D R' B2 R U2
R F' D R2 B2 R2 U2
R F' D U2 F D2 F2
R F' D U2 F' D2 F2
R F' D U2 F2 D2 F2
R F' D B D B U2
R F' D B D' B U2
R F' D B D2 B U2
R F' D B' D B' U2
R F' D B' D' B' U2
R F' D B' D2 B' U2
R F' D' L U2 F2 R
R F' D' R' U2 F2 L'
R F' D' U R U F2
R F' D' U R' U F2
R F' D' U R2 U F2
R F' D' U' L U' F2
R F' D' U' L' U' F2
R F' D' U' L2 U' F2
R F' D' U2 L' F2 L
R F' D' U2 L2 F2 L2
R F' D' U2 R F2 R'
R F' D' U2 R2 F2 R2
R F' D' U2 F D F
R F' D' U2 F D' F
R F' D' U2 F D2 F
R F' D' U2 F' D F'
R F' D' U2 F' D' F'
R F' D' U2 F' D2 F'
R F' D' B U2 F2 D
R F' D' B U2 F2 D'
R F' D' B U2 F2 D2
R F' D' B D2 B2 U2
R F' D' B' U2 F2 D
R F' D' B' U2 F2 D'
R F' D' B' U2 F2 D2
R F' D' B' D2 B2 U2
R F' D' B2 U2 F2 D
R F' D' B2 U2 F2 D'
R F' D' B2 U2 F2 D2
R F' D' B2 D2 B2 U2
R F' D2 U' L2 U' D
R F' D2 U' L2 U' D'
R F' D2 U' L2 U' D2
R F' D2 U' L2 D U'
R F' D2 U' L2 D' U'
R F' D2 U' L2 D2 U'
R F' D2 U2 F D F2
R F' D2 U2 F' D F2
R F' D2 U2 F2 D F2
R F' D2 B U' L2 U'
R F' D2 B U2 D F2
R F' D2 B D U2 F2
R F' D2 B D' B2 U2
R F' D2 B' U' L2 U'
R F' D2 B' U2 D F2
R F' D2 B' D U2 F2
R F' D2 B' D' B2 U2
R F' D2 B2 U' L2 U'
R F' D2 B2 U2 D F2
R F' D2 B2 D U2 F2
R F' D2 B2 D' B2 U2
R F' B U R2 U D
R F' B U R2 U D'
R F' B U R2 U D2
R F' B U R2 D U
R F' B U R2 D' U
R F' B U R2 D2 U
R F' B U' D2 L2 U'
R F' B U2 D' F2 D
R F' B U2 D' F2 D'
R F' B U2 D' F2 D2
R F' B U2 F D' F2
R F' B U2 F' D' F2
R F' B U2 F2 D' F2
R F' B D B2 U2 D
R F' B D B2 U2 D'
R F' B D B2 U2 D2
R F' B D B2 D U2
R F' B D B2 D' U2
R F' B D B2 D2 U2
R F' B D' U2 F2 D
R F' B D' U2 F2 D'
R F' B D' U2 F2 D2
R F' B D' B U2 F2
R F' B D' B' U2 F2
R F' B D' B2 U2 F2
R F' B D2 U' L2 U'
R F' B' U R2 U D
R F' B' U R2 U D'
R F' B' U R2 U D2
R F' B' U R2 D U
R F' B' U R2 D' U
R F' B' U R2 D2 U
R F' B' U' D2 L2 U'
R F' B' U2 D' F2 D
R F' B' U2 D' F2 D'
R F' B' U2 D' F2 D2
R F' B' U2 F D' F2
R F' B' U2 F' D' F2
R F' B' U2 F2 D' F2
R F' B' D B2 U2 D
R F' B' D B2 U2 D'
R F' B' D B2 U2 D2
R F' B' D B2 D U2
R F' B' D B2 D' U2
R F' B' D B2 D2 U2
R F' B' D' U2 F2 D
R F' B' D' U2 F2 D'
R F' B' D' U2 F2 D2
R F' B' D' B U2 F2
R F' B' D' B' U2 F2
R F' B' D' B2 U2 F2
R F' B' D2 U' L2 U'
R F' B2 U R2 U D
R F' B2 U R2 U D'
R F' B2 U R2 U D2
R F' B2 U R2 D U
R F' B2 U R2 D' U
R F' B2 U R2 D2 U
R F' B2 U' D2 L2 U'
U F2 L R' U L2 B
U F2 L R' U B L2
U2 F2 L' U' R' U B
R F' B2 U2 D' F2 D
R F' B2 U2 D' F2 D'
R F' B2 U2 D' F2 D2
R F' B2 U2 F D' F2
R F' B2 U2 F' D' F2
R F' B2 U2 F2 D' F2
R F' B2 D B2 U2 D
R F' B2 D B2 U2 D'
R F' B2 D B2 U2 D2
R F' B2 D B2 D U2
R F' B2 D B2 D' U2
R F' B2 D B2 D2 U2
R F' B2 D' U2 F2 D
R F' B2 D' U2 F2 D'
R F' B2 D' U2 F2 D2
R F' B2 D' B U2 F2
R F' B2 D' B' U2 F2
R F' B2 D' B2 U2 F2
R F' B2 D2 U' L2 U'
U F2 L2 R' U L B
U2 F2 R' U L' B R
U2 F2 R' U B L' R
U2 F2 R' U B R L'
R' F2 R2 U R2 U B
R' F2 R2 D F' B2 U2
R' F2 R2 D B2 F' U2
R' F2 R2 D' F' U2 F'
R' F2 R2 F' U R2 U
R' F2 R2 F' U2 D' F2
R' F2 R2 F' D B2 U2
R' F2 R2 F' D' U2 F2
U F2 R' L U L2 B
U F2 R' L U B L2
U F2 R' L2 U L B
U F2 R' U L B L2
U F2 R' U L' D B
U F2 R' U L' D' B
U F2 R' U L' D2 B
U F2 R' U L' B D
U F2 R' U L' B D'
U F2 R' U L' B D2
U F2 R' U D L' B
U F2 R' U D B L'
U F2 R' U D' L' B
U F2 R' U D' B L'
U F2 R' U D2 L' B
L F2 R' U L' B R2
U F2 R' U D2 B L'
U F2 R' U B L' D
U F2 R' U B L' D'
U F2 R' U B L' D2
U F2 R' U B D L'
U F2 R' U B D' L'
U F2 R' U B D2 L'
U F2 R' U B' L' B2
L F2 R' U B L' R2
L F2 R' U B R2 L'
U F2 R' D U L' B
U F2 R' D U B L'
U F2 R' D' U L' B
U F2 R' D' U B L'
U F2 R' D2 U L' B
U F2 R' D2 U B L'
U2 F2 U' R' U L' B
U2 F2 U' R' U B L'
R F2 U L2 R2 U B'
R F2 U R2 L2 U B'
R F2 U R2 U' F U2
R F2 U' D2 L2 U' B'
B2 D2 R U' L U' B'
R F2 D F U2 D2 F2
R F2 D F D2 U2 F2
R F2 D F B2 U2 D
R F2 D F B2 U2 D'
R F2 D F B2 U2 D2
R F2 D F B2 D U2
R F2 D F B2 D' U2
R F2 D F B2 D2 U2
R F2 D B2 D F U2
R F2 D B2 D' F U2
R F2 D B2 D2 F U2
R F2 D B2 F U2 D
R F2 D B2 F U2 D'
R F2 D B2 F U2 D2
R F2 D B2 F D U2
R F2 D B2 F D' U2
R F2 D B2 F D2 U2
R F2 D' F U2 D F
R F2 D' F U2 D' F
R F2 D' F U2 D2 F
R F2 D' F U2 F D
R F2 D' F U2 F D'
R F2 D' F U2 F D2
R F2 D' F D U2 F
R F2 D' F D' U2 F
R F2 D' F D2 U2 F
R F2 D' F B U2 F
R F2 D' F B' U2 F
R F2 D' F B2 U2 F
R F2 D' B F U2 F
R F2 D' B' F U2 F
R F2 D' B2 F U2 F
R F2 D2 U' L2 U' B'
R F2 D2 F U' L2 U'
R F2 D2 F U2 D F2
R F2 D2 F D U2 F2
R F2 D2 F D' B2 U2
R F2 B D F B2 U2
R F2 B D B2 F U2
R F2 B D' F U2 F
R F2 B' D F B2 U2
R F2 B' D B2 F U2
R F2 B' D' F U2 F
R F2 B2 D F B2 U2
R F2 B2 D B2 F U2
R F2 B2 D' F U2 F
R' B R2 D B2 U2 B2
U' B U R F' B U2
U' B U R B F' U2
R B U L R2 U B
R B U L' R2 U B
R B U L2 R2 U B
R B U R2 L U B
R B U R2 L' U B
R B U R2 L2 U B
R B U R2 U D B
R B U R2 U D' B
R B U R2 U D2 B
R B U R2 U B D
R B U R2 U B D'
R B U R2 U B D2
R B U R2 D U B
R B U R2 D' U B
R B U R2 D2 U B
R B D F' U2 D2 F2
R B D F' D2 U2 F2
R B D F' B2 U2 D
R B D F' B2 U2 D'
R B D F' B2 U2 D2
R B D F' B2 D U2
R B D F' B2 D' U2
R B D F' B2 D2 U2
R B D B2 D F' U2
R B D B2 D' F' U2
R B D B2 D2 F' U2
R B D B2 F' U2 D
R B D B2 F' U2 D'
R B D B2 F' U2 D2
R B D B2 F' D U2
R B D B2 F' D' U2
R B D B2 F' D2 U2
R B D' F' U2 D F'
R B D' F' U2 D' F'
R B D' F' U2 D2 F'
R B D' F' U2 F' D
R B D' F' U2 F' D'
R B D' F' U2 F' D2
R B D' F' D U2 F'
R B D' F' D' U2 F'
R B D' F' D2 U2 F'
R B D' F' B U2 F'
R B D' F' B' U2 F'
R B D' F' B2 U2 F'
R B D' B F' U2 F'
R B D' B' F' U2 F'
R B D' B2 F' U2 F'
R B D2 F' U' L2 U'
R B D2 F' U2 D F2
R B D2 F' D U2 F2
R B D2 F' D' B2 U2
R B F' U R2 U D
R B F' U R2 U D'
R B F' U R2 U D2
R B F' U R2 D U
R B F' U R2 D' U
R B F' U R2 D2 U
R B F' U' D2 L2 U'
R B F' U2 D' F2 D
R B F' U2 D' F2 D'
R B F' U2 D' F2 D2
R B F' U2 F D' F2
R B F' U2 F' D' F2
R B F' U2 F2 D' F2
R B F' D B2 U2 D
R B F' D B2 U2 D'
R B F' D B2 U2 D2
R B F' D B2 D U2
R B F' D B2 D' U2
R B F' D B2 D2 U2
R B F' D' U2 F2 D
R B F' D' U2 F2 D'
R B F' D' U2 F2 D2
R B F' D' B U2 F2
R B F' D' B' U2 F2
R B F' D' B2 U2 F2
R B F' D2 U' L2 U'
R B F2 D F B2 U2
R B F2 D B2 F U2
R B F2 D' F U2 F
R' B' R2 U R2 U B2
R' B' R2 U2 B2 D' F2
R B' U L R2 U B
R B' U L' R2 U B
R B' U L2 R2 U B
R B' U R2 L U B
R B' U R2 L' U B
R B' U R2 L2 U B
R B' U R2 U D B
R B' U R2 U D' B
R B' U R2 U D2 B
R B' U R2 U B D
R B' U R2 U B D'
R B' U R2 U B D2
R B' U R2 D U B
R B' U R2 D' U B
R B' U R2 D2 U B
R B' D F' U2 D2 F2
R B' D F' D2 U2 F2
R B' D F' B2 U2 D
R B' D F' B2 U2 D'
R B' D F' B2 U2 D2
R B' D F' B2 D U2
R B' D F' B2 D' U2
R B' D F' B2 D2 U2
R B' D B2 D F' U2
R B' D B2 D' F' U2
R B' D B2 D2 F' U2
R B' D B2 F' U2 D
R B' D B2 F' U2 D'
R B' D B2 F' U2 D2
R B' D B2 F' D U2
R B' D B2 F' D' U2
R B' D B2 F' D2 U2
R B' D' F' U2 D F'
R B' D' F' U2 D' F'
R B' D' F' U2 D2 F'
R B' D' F' U2 F' D
R B' D' F' U2 F' D'
R B' D' F' U2 F' D2
R B' D' F' D U2 F'
R B' D' F' D' U2 F'
R B' D' F' D2 U2 F'
R B' D' F' B U2 F'
R B' D' F' B' U2 F'
R B' D' F' B2 U2 F'
R B' D' B F' U2 F'
R B' D' B' F' U2 F'
R B' D' B2 F' U2 F'
U' B2 L U R F' U2
R B' D2 F' U' L2 U'
R B' D2 F' U2 D F2
R B' D2 F' D U2 F2
R B' D2 F' D' B2 U2
R B' F' U R2 U D
R B' F' U R2 U D'
R B' F' U R2 U D2
R B' F' U R2 D U
R B' F' U R2 D' U
R B' F' U R2 D2 U
R B' F' U' D2 L2 U'
R B' F' U2 D' F2 D
R B' F' U2 D' F2 D'
R B' F' U2 D' F2 D2
R B' F' U2 F D' F2
R B' F' U2 F' D' F2
R B' F' U2 F2 D' F2
R B' F' D B2 U2 D
R B' F' D B2 U2 D'
R B' F' D B2 U2 D2
R B' F' D B2 D U2
R B' F' D B2 D' U2
R B' F' D B2 D2 U2
R B' F' D' U2 F2 D
R B' F' D' U2 F2 D'
R B' F' D' U2 F2 D2
R B' F' D' B U2 F2
R B' F' D' B' U2 F2
R B' F' D' B2 U2 F2
R B' F' D2 U' L2 U'
R B' F2 D F B2 U2
R B' F2 D B2 F U2
R B' F2 D' F U2 F
D2 B2 R U' L U' B'
R' B2 R2 U R2 U B'
R' B2 R2 U2 D' F2 B'
R' B2 R2 U2 D' B' F2
R' B2 R2 U2 B' D' F2
R' B2 R2 D B2 U2 B
R' B2 R2 D' U2 F2 B'
R' B2 R2 D' U2 B' F2
R B2 U L R2 U B
R B2 U L' R2 U B
R B2 U L2 R2 U B
R B2 U R2 L U B
R B2 U R2 L' U B
R B2 U R2 L2 U B
R B2 U R2 U D B
R B2 U R2 U D' B
R B2 U R2 U D2 B
R B2 U R2 U B D
R B2 U R2 U B D'
R B2 U R2 U B D2
R B2 U R2 D U B
R B2 U R2 D' U B
R B2 U R2 D2 U B
R B2 D F' U2 D2 F2
R B2 D F' D2 U2 F2
R B2 D F' B2 U2 D
R B2 D F' B2 U2 D'
R B2 D F' B2 U2 D2
R B2 D F' B2 D U2
R B2 D F' B2 D' U2
R B2 D F' B2 D2 U2
R B2 D B2 D F' U2
R B2 D B2 D' F' U2
R B2 D B2 D2 F' U2
R B2 D B2 F' U2 D
R B2 D B2 F' U2 D'
R B2 D B2 F' U2 D2
R B2 D B2 F' D U2
R B2 D B2 F' D' U2
R B2 D B2 F' D2 U2
R B2 D' F' U2 D F'
R B2 D' F' U2 D' F'
R B2 D' F' U2 D2 F'
R B2 D' F' U2 F' D
R B2 D' F' U2 F' D'
R B2 D' F' U2 F' D2
R B2 D' F' D U2 F'
R B2 D' F' D' U2 F'
R B2 D' F' D2 U2 F'
R B2 D' F' B U2 F'
R B2 D' F' B' U2 F'
R B2 D' F' B2 U2 F'
R B2 D' B F' U2 F'
R B2 D' B' F' U2 F'
R B2 D' B2 F' U2 F'
R B2 D2 F' U' L2 U'
R B2 D2 F' U2 D F2
R B2 D2 F' D U2 F2
R B2 D2 F' D' B2 U2
R B2 F' U R2 U D
R B2 F' U R2 U D'
R B2 F' U R2 U D2
R B2 F' U R2 D U
R B2 F' U R2 D' U
R B2 F' U R2 D2 U
R B2 F' U' D2 L2 U'
R B2 F' U2 D' F2 D
R B2 F' U2 D' F2 D'
R B2 F' U2 D' F2 D2
R B2 F' U2 F D' F2
R B2 F' U2 F' D' F2
R B2 F' U2 F2 D' F2
R B2 F' D B2 U2 D
R B2 F' D B2 U2 D'
R B2 F' D B2 U2 D2
R B2 F' D B2 D U2
R B2 F' D B2 D' U2
R B2 F' D B2 D2 U2
R B2 F' D' U2 F2 D
R B2 F' D' U2 F2 D'
R B2 F' D' U2 F2 D2
R B2 F' D' B U2 F2
R B2 F' D' B' U2 F2
R B2 F' D' B2 U2 F2
R B2 F' D2 U' L2 U'
R B2 F2 D F B2 U2
R B2 F2 D B2 F U2
R B2 F2 D' F U2 F
