D' L U2 L F
R' L U F2 U F
D L R B R U2
D' L R' U2 L F'
D' L R' U2 F' L
R' L U2 D' L2 F'
R' L U2 D' F' L2
R' L D R2 B U2
L R D R2 U2 F'
R L D R2 U2 F'
L R D B R2 U2
R' L D' U2 L2 F'
R' L D' U2 F' L2
R L D B R2 U2
D' L U2 L D F
D' L U2 L D' F
D' L U2 L D2 F
D' L U2 L F D
D' L U2 L F D'
D' L U2 L F D'
D' L U2 L F D2
L R D' B U2 L2
D' L U2 D L F
D' L U2 D' L F
D' L U2 D2 L F
D' L U2 F L F
D' L U2 F' L F
D' L U2 F2 L F
R L D' B U2 L2
D' L D U2 L F
D' L D' U2 L F
D' L D2 U2 L F
L R B U F2 U
L R B U2 D' L2
L R B D R2 U2
R L B U F2 U
L R B D' U2 L2
R L B U2 D' L2
R L B U2 D' L2
R L B D R2 U2
R L B D' U2 L2
L R' U F2 U F
D' L B2 R' U2 F'
L R' U2 D' L2 F'
L R' U2 D' F' L2
L R' D R2 B U2
L R' D' U2 L2 F'
L R' D' U2 F' L2
D R L B R U2
L U F R F U
D' R' L U2 L F'
D' R' L U2 F' L
B2 R' D' F' L2 B'
L U2 L D' F L2
L U2 L' D' L2 F
L U2 D' L F L
R' D L R2 B U2
R D L R2 U2 F'
D R2 D2 L B' U2
R D L B R2 U2
R' D R2 L B U2
L D R B R U2
R D R2 L U2 F'
R' D' L U2 L F'
R' D' L U2 F' L
L D' R B U2 L2
L D' R' U2 L2 F'
L D' R' U2 F' L2
L D' U2 L F L
B2 D R2 U2 R F'
B2 D' R' F' L2 B'
D' B2 R' F' L2 B'
D B2 R2 U2 R F'
D R2 D2 L B' U2 D'
D R2 D2 L B' U2 D2
D R2 D2 L B' D U2
D R2 D2 L B' D' U2
D R2 D2 L B' D2 U2
R D L R2 U2 D F'
R D L R2 U2 D' F'
R D L R2 U2 D2 F'
R D L R2 U2 F' D
R D L R2 U2 F' D'
R D L R2 U2 F' D2
R D L R2 D U2 F'
R D L R2 D' U2 F'
R D L R2 D2 U2 F'
R D L R2 B U2 F'
R D L R2 B' U2 F'
R D L R2 B2 U2 F'
L2 D L' R B R U2
R D L D2 B U2 L2
R' D L2 R2 B L' U2
R D L B R2 U2 D
R D L B R2 U2 D'
R D L B R2 U2 D2
R D L B R2 D U2
R D L B R2 D' U2
R D L B R2 D2 U2
R D L B U2 D2 L2
R D L B D2 U2 L2
R D L B' R2 B2 U2
R D L B2 R2 B' U2
R D L' B L2 R2 U2
R D L' B R2 L2 U2
L2 D R L' B R U2
R D L2 B L' R2 U2
R D L2 B R2 L' U2
L2 D R B L' R U2
L2 D R B R L' U2
L D R D B R U2
L D R D' B R U2
L D R D2 B R U2
R' D R2 L D B U2
R' D R2 L D' B U2
R' D R2 L D2 B U2
R' D R2 L B U2 D
R' D R2 L B U2 D'
R' D R2 L B U2 D2
R' D R2 L B D U2
R' D R2 L B D' U2
R' D R2 L B D2 U2
R' D R2 L' B L2 U2
R' D R2 L2 B L' U2
L D R B R U2 D
L D R B R U2 D'
L D R B R U2 D2
L D R B R D U2
L D R B R D' U2
L D R B R D2 U2
L D R B D R U2
L D R B D' R U2
L D R B D2 R U2
L D R B' R B2 U2
R' D R2 D L B U2
L D R B2 R B' U2
R' D R2 D' L B U2
R' D R2 D2 L B U2
L2 D R2 U2 F2 R F'
L D R' B U2 F' L'
R2 D R2 D L B' U2
L2 D R2 D2 L' U2 F
L D R' B2 U2 L F'
L D R' B2 U2 F' L
R D R2 L U2 D F'
R D R2 L U2 D' F'
R D R2 L U2 D2 F'
R D R2 L U2 F' D
R D R2 L U2 F' D'
R D R2 L U2 F' D2
R D R2 L D U2 F'
R D R2 L D' U2 F'
R D R2 L D2 U2 F'
R D R2 L B U2 F'
R D R2 L B' U2 F'
R D R2 L B2 U2 F'
L D R2 U R U F'
L D R2 U2 R F' R'
R D R2 D L U2 F'
R D R2 D' L U2 F'
R D R2 D2 L U2 F'
D R2 B' U2 F R F'
R D R2 B2 U2 F' R'
D R2 B2 U2 R F' R2
L D U2 L D2 F L2
L D U2 L F D2 L2
L D U2 L' D2 L2 F
U2 D L' D2 L2 R2 F
U2 D L' D2 L2 F R2
U2 D L' D2 R2 L2 F
R' D B R2 B U2 R'
R' D B' R2 B L U2
L D B R B R U2
R' D B2 R2 B U2 R
L D B' R B R U2
R' D' L R U2 L F
R' D' L U2 L D F'
R' D' L U2 L D' F'
R' D' L U2 L D2 F'
R' D' L U2 L F' D
R' D' L U2 L F' D'
R' D' L U2 L F' D2
R' D' L U2 L' F' L2
R' D' L U2 D L F'
R' D' L U2 D F' L
R' D' L U2 D' L F'
R' D' L U2 D' F' L
R' D' L U2 D2 L F'
R' D' L U2 D2 F' L
R' D' L U2 F L F2
R' D' L U2 F' L D
R' D' L U2 F' L D'
R' D' L U2 F' L D2
R' D' L U2 F' D L
R' D' L U2 F' D' L
R' D' L U2 F' D2 L
R' D' L D U2 L F'
R' D' L D U2 F' L
R' D' L D' U2 L F'
R' D' L D' U2 F' L
R' D' L D2 U2 L F'
R' D' L D2 U2 F' L
L D B2 R B R U2
R' D' L B' U2 F' L'
R D B2 R2 B' U2 R
R D' L R' U2 L F
R D' L R2 U2 L F'
R D' L R2 U2 F' L
L2 D' L' R B U2 L'
L2 D' L' R' U2 L' F'
B' U F R F B U
B' U F R B F U
L2 D' L' U2 L F L2
B2 U F R F U R2
R D' L B2 R' B' U2
R' D' R L U2 L F
R D' L' B L2 U2 L
L2 D' R L' B U2 L'
R D' L2 B L' U2 L
L2 D' R B L' U2 L'
L2 D' R' L' U2 L' F'
U2 D B2 R' B2 L F
L D' R D2 R2 U2 F'
L D' R D2 B R2 U2
L D' R B R U2 L2
L D' R B R' U2 L2
L D' R B R2 U2 L2
L D' R B U2 L2 D
L D' R B U2 L2 D'
L D' R B U2 L2 D2
L D' R B D2 R2 U2
L D' R B2 U2 L2 F
R D' R' L U2 L F
L D' R' U2 L F' L
L D' R' U2 L2 D F'
L D' R' U2 L2 D' F'
L D' R' U2 L2 D2 F'
L D' R' U2 L2 F' D
L D' R' U2 L2 F' D'
L D' R' U2 L2 F' D2
L D' R' U2 F L2 F2
L D' R' U2 F' L2 D
L D' R' U2 F' L2 D'
L D' R' U2 F' L2 D2
L D' R' D2 R2 B U2
U2 D' L F' L F2 R
L D' R' B U2 L2 F'
L D' R' B U2 F' L2
L D' R' B' U2 L2 F'
L D' R' B' U2 F' L2
L D' R' B2 U2 L2 F'
L D' R' B2 U2 F' L2
R D' R2 L U2 L F'
R D' R2 L U2 F' L
R' D' U2 L2 F2 R F
R' D' U2 F L2 F2 R
U2 D' L2 U2 L' U2 F
L D' U F R U L2
U2 D' L2 D2 F2 R F'
L D' U' L U' L F
U2 D' L2 F2 D2 R F'
L D' U' B L U' L
L D' U2 L D F L
L D' U2 L D' F L
L D' U2 L D2 F L
L D' U2 L F L D
L D' U2 L F L D'
L D' U2 L F L D2
L D' U2 L F D L
L D' U2 L F D' L
L D' U2 L F D2 L
L D' U2 L F' L F2
L D' U2 L F2 L F'
L D' U2 F L F L
L D' U2 F' L F L
L D' U2 F2 L F L
R' D' F' B' L2 B' R'
R' D' F' B2 L2 R' B'
R' D' F' B2 R' L2 B'
R' D' B' F' L2 B' R'
L D' B R B U2 L2
L D' B R' U2 L2 F'
L D' B R' U2 F' L2
L D' B U2 L F L
R' D' B2 U2 L2 F' R'
R' D' B2 U2 F' L2 R'
R' D' B2 U2 F' R' L2
D2 U' B L B U' R'
R' D' B2 F' L2 R' B'
R' D' B2 F' R' L2 B'
L D' B' R B U2 L2
L D' B' R' U2 L2 F'
L D' B' R' U2 F' L2
R' D2 L U' B2 U' F'
L D' B' U2 L F L
R' D2 L U2 D L2 F'
R' D2 L U2 D F' L2
R' D2 L U2 F' D L2
R' D2 L D U2 L2 F'
R' D2 L D U2 F' L2
R' D2 L D' R2 B U2
L D' B2 R B U2 L2
L D' B2 R' U2 L2 F'
L D' B2 R' U2 F' L2
L D' B2 U2 L F L
R2 D2 L U2 D L2 F
R2 D2 L D U2 L2 F
R D' B2 U2 L2 R' F
R D' B2 U2 L2 F R'
R D' B2 U2 R' L2 F
R2 D2 L D B' U2 L2
R2 D2 L D' R2 B' U2
R2 D2 L D' B' R2 U2
R2 D2 L B' U' B' U'
R D2 L D B U2 L2
R D2 L D' R2 U2 F'
R D2 L D' B R2 U2
R D2 L B U' B U'
D' U2 L F' L F2 R
D' U2 L2 U2 L' U2 F
D' U2 L2 D2 F2 R F'
D' U2 L2 F2 D2 R F'
L D2 R D B U2 L2
L D2 R D' R2 U2 F'
L D2 R D' B R2 U2
D U2 L' D2 L2 R2 F
D U2 L' D2 L2 F R2
D U2 L' D2 R2 L2 F
L D2 R B U' B U'
L D2 R' U' B2 U' F'
L D2 R' U2 D L2 F'
L D2 R' U2 D F' L2
L D2 R' U2 F' D L2
L D2 R' D U2 L2 F'
L D2 R' D U2 F' L2
L D2 R' D' R2 B U2
R' D2 U' B2 U' F' R'
B2 U2 L R' D' F L2
B' U2 L D' F L2 R
B' U2 L D' F R L2
B2 U2 L D' R' F L2
B2 U2 L D' F L2 R'
B2 U2 L D' F R' L2
B2 U2 L' R' D' L2 F
B' U2 L' D' L2 F R
L D2 U' B L B U'
B2 U2 L' D' L2 R' F
B2 U2 L' D' L2 F R'
B2 U2 L' D' R' L2 F
L D2 U2 L D F L2
L D2 U2 L F D L2
L D2 U2 L' D L2 F
U' D2 B L B U' R'
B2 U2 R' L D' F L2
B2 U2 R' L' D' L2 F
B2 U2 R' D' L F L
L D2 B U' B L U'
R D2 B U' B U' R'
B' U2 D' L F L R
B' U2 D' L F R L
B2 U2 D' L R' F L
B2 U2 D' L F L R'
B2 U2 D' L F R' L
B2 U2 D' R' L F L
D U2 B2 R' B2 L F
D' F L F' U2 L F
U F R F U' L U2
U F R F B2 U R'
U F R B2 F U R'
B2 D L R2 U2 R F'
B2 D L' R2 U2 R F'
B2 D L2 R2 U2 R F'
B' D R B L R U2
B' D R B R L U2
B2 D R B R U2 R
B' D R2 U2 F R F'
B2 D R2 L U2 R F'
B2 D R2 L' U2 R F'
B2 D R2 L2 U2 R F'
B2 D R2 U2 R D F'
B2 D R2 U2 R D' F'
B2 D R2 U2 R D2 F'
B2 D R2 U2 R F' D
B2 D R2 U2 R F' D'
B2 D R2 U2 R F' D2
B2 D R2 B U2 R F'
B2 D R2 B' U2 R F'
B2 D R2 B2 U2 R F'
D' F' L U2 L F B'
D' F' L U2 L B' F
U F B2 R F U R2
B' D B' R2 U2 R F'
B' D' L U2 L F R
B2 D' L U2 L R' F
B2 D' L U2 L F R'
B2 D' L U2 R' L F
B2 D' R U2 L2 R2 F'
B2 D' R U2 R2 L2 F'
B2 D' R U2 R2 F' L2
B' D' R B L U2 L
B2 D' R B U2 L2 R2
B2 D' R B U2 R2 L2
B' D' R' F' L2 B' R'
B2 D' R' F' L2 D B'
B2 D' R' F' L2 D' B'
B2 D' R' F' L2 D2 B'
B2 D' R' F' L2 B' D
B2 D' R' F' L2 B' D'
B2 D' R' F' L2 B' D2
B2 D' R' F' B L2 B'
B2 D' R' F' B' L2 B'
B2 D' R' F' B2 L2 B'
B2 D' R' B F' L2 B'
B2 D' R' B' F' L2 B'
B2 D' R' B2 F' L2 B'
D' F' B' L2 B' R' F'
B2 D' R2 U2 L2 R F'
B2 D' R2 U2 R L2 F'
B2 D' R2 U2 R F' L2
D' F' B2 L2 R' F' B'
D' F' B2 L2 R' B' F'
D' F' B2 R' L2 F' B'
D' F' B2 R' L2 B' F'
B' D' U2 L F L R
B' D' U2 L F R L
D' F2 L F2 U2 L F
B2 D' U2 L R' F L
B2 D' U2 L F L R'
B2 D' U2 L F R' L
B2 D' U2 R' L F L
B' D' F' L2 B' R' F'
B2 D' F' L2 R' F' B'
B2 D' F' L2 R' B' F'
B2 D' F' R' L2 F' B'
B2 D' F' R' L2 B' F'
B' D' B L U2 L F
L2 F2 R' U F' R2 B
B' D' B' R' F' L2 B'
R' F2 U D2 F B2 R'
R' F2 U D2 B2 R' F
R' F2 U D2 B2 F R'
B2 D' B2 L U2 L F
R' F2 U' F2 L U2 F'
R F2 U' L F2 B U2
R F2 U' L B F2 U2
U F2 U' D' L B' U2
R F2 U' F2 L B U2
R' F2 D2 U F B2 R'
R' F2 D2 U B2 R' F
R' F2 D2 U B2 F R'
F2 D2 R' U F' B2 R'
F2 D2 R' U B2 F' R'
B2 D2 R' D F' L2 B'
U F2 D' U' L B' U2
B2 D2 R' F' D L2 B'
D F2 D2 B2 L2 R' F'
D F2 D2 B2 R' L2 F'
D F2 D2 B2 R' F' L2
U F2 D2 B2 U R' F'
D' B R B U2 L2 R'
D' B R B U2 R' L2
D B R B R U2 R2
L B R D R2 U2 F'
L B R D B R2 U2
L B R D' B U2 L2
L B R B U F2 U
L B R B U2 D' L2
L B R B D R2 U2
L B R B D' U2 L2
L B R' U F2 U F
L B R' U2 D' L2 F'
L B R' U2 D' F' L2
L B R' D R2 B U2
L B R' D' U2 L2 F'
L B R' D' U2 F' L2
D2 B U' B L U' R'
L B U F R F U
R B U F2 B U R'
R B U B F2 U R'
L B U2 L D' F L2
L B U2 L' D' L2 F
L B U2 D' L F L
L B D R B R U2
L B D' R B U2 L2
L B D' R' U2 L2 F'
L B D' R' U2 F' L2
L B D' U2 L F L
D' B' L U2 L F R
D' B' R B L U2 L
D' B' R' F' L2 B' R'
D B' R B L R U2
D B' R B R L U2
L B' R D R2 U2 F'
L B' R D B R2 U2
L B' R D' B U2 L2
L B' R B U F2 U
L B' R B U2 D' L2
L B' R B D R2 U2
L B' R B D' U2 L2
L B' R' U F2 U F
L B' R' U2 D' L2 F'
L B' R' U2 D' F' L2
L B' R' D R2 B U2
R' B' U F2 U F R
L B' R' D' U2 L2 F'
L B' R' D' U2 F' L2
D B' R2 U2 F R F'
D' B' U2 L F L R
D' B' U2 L F R L
L B' U F R F U
R' B' D R2 B L U2
L B' U2 L D' F L2
L B' U2 L' D' L2 F
R' B' D' F' L2 B' R'
L B' U2 D' L F L
L B' D R B R U2
L B' D' R B U2 L2
L B' D' R' U2 L2 F'
L B' D' R' U2 F' L2
L B' D' U2 L F L
D' B' F' L2 B' R' F'
D' B2 L U2 L R' F
D' B2 L U2 L F R'
D' B2 L U2 R' L F
D B2 L R2 U2 R F'
D B2 L' R2 U2 R F'
D' B2 R U2 L2 R2 F'
D' B2 R U2 R2 L2 F'
D' B2 R U2 R2 F' L2
D B2 L2 R2 U2 R F'
D' B2 R B U2 L2 R2
D' B2 R B U2 R2 L2
D' B2 R' F' L2 D B'
D' B2 R' F' L2 D' B'
D' B2 R' F' L2 D2 B'
D' B2 R' F' L2 B' D
D' B2 R' F' L2 B' D'
D' B2 R' F' L2 B' D2
D' B2 R' F' B L2 B'
D' B2 R' F' B' L2 B'
D' B2 R' F' B2 L2 B'
D' B2 R' B F' L2 B'
D' B2 R' B' F' L2 B'
D' B2 R' B2 F' L2 B'
D B2 R B R U2 R
D' B2 R2 U2 L2 R F'
D' B2 R2 U2 R L2 F'
D' B2 R2 U2 R F' L2
L B2 R D R2 U2 F'
L B2 R D B R2 U2
L B2 R D' B U2 L2
L B2 R B U F2 U
L B2 R B U2 D' L2
L B2 R B D R2 U2
L B2 R B D' U2 L2
L B2 R' U F2 U F
D B2 R2 L U2 R F'
L B2 R' U2 D' L2 F'
L B2 R' U2 D' F' L2
R' B2 U F2 U R' F
R' B2 U F2 U F R'
D B2 R2 L' U2 R F'
L B2 R' D R2 B U2
D B2 R2 L2 U2 R F'
L B2 R' D' U2 L2 F'
L B2 R' D' U2 F' L2
D B2 R2 U2 R D F'
D B2 R2 U2 R D' F'
D B2 R2 U2 R D2 F'
D B2 R2 U2 R F' D
D B2 R2 U2 R F' D'
D B2 R2 U2 R F' D2
D B2 R2 B U2 R F'
D B2 R2 B' U2 R F'
D B2 R2 B2 U2 R F'
D' B2 U2 L R' F L
D' B2 U2 L F L R'
D' B2 U2 L F R' L
R' B2 U2 D' L2 F' R'
D' B2 U2 R' L F L
R' B2 U2 D' F' L2 R'
R' B2 U2 D' F' R' L2
L B2 U F R F U
R' B2 D R2 B U2 R
L B2 U2 L D' F L2
L B2 U2 L' D' L2 F
R' B2 D' U2 L2 F' R'
R' B2 D' U2 F' L2 R'
R' B2 D' U2 F' R' L2
R' B2 D' F' L2 R' B'
R' B2 D' F' R' L2 B'
L B2 U2 D' L F L
R B2 U2 R' D' L2 F
R B2 U2 D' L2 R' F
R B2 U2 D' L2 F R'
R B2 U2 D' R' L2 F
D' B2 D2 R2 U2 R F'
L B2 D R B R U2
R B2 D R2 B' U2 R
L B2 D' R B U2 L2
L B2 D' R' U2 L2 F'
L B2 D' R' U2 F' L2
L B2 D' U2 L F L
D B2 D2 R' F' L2 B'
D' B2 F' L2 R' F' B'
D' B2 F' L2 R' B' F'
D' B2 F' R' L2 F' B'
D' B2 F' R' L2 B' F'
R B2 D' U2 L2 R' F
R B2 D' U2 L2 F R'
R B2 D' U2 R' L2 F
U B2 F R F U R2
