U' L' U' B' U'
B U L D2 R2
B' U' L' R' U2
B U' L' U2 L2
B' U' R' L' U2
F2 B U L R
F2 B U R L
B F2 U L R
B F2 U R L
F' U2 F' D U' L' R
F' U2 F' D U' R L'
F' U2 F' D' U' L' R
F' U2 F' D' U' R L'
F' U2 F' D2 U' L' R
F' U2 F' D2 U' R L'
F' U2 F' B U' L' R
F' U2 F' B U' R L'
F' U2 F' B' U' L' R
F' U2 F' B' U' R L'
F' U2 F' B2 U' L' R
F' U2 F' B2 U' R L'
B' U2 F2 U R' U2 R2
B' U2 F2 U' R D2 L2
B' U2 F2 B2 U' L R
B' U2 F2 B2 U' R L
B2 U2 F2 B' U' L R
B2 U2 F2 B' U' R L
F U2 F' B' U' L' R'
F U2 F' B' U' R' L'
B U2 F2 U' L R D
B U2 F2 U' L R D'
B U2 F2 U' L R D2
B2 U2 B U L' R' U2
B U2 F2 U' L D R
B U2 F2 U' L D' R
B U2 F2 U' L D2 R
B U2 F2 U' R L D
B U2 F2 U' R L D'
B U2 F2 U' R L D2
B U2 F2 U' R D L
B U2 F2 U' R D' L
B2 U2 B U R' L' U2
B U2 F2 U' R D2 L
B U2 F2 U' D L R
B U2 F2 U' D R L
B U2 F2 U' D' L R
B U2 F2 U' D' R L
B U2 F2 U' D2 L R
B U2 F2 U' D2 R L
B U2 F2 D U' L R
B U2 F2 D U' R L
B U2 F2 D' U' L R
B U2 F2 D' U' R L
B U2 F2 D2 U' L R
B U2 F2 D2 U' R L
F' U2 B F' U' L' R
F' U2 B F' U' R L'
B2 U2 B' U L' U2 L2
B2 U2 B' U' L D2 R2
F' U2 B' F' U' L' R
F' U2 B' F' U' R L'
B2 U2 B' F2 U' L R
B2 U2 B' F2 U' R L
B' U2 B2 U L' U2 L2
B' U2 B2 U' L D2 R2
B' U2 B2 F2 U' L R
B' U2 B2 F2 U' R L
F' U2 B2 F' U' L' R
F' U2 B2 F' U' R L'
F U2 B' F' U' L' R'
F U2 B' F' U' R' L'
B U2 B2 U L' R' U2
B U2 B2 U R' L' U2
F' D R' B R U L
F2 D U R U B U'
B' D U' L' R' U2 D
B' D U' L' R' U2 D'
B' D U' L' R' U2 D2
B' D U' L' R' D U2
B' D U' L' R' D' U2
B' D U' L' R' D2 U2
B' D U' L' D R' U2
B' D U' L' D' R' U2
B' D U' L' D2 R' U2
B' D U' R' L' U2 D
B' D U' R' L' U2 D'
B' D U' R' L' U2 D2
B' D U' R' L' D U2
B' D U' R' L' D' U2
B' D U' R' L' D2 U2
B' D U' R' D L' U2
B' D U' R' D' L' U2
B' D U' R' D2 L' U2
B D U L R D2 R2
B D U L R' D2 R2
B2 D U' L' U F U
B D U L R2 D2 R2
B D U L U2 L2 U2
B D U L D2 R2 D
B D U L D2 R2 D'
B D U L D2 R2 D2
B D U R L D2 R2
B D U R' L D2 R2
B D U R2 L D2 R2
B D U F2 L R F2
B D U F2 R L F2
B D U F2 R F2 L
B D U' L' R U2 L2
B D U' L' R' U2 L2
B D U' L' R2 U2 L2
B D U' L' U2 L2 D
B D U' L' U2 L2 D'
B D U' L' U2 L2 D2
B D U' L' D2 R2 U2
B D U' R L' U2 L2
B D U' R' L' U2 L2
B D U' R2 L' U2 L2
B D U2 F2 U' L R
B D U2 F2 U' R L
B' D F2 U R D2 L2
B' D F2 U' R' U2 R2
F D F B U L R
F D F B U R L
B' D F2 B2 U L R
B' D F2 B2 U R L
B D F2 U L R D
B D F2 U L R D'
B D F2 U L R D2
B D F2 U L D R
B D F2 U L D' R
B D F2 U L D2 R
B D F2 U R L D
B D F2 U R L D'
B D F2 U R L D2
B D F2 U R D L
B D F2 U R D' L
B D F2 U R D2 L
B D F2 U D L R
B D F2 U D R L
B D F2 U D' L R
B D F2 U D' R L
B D F2 U D2 L R
B D F2 U D2 R L
F2 D B U L R D
F2 D B U L R D'
F2 D B U L R D2
F2 D B U L D R
F2 D B U L D' R
F2 D B U L D2 R
F2 D B U R L D
F2 D B U R L D'
F2 D B U R L D2
F2 D B U R D L
F2 D B U R D' L
F2 D B U R D2 L
F2 D B U D L R
F2 D B U D R L
F2 D B U D' L R
F2 D B U D' R L
F2 D B U D2 L R
F2 D B U D2 R L
B D F2 D U L R
B D F2 D U R L
B D F2 D' U L R
B D F2 D' U R L
B D F2 D2 U L R
B D F2 D2 U R L
F2 D B D U L R
F2 D B D U R L
F2 D B D' U L R
F2 D B D' U R L
F2 D B D2 U L R
F2 D B D2 U R L
F2 D B' U R D2 L2
F2 D B' U' R' U2 R2
B' D B2 U L D2 R2
B' D B2 U' L' U2 L2
F D B F U L R
F D B F U R L
B' D B2 F2 U L R
B' D B2 F2 U R L
U2 F' U' L' F' R F
B D B2 U' L' R' U2
B D B2 U' R' L' U2
U2 F' U' F' R F L'
D2 F' U2 F' U' L' R
D2 F' U2 F' U' R L'
D' F' U2 F' U' L' R
D' F' U2 F' U' R L'
D F' U2 F' U' L' R
D F' U2 F' U' R L'
R F' D R' B U L
D2 F' D2 B U L R'
D2 F' D2 B U R' L
D' F' D2 B U L R'
D' F' D2 B U R' L
U2 F' D2 B U' L' R'
U2 F' D2 B U' R' L'
D F' D2 B U L R'
D F' D2 B U R' L
F2 D' U R U B U'
B' D' U' L' R' U2 D
B' D' U' L' R' U2 D'
B' D' U' L' R' U2 D2
B' D' U' L' R' D U2
B' D' U' L' R' D' U2
B' D' U' L' R' D2 U2
B' D' U' L' D R' U2
B' D' U' L' D' R' U2
B' D' U' L' D2 R' U2
B' D' U' R' L' U2 D
B' D' U' R' L' U2 D'
B' D' U' R' L' U2 D2
B' D' U' R' L' D U2
B' D' U' R' L' D' U2
B' D' U' R' L' D2 U2
B' D' U' R' D L' U2
B' D' U' R' D' L' U2
B' D' U' R' D2 L' U2
B D' U L R D2 R2
B D' U L R' D2 R2
B D' U L R2 D2 R2
B D' U L U2 L2 U2
B D' U L D2 R2 D
B D' U L D2 R2 D'
B D' U L D2 R2 D2
B D' U R L D2 R2
B D' U R' L D2 R2
B D' U R2 L D2 R2
B D' U F2 L R F2
B D' U F2 R L F2
B D' U F2 R F2 L
B D' U' L' R U2 L2
B D' U' L' R' U2 L2
B D' U' L' R2 U2 L2
B D' U' L' U2 L2 D
B D' U' L' U2 L2 D'
B D' U' L' U2 L2 D2
B D' U' L' D2 R2 U2
B D' U' R L' U2 L2
B D' U' R' L' U2 L2
B D' U' R2 L' U2 L2
B D' U2 F2 U' L R
B D' U2 F2 U' R L
B' D' F2 U R D2 L2
B' D' F2 U' R' U2 R2
F D' F B U L R
F D' F B U R L
B' D' F2 B2 U L R
B' D' F2 B2 U R L
U F2 R U B U' F2
B D' F2 U L R D
B D' F2 U L R D'
B D' F2 U L R D2
B D' F2 U L D R
B D' F2 U L D' R
B D' F2 U L D2 R
B D' F2 U R L D
B D' F2 U R L D'
B D' F2 U R L D2
B D' F2 U R D L
B D' F2 U R D' L
B D' F2 U R D2 L
B D' F2 U D L R
B D' F2 U D R L
B D' F2 U D' L R
B D' F2 U D' R L
B D' F2 U D2 L R
B D' F2 U D2 R L
F2 D' B U L R D
F2 D' B U L R D'
F2 D' B U L R D2
F2 D' B U L D R
F2 D' B U L D' R
F2 D' B U L D2 R
F2 D' B U R L D
F2 D' B U R L D'
F2 D' B U R L D2
F2 D' B U R D L
F2 D' B U R D' L
F2 D' B U R D2 L
F2 D' B U D L R
F2 D' B U D R L
F2 D' B U D' L R
F2 D' B U D' R L
F2 D' B U D2 L R
F2 D' B U D2 R L
B D' F2 D U L R
B D' F2 D U R L
B D' F2 D' U L R
B D' F2 D' U R L
B D' F2 D2 U L R
B D' F2 D2 U R L
F2 D' B D U L R
F2 D' B D U R L
U F2 R F2 U B U'
F2 D' B D' U L R
F2 D' B D' U R L
F2 D' B D2 U L R
F2 D' B D2 U R L
D2 F2 U R U B U'
D' F2 U R U B U'
F2 D' B' U R D2 L2
F2 D' B' U' R' U2 R2
B' D' B2 U L D2 R2
B' D' B2 U' L' U2 L2
R F2 R' B U L R2
R F2 R' B U R2 L
F D' B F U L R
F D' B F U R L
B' D' B2 F2 U L R
B' D' B2 F2 U R L
D F2 U R U B U'
U2 F2 U' R F L' F'
B D' B2 U' L' R' U2
U2 F2 U' F L' F' R
B D' B2 U' R' L' U2
D2 F2 D B U L R
D2 F2 D B U R L
D' F2 D B U L R
D' F2 D B U R L
D2 F2 D' B U L R
D2 F2 D' B U R L
D' F2 D' B U L R
D' F2 D' B U R L
D F2 D B U L R
D F2 D B U R L
D2 F2 D2 B U L R
D2 F2 D2 B U R L
D' F2 D2 B U L R
D' F2 D2 B U R L
D F2 D' B U L R
D F2 D' B U R L
D2 F2 B U L R D
D2 F2 B U L R D'
D2 F2 B U L R D2
D2 F2 B U L D R
D2 F2 B U L D' R
D2 F2 B U L D2 R
D2 F2 B U R L D
D2 F2 B U R L D'
D2 F2 B U R L D2
D2 F2 B U R D L
D2 F2 B U R D' L
D2 F2 B U R D2 L
D2 F2 B U D L R
D2 F2 B U D R L
D' F2 B U L R D
D' F2 B U L R D'
D' F2 B U L R D2
D2 F2 B U D' L R
D' F2 B U L D R
D2 F2 B U D' R L
D' F2 B U L D' R
D' F2 B U L D2 R
D2 F2 B U D2 L R
D2 F2 B U D2 R L
D' F2 B U R L D
D' F2 B U R L D'
D' F2 B U R L D2
D' F2 B U R D L
D' F2 B U R D' L
D' F2 B U R D2 L
D' F2 B U D L R
D' F2 B U D R L
D' F2 B U D' L R
D' F2 B U D' R L
D' F2 B U D2 L R
D' F2 B U D2 R L
D2 F2 B D U L R
D2 F2 B D U R L
D' F2 B D U L R
D' F2 B D U R L
U2 F2 D2 B' U' L R
U2 F2 D2 B' U' R L
D2 F2 B D' U L R
D2 F2 B D' U R L
D' F2 B D' U L R
D' F2 B D' U R L
D2 F2 B D2 U L R
D2 F2 B D2 U R L
D' F2 B D2 U L R
D' F2 B D2 U R L
D2 F2 B' U R D2 L2
D' F2 B' U R D2 L2
D F2 D2 B U L R
D F2 D2 B U R L
D2 F2 B' U' R' U2 R2
D' F2 B' U' R' U2 R2
R2 F2 B R2 U L R'
R2 F2 B R2 U R' L
D F2 B U L R D
D F2 B U L R D'
D F2 B U L R D2
D F2 B U L D R
D F2 B U L D' R
D F2 B U L D2 R
D F2 B U R L D
D F2 B U R L D'
D F2 B U R L D2
D F2 B U R D L
D F2 B U R D' L
D F2 B U R D2 L
D F2 B U D L R
D F2 B U D R L
D F2 B U D' L R
D F2 B U D' R L
D F2 B U D2 L R
D F2 B U D2 R L
D F2 B D U L R
D F2 B D U R L
D F2 B D' U L R
D F2 B D' U R L
D F2 B D2 U L R
D F2 B D2 U R L
B' D2 U' L' R' U2 D
B' D2 U' L' R' U2 D'
B' D2 U' L' R' U2 D2
F2 D2 U R U B U'
B' D2 U' L' R' D U2
B' D2 U' L' R' D' U2
B' D2 U' L' R' D2 U2
B' D2 U' L' D R' U2
B' D2 U' L' D' R' U2
B' D2 U' L' D2 R' U2
B' D2 U' R' L' U2 D
B' D2 U' R' L' U2 D'
B' D2 U' R' L' U2 D2
B' D2 U' R' L' D U2
B' D2 U' R' L' D' U2
B' D2 U' R' L' D2 U2
B' D2 U' R' D L' U2
B' D2 U' R' D' L' U2
B' D2 U' R' D2 L' U2
D F2 B' U R D2 L2
D F2 B' U' R' U2 R2
B D2 U L R D2 R2
B D2 U L R' D2 R2
B D2 U L R2 D2 R2
B D2 U L U2 L2 U2
B D2 U L D2 R2 D
B D2 U L D2 R2 D'
B D2 U L D2 R2 D2
B D2 U R L D2 R2
B D2 U R' L D2 R2
B D2 U R2 L D2 R2
B D2 U F2 L R F2
B D2 U F2 R L F2
B D2 U F2 R F2 L
B D2 U' L' R U2 L2
B D2 U' L' R' U2 L2
B D2 U' L' R2 U2 L2
B D2 U' L' U2 L2 D
B D2 U' L' U2 L2 D'
B D2 U' L' U2 L2 D2
B D2 U' L' D2 R2 U2
B D2 U' R L' U2 L2
B D2 U' R' L' U2 L2
B D2 U' R2 L' U2 L2
F' D2 F B U L R'
F' D2 F B U R' L
B D2 U2 F2 U' L R
B D2 U2 F2 U' R L
R' B R U L D2 R2
R' B R U' L' U2 L2
L B L' U' L' U2 L'
L B L' D F2 U R
F' D2 F' B U L R'
F' D2 F' B U R' L
L2 B L2 B U L' R'
L2 B L2 B U R' L'
R' B R F2 U L R
R' B R F2 U R L
B' D2 F2 U R D2 L2
L B L' F2 U L2 R
L B L' F2 U R L2
B' D2 F2 U' R' U2 R2
F D2 F B U L R
F D2 F B U R L
B' D2 F2 B2 U L R
B' D2 F2 B2 U R L
F' D2 F2 B U L R'
F' D2 F2 B U R' L
F' D2 B U L R' D
F' D2 B U L R' D'
F' D2 B U L R' D2
F' D2 B U L D R'
F' D2 B U L D' R'
F' D2 B U L D2 R'
F' D2 B U R' L D
F' D2 B U R' L D'
F' D2 B U R' L D2
F' D2 B U R' D L
F' D2 B U R' D' L
F' D2 B U R' D2 L
F' D2 B U D L R'
F' D2 B U D R' L
F' D2 B U D' L R'
F' D2 B U D' R' L
F' D2 B U D2 L R'
F' D2 B U D2 R' L
B D2 F2 U L R D
B D2 F2 U L R D'
B D2 F2 U L R D2
B D2 F2 U L D R
B D2 F2 U L D' R
B D2 F2 U L D2 R
B D2 F2 U R L D
B D2 F2 U R L D'
B D2 F2 U R L D2
B D2 F2 U R D L
B D2 F2 U R D' L
B D2 F2 U R D2 L
B D2 F2 U D L R
B D2 F2 U D R L
B D2 F2 U D' L R
B D2 F2 U D' R L
F' D2 B D U L R'
B D2 F2 U D2 L R
F' D2 B D U R' L
B D2 F2 U D2 R L
F' D2 B D' U L R'
F' D2 B D' U R' L
F2 D2 B U L R D
F2 D2 B U L R D'
F2 D2 B U L R D2
F' D2 B D2 U L R'
F2 D2 B U L D R
F2 D2 B U L D' R
F2 D2 B U L D2 R
F' D2 B D2 U R' L
F2 D2 B U R L D
F2 D2 B U R L D'
F2 D2 B U R L D2
F2 D2 B U R D L
F2 D2 B U R D' L
F2 D2 B U R D2 L
F2 D2 B U D L R
F2 D2 B U D R L
F2 D2 B U D' L R
F2 D2 B U D' R L
F2 D2 B U D2 L R
F2 D2 B U D2 R L
B D2 F2 D U L R
B D2 F2 D U R L
F' D2 B F U L R'
F' D2 B F U R' L
F' D2 B F' U L R'
F' D2 B F' U R' L
B D2 F2 D' U L R
B D2 F2 D' U R L
F' D2 B F2 U L R'
F' D2 B F2 U R' L
B D2 F2 D2 U L R
B D2 F2 D2 U R L
F2 D2 B D U L R
F2 D2 B D U R L
F2 D2 B D' U L R
F2 D2 B D' U R L
F2 D2 B D2 U L R
F2 D2 B D2 U R L
D2 B U L R D2 R2
D2 B U L R' D2 R2
D2 B U L R2 D2 R2
D2 B U L U2 L2 U2
D2 B U L D2 R2 D
D2 B U L D2 R2 D'
D2 B U L D2 R2 D2
D' B U L R D2 R2
D' B U L R' D2 R2
D' B U L R2 D2 R2
D' B U L U2 L2 U2
D' B U L D2 R2 D
D' B U L D2 R2 D'
D' B U L D2 R2 D2
D2 B U R L D2 R2
F' D2 B' U' L R' U2
F' D2 B' U' R' L U2
D2 B U R' L D2 R2
D' B U R L D2 R2
D2 B U R2 L D2 R2
D' B U R' L D2 R2
D2 B U D L D2 R2
D' B U R2 L D2 R2
R2 B R2 U L D2 R2
D2 B U D' L D2 R2
D' B U D L D2 R2
F2 D2 B' U R D2 L2
D2 B U D2 L D2 R2
R2 B R2 U' L' U2 L2
D' B U D' L D2 R2
F2 D2 B' U' R' U2 R2
D' B U D2 L D2 R2
D2 B U F2 L R F2
D2 B U F2 R L F2
D2 B U F2 R F2 L
B' D2 B2 U L D2 R2
D' B U F2 L R F2
D' B U F2 R L F2
D' B U F2 R F2 L
B' D2 B2 U' L' U2 L2
U2 B U L' U' B' U'
R2 B R2 F2 U L R
R2 B R2 F2 U R L
D2 B U' L' R U2 L2
D2 B U' L' R' U2 L2
D2 B U' L' R2 U2 L2
D2 B U' L' U2 L2 D
D2 B U' L' U2 L2 D'
D2 B U' L' U2 L2 D2
D2 B U' L' D2 R2 U2
D' B U' L' R U2 L2
D' B U' L' R' U2 L2
D' B U' L' R2 U2 L2
D' B U' L' U2 L2 D
D' B U' L' U2 L2 D'
D' B U' L' U2 L2 D2
D' B U' L' D2 R2 U2
D2 B U' R L' U2 L2
D2 B U' R' L' U2 L2
D' B U' R L' U2 L2
F D2 B F U L R
F D2 B F U R L
B' D2 B2 F2 U L R
B' D2 B2 F2 U R L
D2 B U' R2 L' U2 L2
D' B U' R' L' U2 L2
D2 B U' D L' U2 L2
D' B U' R2 L' U2 L2
D2 B U' D' L' U2 L2
D' B U' D L' U2 L2
D B U L R D2 R2
D B U L R' D2 R2
D B U L R2 D2 R2
D B U L U2 L2 U2
D2 B U' D2 L' U2 L2
D' B U' D' L' U2 L2
D B U L D2 R2 D
D B U L D2 R2 D'
D B U L D2 R2 D2
D' B U' D2 L' U2 L2
D B U R L D2 R2
D B U R' L D2 R2
R2 B U D' F2 L R
R2 B U D' F2 R L
D B U R2 L D2 R2
D B U D L D2 R2
D B U D' L D2 R2
D B U D2 L D2 R2
L B U L D' B2 R'
D B U F2 L R F2
D B U F2 R L F2
D B U F2 R F2 L
B D2 B2 U' L' R' U2
B D2 B2 U' R' L' U2
D B U' L' R U2 L2
D B U' L' R' U2 L2
D B U' L' R2 U2 L2
D B U' L' U2 L2 D
D B U' L' U2 L2 D'
D B U' L' U2 L2 D2
D B U' L' D2 R2 U2
D B U' R L' U2 L2
D2 B U2 F2 U' L R
D2 B U2 F2 U' R L
D B U' R' L' U2 L2
D' B U2 F2 U' L R
D' B U2 F2 U' R L
D B U' R2 L' U2 L2
D B U' D L' U2 L2
D B U' D' L' U2 L2
D B U' D2 L' U2 L2
D2 B D U L D2 R2
D2 B D U' L' U2 L2
D' B D U L D2 R2
D' B D U' L' U2 L2
R B U' L' U2 L2 F
D2 B D F2 U L R
D2 B D F2 U R L
R B U' L' B' U2 L2
D' B D F2 U L R
D' B D F2 U R L
D B U2 F2 U' L R
D B U2 F2 U' R L
D2 B D' U L D2 R2
D2 B D' U' L' U2 L2
D' B D' U L D2 R2
D' B D' U' L' U2 L2
D2 B D' F2 U L R
D2 B D' F2 U R L
D' B D' F2 U L R
D' B D' F2 U R L
D B D U L D2 R2
D B D U' L' U2 L2
D B D U' L' U2 L2
D B D F2 U L R
D B D F2 U R L
D2 B D2 U L D2 R2
D2 B D2 U' L' U2 L2
D' B D2 U L D2 R2
D' B D2 U' L' U2 L2
D2 B D2 F2 U L R
D2 B D2 F2 U R L
R2 B D' U F2 L R
R2 B D' U F2 R L
D' B D2 F2 U L R
D' B D2 F2 U R L
D B D' U L D2 R2
D B D' U' L' U2 L2
D B D' F2 U L R
D B D' F2 U R L
L B D' L' B2 U L2
D B D2 U L D2 R2
D B D2 U' L' U2 L2
L B D2 L' U L2 R2
L B D2 L' U R2 L2
D B D2 F2 U L R
D B D2 F2 U R L
F' B U L F' R F
D2 B F2 U L R D
D2 B F2 U L R D'
D2 B F2 U L R D2
D2 B F2 U L D R
D2 B F2 U L D' R
D2 B F2 U L D2 R
D2 B F2 U R L D
D2 B F2 U R L D'
D2 B F2 U R L D2
D2 B F2 U R D L
D2 B F2 U R D' L
D2 B F2 U R D2 L
D2 B F2 U D L R
D2 B F2 U D R L
D2 B F2 U D' L R
D2 B F2 U D' R L
D2 B F2 U D2 L R
D2 B F2 U D2 R L
F2 B U L R2 D R'
F2 B U L R2 D' R'
F2 B U L R2 D2 R'
F2 B U L D R D
F2 B U L D R D'
F2 B U L D R D2
F2 B U L D' R D
F2 B U L D' R D'
F2 B U L D' R D2
F2 B U L D2 R D
F2 B U L D2 R D'
F2 B U L D2 R D2
F2 B U L B R B'
D' B F2 U L R D
D' B F2 U L R D'
D' B F2 U L R D2
D' B F2 U L D R
D' B F2 U L D' R
D' B F2 U L D2 R
F2 B U L B2 R B2
D' B F2 U R L D
D' B F2 U R L D'
D' B F2 U R L D2
D' B F2 U R D L
D' B F2 U R D' L
D' B F2 U R D2 L
D' B F2 U D L R
D' B F2 U D R L
D' B F2 U D' L R
D' B F2 U D' R L
D' B F2 U D2 L R
D' B F2 U D2 R L
F2 B U L2 R D L'
F2 B U L2 R D' L'
F2 B U L2 R D2 L'
F2 B U L2 D L' R
F2 B U L2 D R L'
F2 B U L2 D' L' R
F2 B U L2 D' R L'
F2 B U L2 D2 L' R
F2 B U L2 D2 R L'
D2 B F2 D U L R
D2 B F2 D U R L
F2 B U R L2 D L'
F2 B U R L2 D' L'
F2 B U R L2 D2 L'
F2 B U R D L D
F2 B U R D L D'
F2 B U R D L D2
F2 B U R D' L D
F2 B U R D' L D'
F2 B U R D' L D2
F2 B U R D2 L D
F2 B U R D2 L D'
F2 B U R D2 L D2
F2 B U R F L F'
F2 B U R F2 L F2
D2 B F2 D' U L R
D2 B F2 D' U R L
D' B F2 D U L R
D' B F2 D U R L
D2 B F2 D2 U L R
D2 B F2 D2 U R L
F2 B U R2 L D R'
F2 B U R2 L D' R'
F2 B U R2 L D2 R'
F' B U F' R F L
D' B F2 D' U L R
D' B F2 D' U R L
F2 B U R2 D L R'
F2 B U R2 D R' L
F2 B U R2 D' L R'
F2 B U R2 D' R' L
F2 B U R2 D2 L R'
F2 B U R2 D2 R' L
F2 B U D L R D
F2 B U D L R D'
F2 B U D L R D2
F2 B U D L D R
F2 B U D L D' R
F2 B U D L D2 R
D' B F2 D2 U L R
D' B F2 D2 U R L
F2 B U D R L D
F2 B U D R L D'
F2 B U D R L D2
F2 B U D R D L
F2 B U D R D' L
F2 B U D R D2 L
F2 B U D' L R D
F2 B U D' L R D'
F2 B U D' L R D2
F2 B U D' L D R
F2 B U D' L D' R
F2 B U D' L D2 R
F2 B U D' R L D
F2 B U D' R L D'
F2 B U D' R L D2
F2 B U D' R D L
F2 B U D' R D' L
F2 B U D' R D2 L
F2 B U D2 L R D
F2 B U D2 L R D'
F2 B U D2 L R D2
F2 B U D2 L D R
F2 B U D2 L D' R
F2 B U D2 L D2 R
F2 B U D2 R L D
F2 B U D2 R L D'
F2 B U D2 R L D2
F2 B U D2 R D L
F2 B U D2 R D' L
F2 B U D2 R D2 L
B' F U' R' U' F' U'
F2 B U F L F' R
F2 B U B R B' L
B F U L U F U'
F2 B U' L' U2 L2 R
F2 B U' L' U2 R L2
F2 B U' L2 U2 L' R
F2 B U' L2 U2 R L'
R2 B F2 R2 U L R'
R2 B F2 R2 U R' L
F2 B U' R' U2 L R2
F2 B U' R' U2 R2 L
F B U L U F U'
F2 B U' R2 U2 L R'
F2 B U' R2 U2 R' L
D B F2 U L R D
D B F2 U L R D'
D B F2 U L R D2
D B F2 U L D R
D B F2 U L D' R
D B F2 U L D2 R
D B F2 U R L D
D B F2 U R L D'
D B F2 U R L D2
D B F2 U R D L
D B F2 U R D' L
D B F2 U R D2 L
D B F2 U D L R
D B F2 U D R L
D B F2 U D' L R
D B F2 U D' R L
D B F2 U D2 L R
D B F2 U D2 R L
D B F2 D U L R
D B F2 D U R L
D B F2 D' U L R
D B F2 D' U R L
D B F2 D2 U L R
D B F2 D2 U R L
U' B' L' B U' B2 U'
U' B' L' B U2 D L2
U' B' L' B D U2 L2
U' B' L' B D' R2 U2
F' B U2 F' U' L R
F' B U2 F' U' R L
B2 F U2 B' U' L R'
B2 F U2 B' U' R' L
F2 B D U L R D
F2 B D U L R D'
F2 B D U L R D2
F2 B D U L D R
F2 B D U L D' R
F2 B D U L D2 R
F2 B D U R L D
F2 B D U R L D'
F2 B D U R L D2
F2 B D U R D L
F2 B D U R D' L
F2 B D U R D2 L
R' B' R U' L' R2 U2
R' B' R U' R2 L' U2
L B' L' U' L' R' U2
L B' L' U' R' L' U2
R' B' R D' F2 U R
F2 B D' U L R D
F2 B D' U L R D'
F2 B D' U L R D2
F2 B D' U L D R
F2 B D' U L D' R
F2 B D' U L D2 R
F2 B D' U R L D
F2 B D' U R L D'
F2 B D' U R L D2
F2 B D' U R D L
F2 B D' U R D' L
F2 B D' U R D2 L
B F D F U L R
B F D F U R L
L' B' R' U R U B
F B D F U L R
F B D F U R L
F2 B D2 U L R D
F2 B D2 U L R D'
F2 B D2 U L R D2
F2 B D2 U L D R
F2 B D2 U L D' R
F2 B D2 U L D2 R
F2 B D2 U R L D
F2 B D2 U R L D'
F2 B D2 U R L D2
F2 B D2 U R D L
F2 B D2 U R D' L
F2 B D2 U R D2 L
B F D' F U L R
B F D' F U R L
B2 F D2 F U L' R
B2 F D2 F U R L'
F B D' F U L R
F B D' F U R L
B F D2 F U L R
B F D2 F U R L
R2 B' R2 U' L' R U2
F B D2 F U L R
F B D2 F U R L
R2 B' R2 U' R L' U2
U2 B' U L' U' B' U'
D2 B' U' L' R' U2 D
D2 B' U' L' R' U2 D'
D2 B' U' L' R' U2 D2
D2 B' U' L' R' D U2
D2 B' U' L' R' D' U2
D2 B' U' L' R' D2 U2
D2 B' U' L' D R' U2
D2 B' U' L' D' R' U2
D2 B' U' L' D2 R' U2
R2 B' R2 F2 U L' R
R2 B' R2 F2 U R L'
D' B' U' L' R' U2 D
D' B' U' L' R' U2 D'
D' B' U' L' R' U2 D2
D' B' U' L' R' D U2
D' B' U' L' R' D' U2
D' B' U' L' R' D2 U2
D' B' U' L' D R' U2
D' B' U' L' D' R' U2
D' B' U' L' D2 R' U2
D2 B' U' R' L' U2 D
D2 B' U' R' L' U2 D'
D2 B' U' R' L' U2 D2
D2 B' U' R' L' D U2
D2 B' U' R' L' D' U2
D2 B' U' R' L' D2 U2
D2 B' U' R' D L' U2
D2 B' U' R' D' L' U2
D2 B' U' R' D2 L' U2
D2 B' U' D L' R' U2
D' B' U' R' L' U2 D
D' B' U' R' L' U2 D'
D' B' U' R' L' U2 D2
D' B' U' R' L' D U2
D' B' U' R' L' D' U2
D' B' U' R' L' D2 U2
D2 B' U' D R' L' U2
D' B' U' R' D L' U2
D' B' U' R' D' L' U2
D' B' U' R' D2 L' U2
D2 B' U' D' L' R' U2
D2 B' U' D' R' L' U2
D2 B' U' D2 L' R' U2
D2 B' U' D2 R' L' U2
D' B' U' D L' R' U2
D' B' U' D R' L' U2
D' B' U' D' L' R' U2
D' B' U' D' R' L' U2
D' B' U' D2 L' R' U2
D' B' U' D2 R' L' U2
D B' U' L' R' U2 D
D B' U' L' R' U2 D'
D B' U' L' R' U2 D2
D B' U' L' R' D U2
D B' U' L' R' D' U2
D B' U' L' R' D2 U2
D B' U' L' D R' U2
D B' U' L' D' R' U2
D B' U' L' D2 R' U2
D B' U' R' L' U2 D
D B' U' R' L' U2 D'
D B' U' R' L' U2 D2
D B' U' R' L' D U2
D B' U' R' L' D' U2
D B' U' R' L' D2 U2
D B' U' R' D L' U2
D B' U' R' D' L' U2
D B' U' R' D2 L' U2
D B' U' D L' R' U2
D B' U' D R' L' U2
D B' U' D' L' R' U2
D B' U' D' R' L' U2
D B' U' D2 L' R' U2
D B' U' D2 R' L' U2
D2 B' D U' L' R' U2
D2 B' D U' R' L' U2
D' B' D U' L' R' U2
D' B' D U' R' L' U2
D2 B' D' U' L' R' U2
D2 B' D' U' R' L' U2
D' B' D' U' L' R' U2
D' B' D' U' R' L' U2
D B' D U' L' R' U2
D B' D U' R' L' U2
D2 B' D2 U' L' R' U2
D2 B' D2 U' R' L' U2
D' B' D2 U' L' R' U2
D' B' D2 U' R' L' U2
F2 B' U L R D2 L2
F2 B' U L' R D2 L2
F2 B' U L2 R D2 L2
F2 B' U R L D2 L2
F2 B' U R L' D2 L2
F2 B' U R L2 D2 L2
F2 B' U R U2 R2 U2
F2 B' U R D2 L2 D
F2 B' U R D2 L2 D'
F2 B' U R D2 L2 D2
F2 B' U D R D2 L2
D B' D' U' L' R' U2
D B' D' U' R' L' U2
F2 B' U D' R D2 L2
