F' U' L F'
F' U' F' L
F' L' U' L2 F'
F' L' U' F' L2
F' L2 U' L' F'
F' U' L D F'
F' U' L D' F'
F' U' L D2 F'
F' U' L F' D
F' U' L F' D'
F' U' L F' D2
F' U' L' F' L2
F' U' D L F'
F' U' D F' L
F' U' D' L F'
F' U' D' F' L
F' U' D2 L F'
F' U' D2 F' L
F' U' F L F2
F' U' F' L D
F' U' F' L D'
F' U' F' L D2
F' U' F' D L
F' U' F' D' L
F' U' F' D2 L
F' D U' L F'
F' D U' F' L
D' F' L2 U' L'
L' F' U' L2 F'
L' F' U' F' L2
F' D' U' L F'
F' D' U' F' L
F' D2 U' L F'
F' D2 U' F' L
F' U' L D F2 D' F
F' U' L D F2 D2 F
F' U' L D' L' F' L
F' U' L D' L2 F' L2
F' U' L D' F2 D F
F' U' L D' F2 D' F
F' U' L D' F2 D2 F
F' U' L D2 L' F' L
F' U' L D2 L2 F' L2
F' U' L D2 F2 D F
F' U' L D2 F2 D' F
F' U' L D2 F2 D2 F
F' U' L F L' F2 L
F' U' L F L2 F2 L2
F' U' L F R F2 R'
F' U' L F R2 F2 R2
F' U' L F' L D L'
F' U' L F' L D' L'
F' U' L F' L D2 L'
F' U' L F' L' D L
F' U' L F' L' D' L
F' U' L F' L' D2 L
F' U' L F' R D R'
F' U' L F' R D' R'
F' U' L F' R D2 R'
F' U' L F' R' D R
F' U' L F' R' D' R
F' U' L F' R' D2 R
F' U' L F' B D B'
F' U' L F' B D' B'
F' U' L F' B D2 B'
F' U' L F' B' D B
F' U' L F' B' D' B
F' U' L F' B' D2 B
F' U' L F2 R F R'
F' U' L F2 R2 F R2
F' U' L F2 D F D
F' U' L F2 D F D'
F' U' L F2 D F D2
F' U' L F2 D' F D
F' U' L F2 D' F D'
F' U' L F2 D' F D2
F' U' L F2 D2 F D
F' U' L F2 D2 F D'
F' U' L F2 D2 F D2
F' U' L B D F' B'
F' U' L B D B' F'
F' U' L B D' F' B'
F' U' L B D' B' F'
F' U' L B D2 F' B'
F' U' L B D2 B' F'
F' U' L B F' D B'
F' U' L B F' D' B'
F' U' L B F' D2 B'
F' U' L B' D F' B
F' U' L B' D B F'
F' U' L B' D' F' B
F' U' L B' D' B F'
F' U' L B' D2 F' B
F' U' L B' D2 B F'
F' U' L B' F' D B
F' U' L B' F' D' B
F' U' L B' F' D2 B
L' D' F L2 F2 B2 U'
L' D' F L2 B2 F2 U'
F' U' L' D' F' D L2
F' U' L' D2 F' D2 L2
F' U' L' F L F2 L
F' U' L' F L2 F2 D
F' U' L' F L2 F2 D'
F' U' L' F L2 F2 D2
F' U' L' F' L D L
F' U' L' F' L D' L
F' U' L' F' L D2 L
F' U' L' F' L' D L'
F' U' L' F' L' D' L'
F' U' L' F' L' D2 L'
F' U' L' F' B' L2 B
F' U' L' F' B2 L2 B2
L' D' F B2 L2 F2 U'
F' U' L' B' L2 F' B
F' U' L' B' L2 B F'
F' U' L' B' F' L2 B
F' U' L' B2 L2 F' B2
F' U' L' B2 L2 B2 F'
F' U' L' B2 F' L2 B2
L' D' F' L' B2 L' U'
L' D' F' L2 U' D L2
L' D' F' L2 D U' L2
L' D' F' L2 B2 U' D
L' D' F' L2 B2 U' D'
L' D' F' L2 B2 U' D2
L' D' F' L2 B2 D U'
L' D' F' L2 B2 D' U'
L' D' F' L2 B2 D2 U'
F' U' L2 D L F' L2
F' U' L2 D L' D F'
F' U' L2 D L' D' F'
F' U' L2 D L' D2 F'
F' U' L2 D L' F' D
F' U' L2 D L' F' D'
F' U' L2 D L' F' D2
F' U' L2 D L2 F' L
L' D' F' U' D L2 F2
L' D' F' U' D F2 L2
F' U' L2 D' L F' L2
F' U' L2 D' L' D F'
F' U' L2 D' L' D' F'
F' U' L2 D' L' D2 F'
F' U' L2 D' L' F' D
F' U' L2 D' L' F' D'
F' U' L2 D' L' F' D2
F' U' L2 D' L2 F' L
L D' F L2 F2 U' L2
F' U' L2 D2 L F' L2
F' U' L2 D2 L' D F'
F' U' L2 D2 L' D' F'
F' U' L2 D2 L' D2 F'
F' U' L2 D2 L' F' D
F' U' L2 D2 L' F' D'
F' U' L2 D2 L' F' D2
F' U' L2 D2 L2 F' L
L' D' F' D U' L2 F2
L' D' F' D U' F2 L2
L' D' F' B L2 B U'
L' D' F' B2 L2 U' D
L' D' F' B2 L2 U' D'
L' D' F' B2 L2 U' D2
L' D' F' B2 L2 D U'
L' D' F' B2 L2 D' U'
L' D' F' B2 L2 D2 U'
F' U' L2 B' L' F' B
L' D' F' B2 U' D F2
F' U' L2 B' L' B F'
L' D' F' B2 D U' F2
F' U' L2 B2 L' F' B2
F' U' L2 B2 L' B2 F'
F' U' R L D R' F'
F' U' R L D' R' F'
F' U' R L D2 R' F'
F' U' R L F R' F'
F' U' R L F' R' F'
F' U' R L F2 R' F'
F2 U' L2 B' U L' B
F2 U' L2 B' U B L'
F' U' R D L R' F'
F' U' R D R' L F'
F' U' R D R' F' L
F' U' R D' L R' F'
F' U' R D' R' L F'
F' U' R D' R' F' L
L D' F' L2 U' L2 D
L D' F' L2 U' L2 D'
L D' F' L2 U' L2 D2
F' U' R D2 L R' F'
L D' F' L2 D' B2 U'
F' U' R D2 R' L F'
F' U' R D2 R' F' L
L D' F' L2 B U' L2
L D' F' L2 B' U' L2
L D' F' L2 B2 U' L2
F' U' R F L R' F'
F' U' R F R' L F'
F' U' R F R' F' L
F' U' R F' L R' F'
F' U' R F' R' L F'
F' U' R F' R' F' L
F' U' R F2 L R' F'
F' U' R F2 R' L F'
F' U' R F2 R' F' L
D' U' F D L R2 F2
D' U' F D L F2 R2
U' D' F D L R2 F2
U' D' F D L F2 R2
D' U' F D R2 L F2
D' U' F D R2 F2 L
U' D' F D R2 L F2
U' D' F D R2 F2 L
D' U' F D F2 L R2
D' U' F D F2 R2 L
U' D' F D F2 L R2
U' D' F D F2 R2 L
L' D' B L2 F' B U'
L' D' B L2 B F' U'
L D' F' B L2 U' L2
D U' R2 B U B' L
L D' F' B' L2 U' L2
L D' F' B2 L2 U' L2
L2 D' B L2 F' U' L
F U' R D R2 F L
F U' R D F L R2
F U' R D F R2 L
L' D' B F' L2 B U'
F' U' R2 L F R2 F'
F' U' R2 L F' R2 F'
F' U' R2 L F2 R2 F'
L D' B L2 F' U' L2
F' U' R2 F L R2 F'
F' U' R2 F R2 L F'
F' U' R2 F R2 F' L
L2 D' B' L2 F' U' L
F' U' R2 F' L R2 F'
F' U' R2 F' R2 L F'
F' U' R2 F' R2 F' L
F' U' R2 F2 L R2 F'
F' U' R2 F2 R2 L F'
F' U' R2 F2 R2 F' L
F U' R' D R2 F L
F U' R' D F L R2
F U' R' D F R2 L
U D' F' L2 U' B' L'
L' D' B2 L F' L U'
F' U' D L D F' D
F' U' D L D F' D'
F' U' D L D F' D2
F' U' D L D' F' D
F' U' D L D' F' D'
F' U' D L D' F' D2
F' U' D L D2 F' D
F' U' D L D2 F' D'
F' U' D L D2 F' D2
F' U' D L F2 D F
F' U' D L F2 D' F
F' U' D L F2 D2 F
L' D' B2 L2 D F' U'
F' U' D L' F L2 F2
L' D' B2 L2 D' F' U'
L' D' B2 L2 D2 F' U'
F' U' D L' F' L2 D
F' U' D L' F' L2 D'
F' U' D L' F' L2 D2
L' D' B2 L2 F' U' D
L' D' B2 L2 F' U' D'
L' D' B2 L2 F' U' D2
L' D' B2 L2 F' D U'
L' D' B2 L2 F' D' U'
L' D' B2 L2 F' D2 U'
F' U' D L2 D L' F'
F' U' D L2 D' L' F'
F' U' D L2 D2 L' F'
L D' B F' L2 U' L2
F' U' D F L F2 D
F' U' D F L F2 D'
F' U' D F L F2 D2
F' U' D F L' F2 L2
F' U' D F' L2 D L'
F' U' D F' L2 D' L'
F' U' D F' L2 D2 L'
F' U' D F' D L D
F' U' D F' D L D'
F' U' D F' D L D2
F' U' D F' D' L D
F' U' D F' D' L D'
F' U' D F' D' L D2
F' U' D F' D2 L D
F' U' D F' D2 L D'
F' U' D F' D2 L D2
L D' B' L2 F' U' L2
F' U' D F2 D F L
F' U' D F2 D' F L
F' U' D F2 D2 F L
L' D' B2 D F' U' F'
L2 D' B2 L2 F' U' L
L' D' B2 F L2 F2 U'
F U' R2 D R2 F L
F U' R2 D F L R2
F U' R2 D F R2 L
L' D' B2 F' L2 U' D
L' D' B2 F' L2 U' D'
L' D' B2 F' L2 U' D2
L' D' B2 F' L2 D U'
L' D' B2 F' L2 D' U'
L' D' B2 F' L2 D2 U'
L' D' B2 F' U' D F2
F' U' D' L D F' D
F' U' D' L D F' D'
F' U' D' L D F' D2
F' U' D' L D' F' D
F' U' D' L D' F' D'
F' U' D' L D' F' D2
L' D' B2 F' D U' F2
F' U' D' L D2 F' D
F' U' D' L D2 F' D'
F' U' D' L D2 F' D2
F' U' D' L F2 D F
F' U' D' L F2 D' F
F' U' D' L F2 D2 F
F' U' D' L' F L2 F2
F' U' D' L' F' L2 D
F' U' D' L' F' L2 D'
F' U' D' L' F' L2 D2
F' U' D' L2 D L' F'
F' U' D' L2 D' L' F'
F' U' D' L2 D2 L' F'
F' U' D' F L F2 D
F' U' D' F L F2 D'
F' U' D' F L F2 D2
F' U' D' F L' F2 L2
L D' B' F' L2 U' L2
F' U' D' F' L2 D L'
F' U' D' F' L2 D' L'
F' U' D' F' L2 D2 L'
F' U' D' F' D L D
F' U' D' F' D L D'
F' U' D' F' D L D2
F' U' D' F' D' L D
F' U' D' F' D' L D'
F' U' D' F' D' L D2
F' U' D' F' D2 L D
F' U' D' F' D2 L D'
F' U' D' F' D2 L D2
F' U' D' F2 D F L
F' U' D' F2 D' F L
F' U' D' F2 D2 F L
L D' B2 L2 F' U' L2
F' U' D2 L D F' D
F' U' D2 L D F' D'
F' U' D2 L D F' D2
F' U' D2 L D' F' D
F' U' D2 L D' F' D'
F' U' D2 L D' F' D2
F' U' D2 L D2 F' D
F' U' D2 L D2 F' D'
F' U' D2 L D2 F' D2
F' U' D2 L F2 D F
F' U' D2 L F2 D' F
F U' D R' F L R'
F' U' D2 L F2 D2 F
F U' D R' F R' L
F U' D R2 D F L
F' U' D2 L' F L2 F2
F U' D R2 D' F L
F' U' D2 L' F' L2 D
F' U' D2 L' F' L2 D'
F' U' D2 L' F' L2 D2
F U' D R2 D2 F L
F U' D R2 F L D
F U' D R2 F L D'
F U' D R2 F L D2
F U' D R2 F D L
F U' D R2 F D' L
F U' D R2 F D2 L
F U' D R2 F' L F2
F U' D R2 F2 L F'
F U' D F L R2 D
F U' D F L R2 D'
F U' D F L R2 D2
F' U' D2 L2 D L' F'
F U' D F R2 L D
F U' D F R2 L D'
F U' D F R2 L D2
F' U' D2 L2 D' L' F'
F U' D F R2 D L
F U' D F R2 D' L
F U' D F R2 D2 L
F' U' D2 L2 D2 L' F'
F U' D F' L R2 F2
F U' D F' L F2 R2
F U' D F' R2 L F2
F U' D F' R2 F2 L
F U' D F2 L F' R2
F' U' D2 F L F2 D
F' U' D2 F L F2 D'
F' U' D2 F L F2 D2
F' U' D2 F L' F2 L2
F' U' D2 F' L2 D L'
F' U' D2 F' L2 D' L'
F' U' D2 F' L2 D2 L'
F' U' D2 F' D L D
F' U' D2 F' D L D'
F' U' D2 F' D L D2
F' U' D2 F' D' L D
F' U' D2 F' D' L D'
F' U' D2 F' D' L D2
F' U' D2 F' D2 L D
F' U' D2 F' D2 L D'
F' U' D2 F' D2 L D2
F' U' D2 F2 D F L
F' U' D2 F2 D' F L
F' U' D2 F2 D2 F L
L D' B2 F' L2 U' L2
F' U' F L R F2 R'
F' U' F L R2 F2 R2
F' U' F L F D F
F' U' F L F D' F
F' U' F L F D2 F
F' U' F L F' D F'
F' U' F L F' D' F'
F' U' F L F' D2 F'
F' U' F L' F' L2 F'
F' U' F L' F2 L2 D
F' U' F L' F2 L2 D'
F' U' F L' F2 L2 D2
F U' D' F D2 L R2
F U' D' F D2 R2 L
F' U' F R L F2 R'
F' U' F R F2 L R'
F' U' F R F2 R' L
F' U' F R2 L F2 R2
F' U' F R2 F2 L R2
F' U' F R2 F2 R2 L
F' U' F D L D' F2
F' U' F D2 L D2 F2
F U' D2 F L D' R2
F' U' F' L R D R'
F' U' F' L R D' R'
F' U' F' L R D2 R'
F' U' F' L R' D R
F' U' F' L R' D' R
F' U' F' L R' D2 R
F U' D2 F D' L R2
F U' D2 F D' R2 L
F' U' F' L F D F'
F' U' F' L F D' F'
F' U' F' L F D2 F'
F' U' F' L F' D F
F' U' F' L F' D' F
F' U' F' L F' D2 F
F' U' F' L B D B'
F' U' F' L B D' B'
F' U' F' L B D2 B'
F' U' F' L B' D B
F' U' F' L B' D' B
F' U' F' L B' D2 B
F' U' F' L' F L2 F'
F' U' F' L' F2 L2 F2
F' U' F' L' B' L2 B
F' U' F' L' B2 L2 B2
F' U' F' L2 D L' D
F' U' F' L2 D L' D'
F' U' F' L2 D L' D2
F' U' F' L2 D' L' D
F' U' F' L2 D' L' D'
F' U' F' L2 D' L' D2
F' U' F' L2 D2 L' D
F' U' F' L2 D2 L' D'
F' U' F' L2 D2 L' D2
F' U' F' L2 B' L' B
F' U' F' L2 B2 L' B2
F' U' F' R L D R'
F' U' F' R L D' R'
F' U' F' R L D2 R'
F' U' F' R D L R'
F' U' F' R D R' L
F' U' F' R D' L R'
F' U' F' R D' R' L
F' U' F' R D2 L R'
F' U' F' R D2 R' L
F' U' F' R' L D R
F' U' F' R' L D' R
F' U' F' R' L D2 R
F' U' F' R' D L R
F' U' F' R' D R L
F' U' F' R' D' L R
F' U' F' R' D' R L
F' U' F' R' D2 L R
F' U' F' R' D2 R L
F' U' F' U' F U L
F' U' F' U' F' U L
F' U' F' U' F2 U L
F' U' F' U2 R U2 L
F' U' F' U2 R' U2 L
F' U' F' U2 R2 U2 L
F' U' F' D L2 D L'
F' U' F' D L2 D' L'
F' U' F' D L2 D2 L'
F' U' F' D F L F'
F' U' F' D F2 L F2
F' U' F' D' L2 D L'
F' U' F' D' L2 D' L'
F' U' F' D' L2 D2 L'
F' U' F' D' F L F'
F' U' F' D' F2 L F2
F' U' F' D2 L2 D L'
F' U' F' D2 L2 D' L'
F' U' F' D2 L2 D2 L'
F' U' F' D2 F L F'
F' U' F' D2 F2 L F2
F U' F U F U' L
F' U' F' B' L B L
F' U' F' B' L' B L
F' U' F' B' L2 B L
F' U' F' B' D B L
F' U' F' B' D' B L
F' U' F' B' D2 B L
F' U' F' B2 L B2 L
F' U' F' B2 L' B2 L
F' U' F' B2 L2 B2 L
F' U' F2 R F L R'
F' U' F2 R F R' L
F' U' F2 R2 F L R2
F' U' F2 R2 F R2 L
F' U' F2 D F L D
F' U' F2 D F L D'
F' U' F2 D F L D2
F' U' F2 D F D L
F' U' F2 D F D' L
F' U' F2 D F D2 L
F' U' F2 D F' L F2
F' U' F2 D F2 L F'
F' U' F2 D' F L D
F' U' F2 D' F L D'
F' U' F2 D' F L D2
F' U' F2 D' F D L
F' U' F2 D' F D' L
F' U' F2 D' F D2 L
F' U' F2 D' F' L F2
F' U' F2 D' F2 L F'
F' U' F2 D2 F L D
F' U' F2 D2 F L D'
F' U' F2 D2 F L D2
F' U' F2 D2 F D L
F' U' F2 D2 F D' L
F' U' F2 D2 F D2 L
F' U' F2 D2 F' L F2
F' U' F2 D2 F2 L F'
F' U' B' L F' B L
F' U' B' L B L F'
F' U' B' L B F' L
F' U' B' L' F' B L
F' U' B' L' B L F'
F' U' B' L' B F' L
F' U' B' L2 F' B L
F' U' B' L2 B L F'
F' U' B' L2 B F' L
F' U' B' D F' B L
F' U' B' D B L F'
F' U' B' D B F' L
F' U' B' D' F' B L
F' U' B' D' B L F'
F' U' B' D' B F' L
F' U' B' D2 F' B L
F' U' B' D2 B L F'
F' U' B' D2 B F' L
F' U' B' F' L B L
F' U' B' F' L' B L
F' U' B' F' L2 B L
F' U' B' F' D B L
F' U' B' F' D' B L
F' U' B' F' D2 B L
F' U' B2 L F' B2 L
F' U' B2 L B2 L F'
F' U' B2 L B2 F' L
F' U' B2 L' F' B2 L
F' U' B2 L' B2 L F'
F' U' B2 L' B2 F' L
F' U' B2 L2 F' B2 L
F' U' B2 L2 B2 L F'
F' U' B2 L2 B2 F' L
F' U' B2 F' L B2 L
F' U' B2 F' L' B2 L
F' U' B2 F' L2 B2 L
L' D2 F' U R2 B2 U2
L' D2 F' U B2 R2 U2
L' D2 F' U' D2 L2 F2
L' D2 F' U' D2 F2 L2
L' D2 F' D L2 B2 U'
L' D2 F' D B2 L2 U'
L' D2 F' D2 U' L2 F2
L' D2 F' D2 U' F2 L2
L D2 F' D L2 U' L2
B2 U2 R2 B U F2 L'
D U2 B' R2 B U L
F' U2 D F U L F2
F' U2 D F U F2 L
F' U2 D F2 U F L
F' U2 D' F U L F2
F' U2 D' F U F2 L
D' F L F2 L U' L'
F' U2 D' F2 U F L
F' U2 D2 F U L F2
F' U2 D2 F U F2 L
F' U2 D2 F2 U F L
F' U2 F R U L F2
F' U2 F R U F2 L
F' U2 F R' U L F2
F' U2 F R' U F2 L
F' U2 F R2 U L F2
F' U2 F R2 U F2 L
F' U2 F U L F2 D
F' U2 F U L F2 D'
F' U2 F U L F2 D2
F' U2 F U L' F2 L2
D' F L2 U' L' D R2
F' U2 F U F' L F'
F' U2 F U F2 L D
F' U2 F U F2 L D'
F' U2 F U F2 L D2
F' U2 F U F2 D L
F' U2 F U F2 D' L
F' U2 F U F2 D2 L
D' F L2 U' D L' R2
D' F L2 U' D R2 L'
D' F L2 D U' L' R2
D' F L2 D U' R2 L'
F' U2 F D R2 U L
D' F L2 F2 U R U2
U' F R D R2 F L
U' F R D F L R2
U' F R D F R2 L
F' U2 F2 R U F L
F' U2 F2 R' U F L
F' U2 F2 R2 U F L
F' U2 F2 U D F L
F' U2 F2 U D' F L
F' U2 F2 U D2 F L
F' U2 F2 U F L D
F' U2 F2 U F L D'
F' U2 F2 U F L D2
F' U2 F2 U F D L
F' U2 F2 U F D' L
F' U2 F2 U F D2 L
F' U2 F2 U F' L F2
F' U2 F2 U F2 L F'
U' F R' D R2 F L
U' F R' D F L R2
U' F R' D F R2 L
F' U2 F2 D U F L
F' U2 F2 D' U F L
F' U2 F2 D2 U F L
L F L2 F2 U' L2 F
U' F R2 D R2 F L
U' F R2 D F L R2
U' F R2 D F R2 L
U' F U F2 U' L F'
U' F U F2 U' F' L
R F R' F' U' L F2
R F R' F' U' F2 L
R2 F R2 F' U' L F2
R2 F R2 F' U' F2 L
U2 F U D R2 F L
U2 F U D F L R2
U2 F U D F R2 L
L F R2 D R2 F B2
L F R2 D R2 B2 F
L F R2 D F R2 B2
L F R2 D F B2 R2
L F R2 D B2 R2 F
L F R2 D B2 F R2
D' F U' D L R2 F2
D' F U' D L F2 R2
D' F U' D R2 L F2
D' F U' D R2 F2 L
D' F U' D F2 L R2
D' F U' D F2 R2 L
F' D L' U' L F' L
F' D L' U' L2 D F'
F' D L' U' L2 D' F'
F' D L' U' L2 D2 F'
F' D L' U' L2 F' D
F' D L' U' L2 F' D'
F' D L' U' L2 F' D2
F' D L' U' F L2 F2
F' D L' U' F' L2 D
F' D L' U' F' L2 D'
F' D L' U' F' L2 D2
U' F D R' F L R'
U' F D R' F R' L
D2 F D L2 U' L' R2
D2 F D L2 U' R2 L'
U' F D R2 D F L
U' F D R2 D' F L
U' F D R2 D2 F L
U' F D R2 F L D
U' F D R2 F L D'
U' F D R2 F L D2
U' F D R2 F D L
U' F D R2 F D' L
U' F D R2 F D2 L
U' F D R2 F' L F2
U' F D R2 F2 L F'
F' D L' D' B2 U' F'
U' F D F L R2 D
U' F D F L R2 D'
U' F D F L R2 D2
U' F D F R2 L D
U' F D F R2 L D'
U' F D F R2 L D2
U' F D F R2 D L
U' F D F R2 D' L
U' F D F R2 D2 L
D' F D U' L R2 F2
D' F D U' L F2 R2
D' F D U' R2 L F2
D' F D U' R2 F2 L
D' F D U' F2 L R2
D' F D U' F2 R2 L
U' F D F' L R2 F2
U' F D F' L F2 R2
U2 F U2 F2 U' L F'
U2 F U2 F2 U' F' L
U' F D F' R2 L F2
U' F D F' R2 F2 L
U' F D F2 L F' R2
F' D L' B U' L2 F'
F' D L' B U' F' L2
F' D L' B' U' L2 F'
F' D L' B' U' F' L2
F' D L' B2 U' L2 F'
F' D L' B2 U' F' L2
F' D L2 U' L F' L2
F' D L2 U' L' D F'
F' D L2 U' L' D' F'
F' D L2 U' L' D2 F'
F' D L2 U' L' F' D
F' D L2 U' L' F' D'
F' D L2 U' L' F' D2
F' D L2 U' L2 F' L
F' D L2 U' D L' F'
F' D L2 U' D' L' F'
F' D L2 U' D2 L' F'
F' D L2 D U' L' F'
U2 F D U R2 F L
U2 F D U F L R2
U2 F D U F R2 L
F' D L2 D' U' L' F'
F' D L2 D2 U' L' F'
U' F D' F D2 L R2
U' F D' F D2 R2 L
F' D L2 B U' L' F'
F' D L2 B' U' L' F'
F' D L2 B2 U' L' F'
U F D R2 F L B
L F D R2 D F B2
L F D R2 D B2 F
L F D R2 F D B2
U' F D2 F L D' R2
U' F D2 F D' L R2
U' F D2 F D' R2 L
L F D F R2 D B2
F' D U R U2 L F
F' D U B' U2 F' L'
F' D U' L D F' D
F' D U' L D F' D'
F' D U' L D F' D2
F' D U' L D' F' D
F' D U' L D' F' D'
F' D U' L D' F' D2
F' D U' L D2 F' D
F' D U' L D2 F' D'
F' D U' L D2 F' D2
F' D U' L F2 D F
F' D U' L F2 D' F
F' D U' L F2 D2 F
F D R2 D F L B2
F' D U' L' F L2 F2
F' D U' L' F' L2 D
F' D U' L' F' L2 D'
F' D U' L' F' L2 D2
F' D U' L2 D L' F'
F' D U' L2 D' L' F'
F' D U' L2 D2 L' F'
F D R2 F L D B2
F D R2 F D L B2
D' F' L D L U' L'
D2 F' L D L2 U' L2
L' F' L U' L D F'
L' F' L U' L D' F'
D' F' L D' L U' L'
L' F' L U' L D2 F'
L' F' L U' L F' D
L' F' L U' L F' D'
L' F' L U' L F' D2
L' F' L U' L' F' L2
F' D U' F L F2 D
F' D U' F L F2 D'
F' D U' F L F2 D2
U' F' L F' U F U'
F' D U' F L' F2 L2
L' F' L U' D L F'
L' F' L U' D F' L
L' F' L U' D' L F'
L' F' L U' D' F' L
L' F' L U' D2 L F'
L' F' L U' D2 F' L
L' F' L U' F L F2
L' F' L U' F' L D
L' F' L U' F' L D'
L' F' L U' F' L D2
L' F' L U' F' D L
L' F' L U' F' D' L
L' F' L U' F' D2 L
D' F' L D2 L U' L'
F' D U' F' L2 D L'
F' D U' F' L2 D' L'
F' D U' F' L2 D2 L'
U' F' L F2 D R2 F
U' F' L F2 D F R2
F' D U' F' D L D
F' D U' F' D L D'
F' D U' F' D L D2
F' D U' F' D' L D
F' D U' F' D' L D'
F' D U' F' D' L D2
F' D U' F' D2 L D
F' D U' F' D2 L D'
F' D U' F' D2 L D2
L' F' L D U' L F'
L' F' L D U' F' L
F' D U' F2 D F L
F' D U' F2 D' F L
F' D U' F2 D2 F L
L' F' L D' U' L F'
L' F' L D' U' F' L
L' F' L D2 U' L F'
L' F' L D2 U' F' L
L2 F' L U' F L' F2
F D U F L R2 B
F D U F R2 L B
D2 F' L' U B2 U2 L2
D2 F' L' U' L2 D2 F2
F' D U2 F U L F2
F' D U2 F U F2 L
L' F' L' U' L F' L2
L' F' L' U' L' D F'
L' F' L' U' L' D' F'
L' F' L' U' L' D2 F'
L' F' L' U' L' F' D
L' F' L' U' L' F' D'
L' F' L' U' L' F' D2
L' F' L' U' L2 F' L
D' F' L' D' L' B2 U'
F' D U2 F2 U F L
L' F' L' U' D L' F'
L' F' L' U' D' L' F'
L' F' L' U' D2 L' F'
D' F' L' D' B2 L' U'
L' F' L' D U' L' F'
L' F' L' D' U' L' F'
L' F' L' D2 U' L' F'
D' F' L' B L' U' L'
D' F' L' B' L' U' L'
F D U' R' F L R'
F D U' R' F R' L
D F' L D2 L2 U' L2
D2 F' L' B' U' L2 F
F D U' R2 D F L
F D U' R2 D' F L
D' F' L' B2 L' U' L'
F D U' R2 D2 F L
F D U' R2 F L D
F D U' R2 F L D'
F D U' R2 F L D2
F D U' R2 F D L
F D U' R2 F D' L
F D U' R2 F D2 L
F D U' R2 F' L F2
F D U' R2 F2 L F'
F D U' F L R2 D
F D U' F L R2 D'
F D U' F L R2 D2
F D U' F R2 L D
F D U' F R2 L D'
F D U' F R2 L D2
F D U' F R2 D L
F D U' F R2 D' L
F D U' F R2 D2 L
L' F' L' B U' L' F'
L2 F' L' U' F L' F2
F D U' F' L R2 F2
F D U' F' L F2 R2
F D U' F' R2 L F2
F D U' F' R2 F2 L
F2 D F L' U' L2 F'
F2 D F L' U' F' L2
L' F' L' B' U' L' F'
F D U' F2 L F' R2
F2 D F L2 U' L' F'
L' F' L' B2 U' L' F'
L F' L U' L F' L2
L F' L U' L' D F'
L F' L U' L' D' F'
L F' L U' L' D2 F'
L F' L U' L' F' D
L F' L U' L' F' D'
L F' L U' L' F' D2
L F' L U' L2 F' L
D' F' L2 U R U2 L'
D' F' L2 U R' U2 L'
D' F' L2 U R2 U2 L'
L F' L U' D L' F'
L F' L U' D' L' F'
L F' L U' D2 L' F'
D2 F' L2 U B2 U2 L'
D2 F' L2 U' L' D2 F2
D' F' L2 U' L2 D L
D' F' L2 U' L2 D' L
D' F' L2 U' L2 D2 L
D' F' L2 U' D L' D
D' F' L2 U' D L' D'
D' F' L2 U' D L' D2
D' F' L2 U' D' L' D
D' F' L2 U' D' L' D'
D' F' L2 U' D' L' D2
D' F' L2 U' D2 L' D
D' F' L2 U' D2 L' D'
D' F' L2 U' D2 L' D2
D2 F' L2 U' D2 L' F2
D' F' L2 U' B' L' B
D' F' L2 U' B2 L' B2
L F' L D U' L' F'
D2 F' L2 D L2 U' L
L F' L D' U' L' F'
D' F' L2 D U' L' D
D' F' L2 D U' L' D'
D' F' L2 D U' L' D2
D' F' L2 D B U' L'
D' F' L2 D B' U' L'
D' F' L2 D B2 U' L'
F2 D F U' L D F'
F2 D F U' L D' F'
L F' L D2 U' L' F'
F2 D F U' L D2 F'
D' F' L2 D' U' L' D
D' F' L2 D' U' L' D'
D' F' L2 D' U' L' D2
F2 D F U' L F' D
F2 D F U' L F' D'
F2 D F U' L F' D2
F2 D F U' L' F' L2
D' F' L2 D' B U' L'
F2 D F U' D L F'
D' F' L2 D' B' U' L'
F2 D F U' D F' L
F2 D F U' D' L F'
F2 D F U' D' F' L
D' F' L2 D' B2 U' L'
F2 D F U' D2 L F'
F2 D F U' D2 F' L
F2 D F U' F L F2
F2 D F U' F' L D
F2 D F U' F' L D'
F2 D F U' F' L D2
F2 D F U' F' D L
F2 D F U' F' D' L
F2 D F U' F' D2 L
D2 F' L2 D2 U' L' F2
D' F' L2 D2 U' L' D
D' F' L2 D2 U' L' D'
D' F' L2 D2 U' L' D2
D' F' L2 D2 B U' L'
D' F' L2 D2 B' U' L'
D' F' L2 D2 B2 U' L'
D F' L' U' L2 D' F2
F2 D F D U' L F'
F2 D F D U' F' L
D F' L' U2 R2 U L2
F2 D F D' U' L F'
F2 D F D' U' F' L
L F' L B U' L' F'
F2 D F D2 U' L F'
F2 D F D2 U' F' L
L F' L B' U' L' F'
D' F' L2 B U' L' D
D' F' L2 B U' L' D'
D' F' L2 B U' L' D2
D' F' L2 B U' D L'
D' F' L2 B U' D' L'
D' F' L2 B U' D2 L'
D' F' L2 B D U' L'
D' F' L2 B D' U' L'
D' F' L2 B D2 U' L'
D F' L' D' B2 U' F2
L F' L B2 U' L' F'
D' F' L2 B' U' L' D
D' F' L2 B' U' L' D'
D' F' L2 B' U' L' D2
D' F' L2 B' U' D L'
D' F' L2 B' U' D' L'
D' F' L2 B' U' D2 L'
D' F' L2 B' D U' L'
D' F' L2 B' D' U' L'
