L2 R U F2 B R
L2 R U B F2 R
R L2 U F2 B R
R L2 U B F2 R
B2 R U F2 B R2
B2 R U B R2 F2
B2 R U B F2 R2
B R U F2 B R'
B R U B R' F2
B R U B F2 R'
R2 U F2 B2 R' B
R U F2 B2 R' B'
R2 U B2 R' F2 B
R2 U B2 R' B F2
R' U' L F' U2 F'
R U B2 R' F2 B'
R U B2 R' B' F2
R2 U B2 F2 R' B
R U B2 F2 R' B'
R U' L U2 F2 B
R U' L U2 B F2
R' U' F' L U2 F'
B2 R' F2 D' L2 B'
D R2 U B2 R' B
D R2 B2 U R' B
B2 U F2 D R' B
L2 F2 R D' L2 B
L2 F2 R D' B L2
L2 F2 R B D' L2
L2 F2 D' L2 R B
L2 F2 D' R L2 B
L2 F2 D' R B L2
U F2 D B2 R' B
U F2 B2 D R' B
R2 B2 U R' F2 B
R2 B2 U R' B F2
R2 B2 U F2 R' B
R B2 U R' F2 B'
R B2 U R' B' F2
R B2 U F2 R' B'
R B2 U R' F2 B' D'
R B2 U R' F2 B' D2
R B2 U R' B' F2 D
R B2 U R' B' F2 D'
R B2 U R' B' F2 D2
R' B2 D R2 U B R
R B2 U R2 B' R F2
R B2 U F R' F B'
R B2 U F R' B' F
R B2 U F2 R B' R2
R B2 U F2 R' D B'
R B2 U F2 R' D' B'
R B2 U F2 R' D2 B'
R B2 U F2 R' B' D
R B2 U F2 R' B' D'
R B2 U F2 R' B' D2
R B2 U F2 R2 B' R
R B2 U F2 D R' B'
R B2 U F2 D' R' B'
R B2 U F2 D2 R' B'
R B2 U' R' F2 B' L'
R B2 U' R' B' F2 L'
R B2 D R2 U R B'
R B2 D R2 U B' R
B2 F2 D' L2 R B R2
B2 F2 D' R L2 B R2
B2 F2 D' R B L2 R2
B2 F2 D' R B R2 L2
F2 B2 D' L2 R B R2
F2 B2 D' R L2 B R2
F2 B2 D' R B L2 R2
F2 B2 D' R B R2 L2
R' B2 F2 R' D' L2 B'
R' B2 F2 D' L2 R' B'
R' B2 F2 D' R' L2 B'
U B2 F R' D F B2
U B2 F R' D B2 F
U B2 F R' F D B2
L2 B2 F2 R D' L2 B
L2 B2 F2 R D' B L2
L2 B2 F2 R B D' L2
L2 B2 F2 D' L2 R B
L2 B2 F2 D' R L2 B
L2 B2 F2 D' R B L2
R2 B2 F2 R' D' L2 B
R2 B2 F2 R' D' B L2
R2 B2 F2 R' B D' L2
U B2 F2 D R' D B
U B2 F2 D R' D' B
U B2 F2 D R' D2 B
U B2 F2 D R' B D
U B2 F2 D R' B D'
U B2 F2 D R' B D2
R B2 F2 R' D' B' L2
R B2 F2 R' B' D' L2
R B2 F2 D' R' B' L2
