U R U2 B
R2 U R' F' U2
U R U2 D B
U R U2 D' B
U R U2 D2 B
U R U2 B D
U R U2 B D'
U R U2 B D2
U R D U2 B
U R D' U2 B
U R D2 U2 B
U R F U2 B
U R F' U2 B
U R F2 U2 B
B' R' U R2 U2
B' R' U' D2 L2
B' R' D B2 U'
B' R' D2 U' L2
U R' F' R2 U2
U D R U2 B
D U R U2 B
D' U R U2 B
D2 U R U2 B
U D' R U2 B
U D2 R U2 B
U' F2 L' F2 B'
U' F2 L' B' F2
U F2 U2 L' B'
U R D' U2 B2 D2 B'
R2 U' L U2 F R' U2
U R D' F U2 D B
U R D' F U2 D' B
U R D' F U2 D2 B
U R D' F U2 B D
U R D' F U2 B D'
U R D' F U2 B D2
U R D' F D U2 B
U R D' F D' U2 B
U R D' F D2 U2 B
U R D' F' U2 D B
U R D' F' U2 D' B
U R D' F' U2 D2 B
U R D' F' U2 B D
U R D' F' U2 B D'
U R D' F' U2 B D2
U R D' F' D U2 B
U R D' F' D' U2 B
U R D' F' D2 U2 B
B' R D2 U2 L2 U L2
U R D' F2 U2 D B
U R D' F2 U2 D' B
U R D' F2 U2 D2 B
U R D' F2 U2 B D
U R D' F2 U2 B D'
U R D' F2 U2 B D2
U R D' F2 D U2 B
U R D' F2 D' U2 B
U R D' F2 D2 U2 B
R' U' L' U2 R2 U2 B'
R' U' L' D' B' D' L2
R2 U' L B' L2 B' L
L' U' L' D F2 B' L'
L' U' L' D B' F2 L'
R' U' L' D2 B L2 B2
R' U' L' D2 B' L2 D
R' U' L' D2 B' L2 D'
R' U' L' D2 B' L2 D2
R' U' L' D2 B2 L2 B
R2 U' L B2 L2 B' L'
B R D2 U2 L U L'
U R D2 R2 F' R2 U2
U R D2 U L U B
U R D2 U L' U B
U R D2 U L2 U B
R' U' L' B' L D2 L2
R' U' L' B' L' D2 L2
R' U' L' B' L2 D2 L2
R' U' L' B' U2 R2 U2
R' U' L' B' D2 L2 D
R' U' L' B' D2 L2 D'
R' U' L' B' D2 L2 D2
R U' L B2 D L2 B'
U R D2 U2 L B L'
U R D2 U2 L2 B L2
R' U' L' B2 D2 L2 B
R' U' L' B2 D2 B L2
R2 U' L' U2 R' U2 B'
U R D2 U2 B2 D B'
U R D2 U2 B2 D' B'
U R D2 U2 B2 D2 B'
L' U' L' B' D F2 L'
U R D2 F U2 D B
U R D2 F U2 D' B
U R D2 F U2 D2 B
U R D2 F U2 B D
U R D2 F U2 B D'
U R D2 F U2 B D2
U R D2 F D U2 B
U R D2 F D' U2 B
U R D2 F D2 U2 B
F' R F U R U2 B
R2 U' L' D B2 L B
U R D2 F' U2 D B
U R D2 F' U2 D' B
U R D2 F' U2 D2 B
U R D2 F' U2 B D
U R D2 F' U2 B D'
U R D2 F' U2 B D2
U R D2 F' D U2 B
U R D2 F' D' U2 B
U R D2 F' D2 U2 B
R2 U' L' D' B2 L B
U R D2 F2 U2 D B
U R D2 F2 U2 D' B
U R D2 F2 U2 D2 B
U R D2 F2 U2 B D
U R D2 F2 U2 B D'
U R D2 F2 U2 B D2
U R D2 F2 D U2 B
U R D2 F2 D' U2 B
U R D2 F2 D2 U2 B
R2 U' L' D2 B2 L B
R2 U' L' B2 L D B
R2 U' L' B2 L D' B
R2 U' L' B2 L D2 B
R2 U' L' B2 L B D
R2 U' L' B2 L B D'
R2 U' L' B2 L B D2
R2 U' L' B2 L' B L2
R2 U' L' B2 L2 B L'
R2 U' L' B2 D L B
R2 U' L' B2 D' L B
R2 U' L' B2 D2 L B
F R F U' L' B' R'
U R F R2 F' R2 U2
R U' L' B' U B U'
U R F U L U B
U R F U L' U B
U R F U L2 U B
R U' L' B2 D L2 B
R U' L' B2 D B L2
U R F U2 L B L'
U R F U2 L2 B L2
U R F U2 D B D
U R F U2 D B D'
U R F U2 D B D2
U R F U2 D' B D
U R F U2 D' B D'
U R F U2 D' B D2
U R F U2 D2 B D
U R F U2 D2 B D'
U R F U2 D2 B D2
U R F U2 B2 D B'
U R F U2 B2 D' B'
U R F U2 B2 D2 B'
U R F D U2 B D
U R F D U2 B D'
U R F D U2 B D2
U R F D F U2 B
U R F D F' U2 B
U R F D F2 U2 B
U R F D' U2 B D
U R F D' U2 B D'
U R F D' U2 B D2
U R F D' F U2 B
U R F D' F' U2 B
U R F D' F2 U2 B
U R F D2 U2 B D
U R F D2 U2 B D'
U R F D2 U2 B D2
U R F D2 F U2 B
U R F D2 F' U2 B
U R F D2 F2 U2 B
R2 U' L2 B' L B' L
R2 U' L2 B2 L D B'
R2 U' L2 B2 L D' B'
R2 U' L2 B2 L D2 B'
R2 U' L2 B2 L B' D
R2 U' L2 B2 L B' D'
R2 U' L2 B2 L B' D2
U R F' R2 F' R2 U2
U R F' U L U B
U R F' U L' U B
U R F' U L2 U B
U' R F2 R' F2 L' B'
U R F' U2 L B L'
U R F' U2 L2 B L2
U R F' U2 D B D
U R F' U2 D B D'
U R F' U2 D B D2
U R F' U2 D' B D
U R F' U2 D' B D'
U R F' U2 D' B D2
U R F' U2 D2 B D
U R F' U2 D2 B D'
U R F' U2 D2 B D2
U R F' U2 B2 D B'
U R F' U2 B2 D' B'
U R F' U2 B2 D2 B'
U R F' D U2 B D
U R F' D U2 B D'
U R F' D U2 B D2
U R F' D F U2 B
U R F' D F' U2 B
U R F' D F2 U2 B
U R F' D' U2 B D
U R F' D' U2 B D'
U R F' D' U2 B D2
U R F' D' F U2 B
U R F' D' F' U2 B
U R F' D' F2 U2 B
U R F' D2 U2 B D
U R F' D2 U2 B D'
U R F' D2 U2 B D2
U R F' D2 F U2 B
U R F' D2 F' U2 B
U R F' D2 F2 U2 B
F2 R F2 U R U2 B
U R F2 R2 F' R2 U2
U R F2 U L U B
U R F2 U L' U B
U R F2 U L2 U B
B' R B R2 U R2 U2
B' R B R2 U' D2 L2
B' R B R2 D B2 U'
U R F2 U2 L B L'
B' R B R2 D2 U' L2
U R F2 U2 L2 B L2
U R F2 U2 D B D
U R F2 U2 D B D'
U R F2 U2 D B D2
U R F2 U2 D' B D
U R F2 U2 D' B D'
U R F2 U2 D' B D2
U R F2 U2 D2 B D
U R F2 U2 D2 B D'
U R F2 U2 D2 B D2
U R F2 U2 B2 D B'
U R F2 U2 B2 D' B'
U R F2 U2 B2 D2 B'
D2 R B U2 L U L'
U R F2 D U2 B D
U R F2 D U2 B D'
U R F2 D U2 B D2
U R F2 D F U2 B
D' R B U2 L U L'
U R F2 D F' U2 B
U R F2 D F2 U2 B
B2 R B R' U R U2
U R F2 D' U2 B D
U R F2 D' U2 B D'
U R F2 D' U2 B D2
U R F2 D' F U2 B
U R F2 D' F' U2 B
U R F2 D' F2 U2 B
U R F2 D2 U2 B D
U R F2 D2 U2 B D'
U R F2 D2 U2 B D2
U R F2 D2 F U2 B
U R F2 D2 F' U2 B
U R F2 D2 F2 U2 B
D R B U2 L U L'
D' R B' R' U R U2
D2 R B' R' U R U2
R' U' D L D L2 B'
B' R B' R2 U R2 U2
B' R B' R2 U' D2 L2
B' R B' R2 D B2 U'
B' R B' R2 D2 U' L2
R' U' D L' D B' L2
U R B D B' U2 B
U R B D' B' U2 B
U R B D2 B' U2 B
D R B' R' U R U2
B2 R B' U2 L U L'
L2 U' D L' F2 B' L'
L2 U' D L' B' F2 L'
U' R B2 L F U2 F'
R2 U' D L' B2 L B
R' U' D' L D' L2 B'
R2 U' D L2 B2 L B'
R' U' D' L' D' B' L2
R' U' D' L' B' D' L2
L2 U' D F2 L' D B'
L2 U' D F2 L' D' B'
L2 U' D F2 L' D2 B'
L2 U' D F2 L' B' D
L2 U' D F2 L' B' D'
L2 U' D F2 L' B' D2
B' R B2 R2 U R2 U2
B' R B2 R2 U' D2 L2
B' R B2 R2 D B2 U'
L2 U' D F2 D L' B'
B' R B2 R2 D2 U' L2
L2 U' D F2 D' L' B'
L2 U' D F2 D2 L' B'
L2 U' D F2 B L' B'
L2 U' D F2 B' L' B'
L2 U' D F2 B2 L' B'
L2 U' D B F2 L' B'
L2 U' D B' F2 L' B'
L2 U' D B2 F2 L' B'
U R B' D2 F2 B U2
U R B' D2 B F2 U2
R2 U' D B' L' B' L
R2 U' D B2 L' B' L2
B R B2 R' U R U2
R2 U' D' L' B2 L B
R2 U' D' L2 B2 L B'
R' U' D2 L' D B' L'
R' U' D2 L' D' B' L'
R' U' D2 L' D2 B' L'
R' U' D2 L' B L' B2
R' U' D2 L' B' L' D
R' U' D2 L' B' L' D'
R' U' D2 L' B' L' D2
R' U' D2 L' B' D L'
R' U' D2 L' B' D' L'
R' U' D2 L' B' D2 L'
R' U' D2 L' B2 L' B
B' R' L D L' B2 U'
B' R' L D B2 L' U'
B' R' L D2 L' U' L'
U' R' L D2 L2 R B'
U' R' L D2 L2 B' R
U' R' L D2 R L2 B'
U R B2 U2 D2 F2 B'
U R B2 U2 D2 B' F2
R2 U' D' B' L' B' L
R' U' D2 B L' B' L'
R2 U' D' B2 L' B' L2
R' U' D2 B' L' B' L'
U R B2 D2 U2 F2 B'
U R B2 D2 U2 B' F2
R' U' D2 B2 L' B' L'
R2 U' D2 L' B2 L B
R2 U' D2 L2 B2 L B'
B' R' L' D L B2 U'
B' R' L' D2 L U' L
U' R' L' D2 R B' L2
U' R' L' D2 B' L2 R
U' R' L' D2 B' R L2
R2 U' D2 B' L' B' L
R2 U' D2 B2 L' B' L2
U' R' L' B' D2 L2 R
U' R' L' B' D2 R L2
B' R' L2 D B2 U' F2
U R' L' F' L R2 U2
U R' L' F' R2 L U2
D2 R' U R' F' R' U2
B' R' U R D R U2
B' R' U R D' R U2
D' R' U R' F' R' U2
B' R' U R D2 R U2
B' R' U R' D R' U2
B' R' U R' D' R' U2
B' R' U R' D2 R' U2
L' U' F2 L' D F2 B'
L' U' F2 L' D B' F2
L' U' F2 L' B' D F2
B' R' U D2 R U2 L2
B' R' U D2 R' U2 L2
B' R' U D2 R2 U2 L2
U R' L2 F' L2 R2 U2
U R' L2 F' R2 L2 U2
B' R' U F R2 U2 B
B' R' U F' R2 F U2
B' R' U F2 R2 F2 U2
B' R' U B R2 B' U2
D R' U R' F' R' U2
B' R' U B' R2 U2 F'
B R' U R2 U L U
D2 R' U' L D2 L2 B'
D' R' U' L D2 L2 B'
B' R' U B2 R2 B2 U2
D2 R' U' L' D2 B' L2
B' R' U' L U2 R2 U2
D' R' U' L' D2 B' L2
D2 R' U' L' B' D2 L2
B' R' U' L D2 L2 D
B' R' U' L D2 L2 D'
B' R' U' L D2 L2 D2
D' R' U' L' B' D2 L2
B' R' U' L' U2 R2 U2
B' R' U' L' D2 L2 D
B' R' U' L' D2 L2 D'
B' R' U' L' D2 L2 D2
B' R' U' L2 U2 R2 U2
B' R' U' L2 D2 L2 D
B' R' U' L2 D2 L2 D'
B' R' U' L2 D2 L2 D2
R' U' B L D2 L2 B'
R' U' B L' D2 B' L2
R' U' B L' B' D2 L2
F2 R' U' L' D R2 B'
F2 R' U' L' D B' R2
B' R' U' D L D L2
L2 U' F2 D L' F2 B'
L2 U' F2 D L' B' F2
B' R' U' D L' D L2
B' R' U' D L2 D L2
F2 R' U' L' B' D R2
D2 R' U' D2 L' B' L'
D' R' U' D2 L' B' L'
B' R' U' D' L D' L2
B' R' U' D' L' D' L2
B' R' U' D' L2 D' L2
B' R' U' D2 L D L
B' R' U' D2 L D' L
B' R' U' D2 L D2 L
B' R' U' D2 L' D L'
B' R' U' D2 L' D' L'
B' R' U' D2 L' D2 L'
B' R' U' D2 F L2 F'
D R' U' L D2 L2 B'
B' R' U' D2 F2 L2 F2
B' R' U' D2 B' L2 B
B' R' U' D2 B2 L2 B2
D R' U' L' D2 B' L2
B' R' U' F D2 L2 F'
B' R' U' F D2 F' L2
D R' U' L' B' D2 L2
B' R' U' F' D2 F L2
F2 R' U' D L' R2 B'
F2 R' U' D L' B' R2
F2 R' U' D R2 L' B'
B' R' U' B D2 B' L2
B' R' U' B' D2 L2 B
B' R' U' B' D2 B L2
R' U' B D2 L' B' L'
D R' U' D2 L' B' L'
R2 U' B L' B L B2
R2 U' B L2 B L B'
R' U' B' L D2 L2 B'
R' U' B' L' D2 B' L2
U' R' U2 R2 U2 R' B
R' U' B' L' B' D2 L2
L2 U' B D F2 L' B'
R U' B L' D' B' L
B' R' U2 D' F2 U D
B' R' U2 D' F2 U D'
B' R' U2 D' F2 U D2
B' R' U2 D' F2 D U
B' R' U2 D' F2 D' U
B' R' U2 D' F2 D2 U
B' R' U2 D2 F U L2
B' R' U2 D2 F' U L2
B' R' U2 D2 F2 U L2
B R' U2 L U D2 L2
B R' U2 L U' R2 U2
B' R' U2 F U D2 L2
B R' U2 L D' F2 U
B R' U2 L D2 U L2
B' R' U2 F U' R2 U2
B' R' U2 F D' F2 U
B' R' U2 F D2 U L2
B' R' U2 F' U D2 L2
B' R' U2 F' U' R2 U2
B' R' U2 F' D' F2 U
B' R' U2 F' D2 U L2
B' R' U2 F2 U D2 L2
B' R' U2 F2 U' R2 U2
B' R' U2 F2 D' F2 U
B' R' U2 F2 D2 U L2
R U' B U B' R' U'
R' U' B' D2 L' B' L'
B R' U2 D' L F2 U
B' R' D L B2 L' U'
B R' U2 D' F2 L U
B R' U2 D2 L U L
R2 U' B' L' B' L D
R2 U' B' L' B' L D'
R2 U' B' L' B' L D2
R2 U' B' L' B' D L
R2 U' B' L' B' D' L
R2 U' B' L' B' D2 L
B' R' D L2 B2 L2 U'
R2 U' B' L2 B' L B'
R' U' B2 L D2 L2 B'
B' R' D R' B2 R U'
R' U' B2 L' D2 B' L2
R' U' B2 L' B' D2 L2
B' R' D R2 B2 R2 U'
B' R' D U' L D L2
B' R' D U' L' D L2
L2 U' B' D F2 L' B'
B' R' D U' L2 D L2
R U' B' L' B' D L2
D2 R' D B' R' B' U'
F2 R' D U' L' R2 B'
F2 R' D U' L' B' R2
D' R' D B' R' B' U'
F2 R' D U' R2 L' B'
B' R' D B D B U'
B R' D R B2 R' U'
B' R' D B D' B U'
B' R' D B D2 B U'
B' R' D B' D B' U'
B' R' D B' D' B' U'
B R' D R' B2 R' U'
B' R' D B' D2 B' U'
B R' D R2 B2 R' U'
R' U' B2 D2 L' B' L'
R2 U' B2 L U2 F U2
R2 U' B2 L' B L2 B2
R2 U' B2 L' B' L2 D
R2 U' B2 L' B' L2 D'
R2 U' B2 L' B' L2 D2
R2 U' B2 L' B2 L2 B
R U' B2 L D L2 B'
D R' D B' R' B' U'
B' R' D' U' L D' L2
B' R' D' U' L' D' L2
L2 U' B2 D F2 L' B'
B' R' D' U' L2 D' L2
R U' B2 L' D B' L2
B R' D B2 R' U' D
B R' D B2 R' U' D'
B R' D B2 R' U' D2
B R' D B2 R' D U'
B R' D B2 R' D' U'
B R' D B2 R' D2 U'
B R' D B2 D R' U'
B R' D B2 D' R' U'
B R' D B2 D2 R' U'
B' R' D' U2 F2 U D
B' R' D' U2 F2 U D'
B' R' D' U2 F2 U D2
B' R' D' U2 F2 D U
B' R' D' U2 F2 D' U
B' R' D' U2 F2 D2 U
U R' D F' U' B2 U'
U R' D F' U2 D L2
U R' D F' D U2 L2
U R' D F' D' R2 U2
R2 U' B2 D L' B' L2
R2 U' B2 D' L' B' L2
R2 U' B2 D2 L' B' L2
B' R' D' B U' D' L2
B' R' D' B U2 F2 U
B' R' D' B D' U' L2
B' R' D' B D2 B2 U'
B' R' D' B' U' D' L2
B' R' D' B' U2 F2 U
B' R' D' B' D' U' L2
B' R' D' B' D2 B2 U'
B' R' D' B2 U' D' L2
B' R' D' B2 U2 F2 U
B' R' D' B2 D' U' L2
B' R' D' B2 D2 B2 U'
R U' B2 D L' B' L'
U' R' D2 L' R B' L'
B R' D' U2 L F2 U
U' R' D2 L' B' L' R
U' R' D2 L' B' R L'
B R' D' U2 F2 L U
U' R' D2 R L' B' L'
R2 U2 L U' R' F' U2
D2 R' D2 U' L' B' L'
D' R' D2 U' L' B' L'
B' R' D2 U R U2 L2
B' R' D2 U R' U2 L2
B' R' D2 U R2 U2 L2
B' R' D2 U' L D L
B' R' D2 U' L D' L
B' R' D2 U' L D2 L
B' R' D2 U' L' D L'
B' R' D2 U' L' D' L'
B' R' D2 U' L' D2 L'
B' R' D2 U' F L2 F'
B' R' D2 U' F2 L2 F2
B' R' D2 U' B' L2 B
B' R' D2 U' B2 L2 B2
B' R' D2 U2 F U L2
B' R' D2 U2 F' U L2
B' R' D2 U2 F2 U L2
R U2 L U L' D B'
R U2 L U L' D' B'
R U2 L U L' D2 B'
R U2 L U L' B' D
R U2 L U L' B' D'
R U2 L U L' B' D2
U R' D' F' U F' U
R U2 L U D L' B'
R U2 L U D' L' B'
R U2 L U D2 L' B'
R U2 L U B L' B'
R U2 L U B' L' B'
R U2 L U B2 L' B'
D2 R' D2 B' R' U' L2
D' R' D2 B' R' U' L2
R U2 L D U L' B'
B' R' D2 B U' L2 D
B' R' D2 B U' L2 D'
B' R' D2 B U' L2 D2
B' R' D2 B D' B2 U'
B' R' D2 B' U' L2 D
B' R' D2 B' U' L2 D'
B' R' D2 B' U' L2 D2
R U2 L D' U L' B'
B' R' D2 B' D' B2 U'
B' R' D2 B2 U' L2 D
B' R' D2 B2 U' L2 D'
B' R' D2 B2 U' L2 D2
R U2 L D2 U L' B'
B' R' D2 B2 D' B2 U'
D R' D2 U' L' B' L'
B R' D2 U2 L U L
U R' D2 R2 U2 L2 B
U R' D2 R2 U2 B L2
R2 U2 L' U' R' F' U2
D R' D2 B' R' U' L2
F' R' F U R U2 B
B R' D2 B2 R' U' L2
U R' D2 F' R U2 L2
U R' D2 F' R' U2 L2
U R' D2 F' R2 U2 L2
R U2 L' U L' B' L2
U R' D2 F' U2 L2 D
U R' D2 F' U2 L2 D'
U R' D2 F' U2 L2 D2
U R' D2 F' D2 R2 U2
B' R' F D F' B2 U'
B' R' F D B2 F' U'
U R' D2 F2 U2 L2 B'
B' R' F D2 F' U' L2
R U2 L' F' L' U L2
U R' F R F2 U2 L'
U R' F R' F2 R' U2
R2 U2 L2 U' R' F' U2
U R' F R2 U2 D2 B2
U R' F R2 D2 U2 B2
U R' F R2 F2 U2 D
U R' F R2 F2 U2 D'
U R' F R2 F2 U2 D2
U R' F R2 F2 D U2
U R' F R2 F2 D' U2
U R' F R2 F2 D2 U2
U R' F U2 D2 L2 B2
U R' F U2 D2 B2 L2
R U2 L2 U L' B' L'
B' R' F' D F B2 U'
B' R' F' D B2 F U'
U R' F D2 U2 L2 B2
U R' F D2 U2 B2 L2
B' R' F' D2 F U' L2
R U2 L2 F' L' U L'
U R' F' R D R U2
U R' F' R D' R U2
U R' F' R D2 R U2
U R' F' R' D R' U2
U R' F' R' D' R' U2
U R' F' R' D2 R' U2
U R' F' U D' F2 U
U R' F' U' D B2 U'
U R' F' U2 L D2 L2
U R' F' U2 L' D2 L2
U R' F' U2 L2 D2 L2
U R' F' U2 D2 L2 D
U R' F' U2 D2 L2 D'
U R' F' U2 D2 L2 D2
U R' F' D U' B2 U'
B' R' F2 D B2 U' R2
U R' F' D' U F2 U
U R' F' D2 R U2 L2
F2 R' F2 U R U2 B
U R' F' D2 R' U2 L2
U R' F' D2 R2 U2 L2
U R' F' D2 U2 L2 D
U R' F' D2 U2 L2 D'
U R' F' D2 U2 L2 D2
U R' F' B R2 B' U2
U R' F' B' R2 U2 F'
U R' F' B2 R2 B2 U2
U R' F2 R' F R' U2
U R' F2 R2 D F U2
U R' F2 R2 D' F U2
U R' F2 R2 D2 F U2
U R' F2 R2 F U2 D
U R' F2 R2 F U2 D'
U R' F2 R2 F U2 D2
U R' F2 R2 F D U2
U R' F2 R2 F D' U2
U R' F2 R2 F D2 U2
B' R' B U R2 U2 D
B' R' B U R2 U2 D'
B' R' B U R2 U2 D2
B' R' B U R2 D U2
B' R' B U R2 D' U2
B' R' B U R2 D2 U2
B' R' B U' L D2 L2
B' R' B U' L' D2 L2
B' R' B U' L2 D2 L2
B2 R' B R' U R' U2
B' R' B U' D2 L2 D
B' R' B U' D2 L2 D'
B' R' B U' D2 L2 D2
U R' F2 U2 D2 L2 B'
B2 R' B R' B2 U' L
D2 R' B D B2 R' U'
B' R' B U2 D' F2 U
D' R' B D B2 R' U'
B' R' B D B2 U' D
B' R' B D B2 U' D'
B' R' B D B2 U' D2
B' R' B D B2 D U'
B' R' B D B2 D' U'
B' R' B D B2 D2 U'
B' R' B D' U2 F2 U
U R' F2 D2 U2 L2 B'
U R' F2 D2 F U2 L2
B' R' B D2 U' L2 D
B' R' B D2 U' L2 D'
B' R' B D2 U' L2 D2
B' R' B D2 B U' L2
B' R' B D2 B' U' L2
B' R' B D2 B2 U' L2
B2 R' B D R' B2 U'
B2 R' B D2 R' U' L2
D2 R' B' R' U R' U2
D' R' B' R' U R' U2
D2 R' B' R' B2 U' L
D' R' B' R' B2 U' L
D R' B D B2 R' U'
U R' B R2 B' U2 B2
B' R' B' U R2 U2 D
B' R' B' U R2 U2 D'
B' R' B' U R2 U2 D2
B' R' B' U R2 D U2
B' R' B' U R2 D' U2
B' R' B' U R2 D2 U2
B' R' B' U' L D2 L2
B' R' B' U' L' D2 L2
B' R' B' U' L2 D2 L2
D2 R' B' D R' B2 U'
B' R' B' U' D2 L2 D
B' R' B' U' D2 L2 D'
B' R' B' U' D2 L2 D2
D' R' B' D R' B2 U'
B' R' B' U2 D' F2 U
D2 R' B' D2 R' U' L2
B' R' B' D B2 U' D
B' R' B' D B2 U' D'
B' R' B' D B2 U' D2
B' R' B' D B2 D U'
B' R' B' D B2 D' U'
B' R' B' D B2 D2 U'
D' R' B' D2 R' U' L2
B' R' B' D' U2 F2 U
B' R' B' D2 U' L2 D
B' R' B' D2 U' L2 D'
B' R' B' D2 U' L2 D2
B' R' B' D2 B U' L2
B' R' B' D2 B' U' L2
B' R' B' D2 B2 U' L2
D R' B' R' U R' U2
U R' B F' R2 B' U2
B2 R' B' D B2 R' U'
D R' B' R' B2 U' L
D R' B' D R' B2 U'
D R' B' D2 R' U' L2
U R' B' R2 U2 F' B
U R' B' R2 U2 B F'
B' R' B2 U R2 U2 D
B' R' B2 U R2 U2 D'
B' R' B2 U R2 U2 D2
B' R' B2 U R2 D U2
B' R' B2 U R2 D' U2
B' R' B2 U R2 D2 U2
B' R' B2 U' L D2 L2
B' R' B2 U' L' D2 L2
B' R' B2 U' L2 D2 L2
B' R' B2 U' D2 L2 D
B' R' B2 U' D2 L2 D'
B' R' B2 U' D2 L2 D2
R U2 D L U L' B'
R' U2 D' F' L' F' U
B' R' B2 U2 D' F2 U
B' R' B2 D B2 U' D
B' R' B2 D B2 U' D'
B' R' B2 D B2 U' D2
B' R' B2 D B2 D U'
B' R' B2 D B2 D' U'
B' R' B2 D B2 D2 U'
B' R' B2 D' U2 F2 U
B' R' B2 D2 U' L2 D
B' R' B2 D2 U' L2 D'
B' R' B2 D2 U' L2 D2
B' R' B2 D2 B U' L2
B' R' B2 D2 B' U' L2
B' R' B2 D2 B2 U' L2
B R' B2 R' U R' U2
U R' B' F' R2 U2 F'
R' U2 D2 L' U L' B'
B R' B2 R' B2 U' L
R U2 D F' L' U L
B R' B2 D R' B2 U'
R' U2 D2 F' L' U L'
R U2 D' L U L' B'
B R' B2 D2 R' U' L2
U R' B2 R2 B2 U2 B'
R U2 D' F' L' U L
U R' B2 F' R2 B2 U2
R U2 D2 L U L' B'
R' U2 F D' F2 L' U
U' R2 L' B2 L B R2
R U2 D2 F' L' U L
R' U2 F' L' U D2 L2
R' U2 F' L' U' R2 U2
R' U2 F' L' D' F2 U
R' U2 F' L' D2 U L2
R' U2 F' D' L' F2 U
U' R2 L2 B2 L R2 B'
U' R2 L2 B2 L B' R2
U' R2 L2 B2 R2 L B'
R' U2 F' D2 L' U L'
R2 U2 F' L' U' R' U2
D2 R2 U R' D F' U2
D2 R2 U R' D' F' U2
D2 R2 U R' D2 F' U2
D2 R2 U R' F' U2 D
D2 R2 U R' F' U2 D'
D2 R2 U R' F' U2 D2
D2 R2 U R' F' D U2
D2 R2 U R' F' D' U2
D2 R2 U R' F' D2 U2
D' R2 U R' D F' U2
D' R2 U R' D' F' U2
D' R2 U R' D2 F' U2
D' R2 U R' F' U2 D
D' R2 U R' F' U2 D'
D' R2 U R' F' U2 D2
D' R2 U R' F' D U2
D' R2 U R' F' D' U2
D' R2 U R' F' D2 U2
B' R2 U R' U' R2 U'
B' R2 U R' U2 D B2
B' R2 U R' D U2 B2
B' R2 U R' D' F2 U2
D2 R2 U D R' F' U2
D' R2 U D R' F' U2
D2 R2 U D' R' F' U2
D' R2 U D' R' F' U2
D2 R2 U D2 R' F' U2
D' R2 U D2 R' F' U2
D2 R2 U F R' F' U2
D' R2 U F R' F' U2
D2 R2 U F' R' F' U2
D' R2 U F' R' F' U2
D2 R2 U F2 R' F' U2
R U2 F' L' U L D
R U2 F' L' U L D'
R U2 F' L' U L D2
R U2 F' L' U D L
R U2 F' L' U D' L
R U2 F' L' U D2 L
R U2 F' L' D U L
R U2 F' L' D' U L
R U2 F' L' D2 U L
D' R2 U F2 R' F' U2
R U2 F' L' F U L
R U2 F' L' F' U L
R U2 F' L' F2 U L
B2 R2 U D' R' U2 B
B R2 U R' U L U
D R2 U R' D F' U2
D R2 U R' D' F' U2
D R2 U R' D2 F' U2
D R2 U R' F' U2 D
D R2 U R' F' U2 D'
D R2 U R' F' U2 D2
D R2 U R' F' D U2
D R2 U R' F' D' U2
D R2 U R' F' D2 U2
D2 R2 U' L' B2 L B
D' R2 U' L' B2 L B
D R2 U D R' F' U2
D2 R2 U' L2 B2 L B'
D' R2 U' L2 B2 L B'
D R2 U D' R' F' U2
D R2 U D2 R' F' U2
R U2 F' D L' U L
D R2 U F R' F' U2
R U2 F' D' L' U L
D R2 U F' R' F' U2
R U2 F' D2 L' U L
F2 R2 U' L' D R2 B'
F2 R2 U' L' D B' R2
D R2 U F2 R' F' U2
F2 R2 U' L' B' D R2
B2 R2 U' D B2 L B'
F2 R2 U' D L' R2 B'
F2 R2 U' D L' B' R2
F2 R2 U' D R2 L' B'
B R2 U' L' D' B2 L
D2 R2 U' B' L' B' L
D R2 U' L' B2 L B
D' R2 U' B' L' B' L
D2 R2 U' B2 L' B' L2
D R2 U' L2 B2 L B'
D' R2 U' B2 L' B' L2
U' R2 U2 R' F' U2 R'
D R2 U' B' L' B' L
D R2 U' B2 L' B' L2
B R2 U2 L U' R' U2
B' R2 D R U R2 U2
B' R2 D R U' D2 L2
B' R2 D R D B2 U'
B' R2 D R D2 U' L2
D2 R2 D U R' F' U2
D' R2 D U R' F' U2
U R2 U2 D2 B2 L B'
B2 R2 D U' B2 L B'
F2 R2 D U' L' R2 B'
F2 R2 D U' L' B' R2
F2 R2 D U' R2 L' B'
B' R2 D B2 R U' L
U R2 U2 B2 D2 L B'
D R2 D U R' F' U2
B2 R2 D B2 U' L B'
B' R2 D' R U R2 U2
B' R2 D' R U' D2 L2
B' R2 D' R D B2 U'
B' R2 D' R D2 U' L2
D2 R2 D' U R' F' U2
D' R2 D' U R' F' U2
B R2 D B2 R' U' L
B2 R2 D' U R' U2 B
L' D L U R U2 B
B' R2 D' B2 R U' L
D R2 D' U R' F' U2
L2 D L U' F2 L' B'
B' R2 D2 R U R2 U2
B' R2 D2 R U' D2 L2
B' R2 D2 R D B2 U'
B' R2 D2 R D2 U' L2
D2 R2 D2 U R' F' U2
D' R2 D2 U R' F' U2
B R2 D' B2 R' U' L
B' R2 D2 B2 R U' L
D R2 D2 U R' F' U2
L2 D L' U' F2 L' B'
F' R2 F U R U2 B
B R2 D2 B2 R' U' L
U R2 D2 U2 B2 L B'
L D L' U R U2 B
L2 D L2 U' F2 L' B'
U R2 F R F' R2 U2
U R2 F R' U2 D B
U R2 F R' U2 D' B
U R2 F R' U2 D2 B
U R2 F R' U2 B D
