L' U2 L2 D F2
L' R U R' U L2
R' L' U R U L2
L' R' U R U L2
R2 L' U R2 U L2
R L' U R' U L2
R2 L' U2 L2 D' F2
B2 L' R' U R U
D' L' U2 L2 D F2
D2 L' U2 L2 D F2
U' L' U2 L2 D' B2
D L' U2 L2 D F2
L' R2 U R2 U L2
L' R2 U2 L2 D' F2
U L2 D' B2 L' R'
U L2 D' B2 R' L'
L' U D F2 U F2
L' U F U L2 F'
L' U F U F' L2
L' U F' U F L2
L' U F2 U L2 F2
L' U F2 U F2 L2
B2 R' L' U R U
L' U' B U' L2 F
L' U2 L2 U L2 U'
L' U2 L2 D F2 D
L' U2 L2 D F2 D'
L' U2 L2 D F2 D2
L' U2 L2 F D F2
L' U2 L2 F' D F2
L' U2 L2 F2 D F2
L' U2 F L2 D F2
L' U2 F' L2 D F2
R2 U2 D' F2 L R
R2 U2 D' F2 R L
L' U2 F2 L2 D F2
R2 D L' B2 U2 L2
L' D U F2 U F2
F2 U L R D2 B2
F2 U L D2 R B2
F2 U L D2 B2 R
F2 U R L D2 B2
F2 U R D2 L B2
R2 D B2 L' R' U2
R2 D B2 R' L' U2
F2 U D2 L R B2
F2 U D2 L B2 R
F2 U D2 R L B2
R2 D' L' U2 L2 F2
R2 D' L' U2 F2 L2
R2 D' U2 F2 L R
R2 D' U2 F2 R L
F' U' F L' U2 L2
L' D2 R2 U R2 U
L' D2 R2 U2 D' F2
L' D2 R2 D B2 U2
L' D2 R2 D' U2 F2
F2 U' F2 L' U2 L2
F2 D' L2 U L' R
F2 D' L2 U R L'
U F2 U L R F2
U F2 U R L F2
U F2 U R F2 L
F2 D2 U L R B2
F2 D2 U L B2 R
F2 D2 U R L B2
L' B U2 L2 D F2
L' B' U2 L2 D F2
L' B2 U2 L2 D F2
F2 U L R B' D2 B2
F2 U L R B2 D2 B2
F2 U L R2 D2 R' B2
F' U L D2 R' B R'
F' U L D2 B R' B
F2 U L U2 F2 L' U2
F2 U L D' R D' B2
F2 U L D2 R B2 D
F2 U L D2 R B2 D'
F2 U L D2 R B2 D2
F2 U L D2 R' B2 R2
F2 U L D2 B' R B'
F2 U L D2 B2 R D
F2 U L D2 B2 R D'
F2 U L D2 B2 R D2
F2 U L D2 B2 D R
F2 U L D2 B2 D' R
F2 U L D2 B2 D2 R
R2 D U2 L D2 R2 F2
R2 D U2 L D2 F2 R2
F2 U L B R D2 B2
F2 U L B D2 R B2
F2 U L B D2 B2 R
F2 U L B' R D2 B2
F2 U L B' D2 R B2
F2 U L B' D2 B2 R
F2 U L B2 R D2 B2
U' D L' U2 L2 D' B2
F2 U L B2 D2 R B2
F2 U L B2 D2 B2 R
F2 U L2 R D2 L' B2
F2 U L2 R D2 B2 L'
D' U L2 D' B2 L' R'
D' U L2 D' B2 R' L'
D2 U L2 D' B2 L' R'
D2 U L2 D' B2 R' L'
B2 U L2 D' B2 L R'
B2 U L2 D' B2 R' L
F2 U L2 D2 L' R B2
F2 U L2 D2 L' B2 R
F2 U L2 D2 R L' B2
F2 U L2 D2 R B2 L'
F2 U L2 D2 B2 L' R
F2 U L2 D2 B2 R L'
F2 U R L U2 F2 U2
F2 U R L D2 B2 D
F2 U R L D2 B2 D'
F2 U R L D2 B2 D2
D U L2 D' B2 L' R'
D U L2 D' B2 R' L'
F2 U R L B D2 B2
F2 U R L B' D2 B2
F2 U R L B2 D2 B2
F2 U R L2 D2 L' B2
F2 U R L2 D2 B2 L'
F2 U R U2 F2 U2 L
F2 U R D L D B2
U D L2 D' B2 L' R'
U D L2 D' B2 R' L'
F2 U R D2 L B2 D
F2 U R D2 L B2 D'
F2 U R D2 L B2 D2
F2 U R D2 L' B2 L2
F2 U R D2 L2 B2 L'
F2 U R B2 D2 B2 L
L' D B U F2 U F2
F2 U R' D2 L B2 R'
R2 D B L' B R' U2
F2 U R2 L D2 R' B2
L' D B' U F2 U F2
F2 U R2 D2 L R' B2
F2 U R2 D2 R' L B2
F2 U D L D R B2
F2 U D L D B2 R
L' D B2 U F2 U F2
R2 D B2 L' R' U2 D
R2 D B2 L' R' U2 D'
R2 D B2 L' R' U2 D2
R2 D B2 L' R' D U2
R2 D B2 L' R' D' U2
R2 D B2 L' R' D2 U2
R2 D B2 L' D R' U2
R2 D B2 L' D' R' U2
R2 D B2 L' D2 R' U2
R2 D B2 R' L' U2 D
R2 D B2 R' L' U2 D'
R2 D B2 R' L' U2 D2
R2 D B2 R' L' D U2
R2 D B2 R' L' D' U2
R2 D B2 R' L' D2 U2
R2 D B2 R' D L' U2
R2 D B2 R' D' L' U2
R2 D B2 R' D2 L' U2
R2 D B2 D L' R' U2
F2 U D' R D' L B2
R2 D B2 D R' L' U2
R2 D B2 D' L' R' U2
R2 D B2 D' R' L' U2
R2 D B2 D2 L' R' U2
R2 D B2 D2 R' L' U2
L2 D' L U2 L2 D F2
R' D' L' U R U L2
F2 U D2 L R B2 D
F2 U D2 L R B2 D'
F2 U D2 L R B2 D2
F2 U D2 L R' B2 R2
F2 U D2 L B' R B'
F2 U D2 L B2 R D
F2 U D2 L B2 R D'
F2 U D2 L B2 R D2
F2 U D2 L B2 D R
F2 U D2 L B2 D' R
F2 U D2 L B2 D2 R
F2 U D2 L' R B2 L2
F2 U D2 L' B2 L2 R
F2 U D2 L' B2 R L2
F2 U D2 L2 R B2 L'
F2 U D2 L2 B2 L' R
F2 U D2 L2 B2 R L'
F2 U D2 R L B2 D
F2 U D2 R L B2 D'
F2 U D2 R L B2 D2
F2 U D2 R L' B2 L2
F2 U D2 R L2 B2 L'
F2 U D2 R' L B2 R2
D' U F2 U L R F2
D' U F2 U R L F2
D' U F2 U R F2 L
D2 U F2 U L R F2
D2 U F2 U R L F2
D2 U F2 U R F2 L
R2 D' L F2 D2 R2 B2
R2 D' L F2 D2 B2 R2
F' U F L' U2 L2 F'
F' U F L' U2 F' L2
F2 U D2 B2 R D2 L2
R2 D' L' R U2 L2 F2
R2 D' L' R U2 F2 L2
R2 D' L' R' U2 L2 F2
R2 D' L' R' U2 F2 L2
R2 D' L' R2 U2 L2 F2
R2 D' L' R2 U2 F2 L2
R2 D' L' U2 L F2 L
R2 D' L' U2 L2 F2 D
R2 D' L' U2 L2 F2 D'
R2 D' L' U2 L2 F2 D2
R2 D' L' U2 F' L2 F'
R2 D' L' U2 F2 L2 D
R2 D' L' U2 F2 L2 D'
R2 D' L' U2 F2 L2 D2
D U F2 U L R F2
D U F2 U R L F2
D U F2 U R F2 L
R2 D' L' D2 R2 B2 U2
R2 D' L' D2 B2 R2 U2
R2 D' L' B U2 L2 F2
R2 D' L' B U2 F2 L2
R2 D' L' B' U2 L2 F2
R2 D' L' B' U2 F2 L2
R D' L' U R' U L2
R2 D' L' B2 U2 L2 F2
R2 D' L' B2 U2 F2 L2
U D F2 U L R F2
U D F2 U R L F2
U D F2 U R F2 L
L' D' R U' B2 L U'
R2 D' R L' U2 L2 F2
R2 D' R L' U2 F2 L2
F2 U F2 L' U2 L2 F2
F2 U F2 L' U2 F2 L2
R2 D' R U2 F2 L R
R2 D' R U2 F2 R L
F2 U F2 U2 F2 L R
F2 U F2 U2 F2 R L
R2 D' R' L' U2 L2 F2
R2 D' R' L' U2 F2 L2
R2 D' R' U2 F2 L R
R2 D' R' U2 F2 R L
L' D' R2 D B2 U2 L2
L' D' R2 D' R2 U2 F2
R2 D' R2 L' U2 L2 F2
R2 D' R2 L' U2 F2 L2
R2 D' R2 U2 F2 L R
R2 D' R2 U2 F2 R L
U' D' L' U2 L2 D' B2
D' U' L' U2 L2 D' B2
D2 U' L' U2 L2 D' B2
F2 U B2 R D2 L2 B2
F2 U B2 R D2 B2 L2
D U' L' U2 L2 D' B2
L' D' U' B2 U B2 U2
L' D' U' B2 U' D2 F2
L' D' U' B2 D L2 U'
L' D' U' B2 D2 U' F2
F2 U B2 D2 B2 L R
F2 U B2 D2 B2 R L
L' D' U2 L2 D L2 F2
L' D' U2 L2 D F2 L2
R2 D' U2 L F2 D2 R2
F2 U' L F2 L' U2 L
R2 D' U2 R F2 L R
R2 D' U2 R F2 R L
R2 D' U2 R' F2 L R
R2 D' U2 R' F2 R L
B' U' L' U' B' U' B
R2 D' U2 R2 F2 L R
R2 D' U2 R2 F2 R L
B2 U' L' R' U' R U'
U D' L2 D' B2 L' R'
U D' L2 D' B2 R' L'
R2 D' U2 F' L F' R
R2 D' U2 F2 L R D
R2 D' U2 F2 L R D'
R2 D' U2 F2 L R D2
R2 D' U2 F2 L D R
R2 D' U2 F2 L D' R
R2 D' U2 F2 L D2 R
R2 D' U2 F2 R L D
R2 D' U2 F2 R L D'
R2 D' U2 F2 R L D2
R2 D' U2 F2 R D L
R2 D' U2 F2 R D' L
R2 D' U2 F2 R D2 L
R2 D' U2 F2 D L R
R2 D' U2 F2 D R L
R2 D' U2 F2 D' L R
R2 D' U2 F2 D' R L
R2 D' U2 F2 D2 L R
R2 D' U2 F2 D2 R L
F2 U' L' F2 L' U2 L'
F2 U' L2 F2 L' R U2
F2 U' L2 F2 R L' U2
F' U' R F L' U2 L2
R2 D' F2 L R D2 B2
R2 D' F2 L D2 R B2
R2 D' F2 L D2 B2 R
R2 D' F2 R L D2 B2
R2 D' F2 R D2 L B2
B2 U' R' L' U' R U'
R2 D' F2 D2 L R B2
R2 D' F2 D2 L B2 R
R2 D' F2 D2 R L B2
F' U' R' F L' U2 L2
F2 U' R' F2 U2 L R2
F2 U' R' F2 U2 R2 L
F' U' R2 F L' U2 L2
F2 U' R2 F2 U2 L R'
F2 U' R2 F2 U2 R' L
R2 D' B2 L' R' U2 F2
R2 D' B2 R' L' U2 F2
R2 D' B2 R' U2 F2 R
U D' F2 U L R F2
U D' F2 U R L F2
U D' F2 U R F2 L
L2 D2 L U2 L2 D F2
R' D2 L' U R U L2
F' U' F L' R U2 L2
F' U' F L' R' U2 L2
F' U' F L' R2 U2 L2
F' U' F L' U2 L2 D
F' U' F L' U2 L2 D'
F' U' F L' U2 L2 D2
F' U' F L' D2 R2 U2
F' U' F R L' U2 L2
F' U' F R' L' U2 L2
F' U' F R2 L' U2 L2
R2 D2 L' U' L' U' L'
F' U' F U2 L D2 R2
F' U' F D L' U2 L2
F' U' F D' L' U2 L2
F' U' F D2 L' U2 L2
R D2 L' U R' U L2
U' D2 L' U2 L2 D' B2
F2 U' F2 L' R U2 L2
F2 U' F2 L' R' U2 L2
F2 U' F2 L' R2 U2 L2
F2 U' F2 L' U2 L2 D
F2 U' F2 L' U2 L2 D'
F2 U' F2 L' U2 L2 D2
F2 U' F2 L' D2 R2 U2
F2 U' F2 R L' U2 L2
F2 U' F2 R' L' U2 L2
F2 U' F2 R2 L' U2 L2
F2 U' F2 U2 L D2 R2
F2 U' F2 D L' U2 L2
F2 U' F2 D' L' U2 L2
F2 U' F2 D2 L' U2 L2
L' D2 R2 U R2 U D
L' D2 R2 U R2 U D'
L' D2 R2 U R2 U D2
L' D2 R2 U R2 D U
L' D2 R2 U R2 D' U
L' D2 R2 U R2 D2 U
L' D2 R2 U' D2 L2 U'
L' D2 R2 U2 D' F2 D
L' D2 R2 U2 D' F2 D'
L' D2 R2 U2 D' F2 D2
L' D2 R2 U2 F D' F2
L' D2 R2 U2 F' D' F2
L' D2 R2 U2 F2 D' F2
L' D2 R2 D B2 U2 D
L' D2 R2 D B2 U2 D'
L' D2 R2 D B2 U2 D2
L' D2 R2 D B2 D U2
L' D2 R2 D B2 D' U2
L' D2 R2 D B2 D2 U2
L' D2 R2 D' U2 F2 D
L' D2 R2 D' U2 F2 D'
L' D2 R2 D' U2 F2 D2
L' D2 R2 D' B U2 F2
L' D2 R2 D' B' U2 F2
L' D2 R2 D' B2 U2 F2
L' D2 R2 D2 U' L2 U'
L' D2 R2 B U R2 U
L' D2 R2 B U2 D' F2
L' D2 R2 B D B2 U2
L' D2 R2 B D' U2 F2
L' D2 R2 B' U R2 U
L' D2 R2 B' U2 D' F2
L' D2 R2 B' D B2 U2
L' D2 R2 B' D' U2 F2
L' D2 R2 B2 U R2 U
L' D2 R2 B2 U2 D' F2
L' D2 R2 B2 D B2 U2
L' D2 R2 B2 D' U2 F2
U D2 L2 D' B2 L' R'
U D2 L2 D' B2 R' L'
L D2 R2 D' F2 D2 B2
L D2 F R2 D' F2 B
L D2 F R2 D' B F2
L D2 F R2 B D' F2
L' D2 B R2 U R2 U
L' D2 B R2 U2 D' F2
L' D2 B R2 D B2 U2
L' D2 B R2 D' U2 F2
U D2 F2 U L R F2
U D2 F2 U R L F2
U D2 F2 U R F2 L
L' D2 B' R2 U R2 U
L' D2 B' R2 U2 D' F2
L' D2 B' R2 D B2 U2
L' D2 B' R2 D' U2 F2
L' D2 B2 R2 U R2 U
L' D2 B2 R2 U2 D' F2
L' D2 B2 R2 D B2 U2
L' D2 B2 R2 D' U2 F2
F2 U2 D R2 U' L R'
F2 U2 D R2 U' R' L
U F U L F' D R2
B2 D L' R' U R U
B D L' U F U F'
B2 D R' L' U R U
L F D2 R2 D' F2 B
L F D2 R2 D' B F2
L F D2 R2 B D' F2
F2 D U L D R B2
F2 D U L D B2 R
U2 F' L F' D R F'
F2 D U2 R2 U' L R'
F2 D U2 R2 U' R' L
D2 F' U' F L' U2 L2
D' F' U' F L' U2 L2
L' F' U2 L2 D F2 B'
L' F' U2 L2 D B' F2
L2 F' U' F L U2 L2
L' F' U2 L2 B' D F2
U F' U F L D2 R2
U F' U F' L R F2
U F' U F' R L F2
U F' U F' R F2 L
D F' U' F L' U2 L2
B2 D' L' R' U R U
F' D' L2 U B' L' R'
F' D' L2 U B' R' L'
F2 D' L2 U L' R D
F2 D' L2 U L' R D'
F2 D' L2 U L' R D2
F2 D' L2 U L' D R
F2 D' L2 U L' D' R
F2 D' L2 U L' D2 R
F2 D' L2 U R L' D
F2 D' L2 U R L' D'
F2 D' L2 U R L' D2
F2 D' L2 U R D L'
F2 D' L2 U R D' L'
F2 D' L2 U R D2 L'
F2 D' L2 U D L' R
F2 D' L2 U D R L'
F2 D' L2 U D' L' R
F2 D' L2 U D' R L'
F2 D' L2 U D2 L' R
F2 D' L2 U D2 R L'
F2 D' L2 D U L' R
F2 D' L2 D U R L'
F2 D' L2 D' U L' R
F2 D' L2 D' U R L'
F2 D' L2 D2 U L' R
F2 D' L2 D2 U R L'
F2 D' L2 B U L' R
F2 D' L2 B U R L'
F2 D' L2 B' U L' R
F2 D' L2 B' U R L'
F2 D' L2 B2 U L' R
F2 D' L2 B2 U R L'
B2 D' R' L' U R U
F2 D' U R D' L B2
U2 F2 L R U L' U'
U2 F2 L U L' U' R
U2 F2 L2 R D L' F2
U2 F2 L2 D L' R F2
U2 F2 L2 D R L' F2
U2 F2 R L U L' U'
U2 F2 R L2 D L' F2
D2 F2 U L R D2 B2
D' F2 U L R D2 B2
D2 F2 U L D2 R B2
D2 F2 U L D2 B2 R
D' F2 U L D2 R B2
D' F2 U L D2 B2 R
U F2 R' U L R2 F2
U F2 R' U L F2 R2
D2 F2 U R L D2 B2
U F2 R' U R2 L F2
U F2 R' U R2 F2 L
D' F2 U R L D2 B2
D2 F2 U R D2 L B2
U F2 R' U F2 L R2
U F2 R' U F2 R2 L
D' F2 U R D2 L B2
D2 F2 U D2 L R B2
D2 F2 U D2 L B2 R
D2 F2 U D2 R L B2
D' F2 U D2 L R B2
D' F2 U D2 L B2 R
D' F2 U D2 R L B2
U F2 R2 U L R' F2
U F2 R2 U L F2 R'
U F2 R2 U R' L F2
U F2 R2 U R' F2 L
U F2 R2 U F2 L R'
U F2 R2 U F2 R' L
D F2 U L R D2 B2
D F2 U L D2 R B2
D F2 U L D2 B2 R
D F2 U R L D2 B2
D F2 U R D2 L B2
D2 F2 U' F2 L' U2 L2
D' F2 U' F2 L' U2 L2
L2 F2 U' L R F2 U2
L2 F2 U' L F2 U2 L'
D F2 U D2 L R B2
D F2 U D2 L B2 R
D F2 U D2 R L B2
L2 F2 U' R L F2 U2
U F2 U L R F2 D
U F2 U L R F2 D'
U F2 U L R F2 D2
U F2 U L R' F2 R2
U F2 U L R2 F2 R'
L2 F2 U' R F2 L U2
U F2 U L' R F2 L2
U F2 U R L F2 D
U F2 U R L F2 D'
U F2 U R L F2 D2
U F2 U R L' F2 L2
U F2 U R F' L F'
U F2 U R F2 L D
U F2 U R F2 L D'
U F2 U R F2 L D2
U F2 U R F2 D L
U F2 U R F2 D' L
U F2 U R F2 D2 L
U F2 U R' L F2 R2
U F2 U R' F2 L R2
U F2 U R' F2 R2 L
U F2 U R2 L F2 R'
U F2 U R2 F2 L R'
U F2 U R2 F2 R' L
L2 F2 U' F2 L U2 L2
U F2 U F2 L D2 R2
B2 D2 L' R' U R U
D F2 U' F2 L' U2 L2
F2 D2 L' U L2 R B2
F2 D2 L' U L2 B2 R
F2 D2 L' U R L2 B2
F2 D2 L' U R B2 L2
F2 D2 L' U B2 L2 R
F2 D2 L' U B2 R L2
D2 F2 D' L2 U L' R
D2 F2 D' L2 U R L'
D' F2 D' L2 U L' R
D' F2 D' L2 U R L'
F2 D2 L2 U L' R B2
F2 D2 L2 U L' B2 R
F2 D2 L2 U R L' B2
F2 D2 L2 U R B2 L'
F2 D2 L2 U B2 L' R
F2 D2 L2 U B2 R L'
U F2 D R2 U L R'
U F2 D R2 U R' L
D2 F2 D2 U L R B2
D2 F2 D2 U L B2 R
D2 F2 D2 U R L B2
D' F2 D2 U L R B2
D' F2 D2 U L B2 R
D' F2 D2 U R L B2
D F2 D' L2 U L' R
D F2 D' L2 U R L'
B2 D2 R' L' U R U
L F2 D' L2 B2 U L2
D F2 D2 U L R B2
D F2 D2 U L B2 R
D F2 D2 U R L B2
L F2 D' B2 L2 U L2
U2 F2 B U' R B' L
U2 F2 B U' B' L R
U2 F2 B U' B' R L
L F2 D2 R2 B2 D' F2
L F2 D2 B2 R2 D' F2
F2 D2 U L R B2 D
F2 D2 U L R B2 D'
F2 D2 U L R B2 D2
F2 D2 U L R' B2 R2
F2 D2 U L B' R B'
F2 D2 U L B2 R D
F2 D2 U L B2 R D'
F2 D2 U L B2 R D2
F2 D2 U L B2 D R
F2 D2 U L B2 D' R
F2 D2 U L B2 D2 R
F2 D2 U L' R B2 L2
F2 D2 U L' B2 L2 R
F2 D2 U L' B2 R L2
F2 D2 U L2 R B2 L'
F2 D2 U L2 B2 L' R
F2 D2 U L2 B2 R L'
F2 D2 U R L B2 D
F2 D2 U R L B2 D'
F2 D2 U R L B2 D2
F2 D2 U R L' B2 L2
F2 D2 U R L2 B2 L'
F2 D2 U R' L B2 R2
F2 D2 U B2 R D2 L2
U2 F2 B2 U' B2 L R
U2 F2 B2 U' B2 R L
L' B R U R' U L2
L' B R' U R U L2
L B L2 U2 L2 D F2
L' B R2 U R2 U L2
L' B R2 U2 L2 D' F2
U' B U B' L' U2 L2
L' B U D F2 U F2
L' B U F U L2 F'
L' B U F U F' L2
L' B U F' U F L2
L' B U F2 U L2 F2
L' B U F2 U F2 L2
L' B U' B U' L2 F
L' B U2 L2 U L2 U'
L' B U2 L2 D F2 D
L' B U2 L2 D F2 D'
L' B U2 L2 D F2 D2
L' B U2 L2 F D F2
L' B U2 L2 F' D F2
L' B U2 L2 F2 D F2
U2 B U' B' L D2 R2
L' B U2 F L2 D F2
L' B U2 F' L2 D F2
L' B U2 F2 L2 D F2
L' B D U F2 U F2
L' B D2 R2 U R2 U
L' B D2 R2 U2 D' F2
L' B D2 R2 D B2 U2
L' B D2 R2 D' U2 F2
U2 B F2 U' R B' L
U2 B F2 U' B' L R
U2 B F2 U' B' R L
L' B' R U R' U L2
L' B' R' U R U L2
L B' L2 U2 L2 D F2
L' B' R2 U R2 U L2
L' B' R2 U2 L2 D' F2
L' B' U D F2 U F2
L' B' U F U L2 F'
L' B' U F U F' L2
L' B' U F' U F L2
L' B' U F2 U L2 F2
L' B' U F2 U F2 L2
L' B' U' B U' L2 F
L' B' U2 L2 U L2 U'
L' B' U2 L2 D F2 D
L' B' U2 L2 D F2 D'
L' B' U2 L2 D F2 D2
L' B' U2 L2 F D F2
L' B' U2 L2 F' D F2
L' B' U2 L2 F2 D F2
L' B' U2 F L2 D F2
L' B' U2 F' L2 D F2
L' B' U2 F2 L2 D F2
L' B' D U F2 U F2
L' B' D2 R2 U R2 U
L' B' D2 R2 U2 D' F2
L' B' D2 R2 D B2 U2
L' B' D2 R2 D' U2 F2
B2 F' U' R' F L' U2
B2 F' U' F L' R' U2
B2 F' U' F R' L' U2
R' B2 L' R' U R2 U
D2 B2 L' R' U R U
R' B2 L' R' U2 D' F2
R' B2 L' R' D B2 U2
R' B2 L' R' D' U2 F2
D' B2 L' R' U R U
R2 B2 L' R' U R' U
D B2 L' R' U R U
R2 B2 L' D R' B2 U2
R2 B2 L' D B2 U2 L
R2 B2 L' D' R' U2 F2
L' B2 R U R' U L2
R B2 L' R' U' L2 U'
R B2 L' R' U2 D F2
R B2 L' R' D U2 F2
R B2 L' R' D' B2 U2
R' B2 R' L' U R2 U
R' B2 R' L' U2 D' F2
R' B2 R' L' D B2 U2
R' B2 R' L' D' U2 F2
D2 B2 R' L' U R U
D' B2 R' L' U R U
R B2 L' D R' U2 F2
R' B2 R' U2 D' F2 R
R B2 L' D' R' B2 U2
R' B2 R' D L' B2 U2
R B2 L' D' B2 U2 L
R' B2 R' D B2 L' U2
R' B2 R' D' L' U2 F2
L' B2 R' U R U L2
R' B2 R' D' U2 F2 R
L B2 L2 U2 L2 D F2
U B2 L2 D' B2 L R'
U B2 L2 D' B2 R' L
L' B2 R2 U R2 U L2
L' B2 R2 U2 L2 D' F2
R2 B2 R' L' U R' U
D B2 R' L' U R U
U' B2 U L' R' B2 U2
U' B2 U L' B2 U2 L
U' B2 U R' L' B2 U2
U' B2 U R' B2 L' U2
U' B2 U B2 L' U2 L2
L' B2 U D F2 U F2
L' B2 U F U L2 F'
L' B2 U F U F' L2
L' B2 U F' U F L2
R B2 R' L' U' L2 U'
R B2 R' L' U2 D F2
R B2 R' L' D U2 F2
R B2 R' L' D' B2 U2
L' B2 U F2 U L2 F2
L' B2 U F2 U F2 L2
U2 B2 U L' R' U2 B2
U2 B2 U L' U2 B2 L
U2 B2 U R' L' U2 B2
L' B2 U' B U' L2 F
U2 B2 U' L2 B2 L R'
U2 B2 U' L2 B2 R' L
L' B2 U2 L2 U L2 U'
L' B2 U2 L2 D F2 D
L' B2 U2 L2 D F2 D'
L' B2 U2 L2 D F2 D2
L' B2 U2 L2 F D F2
L' B2 U2 L2 F' D F2
L' B2 U2 L2 F2 D F2
L' B2 U2 F L2 D F2
U2 B2 U' B2 L D2 R2
L' B2 U2 F' L2 D F2
L' B2 U2 F2 L2 D F2
B2 F2 U R D2 L2 B2
B2 F2 U R D2 B2 L2
F2 B2 U R D2 L2 B2
F2 B2 U R D2 B2 L2
B2 F2 U D2 B2 L R
B2 F2 U D2 B2 R L
L' B2 D U F2 U F2
F2 B2 U D2 B2 L R
F2 B2 U D2 B2 R L
F' B2 U' R' F L' U2
B2 F2 U' R' F2 U2 R2
F' B2 U' F L' R' U2
F' B2 U' F R' L' U2
F2 B2 U' R' F2 U2 R2
R2 B2 D L' R' B2 U2
R2 B2 D L' B2 U2 L
B2 F2 U' F2 L' R' U2
B2 F2 U' F2 R' L' U2
R2 B2 D R' L' B2 U2
R2 B2 D R' B2 L' U2
F2 B2 U' F2 L' R' U2
F2 B2 U' F2 R' L' U2
R2 B2 D B2 L' U2 L2
L' B2 D2 R2 U R2 U
R2 B2 D' L' R' U2 F2
L' B2 D2 R2 U2 D' F2
L' B2 D2 R2 D B2 U2
L' B2 D2 R2 D' U2 F2
R2 B2 D' R' L' U2 F2
R2 B2 D' R' U2 F2 R
B2 F2 D2 U B2 L R
B2 F2 D2 U B2 R L
F2 B2 D2 U B2 L R
F2 B2 D2 U B2 R L
U2 B2 F2 U' B2 L R
U2 B2 F2 U' B2 R L
