F' R B R2 U
F' R' U2 F' U'
F' R D' B U F2
F2 R F B R2 U
F' R B R2 U D
F' R B R2 U D'
F' R B R2 U D2
F' R B R2 D U
F' R B R2 D' U
F' R B R2 D2 U
F' R B U D' F2
F2 R B R2 F U
B' R B R' F' U
F' R B D' U F2
F2 R B F R2 U
F R F2 B R2 U
F' R B' R2 B2 U
F R B R2 F2 U
F' R B2 R2 B' U
F R B F2 R2 U
F' R' U2 D F' U'
F' R' U2 D' F' U'
F' R' U2 D2 F' U'
F' R' U2 F' U' D
F' R' U2 F' U' D'
F' R' U2 F' U' D2
F' R' U2 F' D U'
F' R' U2 F' D' U'
F' R' U2 F' D2 U'
F' R' D U2 F' U'
F' R' D' U2 F' U'
F' R' D2 U2 F' U'
F2 R' F U D R2
F2 R' F U2 F2 U'
F2 R' F D U R2
F2 R' F D2 B2 U
F' R' B U2 F' U'
F R' F2 U2 F U'
F' R' B' U2 F' U'
F' R' B2 U2 F' U'
F' U F R D' F2
U F R D' L2 F2
U F R D' F2 L2
F' D R B R2 U
F' D R' U2 F' U'
D2 F' R B R2 U
D' F' R B R2 U
D2 F' R' U2 F' U'
D' F' R' U2 F' U'
D F' R B R2 U
D F' R' U2 F' U'
F' D' R B R2 U
F' D' R' U2 F' U'
F' D2 R B R2 U
F' D2 R' U2 F' U'
B' D2 F' R B U
R B R' F' R' U
F' B' R B R' U
B' F' R B R' U
B2 F' U2 L F U'
F' B2 U2 L F U'
B2 F' U2 L D F U'
B2 F' U2 L D' F U'
B2 F' U2 L D2 F U'
B2 F' U2 L F U' D
B2 F' U2 L F U' D'
B2 F' U2 L F U' D2
B2 F' U2 L F D U'
B2 F' U2 L F D' U'
B2 F' U2 L F D2 U'
B F' U' L' B' U2 R'
B2 F' U2 D L F U'
B2 F' U2 D' L F U'
B2 F' U2 D2 L F U'
B2 F' U2 F L F U'
B2 F' U2 F' L F U'
B2 F' U2 F2 L F U'
B F' U' B L U2 F
B F' U' B' U2 R' F'
D B' F' R B R' U
B2 F' D U2 L F U'
B' F' D' R B U F'
B' F' D' U F R F'
F' B' D' R B U F'
F' B' D' U F R F'
U2 B2 L F U' D' L2
U2 B2 L F U2 F2 U
U2 B2 L F D' U' L2
U2 B2 L F D2 B2 U'
B2 F' D' U2 L F U'
B2 F' D2 U2 L F U'
R2 B2 R U2 F' B' U'
R2 B2 R U2 B' F' U'
B' F2 R F B R' U
B' F2 R B R' F U
B' F2 R B F R' U
F' B2 R B2 R' B' U
F' B2 R' U2 L F' U'
F' B2 R' U2 F' L U'
R B2 R' F' R' B' U
R B2 R2 D B' U L
F' B2 R2 B2 R' B U
F' B2 U2 L D F U'
F' B2 U2 L D' F U'
F' B2 U2 L D2 F U'
F' B2 U2 L F U' D
F' B2 U2 L F U' D'
F' B2 U2 L F U' D2
F' B2 U2 L F D U'
F' B2 U2 L F D' U'
F' B2 U2 L F D2 U'
F' B2 U2 D L F U'
F' B2 U2 D' L F U'
F' B2 U2 D2 L F U'
F' B2 U2 F L F U'
F' B2 U2 F' L F U'
F' B2 U2 F2 L F U'
F' B2 D U2 L F U'
D2 B2 F' U2 L F U'
F' B2 D' U2 L F U'
D' B2 F' U2 L F U'
F' B2 D2 U2 L F U'
D B2 F' U2 L F U'
