R2 L F' U F
L R2 F' U F
D' L R2 F' U F
D L R2 F' U F
F2 L R2 F' U F'
D2 L R2 F' U F
R2 L D F' U F
R2 L D' F' U F
F L U2 B U' F'
F2 L U2 B U' F2
R2 L D2 F' U F
R' L F U F' L'
F2 L D R2 F' U
R2 L F' R U F
R2 L F' R' U F
R2 L F' R2 U F
R2 L F' U D F
R2 L F' U D' F
R2 L F' U D2 F
R2 L F' U F D
R2 L F' U F D'
R2 L F' U F D2
R2 L F' D U F
R2 L F' D' U F
R2 L F' D2 U F
L R' F U F' L'
L R2 D F' U F
L R2 D' F' U F
L R2 D2 F' U F
L R2 F' R U F
L R2 F' R' U F
L R2 F' R2 U F
L R2 F' U D F
L R2 F' U D' F
L R2 F' U D2 F
L R2 F' U F D
L R2 F' U F D'
L R2 F' U F D2
L R2 F' D U F
L R2 F' D' U F
L R2 F' D2 U F
F2 R2 L F' U F'
D2 R2 L F' U F
D' R2 L F' U F
D R2 L F' U F
L U2 B L2 U' F
L U2 B U B' U2
R2 D L F' U F
F' R2 F' L U F2
F2 R2 F' L U F'
L D R2 F' U F
R2 D' L F' U F
L D' R2 F' U F
R2 D2 L F' U F
L D2 R2 F' U F
B U' B' L U L'
R' F L U F' L'
R2 F L F2 U F
F2 D L R2 F' U
L F U2 B U' F'
F2 D R2 L F' U
F2 D R2 F' L U
L F' R2 F' U F2
L F' U2 B U' F
L F2 R2 F' U F'
L F2 U2 B U' F2
L F2 D R2 F' U
U B2 R' B' U' R
F2 D R2 L F' D2 U
F2 D R2 L' F' L2 U
F2 D R2 D L F' U
F' D R2 F' L U F2
F2 D R2 D F' L U
F2 D R2 D' L F' U
F2 D R2 D' F' L U
L F D2 U2 B U' F'
F2 D R2 D2 L F' U
F2 D R2 D2 F' L U
F2 D R2 F L F2 U
F2 D R2 F' L U D
F2 D R2 F' L U D'
F2 D R2 F' L U D2
F2 D R2 F' L D U
F2 D R2 F' L D' U
F2 D R2 F' L D2 U
F2 D R2 F' D L U
F2 D R2 F' D' L U
F2 D R2 F' D2 L U
R' F' L U F' L' F
R2 F' L U L' F L
U F B2 R' B' U' R
R2 F' L U2 L' U' F
R2 F' L D2 R U F'
F2 D F L R2 F' U
F2 D F R2 L F' U
F2 D F R2 F' L U
F2 D F' L R2 F' U
F2 D F' R2 L F' U
F2 D F' R2 F' L U
F2 D F2 L R2 F' U
F2 D F2 R2 L F' U
F2 D F2 R2 F' L U
R' F' R' F' L U F2
L F' R U D' F L'
L F' R D' U F L'
D2 F' R2 F' L U F2
D' F' R2 F' L U F2
R F' R F' L U F2
L' F' R2 F' L2 U F2
L F' R' U F' L' F2
L F' R' F2 U F' L'
D F' R2 F' L U F2
L F' R2 U F D' L2
L F' R2 D F' U F2
L F' R2 D' F' U F2
L F' R2 D2 F' U F2
L F' R2 F' R U F2
L F' R2 F' R' U F2
L F' R2 F' R2 U F2
L F' R2 F' U F2 D
L F' R2 F' U F2 D'
L F' R2 F' U F2 D2
L F' R2 F' D R2 U
R2 F' U F U' L U
F2 D' L U2 L B U'
L F' U F U B U'
F D' L U2 B U' F'
L F' U2 D B U' F
L F' U2 D' B U' F
L F' U2 D2 B U' F
L F' U2 B U' D F
L F' U2 B U' D' F
L F' U2 B U' D2 F
L F' U2 B U' F D
L F' U2 B U' F D'
L F' U2 B U' F D2
L F' U2 B D U' F
L F' U2 B D' U' F
L F' U2 B D2 U' F
L F' D R2 F' U F2
L F' D U2 B U' F
L F' D' R2 F' U F2
L F' D' U2 B U' F
B2 D' R2 U R B' U'
B2 D' R2 U B' R U'
F' D' R2 F' L U F2
L F' D2 R2 F' U F2
L F' D2 U2 B U' F
R' F2 L R' F' U F'
D2 F2 L R2 F' U F'
D' F2 L R2 F' U F'
R' F2 L U F' L' F'
D2 F2 L U2 B U' F2
D' F2 L U2 B U' F2
D2 F2 L D R2 F' U
D' F2 L D R2 F' U
R' F2 L F' U F' L'
U F' B2 R' B' U' R
D F2 L R2 F' U F'
D F2 L U2 B U' F2
D F2 L D R2 F' U
L' F2 L2 R2 F' U F'
R F2 L R F' U F'
L' F2 L2 U2 B U' F2
L' F2 L2 D R2 F' U
R' F2 R' L F' U F'
R' F2 R' F' L U F'
D2 F2 R2 L F' U F'
D' F2 R2 L F' U F'
L' F2 R2 L2 F' U F'
R F2 R L F' U F'
D2 F2 R2 F' L U F'
D' F2 R2 F' L U F'
L' F2 R2 F' L2 U F'
R F2 R F' L U F'
L F2 R' U F' L' F'
D F2 R2 L F' U F'
L F2 R' F' U F' L'
D F2 R2 F' L U F'
L F2 R2 D F' R2 U
L F2 R2 F' U D F'
L F2 R2 F' U D' F'
L F2 R2 F' U D2 F'
L F2 R2 F' U F' D
L F2 R2 F' U F' D'
L F2 R2 F' U F' D2
L F2 R2 F' D U F'
L F2 R2 F' D' U F'
L F2 R2 F' D2 U F'
F2 D2 L D' R2 F' U
L F2 U F2 U B U'
D2 F2 D L R2 F' U
D' F2 D L R2 F' U
D2 F2 D R2 L F' U
D' F2 D R2 L F' U
D2 F2 D R2 F' L U
D' F2 D R2 F' L U
L2 F2 U2 B R U' F2
F D2 L U2 B U' F'
L F2 U2 L B U' F2
L F2 U2 L' B U' F2
L F2 U2 L2 B U' F2
D F2 D L R2 F' U
L F2 U2 D' L2 B U'
L F2 U2 D' B L2 U'
R2 F2 D R2 F L U
D F2 D R2 L F' U
R2 F2 D F L R2 U
R2 F2 D F R2 L U
L F2 U2 B L U' F2
L F2 U2 B L' U' F2
L F2 U2 B L2 U' F2
D F2 D R2 F' L U
L F2 U2 B U' F2 D
L F2 U2 B U' F2 D'
L F2 U2 B U' F2 D2
L F2 U2 B D' L2 U'
L F2 D R2 D F' U
L F2 D R2 D' F' U
L F2 D R2 D2 F' U
L F2 D R2 F' U D
L F2 D R2 F' U D'
L F2 D R2 F' U D2
L F2 D R2 F' D U
L F2 D R2 F' D' U
L F2 D R2 F' D2 U
L F2 D F R2 F' U
L F2 D F' R2 F' U
L F2 D F2 R2 F' U
L F2 D' U2 L2 B U'
L F2 D' U2 B L2 U'
B2 D2 R' F2 B' U' F2
B2 D2 R' B' F2 U' F2
F' D2 R2 F' L U F2
B2 D2 U R' F2 B' U'
B2 D2 U R' B' F2 U'
B2 D2 U F2 R' B' U'
U F2 B2 R' B' U' R
B' D2 F2 B L U F2
B2 D2 F2 R' B' U' F2
B' D2 B L F2 U F2
B' D2 B F2 L U F2
U B R U' D' R' B
U B R D' U' R' B
U2 B U B' U L U
D2 B U' B' L U L'
D' B U' B' L U L'
L' B U' B' L2 U L2
L2 B U' B' L' U L
R2 B U' F' B' L U
R2 B U' B' L F' U
R2 B U' B' F' L U
D B U' B' L U L'
U B D' R' U' B R
U B D2 F' R U' R'
F2 B U2 B' L U F2
B F U2 B' L U F'
F B U2 B' L U F'
L B' D2 F2 B U F2
L B' D2 B F2 U F2
L' B2 L2 F B2 U F'
L' B2 L2 B2 F U F'
U2 B2 R' D B' L2 U'
U2 B2 R' D2 B' U' F2
U2 B2 R' B' L2 U' F
U2 B2 R' B' U B' U2
U B2 R' D B' U' R
U B2 R' D' B' U' R
U B2 R' D2 B' U' R
U B2 R' B' U' R D
U B2 R' B' U' R D'
U B2 R' B' U' R D2
U B2 R' B' U' D R
U B2 R' B' U' D' R
U B2 R' B' U' D2 R
U B2 R' B' D U' R
U B2 R' B' D' U' R
U B2 R' B' D2 U' R
L' B2 U' L2 F B2 U
L' B2 U' L2 B2 F U
U' B2 U2 R' B' U' R
U B2 R2 B' R U' R
R2 B2 U' F' B2 L U
R2 B2 U' B2 L F' U
R2 B2 U' B2 F' L U
U2 B2 D R' B' L2 U'
U B2 D R' B' U' R
U2 B2 D2 R' B' U' F2
U B2 D' R' B' U' R
B F2 U2 B' L U F2
U B2 D2 R' B' U' R
U B2 F R' B' U' R
U B2 F' R' B' U' R
U B2 F2 R' B' U' R
