B L D' B2
B L U' L2 U
B' L D' B2 L
B L D' B2 D
B L D' B2 D'
B L D' B2 D2
U' L F L2 U
B L B D' B2
B L B' D' B2
B L B2 D' B2
U' L' U2 B' U'
L2 U' L F U
B U' L' U L2
L D' B L B
B D L D' B2
B D' L D' B2
B D2 L D' B2
D B L D' B2
D' B L D' B2
D2 B L D' B2
L B D' L B2
L2 B D L B'
L B' D' B2 L
U' L' F' D' U2 B' U'
U' L' F' D2 U2 B' U'
L2 R2 U' L F U R2
F L' F' B L D' B2
R2 L2 U' L F U R2
U' L' F2 L2 F L2 U
R L2 U' L F U R'
B L' F2 L2 F2 D' B2
U' L' F2 U2 D B' U'
U' L' F2 U2 D' B' U'
U' L' F2 U2 D2 B' U'
U' L' F2 U2 B' U' D
U' L' F2 U2 B' U' D'
U' L' F2 U2 B' U' D2
U' L' F2 U2 B' D U'
U' L' F2 U2 B' D' U'
U' L' F2 U2 B' D2 U'
U' L' F2 D U2 B' U'
U' L' F2 D' U2 B' U'
U' L' F2 D2 U2 B' U'
F2 L' F2 B L D' B2
D' L' B L U' L' U
D2 L' B L U' L' U
D' L' B L2 D' L' B2
D' L' B L2 D' B2 L'
D2 L' B L2 D' L' B2
D2 L' B L2 D' B2 L'
D L' B L U' L' U
B2 L' B L2 D' B2 L
B L' B L2 U' L2 U
D L' B L2 D' L' B2
D L' B L2 D' B2 L'
B L' B L2 D' B2 D
B L' B L2 D' B2 D'
B L' B L2 D' B2 D2
B L' B L2 B D' B2
B L' B L2 B' D' B2
B L' B L2 B2 D' B2
F' L' B D' L F B'
F' L' B D' L B' F
U' L' B D B' U L2
U' L' B D2 F2 B' U
U' L' B D2 B' F2 U
F2 L' B F2 L D' B2
D' L' B' L2 D' B2 L
D2 L' B' L2 D' B2 L
B2 L' B' L U' L' U
F L' B F' L D' B2
B2 L' B' L2 D' L' B2
B2 L' B' L2 D' B2 L'
B L' B' L2 U' L2 U
D L' B' L2 D' B2 L
B L' B' L2 D' B2 D
B L' B' L2 D' B2 D'
B L' B' L2 D' B2 D2
B L' B' L2 B D' B2
B L' B' L2 B' D' B2
B L' B' L2 B2 D' B2
B' L' B2 L U' L' U
B' L' B2 L2 D' L' B2
B' L' B2 L2 D' B2 L'
B L' B2 L2 U' L2 U
B L' B2 L2 D' B2 D
B L' B2 L2 D' B2 D'
B L' B2 L2 D' B2 D2
B L' B2 L2 B D' B2
B L' B2 L2 B' D' B2
B L' B2 L2 B2 D' B2
F2 L2 U R B U' F2
B' L2 U B2 R' U' L
D2 L2 U' L D F U
D2 L2 U' L D' F U
D2 L2 U' L D2 F U
D2 L2 U' L F U D
D2 L2 U' L F U D'
D2 L2 U' L F U D2
D2 L2 U' L F D U
D2 L2 U' L F D' U
D2 L2 U' L F D2 U
D' L2 U' L D F U
D' L2 U' L D' F U
D' L2 U' L D2 F U
D' L2 U' L F U D
D' L2 U' L F U D'
D' L2 U' L F U D2
D' L2 U' L F D U
D' L2 U' L F D' U
D' L2 U' L F D2 U
B' L2 U' L U' R' U2
B L2 U B' U' L' B'
B L2 U B2 R' U' L'
D2 L2 U' D L F U
D L2 U' L D F U
D L2 U' L D' F U
D L2 U' L D2 F U
D L2 U' L F U D
D L2 U' L F U D'
D L2 U' L F U D2
D L2 U' L F D U
D L2 U' L F D' U
D L2 U' L F D2 U
D' L2 U' D L F U
B L2 U' L U L2 D
B L2 U' L U L2 D'
B L2 U' L U L2 D2
D2 L2 U' D' L F U
B L2 U' L D F2 U
D' L2 U' D' L F U
B L2 U' L F U L2
B L2 U' L F' U L2
B L2 U' L F2 U L2
D2 L2 U' D2 L F U
D' L2 U' D2 L F U
D2 L2 U' F L F U
R' L2 B R D L B'
D' L2 U' F L F U
D2 L2 U' F' L F U
D' L2 U' F' L F U
D2 L2 U' F2 L F U
D' L2 U' F2 L F U
D L2 U' D L F U
B L2 U' D L U L2
D L2 U' D' L F U
B L2 U' D' L U L2
D L2 U' D2 L F U
B L2 U' D2 L U L2
D L2 U' F L F U
R' L2 B D L R B'
R' L2 B D L B' R
R' L2 B D R L B'
D L2 U' F' L F U
D L2 U' F2 L F U
L2 R2 B R2 D L B'
R2 L2 B R2 D L B'
L R2 B R2 D' L B2
B' L2 U2 R' U L U
R L2 B D L B' R'
U' L2 D L F U L'
B' L2 D L' D' B2 L
D2 L2 D U' L F U
D' L2 D U' L F U
B L2 D L' U' L2 U
B L2 D L' D' B2 D
B L2 D L' D' B2 D'
B L2 D L' D' B2 D2
B L2 D L' B D' B2
B L2 D L' B' D' B2
B L2 D L' B2 D' B2
U' L2 D F L U L2
D2 L2 D B D L B'
D' L2 D B D L B'
D L2 D U' L F U
B L2 D U' L U L2
B' L2 D' L' D' B2 L
D L2 D B D L B'
D2 L2 D' U' L F U
D' L2 D' U' L F U
B L2 D' L' U' L2 U
B L2 D' L' D' B2 D
B L2 D' L' D' B2 D'
B L2 D' L' D' B2 D2
B L2 D' L' B D' B2
B L2 D' L' B' D' B2
B L2 D' L' B2 D' B2
D2 L2 D' B D L B'
D' L2 D' B D L B'
D L2 D' U' L F U
B L2 D' U' L U L2
B' L2 D2 L' D' B2 L
D L2 D' B D L B'
D2 L2 D2 U' L F U
D' L2 D2 U' L F U
B L2 D2 L' U' L2 U
B L2 D2 L' D' B2 D
B L2 D2 L' D' B2 D'
B L2 D2 L' D' B2 D2
B L2 D2 L' B D' B2
B L2 D2 L' B' D' B2
B L2 D2 L' B2 D' B2
D2 L2 D2 B D L B'
D' L2 D2 B D L B'
D L2 D2 U' L F U
B L2 D2 U' L U L2
U' L2 F L U2 B' U'
U' L2 F L' F L2 U
D L2 D2 B D L B'
U' L2 F' L U2 B' U'
U' L2 F' L' F L2 U
L' U R D B U' B'
L' U R D' B U' B'
L' U R D2 B U' B'
U' L2 F2 L U2 B' U'
U' L2 F2 L' F L2 U
L' U R B R U' B'
L' U R B R' U' B'
L' U R B R2 U' B'
L' U R B U' D B'
L' U R B U' D' B'
L' U R B U' D2 B'
L' U R B U' B' D
L' U R B U' B' D'
L' U R B U' B' D2
L' U R B D U' B'
L' U R B D' U' B'
L' U R B D2 U' B'
F L2 F' B L D' B2
L U R D' B U' B
L U R D2 B R2 U'
L2 U R B2 R' B' U'
L U R B U' D' B2
L U R B U2 L2 U
L U R B D' U' B2
L U R B D2 R2 U'
F2 L2 F2 B L D' B2
L2 U R' U2 L F' U
L2 U R' U2 F' L U
L U R' U2 L2 F' U
L U R' U2 F' L2 U
D2 L2 B D L D B'
D2 L2 B D L D' B'
D2 L2 B D L D2 B'
D2 L2 B D L B' D
D2 L2 B D L B' D'
D2 L2 B D L B' D2
B L2 B L2 D L B'
L U R' D2 R2 B U'
D' L2 B D L D B'
D' L2 B D L D' B'
D' L2 B D L D2 B'
D' L2 B D L B' D
D' L2 B D L B' D'
D' L2 B D L B' D2
B' L2 B D B L B'
B2 L2 B D B2 L B'
D L2 B D L D B'
D L2 B D L D' B'
D L2 B D L D2 B'
D L2 B D L B' D
D L2 B D L B' D'
D L2 B D L B' D2
B L2 B D L B' L2
F2 L2 B F2 L D' B2
F L2 B F' L D' B2
L' U D R B U' B'
L2 U R2 B2 R' B U'
B' L2 B2 L U R' U'
L' U D B' U' B L
B' L2 B2 U R' U' L
B L2 B2 L' U R' U'
L' U D' R B U' B'
B L2 B2 U R' U' L'
L' U D' B' U' B L
L U D' R B U' B
L' U D2 R B U' B'
R2 U D' F2 R B U'
U' R L F L2 R' U
U' R L F R' L2 U
B R L U' L2 U R'
L U D' B U' B L
B R L D R' D2 B2
B R L D' R B2 R2
B R L D' R' B2 D
B R L D' R' B2 D'
B R L D' R' B2 D2
B R L D' R2 B2 R
L' U D2 B' U' B L
L U D2 R B R U'
B R L B2 D' B2 R'
U2 R U L F L2 U
U2 R U L' U2 B' U'
R2 U F2 R B U' R
R U F2 R B U' R2
B R U' L' U L2 R'
B R U' L' U R' L2
L' U B R B U' B2
L' U B U' B L B2
L2 U B R B R' U'
U R U2 L' U2 B U'
L' U B' U' L B L
L' U B' U' L' B L
L' U B' U' L2 B L
L' U B' U' D B L
L' U B' U' D' B L
L' U B' U' D2 B L
L' U B' U' B L D
L' U B' U' B L D'
L' U B' U' B L D2
L' U B' U' B D L
L' U B' U' B D' L
L' U B' U' B D2 L
U2 R U2 B L D' B2
L' U B' D U' B L
L' U B' D' U' B L
L' U B' D2 U' B L
F' R D R' F B L
F' R D R' B F L
B R D L R' D' B2
B R D L D' R' B2
F' R D F R' B L
L' U B2 R B U' B
B R D R' L D' B2
L' U B2 U' B L B
L2 U B2 R B R2 U'
L2 U B2 R' U2 F' U
B R D' L R' D' B2
B R D' L D' R' B2
U R D B U2 L' U
B R D' R' L D' B2
L2 U' L R F R' U
L2 U' L R2 F R2 U
L' U' L F U' F' U2
L2 U' L D F U D
L2 U' L D F U D'
L2 U' L D F U D2
L2 U' L D F D U
L2 U' L D F D' U
L2 U' L D F D2 U
L2 U' L D' F U D
L2 U' L D' F U D'
L2 U' L D' F U D2
L2 U' L D' F D U
L2 U' L D' F D' U
L2 U' L D' F D2 U
L2 U' L D2 F U D
L2 U' L D2 F U D'
L2 U' L D2 F U D2
L2 U' L D2 F D U
L2 U' L D2 F D' U
L2 U' L D2 F D2 U
B R D2 L R' D' B2
B R D2 L D' R' B2
L2 U' L F' U D' L2
L2 U' L F' D' U L2
L U' L D F L U
L2 U' L F2 D F' U
L2 U' L F2 D' F' U
L2 U' L F2 D2 F' U
U R D' B U2 L' U
R2 U' L F L2 U R2
L U' L D' F L U
L U' L D2 F L U
R' U' L' U2 B' U' R
L U' L F L U D
L U' L F L U D'
L U' L F L U D2
L U' L F L D U
L U' L F L D' U
L U' L F L D2 U
B R D2 R' L D' B2
L U' L F D L U
L U' L F D' L U
L U' L F D2 L U
L U' L F' L F2 U
L' U' L' U2 B' U' B
L U' L F2 L F' U
R U' L F L2 U R'
R2 U' L' U2 B' U' R2
L2 U' L' F L2 F U
L2 U' L' F' L2 F U
L2 U' L' F2 L2 F U
U R D2 B U2 L' U
L U' L2 D F U L'
L2 U' R L F R' U
U R F2 B R F2 U'
L2 U' R2 L F R2 U
U R B R U2 L' U
U R B R' U2 L' U
U R B R2 U2 L' U
U R B U2 L' U D
U R B U2 L' U D'
U R B U2 L' U D2
U R B U2 L' D U
U R B U2 L' D' U
U R B U2 L' D2 U
U R B U2 D L' U
U R B U2 D' L' U
U R B U2 D2 L' U
U R B D U2 L' U
U R B D' U2 L' U
U R B D2 U2 L' U
U R B F2 R F2 U'
L2 U' D L D F U
L2 U' D L D' F U
L2 U' D L D2 F U
L2 U' D L F U D
L2 U' D L F U D'
L2 U' D L F U D2
L2 U' D L F D U
L2 U' D L F D' U
L2 U' D L F D2 U
L2 U' D F L F U
L2 U' D F' L F U
L2 U' D F2 L F U
L2 U' D' L D F U
L2 U' D' L D' F U
L2 U' D' L D2 F U
L2 U' D' L F U D
L2 U' D' L F U D'
L2 U' D' L F U D2
L2 U' D' L F D U
L2 U' D' L F D' U
L2 U' D' L F D2 U
L2 U' D' F L F U
L U' D' L F U B2
L2 U' D' F' L F U
L2 U' D' F2 L F U
B' R' L D' R B2 L
L2 U' D2 L D F U
L2 U' D2 L D' F U
L2 U' D2 L D2 F U
L2 U' D2 L F U D
L2 U' D2 L F U D'
L2 U' D2 L F U D2
L2 U' D2 L F D U
L2 U' D2 L F D' U
L2 U' D2 L F D2 U
B R' L U' L2 U R
B R' L D R D2 B2
B R' L D' R B2 D
B R' L D' R B2 D'
B R' L D' R B2 D2
B R' L D' R' B2 R2
L2 U' D2 F L F U
B R' L D' B' R B'
B R' L D' B2 R D
B R' L D' B2 R D'
B R' L D' B2 R D2
B R' L D' B2 D R
B R' L D' B2 D' R
B R' L D' B2 D2 R
L2 U' D2 F' L F U
L2 U' D2 F2 L F U
B R' L B R D' B2
B R' L B D' R B2
B R' L B D' B2 R
B R' L B' R D' B2
B R' L B' D' R B2
B R' L B' D' B2 R
L2 U' F L D F U
L2 U' F L D' F U
L2 U' F L D2 F U
L2 U' F L F U D
L2 U' F L F U D'
L2 U' F L F U D2
L2 U' F L F D U
L2 U' F L F D' U
L2 U' F L F D2 U
B R' L B2 R D' B2
B R' L B2 D' R B2
B R' L B2 D' B2 R
L' U' F U' F' U2 L'
L U' F L F L U
L2 U' F D L F U
L2 U' F D' L F U
L2 U' F D2 L F U
L2 U' F' L D F U
L2 U' F' L D' F U
L2 U' F' L D2 F U
L2 U' F' L F U D
L2 U' F' L F U D'
L2 U' F' L F U D2
L2 U' F' L F D U
L2 U' F' L F D' U
L2 U' F' L F D2 U
L' U' F' U' F R U2
L U' F' L F L U
U2 R' U L F L2 U
L2 U' F' D L F U
U2 R' U L' U2 B' U'
L2 U' F' D' L F U
L2 U' F' D2 L F U
L2 U' F2 L D F U
L2 U' F2 L D' F U
L2 U' F2 L D2 F U
L2 U' F2 L F U D
L2 U' F2 L F U D'
L2 U' F2 L F U D2
L2 U' F2 L F D U
L2 U' F2 L F D' U
L2 U' F2 L F D2 U
L U' F2 L F L U
L2 U' F2 D L F U
L2 U' F2 D' L F U
L2 U' F2 D2 L F U
B R' U' L' U L2 R
B R' U' L' U R L2
U R' U2 L F' L2 U
U R' U2 L' D F' U
U R' U2 L' D' F' U
U R' U2 L' D2 F' U
U R' U2 L' F' U D
U R' U2 L' F' U D'
U R' U2 L' F' U D2
U R' U2 L' F' D U
U R' U2 L' F' D' U
U R' U2 L' F' D2 U
U R' U2 L2 F' L U
U2 R' U2 B L D' B2
U R' U2 D L' F' U
U R' U2 D' L' F' U
U R' U2 D2 L' F' U
B R' D L R D' B2
B R' D L D' R B2
B R' D L D' B2 R
B R' D R L D' B2
U R' D U2 L' F' U
B R' D' L R D' B2
B R' D' L D' R B2
B R' D' L D' B2 R
B R' D' R L D' B2
U R' D' U2 L' F' U
B R' D2 L R D' B2
B R' D2 L D' R B2
B R' D2 L D' B2 R
B R' D2 R L D' B2
U R' D2 U2 L' F' U
L2 U2 R U L F U
L' U2 R' U' R B U'
D2 R' B L R D' B2
D' R' B L R D' B2
D2 R' B L D' R B2
D2 R' B L D' B2 R
D' R' B L D' R B2
D' R' B L D' B2 R
L2 U2 R' U L F U
D2 R' B R L D' B2
D' R' B R L D' B2
D R' B L R D' B2
D R' B L D' R B2
D R' B L D' B2 R
D R' B R L D' B2
L2 U2 R2 U L F U
B2 R' B' L R D' B2
B2 R' B' L D' R B2
B2 R' B' L D' B2 R
B2 R' B' R L D' B2
U R' B U2 L' F' U
U R' B' U2 L' F' U
L U2 D F R F U2
U' R2 L F L2 R2 U
U' R2 L F R2 L2 U
U R' B2 U2 L' F' U
B R2 L U' L2 U R2
L U2 D' F R U2 B2
L U2 D' F' U2 L' B2
L U2 D' F' U2 B2 L'
B R2 L D' B2 D R2
L' U2 F R U' R' U'
B R2 L B R2 D' B2
B R2 L B' R2 D' B2
B R2 L B2 R2 D' B2
L2 U2 F R U L U
L U2 F R U L2 U
L U2 F R U2 D' B2
L U2 F R D F2 U2
L U2 F R D' U2 B2
L U2 F D R F2 U2
L U2 F D F2 U2 L'
L U2 F D' R U2 B2
L2 U2 F' U L U L2
U2 R2 U L F L2 U
U2 R2 U L' U2 B' U'
L2 U2 F' U2 L' D' B2
L U2 F' U L2 U L
L U2 F' U2 D' L' B2
L U2 F' U2 D' B2 L'
L U2 F' D F2 R U2
L U2 F' D' U2 L' B2
L U2 F' D' U2 B2 L'
B R2 U' L' U L2 R2
B R2 U' L' U R2 L2
U2 R2 U2 B L D' B2
U R2 U2 D2 L' F U
B R2 D L D' R2 B2
B R2 D L D' B2 R2
L' D L B L D' B2
B R2 D2 L D' B2 R'
L' D L' U' L F U
L D L D2 B L B
L' D L' B D L B'
L D L B L D2 B2
L D L B D2 L B2
L2 D L' D' B L B
L D L B' D2 B2 L
U R2 D2 U2 L' F U
L2 D L' B D' L B2
L2 D L' B' D' B2 L
L' D L2 D' B L B
L D L' D2 B L B
L' D L2 B D' L B2
L D L' B L D2 B2
L' D L2 B' D' B2 L
L D L' B D2 L B2
L D L' B' D2 B2 L
L2 D L2 B L D' B2
R' D R B L D' B2
L D L2 D2 B L B
L D L2 B L D2 B2
L D L2 B D2 L B2
L D L2 B' D2 B2 L
D' R2 B L R2 D' B2
D2 R2 B L R2 D' B2
D' R2 B R2 L D' B2
D2 R2 B R2 L D' B2
D R2 B L R2 D' B2
D R2 B R2 L D' B2
B2 R2 B' L R2 D' B2
R D R' B L D' B2
B2 R2 B' R2 L D' B2
L' D U R B U' B'
L' D U B' U' B L
L2 D U' L D F U
L2 D U' L D' F U
L2 D U' L D2 F U
L2 D U' L F U D
L2 D U' L F U D'
L2 D U' L F U D2
L2 D U' L F D U
L2 D U' L F D' U
L2 D U' L F D2 U
L2 D U' F L F U
F2 U L R B U' F2
L2 D U' F' L F U
L2 D U' F2 L F U
U' D L D' F U B2
U' D L F L2 U D
U' D L F L2 U D'
U' D L F L2 U D2
U' D L F L2 D U
U' D L F L2 D' U
U' D L F L2 D2 U
U' D L F U D' B2
U' D L F D' U B2
U' D L F' L2 F2 U
U' D L F2 L2 F' U
U' D L' U2 D B' U'
U' D L' U2 D' B' U'
U' D L' U2 D2 B' U'
U' D L' U2 B' U' D
U' D L' U2 B' U' D'
U' D L' U2 B' U' D2
U' D L' U2 B' D U'
U' D L' U2 B' D' U'
U' D L' U2 B' D2 U'
F2 U L' R B U' F2
U' D L' D U2 B' U'
U' D L' D' U2 B' U'
U' D L' D2 U2 B' U'
U' D L' F U2 B' U'
U' D L' F' U2 B' U'
U' D L' F2 U2 B' U'
L D U2 F R F U2
F2 U L2 R B U' F2
F2 U R L B U' F2
F2 U R L' B U' F2
F2 U R L2 B U' F2
D' U R B U2 L' U
R' D B L R D' B2
F2 U R D' L2 B U'
D2 U R B U2 L' U
R' D B L D' R B2
R' D B L D' B2 R
F2 U R D' B L2 U'
R' D B R L D' B2
L' D B L U' L' U
B U R U' L D' B2
F2 U R B L U' F2
F2 U R B L' U' F2
F2 U R B L2 U' F2
B U R U2 L' U L2
F2 U R B U' F2 D
F2 U R B U' F2 D'
F2 U R B U' F2 D2
F2 U R B D' L2 U'
D' U R' U2 L' F' U
L' D B L2 D' L' B2
L' D B L2 D' B2 L'
D2 U R' U2 L' F' U
B' U R' U2 L' U L
D U R B U2 L' U
B U R' U' L D' B2
U D R B U2 L' U
B U R' U2 L' U L2
D U R' U2 L' F' U
L2 D B D L D B'
L2 D B D L D' B'
L2 D B D L D2 B'
L2 D B D L B' D
L2 D B D L B' D'
L2 D B D L B' D2
L' D B' L2 D' B2 L
L D B L U2 F2 U2
L D B L D2 B2 D
L D B L D2 B2 D'
L D B L D2 B2 D2
L D B L B D2 B2
L D B L B' D2 B2
L D B L B2 D2 B2
L D B L2 D2 L' B2
L D B L2 D2 B2 L'
U D R' U2 L' F' U
L D B U2 F2 U2 L
L D B D L D B2
B U R2 U' L D' B2
L D B D2 L B2 D
L D B D2 L B2 D'
L D B D2 L B2 D2
L D B D2 L' B2 L2
L D B D2 L2 B2 L'
B U R2 U2 L' U L2
L D B' L D2 B2 L
L D B' L' D2 B2 L
L D B' L2 D2 B2 L
L D B' U2 R' F2 U2
U' D F' L F L' U
L D B' U2 F2 R' U2
L D B' D2 L B2 L
L D B' D2 L' B2 L
L D B' D2 L2 B2 L
L D B' D2 B2 L D
L D B' D2 B2 L D'
L D B' D2 B2 L D2
L D B' D2 B2 D L
L D B' D2 B2 D' L
L D B' D2 B2 D2 L
F2 U D' L2 R B U'
F2 U D' R L2 B U'
F2 U D' R B L2 U'
L' D' L B L D' B2
D' U F2 R F2 B U'
D' U F2 R B F2 U'
D2 U F2 R F2 B U'
D2 U F2 R B F2 U'
L' D' L' U' L F U
U' D F2 U2 R B U'
L' D' L' B D L B'
L2 D' L' D' B L B
D U F2 R F2 B U'
D U F2 R B F2 U'
L D' L B L D B
L D' L B L D' B
L D' L B L D2 B
L D' L B L B D
L D' L B L B D'
L D' L B L B D2
L D' L B L' B L2
L D' L B L2 B L'
L D' L B D L B
L D' L B D' L B
L D' L B D2 L B
L2 D' L' B D' L B2
L' D' L2 D' B L B
L2 D' L' B' D' B2 L
U D F2 R F2 B U'
U D F2 R B F2 U'
L' D' L2 B D' L B2
L' D' L2 B' D' B2 L
L D' L' B L D B
L D' L' B L D' B
L D' L' B L D2 B
L D' L' B L B D
L D' L' B L B D'
L D' L' B L B D2
L D' L' B L' B L2
L D' L' B L2 B L'
L D' L' B D L B
L D' L' B D' L B
L D' L' B D2 L B
L2 D' L2 B L D' B2
R' D' R B L D' B2
L D' L2 B L D B
L D' L2 B L D' B
L D' L2 B L D2 B
L D' L2 B L B D
L D' L2 B L B D'
L D' L2 B L B D2
L D' L2 B L' B L2
L D' L2 B L2 B L'
L D' L2 B D L B
L D' L2 B D' L B
L D' L2 B D2 L B
B U F2 R F2 U' L
F2 U B R B U' F2
D' U' L D' F U B2
U' D' L D' F U B2
D2 U' L D' F U B2
D' U' L F L2 U D
D' U' L F L2 U D'
D' U' L F L2 U D2
D' U' L F L2 D U
D' U' L F L2 D' U
D' U' L F L2 D2 U
U' D' L F L2 U D
U' D' L F L2 U D'
U' D' L F L2 U D2
U' D' L F L2 D U
U' D' L F L2 D' U
U' D' L F L2 D2 U
D' U' L F U D' B2
U' D' L F U D' B2
D' U' L F D' U B2
U' D' L F D' U B2
D' U' L F' L2 F2 U
D2 U' L F L2 U D
D2 U' L F L2 U D'
D2 U' L F L2 U D2
D2 U' L F L2 D U
D2 U' L F L2 D' U
D2 U' L F L2 D2 U
U' D' L F' L2 F2 U
D2 U' L F U D' B2
D2 U' L F D' U B2
D' U' L F2 L2 F' U
U' D' L F2 L2 F' U
D2 U' L F' L2 F2 U
D2 U' L F2 L2 F' U
F2 U B' R B U' F2
L D' R' B L B R
U' D' L' U2 D B' U'
U' D' L' U2 D' B' U'
D' U' L' U2 D B' U'
U' D' L' U2 D2 B' U'
D' U' L' U2 D' B' U'
D' U' L' U2 D2 B' U'
B2 U B' U' L D' B2
L' D' U R B U' B'
U' D' L' U2 B' U' D
U' D' L' U2 B' U' D'
U' D' L' U2 B' U' D2
U' D' L' U2 B' D U'
U' D' L' U2 B' D' U'
U' D' L' U2 B' D2 U'
D' U' L' U2 B' U' D
D' U' L' U2 B' U' D'
D' U' L' U2 B' U' D2
D' U' L' U2 B' D U'
D' U' L' U2 B' D' U'
D' U' L' U2 B' D2 U'
U' D' L' D U2 B' U'
D' U' L' D U2 B' U'
D2 U' L' U2 D B' U'
B2 U B' U2 L' U L2
D2 U' L' U2 D' B' U'
D2 U' L' U2 D2 B' U'
R D' R' B L D' B2
D2 U' L' U2 B' U' D
D2 U' L' U2 B' U' D'
D2 U' L' U2 B' U' D2
D2 U' L' U2 B' D U'
D2 U' L' U2 B' D' U'
D2 U' L' U2 B' D2 U'
U' D' L' D' U2 B' U'
D' U' L' D' U2 B' U'
D2 U' L' D U2 B' U'
U' D' L' D2 U2 B' U'
D' U' L' D2 U2 B' U'
D2 U' L' D' U2 B' U'
D U' L D' F U B2
U' D' L' F U2 B' U'
D' U' L' F U2 B' U'
D2 U' L' D2 U2 B' U'
D' U' L' F' U2 B' U'
U' D' L' F' U2 B' U'
D U' L F L2 U D
D U' L F L2 U D'
D U' L F L2 U D2
D U' L F L2 D U
D U' L F L2 D' U
D U' L F L2 D2 U
D2 U' L' F U2 B' U'
D U' L F U D' B2
D U' L F D' U B2
D' U' L' F2 U2 B' U'
U' D' L' F2 U2 B' U'
D U' L F' L2 F2 U
D2 U' L' F' U2 B' U'
L' D' U B' U' B L
D U' L F2 L2 F' U
D2 U' L' F2 U2 B' U'
B' U B2 U' L D' B2
B' U B2 U2 L' U L2
F2 U B2 R B U' F2
L D' R2 B L B R2
R2 D' U F2 R B U'
D U' L' U2 D B' U'
D U' L' U2 D' B' U'
D U' L' U2 D2 B' U'
D U' L' U2 B' U' D
D U' L' U2 B' U' D'
D U' L' U2 B' U' D2
D U' L' U2 B' D U'
D U' L' U2 B' D' U'
D U' L' U2 B' D2 U'
D U' L' D U2 B' U'
L2 D' U' L D F U
L2 D' U' L D' F U
L2 D' U' L D2 F U
L2 D' U' L F U D
L2 D' U' L F U D'
L2 D' U' L F U D2
L2 D' U' L F D U
L2 D' U' L F D' U
L2 D' U' L F D2 U
D U' L' D' U2 B' U'
D U' L' D2 U2 B' U'
D U' L' F U2 B' U'
L D' U R B U' B
B' U' L U D' B2 L
D U' L' F' U2 B' U'
D U' L' F2 U2 B' U'
L2 D' U' F L F U
L2 D' U' F' L F U
L2 D' U' F2 L F U
B' U' L D' U B2 L
L D' U B U' B L
F' U' L F L' U F
L D' U' L F U B2
B' U' L' U B2 L B2
B' U' L' U' R' U2 D
B' U' L' U' R' U2 D'
B' U' L' U' R' U2 D2
B' U' L' U' R' D U2
B' U' L' U' R' D' U2
B' U' L' U' R' D2 U2
B' U' L' U' D R' U2
B' U' L' U' D' R' U2
B' U' L' U' D2 R' U2
B' U' L' U2 B2 U' L
B' U' L' D U' R' U2
B' U' L' D' U' R' U2
B2 U' L' U B' L B
B' U' L' D2 U' R' U2
B' U' L' F U' R' U2
B2 U' L' U2 B' U' L
B U' L F L2 U L2
B' U' L' F' U' R' U2
B U' L F' L2 U L2
B' U' L' F2 U' R' U2
B U' L F2 L2 U L2
B2 U' L' D2 F U L'
L D' U2 F R U2 B2
L D' U2 F' U2 L' B2
L D' U2 F' U2 B2 L'
B U' L' U L D L
B U' L' U L D' L
B U' L' U L D2 L
B U' L' U L' D L'
B U' L' U L' D' L'
B U' L' U L' D2 L'
B U' L' U F L2 F'
B U' L' U F2 L2 F2
B U' L' U B' L2 B
B U' L' U B2 L2 B2
B U' L' U' R U2 L2
B U' L' U' R' U2 L2
B U' L' U' R2 U2 L2
B U' L' U' D2 R2 U2
B U' L' U2 D' B2 U'
B U' L' U2 B U' L2
B U' L' U2 B' U' L2
B U' L' U2 B2 U' L2
B U' L' D F2 U D
B U' L' D F2 U D'
B U' L' D F2 U D2
B U' L' D F2 D U
B U' L' D F2 D' U
B U' L' D F2 D2 U
B U' L' D' U2 B2 U'
B U' L' D2 U' R2 U2
B U' L' F U L2 D
B U' L' F U L2 D'
B U' L' F U L2 D2
B U' L' F D F2 U
U D' R B U2 L' U
B U' L' F' U L2 D
B U' L' F' U L2 D'
B U' L' F' U L2 D2
B U' L' F' D F2 U
B U' L' F2 U L2 D
B U' L' F2 U L2 D'
B U' L' F2 U L2 D2
B U' L' F2 D F2 U
U D' R' U2 L' F' U
B U' L2 U L' D' B2
L D' F B L F' B
L D' F B L B F'
B U' L2 D L U L2
B U' L2 D' L U L2
B U' L2 D2 L U L2
R' D' B L R D' B2
R' D' B L D' R B2
R' D' B L D' B2 R
R' D' B R L D' B2
L' D' B L U' L' U
L' D' B L2 D' L' B2
L' D' B L2 D' B2 L'
U' D' F' L F L' U
D' U' F' L F L' U
D2 U' F' L F L' U
L D' F' B2 D2 F L'
L2 D' B D L D B'
L2 D' B D L D' B'
L2 D' B D L D2 B'
L2 D' B D L B' D
L2 D' B D L B' D'
L2 D' B D L B' D2
L' D' B' L2 D' B2 L
L D' F2 B L F2 B
L D' F2 B L B F2
L D' B L D B D
L D' B L D B D'
L D' B L D B D2
L D' B L D' B D
L D' B L D' B D'
L D' B L D' B D2
L D' B L D2 B D
L D' B L D2 B D'
L D' B L D2 B D2
L D' B L B2 D B'
L D' B L B2 D' B'
L D' B L B2 D2 B'
D U' F' L F L' U
L D' B L' B L2 D
L D' B L' B L2 D'
L D' B L' B L2 D2
L D' B L' B' L2 B2
L D' B L2 D L' B
L D' B L2 D B L'
L D' B L2 D' L' B
L D' B L2 D' B L'
L D' B L2 D2 L' B
L D' B L2 D2 B L'
