D2 L2 R' F' U'
D2 R' L2 F' U'
D' R' F' U' F'
D2 R' F' L2 U'
R' F' U2 R' U
D' R' F' U' F2 D2 F
D2 R' F' U2 D2 R2 U
F2 R' F' L2 U2 R' U
D2 R' F' D L U' F2
D2 R' F' D L' U' F2
D2 R' F' D L2 U' F2
D' R' F' D L U' F'
D' R' F' D L' U' F'
D' R' F' D L2 U' F'
D2 R' F' D U' F2 D
D2 R' F' D U' F2 D'
D2 R' F' D U' F2 D2
D' R' F' D U' F' D
D' R' F' D U' F' D'
D' R' F' D U' F' D2
D' R' F' D' L U' F'
D R' F' L U B2 U2
D' R' F' D' L' U' F'
D R' F' L U' D2 F2
F' R' F' U2 R' U D
F' R' F' U2 R' U D'
F' R' F' U2 R' U D2
D' R' F' D' L2 U' F'
F' R' F' U2 R' D U
F' R' F' U2 R' D' U
F' R' F' U2 R' D2 U
D R' F' L D L2 U'
D2 R' F' D' U B2 U2
F' R' F' U2 D R' U
F' R' F' U2 D' R' U
D R' F' L D2 U' F2
F' R' F' U2 D2 R' U
D' R' F' D' U' F' D
D' R' F' D' U' F' D'
D' R' F' D' U' F' D2
D' R' F' D2 L U' F'
D' R' F' D2 L' U' F'
D R' F' L' U B2 U2
D' R' F' D2 L2 U' F'
D R' F' L' U' D2 F2
D R' F' L' D L2 U'
D2 R' F' D2 U2 R2 U
F' R' F' D U2 R' U
D R' F' L' D2 U' F2
D' R' F' D2 U' F' D
D' R' F' D2 U' F' D'
D' R' F' D2 U' F' D2
D R' F' L2 U B2 U2
D R' F' L2 U' D2 F2
D R' F' L2 D L2 U'
F' R' F' D' U2 R' U
D R' F' L2 D2 U' F2
D2 R' F' B' L2 B U'
F' R' F' D2 U2 R' U
D2 R' F' B2 L2 B2 U'
F2 R' F' U2 R' U D
F2 R' F' U2 R' U D'
F2 R' F' U2 R' U D2
F2 R' F' U2 R' D U
F2 R' F' U2 R' D' U
F2 R' F' U2 R' D2 U
F2 R' F' U2 D R' U
F2 R' F' U2 D' R' U
F2 R' F' U2 D2 R' U
F R' F' L U2 R' U
F' R' F' B2 L B2 U'
F2 R' F' D U2 R' U
F R' F' L' U2 R' U
D2 R' F2 L2 U2 B' U
F2 R' F' D' U2 R' U
D R' F' U B2 U2 D
D R' F' U B2 U2 D'
D R' F' U B2 U2 D2
D R' F' U B2 D U2
D R' F' U B2 D' U2
D R' F' U B2 D2 U2
F R' F' L2 U2 R' U
D R' F' U' D2 F2 D
D R' F' U' D2 F2 D'
D R' F' U' D2 F2 D2
D R' F' U' F D2 F2
D R' F' U' F' D2 F2
D R' F' U' F2 D2 F2
F2 R' F' D2 U2 R' U
D R' F' U2 D' R2 U
B2 R' F' B2 L R' U'
B2 R' F' B2 R' L U'
D R' F' D L2 U' D
D R' F' D L2 U' D'
D R' F' D L2 U' D2
D R' F' D L2 D U'
D R' F' D L2 D' U'
D R' F' D L2 D2 U'
F2 R' F' B2 L B2 U'
D R' F' D' U2 R2 U
D R' F' D2 L U' F2
D R' F' D2 L' U' F2
D R' F' D2 L2 U' F2
D R' F' D2 U' F2 D
D R' F' D2 U' F2 D'
D R' F' D2 U' F2 D2
F R' F' U2 R' U D
F R' F' U2 R' U D'
F R' F' U2 R' U D2
F R' F' U2 R' D U
F R' F' U2 R' D' U
F R' F' U2 R' D2 U
F R' F' U2 D R' U
F R' F' U2 D' R' U
F R' F' U2 D2 R' U
D2 R' F2 D F U' F
D' R' F2 D F U' F'
F R' F' D U2 R' U
D' R' F2 D' F U' F'
F R' F' D' U2 R' U
D' R' F2 D2 F U' F'
F R' F' D2 U2 R' U
R' U2 R' D B U R'
R2 U2 R F' U2 F U
R U2 R U2 R F' U'
F R' F' B2 L B2 U'
D R' F2 D F L2 U'
D R' F2 D2 F U' F
R' U2 R2 D B R U
R' U2 R2 D' B R U
R' U2 R2 D2 B R U
R' U2 R2 B R U D
R' U2 R2 B R U D'
R' U2 R2 B R U D2
R' U2 R2 B R D U
R' U2 R2 B R D' U
R' U2 R2 B R D2 U
D2 R' B' L2 F' B U'
D2 R' B' L2 B F' U'
R' U2 R2 B D R U
R' U2 R2 B D' R U
R' U2 R2 B D2 R U
R' U2 R2 B' R B2 U
R' U2 R2 B2 R B' U
R' U2 D R2 B R U
D2 R' B' F' L2 B U'
F' R' B2 L F' B2 U'
F' R' B2 L B2 F' U'
D2 R' B2 L2 F' B2 U'
D2 R' B2 L2 B2 F' U'
B2 R' B2 L F' R' U'
F2 R' B2 L F' B2 U'
F2 R' B2 L B2 F' U'
R' U2 D' R2 B R U
D2 R' B2 F' L2 B2 U'
F' R' B2 F' L B2 U'
F R' B2 L F' B2 U'
F R' B2 L B2 F' U'
B2 R' B2 F' L R' U'
B2 R' B2 F' R' L U'
F2 R' B2 F' L B2 U'
R' U2 D2 R2 B R U
U2 R2 L U2 R F U'
F R' B2 F' L B2 U'
R U2 D2 L2 B R U
R U2 D2 B L2 R U
R U2 D2 B R L2 U
U2 R2 L' B' U2 R U'
U2 R2 U B' R' D B2
R' U2 B U2 F' L' U'
U2 R2 U2 R U2 B U
R' U2 B' R2 B R' U
U2 R2 U2 R' F' R2 U'
R U2 B R U2 R U'
R U2 B D R U B2
R U2 B D2 L2 R U
R U2 B D2 R L2 U
R' U2 B2 U2 L F' U'
R' U2 B2 U2 F' L U'
R' D L F' U2 R' U
B2 R2 D2 L F2 B' U
B2 R2 D2 L B' F2 U
R' D L' F' U2 R' U
B2 R2 D2 F2 L B' U
R' D L2 F' U2 R' U
U2 R2 F2 L' F2 B' U
U2 R2 F2 L' B' F2 U
L' D R' D L2 F' U'
L' D R' D F' L2 U'
L' D R' D2 F' U' F'
L' D R' F' U B2 U2
L' D R' F' U' D2 F2
L' D R' F' D L2 U'
L' D R' F' D2 U' F2
L2 D R' D L2 F' U'
L2 D R' D F' L2 U'
L2 D R' D2 F' U' F'
L2 D R' F' U B2 U2
L2 D R' F' U' D2 F2
L2 D R' F' D L2 U'
L2 D R' F' D2 U' F2
L D R' D L2 F' U'
L D R' D F' L2 U'
L D R' D2 F' U' F'
L D R' F' U B2 U2
L D R' F' U' D2 F2
L D R' F' D L2 U'
L D R' F' D2 U' F2
R' D U2 R2 B R U
R' D F' L U2 R' U
R' D F' L' U2 R' U
R' D F' L2 U2 R' U
R' D F' U2 R' U D
R' D F' U2 R' U D'
R' D F' U2 R' U D2
R' D F' U2 R' D U
R' D F' U2 R' D' U
R' D F' U2 R' D2 U
R' D F' U2 D R' U
R' D F' U2 D' R' U
R' D F' U2 D2 R' U
R' D F' D U2 R' U
R' D F' D' U2 R' U
R' D F' D2 U2 R' U
R' D F' B2 L B2 U'
R' D B2 L F' B2 U'
R' D B2 L B2 F' U'
R' D B2 F' L B2 U'
L' D' L R' F' U' F'
R' D' L F' U2 R' U
L2 D' L R' F' U' F'
L' D' L' R' F' U' F'
R' D' L' F' U2 R' U
L D' L R' F' U' F'
L2 D' L' R' F' U' F'
L' D' L2 R' F' U' F'
R' D' L2 F' U2 R' U
L D' L' R' F' U' F'
L2 D' L2 R' F' U' F'
L D' L2 R' F' U' F'
L' D' R' L F' U' F'
L' D' R' L' F' U' F'
L' D' R' L2 F' U' F'
L' D' R' D' L2 F' U'
L' D' R' D' F' L2 U'
L2 D' R' L F' U' F'
L' D' R' F' L U' F'
L' D' R' F' L' U' F'
L' D' R' F' L2 U' F'
L' D' R' F' U' D F'
L' D' R' F' U' D' F'
L' D' R' F' U' D2 F'
L' D' R' F' U' F' D
L' D' R' F' U' F' D'
L' D' R' F' U' F' D2
L2 D' R' L' F' U' F'
L' D' R' F' D U' F'
L' D' R' F' D' U' F'
L' D' R' F' D2 U' F'
L2 D' R' L2 F' U' F'
L2 D' R' D' L2 F' U'
L2 D' R' D' F' L2 U'
L2 D' R' F' L U' F'
L2 D' R' F' L' U' F'
L2 D' R' F' L2 U' F'
L2 D' R' F' U' D F'
L2 D' R' F' U' D' F'
L2 D' R' F' U' D2 F'
L2 D' R' F' U' F' D
L2 D' R' F' U' F' D'
L2 D' R' F' U' F' D2
L2 D' R' F' D U' F'
L2 D' R' F' D' U' F'
L2 D' R' F' D2 U' F'
L D' R' L F' U' F'
L D' R' L' F' U' F'
L D' R' L2 F' U' F'
L D' R' D' L2 F' U'
L D' R' D' F' L2 U'
L D' R' F' L U' F'
L D' R' F' L' U' F'
L D' R' F' L2 U' F'
L D' R' F' U' D F'
L D' R' F' U' D' F'
L D' R' F' U' D2 F'
L D' R' F' U' F' D
L D' R' F' U' F' D'
L D' R' F' U' F' D2
L D' R' F' D U' F'
L D' R' F' D' U' F'
L D' R' F' D2 U' F'
R' D' U2 R2 B R U
L' D' F R' F' U' F2
R' D' F' L U2 R' U
R' D' F' L' U2 R' U
L2 D' F R' F' U' F2
R' D' F' L2 U2 R' U
R' D' F' U2 R' U D
R' D' F' U2 R' U D'
R' D' F' U2 R' U D2
R' D' F' U2 R' D U
R' D' F' U2 R' D' U
R' D' F' U2 R' D2 U
R' D' F' U2 D R' U
R' D' F' U2 D' R' U
R' D' F' U2 D2 R' U
R' D' F' D U2 R' U
R' D' F' D' U2 R' U
R' D' F' D2 U2 R' U
R' D' F' B2 L B2 U'
L D' F R' F' U' F2
L' D' F2 R' F' U' F
L2 D' F2 R' F' U' F
L D' F2 R' F' U' F
U' D' F2 U R' F' U'
D' U' F2 U R' F' U'
R' D' B2 L F' B2 U'
R' D' B2 L B2 F' U'
D' U' F2 B' D' R' B
U' D' F2 B' D' R' B
R' D' B2 F' L B2 U'
L' D2 L R' F' L U'
R' D2 L F' U2 R' U
L2 D2 L R' F' L U'
U' D' B' F2 D' R' B
D' U' B' F2 D' R' B
R' D2 L' F' U2 R' U
L D2 L R' F' L U'
L' D2 L2 R' D F' U'
L' D2 L2 R' D' F' U'
L' D2 L2 R' D2 F' U'
L' D2 L2 R' F' U' D
L' D2 L2 R' F' U' D'
L' D2 L2 R' F' U' D2
L' D2 L2 R' F' D U'
L' D2 L2 R' F' D' U'
L' D2 L2 R' F' D2 U'
L' D2 L2 D R' F' U'
R' D2 L2 F' U2 R' U
L' D2 L2 D' R' F' U'
L' D2 L2 D2 R' F' U'
L' D2 L2 F R' F' U'
L2 D2 L2 R' D F' U'
L2 D2 L2 R' D' F' U'
L2 D2 L2 R' D2 F' U'
L2 D2 L2 R' F' U' D
L2 D2 L2 R' F' U' D'
L2 D2 L2 R' F' U' D2
L2 D2 L2 R' F' D U'
L2 D2 L2 R' F' D' U'
L2 D2 L2 R' F' D2 U'
L' D2 L2 F' R' F' U'
L' D2 L2 F2 R' F' U'
L2 D2 L2 D R' F' U'
L2 D2 L2 D' R' F' U'
L2 D2 L2 D2 R' F' U'
L2 D2 L2 F R' F' U'
L2 D2 L2 F' R' F' U'
L2 D2 L2 F2 R' F' U'
L D2 L2 R' D F' U'
L D2 L2 R' D' F' U'
L D2 L2 R' D2 F' U'
L D2 L2 R' F' U' D
L D2 L2 R' F' U' D'
L D2 L2 R' F' U' D2
L D2 L2 R' F' D U'
L D2 L2 R' F' D' U'
L D2 L2 R' F' D2 U'
L D2 L2 D R' F' U'
L D2 L2 D' R' F' U'
L' D2 R' L F' L U'
L D2 L2 D2 R' F' U'
L D2 L2 F R' F' U'
L' D2 R' L2 D F' U'
L' D2 R' L2 D' F' U'
L' D2 R' L2 D2 F' U'
L' D2 R' L2 F' U' D
L' D2 R' L2 F' U' D'
L' D2 R' L2 F' U' D2
L' D2 R' L2 F' D U'
L' D2 R' L2 F' D' U'
L' D2 R' L2 F' D2 U'
L D2 L2 F' R' F' U'
L D2 L2 F2 R' F' U'
L' D2 R' D F' U' F'
L2 D2 R' L F' L U'
L' D2 R' F L2 F2 U'
L' D2 R' F' L2 U' D
L' D2 R' F' L2 U' D'
L' D2 R' F' L2 U' D2
L' D2 R' F' L2 D U'
L' D2 R' F' L2 D' U'
L' D2 R' F' L2 D2 U'
L2 D2 R' L2 D F' U'
L2 D2 R' L2 D' F' U'
L2 D2 R' L2 D2 F' U'
L2 D2 R' L2 F' U' D
L2 D2 R' L2 F' U' D'
L2 D2 R' L2 F' U' D2
L2 D2 R' L2 F' D U'
L2 D2 R' L2 F' D' U'
L2 D2 R' L2 F' D2 U'
L' D2 R' F' U' D F2
L' D2 R' F' D U' F2
L2 D2 R' D F' U' F'
L2 D2 R' F L2 F2 U'
L2 D2 R' F' L2 U' D
L2 D2 R' F' L2 U' D'
L2 D2 R' F' L2 U' D2
L2 D2 R' F' L2 D U'
L2 D2 R' F' L2 D' U'
L2 D2 R' F' L2 D2 U'
L2 D2 R' F' U' D F2
L2 D2 R' F' D U' F2
L D2 R' L F' L U'
L D2 R' L2 D F' U'
L D2 R' L2 D' F' U'
L D2 R' L2 D2 F' U'
L D2 R' L2 F' U' D
L D2 R' L2 F' U' D'
L D2 R' L2 F' U' D2
L D2 R' L2 F' D U'
L D2 R' L2 F' D' U'
L D2 R' L2 F' D2 U'
L D2 R' D F' U' F'
L D2 R' F L2 F2 U'
L D2 R' F' L2 U' D
L D2 R' F' L2 U' D'
L D2 R' F' L2 U' D2
L D2 R' F' L2 D U'
L D2 R' F' L2 D' U'
L D2 R' F' L2 D2 U'
L D2 R' F' U' D F2
L D2 R' F' D U' F2
F' U' B' D' R' F2 B
F' U' B' D' R' B F2
F' U' B' D' F2 R' B
F2 U' B' D' R' F2 B
F2 U' B' D' R' B F2
F2 U' B' D' F2 R' B
F U' B' D' R' F2 B
F U' B' D' R' B F2
F U' B' D' F2 R' B
R' D2 U2 R2 B R U
L' D2 F L2 R' F' U'
L' D2 F R' L2 F' U'
L' D2 F R' F' L2 U'
L2 D2 F L2 R' F' U'
R' D2 F' L U2 R' U
R' D2 F' L' U2 R' U
L2 D2 F R' L2 F' U'
L2 D2 F R' F' L2 U'
R' D2 F' L2 U2 R' U
R D2 U2 L2 B R U
L' D2 F' L2 R' F' U'
L' D2 F' R' L2 F' U'
R' D2 F' U2 R' U D
R' D2 F' U2 R' U D'
R' D2 F' U2 R' U D2
R' D2 F' U2 R' D U
R' D2 F' U2 R' D' U
R' D2 F' U2 R' D2 U
R' D2 F' U2 D R' U
R' D2 F' U2 D' R' U
L' D2 F' R' F' L2 U'
R' D2 F' U2 D2 R' U
R' D2 F' D U2 R' U
R' D2 F' D' U2 R' U
R D2 U2 B L2 R U
R D2 U2 B R L2 U
R' D2 F' D2 U2 R' U
R' D2 F' B2 L B2 U'
L2 D2 F' L2 R' F' U'
L D2 F L2 R' F' U'
L2 D2 F' R' L2 F' U'
L D2 F R' L2 F' U'
L2 D2 F' R' F' L2 U'
L D2 F R' F' L2 U'
L' D2 F2 L2 R' F' U'
L' D2 F2 R' L2 F' U'
L' D2 F2 R' F' L2 U'
L2 D2 F2 L2 R' F' U'
L D2 F' L2 R' F' U'
L2 D2 F2 R' L2 F' U'
L2 D2 F2 R' F' L2 U'
L D2 F' R' L2 F' U'
L D2 F' R' F' L2 U'
L D2 F2 L2 R' F' U'
L D2 F2 R' L2 F' U'
L D2 F2 R' F' L2 U'
R' D2 B2 L F' B2 U'
R' D2 B2 L B2 F' U'
R D2 B L2 R F U
R D2 B R L2 F U
R' D2 B2 F' L B2 U'
D2 F L R' F' L U'
R' F L F2 U2 R' U
R' F L' F2 U2 R' U
D2 F L2 R' D F' U'
D2 F L2 R' D' F' U'
D2 F L2 R' D2 F' U'
D2 F L2 R' F' U' D
D2 F L2 R' F' U' D'
D2 F L2 R' F' U' D2
D2 F L2 R' F' D U'
D2 F L2 R' F' D' U'
D2 F L2 R' F' D2 U'
D2 F L2 D R' F' U'
D2 F L2 D' R' F' U'
D2 F L2 D2 R' F' U'
D2 F L2 F R' F' U'
R' F L2 F2 U2 R' U
D2 F L2 F' R' F' U'
D2 F L2 F2 R' F' U'
D2 F R' L F' L U'
D2 F R' L2 D F' U'
D2 F R' L2 D' F' U'
D2 F R' L2 D2 F' U'
D2 F R' L2 F' U' D
D2 F R' L2 F' U' D'
D2 F R' L2 F' U' D2
D2 F R' L2 F' D U'
D2 F R' L2 F' D' U'
D2 F R' L2 F' D2 U'
D' F R' U' F D R2
D' F R' D F' U' F2
D2 F R' D F' U' F'
D' F R' D' F' U' F2
D' F R' D2 F' U' F2
D2 F R' F L2 F2 U'
D' F R' F' L U' F2
D' F R' F' L' U' F2
D' F R' F' L2 U' F2
D' F R' F' U' F2 D
D' F R' F' U' F2 D'
D' F R' F' U' F2 D2
D' F R' F' D' L2 U'
D2 F R' F' L2 U' D
D2 F R' F' L2 U' D'
D2 F R' F' L2 U' D2
D2 F R' F' L2 D U'
D2 F R' F' L2 D' U'
D2 F R' F' L2 D2 U'
D2 F R' F' U' D F2
D2 F R' F' D U' F2
L' F R' F' U2 R' U
L2 F R' F' U2 R' U
R' F R2 F2 L' R2 U'
R' F R2 F2 R2 L' U'
D F R' D L2 F' U'
D F R' D F' L2 U'
D F R' D2 F' U' F'
D F R' F' U B2 U2
D F R' F' U' D2 F2
D F R' F' D L2 U'
D F R' F' D2 U' F2
L F R' F' U2 R' U
R F R2 F L' F2 U'
R F R2 F' U2 R U
R' F U2 R' U D R2
R' F U2 R' U2 F2 U'
R' F U2 R' D U R2
R' F U2 R' D2 B2 U
R' F U2 D R' U R'
R' F U2 D2 R' B2 U
D' F D R' F' U' F2
D2 F D R' F' U' F'
R' F D U2 R' U R'
D' F D' R' F' U' F2
D F D L2 R' F' U'
L' F D' R' F' U' F'
D F D R' L2 F' U'
D F D R' F' L2 U'
L2 F D' R' F' U' F'
D' F D2 R' F' U' F2
L' F D2 L2 R' F' U'
R' F D2 U2 R' B2 U
L' F D2 R' L2 F' U'
L' F D2 R' F' L2 U'
L2 F D2 L2 R' F' U'
L2 F D2 R' L2 F' U'
L2 F D2 R' F' L2 U'
F' D R' D L2 F' U'
F' D R' D F' L2 U'
L F D' R' F' U' F'
F' D R' D2 F' U' F'
F2 D R' D L2 F' U'
F' D R' F' U B2 U2
F' D R' F' U' D2 F2
F2 D R' D F' L2 U'
F' D R' F' D L2 U'
F' D R' F' D2 U' F2
F2 D R' D2 F' U' F'
F2 D R' F' U B2 U2
F2 D R' F' U' D2 F2
D F D2 R' F' U' F'
F2 D R' F' D L2 U'
F2 D R' F' D2 U' F2
L F D2 L2 R' F' U'
L F D2 R' L2 F' U'
L F D2 R' F' L2 U'
U' F B' D' R' F2 B
U' F B' D' R' B F2
U' F B' D' F2 R' B
F D R' D L2 F' U'
F D R' D F' L2 U'
R' F B2 L F2 B2 U'
R' F B2 L B2 F2 U'
F D R' D2 F' U' F'
F D R' F' U B2 U2
F D R' F' U' D2 F2
F D R' F' D L2 U'
F D R' F' D2 U' F2
D2 F' L R' F' L U'
R' F' L U2 R' U D
R' F' L U2 R' U D'
R' F' L U2 R' U D2
R' F' L U2 R' D U
R' F' L U2 R' D' U
R' F' L U2 R' D2 U
R' F' L U2 D R' U
R' F' L U2 D' R' U
R' F' L U2 D2 R' U
R' F' L D U2 R' U
R' F' L D' U2 R' U
R' F' L D2 U2 R' U
R' F' L B2 L B2 U'
R' F' L' U2 R' U D
R' F' L' U2 R' U D'
R' F' L' U2 R' U D2
R' F' L' U2 R' D U
R' F' L' U2 R' D' U
R' F' L' U2 R' D2 U
R' F' L' U2 D R' U
R' F' L' U2 D' R' U
R' F' L' U2 D2 R' U
R' F' L' D U2 R' U
R' F' L' D' U2 R' U
R' F' L' D2 U2 R' U
R' F' L' B2 L B2 U'
D2 F' L2 R' D F' U'
D2 F' L2 R' D' F' U'
D2 F' L2 R' D2 F' U'
D2 F' L2 R' F' U' D
D2 F' L2 R' F' U' D'
D2 F' L2 R' F' U' D2
D2 F' L2 R' F' D U'
D2 F' L2 R' F' D' U'
D2 F' L2 R' F' D2 U'
R' F' L2 U2 R' U D
R' F' L2 U2 R' U D'
R' F' L2 U2 R' U D2
R' F' L2 U2 R' D U
R' F' L2 U2 R' D' U
R' F' L2 U2 R' D2 U
R' F' L2 U2 D R' U
R' F' L2 U2 D' R' U
R' F' L2 U2 D2 R' U
R F' L R2 F' L' U'
R' F' L2 D U2 R' U
R' F' L2 D' U2 R' U
D2 F' L2 D R' F' U'
R' F' L2 D2 U2 R' U
D2 F' L2 D' R' F' U'
D2 F' L2 D2 R' F' U'
D2 F' L2 F R' F' U'
D2 F' L2 F' R' F' U'
D2 F' L2 F2 R' F' U'
R' F' L2 B2 L B2 U'
R F' L' R2 F' L' U'
R' F' R D' R' U' F2
R' F' R D2 L2 R' U'
R' F' R D2 R' L2 U'
D2 F' R' L F' L U'
D2 F' R' L2 D F' U'
D2 F' R' L2 D' F' U'
D2 F' R' L2 D2 F' U'
D2 F' R' L2 F' U' D
D2 F' R' L2 F' U' D'
D2 F' R' L2 F' U' D2
D2 F' R' L2 F' D U'
D2 F' R' L2 F' D' U'
D2 F' R' L2 F' D2 U'
R F' L2 R2 F' L' U'
D2 F' R' D F' U' F'
D2 F' R' F L2 F2 U'
D2 F' R' F' L2 U' D
D2 F' R' F' L2 U' D'
D2 F' R' F' L2 U' D2
D2 F' R' F' L2 D U'
D2 F' R' F' L2 D' U'
D2 F' R' F' L2 D2 U'
D2 F' R' F' U' D F2
D2 F' R' F' D U' F2
L' F' R' F' U2 R' U
L2 F' R' F' U2 R' U
D F' R' D L2 F' U'
D F' R' D F' L2 U'
D F' R' D2 F' U' F'
D F' R' F' U B2 U2
D F' R' F' U' D2 F2
D F' R' F' D L2 U'
D F' R' F' D2 U' F2
L F' R' F' U2 R' U
R' F' U B2 U' L U'
R' F' U' R D' R' F2
R' F' U' R D' F2 R'
R F' R2 L F' L' U'
R F' R2 L' F' L' U'
R F' R2 L2 F' L' U'
R' F' U' F U' R' U
R F' R2 D F' L' U'
R' F' U' F' U' R' U
R F' R2 D' F' L' U'
R' F' U' F2 U' R' U
R F' R2 D2 F' L' U'
R F' R2 F' L' U' D
R F' R2 F' L' U' D'
R F' R2 F' L' U' D2
R F' R2 F' L' D U'
R F' R2 F' L' D' U'
R F' R2 F' L' D2 U'
F' D' L R' F' U' F'
R F' R2 F' D L' U'
R F' R2 F' D' L' U'
R F' R2 F' D2 L' U'
R' F' U2 R U D' F2
R' F' U2 R D' U F2
F2 D' L R' F' U' F'
R' F' U2 R2 D R U
R' F' U2 R2 D' R U
R' F' U2 R2 D2 R U
R' F' U2 D R' U D
R' F' U2 D R' U D'
R' F' U2 D R' U D2
R' F' U2 D R' D U
R' F' U2 D R' D' U
R' F' U2 D R' D2 U
R' F' U2 D' R' U D
R' F' U2 D' R' U D'
R' F' U2 D' R' U D2
R' F' U2 D' R' D U
R' F' U2 D' R' D' U
R' F' U2 D' R' D2 U
R' F' U2 D2 R' U D
R' F' U2 D2 R' U D'
R' F' U2 D2 R' U D2
R' F' U2 D2 R' D U
R' F' U2 D2 R' D' U
R' F' U2 D2 R' D2 U
R' F' U2 F' R' F U
R' F' U2 F2 R' F2 U
F' D' L' R' F' U' F'
R' F' D L U2 R' U
R' F' D L' U2 R' U
R' F' D L2 U2 R' U
F2 D' L' R' F' U' F'
D2 F' D R' F' U' F'
F D' L R' F' U' F'
R' F' D U2 R' U D
R' F' D U2 R' U D'
R' F' D U2 R' U D2
R' F' D U2 R' D U
R' F' D U2 R' D' U
R' F' D U2 R' D2 U
F' D' L2 R' F' U' F'
R' F' D B2 L B2 U'
R' F' D' L U2 R' U
R' F' D' L' U2 R' U
R' F' D' L2 U2 R' U
F2 D' L2 R' F' U' F'
F D' L' R' F' U' F'
R' F' D' U2 R' U D
R' F' D' U2 R' U D'
R' F' D' U2 R' U D2
R' F' D' U2 R' D U
R' F' D' U2 R' D' U
R' F' D' U2 R' D2 U
L' F' D' R' F' U' F'
D F' D L2 R' F' U'
D F' D R' L2 F' U'
D F' D R' F' L2 U'
R' F' D' B2 L B2 U'
R' F' D2 L U2 R' U
R' F' D2 L' U2 R' U
R' F' D2 L2 U2 R' U
L2 F' D' R' F' U' F'
L' F' D2 L2 R' F' U'
F D' L2 R' F' U' F'
R' F' D2 U2 R' U D
R' F' D2 U2 R' U D'
R' F' D2 U2 R' U D2
R' F' D2 U2 R' D U
R' F' D2 U2 R' D' U
R' F' D2 U2 R' D2 U
L' F' D2 R' L2 F' U'
L' F' D2 R' F' L2 U'
F' D' R' L F' U' F'
F' D' R' L' F' U' F'
R' F' D2 B2 L B2 U'
F' D' R' L2 F' U' F'
L2 F' D2 L2 R' F' U'
L2 F' D2 R' L2 F' U'
L2 F' D2 R' F' L2 U'
F2 D' R' L F' U' F'
F2 D' R' L' F' U' F'
F' D' R' D' L2 F' U'
F' D' R' D' F' L2 U'
F2 D' R' L2 F' U' F'
L F' D' R' F' U' F'
F' D' R' F' L U' F'
F' D' R' F' L' U' F'
F' D' R' F' L2 U' F'
F' D' R' F' U' D F'
F' D' R' F' U' D' F'
F' D' R' F' U' D2 F'
F' D' R' F' U' F' D
F' D' R' F' U' F' D'
F' D' R' F' U' F' D2
F' D' R' F' D U' F'
F' D' R' F' D' U' F'
F' D' R' F' D2 U' F'
F2 D' R' D' L2 F' U'
F2 D' R' D' F' L2 U'
D F' D2 R' F' U' F'
F2 D' R' F' L U' F'
F2 D' R' F' L' U' F'
F2 D' R' F' L2 U' F'
F2 D' R' F' U' D F'
F2 D' R' F' U' D' F'
F2 D' R' F' U' D2 F'
F2 D' R' F' U' F' D
F2 D' R' F' U' F' D'
F2 D' R' F' U' F' D2
F2 D' R' F' D U' F'
F2 D' R' F' D' U' F'
F2 D' R' F' D2 U' F'
L F' D2 L2 R' F' U'
L F' D2 R' L2 F' U'
U' F' B' D' R' F2 B
U' F' B' D' R' B F2
U' F' B' D' F2 R' B
L F' D2 R' F' L2 U'
F D' R' L F' U' F'
F D' R' L' F' U' F'
F D' R' L2 F' U' F'
R' F' B2 L U' D L2
R' F' B2 L D U' L2
R' F' B2 L B2 U' D
R' F' B2 L B2 U' D'
R' F' B2 L B2 U' D2
R' F' B2 L B2 D U'
R' F' B2 L B2 D' U'
R' F' B2 L B2 D2 U'
R' F' B2 L' B2 L2 U'
R' F' B2 L2 B2 L' U'
F D' R' D' L2 F' U'
F D' R' D' F' L2 U'
F D' R' F' L U' F'
F D' R' F' L' U' F'
F D' R' F' L2 U' F'
F D' R' F' U' D F'
F D' R' F' U' D' F'
F D' R' F' U' D2 F'
F D' R' F' U' F' D
F D' R' F' U' F' D'
F D' R' F' U' F' D2
F D' R' F' D U' F'
F D' R' F' D' U' F'
F D' R' F' D2 U' F'
R' F' B2 D L U' L
D2 F2 L R' F' L U'
D' F2 L R' F' U' F
D' F2 L' R' F' U' F
D2 F2 L2 R' D F' U'
D2 F2 L2 R' D' F' U'
F' D' F R' F' U' F2
D2 F2 L2 R' D2 F' U'
D2 F2 L2 R' F' U' D
D2 F2 L2 R' F' U' D'
D2 F2 L2 R' F' U' D2
D2 F2 L2 R' F' D U'
D2 F2 L2 R' F' D' U'
D2 F2 L2 R' F' D2 U'
D' F2 L2 R' F' U' F
R' F2 L2 U2 R' B' U
D2 F2 L2 D R' F' U'
F2 D' F R' F' U' F2
D2 F2 L2 D' R' F' U'
R F2 L R2 F' L2 U'
D2 F2 L2 D2 R' F' U'
D2 F2 L2 F R' F' U'
D2 F2 L2 F' R' F' U'
D2 F2 L2 F2 R' F' U'
R F2 L' R2 D F' U'
R F2 L' R2 D' F' U'
R F2 L' R2 D2 F' U'
R F2 L' R2 F' U' D
R F2 L' R2 F' U' D'
R F2 L' R2 F' U' D2
R F2 L' R2 F' D U'
R F2 L' R2 F' D' U'
R F2 L' R2 F' D2 U'
F D' F R' F' U' F2
R F2 L' F R2 F' U'
R F2 L' F' R2 F' U'
D2 F2 R' L F' L U'
D' F2 R' L F' U' F
F' D' F2 R' F' U' F
R F2 L' F2 R2 F' U'
D' F2 R' L' F' U' F
D2 F2 R' L2 D F' U'
