D' L2 U' R B'
D' L2 U' B' R
L2 U' R F2 B'
L2 U' R B' F2
R' U' F2 R2 B
L2 U' B' R F2
U' R' F2 R2 B
U' R D2 F' D2 B2 F2
L2 U' L' R F2 L B'
L U' L B' L' R F2
L U' L B' R L' F2
U' R F R2 F R2 B
R' U' L2 R2 F2 B' L2
R' U' L2 R2 B' L2 F2
R' U' L2 R2 B' F2 L2
R' U' L2 F2 R2 B' L2
U R F R' U2 R F
R' U' L2 F2 B' L2 R2
R2 U' L2 R' F2 B' L2
R' U' L2 F2 B' R2 L2
R2 U' L2 R' B' L2 F2
R2 U' L2 R' B' F2 L2
R' U' L2 B' L2 R2 F2
R' U' L2 B' L2 F2 R2
R' U' L2 B' R2 L2 F2
R' U' L2 B' R2 F2 L2
R' U' L2 B' F2 L2 R2
R' U' L2 B' F2 R2 L2
R U' L2 U F2 B' L2
R U' L2 U B' L2 F2
R U' L2 U B' F2 L2
U' R F' U2 F2 U2 F
U' R F' D F' D B2
U' R F' D' F' D' B2
R2 U' L2 F2 R' B' L2
U' R F' D2 F' B2 D
U' R F' D2 F' B2 D'
U' R F' D2 F' B2 D2
U' R F' D2 B2 D F'
U' R F' D2 B2 D' F'
U' R F' D2 B2 D2 F'
U' R F' D2 B2 F' D
U' R F' D2 B2 F' D'
U' R F' D2 B2 F' D2
L2 U' R L' F2 L B'
U' R F' B D2 F' B2
U' R F' B D2 B2 F'
U' R F' B' D2 F' B2
U' R F' B' D2 B2 F'
U' R F' B2 D2 F' B2
U' R F' B2 D2 B2 F'
L U' R L B' L' F2
L2 U' R D B' D' F2
L2 U' R D' B' D F2
U' R F2 R2 B R2 D
U' R F2 R2 B R2 D'
U' R F2 R2 B R2 D2
U' R F2 R2 B' R2 B2
U' R F2 R2 B2 R2 B'
L2 U' R F D F B'
L2 U' R F D B' F
L2 U' R F D' F B'
L2 U' R F D' B' F
L2 U' R F D2 F B'
U' R F2 U R2 U' B
L2 U' R F D2 B' F
L2 U' R F B' D F
L2 U' R F B' D' F
L2 U' R F B' D2 F
L2 U' R F' D F' B'
L2 U' R F' D B' F'
L2 U' R F' D' F' B'
L2 U' R F' D' B' F'
L2 U' R F' D2 F' B'
L2 U' R F' D2 B' F'
L2 U' R F' B' D F'
L2 U' R F' B' D' F'
L2 U' R F' B' D2 F'
L2 U' R F2 R' B' R
L2 U' R F2 R2 B' R2
L2 U' R F2 D B' D
L2 U' R F2 D B' D'
L2 U' R F2 D B' D2
L2 U' R F2 D' B' D
L2 U' R F2 D' B' D'
L2 U' R F2 D' B' D2
L2 U' R F2 D2 B' D
L2 U' R F2 D2 B' D'
L2 U' R F2 D2 B' D2
U' R F2 U2 D F' U2
U' R F2 U2 D' F' U2
U' R F2 U2 D2 F' U2
L2 U' R F2 B2 D B
L2 U' R F2 B2 D' B
L2 U' R F2 B2 D2 B
U' R F2 U2 F' U2 D
U' R F2 U2 F' U2 D'
U' R F2 U2 F' U2 D2
U' R F2 U2 F' D U2
U' R F2 U2 F' D' U2
U' R F2 U2 F' D2 U2
U R F' D2 F' B2 L
U R F' D2 B2 L F'
U R F' D2 B2 F' L
U' R F2 D R2 B R2
U' R F2 D U2 F' U2
L2 U' R B' L' F2 L
L2 U' R B' L2 F2 L2
L2 U' R B' R F2 R'
L2 U' R B' R2 F2 R2
L2 U' R B' F D F
L2 U' R B' F D' F
L2 U' R B' F D2 F
L2 U' R B' F' D F'
L2 U' R B' F' D' F'
L2 U' R B' F' D2 F'
U' R F2 D' R2 B R2
U' R F2 D' U2 F' U2
R2 U' R F2 R2 D B
R2 U' R F2 R2 D' B
R2 U' R F2 R2 D2 B
R2 U' R F2 R2 B D
R2 U' R F2 R2 B D'
R2 U' R F2 R2 B D2
U' R F2 D2 R2 B R2
R2 U' R F2 B R2 B
R2 U' R F2 B' R2 B
L2 U' R B2 F2 D B
L2 U' R B2 F2 D' B
L2 U' R B2 F2 D2 B
U' R F2 D2 U2 F' U2
R2 U' R F2 B2 R2 B
U' R F2 B R2 B R2
R2 U' R B F2 R2 B
U' R F2 B U2 F' U2
L U' R F2 L B' L'
U' R F2 B' R2 B R2
U' R F2 B' U2 F' U2
R2 U' R B' F2 R2 B
U' R F2 B2 R2 B R2
U' R F2 B2 U2 F' U2
R2 U' R B2 F2 R2 B
R' U' R' F2 R2 B R
R2 U' R' L2 F2 B' L2
R2 U' R' L2 B' L2 F2
R2 U' R' L2 B' F2 L2
U' R B L2 F2 B' L2
U' R B L2 B' L2 F2
U' R B L2 B' F2 L2
R2 U' R' U2 F U2 F
L2 U' R' F R2 F B'
L2 U' R' F R2 B' F
U R F2 U2 F' R' U2
U' R B R2 F2 R2 B
L2 U' R' F B' R2 F
R' U' R2 L2 F2 B' L2
R' U' R2 L2 B' L2 F2
R' U' R2 L2 B' F2 L2
L2 U' R' F2 R B' R
L2 U' R' F2 R2 D B'
L2 U' R' F2 R2 D' B'
L2 U' R' F2 R2 D2 B'
L2 U' R' F2 R2 B' D
L2 U' R' F2 R2 B' D'
L2 U' R' F2 R2 B' D2
L2 U' R' F2 B R2 B2
L2 U' R' F2 B' R2 D
L2 U' R' F2 B' R2 D'
L2 U' R' F2 B' R2 D2
L2 U' R' B R2 F2 B2
L2 U' R' B R2 B2 F2
U' R B U2 F U2 F
L2 U' R' B F2 R2 B2
R' U' R2 U2 F U2 F
L2 U' R' B' R' F2 R'
L2 U' R' B' R2 F2 D
L2 U' R' B' R2 F2 D'
L2 U' R' B' R2 F2 D2
L2 U' R' B' F R2 F
R2 U' R' F' D2 F' B2
R2 U' R' F' D2 B2 F'
L2 U' R' B' F2 R2 D
L2 U' R' B' F2 R2 D'
L2 U' R' B' F2 R2 D2
R2 U' R' F2 R2 B R2
R2 U' R' F2 U2 F' U2
U' R B F' D2 F' B2
U' R B F' D2 B2 F'
U' R B F2 R2 B R2
U' R B F2 U2 F' U2
R' U' R2 F' D2 F' B2
R' U' R2 F' D2 B2 F'
R' U' R2 F2 R2 B R2
R' U' R2 F2 U2 F' U2
L' U' R2 F2 D R' B
U' R B' L2 F2 B' L2
U' R B' L2 B' L2 F2
U' R B' L2 B' F2 L2
L2 U' R2 F R' F B'
L2 U' R2 F R' B' F
U' R B' R2 F2 R2 B
L2 U' R2 F2 R B' R2
L2 U' R2 F2 R' D B'
L2 U' R2 F2 R' D' B'
L2 U' R2 F2 R' D2 B'
L2 U' R2 F2 R' B' D
L2 U' R2 F2 R' B' D'
L2 U' R2 F2 R' B' D2
L2 U' R2 F2 R2 B' R
L2 U' R2 F2 D R' B'
L2 U' R2 F2 D' R' B'
L2 U' R2 F2 D2 R' B'
U' R B' U2 F U2 F
L U' R2 F2 D2 R' B
U' R B' F' D2 F' B2
U' R B' F' D2 B2 F'
U' R B' F2 R2 B R2
U' R B' F2 U2 F' U2
U R B' L2 F2 B' L
U R B' L2 B' L F2
U R B' L2 B' F2 L
U' R B2 L2 F2 B' L2
U' R B2 L2 B' L2 F2
U' R B2 L2 B' F2 L2
U' R B2 R2 F2 R2 B
L2 U' D B' D' R F2
D' R B2 D L2 F2 B'
D' R B2 D L2 B' F2
U' R B2 U2 F U2 F
L2 U' D' R D F2 B'
L2 U' D' R D B' F2
L2 U' D' R B' D F2
U' R B2 F' D2 F' B2
U' R B2 F' D2 B2 F'
U' R B2 F2 R2 B R2
U' R B2 F2 U2 F' U2
U R B2 L2 B' L' F2
L2 U' D' B' R D F2
L2 U' D' B' D R F2
L2 U' D2 R D2 F2 B'
L2 U' D2 R D2 B' F2
L U' D2 R' B R2 F'
D' R' L2 U' R B' R
D' R' L2 U' R2 D B'
D' R' L2 U' R2 D' B'
D' R' L2 U' R2 D2 B'
D' R' L2 U' R2 B' D
D' R' L2 U' R2 B' D'
D' R' L2 U' R2 B' D2
D' R' L2 U' B R2 B2
D' R' L2 U' B' R2 D
D' R' L2 U' B' R2 D'
D' R' L2 U' B' R2 D2
R2 U' F R F R2 B
D' R' L2 D' F2 U' B'
U2 R' L2 U R2 F2 B'
U2 R' L2 U R2 B' F2
D' R' L2 F U' R2 B'
D' R' L2 F U' B' R2
U2 R' L2 U F2 R2 B'
U2 R' L2 U F2 B' R2
U2 R' L2 U B' R2 F2
U2 R' L2 U B' F2 R2
D' R' L2 F' U' R2 B'
D' R' L2 F' U' B' R2
D' R' L2 F2 U' R2 B'
D' R' L2 F2 U' B' R2
U' R' L2 F2 R2 B' L2
U R' L' F2 L' R2 B'
U R' L' F2 L' B' R2
U' R' L2 F2 B' L2 R2
U' R' L2 F2 B' R2 L2
U R' L' F2 R2 L' B'
U' R' L2 B' L2 R2 F2
U' R' L2 B' L2 F2 R2
U' R' L2 B' R2 L2 F2
U' R' L2 B' R2 F2 L2
U' R' L2 B' F2 L2 R2
U' R' L2 B' F2 R2 L2
R' U' F2 L R2 B L'
R' U' F2 L2 R2 B L2
R' U' F2 R D R B
R' U' F2 R D' R B
R' U' F2 R D2 R B
R' U' F2 R B R B
R' U' F2 R B' R B
R' U' F2 R B2 R B
D2 R' U F B2 U2 R2
R' U' F2 R2 L B L'
R' U' F2 R2 L2 B L2
R' U' F2 R2 D B D
R' U' F2 R2 D B D'
R' U' F2 R2 D B D2
R' U' F2 R2 D' B D
R' U' F2 R2 D' B D'
R' U' F2 R2 D' B D2
U R' L2 F2 R2 B' L'
R' U' F2 R2 D2 B D
R' U' F2 R2 D2 B D'
R' U' F2 R2 D2 B D2
R' U' F2 R2 B2 D B'
R' U' F2 R2 B2 D' B'
R' U' F2 R2 B2 D2 B'
U R' L2 F2 B' L' R2
U R' L2 F2 B' R2 L'
R2 U' F' D2 F' R' B2
U R' L2 B' F2 L' R2
U R' L2 B' F2 R2 L'
R' U' F2 U2 F' U2 R2
D2 R' U B2 F U2 R2
U2 R' U F2 R2 D B
U2 R' U F2 R2 D' B
U2 R' U F2 R2 D2 B
U2 R' U F2 R2 B D
U2 R' U F2 R2 B D'
U2 R' U F2 R2 B D2
R' U' F2 B R2 D B
R' U' F2 B R2 D' B
R' U' F2 B R2 D2 B
R' U' F2 B R2 B D
R' U' F2 B R2 B D'
R' U' F2 B R2 B D2
U2 R' U F2 B R2 B
U2 R' U F2 B' R2 B
U2 R' U F2 B2 R2 B
R' U' F2 B' R2 D B
R' U' F2 B' R2 D' B
R' U' F2 B' R2 D2 B
R' U' F2 B' R2 B D
R' U' F2 B' R2 B D'
R' U' F2 B' R2 B D2
U2 R' U B F2 R2 B
R' U' F2 B2 R2 D B
R' U' F2 B2 R2 D' B
R' U' F2 B2 R2 D2 B
R' U' F2 B2 R2 B D
R' U' F2 B2 R2 B D'
R' U' F2 B2 R2 B D2
U2 R' U B' F2 R2 B
U2 R' U B2 F2 R2 B
R2 U' F2 R2 D B R
R2 U' F2 R2 D' B R
R2 U' F2 R2 D2 B R
R2 U' F2 R2 B R D
R2 U' F2 R2 B R D'
R2 U' F2 R2 B R D2
R2 U' F2 R2 B D R
R2 U' F2 R2 B D' R
R2 U' F2 R2 B D2 R
R2 U' F2 R2 B' R B2
R2 U' F2 R2 B2 R B'
R2 U' F2 U2 F' U2 R'
U R' U F2 L' R2 B
R2 U' F2 D R2 B R
U R' U F2 R2 L' B
U R' U F2 R2 B L'
L2 U' F2 B' U2 L' U2
R2 U' F2 D' R2 B R
B' R' U' F2 R2 B L
R2 U' F2 D2 R2 B R
L U' F2 U2 L' F U2
R2 U' F2 B' R2 B R'
U2 R' U' F U2 R2 F
U2 R' U' F U2 F R2
L2 U' B R F2 B2 D
L2 U' B R F2 B2 D'
L2 U' B R F2 B2 D2
L2 U' B R B2 F2 D
L2 U' B R B2 F2 D'
L2 U' B R B2 F2 D2
L2 U' B R' F2 R2 B2
L2 U' B R' F2 B2 R2
L2 U' B R' B2 R2 F2
L2 U' B R' B2 F2 R2
L2 U' B R2 F2 R' B2
R' U' B F2 R2 D B
R' U' B F2 R2 D' B
R' U' B F2 R2 D2 B
R' U' B F2 R2 B D
R' U' B F2 R2 B D'
R' U' B F2 R2 B D2
R U' F2 B2 D' R2 B
U R' U' F2 L' R2 B
U' R' U2 F U2 R2 F
U' R' U2 F U2 F R2
U R' U' F2 R2 L' B
U R' U' F2 R2 B L'
L2 U' B' L' R F2 L
L2 U' B' L2 R F2 L2
L2 U' B' R L' F2 L
L2 U' B' R L2 F2 L2
L2 U' B' R F D F
L2 U' B' R F D' F
L2 U' B' R F D2 F
L2 U' B' R F' D F'
L2 U' B' R F' D' F'
L2 U' B' R F' D2 F'
L2 U' B' R' F R2 F
L2 U' B' R' F2 R2 D
L2 U' B' R' F2 R2 D'
L2 U' B' R' F2 R2 D2
L2 U' B' R2 F R' F
L2 U' B' R2 F2 R' D
L2 U' B' R2 F2 R' D'
L2 U' B' R2 F2 R' D2
L2 U' B' R2 F2 D R'
L2 U' B' R2 F2 D' R'
L2 U' B' R2 F2 D2 R'
R' U' B' F2 R2 D B
R' U' B' F2 R2 D' B
R' U' B' F2 R2 D2 B
R' U' B' F2 R2 B D
R' U' B' F2 R2 B D'
R' U' B' F2 R2 B D2
L2 U' B' D' R D F2
L2 U' B' D2 R D2 F2
U R' U2 F2 L' R2 B
U R' U2 F2 R2 L' B
U R' U2 F2 R2 B L'
L2 U' B' F2 U2 L' U2
R2 U' B' F2 R2 B R'
R' U' B2 F2 R2 D B
R' U' B2 F2 R2 D' B
R' U' B2 F2 R2 D2 B
R' U' B2 F2 R2 B D
R' U' B2 F2 R2 B D'
R' U' B2 F2 R2 B D2
R U' B2 F2 D' R2 B
L U2 L U R F2 B'
L U2 L U R B' F2
L U2 L U B' R F2
R' U2 L2 U R2 F2 B'
R' U2 L2 U R2 B' F2
R' U2 L2 U F2 R2 B'
R' U2 L2 U F2 B' R2
R' U2 L2 U B' R2 F2
R' U2 L2 U B' F2 R2
R2 U2 L2 U R' F2 B'
R2 U2 L2 U R' B' F2
R2 U2 L2 U F2 R' B'
U R' F U2 R2 F L'
U R' F U2 F L' R2
U R' F U2 F R2 L'
U' R' F2 L R2 B L'
D' R' F2 L2 U' R2 B
U' R' F2 L2 R2 B L2
L' U2 R F2 D' L2 B
U' R' F2 R D R B
L' U2 R F2 D' B L2
U' R' F2 R D' R B
U' R' F2 R D2 R B
L' U2 R F2 B D' L2
U' R' F2 R B R B
U' R' F2 R B' R B
R2 U2 R U F2 R2 B
U' R' F2 R B2 R B
L' U2 R B F2 D' L2
U' R' F2 R2 L B L'
U' R' F2 R2 L2 B L2
U' R' F2 R2 D B D
U' R' F2 R2 D B D'
U' R' F2 R2 D B D2
U' R' F2 R2 D' B D
U' R' F2 R2 D' B D'
U' R' F2 R2 D' B D2
U' R' F2 R2 D2 B D
U' R' F2 R2 D2 B D'
U' R' F2 R2 D2 B D2
U' R' F2 R2 B2 D B'
U' R' F2 R2 B2 D' B'
U' R' F2 R2 B2 D2 B'
B2 R' F2 R2 D L2 B
B2 R' F2 R2 D B L2
U' R' F2 U2 F' U2 R2
L2 U2 R F2 D' B' L2
L2 U2 R F2 B' D' L2
L' U2 R' U R2 F2 B
L' U2 R' U R2 B F2
U2 R' F2 R2 D' L2 B
U2 R' F2 R2 D' B L2
U2 R' F2 R2 B D' L2
L2 U2 R B' F2 D' L2
U' R' F2 B R2 D B
U' R' F2 B R2 D' B
U' R' F2 B R2 D2 B
U' R' F2 B R2 B D
U' R' F2 B R2 B D'
U' R' F2 B R2 B D2
U' R' F2 B' R2 D B
U' R' F2 B' R2 D' B
U' R' F2 B' R2 D2 B
U' R' F2 B' R2 B D
U' R' F2 B' R2 B D'
U' R' F2 B' R2 B D2
U' R' F2 B2 R2 D B
U' R' F2 B2 R2 D' B
U' R' F2 B2 R2 D2 B
U' R' F2 B2 R2 B D
U' R' F2 B2 R2 B D'
U' R' F2 B2 R2 B D2
U R' F2 L R2 B L2
B R' F2 R2 B D L2
U R' F2 L' R2 D B
U R' F2 L' R2 D' B
U R' F2 L' R2 D2 B
U R' F2 L' R2 B D
U R' F2 L' R2 B D'
U R' F2 L' R2 B D2
L2 U2 R' U R2 F2 B'
L2 U2 R' U R2 B' F2
U R' F2 L' B R2 B
L2 U2 R' U F2 R2 B'
L2 U2 R' U F2 B' R2
U R' F2 L' B' R2 B
U R' F2 L' B2 R2 B
L2 U2 R' U B' R2 F2
L2 U2 R' U B' F2 R2
U R' F2 R2 L B L2
U R' F2 R2 L' D B
U R' F2 R2 L' D' B
U R' F2 R2 L' D2 B
U R' F2 R2 L' B D
U R' F2 R2 L' B D'
U R' F2 R2 L' B D2
U R' F2 R2 D L' B
U R' F2 R2 D B L'
U R' F2 R2 D' L' B
U R' F2 R2 D' B L'
U R' F2 R2 D2 L' B
U R' F2 R2 D2 B L'
U R' F2 R2 B L' D
U R' F2 R2 B L' D'
U R' F2 R2 B L' D2
U R' F2 R2 B D L'
U R' F2 R2 B D' L'
U R' F2 R2 B D2 L'
U R' F2 R2 B' L' B2
L' U2 R2 U R' F2 B
L' U2 R2 U R' B F2
L' U2 R2 U F2 R' B
U R' F2 B L' R2 B
U R' F2 B R2 L' B
U R' F2 B R2 B L'
U2 R' B U F2 R2 B
U R' F2 B' L' R2 B
U R' F2 B' R2 L' B
U R' F2 B' R2 B L'
U R' F2 B2 L' R2 B
U R' F2 B2 R2 L' B
U R' F2 B2 R2 B L'
U' R' B F2 R2 D B
U' R' B F2 R2 D' B
U' R' B F2 R2 D2 B
U' R' B F2 R2 B D
U' R' B F2 R2 B D'
U' R' B F2 R2 B D2
L2 U2 R2 U R' F2 B'
L2 U2 R2 U R' B' F2
L2 U2 R2 U F2 R' B'
U2 R' B' U F2 R2 B
L' U2 D R2 U R' B
U R' B F2 L' R2 B
U' R' B' F2 R2 D B
U' R' B' F2 R2 D' B
U' R' B' F2 R2 D2 B
U' R' B' F2 R2 B D
U' R' B' F2 R2 B D'
U' R' B' F2 R2 B D2
U R' B F2 R2 L' B
U R' B F2 R2 B L'
B R' B' U' F2 R2 B
L2 U2 D R2 U R' B'
B2 R' B2 U' F2 R2 B
U2 R' B2 U F2 R2 B
U R' B' F2 L' R2 B
U' R' B2 F2 R2 D B
U' R' B2 F2 R2 D' B
U' R' B2 F2 R2 D2 B
U' R' B2 F2 R2 B D
U' R' B2 F2 R2 B D'
U' R' B2 F2 R2 B D2
U R' B' F2 R2 L' B
U R' B' F2 R2 B L'
U R' B2 F2 L' R2 B
U R' B2 F2 R2 L' B
U R' B2 F2 R2 B L'
D' R2 L2 U' R B' R2
D' R2 L2 U' R' D B'
D' R2 L2 U' R' D' B'
D' R2 L2 U' R' D2 B'
D' R2 L2 U' R' B' D
D' R2 L2 U' R' B' D'
D' R2 L2 U' R' B' D2
D' R2 L2 U' R2 B' R
D' R2 L2 U' D R' B'
D' R2 L2 U' D' R' B'
D' R2 L2 U' D2 R' B'
D' R2 L2 D U' R' B'
D' R2 L2 D' U' R' B'
D' R2 L2 D2 U' R' B'
D' R2 L2 F U' R' B'
U2 R2 L2 U R' F2 B'
U2 R2 L2 U R' B' F2
U2 R2 L2 U F2 R' B'
D' R2 L2 F' U' R' B'
D' R2 L2 F2 U' R' B'
U' R2 L2 F2 R' B' L2
R U2 F U F' U F2
R U2 F U2 F D' L2
D2 R2 U F B2 L U2
R' U2 F2 R2 D' L2 B
R' U2 F2 R2 D' B L2
R' U2 F2 R2 B D' L2
U2 R2 U R F2 R2 B
D2 R2 U B2 F L U2
U2 R2 U F2 R2 B R
D R2 U F U2 F' R'
R' U2 B U F2 R2 B
U2 R2 U' F U2 R' F
U2 R2 U' F U2 F R'
L2 U2 B U R F2 B2
L2 U2 B U R B2 F2
L2 U2 B U B2 R F2
U' R2 U2 F U2 R' F
U' R2 U2 F U2 F R'
R' U2 B' U F2 R2 B
D2 R2 D L2 U' R' B'
L2 U2 B' R F2 D' L2
R' U2 B2 U F2 R2 B
L2 U2 B2 U B R F2
U' R2 F R F R2 B
U R2 F R2 U2 R F
U' R2 F' D2 F' R' B2
U' R2 F2 R2 D B R
U' R2 F2 R2 D' B R
U' R2 F2 R2 D2 B R
U' R2 F2 R2 B R D
U' R2 F2 R2 B R D'
U' R2 F2 R2 B R D2
U' R2 F2 R2 B D R
U' R2 F2 R2 B D' R
U' R2 F2 R2 B D2 R
U' R2 F2 R2 B' R B2
U' R2 F2 R2 B2 R B'
U' R2 F2 U2 F' U2 R'
U' R2 F2 D R2 B R
U' R2 F2 D' R2 B R
U' R2 F2 D2 R2 B R
F2 R2 F2 U' B R F2
U' R2 F2 B' R2 B R'
U' R2 B' F2 R2 B R'
L' D U2 R2 U R' B
L2 D U' B' D' R F2
L2 D U2 R2 U R' B'
D2 U L' B2 U2 R B
F2 U L' F' U' L U'
U2 D L2 R2 U R' B'
D2 U L2 B2 U2 B R
U2 D R2 L2 U R' B'
U2 D R2 U' F U2 R'
R' D' L F2 L U' B'
D2 U F2 L' F' B2 U2
D2 U F2 L' B2 F' U2
R' D' L2 R F2 U' B'
R' D' L2 R' F2 U' B'
R' D' L2 R2 F2 U' B'
D2 U F2 B2 L' F' U2
R' D' L2 U' D R2 B'
R' D' L2 U' D B' R2
R' D' L2 U' B' D R2
R' D' L2 D U' R2 B'
R' D' L2 D U' B' R2
R' D' L2 F2 R U' B'
R' D' L2 F2 R' U' B'
R' D' L2 F2 R2 U' B'
R' D' L2 F2 U' D B'
R' D' L2 F2 U' D' B'
R' D' L2 F2 U' D2 B'
R' D' L2 F2 U' B' D
R' D' L2 F2 U' B' D'
R' D' L2 F2 U' B' D2
R' D' L2 F2 D U' B'
R' D' L2 F2 D' U' B'
R' D' L2 F2 D2 U' B'
R2 D' L2 R U' R2 B'
R2 D' L2 R U' B' R2
R2 D' L2 R2 U' R B'
R2 D' L2 R2 U' B' R
R' D' R L2 F2 U' B'
R2 D' L2 U' R B' R2
R2 D' L2 U' R' D B'
R2 D' L2 U' R' D' B'
R2 D' L2 U' R' D2 B'
R2 D' L2 U' R' B' D
R2 D' L2 U' R' B' D'
R2 D' L2 U' R' B' D2
R2 D' L2 U' R2 B' R
R2 D' L2 U' D R' B'
R2 D' L2 U' D' R' B'
R2 D' L2 U' D2 R' B'
R2 D' L2 D U' R' B'
R2 D' L2 D' U' R' B'
R2 D' L2 D2 U' R' B'
R2 D' L2 F U' R' B'
R2 D' L2 F' U' R' B'
R2 D' L2 F2 U' R' B'
R D' L2 R U' R' B'
R D' L2 R' U' R B'
R D' L2 R' U' B' R
R D' L2 R2 U' R2 B'
R D' L2 R2 U' B' R2
R2 D' R L2 U' R2 B'
R2 D' R L2 U' B' R2
R' D' R' L2 F2 U' B'
D2 U B2 L' U2 R B
D2 U B2 L2 U2 R B'
D2 U B2 L2 U2 B' R
R D' R L2 U' R' B'
R' D' R2 L2 F2 U' B'
D2 U B2 F2 L' F' U2
R D' R' L2 U' R B'
R D' R' L2 U' B' R
R2 D' R2 L2 U' R B'
R2 D' R2 L2 U' B' R
R D' R2 L2 U' R2 B'
R D' R2 L2 U' B' R2
D2 U' L2 R B' L2 F
U' D' L2 U' R B' L2
D' U' L2 U' R B' L2
U' D' L2 U' B' L2 R
U' D' L2 U' B' R L2
D' U' L2 U' B' L2 R
D' U' L2 U' B' R L2
L2 D' U' R D F2 B'
L2 D' U' R D B' F2
L2 D' U' R B' D F2
D2 U' L2 B' L2 R F
D2 U' L2 B' R L2 F
U' D' R U L2 U' B'
D' U' R U L2 U' B'
L2 D' U' B' R D F2
L2 D' U' B' D R F2
D2 U' R L2 B' L2 F
D2 U' R U2 F B2 U2
D2 U' R U2 B2 F U2
D2 U' R F' D2 F2 B2
D2 U' R F' D2 B2 F2
R' D' F2 L2 R2 U' B
R' D' F2 L2 U F' U2
R' D' F2 R2 L2 U' B
F2 U' R2 D' F2 B R
F2 U' R2 D' B F2 R
F2 U' R2 B D' F2 R
R D' B2 D L2 F2 B'
R D' B2 D L2 B' F2
F' U' F' R2 D B R'
U' D2 L2 R B' L2 F
U' D2 L2 B' L2 R F
U' D2 L2 B' R L2 F
U' D2 R L2 B' L2 F
U' D2 R U2 F B2 U2
U' D2 R U2 B2 F U2
D U2 L2 R2 U R' B'
L D2 R' U' B R2 F'
U' D2 R F' D2 F2 B2
U' D2 R F' D2 B2 F2
U D2 L' B2 U2 R B
R' D2 U L2 B2 U2 B
R' D2 U F L2 B2 U2
R' D2 U F B2 L2 U2
R' D2 U B2 L2 U2 B'
R' D2 U B2 F L2 U2
U D2 L2 B2 U2 B R
R2 D2 U F B2 L U2
L2 D2 U B2 U2 B R
L2 D2 U' R D2 F2 B'
L2 D2 U' R D2 B' F2
R2 D2 U B2 F L U2
D U2 R2 L2 U R' B'
L D2 U' R' B R2 F'
D U2 R2 U' F U2 R'
F2 U2 L' F' U F U
U D2 F2 L' F' B2 U2
U D2 F2 L' B2 F' U2
U D2 F2 B2 L' F' U2
U D2 B2 L' U2 R B
U D2 B2 L2 U2 R B'
U D2 B2 L2 U2 B' R
U D2 B2 F2 L' F' U2
U F L' U2 R' F' R
U F L2 D2 B' L U2
R' F U' R2 D F B2
R' F U' R2 D B2 F
R' F U' R2 F D B2
U2 F U F' U R F2
R' F U' F R2 D B2
L2 F U' F' R F2 B'
L2 F U' F' R B' F2
L2 F U' F' B' R F2
L2 F U' B' F' R F2
U F U' F' U' R F2
U F U2 R F' R F2
U F U2 R' F' R F2
U F U2 R2 F' R F2
B2 D L2 D' R F2 B'
B2 D L2 D' R B' F2
B2 D L2 D' B' R F2
U F U2 F U2 L' U2
U F U2 F' R F2 D
U F U2 F' R F2 D'
U F U2 F' R F2 D2
U F U2 F' R' F2 R2
U F U2 F' R2 F2 R'
B2 D L2 B' D' R F2
U' F D2 F R2 B R'
U F D2 L2 B' L U2
B2 D R2 U L2 R' B'
B2 D R2 U R' L2 B'
U F D2 B U2 R' F
U F D2 B U2 F R'
U F D2 B2 U2 F R
U F B U2 F' R F2
R' F' L U' F' R2 B
U F B' U2 F' R F2
R' F' L' U' F' R2 B
U F B2 U2 F' R F2
F' D F R2 U' R' F2
F' D F R2 U' F2 R'
R' F' L2 U' F' R2 B
R' F' U F2 U2 R2 F
R' F' U F2 U2 F R2
R' F' U' F' R2 D B
R' F' U' F' R2 D' B
R' F' U' F' R2 D2 B
R' F' U' F' R2 B D
R' F' U' F' R2 B D'
R' F' U' F' R2 B D2
R' F' U' F' B R2 B
R' F' U' F' B' R2 B
R' F' U' F' B2 R2 B
R' F' U' B F' R2 B
R' F' U' B' F' R2 B
R' F' U' B2 F' R2 B
R2 F' U F2 U2 R' F
R2 F' U F2 U2 F R'
U' F' U2 F2 U2 F R
R2 F' U' D2 F' R' B2
R2 F' U' F' R2 B R
B' D' L2 B U' R B2
B' D' L2 B U' B2 R
U' F' D2 F R F2 B2
U' F' D2 F R B2 F2
U' F' D2 F B2 R F2
R F' D R2 U' R2 F'
U' F' D2 B2 F R F2
R2 F' D2 U' F' R' B2
R F' D2 F' B2 D L2
R F' D2 B2 D L2 F'
R F' D2 B2 D F' L2
R F' D2 B2 F' D L2
U' F2 L D2 L' R2 B
U' F2 L D2 R2 L' B
U' F2 L D2 R2 B L'
U' F2 L' F' U2 F L
D' F2 L2 U L F' U2
D' F2 L2 U F' L U2
U F2 L F' L2 B' U2
U' F2 R U2 L' U2 B'
U F2 L' D F' U2 F
U F2 L' D' F' U2 F
U' F2 R F2 R F2 B
U' F2 R F2 R B F2
U F2 L' D2 F' U2 F
U F2 L' F' U2 D F
U F2 L' F' U2 D' F
U F2 L' F' U2 D2 F
U F2 L' F' U2 F D
U F2 L' F' U2 F D'
U F2 L' F' U2 F D2
U F2 L' F' D U2 F
U F2 L' F' D' U2 F
U F2 L' F' D2 U2 F
U F2 L' F' B U2 F
U F2 L' F' B' U2 F
U F2 L' F' B2 U2 F
U F2 L' B F' U2 F
U F2 L' B' F' U2 F
U F2 L' B2 F' U2 F
