B R2 D' F2 R
F2 L U L' B R
F2 L U B L' R
F2 L U B R L'
F2 L' U L B R
U2 L' U' L U' B
F2 L2 U L2 B R
F2 L2 U B L2 R
F2 L2 U B R L2
B' L2 U B2 L2 R'
B' L2 U B2 R' L2
L U D2 L' B R2
L U D2 B L' R2
L U D2 B R2 L'
F2 R U' R' U B
L U B D2 L' R2
L U B D2 R2 L'
L2 U B2 R' B' L2
L2 U' L U2 L B
L U' L2 U2 L B
B R F2 R D' F2
B2 R2 D' F2 R B'
B2 R2 D' F2 B' R
B2 R2 D' B' F2 R
B R2 D' R F2 R
B R2 D' R' F2 R
B R2 D' R2 F2 R
B R2 D' F2 R D
B R2 D' F2 R D'
B R2 D' F2 R D2
B R2 D' F2 D R
B R2 D' F2 D' R
B R2 D' F2 D2 R
B R2 F2 D' R F2
B2 R2 B' D' F2 R
B' R2 B2 D' F2 R
R2 D' R F2 R B
B U F2 U' R F2
R2 D' R2 F2 B R
R2 D' R2 B F2 R
L D' B2 U B' L'
L D2 U L' B R2
L D2 U B L' R2
L D2 U B R2 L'
B U2 L' U' L U'
B D R2 D' F2 R
B D' R2 D' F2 R
U F2 U' B R F2
B D2 R2 D' F2 R
D2 B R2 D' F2 R
D' B R2 D' F2 R
D B R2 D' F2 R
F2 B R U' R' U
F2 B R2 D' R' F2
F2 B R2 D' F2 R'
L2 B2 U R' B' L2
B F2 R U' R' U
B F2 R2 D' R' F2
B F2 R2 D' F2 R'
L2 D2 U' L R2 F' U2
L D2 U L B L2 R2
L D2 U L B R2 L2
L D2 U L' B R2 D
L D2 U L' B R2 D'
L D2 U L' B R2 D2
L D2 U L' B' R2 B2
L D2 U L' B2 R2 B'
L2 D2 U' R2 L F' U2
L2 D2 U' R2 F' L U2
B U' B2 U D2 F2 R
B U' B2 U' L' B2 U2
B U' B2 U' B2 L' U2
L D2 U B L' R2 D
L D2 U B L' R2 D'
L D2 U B L' R2 D2
L D2 U B R2 L' D
L D2 U B R2 L' D'
L D2 U B R2 L' D2
L D2 U B R2 D L'
L D2 U B R2 D' L'
L D2 U B R2 D2 L'
L D2 U B' L' R2 B2
L D2 U B' L' B2 R2
L D2 U B' R2 L' B2
L D2 U B' R2 B2 L'
L D2 U B2 R2 B' L'
B U' B2 D2 U F2 R
B' U2 L' U' L U' B2
B2 U2 L' U' L U' B'
B U2 L' U' L U' D
B U2 L' U' L U' D'
B U2 L' U' L U' D2
B U2 L' U' L D U'
B U2 L' U' L D' U'
B U2 L' U' L D2 U'
B U2 L' U' D L U'
B U2 L' U' D' L U'
B U2 L' U' D2 L U'
B U2 L' D U' L U'
B U2 L' D' U' L U'
B U2 L' D2 U' L U'
B U2 L' B2 U R' U
B U2 L2 D L U2 F2
B U2 L2 D' L B2 U2
B U2 L2 D' B2 U2 R'
U D2 F2 U' B R F2
L D2 B L' R2 D' F2
L D2 B R2 L' D' F2
L D2 B R2 D' L' F2
L D2 B' U L' R2 B2
L D2 B' U L' B2 R2
L D2 B' U R2 L' B2
L D2 B' U R2 B2 L'
L D2 B' U B2 L' R2
L D2 B' U B2 R2 L'
B U2 D L' U' L U'
B U2 D' L' U' L U'
L D2 B2 U R2 B' L'
L D2 B2 U B' L' R2
L D2 B2 U B' R2 L'
B U2 D2 L' U' L U'
B U2 B L' U' L U'
B U2 B' L' U' L U'
L2 F U B2 R' B' L2
L2 F U' L U2 L B
B U2 B2 L' U' L U'
F2 D L U L' B R
F2 D L U B L' R
F2 D L U B R L'
F2 D L' U L B R
R' F D F R F' B
R' F D F R B F'
B' D L2 U' L U2 L
F2 D L2 U L2 B R
F2 D L2 U B L2 R
F2 D L2 U B R L2
B' D L2 B2 U L2 R'
B' D L2 B2 U R' L2
F2 D R U' R' U B
B D R F2 R D' F2
B' D R2 D' F2 R B2
B' D R2 D' F2 B2 R
B' D R2 D' B2 F2 R
B2 D R2 D' F2 R B'
B2 D R2 D' F2 B' R
B2 D R2 D' B' F2 R
B2 D R2 B' D' F2 R
B D R2 D' R F2 R
B D R2 D' R' F2 R
B D R2 D' R2 F2 R
B D R2 D' F2 R D
B D R2 D' F2 R D'
B D R2 D' F2 R D2
B D R2 D' F2 D R
B D R2 D' F2 D' R
B D R2 D' F2 D2 R
B D R2 F2 D' R F2
L2 F B2 U R' B' L2
B D U F2 U' R F2
B D U2 L' U' L U'
B' D F2 L2 U L2 R
B' D F2 L2 U R L2
B D F2 R U' R' U
B D F2 R2 D' R' F2
B D F2 R2 D' F2 R'
F2 D B R U' R' U
F2 D B R2 D' R' F2
F2 D B R2 D' F2 R'
B2 D B' R2 D' F2 R
L2 F' U B2 R' B' L2
L2 F' U' L U2 L B
F2 D' L U L' B R
F2 D' L U B L' R
F2 D' L U B R L'
F' D' L B' U L' B2
F' D' L B' U B2 L'
F2 D' L' U L B R
U F' U' D2 F B R'
U F' U' D2 B R' F
U F' U' D2 B F R'
U F' U' F' B R F2
U F' U' B F' R F2
F2 D' L2 U L2 B R
F2 D' L2 U B L2 R
F2 D' L2 U B R L2
F2 D' R U' R' U B
B D' R F2 R D' F2
U F' D2 U' F B R'
U F' D2 U' B R' F
U F' D2 U' B F R'
B2 D' R2 D' F2 R B'
B2 D' R2 D' F2 B' R
B2 D' R2 D' B' F2 R
B2 D' R2 B' D' F2 R
B D' R2 D' R F2 R
B D' R2 D' R' F2 R
B D' R2 D' R2 F2 R
B D' R2 D' F2 R D
B D' R2 D' F2 R D'
B D' R2 D' F2 R D2
B D' R2 D' F2 D R
B D' R2 D' F2 D' R
B D' R2 D' F2 D2 R
D2 F2 L U L' B R
D' F2 L U L' B R
D2 F2 L U B L' R
D2 F2 L U B R L'
B D' R2 F2 D' R F2
D' F2 L U B L' R
D' F2 L U B R L'
L2 F' B2 U R' B' L2
B D' U F2 U' R F2
D2 F2 L' U L B R
D' F2 L' U L B R
D F2 L U L' B R
D F2 L U B L' R
D F2 L U B R L'
D2 F2 L2 U L2 B R
B D' U2 L' U' L U'
D' F2 L2 U L2 B R
D2 F2 L2 U B L2 R
D2 F2 L2 U B R L2
D' F2 L2 U B L2 R
D' F2 L2 U B R L2
U F2 L U' B R F2
D F2 L' U L B R
R' F2 R U L' U' B
D2 F2 R U' R' U B
D' F2 R U' R' U B
U F2 L' U' B R F2
D F2 L2 U L2 B R
D F2 L2 U B L2 R
D F2 L2 U B R L2
R' F2 R B U L' U'
U F2 L2 U' B R F2
D F2 R U' R' U B
B D' F2 R U' R' U
B D' F2 R2 D' R' F2
B D' F2 R2 D' F2 R'
F2 D' B R U' R' U
F2 D' B R2 D' R' F2
F2 D' B R2 D' F2 R'
R F2 R U' R2 U B
R' F2 U L' U' R B
B2 D' B' R2 D' F2 R
R F2 R' B R2 D' F2
L2 F2 U B2 R' B' L2
L2 F2 U' L U2 L B
F' D2 L U L' B R'
F' D2 L U B L' R'
F' D2 L U B R' L'
U' F2 U2 D' L2 B R
U' F2 U2 D' B L2 R
U' F2 U2 D' B R L2
F2 D2 L U L' B R
F2 D2 L U B L' R
F2 D2 L U B R L'
U' F2 U2 B R D' L2
U' F2 U2 B D' L2 R
U' F2 U2 B D' R L2
F' D2 L' U L B R'
U' F2 D R2 F' U2 R'
F2 D2 L' U L B R
R F2 U' R' U B R2
U F2 U' B R F2 D
U F2 U' B R F2 D'
U F2 U' B R F2 D2
U F2 U' B R' F2 R2
U F2 U' B R2 F2 R'
U F2 U' B' R F2 B2
U F2 U' B' R B2 F2
F' D2 L2 U L2 B R'
U F2 U' B2 R F2 B'
U F2 U' B2 R B' F2
F' D2 L2 U B L2 R'
F' D2 L2 U B R' L2
U' F2 D' U2 L2 B R
F2 D2 L2 U L2 B R
U' F2 D' U2 B L2 R
U' F2 D' U2 B R L2
F2 D2 L2 U B L2 R
F2 D2 L2 U B R L2
U' F2 D' B L2 R F
U' F2 D' B R L2 F
F2 D2 R U' R' U B
R2 F2 D' R' F2 R2 B
U' F2 B R D' L2 F
U F2 D' L2 U' B R
D2 F2 B R U' R' U
D' F2 B R U' R' U
D2 F2 B R2 D' R' F2
D2 F2 B R2 D' F2 R'
D' F2 B R2 D' R' F2
D' F2 B R2 D' F2 R'
U' F2 B D' L2 R F
U' F2 B D' R L2 F
B D2 R F2 R D' F2
B2 D2 R2 D' F2 R B'
B2 D2 R2 D' F2 B' R
B2 D2 R2 D' B' F2 R
D F2 B R U' R' U
D F2 B R2 D' R' F2
D F2 B R2 D' F2 R'
B2 D2 R2 B' D' F2 R
B D2 R2 D' R F2 R
B D2 R2 D' R' F2 R
B D2 R2 D' R2 F2 R
B D2 R2 D' F2 R D
B D2 R2 D' F2 R D'
B D2 R2 D' F2 R D2
B D2 R2 D' F2 D R
B D2 R2 D' F2 D' R
B D2 R2 D' F2 D2 R
B D2 R2 F2 D' R F2
L2 F2 B2 U R' B' L2
B D2 U F2 U' R F2
B D2 U2 L' U' L U'
L B L' R2 D' F2 R
D2 B R F2 R D' F2
D' B R F2 R D' F2
F' D2 B R' U' R U
F' D2 B R2 D' R F2
B D2 F2 R U' R' U
D B R F2 R D' F2
B D2 F2 R2 D' R' F2
B D2 F2 R2 D' F2 R'
F2 D2 B R U' R' U
D2 B R2 D' R F2 R
D2 B R2 D' R' F2 R
D2 B R2 D' R2 F2 R
F2 D2 B R2 D' R' F2
F2 D2 B R2 D' F2 R'
D2 B R2 D' F2 R D
D2 B R2 D' F2 R D'
D2 B R2 D' F2 R D2
D2 B R2 D' F2 D R
D2 B R2 D' F2 D' R
D2 B R2 D' F2 D2 R
D' B R2 D' R F2 R
D' B R2 D' R' F2 R
D' B R2 D' R2 F2 R
D' B R2 D' F2 R D
D' B R2 D' F2 R D'
D' B R2 D' F2 R D2
D' B R2 D' F2 D R
D' B R2 D' F2 D' R
D' B R2 D' F2 D2 R
D2 B R2 F2 D' R F2
D' B R2 F2 D' R F2
B2 D2 B' R2 D' F2 R
D2 B U F2 U' R F2
D' B U F2 U' R F2
D B R2 D' R F2 R
D B R2 D' R' F2 R
D B R2 D' R2 F2 R
D B R2 D' F2 R D
D B R2 D' F2 R D'
D B R2 D' F2 R D2
D B R2 D' F2 D R
D B R2 D' F2 D' R
D B R2 D' F2 D2 R
L B R2 L' D' F2 R
D B R2 F2 D' R F2
D2 B U2 L' U' L U'
D' B U2 L' U' L U'
D B U F2 U' R F2
U B U F2 B' U' R
U B U B' U L' U2
U B U B' F2 U' R
D2 B D R2 D' F2 R
D' B D R2 D' F2 R
D B U2 L' U' L U'
D2 B D' R2 D' F2 R
D' B D' R2 D' F2 R
D B D R2 D' F2 R
F2 B R U' R' U D
F2 B R U' R' U D'
F2 B R U' R' U D2
F2 B R U' R' D U
F2 B R U' R' D' U
F2 B R U' R' D2 U
F2 B R U' D R' U
F2 B R U' D' R' U
F2 B R U' D2 R' U
D2 B D2 R2 D' F2 R
F' B R F' R D' F2
D' B D2 R2 D' F2 R
F2 B R D U' R' U
F2 B R D' U' R' U
R2 B D' R F2 R B
F2 B R D2 U' R' U
F2 B R F U' R' U
R2 B D' R2 F2 B R
R2 B D' R2 B F2 R
F2 B R F' U' R' U
F2 B R F2 U' R' U
D B D' R2 D' F2 R
F2 B R' U' R U R
B F R F R D' F2
D B D2 R2 D' F2 R
F B R F R D' F2
L B D' B2 U L' B2
L B D' B2 U B2 L'
B F R' U' R B U
L B D2 L' R2 D' F2
F2 B R2 U' R2 U R
F' B R2 F D' F2 R
F' B R2 F' D' R F2
F2 B R2 D R' D2 F2
L B D2 R2 L' D' F2
L B D2 R2 D' L' F2
F2 B R2 D' R F2 R2
B F R' F D R F'
F2 B R2 D' R' F2 D
F2 B R2 D' R' F2 D'
F2 B R2 D' R' F2 D2
F2 B R2 D' F R' F
F2 B R2 D' F2 R' D
F2 B R2 D' F2 R' D'
F2 B R2 D' F2 R' D2
F2 B R2 D' F2 D R'
F2 B R2 D' F2 D' R'
F2 B R2 D' F2 D2 R'
U' B F2 R D' L2 F
F2 B R2 D2 R' D F2
F B R' U' R B U
F2 B R2 F D' R' F2
F2 B R2 F D' F2 R'
F2 B R2 F' D' R' F2
F2 B R2 F' D' F2 R'
F2 B R2 F2 D' R' F2
F2 B R2 F2 D' F2 R'
D2 B F2 R U' R' U
D' B F2 R U' R' U
D2 B F2 R2 D' R' F2
D2 B F2 R2 D' F2 R'
U' B F2 D' L2 R F
F B R' F D R F'
U' B F2 D' R L2 F
D' B F2 R2 D' R' F2
D' B F2 R2 D' F2 R'
B F R2 D' F R F
F' B U F' U' R F
B F R2 F D' R F2
B F R2 F' D' F2 R
F2 B U F U' F' R
F2 B U F2 U' F2 R
F B R2 D' F R F
B F U L F U' F'
F B R2 F D' R F2
F B R2 F' D' F2 R
D B F2 R U' R' U
F B U L F U' F'
D B F2 R2 D' R' F2
D B F2 R2 D' F2 R'
B F U F' U' F R
F B U F' U' F R
U2 B' L' U' L U' B2
D2 B' L2 U B2 L2 R'
D2 B' L2 U B2 R' L2
D' B' L2 U B2 L2 R'
D' B' L2 U B2 R' L2
L B' L U B2 L2 R'
L B' L U B2 R' L2
F2 B D R U' R' U
F2 B D R2 D' R' F2
F2 B D R2 D' F2 R'
D B' L2 U B2 L2 R'
D B' L2 U B2 R' L2
F2 B D' R U' R' U
F2 B D' R2 D' R' F2
F2 B D' R2 D' F2 R'
F2 B D2 R U' R' U
F2 B D2 R2 D' R' F2
F2 B D2 R2 D' F2 R'
F2 B' L U L' R B2
F2 B' L U L' B2 R
F2 B' L U R L' B2
F2 B' L U R B2 L'
F2 B' L U B2 L' R
F2 B' L U B2 R L'
D2 B' R2 B2 D' F2 R
D' B' R2 B2 D' F2 R
U' B' U' L' B U2 B
F2 B' L' U L R B2
F2 B' L' U L B2 R
F2 B' L' U R L B2
U' B' U' B L' U2 B
D B' R2 B2 D' F2 R
F2 B' L2 U L2 R B2
F2 B' L2 U L2 B2 R
F2 B' L2 U R L2 B2
F2 B' L2 U R B2 L2
F2 B' L2 U B2 L2 R
F2 B' L2 U B2 R L2
L B' U L B2 L2 R'
L B' U L B2 R' L2
F2 B' R U' R' U B2
L B' U B2 D2 L' R2
L B' U B2 D2 R2 L'
L B' U' L2 U2 L B2
F2 B' R B2 U L U'
B F' R F' R D' F2
R2 B' D' R F2 R B
R2 B' D' R2 F2 B R
R2 B' D' R2 B F2 R
F2 B' U R B2 D L2
B F' R2 F D' F2 R
B F' R2 F' D' R F2
F2 B' U B2 R D L2
F2 B' U B2 D L2 R
F2 B' U B2 D R L2
B F' U F' U' R F
F2 B' D L2 U L2 R
F2 B' D L2 U R L2
U2 B2 L' U' L U' B'
B' F2 L U L' R B2
B' F2 L U L' B2 R
B' F2 L U R L' B2
B' F2 L U R B2 L'
B' F2 L U B2 L' R
B' F2 L U B2 R L'
B' F2 L' U L R B2
B' F2 L' U L B2 R
B' F2 L' U R L B2
B2 F2 L' U L R B'
B2 F2 L' U L B' R
B2 F2 L' U R L B'
F2 B2 L' U L R B'
F2 B2 L' U L B' R
F2 B2 L' U R L B'
L' B2 R' U R U B'
B' F2 L2 U L2 R B2
B' F2 L2 U L2 B2 R
B' F2 L2 U R L2 B2
B' F2 L2 U R B2 L2
B' F2 L2 U B2 L2 R
B' F2 L2 U B2 R L2
B2 F2 L2 U L2 R B'
B2 F2 L2 U L2 B' R
B2 F2 L2 U R L2 B'
F2 B2 L2 U L2 R B'
F2 B2 L2 U L2 B' R
F2 B2 L2 U R L2 B'
D2 B2 R2 D' F2 R B'
D2 B2 R2 D' F2 B' R
D2 B2 R2 D' B' F2 R
B' F2 R U' R' U B2
D' B2 R2 D' F2 R B'
D' B2 R2 D' F2 B' R
D' B2 R2 D' B' F2 R
D2 B2 R2 B' D' F2 R
D' B2 R2 B' D' F2 R
U' B2 U D2 F2 R B'
U' B2 U D2 F2 B' R
U' B2 U D2 B' F2 R
B' F2 R B2 U L U'
B2 F2 R U' R' U B'
F2 B2 R U' R' U B'
L2 B2 U R B' L2 R2
L2 B2 U R B' R2 L2
D B2 R2 D' F2 R B'
D B2 R2 D' F2 B' R
D B2 R2 D' B' F2 R
L2 B2 U R' B L2 B2
L2 B2 U R' B' L2 D
L2 B2 U R' B' L2 D'
L2 B2 U R' B' L2 D2
L2 B2 U R' B2 L2 B
L2 B2 U R2 B' L2 R
L2 B2 U R2 B' R L2
B F2 R U' R' U D
B F2 R U' R' U D'
B F2 R U' R' U D2
B F2 R U' R' D U
B F2 R U' R' D' U
B F2 R U' R' D2 U
B F2 R U' D R' U
B F2 R U' D' R' U
B F2 R U' D2 R' U
B F2 R D U' R' U
B F2 R D' U' R' U
D B2 R2 B' D' F2 R
U' B2 U' B2 L' U2 B
B F2 R D2 U' R' U
B F2 R F U' R' U
B F2 R F' U' R' U
B F2 R F2 U' R' U
B F2 R' U' R U R
B2 F2 R2 D' R' F2 B'
B2 F2 R2 D' R' B' F2
B2 F2 R2 D' F2 R' B'
B' F2 U R B2 D L2
F2 B2 R2 D' R' F2 B'
F2 B2 R2 D' R' B' F2
F2 B2 R2 D' F2 R' B'
L B2 U D2 R2 B' L'
L B2 U D2 B' L' R2
L B2 U D2 B' R2 L'
B' F2 U B2 R D L2
L B2 U B' D2 L' R2
L B2 U B' D2 R2 L'
B' F2 U B2 D L2 R
B' F2 U B2 D R L2
B F2 R2 U' R2 U R
B F2 R2 D R' D2 F2
B F2 R2 D' R F2 R2
B F2 R2 D' R' F2 D
B F2 R2 D' R' F2 D'
B F2 R2 D' R' F2 D2
L B2 U' L2 F U2 L
B F2 R2 D' F R' F
B F2 R2 D' F2 R' D
B F2 R2 D' F2 R' D'
B F2 R2 D' F2 R' D2
B F2 R2 D' F2 D R'
B F2 R2 D' F2 D' R'
B F2 R2 D' F2 D2 R'
B F2 R2 D2 R' D F2
B F2 R2 F D' R' F2
B F2 R2 F D' F2 R'
B F2 R2 F' D' R' F2
B F2 R2 F' D' F2 R'
B F2 R2 F2 D' R' F2
B F2 R2 F2 D' F2 R'
L2 B2 D F2 U R' B'
B F2 U F U' F' R
B F2 U F2 U' F2 R
U' B2 D2 U F2 R B'
U' B2 D2 U F2 B' R
U' B2 D2 U B' F2 R
B' F2 D L2 U L2 R
B' F2 D L2 U R L2
R2 B2 D' R F2 R B
R2 B2 D' R2 F2 B R
R2 B2 D' R2 B F2 R
U B2 D B L2 B2 R'
B F2 D R U' R' U
L2 B2 F U R' B' L2
L B2 D' B2 U L' B
L B2 D' B2 U B L'
B F2 D R2 D' R' F2
B F2 D R2 D' F2 R'
L B2 D2 U R2 B' L'
L B2 D2 U B' L' R2
L B2 D2 U B' R2 L'
L2 B2 F' U R' B' L2
B F2 D' R U' R' U
B F2 D' R2 D' R' F2
B F2 D' R2 D' F2 R'
L2 B2 F2 U R' B' L2
B F2 D2 R U' R' U
B F2 D2 R2 D' R' F2
B F2 D2 R2 D' F2 R'
