L2 D' B2 U2 B2
B' L2 U' L2 U' B
B2 L2 U' L2 U' B2
B L2 U' L2 U' B'
B' L2 U2 D F2 B
B' L2 U2 D B F2
U2 L2 U2 L2 D F2
B' L2 U2 B D F2
B2 L2 U2 B2 D F2
B' L2 D U2 F2 B
B' L2 D U2 B F2
B L2 D F U2 F
F' L2 D' B2 U2 B2
F2 L2 D' B2 U2 B2
B' L2 D' B2 U2 B'
B L2 D' F B2 U2
B L2 D' B2 F U2
F L2 D' B2 U2 B2
B L2 F U' L2 U'
B L2 F U2 D F2
B L2 F D U2 F2
B L2 F D' B2 U2
L2 U' L2 U' D' B2
L2 U' L2 U2 L2 U
L2 U' L2 D' U' B2
L2 U' L2 D2 R2 U'
L2 U2 D F2 D2 B2
D2 R2 D2 L2 D F2
L2 D U2 F2 D2 B2
R2 D F2 B2 U' B2
L2 D B U2 F2 B'
L2 D B U2 B' F2
L2 D B' U2 F2 B
L2 D B' U2 B F2
R2 D B2 F2 U' B2
L2 D B2 U2 F2 B2
L2 D B2 U2 B2 F2
L2 D' F B2 U2 B2
L2 D' F' B2 U2 B2
L2 D' F2 B2 U2 B2
L2 D' B2 U2 B2 D
L2 D' B2 U2 B2 D'
L2 D' B2 U2 B2 D2
L2 D' B2 D2 F2 U2
L2 D' B2 F U2 B2
L2 D' B2 F' U2 B2
L2 D' B2 F2 U2 B2
R2 D2 L2 R2 D F2
R2 D2 R2 L2 D F2
L2 F D' B2 U2 B2
L2 F' D' B2 U2 B2
L2 F2 D' B2 U2 B2
L2 B U2 D F2 B'
L2 B U2 D B' F2
L2 B U2 B' D F2
L2 B D U2 F2 B'
L2 B D U2 B' F2
L2 B D' B2 U2 B
L2 B' U' L2 U' B
L2 B' U2 D F2 B
L2 B' U2 D B F2
L2 B' U2 B D F2
L2 B' D U2 F2 B
L2 B' D U2 B F2
L2 B' D' B2 U2 B'
L2 B2 U' L2 U' B2
L2 B2 U2 B2 D F2
R B2 U' L B2 R'
L2 D U2 B F2 D2 B2
L2 D U2 B' F2 D2 B2
L2 D U2 B2 F2 D2 B2
L2 D F B U2 F B'
L2 D F B U2 B' F
L2 D F B' U2 F B
L2 D F B' U2 B F
L2 D F B2 U2 F B2
L2 D F B2 U2 B2 F
B2 U L2 U2 B2 D L2
B U L2 F U F' U
L2 D F' B U2 F' B'
L2 D F' B U2 B' F'
L2 D F' B' U2 F' B
L2 D F' B' U2 B F'
L2 D F' B2 U2 F' B2
L2 D F' B2 U2 B2 F'
R' D F2 B U' B' L'
R' D F2 B' U' L' B
R' D F2 B' U' B L'
R' D F2 B2 U' L' B2
R' D F2 B2 U' B2 L'
R2 D F2 R B2 U' B2
R2 D F2 R' B2 U' B2
R2 D F2 R2 B2 U' B2
R2 D F2 B2 R U' B2
R2 D F2 B2 R' U' B2
R2 D F2 B2 R2 U' B2
R2 D F2 B2 U' B2 D
R2 D F2 B2 U' B2 D'
R2 D F2 B2 U' B2 D2
R2 D F2 B2 D' R2 U'
R' D B F2 U' B' L'
L2 D B U2 F2 D B'
L2 D B U2 F2 D' B'
L2 D B U2 F2 D2 B'
L2 D B U2 F2 B' D
L2 D B U2 F2 B' D'
L2 D B U2 F2 B' D2
L2 D B U2 B' F2 D
L2 D B U2 B' F2 D'
L2 D B U2 B' F2 D2
R D F2 B2 U' L B2
L2 D B D2 B2 U2 B
L2 D B F U2 F B'
L2 D B F U2 B' F
L2 D B F' U2 F' B'
L2 D B F' U2 B' F'
R' D B' F2 U' L' B
R' D B' F2 U' B L'
L2 D B' U2 F2 D B
L2 D B' U2 F2 D' B
L2 D B' U2 F2 D2 B
L2 D B' U2 F2 B D
L2 D B' U2 F2 B D'
L2 D B' U2 F2 B D2
L2 D B' U2 B F2 D
L2 D B' U2 B F2 D'
L2 D B' U2 B F2 D2
L2 D B' D2 B2 U2 B'
L2 D B' F U2 F B
L2 D B' F U2 B F
L2 D B' F' U2 F' B
L2 D B' F' U2 B F'
R' D B2 F2 U' L' B2
R' D B2 F2 U' B2 L'
R2 D B2 R F2 U' B2
R2 D B2 R' F2 U' B2
R2 D B2 R2 F2 U' B2
L2 D B2 U2 F2 B2 D
L2 D B2 U2 F2 B2 D'
L2 D B2 U2 F2 B2 D2
L2 D B2 U2 B2 F2 D
L2 D B2 U2 B2 F2 D'
L2 D B2 U2 B2 F2 D2
R2 D B2 U' B2 D R2
L2 D B2 D2 F2 B2 U2
L2 D B2 D2 B2 F2 U2
L2 D B2 F U2 F B2
L2 D B2 F U2 B2 F
L2 D B2 F' U2 F' B2
L2 D B2 F' U2 B2 F'
R2 D B2 F2 R U' B2
R2 D B2 F2 R' U' B2
R2 D B2 F2 R2 U' B2
R2 D B2 F2 U' B2 D
R2 D B2 F2 U' B2 D'
R2 D B2 F2 U' B2 D2
R2 D B2 F2 D' R2 U'
U' D F2 U' F2 D2 B2
R D B2 F2 U' L B2
L' D' L' D' B2 U2 B2
L2 D' L B2 L' U2 B2
L D' L D' B2 U2 B2
D U F2 U2 F2 U F2
L2 D' L' B2 U2 R' B2
U D F2 U2 F2 U F2
L2 D' L2 B2 L2 U2 B2
D' U B2 U' B2 U2 B2
L2 D' R B2 U2 L B2
L2 D' R' B2 R U2 B2
L2 D' R2 B2 R2 U2 B2
D U' L F2 R U' F2
R2 D' U' F2 B2 U F2
R2 D' U' B2 F2 U F2
B2 U' L B2 R' D L2
B2 U' L B2 D L2 R'
B2 U' L B2 D R' L2
L2 D' U2 F2 D2 F2 B2
L2 D' U2 F2 D2 B2 F2
L2 D' F B2 U2 B2 D
L2 D' F B2 U2 B2 D'
L2 D' F B2 U2 B2 D2
L2 D' F B2 D2 F2 U2
L2 D' F' B2 U2 B2 D
L2 D' F' B2 U2 B2 D'
L2 D' F' B2 U2 B2 D2
L2 D' F' B2 D2 F2 U2
L2 D' F2 B2 U2 B2 D
L2 D' F2 B2 U2 B2 D'
L2 D' F2 B2 U2 B2 D2
L2 D' F2 B2 D2 F2 U2
D2 U' F' U' F R2 B
L2 D' B U2 B' D2 F2
L2 D' B D B U2 B2
L2 D' B D' B U2 B2
L2 D' B D2 B U2 B2
L2 D' B' U2 B D2 F2
L2 D' B' D B' U2 B2
L2 D' B' D' B' U2 B2
L2 D' B' D2 B' U2 B2
B' U' D F2 U' F2 B
B' U' D F2 U' B F2
L2 D' B2 L' U2 B2 R'
L2 D' B2 R U2 B2 L
L2 D' B2 U L U B2
L2 D' B2 U L' U B2
L2 D' B2 U L2 U B2
L2 D' B2 U D L2 U
D U' F2 U' F2 D2 B2
L2 D' B2 U' R U' B2
L2 D' B2 U' R' U' B2
L2 D' B2 U' R2 U' B2
L2 D' B2 U' D' R2 U'
L2 D' B2 U2 L B2 L'
L2 D' B2 U2 L2 B2 L2
L2 D' B2 U2 R' B2 R
L2 D' B2 U2 R2 B2 R2
L2 D' B2 U2 B D B
L2 D' B2 U2 B D' B
L2 D' B2 U2 B D2 B
L2 D' B2 U2 B' D B'
L2 D' B2 U2 B' D' B'
L2 D' B2 U2 B' D2 B'
L2 D' B2 D U L2 U
L2 D' B2 D' U' R2 U'
L2 D' B2 D2 F2 U2 D
L2 D' B2 D2 F2 U2 D'
L2 D' B2 D2 F2 U2 D2
L2 D' B2 D2 F2 D U2
L2 D' B2 D2 F2 D' U2
L2 D' B2 D2 F2 D2 U2
L2 D' B2 F U2 B2 D
L2 D' B2 F U2 B2 D'
L2 D' B2 F U2 B2 D2
L2 D' B2 F D2 F2 U2
L2 D' B2 F' U2 B2 D
L2 D' B2 F' U2 B2 D'
L2 D' B2 F' U2 B2 D2
L2 D' B2 F' D2 F2 U2
L2 D' B2 F2 U2 B2 D
L2 D' B2 F2 U2 B2 D'
L2 D' B2 F2 U2 B2 D2
L2 D' B2 F2 D2 F2 U2
B U' D F2 U' F2 B'
B U' D F2 U' B' F2
L' D2 L' D' B2 U2 B2
D' U' B2 D2 F2 U F2
U' D' B2 D2 F2 U F2
L D2 L D' B2 U2 B2
R2 D2 L2 R D R F2
R2 D2 L2 R' D R' F2
R2 D2 L2 R' D F2 R'
R2 D2 L2 R2 U L2 U'
R2 D2 L2 R2 D F2 D
R2 D2 L2 R2 D F2 D'
R2 D2 L2 R2 D F2 D2
R2 D2 L2 R2 F D F2
R2 D2 L2 R2 F' D F2
R2 D2 L2 R2 F2 D F2
R2 D2 L2 U L2 U' R2
R2 D2 L2 D F2 D' R2
R2 D2 L2 F R2 D F2
U D' B2 U' B2 U2 B2
R2 D2 L2 F' R2 D F2
R2 D2 L2 F2 R2 D F2
R D2 L2 R2 D F2 L'
R2 D2 R L2 D R F2
R2 D2 R' L2 D R' F2
R2 D2 R' L2 D F2 R'
R2 D2 R2 L2 U L2 U'
R2 D2 R2 L2 D F2 D
R2 D2 R2 L2 D F2 D'
R2 D2 R2 L2 D F2 D2
R2 D2 R2 L2 F D F2
R2 D2 R2 L2 F' D F2
R2 D2 R2 L2 F2 D F2
R2 D2 R2 F L2 D F2
R2 D2 R2 F' L2 D F2
R2 D2 R2 F2 L2 D F2
R D2 R2 L2 D F2 L'
L2 D2 U R2 U D B2
L2 D2 U R2 U2 R2 U'
L2 D2 U R2 D U B2
L2 D2 U R2 D2 L2 U
B2 U' B2 D L2 D R2
B2 U' B2 D2 R2 D' L2
R2 D2 U' L2 R2 D' B2
D2 U2 R2 D' F2 D2 B2
B2 U2 L U B2 L' R'
B2 U2 L U B2 R' L'
R2 D2 U' R2 L2 D' B2
U2 D2 R2 D' F2 D2 B2
D2 U2 F R2 D' F2 B
D2 U2 F R2 D' B F2
D2 U2 F R2 B D' F2
U2 D2 F R2 D' F2 B
U2 D2 F R2 D' B F2
U2 D2 F R2 B D' F2
R2 D2 F L2 R2 D F2
R2 D2 F R2 L2 D F2
U' D2 F' U' F R2 B
L2 D2 F D B2 U2 B2
F' U2 L2 U2 L2 D F2
F2 U2 L2 U2 L2 D F2
R2 D2 F' L2 R2 D F2
R2 D2 F' R2 L2 D F2
L2 D2 F' D B2 U2 B2
F U2 L2 U2 L2 D F2
R2 D2 F2 L2 R2 D F2
R2 D2 F2 R2 L2 D F2
L2 D2 F2 D B2 U2 B2
L2 D2 B U R2 U B'
L2 D2 B U2 D' F2 B'
L2 D2 B U2 D' B' F2
L2 D2 B U2 B' D' F2
L2 D2 B D B2 U2 B
L2 D2 B D' U2 F2 B'
L2 D2 B D' U2 B' F2
R2 D2 B U' R2 B' L2
R2 D2 B U' B' L2 R2
R2 D2 B U' B' R2 L2
L2 D2 B' U2 D' F2 B
L2 D2 B' U2 D' B F2
L2 D2 B' U2 B D' F2
L2 D2 B' D B2 U2 B'
R' D2 B2 U' R2 B2 L
L2 D2 B' D' U2 F2 B
L2 D2 B' D' U2 B F2
R2 D2 B' U' L2 B R2
R2 D2 B' U' B L2 R2
R2 D2 B' U' B R2 L2
L2 D2 B2 U R2 U B2
L2 D2 B2 U2 B2 D' F2
R2 D2 B2 U' L2 R2 B2
R2 D2 B2 U' L2 B2 R2
R2 D2 B2 U' R2 L2 B2
R2 D2 B2 U' R2 B2 L2
R2 D2 B2 U' B2 L2 R2
R2 D2 B2 U' B2 R2 L2
B' U2 D2 B R2 D' F2
R D2 B2 U' L R2 B2
R D2 B2 U' L B2 R2
R D2 B2 U' R2 L B2
B U2 D2 R2 D' F2 B'
B U2 D2 R2 D' B' F2
B U2 D2 R2 B' D' F2
B U2 D2 B' R2 D' F2
B' U2 B D2 R2 D' F2
D2 F R2 D2 L2 D F2
U' F U' L2 U2 L2 F'
U' F U' L2 U2 F' L2
B U2 B' D2 R2 D' F2
B2 U2 B2 D2 R2 D' F2
L2 F U' L2 U' D' B2
L2 F U' L2 U2 L2 U
L2 F U' L2 D' U' B2
L2 F U' L2 D2 R2 U'
L2 F U2 D F2 D2 B2
L2 F D U2 F2 D2 B2
L2 F D B U2 F2 B'
L2 F D B U2 B' F2
L2 F D B' U2 F2 B
L2 F D B' U2 B F2
L2 F D B2 U2 F2 B2
L2 F D B2 U2 B2 F2
R2 F D F2 B2 U' B2
R2 F D B2 F2 U' B2
L2 F D' F B2 U2 B2
L2 F D' F' B2 U2 B2
L2 F D' F2 B2 U2 B2
L2 F D' B2 U2 B2 D
L2 F D' B2 U2 B2 D'
L2 F D' B2 U2 B2 D2
L2 F D' B2 D2 F2 U2
L2 F D' B2 F U2 B2
L2 F D' B2 F' U2 B2
L2 F D' B2 F2 U2 B2
U2 F D2 R2 D' F2 B
U2 F D2 R2 D' B F2
U2 F D2 R2 B D' F2
R2 F D2 L2 R2 D F2
R2 F D2 R2 L2 D F2
L2 F B U2 D F2 B'
L2 F B U2 D B' F2
L2 F B U2 B' D F2
L2 F B D U2 F2 B'
L2 F B D U2 B' F2
L2 F B D' B2 U2 B
B D R' F2 U' B' L'
L2 F B' U' L2 U' B
L2 F B' U2 D F2 B
L2 F B' U2 D B F2
L2 F B' U2 B D F2
L2 F B' D U2 F2 B
L2 F B' D U2 B F2
L2 F B' D' B2 U2 B'
B' D U' F2 U' F2 B
B' D U' F2 U' B F2
L2 F B2 U' L2 U' B2
L2 F B2 U2 B2 D F2
B D U' F2 U' F2 B'
B D U' F2 U' B' F2
R F B2 U' L B2 R'
U F' L2 U' B' U' B
B2 D F2 U2 L2 U L2
D2 F' R2 D2 L2 D F2
U' F' U L2 B' U2 B
U' F' U' L2 U2 L2 F
U' F' U' L2 B' U2 L2
U' F' U' D2 F R2 B
U' F' U' F D2 R2 B
L2 F' U' L2 U' D' B2
L2 F' U' L2 U2 L2 U
L2 F' U' L2 D' U' B2
L2 F' U' L2 D2 R2 U'
L2 F' U2 D F2 D2 B2
L2 F' D U2 F2 D2 B2
L2 F' D B U2 F2 B'
L2 F' D B U2 B' F2
L2 F' D B' U2 F2 B
L2 F' D B' U2 B F2
L2 F' D B2 U2 F2 B2
L2 F' D B2 U2 B2 F2
R2 F' D F2 B2 U' B2
R2 F' D B2 F2 U' B2
U' F' D2 U' F R2 B
L2 F' D' F B2 U2 B2
L2 F' D' F' B2 U2 B2
L2 F' D' F2 B2 U2 B2
L2 F' D' B2 U2 B2 D
L2 F' D' B2 U2 B2 D'
L2 F' D' B2 U2 B2 D2
L2 F' D' B2 D2 F2 U2
L2 F' D' B2 F U2 B2
L2 F' D' B2 F' U2 B2
L2 F' D' B2 F2 U2 B2
L F' D' L B' U2 B
R2 F' D2 L2 R2 D F2
R2 F' D2 R2 L2 D F2
L2 F' B U2 D F2 B'
L2 F' B U2 D B' F2
L2 F' B U2 B' D F2
L2 F' B D U2 F2 B'
L2 F' B D U2 B' F2
B2 D' R2 D2 F2 U' L2
L2 F' B D' B2 U2 B
L2 F' B' U' L2 U' B
L2 F' B' U2 D F2 B
L2 F' B' U2 D B F2
L2 F' B' U2 B D F2
L2 F' B' D U2 F2 B
L2 F' B' D U2 B F2
L2 F' B' D' B2 U2 B'
L2 F' B2 U' L2 U' B2
L2 F' B2 U2 B2 D F2
R F' B2 U' L B2 R'
R' F2 L2 D L F2 R
D F2 R B2 U' L B2
D2 F2 R2 D2 L2 D F2
D F2 R2 D B2 U' B2
U' F2 U' L2 U2 L2 F2
U' F2 U' L2 U2 F2 L2
U' F2 U' F2 D2 R2 B2
U' F2 U' F2 D2 B2 R2
L2 F2 U' L2 U' D' B2
L2 F2 U' L2 U2 L2 U
L2 F2 U' L2 D' U' B2
L2 F2 U' L2 D2 R2 U'
L2 F2 U2 D F2 D2 B2
L2 F2 D U2 F2 D2 B2
L2 F2 D B U2 F2 B'
L2 F2 D B U2 B' F2
L2 F2 D B' U2 F2 B
L2 F2 D B' U2 B F2
L2 F2 D B2 U2 F2 B2
L2 F2 D B2 U2 B2 F2
U2 F2 D' L2 B2 U L2
R2 F2 D F2 B2 U' B2
R2 F2 D B2 F2 U' B2
L2 F2 D' F B2 U2 B2
L2 F2 D' F' B2 U2 B2
L2 F2 D' F2 B2 U2 B2
U2 F2 D' B2 L2 U L2
L2 F2 D' B2 U2 B2 D
L2 F2 D' B2 U2 B2 D'
L2 F2 D' B2 U2 B2 D2
L2 F2 D' B2 D2 F2 U2
L2 F2 D' B2 F U2 B2
L2 F2 D' B2 F' U2 B2
L2 F2 D' B2 F2 U2 B2
U2 F2 D2 R2 B2 D' F2
R2 F2 D2 L2 R2 D F2
R2 F2 D2 R2 L2 D F2
U2 F2 D2 B2 R2 D' F2
F' D2 R2 D2 L2 D F2
L2 F2 B U2 D F2 B'
L2 F2 B U2 D B' F2
L2 F2 B U2 B' D F2
L2 F2 B D U2 F2 B'
L2 F2 B D U2 B' F2
L2 F2 B D' B2 U2 B
F2 D2 R2 D2 L2 D F2
L2 F2 B' U' L2 U' B
L2 F2 B' U2 D F2 B
L2 F2 B' U2 D B F2
L2 F2 B' U2 B D F2
L2 F2 B' D U2 F2 B
L2 F2 B' D U2 B F2
L2 F2 B' D' B2 U2 B'
F D2 R2 D2 L2 D F2
L2 F2 B2 U' L2 U' B2
L2 F2 B2 U2 B2 D F2
D F2 B2 R U' B2 L
D F2 B2 U' B2 D L2
B' D2 U2 B R2 D' F2
R F2 B2 U' L B2 R'
B D2 U2 R2 D' F2 B'
B D2 U2 R2 D' B' F2
B D2 U2 R2 B' D' F2
B D2 U2 B' R2 D' F2
U2 B L2 U2 L2 D F2
B2 D2 F2 U2 R2 D' F2
R' B U L2 R F U2
R' B U R L2 F U2
D B R' F2 U' B' L'
L2 B U D2 R2 U B'
R2 B U L2 R2 F U2
R2 B U L2 F R2 U2
R2 B U R2 L2 F U2
L2 B U' L2 U F U2
U B U L2 U2 F L2
D2 B U2 R2 D' F2 B'
D2 B U2 R2 D' B' F2
D2 B U2 R2 B' D' F2
D2 B U2 B' R2 D' F2
R2 B U' D2 R2 B' L2
R2 B U' D2 B' L2 R2
R2 B U' D2 B' R2 L2
U B U B' L2 U2 L2
R2 B U' B' D2 L2 R2
R2 B U' B' D2 R2 L2
D B U' F2 U' F2 B'
D B U' F2 U' B' F2
L2 B U2 D F2 D B'
L2 B U2 D F2 D' B'
L2 B U2 D F2 D2 B'
L2 B U2 D F2 B' D
L2 B U2 D F2 B' D'
L2 B U2 D F2 B' D2
L2 B U2 D B' F2 D
L2 B U2 D B' F2 D'
L2 B U2 D B' F2 D2
L2 B U2 D2 B' D' F2
L2 B U2 F D F2 B'
L2 B U2 F D B' F2
L2 B U2 F B' D F2
L2 B U2 F' D F2 B'
L2 B U2 F' D B' F2
L2 B U2 F' B' D F2
B' F L2 U' L2 U' B
L2 B U2 F2 D F2 B'
L2 B U2 F2 D B' F2
L2 B U2 F2 B' D F2
B' F L2 U2 D F2 B
B' F L2 U2 D B F2
R' B D F2 U' B' L'
B' F L2 U2 B D F2
L2 B U2 B' U L2 U'
L2 B U2 B' D F2 D
L2 B U2 B' D F2 D'
L2 B U2 B' D F2 D2
B' F L2 D U2 F2 B
B' F L2 D U2 B F2
L2 B U2 B' F D F2
L2 B U2 B' F' D F2
L2 B U2 B' F2 D F2
L2 B U2 B2 D F2 B
L2 B U2 B2 D B F2
B' F L2 D' B2 U2 B'
F' B L2 U' L2 U' B'
U B U' B' L2 U2 B
F' B L2 D F U2 F
B2 F L2 U' L2 U' B2
F' B L2 D' F B2 U2
F' B L2 D' B2 F U2
B2 F L2 U2 B2 D F2
F2 B L2 U' L2 U' B'
F' B L2 F U' L2 U'
F' B L2 F U2 D F2
F' B L2 F D U2 F2
F' B L2 F D' B2 U2
L2 B D U2 F2 D B'
L2 B D U2 F2 D' B'
L2 B D U2 F2 D2 B'
L2 B D U2 F2 B' D
L2 B D U2 F2 B' D'
L2 B D U2 F2 B' D2
L2 B D U2 B' F2 D
L2 B D U2 B' F2 D'
L2 B D U2 B' F2 D2
L2 B D F U2 F B'
L2 B D F U2 B' F
F2 B L2 D F U2 F
L2 B D F' U2 F' B'
F2 B L2 D' F B2 U2
L2 B D F' U2 B' F'
F2 B L2 D' B2 F U2
F2 B L2 F U' L2 U'
F2 B L2 F U2 D F2
F2 B L2 F D U2 F2
L2 B D B U2 F2 B2
L2 B D B U2 B2 F2
F2 B L2 F D' B2 U2
L2 B D B2 U2 F2 B
L2 B D B2 U2 B F2
R2 B D F2 B2 U' B
B F L2 U' L2 U' B'
B F L2 D F U2 F
R2 B D B2 F2 U' B
B F L2 D' F B2 U2
B F L2 D' B2 F U2
L2 B D' F B2 U2 B
B F L2 F U' L2 U'
B F L2 F U2 D F2
B F L2 F D U2 F2
B F L2 F D' B2 U2
L2 B D' F' B2 U2 B
L2 B D' F2 B2 U2 B
F B L2 U' L2 U' B'
L2 B D' B2 U2 D B
L2 B D' B2 U2 D' B
L2 B D' B2 U2 D2 B
L2 B D' B2 U2 B D
L2 B D' B2 U2 B D'
L2 B D' B2 U2 B D2
F B L2 D F U2 F
L2 B D' B2 D U2 B
L2 B D' B2 D' U2 B
L2 B D' B2 D2 U2 B
L2 B D' B2 F U2 B
L2 B D' B2 F' U2 B
L2 B D' B2 F2 U2 B
F B L2 D' F B2 U2
F B L2 D' B2 F U2
F B L2 F U' L2 U'
F B L2 F U2 D F2
F B L2 F D U2 F2
F B L2 F D' B2 U2
L2 B D2 U R2 U B'
L2 B D2 U2 B' D' F2
R2 B D2 U' R2 B' L2
R2 B D2 U' B' L2 R2
R2 B D2 U' B' R2 L2
L2 B F U2 D F2 B'
L2 B F U2 D B' F2
L2 B F U2 B' D F2
L2 B F D U2 F2 B'
L2 B F D U2 B' F2
L2 B F D' B2 U2 B
L2 B F' U2 D F2 B'
L2 B F' U2 D B' F2
L2 B F' U2 B' D F2
L2 B F' D U2 F2 B'
L2 B F' D U2 B' F2
L2 B F' D' B2 U2 B
L2 B F2 U2 D F2 B'
L2 B F2 U2 D B' F2
L2 B F2 U2 B' D F2
L2 B F2 D U2 F2 B'
L2 B F2 D U2 B' F2
L2 B F2 D' B2 U2 B
U2 B' L2 U2 L2 D F2
B' F' L2 U' L2 U' B
B' F' L2 U2 D F2 B
B' F' L2 U2 D B F2
B' F' L2 U2 B D F2
B' F' L2 D U2 F2 B
B' F' L2 D U2 B F2
B' F' L2 D' B2 U2 B'
R2 B' U L2 R2 F' U2
F' B' L2 U' L2 U' B
F' B' L2 U2 D F2 B
F' B' L2 U2 D B F2
F' B' L2 U2 B D F2
F' B' L2 D U2 F2 B
F' B' L2 D U2 B F2
R2 B' U R2 L2 F' U2
B2 F' L2 U' L2 U' B2
R2 B' U R2 F' L2 U2
F' B' L2 D' B2 U2 B'
F2 B' L2 U' L2 U' B
B2 F' L2 U2 B2 D F2
F2 B' L2 U2 D F2 B
F2 B' L2 U2 D B F2
F2 B' L2 U2 B D F2
L2 B' U' L2 U' D B
L2 B' U' L2 U' D' B
L2 B' U' L2 U' D2 B
L2 B' U' L2 U' B D
L2 B' U' L2 U' B D'
L2 B' U' L2 U' B D2
L2 B' U' L2 D U' B
L2 B' U' L2 D' U' B
L2 B' U' L2 D2 U' B
F2 B' L2 D U2 F2 B
F2 B' L2 D U2 B F2
F2 B' L2 D' B2 U2 B'
U B' U L2 B U2 L2
B F' L2 U' L2 U' B'
D2 B' U2 B R2 D' F2
B F' L2 D F U2 F
R2 B' U' D2 L2 B R2
R2 B' U' D2 B L2 R2
R2 B' U' D2 B R2 L2
B F' L2 D' F B2 U2
B F' L2 D' B2 F U2
U B' U B L2 U2 L2
B F' L2 F U' L2 U'
B F' L2 F U2 D F2
B F' L2 F D U2 F2
B F' L2 F D' B2 U2
R2 B' U' B D2 L2 R2
R2 B' U' B D2 R2 L2
F B' L2 U' L2 U' B
L2 B' U2 D F2 D B
L2 B' U2 D F2 D' B
L2 B' U2 D F2 D2 B
L2 B' U2 D F2 B D
L2 B' U2 D F2 B D'
L2 B' U2 D F2 B D2
L2 B' U2 D B F2 D
L2 B' U2 D B F2 D'
L2 B' U2 D B F2 D2
D B' U' F2 U' F2 B
D B' U' F2 U' B F2
F B' L2 U2 D F2 B
F B' L2 U2 D B F2
F B' L2 U2 B D F2
L2 B' U2 D2 B D' F2
U B' U' L2 B U2 B'
F B' L2 D U2 F2 B
F B' L2 D U2 B F2
L2 B' U2 F D F2 B
L2 B' U2 F D B F2
L2 B' U2 F B D F2
F B' L2 D' B2 U2 B'
L2 B' U2 F' D F2 B
L2 B' U2 F' D B F2
L2 B' U2 F' B D F2
L2 B' U2 F2 D F2 B
L2 B' U2 F2 D B F2
L2 B' U2 F2 B D F2
L2 B' U2 B U L2 U'
R' B' D F2 U' L' B
R' B' D F2 U' B L'
L2 B' U2 B D F2 D
L2 B' U2 B D F2 D'
L2 B' U2 B D F2 D2
L2 B' U2 B F D F2
L2 B' U2 B F' D F2
L2 B' U2 B F2 D F2
L2 B' U2 B2 D F2 B'
L2 B' U2 B2 D B' F2
U B' U' B L2 F U2
L2 B' D U2 F2 D B
L2 B' D U2 F2 D' B
L2 B' D U2 F2 D2 B
L2 B' D U2 F2 B D
L2 B' D U2 F2 B D'
L2 B' D U2 F2 B D2
L2 B' D U2 B F2 D
L2 B' D U2 B F2 D'
L2 B' D U2 B F2 D2
L2 B' D F U2 F B
L2 B' D F U2 B F
L2 B' D F' U2 F' B
L2 B' D F' U2 B F'
R B' U' B' L B2 R'
L2 B' D B' U2 F2 B2
L2 B' D B' U2 B2 F2
L2 B' D B2 U2 F2 B'
L2 B' D B2 U2 B' F2
R2 B' D F2 B2 U' B'
R2 B' D B2 F2 U' B'
L2 B' D' F B2 U2 B'
L2 B' D' F' B2 U2 B'
L2 B' D' F2 B2 U2 B'
L2 B' D' B2 U2 D B'
L2 B' D' B2 U2 D' B'
L2 B' D' B2 U2 D2 B'
L2 B' D' B2 U2 B' D
L2 B' D' B2 U2 B' D'
L2 B' D' B2 U2 B' D2
L2 B' D' B2 D U2 B'
L2 B' D' B2 D' U2 B'
L2 B' D' B2 D2 U2 B'
L2 B' D' B2 F U2 B'
L2 B' D' B2 F' U2 B'
L2 B' D' B2 F2 U2 B'
L2 B' D2 U2 B D' F2
R2 B' D2 U' L2 B R2
R2 B' D2 U' B L2 R2
R2 B' D2 U' B R2 L2
L2 B' F U' L2 U' B
L2 B' F U2 D F2 B
L2 B' F U2 D B F2
L2 B' F U2 B D F2
L2 B' F D U2 F2 B
L2 B' F D U2 B F2
L2 B' F D' B2 U2 B'
L2 B' F' U' L2 U' B
L2 B' F' U2 D F2 B
L2 B' F' U2 D B F2
L2 B' F' U2 B D F2
L2 B' F' D U2 F2 B
L2 B' F' D U2 B F2
L2 B' F' D' B2 U2 B'
L2 B' F2 U' L2 U' B
L2 B' F2 U2 D F2 B
L2 B' F2 U2 D B F2
L2 B' F2 U2 B D F2
L2 B' F2 D U2 F2 B
L2 B' F2 D U2 B F2
L2 B' F2 D' B2 U2 B'
L' B2 L' U R' U B2
U2 B2 L2 U2 L2 D F2
D2 B2 R U' B2 L R
D2 B2 R U' B2 R L
B' F2 L2 U' L2 U' B
B' F2 L2 U2 D F2 B
B' F2 L2 U2 D B F2
B' F2 L2 U2 B D F2
B' F2 L2 D U2 F2 B
B' F2 L2 D U2 B F2
B' F2 L2 D' B2 U2 B'
F' B2 L2 U' L2 U' B2
F' B2 L2 U2 B2 D F2
B2 F2 L2 U' L2 U' B2
D B2 R F2 U' B2 L
B2 F2 L2 U2 B2 D F2
F2 B2 L2 U' L2 U' B2
F2 B2 L2 U2 B2 D F2
R' B2 U L2 R U2 B2
R B2 R U' L B2 R'
R' B2 U R L2 U2 B2
B F2 L2 U' L2 U' B'
D B2 R' F2 U' L' B2
D B2 R' F2 U' B2 L'
B F2 L2 D F U2 F
B F2 L2 D' F B2 U2
B F2 L2 D' B2 F U2
B F2 L2 F U' L2 U'
B F2 L2 F U2 D F2
B F2 L2 F D U2 F2
B F2 L2 F D' B2 U2
F B2 L2 U' L2 U' B2
F B2 L2 U2 B2 D F2
R B2 R' U' L B2 R'
