F2 L' U R F2
U' F2 L' U R
F2 L' R' U R2 F2
F2 L' R' U F2 R2
F2 L' R2 U R' F2
F2 L' R2 U F2 R'
F2 L' U R F2 D
F2 L' U R F2 D'
F2 L' U R F2 D2
F2 L' U R' F2 R2
F2 L' U R2 F2 R'
F2 L' U R2 F2 R'
U2 L' U F2 L' U
F2 L' D R2 U R'
F2 L' B U R F2
F2 L' B U R F2
F2 L' B' U R F2
F2 L' B2 U R F2
D' L2 R' D B2 R'
D' L2 B2 R' D B2
U R U2 F2 U R
F2 R' L' U R2 F2
F2 R' L' U F2 R2
D' R' L2 D B2 R'
D2 R' D L2 B2 R'
F2 R2 L' U R' F2
F2 R2 L' U F2 R'
R' D' L2 D2 B2 R'
B2 U' F2 L' U R
B' U' F2 L' U R
B U' F2 L' U R
F2 D L' R2 U R'
F2 D R2 L' U R'
U' F2 L' U R D
U' F2 L' U R D'
U' F2 L' U R D2
U' F2 L' U D R
U' F2 L' U D' R
U' F2 L' U D2 R
U' F2 L' D U R
U' F2 L' D' U R
U' F2 L' D2 U R
U' F2 L' B U R
U' F2 L' B' U R
U' F2 L' B2 U R
L F2 L' U F2 R
U' F2 D L' U R
U' F2 D' L' U R
U' F2 D2 L' U R
U' F2 B L' U R
U' F2 B' L' U R
U' F2 B2 L' U R
F2 B L' U R F2
U' B F2 L' U R
F2 B' L' U R F2
U' B' F2 L' U R
B' F2 L' U R F2
B2 F2 L' U R F2
F2 B2 L' U R F2
B F2 L' U R F2
U' B2 F2 L' U R
R F2 U' R' F2 R2 L'
U' F2 D' L' U R D
U' F2 D' L' U R D'
U' F2 D' L' U R D2
U' F2 D' L' U D R
U' F2 D' L' U D' R
U' F2 D' L' U D2 R
U' F2 D' L' D U R
U' F2 D' L' D' U R
U' F2 D' L' D2 U R
U' F2 D' L' B U R
U' F2 D' L' B' U R
U' F2 D' L' B2 U R
U' F2 D' B L' U R
U' F2 D' B' L' U R
U' F2 D' B2 L' U R
U' F2 D2 L' U R D
U' F2 D2 L' U R D'
U' F2 D2 L' U R D2
U' F2 D2 L' U D R
U' F2 D2 L' U D' R
U' F2 D2 L' U D2 R
U' F2 D2 L' D U R
U' F2 D2 L' D' U R
U' F2 D2 L' D2 U R
U' F2 D2 L' B U R
U' F2 D2 L' B' U R
U' F2 D2 L' B2 U R
U' F2 D2 B L' U R
U' F2 D2 B' L' U R
U' F2 D2 B2 L' U R
U' F2 B L' U R D
U' F2 B L' U R D'
U' F2 B L' U R D2
U' F2 B L' U D R
U' F2 B L' U D' R
U' F2 B L' U D2 R
B' D2 R' D L2 B2 R'
U' F2 B L' D U R
U' F2 B L' D' U R
U' F2 B L' D2 U R
U' F2 B L' B U R
U' F2 B L' B' U R
U' F2 B L' B2 U R
B2 D2 R' D L2 B2 R'
U' F2 B D L' U R
U' F2 B D' L' U R
U' F2 B D2 L' U R
U' F2 B' L' U R D
U' F2 B' L' U R D'
U' F2 B' L' U R D2
U' F2 B' L' U D R
U' F2 B' L' U D' R
U' F2 B' L' U D2 R
U' F2 B' L' D U R
U' F2 B' L' D' U R
U' F2 B' L' D2 U R
U' F2 B' L' B U R
U' F2 B' L' B' U R
U' F2 B' L' B2 U R
U' F2 B' D L' U R
U' F2 B' D' L' U R
U' F2 B' D2 L' U R
B D2 R' D L2 B2 R'
U' F2 B2 L' U R D
U' F2 B2 L' U R D'
U' F2 B2 L' U R D2
U' F2 B2 L' U D R
U' F2 B2 L' U D' R
U' F2 B2 L' U D2 R
U' F2 B2 L' D U R
U' F2 B2 L' D' U R
U' F2 B2 L' D2 U R
U' F2 B2 L' B U R
U' F2 B2 L' B' U R
U' F2 B2 L' B2 U R
R2 F2 B U R F2 B
R2 F2 B U R B F2
U' F2 B2 D L' U R
U' F2 B2 D' L' U R
U' F2 B2 D2 L' U R
L F2 B L' U F2 R
L2 F2 B2 L' U R' F2
L2 F2 B2 L' U F2 R'
R2 F2 B2 L U R F2
L F2 B' L' U F2 R
L F2 B2 L' U F2 R
D' B L2 R' D B2 R'
D' B L2 B2 R' D B2
D' B R' L2 D B2 R'
U B R U2 F2 U R
F2 B L' R' U R2 F2
F2 B L' R' U F2 R2
F2 B L' R2 U R' F2
F2 B L' R2 U F2 R'
F2 B L' U R F2 D
F2 B L' U R F2 D'
F2 B L' U R F2 D2
F2 B L' U R' F2 R2
F2 B L' U R2 F2 R'
F2 B L' D R2 U R'
F2 B L' B U R F2
F2 B L' B' U R F2
F2 B L' B2 U R F2
R' B D' L2 D2 B2 R'
U B U2 F2 L' U R
F2 B R' L' U R2 F2
F2 B R' L' U F2 R2
F2 B R2 L' U R' F2
F2 B R2 L' U F2 R'
U' B F2 L' U R D
U' B F2 L' U R D'
U' B F2 L' U R D2
U' B F2 L' U D R
U' B F2 L' U D' R
U' B F2 L' U D2 R
U' B F2 L' D U R
U' B F2 L' D' U R
U' B F2 L' D2 U R
U' B F2 L' B U R
U' B F2 L' B' U R
U' B F2 L' B2 U R
U' B F2 D L' U R
U' B F2 D' L' U R
U' B F2 D2 L' U R
R2 B F2 U R F2 B
R2 B F2 U R B F2
L B F2 L' U F2 R
D' B' L2 R' D B2 R'
F2 B D L' R2 U R'
F2 B D R2 L' U R'
D' B' L2 B2 R' D B2
D' B' R' L2 D B2 R'
U B' R U2 F2 U R
F2 B' L' R' U R2 F2
F2 B' L' R' U F2 R2
F2 B' L' R2 U R' F2
F2 B' L' R2 U F2 R'
F2 B' L' U R F2 D
F2 B' L' U R F2 D'
F2 B' L' U R F2 D2
F2 B' L' U R' F2 R2
F2 B' L' U R2 F2 R'
F2 B' L' D R2 U R'
F2 B' L' B U R F2
F2 B' L' B' U R F2
F2 B' L' B2 U R F2
L2 B' U' F2 L' B' U
F2 B' R' L' U R2 F2
F2 B' R' L' U F2 R2
R' B' D' L2 D2 B2 R'
F2 B' R2 L' U R' F2
F2 B' R2 L' U F2 R'
U B' U2 F2 L' U R
R2 B' D' L2 B2 R' B
U' B' F2 L' U R D
U' B' F2 L' U R D'
U' B' F2 L' U R D2
U' B' F2 L' U D R
U' B' F2 L' U D' R
U' B' F2 L' U D2 R
U' B' F2 L' D U R
U' B' F2 L' D' U R
U' B' F2 L' D2 U R
U' B' F2 L' B U R
U' B' F2 L' B' U R
U' B' F2 L' B2 U R
U' B' F2 D L' U R
U' B' F2 D' L' U R
U' B' F2 D2 L' U R
F2 B' D L' R2 U R'
F2 B' D R2 L' U R'
L B' F2 L' U F2 R
D' B2 L2 R' D B2 R'
D' B2 L2 B2 R' D B2
B' F2 L' R' U R2 F2
B' F2 L' R' U F2 R2
B' F2 L' R2 U R' F2
B' F2 L' R2 U F2 R'
B' F2 L' U R F2 D
B' F2 L' U R F2 D'
B' F2 L' U R F2 D2
B' F2 L' U R' F2 R2
B' F2 L' U R2 F2 R'
D2 B2 R F2 U' R F2
B' F2 L' D R2 U R'
B2 F2 L' R' U R2 F2
B2 F2 L' R' U F2 R2
B2 F2 L' R2 U R' F2
B2 F2 L' R2 U F2 R'
B' F2 L' B U R F2
B2 F2 L' U R F2 D
B2 F2 L' U R F2 D'
B2 F2 L' U R F2 D2
B2 F2 L' U R' F2 R2
B2 F2 L' U R2 F2 R'
B' F2 L' B' U R F2
F2 B2 L' R' U R2 F2
F2 B2 L' R' U F2 R2
D' B2 R' L2 D B2 R'
F2 B2 L' R2 U R' F2
F2 B2 L' R2 U F2 R'
B' F2 L' B2 U R F2
F2 B2 L' U R F2 D
F2 B2 L' U R F2 D'
F2 B2 L' U R F2 D2
F2 B2 L' U R' F2 R2
F2 B2 L' U R2 F2 R'
B2 F2 L' D R2 U R'
F2 B2 L' D R2 U R'
B2 F2 L' B U R F2
B2 F2 L' B' U R F2
B2 F2 L' B2 U R F2
F2 B2 L' B U R F2
F2 B2 L' B' U R F2
B F2 L' R' U R2 F2
B F2 L' R' U F2 R2
F2 B2 L' B2 U R F2
B F2 L' R2 U R' F2
B F2 L' R2 U F2 R'
B F2 L' U R F2 D
B F2 L' U R F2 D'
B F2 L' U R F2 D2
B F2 L' U R' F2 R2
B F2 L' U R2 F2 R'
L2 B2 R' D B2 D2 L2
L2 B2 R' D' L2 D2 B2
B F2 L' D R2 U R'
U B2 R U2 F2 U R
B F2 L' B U R F2
B F2 L' B' U R F2
B F2 L' B2 U R F2
B' F2 R' L' U R2 F2
B' F2 R' L' U F2 R2
B2 F2 R' L' U R2 F2
B2 F2 R' L' U F2 R2
F2 B2 R' L' U R2 F2
F2 B2 R' L' U F2 R2
B' F2 R2 L' U R' F2
B' F2 R2 L' U F2 R'
B2 F2 R2 L' U R' F2
B2 F2 R2 L' U F2 R'
B F2 R' L' U R2 F2
B F2 R' L' U F2 R2
F2 B2 R2 L' U R' F2
F2 B2 R2 L' U F2 R'
L2 B2 U' F2 L' U R'
B F2 R2 L' U R' F2
B F2 R2 L' U F2 R'
R2 B2 U' F2 L U R
R' B2 D' L2 D2 B2 R'
L2 B2 D R' D B2 L
L2 B2 D' L2 R' D B2
U B2 U2 F2 L' U R
L2 B2 D' R' L2 D B2
B' F2 D L' R2 U R'
B' F2 D R2 L' U R'
B2 F2 D L' R2 U R'
L2 B2 D2 R' D L2 B2
L2 B2 D2 R' D B2 L2
F2 B2 D L' R2 U R'
B2 F2 D R2 L' U R'
F2 B2 D R2 L' U R'
B F2 D L' R2 U R'
U' B2 F2 L' U R D
U' B2 F2 L' U R D'
U' B2 F2 L' U R D2
U' B2 F2 L' U D R
U' B2 F2 L' U D' R
U' B2 F2 L' U D2 R
U' B2 F2 L' D U R
B F2 D R2 L' U R'
U' B2 F2 L' D' U R
U' B2 F2 L' D2 U R
U' B2 F2 L' B U R
U' B2 F2 L' B' U R
U' B2 F2 L' B2 U R
U' B2 F2 D L' U R
U' B2 F2 D' L' U R
U' B2 F2 D2 L' U R
L2 B2 F2 L' U R' F2
L2 B2 F2 L' U F2 R'
R2 B2 F2 L U R F2
L B2 F2 L' U F2 R
