D2 L' R2 F2 U' F'
U2 L2 R B2 U F'
U2 L2 B2 R U F'
U2 R L2 B2 U F'
U' R D' F' R2 B2
U' R D' F' B2 R2
U' R D' B2 F' R2
U' R F' D' R2 B2
U' R F' D' B2 R2
R' U' D' R2 F' B2
R' U' D' R2 B2 F'
U2 R B2 L2 U F'
R U' D' F' R2 B2
R U' D' F' B2 R2
R U' D' B2 F' R2
R U' F' D' R2 B2
R U' F' D' B2 R2
U' R' D' R2 F' B2
U' R' D' R2 B2 F'
R U2 L2 B2 U F'
U2 R' B2 L2 U F
D2 R2 L' F2 U' F'
R' U2 B2 L2 U F
R U2 B2 L2 U F'
D2 R2 F2 L' U' F
R' D' U' R2 F' B2
R' D' U' R2 B2 F'
R D' U' F' R2 B2
R D' U' F' B2 R2
R D' U' B2 F' R2
R' D2 R2 F2 U' F
R' D2 F2 R2 U' F'
R D2 F2 R2 U' F
D' F L' U' R2 B2
D' F L' U' B2 R2
D2 F2 L' R2 U' F
D2 F2 R2 L' U' F
U2 B2 L2 R U F'
U2 B2 R L2 U F'
D2 F2 L' R2 D' U' F
D2 F2 L' R2 D2 U' F
D2 F2 L' U' D F B2
D2 F2 L' U' D B2 F
D2 F2 L' U' F D B2
D2 F2 L' D U' F B2
D2 F2 L' D U' B2 F
F' D' F L' U' R2 B2
F' D' F L' U' B2 R2
F2 D' F L' U' R2 B2
F2 D' F L' U' B2 R2
U' F2 R D' F' R2 B2
U' F2 R D' F' B2 R2
U' F2 R D' B2 F' R2
L' F2 R U' D' F' R2
F D' F L' U' R2 B2
F D' F L' U' B2 R2
L' F2 R U' F' D' R2
U' F2 R F' D' R2 B2
U' F2 R F' D' B2 R2
D2 F2 R D2 R U' F'
L' F2 R U2 B2 U F'
L' F2 R D' U' F' R2
L' F2 R D2 F2 U' F
U' F2 R' D' R2 F' B2
U' F2 R' D' R2 B2 F'
D' F2 R' U' R' F' B2
D' F2 R' U' R' B2 F'
D2 F2 R2 L U B' U2
D2 F2 R2 L' U' D F
D2 F2 R2 L' U' D' F
D2 F2 R2 L' U' D2 F
D2 F2 R2 L' U' F D
D2 F2 R2 L' U' F D'
D2 F2 R2 L' U' F D2
D2 F2 R2 L' D U' F
D2 F2 R2 L' D' U' F
D2 F2 R2 L' D2 U' F
D2 F2 R2 U' L' F L
D' F2 U' R' F' R' B2
R' F2 U' D' R2 F' B2
R' F2 U' D' R2 B2 F'
D' F2 U' B2 R' F' R'
R' F2 U2 B2 L2 U F
F' D2 L' R2 F2 U' F'
F2 D2 L' R2 F2 U' F'
R F2 U' D' R2 F B2
R F2 U' D' R2 B2 F
R F2 U' D' F R2 B2
R F2 U' D' F B2 R2
R F2 U' D' B2 R2 F
R F2 U' D' B2 F R2
R F2 U' F D' R2 B2
R F2 U' F D' B2 R2
R' F2 D' U' R2 F' B2
R' F2 D' U' R2 B2 F'
F D2 L' R2 F2 U' F'
R' F2 D2 R2 F2 U' F
R' F2 D2 F2 R2 U' F'
B2 D2 R F2 L' U F
F' D2 R2 L' F2 U' F'
R F2 D' U' R2 F B2
R F2 D' U' R2 B2 F
R F2 D' U' F R2 B2
R F2 D' U' F B2 R2
R F2 D' U' B2 R2 F
R F2 D' U' B2 F R2
F2 D2 R2 L' F2 U' F'
F' D2 R2 F2 L' U' F
F2 D2 R2 F2 L' U' F
R F2 D2 R2 F2 U' F'
F D2 R2 L' F2 U' F'
F D2 R2 F2 L' U' F
U' B R D' F' R B2
U' B R D' F' B2 R
U' B R D' B2 F' R
U2 B L2 D B R' U
U2 B L2 B R U F'
F' D2 F2 L' R2 U' F
F' D2 F2 R2 L' U' F
F2 D2 F2 L' R2 U' F
F2 D2 F2 R2 L' U' F
R B L2 F B U F2
R B L2 B F U F2
F D2 F2 L' R2 U' F
F D2 F2 R2 L' U' F
R' B U L2 F B U
R' B U L2 B F U
U2 B' R B' L2 U F'
U' B2 L2 R U L2 F'
U' B2 L2 R U F' L2
R' B2 L2 U D F L2
R' B2 L2 U F D L2
R' B2 L2 U2 B2 U' F
R' B2 L2 D U F L2
U2 B2 L' D2 L' U F
R' B2 L2 D2 F2 U F'
U' B2 R L2 U L2 F'
U' B2 R L2 U F' L2
U2 B2 L2 R U D F'
U2 B2 L2 R U D' F'
U2 B2 L2 R U D2 F'
U2 B2 L2 R U F' D
U2 B2 L2 R U F' D'
U2 B2 L2 R U F' D2
U2 B2 L2 R D U F'
U2 B2 L2 R D' U F'
U2 B2 L2 R D2 U F'
U2 B2 L2 R' U' B U2
U2 B2 L2 U R F' R'
D' B2 R D L2 R F'
D' B2 R D R L2 F'
D' B2 R D R F' L2
U2 B2 R L2 U D F'
U2 B2 R L2 U D' F'
U2 B2 R L2 U D2 F'
U2 B2 R L2 U F' D
U2 B2 R L2 U F' D'
U2 B2 R L2 U F' D2
U2 B2 R L2 D U F'
U2 B2 R L2 D' U F'
U2 B2 R L2 D2 U F'
L2 B2 R U D L2 F'
L2 B2 R U D F' L2
L2 B2 R U F' D L2
U2 B2 R U D' F' B2
U2 B2 R U D' B2 F'
U2 B2 R U F' D' B2
L2 B2 R U2 B2 U' F'
L2 B2 R D U L2 F'
L2 B2 R D U F' L2
U2 B2 R D' U F' B2
U2 B2 R D' U B2 F'
L2 B2 R D2 F2 U F
U2 B2 R' L2 U' B U2
R B2 L2 U D L2 F'
R B2 L2 U D F' L2
R B2 L2 U F' D L2
R B2 L2 U2 B2 U' F'
R B2 L2 D U L2 F'
R B2 L2 D U F' L2
R B2 L2 D2 F2 U F
L' B2 D2 L' F2 U F'
