U' L D' R2 F
U' L D' F R2
U' L F D' R2
D' U' L R2 F
D' U' L F R2
U' D' L R2 F
U' D' L F R2
D' U' R2 L F
U' D' R2 L F
D2 F2 U' L F
F2 U' L D' R2 D2 F
F2 U' L D' R2 F D
F2 U' L D' R2 F D'
F2 U' L D' R2 F D2
U' D' R D2 L R F
D2 U' R D R2 L F
D' U' R D2 R L F
F' U' L F2 D' F' R2
F2 U' L D' F R2 D
F2 U' L D' F R2 D'
F2 U' L D' F R2 D2
U' D' R D2 R L F
F2 U' L D' F' R2 F2
F2 U' L F R D' R2
F2 U' L F R' D' R2
D' U' R F' L F R
F2 U' L F R2 D' R2
U' D' R F' L F R
F2 U' L F U' B2 U
F2 U' L F D' R2 D
F2 U' L F D' R2 D'
F2 U' L F D' R2 D2
F2 U' L F2 D' F' R2
U2 D' R U L R F
U2 D' R U R L F
D' U' R' L D R' F
U' D' R' L D R' F
U' D' R' L D F R'
D' U' R' L D F R'
D' U' R' L D' R' F
U' D' R' L D' R' F
D' U' R' L D' F R'
U' D' R' L D' F R'
D' U' R' L D2 R' F
U' D' R' L D2 R' F
U' D' R' L D2 F R'
D' U' R' L D2 F R'
U' D' R' L F R' D
U' D' R' L F R' D'
U' D' R' L F R' D2
D' U' R' L F R' D
D' U' R' L F R' D'
D' U' R' L F R' D2
D' U' R' L F D R'
U' D' R' L F D R'
D' U' R' L F D' R'
D' U' R' L F D2 R'
U' D' R' L F D' R'
U' D' R' L F D2 R'
D' U' R' L F' R' F2
U' D' R' L F' R' F2
F U' L R D' R2 F
F U' L R D' F R2
F U' L R F D' R2
D2 U' R' L D R2 F
D2 U' R' L D F R2
F U' L R' D' R2 F
F U' L R' D' F R2
F U' L R' F D' R2
F U' L R2 D' R2 F
F U' L R2 D' F R2
F U' L R2 F D' R2
U' D' R' D L R' F
U' D' R' D L F R'
D' U' R' D L R' F
D' U' R' D L F R'
U' D' R' D R' L F
D' U' R' D R' L F
F U' L U' B2 U F
U' D' R' D' L R' F
U' D' R' D' L F R'
D' U' R' D' L R' F
U' D' R' D' R' L F
D' U' R' D' L F R'
D' U' R' D' R' L F
U' D' R' D2 L R' F
D2 U' R' D L R2 F
U' D' R' D2 L F R'
D2 U' R' D L F R2
D' U' R' D2 L R' F
D' U' R' D2 L F R'
U' D' R' D2 R' L F
D2 U' R' D R2 L F
F U' L D F D2 R2
D' U' R' D2 R' L F
U' D' R' F L R' F
U' D' R' F L F R'
F U' L D' R' F R'
F U' L D' R2 D F
F U' L D' R2 D' F
F U' L D' R2 D2 F
F U' L D' R2 F D
F U' L D' R2 F D'
F U' L D' R2 F D2
D' U' R' F L R' F
D' U' R' F L F R'
U' D' R' F R' L F
F U' L D' F R2 D
F U' L D' F R2 D'
F U' L D' F R2 D2
D' U' R' F R' L F
F U' L D' F' R2 F2
U' D' R' F' L R' F
U' D' R' F' L F R'
D' U' R' F' L R' F
D' U' R' F' L F R'
U' D' R' F' R' L F
D' U' R' F' R' L F
U' D' R' F2 L R' F
U' D' R' F2 L F R'
F U' L F R D' R2
D' U' R' F2 L R' F
D U' R D2 L R2 F
F U' L F R' D' R2
D' U' R' F2 L F R'
D U' R D2 L F R2
F U' L F R2 D' R2
U' D' R' F2 R' L F
D' U' R' F2 R' L F
F U' L F U' B2 U
D U' R D2 R2 L F
F U' L F D' R2 D
F U' L F D' R2 D'
F U' L F D' R2 D2
F U' L F2 D' F' R2
U2 D' R' U L R' F
U2 D' R' U L F R'
U2 D' R' U R' L F
U' D' R2 L D F D
U' D' R2 L D F D'
U' D' R2 L D F D2
D' U' R2 L D F D
D' U' R2 L D F D'
D' U' R2 L D F D2
U' D' R2 L D' F D
U' D' R2 L D' F D'
U' D' R2 L D' F D2
D' U' R2 L D' F D
D' U' R2 L D' F D'
D' U' R2 L D' F D2
U' D' R2 L D2 F D
U' D' R2 L D2 F D'
U' D' R2 L D2 F D2
D' U' R2 L D2 F D
D' U' R2 L D2 F D'
D' U' R2 L D2 F D2
U' D' R2 L F2 D F'
U' D' R2 L F2 D' F'
U' D' R2 L F2 D2 F'
D' U' R2 L F2 D F'
D' U' R2 L F2 D' F'
D' U' R2 L F2 D2 F'
U' D' R2 L' F L2 F
D' U' R2 L' F L2 F
U' D' R2 L' F' L2 F
D' U' R2 L' F' L2 F
D' U' R2 L' F2 L2 F
U' D' R2 L' F2 L2 F
D2 U' R2 L D R2 F
D2 U' R2 L D F R2
U' D' R2 D L D F
U' D' R2 D L D' F
U' D' R2 D L D2 F
U' D' R2 D L F D
U' D' R2 D L F D'
U' D' R2 D L F D2
D' U' R2 D L D F
D' U' R2 D L D' F
D' U' R2 D L D2 F
D' U' R2 D L F D
D' U' R2 D L F D'
D' U' R2 D L F D2
U' D' R2 D F L F
D' U' R2 D F L F
U' D' R2 D F' L F
D' U' R2 D F' L F
U' D' R2 D F2 L F
D' U' R2 D F2 L F
U' D' R2 D' L D F
U' D' R2 D' L D' F
U' D' R2 D' L D2 F
D' U' R2 D' L D F
U' D' R2 D' L F D
U' D' R2 D' L F D'
U' D' R2 D' L F D2
D' U' R2 D' L D' F
D' U' R2 D' L D2 F
D' U' R2 D' L F D
D' U' R2 D' L F D'
D' U' R2 D' L F D2
U' D' R2 D' F L F
D' U' R2 D' F L F
U' D' R2 D' F' L F
D' U' R2 D' F' L F
U' D' R2 D' F2 L F
D' U' R2 D' F2 L F
D2 U' R2 D L R2 F
D2 U' R2 D L F R2
D' U' R2 D2 L D F
D' U' R2 D2 L D' F
D' U' R2 D2 L D2 F
D' U' R2 D2 L F D
D' U' R2 D2 L F D'
D' U' R2 D2 L F D2
U' D' R2 D2 L D F
U' D' R2 D2 L D' F
U' D' R2 D2 L D2 F
U' D' R2 D2 L F D
U' D' R2 D2 L F D'
U' D' R2 D2 L F D2
D2 U' R2 D R2 L F
U' D' R2 D2 F L F
D' U' R2 D2 F L F
D' U' R2 D2 F' L F
U' D' R2 D2 F' L F
U' D' R2 D2 F2 L F
D' U' R2 D2 F2 L F
U' D' R2 F L D F
U' D' R2 F L D' F
U' D' R2 F L D2 F
U' D' R2 F L F D
U' D' R2 F L F D'
U' D' R2 F L F D2
D' U' R2 F L D F
D' U' R2 F L D' F
D' U' R2 F L D2 F
D' U' R2 F L F D
D' U' R2 F L F D'
D' U' R2 F L F D2
D' U' R2 F D L F
U' D' R2 F D L F
D' U' R2 F D' L F
U' D' R2 F D' L F
D' U' R2 F D2 L F
U' D' R2 F D2 L F
D' U' R2 F' L D F
D' U' R2 F' L D' F
D' U' R2 F' L D2 F
U' D' R2 F' L D F
D' U' R2 F' L F D
D' U' R2 F' L F D'
D' U' R2 F' L F D2
U' D' R2 F' L D' F
U' D' R2 F' L D2 F
U' D' R2 F' L F D
U' D' R2 F' L F D'
U' D' R2 F' L F D2
U' D' R2 F' D L F
D' U' R2 F' D L F
D' U' R2 F' D' L F
U' D' R2 F' D' L F
D' U' R2 F' D2 L F
U' D' R2 F' D2 L F
D' U' R2 F2 L D F
D' U' R2 F2 L D' F
U' D' R2 F2 L D F
D' U' R2 F2 L D2 F
D' U' R2 F2 L F D
D' U' R2 F2 L F D'
D' U' R2 F2 L F D2
U' D' R2 F2 L D' F
U' D' R2 F2 L D2 F
U' D' R2 F2 L F D
U' D' R2 F2 L F D'
U' D' R2 F2 L F D2
D U' R' D2 L R2 F
D U' R' D2 L F R2
D' U' R2 F2 D L F
U' D' R2 F2 D L F
D U' R' D2 R2 L F
D' U' R2 F2 D' L F
U' D' R2 F2 D' L F
U' D' R2 F2 D2 L F
D' U' R2 F2 D2 L F
F' U' R L D' R2 F
F' U' R L D' F R2
F' U' R L F D' R2
U D' R' U2 L F' R'
U D' R' U2 F' L R'
U D' R' U2 F' R' L
D' U' F L R' F R'
D' U' F L R2 D F
U' D' F L R' F R'
D' U' F L R2 D' F
D' U' F L R2 D2 F
D' U' F L R2 F D
D' U' F L R2 F D'
D' U' F L R2 F D2
U' D' F L R2 D F
U' D' F L R2 D' F
U' D' F L R2 D2 F
U' D' F L R2 F D
U' D' F L R2 F D'
U' D' F L R2 F D2
U' D' F L F R2 D
U' D' F L F R2 D'
U' D' F L F R2 D2
D' U' F L F R2 D
D' U' F L F R2 D'
D' U' F L F R2 D2
D' U' F L F' R2 F2
U' D' F L F' R2 F2
F2 U' R L D' R2 F
F2 U' R L D' F R2
F2 U' R L F D' R2
F' U' R D' L R2 F
F' U' R D' L F R2
D' U' F R' L F R'
U' D' F R' L F R'
F' U' R D' R2 L F
D' U' F R2 L D F
D' U' F R2 L D' F
D' U' F R2 L D2 F
U' D' F R2 L D F
D' U' F R2 L F D
U' D' F R2 L D' F
D' U' F R2 L F D'
D' U' F R2 L F D2
U' D' F R2 L D2 F
U' D' F R2 L F D
U' D' F R2 L F D'
U' D' F R2 L F D2
D' U' F R2 D L F
U' D' F R2 D L F
D' U' F R2 D' L F
U' D' F R2 D' L F
U' D' F R2 D2 L F
D' U' F R2 D2 L F
U' D' F R2 F L F
D' U' F R2 F L F
D' U' F R2 F' L F
U' D' F R2 F' L F
D' U' F R2 F2 L F
U' D' F R2 F2 L F
F2 U' R D' L R2 F
F2 U' R D' L F R2
F2 U' R D' R2 L F
D U' R2 D2 L R2 F
D U' R2 D2 L F R2
D U' R2 D2 R2 L F
L' D' B L B U' R2
F' U' R' L D' R2 F
F' U' R' L D' F R2
F' U' R' L F D' R2
U2 D' F R U L R
U2 D' F R U R L
U' D' F' L R' F R'
U' D' F' L R2 D F
U' D' F' L R2 D' F
U' D' F' L R2 D2 F
U' D' F' L R2 F D
U' D' F' L R2 F D'
U' D' F' L R2 F D2
D' U' F' L R' F R'
D' U' F' L R2 D F
D' U' F' L R2 D' F
D' U' F' L R2 D2 F
D' U' F' L R2 F D
D' U' F' L R2 F D'
D' U' F' L R2 F D2
U' D' F' L F R2 D
U' D' F' L F R2 D'
U' D' F' L F R2 D2
D' U' F' L F R2 D
D' U' F' L F R2 D'
D' U' F' L F R2 D2
U' D' F' L F' R2 F2
D' U' F' L F' R2 F2
F2 U' R' L D' R2 F
F2 U' R' L D' F R2
F2 U' R' L F D' R2
D2 U' F' L F D R2
F U' R L D' R2 F
F U' R L D' F R2
F U' R L F D' R2
D' U' F' R' L F R'
U' D' F' R' L F R'
L2 D' B L U' L2 R2
F' U' R' D' L R2 F
L2 D' B L U' R2 L2
F' U' R' D' L F R2
F' U' R' D' R2 L F
U' D' F' R2 L D F
U' D' F' R2 L D' F
U' D' F' R2 L D2 F
U' D' F' R2 L F D
U' D' F' R2 L F D'
U' D' F' R2 L F D2
D' U' F' R2 L D F
D' U' F' R2 L D' F
D' U' F' R2 L D2 F
D' U' F' R2 L F D
D' U' F' R2 L F D'
D' U' F' R2 L F D2
U' D' F' R2 D L F
D' U' F' R2 D L F
U' D' F' R2 D' L F
D' U' F' R2 D' L F
U' D' F' R2 D2 L F
D' U' F' R2 D2 L F
U' D' F' R2 F L F
D' U' F' R2 F L F
U' D' F' R2 F' L F
D' U' F' R2 F' L F
U' D' F' R2 F2 L F
D' U' F' R2 F2 L F
F2 U' R' D' L R2 F
F2 U' R' D' L F R2
F2 U' R' D' R2 L F
B' U' R' B' U B L
F U' R D' L R2 F
F U' R D' L F R2
F U' R D' R2 L F
F' U' R2 L D' R2 F
F' U' R2 L D' F R2
F' U' R2 L F D' R2
U' D' F2 L R' F R'
D' U' F2 L R' F R'
U' D' F2 L R2 D F
U' D' F2 L R2 D' F
U' D' F2 L R2 D2 F
U' D' F2 L R2 F D
U' D' F2 L R2 F D'
U' D' F2 L R2 F D2
D' U' F2 L R2 D F
D' U' F2 L R2 D' F
D' U' F2 L R2 D2 F
D' U' F2 L R2 F D
D' U' F2 L R2 F D'
D' U' F2 L R2 F D2
D U' F D2 L R2 F
D U' F D2 L F R2
U' D' F2 L F R2 D
U' D' F2 L F R2 D'
U' D' F2 L F R2 D2
U' D' F2 L F' R2 F2
D' U' F2 L F R2 D
D' U' F2 L F R2 D'
D' U' F2 L F R2 D2
D' U' F2 L F' R2 F2
D U' F D2 R2 L F
F2 U' R2 L D' R2 F
F2 U' R2 L D' F R2
F2 U' R2 L F D' R2
L D' B L U' L' R2
L D' B L U' R2 L'
F U' R' L D' R2 F
F U' R' L D' F R2
U' D' F2 R' L F R'
D' U' F2 R' L F R'
F U' R' L F D' R2
F' U' R2 D' L R2 F
F' U' R2 D' L F R2
F' U' R2 D' R2 L F
U' D' F2 R2 L D F
U' D' F2 R2 L D' F
U' D' F2 R2 L D2 F
U' D' F2 R2 L F D
U' D' F2 R2 L F D'
U' D' F2 R2 L F D2
D' U' F2 R2 L D F
D' U' F2 R2 L D' F
D' U' F2 R2 L D2 F
D' U' F2 R2 L F D
D' U' F2 R2 L F D'
D' U' F2 R2 L F D2
U' D' F2 R2 D L F
D' U' F2 R2 D L F
U' D' F2 R2 D' L F
D' U' F2 R2 D' L F
U' D' F2 R2 D2 L F
D' U' F2 R2 D2 L F
U' D' F2 R2 F L F
D' U' F2 R2 F L F
U' D' F2 R2 F' L F
D' U' F2 R2 F' L F
U' D' F2 R2 F2 L F
D' U' F2 R2 F2 L F
F2 U' R2 D' L R2 F
F2 U' R2 D' L F R2
F2 U' R2 D' R2 L F
F U' R' D' L R2 F
F U' R' D' L F R2
F U' R' D' R2 L F
D U' F' D2 L R2 F
D U' F' D2 L F R2
D U' F' D2 R2 L F
F U' R2 L D' R2 F
F U' R2 L D' F R2
F U' R2 L F D' R2
D' U' B R2 B' L F
U' D' B R2 B' L F
F' U' D' L R' F R'
F U' R2 D' L R2 F
F' U' D' L R2 D F
F U' R2 D' L F R2
F' U' D' L R2 D' F
F' U' D' L R2 D2 F
F' U' D' L R2 F D
F' U' D' L R2 F D'
F' U' D' L R2 F D2
F U' R2 D' R2 L F
F' U' D' L F R2 D
F' U' D' L F R2 D'
F' U' D' L F R2 D2
F' U' D' L F' R2 F2
F' U' D' R' L F R'
F2 U' D' L R' F R'
F2 U' D' L R2 D F
F2 U' D' L R2 D' F
F2 U' D' L R2 D2 F
F2 U' D' L R2 F D
F2 U' D' L R2 F D'
F2 U' D' L R2 F D2
F2 U' D' L F R2 D
F2 U' D' L F R2 D'
F2 U' D' L F R2 D2
F2 U' D' L F' R2 F2
F' U' D' R2 L D F
D U' F2 D2 L R2 F
F' U' D' R2 L D' F
F' U' D' R2 L D2 F
F' U' D' R2 L F D
F' U' D' R2 L F D'
F' U' D' R2 L F D2
D U' F2 D2 L F R2
D U' F2 D2 R2 L F
F' U' D' R2 D L F
F' U' D' R2 D' L F
F' U' D' R2 D2 L F
F' U' D' R2 F L F
F' U' D' R2 F' L F
F' U' D' R2 F2 L F
F' U' D' F L R2 F
F' U' D' F L F R2
F' U' D' F R2 L F
B2 U' D' R' B U2 B'
F' U' D' F' L R2 F
F' U' D' F' L F R2
F' U' D' F' R2 L F
F' U' D' F2 L R2 F
F' U' D' F2 L F R2
F2 U' D' R' L F R'
F' U' D' F2 R2 L F
F2 U' D' R2 L D F
F2 U' D' R2 L D' F
F2 U' D' R2 L D2 F
F2 U' D' R2 L F D
F2 U' D' R2 L F D'
F2 U' D' R2 L F D2
F2 U' D' R2 D L F
F2 U' D' R2 D' L F
F2 U' D' R2 D2 L F
F2 U' D' R2 F L F
F2 U' D' R2 F' L F
F2 U' D' R2 F2 L F
F2 U' D' F L R2 F
F2 U' D' F L F R2
F2 U' D' F R2 L F
F2 U' D' F' L R2 F
F2 U' D' F' L F R2
F2 U' D' F' R2 L F
F2 U' D' F2 L R2 F
F2 U' D' F2 L F R2
F' U' D2 L D R2 F
F' U' D2 L D F R2
F2 U' D' F2 R2 L F
F2 U' D2 L D R2 F
F2 U' D2 L D F R2
F U' D' L R' F R'
F U' D' L R2 D F
F U' D' L R2 D' F
F U' D' L R2 D2 F
F U' D' L R2 F D
F U' D' L R2 F D'
F U' D' L R2 F D2
F U' D' L F R2 D
F U' D' L F R2 D'
F U' D' L F R2 D2
F U' D' L F' R2 F2
F U' D' R' L F R'
F' U' F L D' R2 F
F' U' F L D' F R2
F' U' F L F D' R2
F U' D' R2 L D F
F U' D' R2 L D' F
F U' D' R2 L D2 F
F U' D' R2 L F D
F U' D' R2 L F D'
F U' D' R2 L F D2
F U' D' R2 D L F
F U' D' R2 D' L F
F U' D' R2 D2 L F
F U' D' R2 F L F
F U' D' R2 F' L F
F U' D' R2 F2 L F
F U' D' F L R2 F
F U' D' F L F R2
F U' D' F R2 L F
F U' D' F' L R2 F
F U' D' F' L F R2
F U' D' F' R2 L F
F U' D' F2 L R2 F
F U' D' F2 L F R2
F2 U' F L D' R2 F
F2 U' F L D' F R2
F U' D' F2 R2 L F
F2 U' F L F D' R2
F U' D2 L D R2 F
F U' D2 L D F R2
U' D2 L R D R2 F
U' D2 L R D F R2
U' D2 L R' D R2 F
U' D2 L R' D F R2
F' U' F D' L R2 F
F' U' F D' L F R2
F' U' F D' R2 L F
U' D2 L R2 D R2 F
U' D2 L R2 D F R2
U' D2 L U F2 U' F'
F2 U' F D' L R2 F
F2 U' F D' L F R2
F2 U' F D' R2 L F
U' D2 L D R' F R'
U' D2 L D R2 D F
U' D2 L D R2 D' F
U' D2 L D R2 D2 F
U' D2 L D R2 F D
U' D2 L D R2 F D'
U' D2 L D R2 F D2
U' D2 L D F R2 D
U' D2 L D F R2 D'
U' D2 L D F R2 D2
F' U' F' L D' R2 F
U' D2 L D F' R2 F2
F' U' F' L D' F R2
F' U' F' L F D' R2
U' D2 L D' F D2 R2
U' D2 L D2 F D' R2
U' D2 L F U F U'
F2 U' F' L D' R2 F
F2 U' F' L D' F R2
F2 U' F' L F D' R2
F U' F L D' R2 F
F U' F L D' F R2
F U' F L F D' R2
U D' B2 R' U2 F' R'
F' U' F' D' L R2 F
F' U' F' D' L F R2
F' U' F' D' R2 L F
L D2 L' F2 U' L F
L2 D2 L2 F2 U' L F
R' D2 R F2 U' L F
F2 U' F' D' L R2 F
F2 U' F' D' L F R2
F2 U' F' D' R2 L F
F' U' F2 L D' R2 F
F' U' F2 L D' F R2
F' U' F2 L F D' R2
F U' F D' L R2 F
F U' F D' L F R2
F U' F D' R2 L F
F2 U' F2 L D' R2 F
F2 U' F2 L D' F R2
F2 U' F2 L F D' R2
F U' F' L D' R2 F
F U' F' L D' F R2
F U' F' L F D' R2
F' U' F2 D' L R2 F
F' U' F2 D' L F R2
F' U' F2 D' R2 L F
F2 U' F2 D' L R2 F
F2 U' F2 D' L F R2
F2 U' F2 D' R2 L F
F U' F' D' L R2 F
F U' F' D' L F R2
F U' F' D' R2 L F
F U' F2 L D' R2 F
F U' F2 L D' F R2
F U' F2 L F D' R2
U' D2 R L D R2 F
U' D2 R L D F R2
D' U2 R U L R F
D' U2 R U R L F
U' D2 R D L R2 F
U' D2 R D L F R2
U' D2 R D R2 L F
F U' F2 D' L R2 F
F U' F2 D' L F R2
F U' F2 D' R2 L F
U' D2 R' L D R2 F
U' D2 R' L D F R2
D' U2 R' U L R' F
D' U2 R' U L F R'
D' U2 R' U R' L F
R D2 R' F2 U' L F
U' D2 R' D L R2 F
U' D2 R' D L F R2
U' D2 R' D R2 L F
U' D2 R2 L D R2 F
U' D2 R2 L D F R2
U' D2 R2 D L R2 F
U' D2 R2 D L F R2
U' D2 R2 D R2 L F
D' U2 F R U L R
D' U2 F R U R L
U' D2 F' L F D R2
L2 D2 F2 U R B U2
L2 D2 B L F2 U' L2
B' U2 R' F' B' U L'
L D2 F2 L' U' L F
B' U2 R' B' F' U L'
R D2 F2 R' U' L F
L D2 F2 B L U' L'
L D2 B F2 L U' L'
U' F L R D' R2 F
U' F L R D' F R2
U' F L R F D' R2
U' F L R' D' R2 F
U' F L R' D' F R2
U' F L R' F D' R2
U' F L R2 D' R2 F
U' F L R2 D' F R2
U' F L R2 F D' R2
U' F L U' B2 U F
U' F L D F D2 R2
U' F L D' R' F R'
U' F L D' R2 D F
U' F L D' R2 D' F
U' F L D' R2 D2 F
U' F L D' R2 F D
U' F L D' R2 F D'
U' F L D' R2 F D2
U' F L D' F R2 D
U' F L D' F R2 D'
U' F L D' F R2 D2
U' F L D' F' R2 F2
U' F L F R D' R2
U' F L F R' D' R2
U' F L F R2 D' R2
U' F L F U' B2 U
U' F L F D' R2 D
U' F L F D' R2 D'
U' F L F D' R2 D2
U' F L F2 D' F' R2
U' F R L D' R2 F
U' F R L D' F R2
U' F R L F D' R2
B' U2 F' R' B' U L'
U' F R D' L R2 F
U' F R D' L F R2
U' F R D' R2 L F
U' F R' L D' R2 F
U' F R' L D' F R2
U2 F R U L D' R2
U' F R' L F D' R2
U2 F R U D' L R2
U2 F R U D' R2 L
U2 F R D' U L R2
U2 F R D' U R2 L
U' F R' D' L R2 F
U' F R' D' L F R2
U' F R' D' R2 L F
U2 F R B2 U' R' U2
U' F R2 L D' R2 F
U' F R2 L D' F R2
U' F R2 L F D' R2
U' F R2 D' L R2 F
U' F R2 D' L F R2
U' F R2 D' R2 L F
D' F U' L R' F R'
D' F U' L R2 D F
D' F U' L R2 D' F
D' F U' L R2 D2 F
D' F U' L R2 F D
D' F U' L R2 F D'
D' F U' L R2 F D2
D' F U' L F R2 D
D' F U' L F R2 D'
D' F U' L F R2 D2
D' F U' L F' R2 F2
D' F U' R' L F R'
F' U2 B2 U' R' U2 F'
D' F U' R2 L D F
D' F U' R2 L D' F
D' F U' R2 L D2 F
D' F U' R2 L F D
D' F U' R2 L F D'
D' F U' R2 L F D2
D' F U' R2 D L F
D' F U' R2 D' L F
D' F U' R2 D2 L F
D' F U' R2 F L F
D' F U' R2 F' L F
D' F U' R2 F2 L F
F2 U2 B2 U' R' U2 F'
D' F U' F L R2 F
D' F U' F L F R2
D' F U' F R2 L F
D' F U' F' L R2 F
D' F U' F' L F R2
D' F U' F' R2 L F
D' F U' F2 L R2 F
D' F U' F2 L F R2
D' F U' F2 R2 L F
F U2 B2 U' R' U2 F'
D F U' D2 L R2 F
D F U' D2 L F R2
D F U' D2 R2 L F
D2 F D F U' L F
B D L B' U' D' R2
B D L B' U2 B2 U
B D L B' D' U' R2
B D L B' D2 F2 U'
U' F D' L R' F R'
U' F D' L R2 D F
U' F D' L R2 D' F
U' F D' L R2 D2 F
U' F D' L R2 F D
U' F D' L R2 F D'
U' F D' L R2 F D2
U' F D' L F R2 D
U' F D' L F R2 D'
U' F D' L F R2 D2
U' F D' L F' R2 F2
U' F D' R' L F R'
U' F D' R2 L D F
U' F D' R2 L D' F
U' F D' R2 L D2 F
U' F D' R2 L F D
U' F D' R2 L F D'
U' F D' R2 L F D2
U' F D' R2 D L F
U' F D' R2 D' L F
U' F D' R2 D2 L F
U' F D' R2 F L F
U' F D' R2 F' L F
U' F D' R2 F2 L F
U' F D' F L R2 F
U' F D' F L F R2
U' F D' F R2 L F
U' F D' F' L R2 F
U' F D' F' L F R2
U' F D' F' R2 L F
U' F D' F2 L R2 F
U' F D' F2 L F R2
U' F D' F2 R2 L F
D2 F D' F U' L F
D' F D' F2 U' L F
U' F D2 L D R2 F
U' F D2 L D F R2
U2 F D' R U L R
U2 F D' R U R L
D F D F2 U' L F
D2 F D2 F U' L F
D F D2 U' L R2 F
D F D2 U' L F R2
D F D2 U' R2 L F
U' F' L R D' R2 F
U' F' L R D' F R2
U' F' L R F D' R2
U' F' L R' D' R2 F
U' F' L R' D' F R2
U' F' L R' F D' R2
U' F' L R2 D' R2 F
U' F' L R2 D' F R2
U' F' L R2 F D' R2
U' F' L U' B2 U F
U2 F B2 R U D2 L2
U2 F B2 R U' R2 U2
U2 F B2 R D' F2 U
U2 F B2 R D2 U L2
U' F' L D F D2 R2
U' F' L D' R' F R'
U' F' L D' R2 D F
U' F' L D' R2 D' F
U' F' L D' R2 D2 F
U' F' L D' R2 F D
U' F' L D' R2 F D'
U' F' L D' R2 F D2
U' F' L D' F R2 D
U' F' L D' F R2 D'
U' F' L D' F R2 D2
U' F' L D' F' R2 F2
U' F' L F R D' R2
U' F' L F R' D' R2
U' F' L F R2 D' R2
U' F' L F U' B2 U
U' F' L F D' R2 D
U' F' L F D' R2 D'
U' F' L F D' R2 D2
U' F' L F2 D' F' R2
U' F' R L D' R2 F
U' F' R L D' F R2
U' F' R L F D' R2
U' F' R D' L R2 F
U' F' R D' L F R2
U' F' R D' R2 L F
U' F' R' L D' R2 F
U' F' R' L D' F R2
U' F' R' L F D' R2
U' F' R' D' L R2 F
U' F' R' D' L F R2
U' F' R' D' R2 L F
U' F' R2 L D' R2 F
U' F' R2 L D' F R2
U' F' R2 L F D' R2
U' F' R2 D' L R2 F
U' F' R2 D' L F R2
U' F' R2 D' R2 L F
D' F' U' L R' F R'
D' F' U' L R2 D F
D' F' U' L R2 D' F
D' F' U' L R2 D2 F
D' F' U' L R2 F D
D' F' U' L R2 F D'
D' F' U' L R2 F D2
D2 F' U' L F D R2
D' F' U' L F R2 D
D' F' U' L F R2 D'
D' F' U' L F R2 D2
D' F' U' L F' R2 F2
D' F' U' R' L F R'
D' F' U' R2 L D F
D' F' U' R2 L D' F
D' F' U' R2 L D2 F
D' F' U' R2 L F D
D' F' U' R2 L F D'
D' F' U' R2 L F D2
D' F' U' R2 D L F
D' F' U' R2 D' L F
D' F' U' R2 D2 L F
D' F' U' R2 F L F
D' F' U' R2 F' L F
D' F' U' R2 F2 L F
D' F' U' F L R2 F
D' F' U' F L F R2
D' F' U' F R2 L F
D' F' U' F' L R2 F
D' F' U' F' L F R2
D' F' U' F' R2 L F
D' F' U' F2 L R2 F
D' F' U' F2 L F R2
D' F' U' F2 R2 L F
D F' U' D2 L R2 F
D F' U' D2 L F R2
D F' U' D2 R2 L F
D2 F' D F' U' L F
U' F' D' L R' F R'
U' F' D' L R2 D F
U' F' D' L R2 D' F
U' F' D' L R2 D2 F
U' F' D' L R2 F D
U' F' D' L R2 F D'
U' F' D' L R2 F D2
U' F' D' L F R2 D
U' F' D' L F R2 D'
U' F' D' L F R2 D2
U' F' D' L F' R2 F2
U' F' D' R' L F R'
U' F' D' R2 L D F
U' F' D' R2 L D' F
U' F' D' R2 L D2 F
U' F' D' R2 L F D
U' F' D' R2 L F D'
U' F' D' R2 L F D2
U' F' D' R2 D L F
U' F' D' R2 D' L F
U' F' D' R2 D2 L F
U' F' D' R2 F L F
U' F' D' R2 F' L F
U' F' D' R2 F2 L F
U' F' D' F L R2 F
U' F' D' F L F R2
U' F' D' F R2 L F
U' F' D' F' L R2 F
U' F' D' F' L F R2
U' F' D' F' R2 L F
U' F' D' F2 L R2 F
U' F' D' F2 L F R2
U' F' D' F2 R2 L F
D2 F' D' F' U' L F
D' F' D' F2 U' L F
U' F' D2 L D R2 F
U' F' D2 L D F R2
D F' D F2 U' L F
D2 F' D2 F' U' L F
D F' D2 U' L R2 F
D F' D2 U' L F R2
D F' D2 U' R2 L F
U' F2 L R D' R2 F
U' F2 L R D' F R2
U' F2 L R F D' R2
B2 D' U R' B U2 R
U' F2 L R' D' R2 F
U' F2 L R' D' F R2
U' F2 L R' F D' R2
U' F2 L R2 D' R2 F
U' F2 L R2 D' F R2
U' F2 L R2 F D' R2
U' F2 L U' B2 U F
F' D' U' L R' F R'
F' D' U' L R2 D F
F' D' U' L R2 D' F
F' D' U' L R2 D2 F
F' D' U' L R2 F D
F' D' U' L R2 F D'
F' D' U' L R2 F D2
F' D' U' L F R2 D
F' D' U' L F R2 D'
F' D' U' L F R2 D2
F' D' U' L F' R2 F2
U' F2 L D F D2 R2
U' F2 L D' R' F R'
U' F2 L D' R2 D F
U' F2 L D' R2 D' F
U' F2 L D' R2 D2 F
U' F2 L D' R2 F D
U' F2 L D' R2 F D'
U' F2 L D' R2 F D2
U' F2 L D' F R2 D
U' F2 L D' F R2 D'
U' F2 L D' F R2 D2
U' F2 L D' F' R2 F2
U' F2 L F R D' R2
