U R' U2 R U
U L R' U2 R U
U' L U2 L' R' U'
U' L U2 R' L' U'
U L' R' U2 R U
U' L' U2 L R' U'
U' L' U2 R' L U'
U L2 R' U2 R U
U' L2 U2 L2 R' U'
U' L2 U2 R' L2 U'
U R' L U2 R U
U R' L' U2 R U
U R' L2 U2 R U
U R' U2 R U D
U R' U2 R U D'
U R' U2 R U D2
U R' U2 R D U
U R' U2 R D' U
U R' U2 R D2 U
U R' U2 D R U
U R' U2 D' R U
U R' U2 D2 R U
U R' D U2 R U
U R' D' U2 R U
U R' D2 U2 R U
U R' F2 L' F2 U'
U R2 D' R U' F2
U R2 D2 L2 R U'
U R2 D2 R L2 U'
R D R' B2 D2 F2
F' U R' U2 R U
D2 U R' U2 R U
F2 U R' U2 R U
D' U R' U2 R U
U D R' U2 R U
D U R' U2 R U
F U R' U2 R U
B2 U' L U D2 F2
B2 U' L U' B2 U2
B2 U' L D' R2 U
B2 U' L D2 U F2
U D' R' U2 R U
B2 U' D' L R2 U
B2 U' D' R2 L U
B2 U' D2 L U F2
U D2 R' U2 R U
U D2 R' U2 R U
B' U2 B U' R' U'
B2 U2 B2 U' R' U'
U2 F' U' R' U' F
B2 D' U' L R2 U
B2 D' U' R2 L U
U F2 R' F2 L' U'
U2 F2 U' R' U' F2
B2 D2 U' L U F2
B2 D2 F2 U' L U
U' D2 L U2 L' R' U'
U' D2 L U2 R' L' U'
R2 D2 L2 U' R U' L2
U' D2 L' U2 L R' U'
U' D2 L' U2 R' L U'
U D2 L R' U2 R U
U' D2 L2 U2 L2 R' U'
U' D2 L2 U2 R' L2 U'
U D2 L' R' U2 R U
L2 D2 R2 U' R U' R
U D2 L2 R' U2 R U
R D2 R' D' B2 D2 F2
U D2 R' L U2 R U
U D2 R' L' U2 R U
U D2 R' L2 U2 R U
U D2 R' U2 R U D
U D2 R' U2 R U D'
U D2 R' U2 R U D2
U D2 R' U2 R D U
U D2 R' U2 R D' U
U D2 R' U2 R D2 U
U D2 R' U2 D R U
U D2 R' U2 D' R U
U D2 R' U2 D2 R U
U D2 R' D U2 R U
U D2 R' D' U2 R U
U D2 R' D2 U2 R U
U D2 R' F2 L' F2 U'
U D2 R2 D' R U' F2
U D2 R2 D2 L2 R U'
U D2 R2 D2 R L2 U'
D' U2 F' U' R' U' F
D2 U2 F' U' R' U' F
U2 D2 F' U' R' U' F
D' U2 F2 U' R' U' F2
D2 U2 F2 U' R' U' F2
D U2 F' U' R' U' F
U2 D2 F2 U' R' U' F2
D U2 F2 U' R' U' F2
U D2 F2 R' F2 L' U'
B' U2 F B U' R' U'
B2 U2 F B2 U' R' U'
F' U2 F' U' R' U' F
B' U2 F' B U' R' U'
F2 U2 F' U' R' U' F
B U2 F B' U' R U'
B2 U2 F' B2 U' R' U'
F' U2 F2 U' R' U' F2
B' U2 F2 B U' R' U'
F2 U2 F2 U' R' U' F2
F U2 F' U' R' U' F
B U2 F' B' U L' U
B2 U2 F2 B2 U' R' U'
B' U2 B U' R' U' D
B' U2 B U' R' U' D'
B' U2 B U' R' U' D2
B' U2 B U' R' D U'
B' U2 B U' R' D' U'
B' U2 B U' R' D2 U'
B' U2 B U' D R' U'
B' U2 B U' D' R' U'
B' U2 B U' D2 R' U'
B' U2 B D U' R' U'
B' U2 B D' U' R' U'
B' U2 B D2 U' R' U'
B' U2 B F U' R' U'
B' U2 B F' U' R' U'
B' U2 B F2 U' R' U'
F U2 F2 U' R' U' F2
D' F U R' U2 R U
D2 F U R' U2 R U
B U2 B' U L' U B'
B U2 B' U' R U' B
B2 U2 B2 U' R' U' D
B2 U2 B2 U' R' U' D'
B2 U2 B2 U' R' U' D2
B2 U2 B2 U' R' D U'
B2 U2 B2 U' R' D' U'
B2 U2 B2 U' R' D2 U'
B2 U2 B2 U' D R' U'
B2 U2 B2 U' D' R' U'
B2 U2 B2 U' D2 R' U'
B2 U2 B2 D U' R' U'
B2 U2 B2 D' U' R' U'
D F U R' U2 R U
B2 U2 B2 D2 U' R' U'
B U2 B' F U' R U'
B U2 B' F' U L' U
B2 U2 B2 F U' R' U'
B2 U2 B2 F' U' R' U'
B2 U2 B2 F2 U' R' U'
B' D L B' L' D2 F2
B' D L B' D2 L' F2
U2 F U2 F' U R' U'
R F D R' B2 D2 F2
F' D U R' U2 R U
B2 D U L2 U2 L' U
F2 D U R' U2 R U
B2 D U' L U2 L U'
U2 F B2 U L U F'
F D U R' U2 R U
D2 F' U R' U2 R U
D' F' U R' U2 R U
U F' R' F2 L' F' U'
B2 D B2 U L2 R' U'
B2 D B2 U R' L2 U'
D F' U R' U2 R U
U2 F' U' R' U' D F
U2 F' U' R' U' D' F
U2 F' U' R' U' D2 F
U2 F' U' R' U' F D
U2 F' U' R' U' F D'
U2 F' U' R' U' F D2
B2 D' L R2 U L' R2
B2 D' L R2 U R2 L'
U2 F' U' R' D U' F
U2 F' U' R' D' U' F
U2 F' U' R' D2 U' F
U2 F' U' D R' U' F
U2 F' U' D' R' U' F
U2 F' U' D2 R' U' F
U2 F' U2 F U R' U'
B2 D' L' D' L F2 B2
B2 D' L' D' L B2 F2
B2 D' L' D' F2 L B2
U2 F' D U' R' U' F
U2 F' D' U' R' U' F
R F' D R' B2 D2 F2
U2 F' D2 U' R' U' F
B' D' R' B R' F' R2
B2 D' R2 L U L' R2
B2 D' R2 L U R2 L'
B' D' R2 F' R B R
F' D' U R' U2 R U
F2 D' U R' U2 R U
B2 D' U' L R2 U D
B2 D' U' L R2 U D'
B2 D' U' L R2 U D2
B2 D' U' L R2 D U
B2 D' U' L R2 D' U
B2 D' U' L R2 D2 U
B2 D' U' L U D' F2
B2 D' U' L D' U F2
B2 D' U' R2 L U D
B2 D' U' R2 L U D'
B2 D' U' R2 L U D2
B2 D' U' R2 L D U
B2 D' U' R2 L D' U
B2 D' U' R2 L D2 U
B2 D' U' R2 D L U
B2 D' U' R2 D' L U
B2 D' U' R2 D2 L U
F D' U R' U2 R U
U F2 L R' F2 L' U'
B2 D' F U' L R2 U
B2 D' F U' R2 L U
U F2 L' R' F2 L' U'
B2 D' F' U' L R2 U
B2 D' F' U' R2 L U
U F2 L2 R' F2 L' U'
B2 D' F2 U' L R2 U
B2 D' F2 U' R2 L U
L F2 R U' R2 U' R
L F2 R U2 D R' B2
L F2 R D U2 R' B2
L F2 R D' F2 U2 R'
U F2 R' L F2 L' U'
U F2 R' L' F2 L' U'
U F2 R' L2 F2 L' U'
D2 F2 U R' U2 R U
D' F2 U R' U2 R U
U F2 R' F2 L' U' D
U F2 R' F2 L' U' D'
U F2 R' F2 L' U' D2
U F2 R' F2 L' D U'
U F2 R' F2 L' D' U'
U F2 R' F2 L' D2 U'
U F2 R' F2 D L' U'
U F2 R' F2 D' L' U'
U F2 R' F2 D2 L' U'
D F2 U R' U2 R U
U2 F2 U' L R' U' F2
U2 F2 U' L' R' U' F2
U2 F2 U' L2 R' U' F2
U2 F2 U' R' L U' F2
U2 F2 U' R' L' U' F2
U2 F2 U' R' L2 U' F2
U2 F2 U' R' U' F2 D
U2 F2 U' R' U' F2 D'
U2 F2 U' R' U' F2 D2
U2 F2 U' R' D' L2 U'
U2 F2 U' D' L2 R' U'
U2 F2 U' D' R' L2 U'
U2 F2 U2 F2 U R' U'
B2 D2 L' F2 D' L B2
U2 F2 D' U' L2 R' U'
U2 F2 D' U' R' L2 U'
R F2 D R' B2 D2 F2
U2 F2 D2 B2 U L U
F' D2 U R' U2 R U
F2 D2 U R' U2 R U
B2 D2 U' L R U F2
B2 D2 U' L R' U F2
B2 D2 U' L R2 U F2
B2 D2 U' L U F2 D
B2 D2 U' L U F2 D'
B2 D2 U' L U F2 D2
B2 D2 U' L D R2 U
U2 F2 B2 U L U F2
B2 D2 U' R L U F2
B2 D2 U' R' L U F2
B2 D2 U' R2 L U F2
F D2 U R' U2 R U
R' B L2 U' R F L2
B2 D2 F' U' L U F'
B2 D2 F2 L' D' L B2
B2 D2 F2 U' L U D
B2 D2 F2 U' L U D'
B2 D2 F2 U' L U D2
B2 D2 F2 U' L D U
B2 D2 F2 U' L D' U
B2 D2 F2 U' L D2 U
B2 D2 F2 U' D L U
B2 D2 F2 U' D' L U
B2 D2 F2 U' D2 L U
B2 D2 F2 D U' L U
B2 D2 F2 D' U' L U
B2 D2 F2 D2 U' L U
B2 D2 F2 B2 U R' U'
B2 D2 B2 U R' U' F2
B2 D2 B2 F2 U R' U'
B2 F U' L U D2 F2
B2 F U' L U' B2 U2
B2 F U' L D' R2 U
B2 F U' L D2 U F2
B2 F U' D' L R2 U
B2 F U' D' R2 L U
B2 F U' D2 L U F2
B' F U2 B U' R' U'
B2 F U2 B2 U' R' U'
B2 F D' U' L R2 U
B2 F D' U' R2 L U
B2 F D2 U' L U F2
B2 F D2 F2 U' L U
R' B' R2 D F' R' B2
R' B' R2 F' D R' B2
R2 B' R' D R' F' B2
R2 B' R' D R' B2 F'
R2 B' R2 F' U R' U'
R2 B' U R U' R F'
D2 B' U2 B U' R' U'
D' B' U2 B U' R' U'
D B' U2 B U' R' U'
B2 F' U' L U D2 F2
B2 F' U' L U' B2 U2
B2 F' U' L D' R2 U
B2 F' U' L D2 U F2
B2 F' U' D' L R2 U
B2 F' U' D' R2 L U
B2 F' U' D2 L U F2
B' F' U2 B U' R' U'
F' B' U2 B U' R' U'
F2 B' U2 B U' R' U'
B2 F' U2 B2 U' R' U'
U' B2 L B2 U2 L' U'
F B' U2 B U' R' U'
B2 F' D' U' L R2 U
B2 F' D' U' R2 L U
U' B2 L' B2 L2 R' U
U' B2 L' B2 R' L2 U
B2 F' D2 U' L U F2
B2 F' D2 F2 U' L U
L B2 L' D' B2 D' F2
L B2 L' D2 F2 D B2
U B2 R B2 L R' U'
U B2 R B2 R' L U'
U2 B2 U L U2 L' U'
D2 B2 U' L U D2 F2
D2 B2 U' L U' B2 U2
D2 B2 U' L D' R2 U
D2 B2 U' L D2 U F2
D' B2 U' L U D2 F2
D' B2 U' L U' B2 U2
D' B2 U' L D' R2 U
D' B2 U' L D2 U F2
D2 B2 U' D' L R2 U
D2 B2 U' D' R2 L U
D2 B2 U' D2 L U F2
D' B2 U' D' L R2 U
D' B2 U' D' R2 L U
D' B2 U' D2 L U F2
D B2 U' L U D2 F2
D B2 U' L U' B2 U2
D B2 U' L D' R2 U
D B2 U' L D2 U F2
D2 B2 U2 B2 U' R' U'
R' B2 D L2 U' L2 R
R' B2 D L2 U' R L2
D' B2 U2 B2 U' R' U'
D B2 U' D' L R2 U
D B2 U' D' R2 L U
D B2 U' D2 L U F2
F' B2 U' L U D2 F2
F' B2 U' L U' B2 U2
F' B2 U' L D' R2 U
F' B2 U' L D2 U F2
B2 F2 U' L U D2 F2
B2 F2 U' L U' B2 U2
B2 F2 U' L D' R2 U
B2 F2 U' L D2 U F2
F2 B2 U' L U D2 F2
F2 B2 U' L U' B2 U2
F2 B2 U' L D' R2 U
F2 B2 U' L D2 U F2
F' B2 U' D' L R2 U
F' B2 U' D' R2 L U
F' B2 U' D2 L U F2
D2 B2 D' U' L R2 U
D2 B2 D' U' R2 L U
B2 F2 U' D' L R2 U
B2 F2 U' D' R2 L U
B2 F2 U' D2 L U F2
D' B2 D' U' L R2 U
D' B2 D' U' R2 L U
D B2 U2 B2 U' R' U'
F2 B2 U' D' L R2 U
F2 B2 U' D' R2 L U
F2 B2 U' D2 L U F2
B' F2 U2 B U' R' U'
D2 B2 D2 U' L U F2
D' B2 D2 U' L U F2
D2 B2 D2 F2 U' L U
F B2 U' L U D2 F2
F B2 U' L U' B2 U2
F B2 U' L D' R2 U
F B2 U' L D2 U F2
F' B2 U2 B2 U' R' U'
D' B2 D2 F2 U' L U
B2 F2 U2 B2 U' R' U'
D B2 D' U' L R2 U
F B2 U' D' L R2 U
F2 B2 U2 B2 U' R' U'
D B2 D' U' R2 L U
F B2 U' D' R2 L U
F B2 U' D2 L U F2
L B2 D' L' D' F2 B2
L B2 D' L' D' B2 F2
R B2 D B2 R' D F2
R B2 D B2 D R' F2
R B2 D B2 D F2 R'
D B2 D2 U' L U F2
F' B2 D' U' L R2 U
F' B2 D' U' R2 L U
U2 B2 F U L U F'
D B2 D2 F2 U' L U
L B2 D2 L' F2 D' B2
B2 F2 D' U' L R2 U
B2 F2 D' U' R2 L U
F B2 U2 B2 U' R' U'
F2 B2 D' U' L R2 U
F2 B2 D' U' R2 L U
F' B2 D2 U' L U F2
B2 F2 D2 U' L U F2
F' B2 D2 F2 U' L U
F2 B2 D2 U' L U F2
R B2 D2 F2 D' B2 R'
B2 F2 D2 F2 U' L U
F2 B2 D2 F2 U' L U
U2 B2 F2 U L U F2
F B2 D' U' L R2 U
F B2 D' U' R2 L U
F B2 D2 U' L U F2
F B2 D2 F2 U' L U
