B L R' F2 U
B L F2 R' U
B R' L F2 U
B R' F2 L U
F2 B L R' U
F2 B R' L U
B F2 L R' U
B F2 R' L U
F2 B R2 D R L U
B F R' D2 F L U
B F R' F L U D
B F R' F L U D'
B F R' F L U D2
B F R' F L D U
B F R' F L D' U
B F R' F L D2 U
F2 B R2 D' L R U
F2 B R2 D' R L U
B F R' F D L U
B F R' F D' L U
B F R' F D2 L U
B F R' F' L F2 U
F2 B R2 D2 L R U
F2 B R2 D2 R L U
U' B F2 R' L' U B'
B F R' F2 L F' U
L2 B F' L F' R' U
U2 B F' L' F' R' U
F B R' D F L U
L' B F2 L R' U D
L' B F2 L R' U D'
L' B F2 L R' U D2
L' B F2 L R' D U
L' B F2 L R' D' U
L' B F2 L R' D2 U
L' B F2 L D R' U
L' B F2 L D' R' U
L' B F2 L D2 R' U
F B R' D' F L U
F B R' D2 F L U
F B R' F L U D
F B R' F L U D'
F B R' F L U D2
F B R' F L D U
F B R' F L D' U
F B R' F L D2 U
F B R' F D L U
F B R' F D' L U
F B R' F D2 L U
F B R' F' L F2 U
L' B F2 R' L U D
L' B F2 R' L U D'
L' B F2 R' L U D2
L' B F2 R' L D U
L' B F2 R' L D' U
L' B F2 R' L D2 U
F B R' F2 L F' U
L' B F2 R' D L U
L' B F2 R' D' L U
L' B F2 R' D2 L U
L' B F2 D L R' U
L' B F2 D R' L U
L B F R' F L U
L2 B F2 L R' U D
L2 B F2 L R' U D'
L2 B F2 L R' U D2
L2 B F2 L R' D U
L2 B F2 L R' D' U
L2 B F2 L R' D2 U
L' B F2 D' L R' U
L2 B F2 L D R' U
L2 B F2 L D' R' U
L' B F2 D' R' L U
L2 B F2 L D2 R' U
L' B F2 D2 L R' U
L' B F2 D2 R' L U
L2 B F2 R' L U D
L2 B F2 R' L U D'
L2 B F2 R' L U D2
L2 B F2 R' L D U
L2 B F2 R' L D' U
L2 B F2 R' L D2 U
L2 B F2 R' D L U
L2 B F2 R' D' L U
L2 B F2 R' D2 L U
L B F' L F' R' U
L2 B F2 D L R' U
L2 B F2 D R' L U
U2 B F2 D R' U B
L2 B F2 D' L R' U
L2 B F2 D' R' L U
L2 B F2 D2 L R' U
L2 B F2 D2 R' L U
L B F2 L R' U D
L B F2 L R' U D'
L B F2 L R' U D2
L B F2 L R' D U
L B F2 L R' D' U
L B F2 L R' D2 U
L B F2 L D R' U
L B F2 L D' R' U
L B F2 L D2 R' U
L B F2 R' L U D
L B F2 R' L U D'
L B F2 R' L U D2
L B F2 R' L D U
L B F2 R' L D' U
L B F2 R' L D2 U
U B F2 R' U' F' U2
L B F2 R' D L U
L B F2 R' D' L U
L B F2 R' D2 L U
R B F2 L R' B U
L B F2 D L R' U
L B F2 D R' L U
L B F2 D' L R' U
L B F2 D' R' L U
L B F2 D2 L R' U
L B F2 D2 R' L U
R B F2 R' L B U
F' B D L F' R' U
F2 B D L R' U D
F2 B D L R' U D'
F2 B D L R' U D2
F2 B D L R' D U
F2 B D L R' D' U
F2 B D L R' D2 U
F2 B D L D R' U
F2 B D L D' R' U
F2 B D L D2 R' U
F2 B D R' L U D
F2 B D R' L U D'
F2 B D R' L U D2
F2 B D R' L D U
F2 B D R' L D' U
F2 B D R' L D2 U
F2 B D R' D L U
F2 B D R' D' L U
F2 B D R' D2 L U
F' B D F' L R' U
F' B D F' R' L U
F' B D' L F' R' U
F2 B D' L R' U D
F2 B D' L R' U D'
F2 B D' L R' U D2
F2 B D' L R' D U
F2 B D' L R' D' U
F2 B D' L R' D2 U
F2 B D' L D R' U
F2 B D' L D' R' U
F2 B D' L D2 R' U
B F D R' F L U
F2 B D' R' L U D
F2 B D' R' L U D'
F2 B D' R' L U D2
F2 B D' R' L D U
F2 B D' R' L D' U
F2 B D' R' L D2 U
F2 B D' R' D L U
F2 B D' R' D' L U
F2 B D' R' D2 L U
F' B D' F' L R' U
F' B D' F' R' L U
B F D F L R' U
B F D F R' L U
F B D R' F L U
F' B D2 L F' R' U
F B D F L R' U
F B D F R' L U
F2 B D2 L R' U D
F2 B D2 L R' U D'
F2 B D2 L R' U D2
F2 B D2 L R' D U
F2 B D2 L R' D' U
F2 B D2 L R' D2 U
F2 B D2 L D R' U
F2 B D2 L D' R' U
F2 B D2 L D2 R' U
B F D' R' F L U
F2 B D2 R' L U D
F2 B D2 R' L U D'
F2 B D2 R' L U D2
F2 B D2 R' L D U
F2 B D2 R' L D' U
F2 B D2 R' L D2 U
F2 B D2 R' D L U
F2 B D2 R' D' L U
F2 B D2 R' D2 L U
F' B D2 F' L R' U
F' B D2 F' R' L U
B F D' F L R' U
B F D' F R' L U
F B D' R' F L U
F B D' F L R' U
F B D' F R' L U
B F D2 R' F L U
B F D2 F L R' U
B F D2 F R' L U
F B D2 R' F L U
F B D2 F L R' U
F B D2 F R' L U
B F' L D F' R' U
B F' L D' F' R' U
B F' L D2 F' R' U
B F' L F R' F2 U
B F' L F' R' U D
B F' L F' R' U D'
B F' L F' R' U D2
B F' L F' R' D U
B F' L F' R' D' U
B F' L F' R' D2 U
B F' L F' D R' U
B F' L F' D' R' U
B F' L F' D2 R' U
B F' L F2 R' F U
B F' L' F' L2 R' U
B F' L' F' R' L2 U
B F' D L F' R' U
B F' D F' L R' U
B F' D F' R' L U
B F' D' L F' R' U
B F' D' F' L R' U
B F' D' F' R' L U
B F' D2 L F' R' U
B F' D2 F' L R' U
B F' D2 F' R' L U
B F2 L R U D' F2
B F2 L R D' U F2
B F2 L R2 D R U
B F2 L R2 D' R U
B F2 L R2 D2 R U
B F2 L D R' U D
B F2 L D R' U D'
B F2 L D R' U D2
B F2 L D R' D U
B F2 L D R' D' U
B F2 L D R' D2 U
B F2 L D' R' U D
B F2 L D' R' U D'
B F2 L D' R' U D2
B F2 L D' R' D U
B F2 L D' R' D' U
B F2 L D' R' D2 U
B F2 L D2 R' U D
B F2 L D2 R' U D'
B F2 L D2 R' U D2
B F2 L D2 R' D U
B F2 L D2 R' D' U
B F2 L D2 R' D2 U
B F2 L F' R' F U
B F2 L F2 R' F2 U
B F2 L' R' U D' B2
B F2 L' R' D' U B2
B F2 L' D' R' U B2
B F2 L2 R' D L' U
B F2 L2 R' D' L' U
B F2 L2 R' D2 L' U
B F2 L2 D L' R' U
B F2 L2 D R' L' U
B F2 L2 D' L' R' U
B F2 L2 D' R' L' U
B F2 L2 D2 L' R' U
B F2 L2 D2 R' L' U
B2 F2 R B' L R' U
B2 F2 R B' R' L U
B F2 R L U D' F2
F2 B2 R B' L R' U
B F2 R L D' U F2
F2 B2 R B' R' L U
B F2 R D' L U F2
B2 F2 R' B' L R' U
B2 F2 R' B' R' L U
F2 B2 R' B' L R' U
F2 B2 R' B' R' L U
F2 B2 R' B' R' L U
B F2 R' L' U D' B2
B F2 R' L' D' U B2
B F2 R' L2 D L' U
B F2 R' L2 D' L' U
B F2 R' L2 D2 L' U
B F2 R' D L U D
B F2 R' D L U D'
B F2 R' D L U D2
B F2 R' D L D U
B F2 R' D L D' U
B F2 R' D L D2 U
B F2 R' D' L U D
B F2 R' D' L U D'
B F2 R' D' L U D2
B F2 R' D' L D U
B F2 R' D' L D' U
B F2 R' D' L D2 U
B F2 R' D2 L U D
B F2 R' D2 L U D'
B F2 R' D2 L U D2
B F2 R' D2 L D U
B F2 R' D2 L D' U
B F2 R' D2 L D2 U
B F2 R' F L F' U
B F2 R' F2 L F2 U
B2 F2 R2 B' L R' U
B2 F2 R2 B' R' L U
F2 B2 R2 B' L R' U
B F2 R2 L D R U
B F2 R2 L D' R U
B F2 R2 L D2 R U
F2 B2 R2 B' R' L U
B F2 R2 D L R U
B F2 R2 D R L U
B F2 R2 D' L R U
B F2 R2 D' R L U
B F2 R2 D2 L R U
B F2 R2 D2 R L U
B F2 D L R' U D
B F2 D L R' U D'
B F2 D L R' U D2
B F2 D L R' D U
B F2 D L R' D' U
B F2 D L R' D2 U
B F2 D L D R' U
B F2 D L D' R' U
B F2 D L D2 R' U
B F2 D R' L U D
B F2 D R' L U D'
B F2 D R' L U D2
B F2 D R' L D U
B F2 D R' L D' U
B F2 D R' L D2 U
B F2 D R' D L U
B F2 D R' D' L U
B F2 D R' D2 L U
B2 F2 D' B' R' U B
B F2 D' L R' U D
B F2 D' L R' U D'
B F2 D' L R' U D2
B F2 D' L R' D U
B F2 D' L R' D' U
B F2 D' L R' D2 U
B F2 D' L D R' U
B F2 D' L D' R' U
B F2 D' L D2 R' U
F2 B2 D' B' R' U B
B F2 D' R' L U D
B F2 D' R' L U D'
B F2 D' R' L U D2
B F2 D' R' L D U
B F2 D' R' L D' U
B F2 D' R' L D2 U
B F2 D' R' D L U
B F2 D' R' D' L U
B F2 D' R' D2 L U
B F2 D2 L R' U D
B F2 D2 L R' U D'
B F2 D2 L R' U D2
B F2 D2 L R' D U
B F2 D2 L R' D' U
B F2 D2 L R' D2 U
B F2 D2 L D R' U
B F2 D2 L D' R' U
B F2 D2 L D2 R' U
B F2 D2 R' L U D
B F2 D2 R' L U D'
B F2 D2 R' L U D2
B F2 D2 R' L D U
B F2 D2 R' L D' U
B F2 D2 R' L D2 U
B F2 D2 R' D L U
B F2 D2 R' D' L U
B F2 D2 R' D2 L U
