F' L' D R2 B2
F' L' D B2 R2
F' D L' R2 B2
F' D L' B2 R2
F' D R2 L' B2
F' D R2 B2 L'
F' D B2 L' R2
F' D B2 R2 L'
F' D B' R2 B' L' D'
F' D B' R2 B' L' D2
F' D B' R2 B' D L'
F' D B' R2 B' D' L'
F' D B' R2 B' D2 L'
F' D B' R2 B2 L' B
D F' R' B2 L' D R2
D F' R' B2 D L' R2
D F' R' B2 D R2 L'
D F' R2 L' B2 D R2
F' D B2 L' R D R
F' D B2 L' R D' R
F' D B2 L' R D2 R
F' D B2 L' R' D R'
F' D B2 L' R' D' R'
F' D B2 L' R' D2 R'
F' D B2 L' F' R2 F
F' D B2 L' F2 R2 F2
F' D B2 L' B R2 B'
F' D B2 L' B2 R2 B2
F' D B2 L2 R2 D L
F' D B2 L2 R2 D' L
F' D B2 L2 R2 D2 L
F' D B2 R L' D R
F' D B2 R L' D' R
F' D B2 R L' D2 R
F' D B2 R D L' R
F' D B2 R D R L'
F' D B2 R D' L' R
F' D B2 R D' R L'
F' D B2 R D2 L' R
F' D B2 R D2 R L'
F' D B2 R' L' D R'
F' D B2 R' L' D' R'
F' D B2 R' L' D2 R'
F' D B2 R' D L' R'
F' D B2 R' D R' L'
F' D B2 R' D' L' R'
F' D B2 R' D' R' L'
F' D B2 R' D2 L' R'
F' D B2 R' D2 R' L'
F' D B2 R2 L2 D L
F' D B2 R2 L2 D' L
F' D B2 R2 L2 D2 L
F' D B2 R2 D L' D
F' D B2 R2 D L' D'
F' D B2 R2 D L' D2
F' D B2 R2 D' L' D
F' D B2 R2 D' L' D'
F' D B2 R2 D' L' D2
F' D B2 R2 D2 L' D
F' D B2 R2 D2 L' D'
F' D B2 R2 D2 L' D2
F' D B2 R2 B' L' B
F' D B2 R2 B2 L' B2
D F' R2 B2 L' D R2
B' D B2 F' L' D R2
D F' R2 B2 D L' R2
D F' R2 B2 D R2 L'
F' D B2 D L' D' R2
B' D B2 F' D L' R2
B' D B2 F' D R2 L'
F' D B2 D' L' D R2
F' D B2 F' R2 F L'
B2 D B2 F' L' D R2
B2 D B2 F' D L' R2
B2 D B2 F' D R2 L'
R2 F' U' L' D R2 F'
R2 F' U' D L' R2 F'
R2 F' U' D R2 L' F'
B D B2 F' L' D R2
B D B2 F' D L' R2
B D B2 F' D R2 L'
D' F' D L R2 B L2
D2 F' D L' R2 D2 B2
F' D' L' U2 L' F2 U2
D' F' D L' R2 D B
D' F' D L' R2 D' B
D' F' D L' R2 D2 B
D' F' D L' R2 B D
D' F' D L' R2 B D'
D' F' D L' R2 B D2
F' D' L' U2 F2 U2 R
D' F' D L' B R2 B
D' F' D L' B' R2 B
D' F' D L' B2 R2 B
D2 F' D R2 L' D2 B2
D' F' D R2 L B L2
D' F' D R2 L' D B
D' F' D R2 L' D' B
D' F' D R2 L' D2 B
D' F' D R2 L' B D
D' F' D R2 L' B D'
D' F' D R2 L' B D2
D2 F' D R2 D2 L' B2
D2 F' D R2 D2 B2 L'
D' F' D R2 D L' B
D' F' D R2 D B L'
D' F' D R2 D' L' B
D' F' D R2 D' B L'
D' F' D R2 D2 L' B
D' F' D R2 D2 B L'
D' F' D R2 B L' D
D' F' D R2 B L' D'
D' F' D R2 B L' D2
D' F' D R2 B D L'
D' F' D R2 B D' L'
D' F' D R2 B D2 L'
D' F' D R2 B' L' B2
D' F' D B L' R2 B
D' F' D B R2 L' B
D' F' D B R2 B L'
D' F' D B' L' R2 B
D' F' D B' R2 L' B
D' F' D B' R2 B L'
D' F' D B2 L' R2 B
D' F' D B2 R2 L' B
D' F' D B2 R2 B L'
D2 F' D' L B2 L2 R'
D2 F' D' L B2 R' L2
U2 F' D R2 B L B
F' D' L2 F2 U2 L F2
F' D' L2 F2 U2 F2 L
U2 F' D B L B R2
R2 F' D U' L' R2 F'
R2 F' D U' R2 L' F'
D F' D R2 D' L' B2
D F' D R2 D' B2 L'
D2 F' D' B2 D2 L' R2
D2 F' D' B2 D2 R2 L'
D' F' D2 L' D' R2 B
F' D' R D2 L' R2 B2
F' D' R D2 L' B2 R2
F' D' R D2 R2 L' B2
F' D' R D2 R2 B2 L'
F' D' R D2 B2 L' R2
F' D' R D2 B2 R2 L'
F D' L2 U R F2 U2
F D' L2 U F2 U2 L'
D' F' B L' D R2 B
F' D' R' D2 L' R2 B2
F' D' R' D2 L' B2 R2
F' D' R' D2 R2 L' B2
F' D' R' D2 R2 B2 L'
F' D' R' D2 B2 L' R2
F' D' R' D2 B2 R2 L'
D' F' B D L' R2 B
D' F' B D R2 L' B
D' F' B D R2 B L'
U2 F' B L D R2 B2
U2 F' B L D B2 R2
D' F' B' L' D R2 B
F' D' R2 D2 L' R2 B2
F' D' R2 D2 L' B2 R2
F' D' R2 D2 R2 L' B2
F' D' R2 D2 R2 B2 L'
F' D' R2 D2 B2 L' R2
F' D' R2 D2 B2 R2 L'
U2 F' B D L R2 B2
U2 F' B D L B2 R2
U2 F' B D R2 L B2
D' F' B' D L' R2 B
D' F' B' D R2 L' B
D' F' B' D R2 B L'
D F' B L' D B R2
D F' B L' B D R2
D' F' B2 L' D R2 B
D F' B D L' B R2
D F' B D B L' R2
D F' B D B R2 L'
D' F' B2 D L' R2 B
U2 F' B' D B2 L R2
U2 F' B' D B2 R2 L
D' F' B2 D R2 L' B
D' F' B2 D R2 B L'
D F' B' D R2 B' L'
D F' B' D B' L' R2
D F' B' D B' R2 L'
D F' B2 L' R D R2
D F' B2 L' R' D R2
D F' B2 L' R2 D R2
D F' B2 L' U F2 U'
D F' B2 L' D R2 D
D F' B2 L' D R2 D'
D F' B2 L' D R2 D2
D F' B2 L2 D L R2
D F' B2 L2 D R2 L
D F' B2 R L' D R2
D F' B2 R D L' R2
D F' B2 R D R2 L'
D F' B2 R' L' D R2
D F' B2 R' D L' R2
D F' B2 R' D R2 L'
D F' B2 R2 L' D R2
D F' B2 R2 D L' R2
D F' B2 R2 D R2 L'
F' D' U2 L2 F2 U2 L
D F' B2 D L' R2 D
D F' B2 D L' R2 D'
D F' B2 D L' R2 D2
D F' B2 D R2 L' D
D F' B2 D R2 L' D'
D F' B2 D R2 L' D2
D F' B2 D R2 D L'
D F' B2 D R2 D' L'
D F' B2 D R2 D2 L'
D F' B2 D2 L' D' R2
F' D' U2 F2 L2 R U2
F' D' U2 F2 R L2 U2
B' D' F' L' D R2 B
B2 D' F' L' D R2 B
B' D' F' D L' R2 B
B' D' F' D R2 L' B
B' D' F' D R2 B L'
B2 D' F' D L' R2 B
B2 D' F' D R2 L' B
B2 D' F' D R2 B L'
F' D' F2 L2 R U2 F2
F' D' F2 L2 U2 F2 L'
F' D' F2 R L2 U2 F2
B D' F' L' D R2 B
B D' F' D L' R2 B
B D' F' D R2 L' B
B D' F' D R2 B L'
L' F2 R2 U' F L' R
L' F2 R2 U' F R L'
F' D' B D2 L' R2 B2
F' D' B D2 L' B2 R2
F' D' B D2 R2 L' B2
F' D' B D2 R2 B2 L'
F' D' B D2 B2 L' R2
F' D' B D2 B2 R2 L'
F' D' B' D2 L' R2 B2
F' D' B' D2 L' B2 R2
F' D' B' D2 R2 L' B2
F' D' B' D2 R2 B2 L'
F' D' B' D2 B2 L' R2
F' D' B' D2 B2 R2 L'
F' D' B2 D2 L' R2 B2
F' D' B2 D2 L' B2 R2
F' D' B2 D2 R2 L' B2
F' D' B2 D2 R2 B2 L'
F' D' B2 D2 B2 L' R2
F' D' B2 D2 B2 R2 L'
D' F2 U' F' U' F2 L'
D' F2 U2 F L' D R2
D' F2 U2 F D L' R2
D' F2 U2 F D R2 L'
F' D2 L' U' L' B2 U
F' D2 L' U' B2 L' U
F' D2 R D' L' R2 B2
F' D2 R D' L' B2 R2
F' D2 R D' R2 L' B2
F' D2 R D' R2 B2 L'
F' D2 R D' B2 L' R2
F' D2 R D' B2 R2 L'
F' D2 R' D' L' R2 B2
F' D2 R' D' L' B2 R2
F' D2 R' D' R2 L' B2
F' D2 R' D' R2 B2 L'
F' D2 R' D' B2 L' R2
F' D2 R' D' B2 R2 L'
F' D2 R2 D' L' R2 B2
F' D2 R2 D' L' B2 R2
F' D2 R2 D' R2 L' B2
F' D2 R2 D' R2 B2 L'
F' D2 R2 D' B2 L' R2
F' D2 R2 D' B2 R2 L'
F' D2 U' B2 L2 U L
U2 B L D F' R B2
U2 B L D F' B2 R
U2 B L D B2 F' R
F' B L' U R2 F2 U'
F' B L' U F2 R2 U'
F' B L' D R B2 R
F' B L' D R2 B2 D
F' B L' D R2 B2 D'
F' B L' D R2 B2 D2
F' B L' D B' R2 B'
F' B L' D B2 R2 D
F' B L' D B2 R2 D'
F' B L' D B2 R2 D2
F' B L' B D R2 B2
F' B L' B D B2 R2
F' B L' B' D R2 B2
F' B L' B' D B2 R2
F' B L' B2 D R2 B2
F' B L' B2 D B2 R2
F' B L2 D L R2 B2
F' B L2 D L B2 R2
F' B L2 D R2 L B2
L2 B D' F' L' R2 B
L2 B D' F' R2 L' B
L2 B D' F' R2 B L'
L B D F' L' R B2
L B D F' L' B2 R
L B D F' R L' B2
L B D F' R B2 L'
L B D F' B2 L' R
L B D F' B2 R L'
L B D B2 F' L' R
L B D B2 F' R L'
B' F R2 U R' U2 F2
D' B F' L' D R2 B
B2 F R2 U R' U2 F2
U2 B F R2 U' L F2
U2 B F R2 U' F2 L
B' F R2 B2 U' L F2
B' F R2 B2 U' F2 L
F' B R2 F2 U' F2 L'
D' B F' D L' R2 B
D' B F' D R2 L' B
D' B F' D R2 B L'
U2 B F' L D R2 B2
U2 B F' L D B2 R2
B2 F R2 B2 U' L F2
B2 F R2 B2 U' F2 L
D B F U' F2 L' B
D B F U' F2 B L'
D B F U' B F2 L'
B F R2 U R' U2 F2
U2 B F' D L R2 B2
U2 B F' D L B2 R2
U2 B F' D R2 L B2
D B F' L' D B R2
D B F' L' B D R2
F B R2 U R' U2 F2
B F R2 B2 U' L F2
B F R2 B2 U' F2 L
D B F' D L' B R2
D B F' D B L' R2
D B F' D B R2 L'
B' F U' F2 L' D B2
B' F U' F2 D L' B2
B' F U' F2 D B2 L'
F B R2 B2 U' L F2
F B R2 B2 U' F2 L
B2 F U' F2 L' D B2
B2 F U' F2 D L' B2
B2 F U' F2 D B2 L'
B F U' F2 L' D B2
B F U' F2 D L' B2
B F U' F2 D B2 L'
F' B D L R2 B2 L2
F' B D L B2 L2 R2
F' B D L B2 R2 L2
F' B D L' R B2 R
F' B D L' R2 B2 D
F' B D L' R2 B2 D'
F' B D L' R2 B2 D2
F' B D L' B' R2 B'
F' B D L' B2 R2 D
F' B D L' B2 R2 D'
F' B D L' B2 R2 D2
F' B D R L' B2 R
F' B D R B2 L' R
F' B D R B2 R L'
F' B D R2 L B2 L2
F' B D R2 L' B2 D
F' B D R2 L' B2 D'
F' B D R2 L' B2 D2
F' B D R2 B L' B
F' B D R2 B2 L' D
F' B D R2 B2 L' D'
F' B D R2 B2 L' D2
F B U' F2 L' D B2
F' B D R2 B2 D L'
F' B D R2 B2 D' L'
F' B D R2 B2 D2 L'
F B U' F2 D L' B2
F B U' F2 D B2 L'
F' B D B L' B R2
F' B D B' R2 B' L'
F' B D B2 L' R2 D
F' B D B2 L' R2 D'
F' B D B2 L' R2 D2
F' B D B2 R2 L' D
F' B D B2 R2 L' D'
F' B D B2 R2 L' D2
F' B D B2 R2 D L'
F' B D B2 R2 D' L'
F' B D B2 R2 D2 L'
B' F' L' U R2 F2 U'
B' F' L' U F2 R2 U'
B' F' L' D R B2 R
B' F' L' D R2 B2 D
B' F' L' D R2 B2 D'
B' F' L' D R2 B2 D2
B' F' L' D B' R2 B'
B' F' L' D B2 R2 D
B' F' L' D B2 R2 D'
B' F' L' D B2 R2 D2
F' B' L' U R2 F2 U'
F' B' L' U F2 R2 U'
F' B' L' D R B2 R
B2 F' L' U R2 F2 U'
F' B' L' D R2 B2 D
F' B' L' D R2 B2 D'
F' B' L' D R2 B2 D2
B' F' L' B D R2 B2
B' F' L' B D B2 R2
B2 F' L' U F2 R2 U'
F' B' L' D B' R2 B'
F' B' L' D B2 R2 D
F' B' L' D B2 R2 D'
F' B' L' D B2 R2 D2
B' F' L' B' D R2 B2
B' F' L' B' D R2 B2
B' F' L' B' D B2 R2
B' F' L' B2 D R2 B2
B' F' L' B2 D B2 R2
B2 F' L' D R B2 R
B2 F' L' D R2 B2 D
B2 F' L' D R2 B2 D'
B2 F' L' D R2 B2 D2
B2 F' L' D B' R2 B'
B2 F' L' D B2 R2 D
B2 F' L' D B2 R2 D'
B2 F' L' D B2 R2 D2
F' B' L' B D R2 B2
F' B' L' B D B2 R2
F' B' L' B' D R2 B2
F' B' L' B' D R2 B2
F' B' L' B' D B2 R2
B' F' L2 D L R2 B2
B' F' L2 D L B2 R2
F' B' L' B2 D R2 B2
F' B' L' B2 D B2 R2
B' F' L2 D R2 L B2
B2 F' L' B D R2 B2
B2 F' L' B D B2 R2
B2 F' L' B' D R2 B2
B2 F' L' B' D B2 R2
B2 F' L' B2 D R2 B2
B2 F' L' B2 D B2 R2
B F' L' U R2 F2 U'
F' B' L2 D L R2 B2
F' B' L2 D L B2 R2
B F' L' U F2 R2 U'
F' B' L2 D R2 L B2
B F' L' D R B2 R
B F' L' D R2 B2 D
B F' L' D R2 B2 D'
B F' L' D R2 B2 D2
B2 F' L2 D L R2 B2
B2 F' L2 D L B2 R2
B2 F' L2 D R2 L B2
B F' L' D B' R2 B'
B F' L' D B2 R2 D
B F' L' D B2 R2 D'
B F' L' D B2 R2 D2
B F' L' B D R2 B2
B F' L' B D B2 R2
B F' L' B' D R2 B2
B F' L' B' D B2 R2
B F' L' B2 D R2 B2
B F' L' B2 D B2 R2
B F' L2 D L R2 B2
B F' L2 D L B2 R2
B F' L2 D R2 L B2
B' F' R2 F2 U' F2 L'
F' B' R2 F2 U' F2 L'
B2 F' R2 F2 U' F2 L'
L B' D F' L' R B2
L B' D F' L' B2 R
L B' D F' R L' B2
L B' D F' R B2 L'
L B' D F' B2 L' R
L B' D F' B2 R L'
L B' D B2 F' L' R
L B' D B2 F' R L'
F B' R2 U R' U2 F2
B F' R2 F2 U' F2 L'
F B' R2 B2 U' L F2
F B' R2 B2 U' F2 L
D' B' F' L' D R2 B
U2 B' F R2 U' F2 L'
D' B' F' D L' R2 B
D' B' F' D R2 L' B
D' B' F' D R2 B L'
R2 B' F U R B2 U2
B' F' D L R2 B2 L2
R2 B' F U B2 R U2
B' F' D L B2 L2 R2
B' F' D L B2 R2 L2
B' F' D L' R B2 R
B' F' D L' R2 B2 D
B' F' D L' R2 B2 D'
B' F' D L' R2 B2 D2
R2 B' F U' D2 F2 L'
B' F' D L' B' R2 B'
B' F' D L' B2 R2 D
B' F' D L' B2 R2 D'
B' F' D L' B2 R2 D2
B' F' D R L' B2 R
D B' F U' F2 B' L'
B' F' D R B2 L' R
B' F' D R B2 R L'
D B' F U' B' F2 L'
B' F' D R2 L B2 L2
B' F' D R2 L' B2 D
B' F' D R2 L' B2 D'
B' F' D R2 L' B2 D2
R2 B' F D2 U' F2 L'
B' F' D R2 B L' B
B' F' D R2 B2 L' D
B' F' D R2 B2 L' D'
B' F' D R2 B2 L' D2
B' F' D R2 B2 D L'
B' F' D R2 B2 D' L'
B' F' D R2 B2 D2 L'
F' B' D L R2 B2 L2
F' B' D L B2 L2 R2
F' B' D L B2 R2 L2
F' B' D L' R B2 R
F' B' D L' R2 B2 D
F' B' D L' R2 B2 D'
F' B' D L' R2 B2 D2
U2 B' F' D B2 L R2
U2 B' F' D B2 R2 L
F' B' D L' B' R2 B'
F' B' D L' B2 R2 D
F' B' D L' B2 R2 D'
F' B' D L' B2 R2 D2
F' B' D R L' B2 R
B2 F' D L R2 B2 L2
F' B' D R B2 L' R
F' B' D R B2 R L'
B2 F' D L B2 L2 R2
B2 F' D L B2 R2 L2
B2 F' D L' R B2 R
B2 F' D L' R2 B2 D
B2 F' D L' R2 B2 D'
B2 F' D L' R2 B2 D2
B2 F' D L' B' R2 B'
B2 F' D L' B2 R2 D
B2 F' D L' B2 R2 D'
B2 F' D L' B2 R2 D2
F' B' D R2 L B2 L2
B' F' D B L' B R2
F' B' D R2 L' B2 D
F' B' D R2 L' B2 D'
F' B' D R2 L' B2 D2
F' B' D R2 B L' B
F' B' D R2 B2 L' D
F' B' D R2 B2 L' D'
F' B' D R2 B2 L' D2
F' B' D R2 B2 D L'
F' B' D R2 B2 D' L'
F' B' D R2 B2 D2 L'
B2 F' D R L' B2 R
B' F' D B' R2 B' L'
B2 F' D R B2 L' R
B' F' D B2 L' R2 D
B' F' D B2 L' R2 D'
B' F' D B2 L' R2 D2
B2 F' D R B2 R L'
B' F' D B2 R2 L' D
B' F' D B2 R2 L' D'
B' F' D B2 R2 L' D2
B' F' D B2 R2 D L'
B' F' D B2 R2 D' L'
B' F' D B2 R2 D2 L'
F B' U' F2 L' D B2
F B' U' F2 D L' B2
F B' U' F2 D B2 L'
B2 F' D R2 L B2 L2
B2 F' D R2 L' B2 D
B2 F' D R2 L' B2 D'
B2 F' D R2 L' B2 D2
B2 F' D R2 B L' B
B2 F' D R2 B2 L' D
B2 F' D R2 B2 L' D'
B2 F' D R2 B2 L' D2
B2 F' D R2 B2 D L'
B2 F' D R2 B2 D' L'
B2 F' D R2 B2 D2 L'
D B' F' D R2 B' L'
D B' F' D B' L' R2
F' B' D B L' B R2
D B' F' D B' R2 L'
F' B' D B' R2 B' L'
F' B' D B2 L' R2 D
F' B' D B2 L' R2 D'
F' B' D B2 L' R2 D2
F' B' D B2 R2 L' D
F' B' D B2 R2 L' D'
F' B' D B2 R2 L' D2
F' B' D B2 R2 D L'
F' B' D B2 R2 D' L'
F' B' D B2 R2 D2 L'
B2 F' D B L' B R2
B2 F' D B' R2 B' L'
B2 F' D B2 L' R2 D
B2 F' D B2 L' R2 D'
B2 F' D B2 L' R2 D2
B2 F' D B2 R2 L' D
B2 F' D B2 R2 L' D'
B2 F' D B2 R2 L' D2
B2 F' D B2 R2 D L'
B2 F' D B2 R2 D' L'
B2 F' D B2 R2 D2 L'
B F' D L R2 B2 L2
B F' D L B2 L2 R2
B F' D L B2 R2 L2
B F' D L' R B2 R
B F' D L' R2 B2 D
B F' D L' R2 B2 D'
B F' D L' R2 B2 D2
B F' D L' B' R2 B'
B F' D L' B2 R2 D
B F' D L' B2 R2 D'
B F' D L' B2 R2 D2
B F' D R L' B2 R
B F' D R B2 L' R
B F' D R B2 R L'
B F' D R2 L B2 L2
B F' D R2 L' B2 D
B F' D R2 L' B2 D'
B F' D R2 L' B2 D2
B F' D R2 B L' B
B F' D R2 B2 L' D
B F' D R2 B2 L' D'
B F' D R2 B2 L' D2
B F' D R2 B2 D L'
B F' D R2 B2 D' L'
B F' D R2 B2 D2 L'
B F' D B L' B R2
B F' D B' R2 B' L'
B F' D B2 L' R2 D
B F' D B2 L' R2 D'
B F' D B2 L' R2 D2
B F' D B2 R2 L' D
B F' D B2 R2 L' D'
B F' D B2 R2 L' D2
B F' D B2 R2 D L'
B F' D B2 R2 D' L'
B F' D B2 R2 D2 L'
D B2 L D F' L' R
D B2 L D F' R L'
F' B2 L' U R2 F2 U'
F' B2 L' U F2 R2 U'
F' B2 L' D R B2 R
F' B2 L' D R2 B2 D
F' B2 L' D R2 B2 D'
F' B2 L' D R2 B2 D2
F' B2 L' D B' R2 B'
F' B2 L' D B2 R2 D
F' B2 L' D B2 R2 D'
F' B2 L' D B2 R2 D2
F' B2 L' B D R2 B2
F' B2 L' B D B2 R2
F' B2 L' B' D R2 B2
F' B2 L' B' D B2 R2
F' B2 L' B2 D R2 B2
F' B2 L' B2 D B2 R2
F' B2 L2 D L R2 B2
F' B2 L2 D L B2 R2
F' B2 L2 D R2 L B2
F' B2 R2 F2 U' F2 L'
F B2 R2 U R' U2 F2
F B2 R2 B2 U' L F2
F B2 R2 B2 U' F2 L
D B2 D F' L' D R2
D B2 D F' D L' R2
D B2 D F' D R2 L'
F' B2 D L R2 B2 L2
F' B2 D L B2 L2 R2
F' B2 D L B2 R2 L2
F' B2 D L' R B2 R
F' B2 D L' R2 B2 D
F' B2 D L' R2 B2 D'
F' B2 D L' R2 B2 D2
F' B2 D L' B' R2 B'
F' B2 D L' B2 R2 D
F' B2 D L' B2 R2 D'
F' B2 D L' B2 R2 D2
L B2 D F' L' R B2
L B2 D F' L' B2 R
L B2 D F' R L' B2
L B2 D F' R B2 L'
F' B2 D R L' B2 R
L B2 D F' B2 L' R
L B2 D F' B2 R L'
F' B2 D R B2 L' R
F' B2 D R B2 R L'
F' B2 D R2 L B2 L2
F' B2 D R2 L' B2 D
F' B2 D R2 L' B2 D'
F' B2 D R2 L' B2 D2
F' B2 D R2 B L' B
F' B2 D R2 B2 L' D
F' B2 D R2 B2 L' D'
F' B2 D R2 B2 L' D2
F' B2 D R2 B2 D L'
F' B2 D R2 B2 D' L'
F' B2 D R2 B2 D2 L'
D B2 D' F' L' D R2
L B2 D B2 F' L' R
L B2 D B2 F' R L'
D B2 D' F' D L' R2
D B2 D' F' D R2 L'
F B2 U' F2 L' D B2
F B2 U' F2 D L' B2
F B2 U' F2 D B2 L'
F' B2 D B L' B R2
F' B2 D B' R2 B' L'
F' B2 D B2 L' R2 D
F' B2 D B2 L' R2 D'
F' B2 D B2 L' R2 D2
F' B2 D B2 R2 L' D
F' B2 D B2 R2 L' D'
F' B2 D B2 R2 L' D2
F' B2 D B2 R2 D L'
F' B2 D B2 R2 D' L'
F' B2 D B2 R2 D2 L'
D' B2 F' L' D R2 B
D B2 D2 F' L' D R2
D B2 D2 F' D L' R2
D B2 D2 F' D R2 L'
D' B2 F' D L' R2 B
D' B2 F' D R2 L' B
D' B2 F' D R2 B L'
R2 B2 F U R B' U2
R2 B2 F U B' R U2
D B2 F' L' R D R2
D B2 F' L' R' D R2
D B2 F' L' R2 D R2
D B2 F' L' U F2 U'
D B2 F' L' D R2 D
D B2 F' L' D R2 D'
D B2 F' L' D R2 D2
D B2 F' L2 D L R2
D B2 F' L2 D R2 L
D B2 F' R L' D R2
D B2 F' R D L' R2
D B2 F' R D R2 L'
D B2 F' R' L' D R2
D B2 F' R' D L' R2
D B2 F' R' D R2 L'
D B2 F' R2 L' D R2
D B2 F' R2 D L' R2
D B2 F' R2 D R2 L'
D B2 F' D L' R2 D
D B2 F' D L' R2 D'
D B2 F' D L' R2 D2
D B2 F' D R2 L' D
D B2 F' D R2 L' D'
D B2 F' D R2 L' D2
D B2 F' D R2 D L'
D B2 F' D R2 D' L'
D B2 F' D R2 D2 L'
D B2 F' D2 L' D' R2
