D2 B2 L R'
D2 B2 R' L
U2 L R' F2 U2
F2 L R' U2 F2
B2 L R' D2 B2
R' L F2 U2 F2
B2 L D2 R' B2
U2 L F2 R' U2
L R' F2 U2 F2
B2 R' L D2 B2
U2 R' L F2 U2
F2 R' L U2 F2
B2 R' D2 L B2
U2 R' F2 L U2
L' D2 B2 L R2
L' D2 B2 R2 L
R D2 B2 L2 R'
R D2 B2 R' L2
R' F2 L U2 F2
U2 F2 L R' U2
L F2 R' U2 F2
U2 F2 R' L U2
B2 D2 L R' B2
B2 D2 R' L B2
D2 B2 L R' D
D2 B2 L R' D'
D2 B2 L R' D2
D2 B2 L D R'
D2 B2 L D' R'
D2 B2 L D2 R'
D2 B2 R' L D
D2 B2 R' L D'
D2 B2 R' L D2
D2 B2 R' D L
D2 B2 R' D' L
D2 B2 R' D2 L
D2 B2 D L R'
D2 B2 D R' L
D2 B2 D' L R'
D2 B2 D' R' L
D2 B2 D2 L R'
D2 B2 D2 R' L
U2 L D2 R' U2 B2 D'
U2 L D2 R' U2 B2 D2
B2 L D2 R B2 R2 D
B2 L D2 R B2 R2 D'
B2 L D2 R B2 R2 D2
F2 L D2 R' D2 U2 F2
B2 L D2 R' L B2 L'
U2 L D2 R' D2 F2 U2
U2 L D2 R' F U2 B2
B2 L D2 R' L2 B2 L2
U2 L D2 R' F' U2 B2
U2 L D2 R' F2 U2 B2
R' L F2 L U2 F2 R
F2 L D2 R' B2 U2 D
F2 L D2 R' B2 U2 D'
F2 L D2 R' B2 U2 D2
F2 L D2 R' B2 D U2
F2 L D2 R' B2 D' U2
F2 L D2 R' B2 D2 U2
B2 L D2 R' B D B
B2 L D2 R' B D' B
B2 L D2 R' B D2 B
B2 L D2 R' B' D B'
B2 L D2 R' B' D' B'
B2 L D2 R' B' D2 B'
F2 L D2 R2 B2 R U2
B2 L D2 R2 B' R B'
L' R F2 L2 R2 U2 F2
B2 L D2 R2 B2 R D
B2 L D2 R2 B2 R D'
B2 L D2 R2 B2 R D2
B2 L D2 R2 B2 D R
B2 L D2 R2 B2 D' R
B2 L D2 R2 B2 D2 R
U2 L D2 U2 L B2 L
U2 L D2 U2 L' B2 L
U2 L D2 U2 L2 B2 L
U2 L D2 U2 B2 L D
U2 L D2 U2 B2 L D'
U2 L D2 U2 B2 L D2
U2 L D2 U2 B2 D L
U2 L D2 U2 B2 D' L
U2 L D2 U2 B2 D2 L
U2 L D2 F R' U2 B2
R' L F2 R' U2 F2 L'
F' L D2 F' R' B U2
U2 L D2 F U2 B2 L
L' R F2 R2 L2 U2 F2
D2 L D2 F2 R' U2 F2
U2 L D2 F' R' U2 B2
U2 L D2 F' U2 B2 L
B2 L D2 F' R' F B2
B2 L D2 F' R' B2 F
R2 L F2 R U2 L' F2
L R F2 R U2 F2 L'
R' L F2 U R U F2
R' L F2 U R' U F2
U2 L D2 F2 R' U2 B2
R' L F2 U R2 U F2
R' L F2 U D R2 U
U2 L D2 F2 U2 B2 L
B2 L D2 F2 R' F2 B2
B2 L D2 F2 R' B2 F2
R2 L F2 R' U2 L' F2
R' L F2 U' L U' F2
R' L F2 U' L' U' F2
R' L F2 U' L2 U' F2
R' L F2 U' D' L2 U'
R L F2 R U2 F2 L'
L R F2 R2 U2 F2 D
L R F2 R2 U2 F2 D'
L R F2 R2 U2 F2 D2
R2 L F2 R2 U2 L' F2
R' L F2 U2 L' F2 L
R' L F2 U2 L2 F2 L2
L R F2 R2 D2 B2 U2
R' L F2 U2 R F2 R'
L2 R F2 R2 U2 R' F2
L2 R F2 R2 U2 F2 R'
R' L F2 U2 R2 F2 R2
L R F2 R2 B U2 F2
L R F2 R2 B' U2 F2
L R F2 R2 B2 U2 F2
R' L F2 U2 F D F
R' L F2 U2 F D' F
R' L F2 U2 F D2 F
R' L F2 U2 F' D F'
R' L F2 U2 F' D' F'
R' L F2 U2 F' D2 F'
F2 L D2 B2 R U2 L
R' L F2 D U R2 U
F2 L D2 B2 R' U2 L
R L F2 R2 U2 F2 D
R L F2 R2 U2 F2 D'
R L F2 R2 U2 F2 D2
F2 L D2 B2 R2 U2 L
F2 L D2 B2 U2 L D
F2 L D2 B2 U2 L D'
F2 L D2 B2 U2 L D2
R L F2 R2 D2 B2 U2
F2 L D2 B2 U2 D L
F2 L D2 B2 U2 D' L
F2 L D2 B2 U2 D2 L
F2 L D2 B2 D U2 L
F2 L D2 B2 D' U2 L
F2 L D2 B2 D2 U2 L
R L F2 R2 B U2 F2
R L F2 R2 B' U2 F2
B2 L D2 B2 U2 L U2
R L F2 R2 B2 U2 F2
R' L F2 D' U' L2 U'
R2 L F2 U2 L F2 L2
R2 L F2 U2 L' F2 D
R2 L F2 U2 L' F2 D'
R2 L F2 U2 L' F2 D2
R2 L F2 U2 L2 F2 L
L2 R F2 U2 R F2 L'
L R F2 U2 F2 D2 L2
R' L F2 D2 B2 U2 D
R' L F2 D2 B2 U2 D'
R' L F2 D2 B2 U2 D2
R' L F2 D2 B2 D U2
R' L F2 D2 B2 D' U2
R' L F2 D2 B2 D2 U2
R' L F2 B U2 F2 D
R' L F2 B U2 F2 D'
R' L F2 B U2 F2 D2
R' L F2 B D2 B2 U2
R L F2 U2 F2 D2 L2
R' L F2 B' U2 F2 D
R' L F2 B' U2 F2 D'
R' L F2 B' U2 F2 D2
U2 L F R F R2 U2
R' L F2 B' D2 B2 U2
R' L F2 B2 U2 F2 D
R' L F2 B2 U2 F2 D'
R' L F2 B2 U2 F2 D2
U2 L F R' D F U2
U2 L F R' D' F U2
U2 L F R' D2 F U2
R' L F2 B2 D2 B2 U2
R2 L F2 D2 B2 U2 L'
U2 L F R' F U2 D
U2 L F R' F U2 D'
U2 L F R' F U2 D2
U2 L F R' F D U2
U2 L F R' F D' U2
U2 L F R' F D2 U2
L R F2 D2 B2 U2 L2
L R F2 B R2 U2 F2
R2 L F2 B U2 L' F2
L R F2 B' R2 U2 F2
R2 L F2 B' U2 L' F2
R L F2 D2 B2 U2 L2
R L F2 B R2 U2 F2
R2 L F2 B2 U2 L' F2
L R F2 B2 R2 U2 F2
R L F2 B' R2 U2 F2
D2 L F U2 F' B2 L
D2 L F U2 B2 L F'
D2 L F U2 B2 F' L
R L F2 B2 R2 U2 F2
U2 L F D R' F U2
U2 L F D F R' U2
U2 L F D' R' F U2
U2 L F D' F R' U2
R2 L B R F2 U2 F2
U2 L F D2 R' F U2
U2 L F D2 F R' U2
L R B R2 F2 U2 F2
R L B R2 F2 U2 F2
L' R B D2 L2 R2 B2
L' R B D2 L2 B2 R2
L' R B D2 R2 L2 B2
L' R B D2 R2 B2 L2
L' R B D2 B2 L2 R2
L' R B D2 B2 R2 L2
D2 L F' R' U2 F B2
D2 L F' R' U2 B2 F
L2 R B D2 L2 B2 R'
R' L B F2 U2 F2 D
R' L B F2 U2 F2 D'
R' L B F2 U2 F2 D2
R' L B F2 D2 B2 U2
B2 L F' R2 B R F
L R B F2 R2 U2 F2
R2 L B F2 U2 L' F2
D2 L F' U2 F B2 L
D2 L F' U2 B2 F L
R L B F2 R2 U2 F2
U2 L F' D F' R' U2
F' L F' D2 R' B U2
U2 L F' D' F' R' U2
R2 L B' R F2 U2 F2
U2 L F' D2 F' R' U2
L R B' R2 F2 U2 F2
R L B' R2 F2 U2 F2
L' R B' D2 L2 R2 B2
L' R B' D2 L2 B2 R2
L' R B' D2 R2 L2 B2
L' R B' D2 R2 B2 L2
L' R B' D2 B2 L2 R2
L' R B' D2 B2 R2 L2
D2 L F2 R' U2 F2 B2
D2 L F2 R' U2 B2 F2
D2 L F2 R' U2 B2 F2
U2 L F2 R U2 D2 L2
U2 L F2 R D2 U2 L2
L2 R B' D2 L2 B2 R'
R' L B' F2 U2 F2 D
R' L B' F2 U2 F2 D'
R' L B' F2 U2 F2 D2
U' L F2 R' U R U
R' L B' F2 D2 B2 U2
F2 L F2 R' F2 U2 F2
B2 L F2 R' F2 D2 B2
U2 L F2 R2 D R U2
U2 L F2 R2 D' R U2
U2 L F2 R2 D2 R U2
D2 L F2 U2 F2 B2 L
L R B' F2 R2 U2 F2
R2 L B' F2 U2 L' F2
D2 L F2 U2 B2 L F2
D2 L F2 U2 B2 F2 L
U L F2 R' U R2 U
U L F2 R' U2 D' F2
R L B' F2 R2 U2 F2
U L F2 R' D B2 U2
U L F2 R' D' U2 F2
U2 L F2 U' B2 U' L
B2 L F2 U2 R' F2 L'
U2 L F2 U2 B2 L B2
U2 L F2 D R' U2 D
U2 L F2 D R' U2 D'
U2 L F2 D R' U2 D2
U2 L F2 D R' D U2
U2 L F2 D R' D' U2
U2 L F2 D R' D2 U2
U2 L F2 D' R' U2 D
U2 L F2 D' R' U2 D'
U2 L F2 D' R' U2 D2
U2 L F2 D' R' D U2
U2 L F2 D' R' D' U2
U2 L F2 D' R' D2 U2
R2 L B2 R F2 U2 F2
U2 L F2 D2 R' U2 D
U2 L F2 D2 R' U2 D'
U2 L F2 D2 R' U2 D2
U2 L F2 D2 R' D U2
U2 L F2 D2 R' D' U2
U2 L F2 D2 R' D2 U2
D2 L F2 B2 L F2 R
L R B2 R2 F2 U2 F2
R L B2 R2 F2 U2 F2
L' R B2 D2 L2 R2 B2
L' R B2 D2 L2 B2 R2
L' R B2 D2 R2 L2 B2
L' R B2 D2 R2 B2 L2
L' R B2 D2 B2 L2 R2
L' R B2 D2 B2 R2 L2
B L B L R' D2 B2
B L B L D2 R' B2
R' L B2 F2 U2 F2 D
R' L B2 F2 U2 F2 D'
R' L B2 F2 U2 F2 D2
L2 R B2 D2 L2 B2 R'
R' L B2 F2 D2 B2 U2
B L B R' L D2 B2
B L B R' D2 L B2
L R B2 F2 R2 U2 F2
R2 L B2 F2 U2 L' F2
R L B2 F2 R2 U2 F2
F2 L B U2 F' L' F'
B' L B D2 B2 L R'
B' L B D2 B2 R' L
B2 L B D2 B' R' B'
B L B D2 L R' B2
B L B D2 R' L B2
B' L B' L R' D2 B2
B' L B' L D2 R' B2
B' L B' R' L D2 B2
B' L B' R' D2 L B2
B' L B' D2 L R' B2
B' L B' D2 R' L B2
D2 L B2 L U2 L' U2
D2 L B2 L F2 R F2
B L B' D2 B2 L R'
B L B' D2 B2 R' L
D2 L B2 L2 D2 L' R2
D2 L B2 L2 D2 R2 L'
F2 L B2 R U2 L F2
F2 L B2 R U2 F2 L
F2 L B2 R' U2 L F2
F2 L B2 R' U2 F2 L
B2 L B2 R D2 B2 R'
F2 L B2 R2 U2 L F2
F2 L B2 R2 U2 F2 L
B2 L B2 R' D2 B2 R'
R' L' U2 L2 F2 U2 L2
L' R' U2 L2 F2 U2 L2
B2 L B2 R2 D2 B2 R'
F2 L B2 U2 L F2 D
F2 L B2 U2 L F2 D'
F2 L B2 U2 L F2 D2
F2 L B2 U2 L' F2 L2
F2 L B2 U2 F' L F'
F2 L B2 U2 F2 L D
F2 L B2 U2 F2 L D'
F2 L B2 U2 F2 L D2
F2 L B2 U2 F2 D L
F2 L B2 U2 F2 D' L
F2 L B2 U2 F2 D2 L
R2 L' U2 L2 R F2 U2
L2 R' U2 L' F2 U2 L
B2 L B2 U2 L F2 U2
R2 L' U2 L2 F2 U2 L'
F L B2 U2 L F' B'
F L B2 U2 L B' F'
B2 L B2 U2 F2 L U2
R2 L' U2 R L2 F2 U2
F L B2 U2 F' L B'
R L' U2 L2 R2 F2 U2
R2 L' U2 R F2 L2 U2
R L' U2 L2 F2 R2 U2
D2 L B2 F2 L F2 R
F2 L B2 D2 B2 R' U2
B2 L B2 D2 R B2 R'
B2 L B2 D2 R' B2 R'
B2 L B2 D2 R2 B2 R'
B2 L B2 D2 B2 R' D
B2 L B2 D2 B2 R' D'
B2 L B2 D2 B2 R' D2
B2 L B2 D2 B2 D R'
B2 L B2 D2 B2 D' R'
B2 L B2 D2 B2 D2 R'
R L' U2 R2 L2 F2 U2
R L' U2 R2 F2 L2 U2
L' R' U2 F2 L2 U2 L2
R' L' U2 F2 L2 U2 L2
L R' U2 D2 B2 D2 F2
R2 L' U2 F2 L2 U2 L
R L' U2 F2 L2 R2 U2
R L' U2 F2 R2 L2 U2
L R' U2 B2 D2 F2 B2
L R' U2 B2 D2 B2 F2
U2 L' R F2 L2 R2 U2
U2 L' R F2 R2 L2 U2
D2 L' R B2 D2 L2 R2
D2 L' R B2 D2 R2 L2
F2 L' R' U2 F2 D2 R2
U2 L' R' U2 D2 R2 B2
U2 L' R' U2 D2 B2 R2
B2 L' R' U2 F2 U2 L2
F2 L' R' D2 B2 U2 R2
U2 L' R' D2 U2 R2 B2
U2 L' R' D2 U2 B2 R2
U2 L' R' F L2 U2 B'
B2 L' R' D2 B2 D2 L2
B2 L' R' F L2 F' B'
B2 L' R' F L2 B' F'
U2 L' R' F' L2 F' U2
U2 L' R' F2 L2 U2 D
U2 L' R' F2 L2 U2 D'
U2 L' R' F2 L2 U2 D2
U2 L' R' F2 L2 D U2
U2 L' R' F2 L2 D' U2
U2 L' R' F2 L2 D2 U2
F2 L' R' B L2 U2 F2
U2 L' R' F2 U2 D2 R2
U2 L' R' F2 D2 U2 R2
F2 L' R' B' L2 U2 F2
B2 L' R' B L2 D2 B2
F2 L' R' B2 L2 U2 F2
B2 L' R' B' L2 D2 B2
B2 L' R' B2 L2 D2 B2
U2 L' R2 F2 L2 U2 L
R' L' D2 R B2 L R
R' L' D2 R B2 R L
R2 L' D2 L R2 B2 L
L' R' D2 R B2 L R
L' R' D2 R B2 R L
R2 L' D2 L' R2 B2 L
R' L' D2 R2 B2 D2 L2
R2 L' D2 L2 R2 B2 L
L' R' D2 R2 B2 D2 L2
R L' D2 L' R2 B2 L'
R L' D2 L' B2 L' R2
R L' D2 L' B2 R2 L'
R L' D2 L2 R B2 R
R L' D2 L2 R2 B2 D
R L' D2 L2 R2 B2 D'
R L' D2 L2 R2 B2 D2
R L' D2 L2 B' R2 B'
R L' D2 L2 B2 R2 D
R L' D2 L2 B2 R2 D'
R L' D2 L2 B2 R2 D2
R L' D2 R L2 B2 R
R2 L' D2 R2 L B2 L
R2 L' D2 R2 L' B2 L
R2 L' D2 R2 L2 B2 L
R L' D2 R B2 L2 R
R L' D2 R B2 R L2
R2 L' D2 R2 B2 L D
R2 L' D2 R2 B2 L D'
R2 L' D2 R2 B2 L D2
R2 L' D2 R2 B2 D L
R2 L' D2 R2 B2 D' L
R2 L' D2 R2 B2 D2 L
R L' D2 R2 L' B2 L'
R L' D2 R2 L2 B2 D
R L' D2 R2 L2 B2 D'
R L' D2 R2 L2 B2 D2
R L' D2 R2 B L2 B
R L' D2 R2 B2 L2 D
R L' D2 R2 B2 L2 D'
R L' D2 R2 B2 L2 D2
U' L' U D2 B2 L R2
U' L' U D2 B2 R2 L
L R' D2 U2 B2 D2 F2
L R' D2 F U2 F' B2
L R' D2 F U2 B2 F'
R' L' D2 B2 R2 D2 L2
L R' D2 F' U2 F B2
L R' D2 F' U2 B2 F
L' R' D2 B2 R2 D2 L2
L R' D2 F2 U2 F2 B2
L R' D2 F2 U2 B2 F2
R' L' F L2 U2 F' B'
R' L' F L2 U2 B' F'
L' R' F L2 U2 F' B'
L' R' F L2 U2 B' F'
R L' D2 B L2 B R2
R L' D2 B' R2 B' L2
R L' D2 B2 L2 R2 D
R L' D2 B2 L2 R2 D'
R L' D2 B2 L2 R2 D2
R L' D2 B2 R2 L2 D
R L' D2 B2 R2 L2 D'
R L' D2 B2 R2 L2 D2
U' L' U' L2 R' F2 U2
U' L' U' L2 F2 R' U2
U' L' U' R' L2 F2 U2
U' L' U' R' F2 L2 U2
L R' F U2 F' D2 B2
L R' F D F U2 F2
U' L' U' F2 L2 R' U2
U' L' U' F2 R' L2 U2
L R' F D' F U2 F2
L R' F D2 F U2 F2
R' L' F' L2 F' B' U2
R' L' F' L2 B' F' U2
L' R' F' L2 F' B' U2
D2 L' U2 L2 R' U2 B2
L' R' F' L2 B' F' U2
D2 L' U2 L2 U2 B2 L
D2 L' U2 R' L2 U2 B2
U2 L' U2 D2 B2 L R2
U2 L' U2 D2 B2 R2 L
L R' F' U2 F D2 B2
L R' F' D F' U2 F2
L R' F' D' F' U2 F2
R' L' F2 L' U2 F2 R
B2 L' U2 F2 U2 L2 R'
B2 L' U2 F2 U2 R' L2
L R' F' D2 F' U2 F2
L' R' F2 L' U2 F2 R
R' L' F2 L2 U2 F2 D
R' L' F2 L2 U2 F2 D'
R' L' F2 L2 U2 F2 D2
R' L' F2 L2 D2 B2 U2
R' L' F2 L2 B U2 F2
R' L' F2 L2 B' U2 F2
R' L' F2 L2 B2 U2 F2
L' R' F2 L2 U2 F2 D
L' R' F2 L2 U2 F2 D'
L' R' F2 L2 U2 F2 D2
L' R' F2 L2 D2 B2 U2
L' R' F2 L2 B U2 F2
L' R' F2 L2 B' U2 F2
L' R' F2 L2 B2 U2 F2
L2 R' F2 L U2 R F2
L R' F2 L U2 F2 R
L2 R' F2 L' U2 R F2
L2 R' F2 L2 U2 R F2
R2 L' F2 L2 U2 L F2
R2 L' F2 L2 U2 F2 L
R L' F2 L2 R2 U2 F2
R' L' F2 U2 F2 D2 R2
L R' F2 R' U2 F2 L'
L' R' F2 U2 F2 D2 R2
L R' F2 U R U F2
L R' F2 U R' U F2
L R' F2 U R2 U F2
L R' F2 U D R2 U
R L' F2 R2 L2 U2 F2
L R' F2 U' L U' F2
L R' F2 U' L' U' F2
L R' F2 U' L2 U' F2
R' L' F2 D2 B2 U2 R2
R' L' F2 B L2 U2 F2
L R' F2 U' D' L2 U'
L2 R' F2 U2 R F2 D
L2 R' F2 U2 R F2 D'
L2 R' F2 U2 R F2 D2
L' R' F2 D2 B2 U2 R2
L2 R' F2 U2 R' F2 R2
L2 R' F2 U2 R2 F2 R'
R2 L' F2 U2 L' F2 R
L' R' F2 B L2 U2 F2
L R' F2 U2 L' F2 L
L R' F2 U2 L2 F2 L2
R' L' F2 B' L2 U2 F2
L R' F2 U2 R F2 R'
L R' F2 U2 R2 F2 R2
L R' F2 U2 F D F
L R' F2 U2 F D' F
L R' F2 U2 F D2 F
L R' F2 U2 F' D F'
L R' F2 U2 F' D' F'
L R' F2 U2 F' D2 F'
L' R' F2 B' L2 U2 F2
R' L' F2 B2 L2 U2 F2
L R' F2 D U R2 U
L' R' F2 B2 L2 U2 F2
L R' F2 D' U' L2 U'
L2 R' F2 D2 B2 U2 R
L R' F2 D2 B2 U2 D
L R' F2 D2 B2 U2 D'
L R' F2 D2 B2 U2 D2
L R' F2 D2 B2 D U2
L R' F2 D2 B2 D' U2
L R' F2 D2 B2 D2 U2
L2 R' F2 B U2 R F2
R' L' B L2 F2 U2 F2
L R' F2 B U2 F2 D
L R' F2 B U2 F2 D'
L R' F2 B U2 F2 D2
L R' F2 B D2 B2 U2
L2 R' F2 B' U2 R F2
L' R' B L2 F2 U2 F2
L R' F2 B' U2 F2 D
L R' F2 B' U2 F2 D'
L R' F2 B' U2 F2 D2
L R' F2 B' D2 B2 U2
L2 R' F2 B2 U2 R F2
L R' F2 B2 U2 F2 D
L R' F2 B2 U2 F2 D'
L R' F2 B2 U2 F2 D2
L R' F2 B2 D2 B2 U2
D L' D B2 L D R2
D L' D B2 D L R2
D L' D B2 D R2 L
L2 R' B L' F2 U2 F2
U' L' D' L2 B2 U L
R' L' B F2 L2 U2 F2
L' R' B F2 L2 U2 F2
R2 L' B D2 R2 B2 L
U' L' D' B2 L2 U L'
R' L' B' L2 F2 U2 F2
L' R' B' L2 F2 U2 F2
R L' B D2 L2 R2 B2
R L' B D2 L2 B2 R2
R L' B D2 R2 L2 B2
R L' B D2 R2 B2 L2
L2 R' B F2 U2 R F2
R L' B D2 B2 L2 R2
R L' B D2 B2 R2 L2
L R' B F2 U2 F2 D
L R' B F2 U2 F2 D'
L R' B F2 U2 F2 D2
L R' B F2 D2 B2 U2
B2 L' D2 L R' B2 L
L2 R' B' L' F2 U2 F2
B2 L' D2 L' R' B2 L
B2 L' D2 L2 R' B2 L
F2 L' D2 R' B2 L U2
U2 L' D2 R' U2 R' B2
B2 L' D2 R' L B2 L
B2 L' D2 R' L' B2 L
B2 L' D2 R' L2 B2 L
U' L' D2 U B2 L R2
U' L' D2 U B2 R2 L
B2 L' D2 R' B2 L D
B2 L' D2 R' B2 L D'
B2 L' D2 R' B2 L D2
B2 L' D2 R' B2 D L
B2 L' D2 R' B2 D' L
B2 L' D2 R' B2 D2 L
U2 L' D2 U2 B2 L R2
U2 L' D2 U2 B2 R2 L
R' L' B' F2 L2 U2 F2
L' R' B' F2 L2 U2 F2
R2 L' B' D2 R2 B2 L
R' L' B2 L2 F2 U2 F2
L' R' B2 L2 F2 U2 F2
F2 L' D2 B2 U2 L R2
F2 L' D2 B2 U2 R2 L
R L' B' D2 L2 R2 B2
R L' B' D2 L2 B2 R2
R L' B' D2 R2 L2 B2
R L' B' D2 R2 B2 L2
L2 R' B' F2 U2 R F2
L R' B' F2 U2 F2 D
L R' B' F2 U2 F2 D'
L R' B' F2 U2 F2 D2
R L' B' D2 B2 L2 R2
R L' B' D2 B2 R2 L2
L R' B' F2 D2 B2 U2
L2 R' B2 L' F2 U2 F2
U2 L' F L2 R' U2 B'
B2 L' F L2 F' R' B'
U2 L' F R' L2 U2 B'
U2 L' F R' F L2 U2
R' L' B2 F2 L2 U2 F2
L' R' B2 F2 L2 U2 F2
R2 L' B2 D2 R2 B2 L
R L' B2 D2 L2 R2 B2
R L' B2 D2 L2 B2 R2
R L' B2 D2 R2 L2 B2
R L' B2 D2 R2 B2 L2
L2 R' B2 F2 U2 R F2
R L' B2 D2 B2 L2 R2
L R' B2 F2 U2 F2 D
L R' B2 F2 U2 F2 D'
L R' B2 F2 U2 F2 D2
R L' B2 D2 B2 R2 L2
L R' B2 F2 D2 B2 U2
U2 L' F' L2 F' R' U2
U2 L' F2 L2 R' U2 D
U2 L' F2 L2 R' U2 D'
U2 L' F2 L2 R' U2 D2
U2 L' F2 L2 R' D U2
U2 L' F2 L2 R' D' U2
U2 L' F2 L2 R' D2 U2
U2 L' F2 L2 D R' U2
U2 L' F2 L2 D' R' U2
U2 L' F2 L2 D2 R' U2
U2 L' F2 R' L2 U2 D
U2 L' F2 R' L2 U2 D'
U2 L' F2 R' L2 U2 D2
U2 L' F2 R' L2 D U2
U2 L' F2 R' L2 D' U2
U2 L' F2 R' L2 D2 U2
U2 L' F2 R' U2 D2 R2
U2 L' F2 R' D2 U2 R2
B2 L' F2 U2 L2 R' F2
B2 L' F2 U2 L2 F2 R'
B2 L' F2 U2 R' L2 F2
B2 L' F2 U2 R' F2 L2
B2 L' F2 U2 F2 L2 R'
B2 L' F2 U2 F2 R' L2
F2 L' F2 D2 B2 L R2
F2 L' F2 D2 B2 R2 L
R' L2 U2 L' F2 U2 L
U2 L' F2 D2 R' U2 R'
L' R2 U2 L2 R F2 U2
L' R2 U2 L2 F2 U2 L'
L' R2 U2 R L2 F2 U2
L' R2 U2 R F2 L2 U2
L2 R2 U2 L' R F2 U2
R2 L2 U2 L' R F2 U2
L2 R2 U2 L' F2 U2 L'
B L' B L R' D2 B2
R2 L2 U2 L' F2 U2 L'
B L' B L D2 R' B2
L2 R2 U2 R L' F2 U2
R2 L2 U2 R L' F2 U2
L2 R2 U2 R F2 U2 R
R2 L2 U2 R F2 U2 R
R L2 U2 L' R2 F2 U2
L R2 U2 R F2 U2 R'
R L2 U2 L' F2 R2 U2
B L' B R' L D2 B2
L' R2 U2 F2 L2 U2 L
B L' B R' D2 L B2
R L2 U2 R2 L' F2 U2
D2 L' B D2 B L R2
D2 L' B D2 B R2 L
R L2 U2 R2 F2 U2 R
B' L' B D2 B2 L R'
B' L' B D2 B2 R' L
L2 R2 U2 F2 U2 L' R
L2 R2 U2 F2 U2 R L'
R2 L2 U2 F2 U2 L' R
R2 L2 U2 F2 U2 R L'
B' L' B' L R' D2 B2
B' L' B' L D2 R' B2
B L' B D2 L R' B2
B L' B D2 R' L B2
R L2 U2 F2 R2 U2 R'
B' L' B' R' L D2 B2
B' L' B' R' D2 L B2
B' L' B' D2 L R' B2
B' L' B' D2 R' L B2
D2 L' B2 L U2 L U2
D' L' B2 L D' B2 R'
D2 L' B2 L B2 R' B2
B L' B' D2 B2 L R'
B L' B' D2 B2 R' L
D2 L' B2 R D2 L R2
D2 L' B2 R D2 R2 L
D2 L' B2 R' D2 L R2
D2 L' B2 R' D2 R2 L
F2 L' B2 L2 U2 L' F2
D2 L' B2 R2 D2 L R2
D2 L' B2 R2 D2 R2 L
D L' B2 L D B2 R'
D2 L' B2 U2 L2 U2 L'
D2 L' B2 D L D R2
D2 L' B2 D' L D' R2
D2 L' B2 D2 L R2 D
D2 L' B2 D2 L R2 D'
D2 L' B2 D2 L R2 D2
D2 L' B2 D2 R2 L D
D2 L' B2 D2 R2 L D'
D2 L' B2 D2 R2 L D2
D2 L' B2 D2 R2 D L
D2 L' B2 D2 R2 D' L
D2 L' B2 D2 R2 D2 L
L' R2 D2 L R2 B2 L
L' R2 D2 L' R2 B2 L
L' R2 D2 L2 R2 B2 L
L' R2 D2 R2 L B2 L
L' R2 D2 R2 L' B2 L
L' R2 D2 R2 L2 B2 L
L' R2 D2 R2 B2 L D
L' R2 D2 R2 B2 L D'
L' R2 D2 R2 B2 L D2
L' R2 D2 R2 B2 D L
L' R2 D2 R2 B2 D' L
L' R2 D2 R2 B2 D2 L
R L2 D2 L2 R B2 R'
R L2 D2 L2 R' B2 R'
R L2 D2 L2 R2 B2 R'
R L2 D2 L2 B2 R' D
R L2 D2 L2 B2 R' D'
R L2 D2 L2 B2 R' D2
R L2 D2 L2 B2 D R'
R L2 D2 L2 B2 D' R'
R L2 D2 L2 B2 D2 R'
R L2 D2 R L2 B2 R'
R L2 D2 R' L2 B2 R'
U2 L2 R F2 R2 U2 R'
R L2 D2 R2 L2 B2 R'
F2 L2 R' U2 R F2 R
F2 L2 R' U2 R' F2 R
F2 L2 R' U2 R2 F2 R
F2 L2 R' U2 F2 R D
F2 L2 R' U2 F2 R D'
F2 L2 R' U2 F2 R D2
F2 L2 R' U2 F2 D R
F2 L2 R' U2 F2 D' R
F2 L2 R' U2 F2 D2 R
B2 L2 R' U2 F2 R U2
B2 L2 R' D L' D B2
F2 L2 R' D2 L' B2 U2
B2 L2 R' D2 L B2 L2
F2 L2 R' D2 B2 L' U2
B2 L2 R' D2 L' B2 D
B2 L2 R' D2 L' B2 D'
B2 L2 R' D2 L' B2 D2
U2 L2 R' D2 L' U2 B2
B2 L2 R' D2 B L' B
B2 L2 R' D2 B2 L' D
B2 L2 R' D2 B2 L' D'
B2 L2 R' D2 B2 L' D2
B2 L2 R' D2 B2 D L'
B2 L2 R' D2 B2 D' L'
B2 L2 R' D2 B2 D2 L'
F2 L2 R' B L' U2 F2
U2 L2 R' F2 L U2 R
U2 L2 R' F2 L' U2 R
U2 L2 R' F2 L2 U2 R
F2 L2 R' B U2 F2 R
U2 L2 R' F2 U2 R D
U2 L2 R' F2 U2 R D'
U2 L2 R' F2 U2 R D2
U2 L2 R' F2 U2 D R
U2 L2 R' F2 U2 D' R
U2 L2 R' F2 U2 D2 R
U2 L2 R' F2 D U2 R
B2 L2 R' B L' D2 B2
U2 L2 R' F2 D' U2 R
U2 L2 R' F2 D2 U2 R
F2 L2 R' B' L' U2 F2
B2 L2 R' B D2 L' B2
F2 L2 R' B' U2 F2 R
B2 L2 R' B D2 B2 L'
B2 L2 R' B' L' D2 B2
F2 L2 R' B2 L' U2 F2
B2 L2 R' B' D2 L' B2
B2 L2 R' B' D2 B2 L'
F2 L2 R' B2 U2 F2 R
B2 L2 R' B2 L' D2 B2
B2 L2 R' B2 D2 L' B2
B2 L2 R' B2 D2 B2 L'
F2 L2 R2 U2 F2 L' R
F2 L2 R2 U2 F2 R L'
B2 L2 R2 D2 L' R B2
