U2 B' U2 R' B
L2 R' F L2 B R
L2 R' F B L2 R
L2 R' F B R L2
L2 R' B F L2 R
L2 R' B F R L2
R' L2 F L2 B R
L2 R2 F L2 R B
L2 R2 F R L2 B
R' L2 F B L2 R
R' L2 F B R L2
R2 L2 F L2 R B
L2 R2 F R B L2
R2 L2 F R L2 B
R2 L2 F R B L2
R' L2 B F L2 R
R' L2 B F R L2
F R U2 F' B' U2
F R U2 B' F' U2
B' R F' L' U2 L
F' R' B D2 F2 R
F R' B R2 D2 F2
F R' B2 R2 F' B'
F R' B2 R2 B' F'
R U2 F' B' U2 R'
R' U2 B' U2 R' B2
R U2 B' F' U2 R'
B2 R2 F R F2 B
B2 R2 F R B F2
L2 F L2 R' B R2
R2 F R B D2 F2
L2 F R' L2 B R2
L2 F R' B L2 R2
L2 F R' B R2 L2
R' F B R D2 F2
R' F B D2 R F2
U2 F B' U2 R' B
R' F' B D2 F2 R
U2 F' B' U2 R' B
R F' B' L' U2 L
U2 F2 B' U2 R' B
R' B D2 F R F
R' B F R D2 F2
R' B F D2 R F2
R' B F' D2 F2 R
B F R' B R2 F'
F B R' B R2 F'
U2 B' L U2 R' B
U2 B' L' U2 R' B
U2 B' L2 U2 R' B
U2 B' U2 R' D B
U2 B' U2 R' D' B
U2 B' U2 R' D2 B
U2 B' U2 R' B D
U2 B' U2 R' B D'
U2 B' U2 R' B D2
U2 B' F U2 R' B
U2 B' F' U2 R' B
U2 B' F2 U2 R' B
R B' F' L' U2 L
B2 F2 R2 F' R B
F2 B2 R2 F' R B
R' F B D2 R' F2 R2
R' F B D2 R2 F2 R'
L2 F B L2 R' B R2
R' F B' R B2 D2 F2
L2 F B R' L2 B R2
L2 F B R' B L2 R2
L2 F B R' B R2 L2
R' F B' U2 R B2 L
R2 F B R D2 F2 B
R2 F B R D2 B F2
R F D2 R' B2 R2 F'
U2 F B' L U2 R' B
U2 F B' L' U2 R' B
U2 F B' L2 U2 R' B
L2 F B' L2 R' B R2
R2 F B D2 R F2 B
R2 F B D2 R B F2
L2 F B' R' L2 B R2
L2 F B' R' B L2 R2
L2 F B' R' B R2 L2
R' F B2 R2 F' R' B'
R F D2 B2 R2 F' R'
U2 F B' U2 R' D B
U2 F B' U2 R' D' B
U2 F B' U2 R' D2 B
U2 F B' U2 R' B D
U2 F B' U2 R' B D'
U2 F B' U2 R' B D2
R F B R D2 F2 B2
R F B R D2 B2 F2
L2 F B2 L2 R' B R2
L2 F B2 R' L2 B R2
L2 F B2 R' B L2 R2
L2 F B2 R' B R2 L2
R F B D2 R F2 B2
R F B D2 R B2 F2
R F B D2 B2 R F2
R2 F B2 R2 F' R' B
R F' L' U2 L' F L2
L2 F' L2 F2 B2 R' B
L2 F' L2 B2 R' F2 B
L2 F' L2 B2 R' B F2
L2 F' L2 B2 F2 R' B
L2 F' R F2 L2 R B'
L2 F' R F2 L2 B' R
L2 F' R F2 R L2 B'
R2 F' R B D2 F2 R
L2 F' R' F2 L2 B R
L2 F' R' F2 B L2 R
L2 F' R' F2 B R L2
L2 F' R' B F2 L2 R
L2 F' R' B F2 R L2
R F' R B' L' U2 L
L2 F' R2 F2 L2 R B
L2 F' R2 F2 R L2 B
L2 F' R2 F2 R B L2
R F' R' B' L' U2 L
R F' R2 B' L' U2 L
R' F' U2 B' L' U2 B2
U F' U B' U2 R' B
D2 F' U2 B' L' F U2
R' F' D B D2 F2 R
R2 F' U2 B' L' U2 B'
R' F' D' B D2 F2 R
R F' U2 B' L' U2 B
R' F' D2 B D2 F2 R
R F' D B' L' U2 L
R' F' B R D2 F2 R
R' F' B R' D2 F2 R
R' F' B R2 D2 F2 R
R' F' B U2 L' B2 U2
R' F' B U2 B2 L' U2
R' F' B D2 R F2 R
R' F' B D2 R' F2 R
R' F' B D2 R2 F2 R
R' F' B D2 F2 R D
R' F' B D2 F2 R D'
R' F' B D2 F2 R D2
R' F' B D2 F2 D R
R' F' B D2 F2 D' R
R' F' B D2 F2 D2 R
R' F' B' L' U2 L B2
D2 F' B' L' F U2 L
R F' D' B' L' U2 L
U2 F' B' L U2 R' B
U2 F' B' L' U2 R' B
U2 F' B' L2 U2 R' B
R2 F' B D2 F2 R B
R F' D2 B' L' U2 L
U2 F' B' U2 R' D B
U2 F' B' U2 R' D' B
U2 F' B' U2 R' D2 B
U2 F' B' U2 R' B D
U2 F' B' U2 R' B D'
U2 F' B' U2 R' B D2
R F' B L' B2 R' U2
R F' B' L' R U2 L
R F' B' L' R' U2 L
R F' B' L' R2 U2 L
R F' B' L' U2 L D
R F' B' L' U2 L D'
R F' B' L' U2 L D2
R F' B' L' U2 D L
R F' B' L' U2 D' L
R F' B' L' U2 D2 L
R F' B' L' D U2 L
R F' B' L' D' U2 L
R F' B' L' D2 U2 L
R F' B' R L' U2 L
R F' B' R' L' U2 L
R F' B' R2 L' U2 L
R F' B' D L' U2 L
R F' B' D' L' U2 L
R F' B' D2 L' U2 L
L2 F2 L2 F' R' B R2
B' D2 L U2 B' L' R'
B' D2 L U2 B' R' L'
U F2 U B' U2 R' B
B' D2 L' F U2 L R
B' D2 L' F U2 R L
R F2 U2 F B' L' U2
R F2 U2 B' F L' U2
R' F2 D2 B R' D2 F2
R' F2 D2 B D2 R' F2
R' F2 D2 B D2 F2 R'
U2 F2 B' L U2 R' B
U2 F2 B' L' U2 R' B
U2 F2 B' L2 U2 R' B
R' F2 B2 R2 F' R B'
R' F2 B2 R2 F' B' R
R' F2 B2 R2 B' F' R
U2 F2 B' U2 R' D B
U2 F2 B' U2 R' D' B
U2 F2 B' U2 R' D2 B
U2 F2 B' U2 R' B D
U2 F2 B' U2 R' B D'
U2 F2 B' U2 R' B D2
F' D2 U2 B' L' F U2
B2 D2 U2 B L U2 B'
F2 D2 U2 B' L U2 B'
B' D2 F' L' F U2 L
R' B R D2 F R F
R' B R F R D2 F2
R' B R F D2 R F2
R' B R F' D2 F2 R
R' B R' D2 F R F
R' B R' F R D2 F2
R' B R' F D2 R F2
R' B R' F' D2 F2 R
L2 B R' F L2 B R
R' B R2 D2 F R F
L2 B R' F B L2 R
L2 B R' F B R L2
R' B R2 F R D2 F2
R' B R2 F D2 R F2
R' B R2 F' D2 F2 R
L2 B R' B F L2 R
L2 B R' B F R L2
B D2 F2 D2 R' B R'
B D2 F2 D2 B R' B
F' D2 B' L' F U2 L
F2 D2 B D2 R' F2 B
F2 D2 B D2 R' B F2
F2 D2 B D2 F2 R' B
F2 D2 B' L U2 B' L'
L2 B R2 F L2 R B
L2 B R2 F R L2 B
L2 B R2 F R B L2
R' B U2 B L B U2
R' B D F R D F2
R' B D F D R F2
R' B D F' D F2 R
F' B L' B2 R' U2 B
R' B D' F D' R F2
R' B D' F' D' F2 R
B' F R U2 F' U2 F
R' B D2 R F R F
R' B D2 R' F R F
R' B D2 R2 F R F
R' B D2 F R D F
R' B D2 F R D' F
R' B D2 F R D2 F
R' B D2 F R F D
R' B D2 F R F D'
R' B D2 F R F D2
R' B D2 F R' F R2
R' B D2 F R2 F R'
R' B D2 F D R F
R' B D2 F D' R F
R' B D2 F D2 R F
U2 B D2 L U2 F2 B'
U2 B D2 L U2 B' F2
R' B F R U2 B2 U2
R' B F R D2 F2 D
R' B F R D2 F2 D'
R' B F R D2 F2 D2
R' B F R F D2 F2
R' B F R F' D2 F2
R' B F R F2 D2 F2
B' F R' B' R2 F' B2
B' F R' B' R2 B2 F'
B F R U2 F' B2 U2
B F R U2 B2 F' U2
F' B R' D2 F2 B R
F' B R' D2 B F2 R
R' B F R2 D2 R' F2
R' B F R2 D2 F2 R'
B F R F D2 F2 B2
B F R F D2 B2 F2
R' B F U2 B2 U2 R
R' B F D R D F2
F2 B R' D2 F2 B R'
F2 B R' D2 B R' F2
F2 B R' D2 B F2 R'
R' B F D2 R F2 D
R' B F D2 R F2 D'
R' B F D2 R F2 D2
R' B F D2 R' F2 R2
R' B F D2 R2 F2 R'
B2 F R' B R' F' R'
F B R U2 F' B2 U2
F B R U2 B2 F' U2
F2 B R' B R2 F' R
R2 B D2 F R F B
R2 B D2 F R B F
L2 B F L2 R' B R2
R' B F' R D2 F2 R
F B R F D2 F2 B2
F B R F D2 B2 F2
R' B F' R' D2 F2 R
L2 B F R' L2 B R2
R' B F' R2 D2 F2 R
L2 B F R' B L2 R2
L2 B F R' B R2 L2
F' B R2 D2 F2 R B
R' B F' U2 L' B2 U2
R' B F' U2 B2 L' U2
B F R' F B R2 F'
R' B F' D2 R F2 R
R' B F' D2 R' F2 R
R' B F' D2 R2 F2 R
R' B F' D2 F2 R D
R' B F' D2 F2 R D'
R' B F' D2 F2 R D2
R2 B F R D2 F2 B
R2 B F R D2 B F2
R' B F' D2 F2 D R
R' B F' D2 F2 D' R
R' B F' D2 F2 D2 R
B2 F R2 F' R B R2
B F R' F' B R2 F'
B F R' F2 B R2 F'
B F R' B R2 D F'
B F R' B R2 D' F'
B F R' B R2 D2 F'
B F R' B R2 F' D
B F R' B R2 F' D'
B F R' B R2 F' D2
B F R' B F R2 F'
B F R' B F' R2 F'
B F R' B F2 R2 F'
F B R' F B R2 F'
R2 B F D2 R F2 B
R2 B F D2 R B F2
F B R' F' B R2 F'
F B R' F2 B R2 F'
F B R' B R2 D F'
F B R' B R2 D' F'
F B R' B R2 D2 F'
F B R' B R2 F' D
F B R' B R2 F' D'
F B R' B R2 F' D2
F B R' B F R2 F'
F B R' B F' R2 F'
F B R' B F2 R2 F'
D2 B' L U2 B' L' R'
D2 B' L U2 B' R' L'
R B F R D2 F2 B2
R B F R D2 B2 F2
R2 B F' D2 F2 R B
R B F D2 R F2 B2
R B F D2 R B2 F2
R B F D2 B2 R F2
R B F' L' B2 R' U2
U2 B' L U2 R' D B
U2 B' L U2 R' D' B
U2 B' L U2 R' D2 B
U2 B' L U2 R' B D
U2 B' L U2 R' B D'
U2 B' L U2 R' B D2
U2 B' L F U2 R' B
U2 B' L F' U2 R' B
D2 B' L' F U2 L R
D2 B' L' F U2 R L
U2 B' L F2 U2 R' B
R2 B' L U2 L' B' R'
U2 B' L' U2 R' D B
U2 B' L' U2 R' D' B
U2 B' L' U2 R' D2 B
U2 B' L' U2 R' B D
U2 B' L' U2 R' B D'
U2 B' L' U2 R' B D2
U2 B' L' F U2 R' B
U2 B' L' F' U2 R' B
U2 B' L' F2 U2 R' B
U2 B' L2 U2 R' D B
U2 B' L2 U2 R' D' B
U2 B' L2 U2 R' D2 B
U2 B' L2 U2 R' B D
U2 B' L2 U2 R' B D'
U2 B' L2 U2 R' B D2
U2 B' L2 F U2 R' B
U2 B' L2 F' U2 R' B
U2 B' L2 F2 U2 R' B
R B' L' F' L' U2 L2
U2 B' R F' R' U2 R'
R B' L2 F' L' U2 L'
L2 B' R' F L2 B R
L2 B' R' F B L2 R
L2 B' R' F B R L2
L2 B' R' B F L2 R
L2 B' R' B F R L2
B' F' L' R F' U2 L
B' F' L' R' U2 L B
R2 B' R' F' L' U2 L
B' F' L' U2 D2 L B'
F' B' L' R F' U2 L
F' B' L' R' U2 L B
B' F' L' D2 U2 L B'
L2 B' R2 F L2 R B
L2 B' R2 F R L2 B
L2 B' R2 F R B L2
F' B' L' U2 D2 L B'
F' B' L' D2 U2 L B'
U2 B' U L U R' B
U2 B' U L' U R' B
U2 B' U L2 U R' B
B' F' R L' F' U2 L
U2 B' U' R U' R2 B
F' B' R L' F' U2 L
B F' L' B2 R' U2 B
U2 B' U' F U' R' B
U2 B' U' F' U' R' B
U2 B' U' F2 U' R' B
U2 B' U2 L R' B L'
B' F' R' L' U2 L B
U2 B' U2 L2 R' B L2
U2 B' U2 R B R2 B
U2 B' U2 R B' R2 B
U2 B' U2 R B2 R2 B
U2 B' U2 R' L B L'
U2 B' U2 R' L2 B L2
U2 B' U2 R' D B D
U2 B' U2 R' D B D'
U2 B' U2 R' D B D2
U2 B' U2 R' D' B D
U2 B' U2 R' D' B D'
U2 B' U2 R' D' B D2
U2 B' U2 R' D2 B D
U2 B' U2 R' D2 B D'
U2 B' U2 R' D2 B D2
U2 B' U2 R' B2 D B'
U2 B' U2 R' B2 D' B'
U2 B' U2 R' B2 D2 B'
U2 B' U2 R2 D R B
U2 B' U2 R2 D' R B
U2 B' U2 R2 D2 R B
U2 B' U2 R2 B R B
U2 B' U2 R2 B' R B
U2 B' U2 R2 B2 R B
F' B' R' L' U2 L B
U2 B' U2 F' R' F B
U2 B' U2 F' R' B F
U2 B' U2 F2 R' F2 B
U2 B' U2 F2 R' B F2
U2 B' U2 B' R' B R'
F B' R U2 F' U2 F
B F' R' D2 F2 B R
B F' R' D2 B F2 R
B2 F' R2 F2 R F B
B2 F' R2 F2 R B F
R B' U2 F' U2 F R
U2 B' D2 L U2 R' B'
F B' R' B' R2 F' B2
F B' R' B' R2 B2 F'
U2 B' D2 L' F U2 R'
B F' R2 D2 F2 R B
R' B' F R B2 D2 F2
R B' D F' L' U2 L
R' B' F U2 R B2 L
R' B' F' L' U2 L B2
D2 B' F' L' F U2 L
U2 B' F L U2 R' B
U2 B' F L' U2 R' B
L2 B' F L2 R' B R2
U2 B' F L2 U2 R' B
L2 B' F R' L2 B R2
L2 B' F R' B L2 R2
L2 B' F R' B R2 L2
R B' D' F' L' U2 L
U2 B' F U2 R' D B
U2 B' F U2 R' D' B
U2 B' F U2 R' D2 B
U2 B' F U2 R' B D
U2 B' F U2 R' B D'
U2 B' F U2 R' B D2
U2 B' F' L U2 R' B
U2 B' F' L' U2 R' B
U2 B' F' L2 U2 R' B
U2 B' F' U2 R' D B
U2 B' F' U2 R' D' B
U2 B' F' U2 R' D2 B
U2 B' F' U2 R' B D
U2 B' F' U2 R' B D'
U2 B' F' U2 R' B D2
R B' D2 F' L' U2 L
U2 B' F2 L U2 R' B
U2 B' F2 L' U2 R' B
U2 B' F2 L2 U2 R' B
U2 B' F2 U2 R' D B
U2 B' F2 U2 R' D' B
U2 B' F2 U2 R' D2 B
U2 B' F2 U2 R' B D
U2 B' F2 U2 R' B D'
U2 B' F2 U2 R' B D2
R B' F' L' R U2 L
R B' F' L' R' U2 L
R B' F' L' R2 U2 L
R B' F' L' U2 L D
R B' F' L' U2 L D'
R B' F' L' U2 L D2
R B' F' L' U2 D L
R B' F' L' U2 D' L
R B' F' L' U2 D2 L
R B' F' L' D U2 L
R B' F' L' D' U2 L
R B' F' L' D2 U2 L
R B' F' R L' U2 L
R B' F' R' L' U2 L
B' F' D2 L' F U2 L
R B' F' R2 L' U2 L
U2 B2 L B U2 R' B
R B' F' D L' U2 L
R B' F' D' L' U2 L
R B' F' D2 L' U2 L
F' B' D2 L' F U2 L
U2 B2 L' B U2 R' B
R' B2 R F R F' B'
R' B2 R F R B' F'
R' B2 R F B' R F'
U2 B2 L2 B U2 R' B
R' B2 R B' F R F'
R2 B2 R F B R F'
R2 B2 R B F R F'
L2 B2 R' F L2 B R
L2 B2 R' F B L2 R
L2 B2 R' F B R L2
R' B2 R2 F R F2 B'
R' B2 R2 F R B' F2
R' B2 R2 F B' R F2
L2 B2 R' B F L2 R
L2 B2 R' B F R L2
R' B2 R2 B' F R F2
L2 B2 R2 F L2 R B
L2 B2 R2 F R L2 B
L2 B2 R2 F R B L2
R B2 R F R F' B
R B2 R F R B F'
B2 F2 R' D2 B R' F'
F2 B2 R' D2 B R' F'
B2 F2 R' B R' F' R
F2 B2 R' B R' F' R
R B2 R2 F B R F2
F' B2 R2 F2 R F B
F' B2 R2 F2 R B F
B F2 R' D2 F2 B R'
B F2 R' D2 B R' F2
B F2 R' D2 B F2 R'
B2 F2 R2 F' R D B
B2 F2 R2 F' R D' B
B2 F2 R2 F' R D2 B
B2 F2 R2 F' R B D
B2 F2 R2 F' R B D'
B2 F2 R2 F' R B D2
R' B2 U2 B L U2 B2
B2 F2 R2 F' D R B
B2 F2 R2 F' D' R B
R B2 R2 B F R F2
B2 F2 R2 F' D2 R B
B2 F2 R2 F' B R B
D2 B2 U2 B L U2 B'
B2 F2 R2 F' B' R B
B2 F2 R2 F' B2 R B
R' B2 U2 B U2 B2 R'
F2 B2 R2 F' R D B
F2 B2 R2 F' R D' B
F2 B2 R2 F' R D2 B
B F2 R' B R2 F' R
F2 B2 R2 F' R B D
F2 B2 R2 F' R B D'
F2 B2 R2 F' R B D2
B2 F2 R2 B F' R B
F2 B2 R2 F' D R B
F2 B2 R2 F' D' R B
F2 B2 R2 F' D2 R B
F2 B2 R2 F' B R B
F2 B2 R2 F' B' R B
F2 B2 R2 F' B2 R B
B2 F2 R2 B' F' R B
B2 F2 R2 B2 F' R B
F2 B2 R2 B F' R B
F2 B2 R2 B' F' R B
F2 B2 R2 B2 F' R B
U2 B2 U2 R' B R' F'
F B2 R' B R' F' R'
R2 B2 U2 B L F U2
F B2 R2 F' R B R2
R B2 U2 F' B L U2
R B2 U2 B L F' U2
R B2 U2 B F' L U2
R' B2 F R2 F' R' B'
L2 B2 F L2 R' B R2
L2 B2 F R' L2 B R2
L2 B2 F R' B L2 R2
L2 B2 F R' B R2 L2
R2 B2 F R2 F' R' B
R' B2 F2 R2 F' R B'
R' B2 F2 R2 F' B' R
R' B2 F2 R2 B' F' R
