D' L U2 R B'
D' L U2 B' R
D' L2 U2 R B
U2 R2 D R' B
U2 D R' B R2
D U2 R' B R2
D' F2 L' F U2
L2 U2 D B R' B R2
L' U2 D' R L B' L'
L2 U2 D B' R' B R2
L U2 D R U2 F' U2
L2 U2 D B2 R' B R2
U2 R' B2 R' D R' B
L2 U2 D' L R B' L'
L' U2 D' R2 D2 R' B
L U2 D R' B R2 D
L U2 D R' B R2 D'
L U2 D R' B R2 D2
L U2 D R' B' R2 B2
L2 U2 D' L B' L' R
L2 U2 D' L B' R L'
L U2 D R' B2 R2 B'
L2 U2 D' R L B' L'
L U2 D B R' B R2
L2 U2 D' R2 D2 R' B
L U2 D B' R' B R2
L U2 D B2 R' B R2
L U2 D' L R B' L'
L U2 D' L B' L' R
L U2 D' L B' R L'
L U2 D' R L B' L'
L' U2 D2 R2 D' R' B
U2 R2 L D L' R' B
U2 R2 L D R' L' B
U2 R2 L D R' B L'
L U2 D' R2 D2 R' B
L' U2 D2 B R D B2
R2 U2 D2 L2 D' R' B
L2 U2 D2 R2 D' R' B
L2 U2 D2 B R D B2
D' R2 L' F R2 U2 R
U2 R2 L' D L R' B
U2 R2 L' D R' L B
U2 R2 L' D' L R' B'
L U2 D2 R2 D' R' B
U2 R2 L' D' R' L B'
L U2 D2 B R D B2
U2 R2 U F' R U' R2
U' R2 U' D R' D B
U' R2 U' D R' D' B
U' R2 U' D R' D2 B
U' R2 U' D R' B D
U' R2 U' D R' B D'
U' R2 U' D R' B D2
L' U2 B R2 D R' B
L' U2 B D R' B R2
D' R2 U2 R' B2 L B'
L2 U2 B R2 D R' B
D' R2 U2 D2 L2 R' B
D' R2 U2 D2 R' L2 B
D' R2 U2 D2 R' B L2
L2 U2 B D R' B R2
L' U2 B' R2 D R' B
L U2 B R2 D R' B
L' U2 B' D R' B R2
L U2 B D R' B R2
U' R2 D R U' R2 B
L2 U2 B' R2 D R' B
U2 R2 D L R' B L'
U' R2 D U' R' D B
U' R2 D U' R' D' B
U' R2 D U' R' D2 B
U' R2 D U' R' B D
U' R2 D U' R' B D'
U' R2 D U' R' B D2
U2 R2 D L2 R' B L2
L2 U2 B' D R' B R2
U' R2 D F U' R' B
U2 R2 D R B R2 B
U2 R2 D R B' R2 B
U2 R2 D R B2 R2 B
U2 R2 D R' L B L'
U2 R2 D R' L2 B L2
U2 R2 D R' D B D
U2 R2 D R' D B D'
U2 R2 D R' D B D2
U2 R2 D R' D' B D
U2 R2 D R' D' B D'
U2 R2 D R' D' B D2
U2 R2 D R' D2 B D
U2 R2 D R' D2 B D'
U2 R2 D R' D2 B D2
U' R2 D F' U' R' B
U2 R2 D R' B2 D B'
U2 R2 D R' B2 D' B'
U2 R2 D R' B2 D2 B'
U2 R2 D R2 D R B
U2 R2 D R2 D' R B
U2 R2 D R2 D2 R B
U' R2 D F2 U' R' B
U2 R2 D R2 B R B
U2 R2 D R2 B' R B
U2 R2 D R2 B2 R B
L' U2 B2 R2 D R' B
L U2 B' R2 D R' B
U2 R2 D F' R' F B
U2 R2 D F' R' B F
U2 R2 D F2 R' F2 B
U2 R2 D F2 R' B F2
L' U2 B2 D R' B R2
L U2 B' D R' B R2
U2 R2 D B' R' B R'
L2 U2 B2 R2 D R' B
U2 R2 D' L R' B' L'
L2 U2 B2 D R' B R2
U2 R2 D' R' L B' L'
L' D L U2 R' B R2
L U2 B2 R2 D R' B
L U2 B2 D R' B R2
D' R2 D2 R' B L2 F
L2 D L U2 R' B R2
D' R2 D2 U2 L2 R' B
D' R2 D2 U2 R' L2 B
D' R2 D2 U2 R' B L2
R D L R' U2 B R
L' D L' U2 R' B R2
L D L U2 R' B R2
L2 D L' U2 R' B R2
U' R2 F U2 L' U R'
R D L' R' U2 B R
L' D L2 U2 R' B R2
L D L' U2 R' B R2
U' R2 F' R U' R2 D
U' R2 F' R U' R2 D'
U' R2 F' R U' R2 D2
U' R2 F' R D' F2 U'
U' R2 F' R F U' R2
U' R2 F' R F' U' R2
U' R2 F' R F2 U' R2
L2 D L2 U2 R' B R2
B' R2 F' R' D B2 L
U' R2 F' U' R' D B2
R' D R U2 D' R2 B
U' R2 F' D R U' R2
R' D R D L2 F' U2
R' D R D F' L2 U2
U' R2 F' D' R U' R2
U2 R2 F' R' D F B2
U2 R2 F' R' D B2 F
U2 R2 F' R' F D B2
R' D R D' U2 R2 B
R' D R D' F' U2 R2
U' R2 F' D2 R U' R2
R D L2 R' U2 B R
R' D R F' U B2 U
R' D R F' U2 D' R2
R' D R F' D L2 U2
R' D R F' D' U2 R2
L D L2 U2 R' B R2
L' D R F' R' U2 R
U' R2 F2 R2 U' R B
U' R2 F2 U' R B R2
L2 D R F' R' U2 R
L D R F' R' U2 R
R D R F' R2 U2 R
R2 D R' D B L2 F
R D R' L U2 B R
R D R' L' U2 B R
R D R' L2 U2 B R
U2 R2 B D B' R' B
R D R' U2 D B R
R D R' U2 D' B R
R D R' U2 D2 B R
R D R' U2 B R D
R D R' U2 B R D'
R D R' U2 B R D2
R D R' U2 B D R
R D R' U2 B D' R
R D R' U2 B D2 R
R D R' U2 B' R B2
R D R' U2 B2 R B'
R D R' D U2 B R
R D R' D' U2 B R
R D R' D2 U2 B R
R D R' F2 L' U2 B
L' D U' R' U' B R2
D' U L U R D B'
D' U L U R D' B'
D' U L U R D2 B'
D' U L U R B' D
D' U L U R B' D'
D' U L U R B' D2
D' U L U R' B' R2
D' U L U D R B'
D' U L U D B' R
D' U L U D' R B'
D' U L U D' B' R
D' U L U D2 R B'
D' U L U D2 B' R
D' U L U B R B2
D' U L U B' R D
D' U L U B' R D'
D' U L U B' R D2
D' U L U B' D R
D' U L U B' D' R
D' U L U B' D2 R
U2 R2 B2 D B2 R' B
L2 D U' R' U' B R2
D' U L D U R B'
D' U L D U B' R
F' U L U2 R F U'
D' U L D' U R B'
D' U L D' U B' R
D' U L D2 U R B'
D' U L D2 U B' R
L' D U2 R U2 F' U2
U2 D L R' B L' R2
U2 D L R' B R2 L'
L' D U2 R' B R2 D
L' D U2 R' B R2 D'
L' D U2 R' B R2 D2
L' D U2 R' B' R2 B2
L' D U2 R' B2 R2 B'
F2 U L U' L2 U2 B'
F2 U L U' F L2 U2
D' U L B U R B2
D' U L B U B2 R
D2 U L B' L U R
D' U L B2 U B R
L' D U2 B R' B R2
L D U' R' U' B R2
D2 U L B2 U R B
L' D U2 B' R' B R2
L2 D U2 R U2 F' U2
L' D U2 B2 R' B R2
D U L U R' B R2
L2 D U2 R' B R2 D
L2 D U2 R' B R2 D'
L2 D U2 R' B R2 D2
L2 D U2 R' B' R2 B2
L2 D U2 R' B2 R2 B'
R2 D U2 R' D L2 B
R2 D U2 R' D B L2
L2 D U2 B R' B R2
U D L U R' B R2
L2 D U2 B' R' B R2
L2 D U2 B2 R' B R2
L D U2 R U2 F' U2
L D U2 R' B R2 D
L D U2 R' B R2 D'
L D U2 R' B R2 D2
L D U2 R' B' R2 B2
L D U2 R' B2 R2 B'
D2 U L' B' L U R
D2 U L' B2 U R B
F' U L' B' U2 R U'
U2 D L' D2 L R B'
U2 D L' D2 L B' R
U2 D L' D2 R L B'
D U L' U R' B R2
L D U2 B R' B R2
L D U2 B' R' B R2
L D U2 B2 R' B R2
F U L' U F' R F
U D L' U R' B R2
F U L' U2 F' U' R
U2 D L2 R' B L2 R2
U2 D L2 R' B R2 L2
F2 U L2 U' L U2 B'
R D F R' U2 B R
L' D F' U2 B' R' B
F U L' D2 B U R'
D2 U L2 B' L U R
D2 U L2 B2 U R B
D U L2 U R' B R2
L2 D F' U2 B' R' B
U D L2 U R' B R2
F U L2 D' L B' U
U2 D R U R2 U' B
R D F' R' U2 B R
U2 D R U2 D F' U2
U2 D R U2 D' F' U2
U2 D R U2 D2 F' U2
U2 D R U2 F' U2 D
U2 D R U2 F' U2 D'
U2 D R U2 F' U2 D2
U2 D R U2 F' D U2
U2 D R U2 F' D' U2
U2 D R U2 F' D2 U2
L' D F2 D2 L' F U2
U2 D R D R2 B R2
U2 D R D U2 F' U2
L D F' U2 B' R' B
U2 D R D' R2 B R2
U2 D R D' U2 F' U2
U2 D R D2 R2 B R2
U2 D R D2 U2 F' U2
U2 D R F D2 F' B2
U2 D R F D2 B2 F'
U' D R' U' B R2 D
U' D R' U' B R2 D'
U' D R' U' B R2 D2
U' D R' U' B' R2 B2
U' D R' U' B2 R2 B'
U2 D R B R2 B R2
U2 D R B U2 F' U2
U2 D R B' R2 B R2
U2 D R B' U2 F' U2
L2 D F2 D2 L' F U2
U2 D R B2 R2 B R2
U2 D R B2 U2 F' U2
U' D R' D' F2 U' B
U2 D R' L B L' R2
U2 D R' L B R2 L'
U' D R' F U' B R2
U2 D R' L2 B L2 R2
U2 D R' L2 B R2 L2
U' D R' F' U' B R2
U' D R' F2 U' B R2
R D F2 R' U2 B R
U2 D R' D' B D R2
U2 D R' D2 B D2 R2
L D F2 D2 L' F U2
U2 D R' F' B R2 F
U2 D R' F2 B R2 F2
U2 D R' B R D R
U2 D R' B R D' R
U2 D R' B R D2 R
U2 D R' B R' D R'
U2 D R' B R' D' R'
U2 D R' B R' D2 R'
U2 D R' B F' R2 F
U2 D R' B F2 R2 F2
U2 D R' B' R B2 R
U2 D R' B' R2 B2 D
U2 D R' B' R2 B2 D'
U2 D R' B' R2 B2 D2
U2 D R' B2 R B' R
U2 D R' B2 R2 D B'
U2 D R' B2 R2 D' B'
U2 D R' B2 R2 D2 B'
U2 D R' B2 R2 B' D
U2 D R' B2 R2 B' D'
U2 D R' B2 R2 B' D2
U2 D R2 D R B R2
U2 D R2 D' R B R2
U2 D R2 D2 R B R2
U2 D R2 B' R B R'
L' D' L U2 R D B'
L' D' L U2 R D' B'
L' D' L U2 R D2 B'
L' D' L U2 R B' D
L' D' L U2 R B' D'
L' D' L U2 R B' D2
L' D' L U2 R' B' R2
L' D' L U2 D R B'
L' D' L U2 D B' R
L' D' L U2 D' R B'
L' D' L U2 D' B' R
L' D' L U2 D2 R B'
L' D' L U2 D2 B' R
L' D' L U2 B R B2
L' D' L U2 B' R D
L' D' L U2 B' R D'
L' D' L U2 B' R D2
L' D' L U2 B' D R
L' D' L U2 B' D' R
L' D' L U2 B' D2 R
L' D' L D U2 R B'
L' D' L D U2 B' R
L' D' L D' U2 R B'
L' D' L D' U2 B' R
L' D' L D2 U2 R B'
L' D' L D2 U2 B' R
L' D' L F' U2 B' R'
U2 D F' R' F B R
U2 D F' R' B F R
U2 D F' R2 F R B
L2 D' L U2 R D B'
L2 D' L U2 R D' B'
L2 D' L U2 R D2 B'
L2 D' L U2 R B' D
L2 D' L U2 R B' D'
L2 D' L U2 R B' D2
L2 D' L U2 R' B' R2
L2 D' L U2 D R B'
L2 D' L U2 D B' R
L2 D' L U2 D' R B'
L2 D' L U2 D' B' R
L2 D' L U2 D2 R B'
L2 D' L U2 D2 B' R
L2 D' L U2 B R B2
L2 D' L U2 B' R D
L2 D' L U2 B' R D'
L2 D' L U2 B' R D2
L2 D' L U2 B' D R
L2 D' L U2 B' D' R
L2 D' L U2 B' D2 R
L2 D' L D U2 R B'
L2 D' L D U2 B' R
L2 D' L D' U2 R B'
L2 D' L D' U2 B' R
F U D' L B' L2 U
F U D' L' U2 F U'
L2 D' L D2 U2 R B'
L2 D' L D2 U2 B' R
R D B2 D2 L F2 B'
R D B2 D2 L B' F2
R D B2 D2 F2 L B'
L2 D' L F' U2 B' R'
R D' L R' U2 R B'
R D' L R' U2 B' R
L D' L U2 R D B'
L D' L U2 R D' B'
L D' L U2 R D2 B'
L D' L U2 R B' D
L D' L U2 R B' D'
L D' L U2 R B' D2
L D' L U2 R' B' R2
L' D' L' F2 L' F' U2
L D' L U2 D R B'
L D' L U2 D B' R
L D' L U2 D' R B'
L D' L U2 D' B' R
L D' L U2 D2 R B'
L D' L U2 D2 B' R
L D' L U2 B R B2
L D' L U2 B' R D
L D' L U2 B' R D'
L D' L U2 B' R D2
L D' L U2 B' D R
L D' L U2 B' D' R
L D' L U2 B' D2 R
L D' L D U2 R B'
L D' L D U2 B' R
U2 D F2 R' F2 B R
U2 D F2 R' B F2 R
L D' L D' U2 R B'
L D' L D' U2 B' R
U2 D F2 R2 F2 R B
D' U B L U R B'
D' U B L U B' R
L D' L D2 U2 R B'
L D' L D2 U2 B' R
F U D2 L' B U R'
L D' L F' U2 B' R'
L' D' L2 U2 R D B
L' D' L2 U2 R D' B
L' D' L2 U2 R D2 B
L' D' L2 U2 R B D
L' D' L2 U2 R B D'
L' D' L2 U2 R B D2
L' D' L2 U2 D R B
L' D' L2 U2 D' R B
L' D' L2 U2 D2 R B
L2 D' L' F2 L' F' U2
L' D' L2 U2 B R B
L' D' L2 U2 B' R B
L' D' L2 U2 B2 R B
D2 U B U R D B2
L' D' L2 D U2 R B
L' D' L2 D' U2 R B
F U D2 B L' U R'
D2 U B U2 R' U' R2
L' D' L2 D2 U2 R B
L' D' L2 F2 L' U2 B'
U2 D B R U2 F' U2
U2 D B R' B R2 D
U2 D B R' B R2 D'
U2 D B R' B R2 D2
U2 D B R' B' R2 B2
U2 D B R' B2 R2 B'
D' U B' L U R B'
D' U B' L U B' R
L2 D' L2 U2 R D B
L2 D' L2 U2 R D' B
L2 D' L2 U2 R D2 B
L2 D' L2 U2 R B D
L2 D' L2 U2 R B D'
L2 D' L2 U2 R B D2
L2 D' L2 U2 D R B
L2 D' L2 U2 D' R B
L2 D' L2 U2 D2 R B
L2 D' L2 U2 B R B
L2 D' L2 U2 B' R B
L2 D' L2 U2 B2 R B
D2 U B' L U R D
D2 U B' L U R D'
D2 U B' L U R D2
D2 U B' L U D R
D2 U B' L U D' R
D2 U B' L U D2 R
D2 U B' L D U R
D2 U B' L D' U R
D2 U B' L D2 U R
L2 D' L2 D U2 R B
D2 U B' L B U R
D2 U B' L B' U R
D2 U B' L B2 U R
L2 D' L2 D' U2 R B
L D' L' F2 L' F' U2
R D' L' F R' U2 R
L2 D' L2 D2 U2 R B
L2 D' L2 F2 L' U2 B'
D U B U R' B R2
D2 U B' D L U R
R D' L2 R' U2 R B
F' U F2 L' F2 B' U
F' U F2 L' B' F2 U
D2 U B' D' L U R
L D' L2 U2 R D B
L D' L2 U2 R D' B
L D' L2 U2 R D2 B
L D' L2 U2 R B D
L D' L2 U2 R B D'
L D' L2 U2 R B D2
L D' L2 U2 D R B
L D' L2 U2 D' R B
L D' L2 U2 D2 R B
D2 U B' D2 L U R
L D' L2 U2 B R B
U2 D B' R U2 F' U2
L D' L2 U2 B' R B
L D' L2 U2 B2 R B
U D B U R' B R2
L D' L2 D U2 R B
U2 D B' R' B R2 D
U2 D B' R' B R2 D'
U2 D B' R' B R2 D2
U2 D B' R' B' R2 B2
U2 D B' R' B2 R2 B'
L D' L2 D' U2 R B
D' U B2 L U R B'
D' U B2 L U B' R
L D' L2 D2 U2 R B
D2 U B2 L U R B
D2 U B2 L' U R B
L D' L2 F2 L' U2 B'
D2 U B2 L2 U R B
D U B' U R' B R2
D2 U B2 U R D B
D2 U B2 U R D' B
D2 U B2 U R D2 B
D2 U B2 U R B D
D2 U B2 U R B D'
D2 U B2 U R B D2
D2 U B2 U D R B
D2 U B2 U D' R B
D2 U B2 U D2 R B
D2 U B2 U B R B
D2 U B2 U B' R B
D2 U B2 U B2 R B
D2 U B2 D U R B
D2 U B2 D' U R B
D2 U B2 D2 U R B
U2 D B2 R U2 F' U2
U D B' U R' B R2
U2 D B2 R' B R2 D
U2 D B2 R' B R2 D'
U2 D B2 R' B R2 D2
U2 D B2 R' B' R2 B2
U2 D B2 R' B2 R2 B'
D U B2 U R' B R2
U2 D' L R D B' L'
U2 D' L R D' B' L'
R D' R' L U2 R B'
R D' R' L U2 B' R
U2 D' L R D2 B' L'
U2 D' L R B L' B2
U2 D' L R B' L' D
U2 D' L R B' L' D'
U2 D' L R B' L' D2
U2 D' L R B' D L'
U2 D' L R B' D' L'
U2 D' L R B' D2 L'
U2 D' L R B2 L' B
U2 D' L R' B' L' R2
U2 D' L R' B' R2 L'
R D' R' L2 U2 R B
U D B2 U R' B R2
U2 D' L D R B' L'
U2 D' L D B' L' R
U2 D' L D B' R L'
L' D' U L U R B'
L' D' U L U B' R
U2 D' L D' R B' L'
U2 D' L D' B' L' R
U2 D' L D' B' R L'
U2 D' L D2 R B' L'
U2 D' L D2 B' L' R
U2 D' L D2 B' R L'
R D' R' F2 L' F U2
U2 D' L B L' R B2
U2 D' L B L' B2 R
U2 D' L B R L' B2
U2 D' L B R B2 L'
U2 D' L B' L' R D
U2 D' L B' L' R D'
U2 D' L B' L' R D2
U2 D' L B' L' D R
U2 D' L B' L' D' R
U2 D' L B' L' D2 R
U2 D' L B' R L' D
U2 D' L B' R L' D'
U2 D' L B' R L' D2
U2 D' L B' R D L'
U2 D' L B' R D' L'
U2 D' L B' R D2 L'
U2 D' L B' D L' R
U2 D' L B' D R L'
U2 D' L B' D' L' R
U2 D' L B' D' R L'
U2 D' L B' D2 L' R
U2 D' L B' D2 R L'
U2 D' L B2 L' B R
U D' L U R D B'
U D' L U R D' B'
U D' L U R D2 B'
U D' L U R B' D
U D' L U R B' D'
U D' L U R B' D2
U D' L U R' B' R2
U D' L U D R B'
U D' L U D B' R
U D' L U D' R B'
U D' L U D' B' R
U D' L U D2 R B'
U D' L U D2 B' R
U D' L U B R B2
U D' L U B' R D
U D' L U B' R D'
U D' L U B' R D2
U D' L U B' D R
U D' L U B' D' R
U D' L U B' D2 R
L2 D' U L U R B'
L2 D' U L U B' R
U D' L D U R B'
U D' L D U B' R
U D' L D' U R B'
U D' L D' U B' R
U D' L D2 U R B'
U D' L D2 U B' R
U D' L B U R B2
U D' L B U B2 R
U D' L B2 U B R
L D' U L U R B'
L D' U L U B' R
L' D' U2 L R B' L'
L' D' U2 L B' L' R
L' D' U2 L B' R L'
L' D' U2 R L B' L'
L' D' U2 R2 D2 R' B
L2 D' U2 L R B' L'
L2 D' U2 L B' L' R
L2 D' U2 L B' R L'
L2 D' U2 R L B' L'
U2 D' R L D B' L'
U2 D' R L D' B' L'
U2 D' R L D2 B' L'
U2 D' R L B L' B2
U2 D' R L B' L' D
U2 D' R L B' L' D'
U2 D' R L B' L' D2
U2 D' R L B' D L'
U2 D' R L B' D' L'
U2 D' R L B' D2 L'
U2 D' R L B2 L' B
L' D' F L' F L' U2
L2 D' U2 R2 D2 R' B
U2 D' R U' L U B'
U2 D' R D2 R' B R
L D' U2 L R B' L'
L D' U2 L B' L' R
L D' U2 L B' R L'
L2 D' F L' F L' U2
L D' U2 R L B' L'
U2 D' R B L B' L'
U2 D' R B' L B' L'
U2 D' R B2 L B' L'
L D' U2 R2 D2 R' B
L' D' F' L U2 B' R'
U2 D' R' L B' L' R2
U2 D' R' L B' R2 L'
L' D' F' L' F U2 R
L D' F L' F L' U2
U' D' R2 U' D2 R' B
D' U' R2 U' D2 R' B
L2 D' F' L U2 B' R'
L2 D' F' L' F U2 R
D2 U' R2 U' D' R' B
D U' R' U' B R2 D
D U' R' U' B R2 D'
D U' R' U' B R2 D2
D U' R' U' B' R2 B2
D U' R' U' B2 R2 B'
U' D' R2 D2 U' R' B
D' U' R2 D2 U' R' B
D2 U' R2 D' U' R' B
D U' R' D' F2 U' B
L' D' F2 L' D F U2
L' D' F2 L' D' F U2
L' D' F2 L' D2 F U2
L' D' F2 L' F U2 D
L' D' F2 L' F U2 D'
L' D' F2 L' F U2 D2
L' D' F2 L' F D U2
L' D' F2 L' F D' U2
L' D' F2 L' F D2 U2
D U' R' F U' B R2
D U' R' F' U' B R2
D U' R' F2 U' B R2
F' U' R U2 D B U
F' U' R U2 D' B U
F' U' R U2 D2 B U
F' U' R U2 B U D
F' U' R U2 B U D'
F' U' R U2 B U D2
F' U' R U2 B D U
F' U' R U2 B D' U
F' U' R U2 B D2 U
L D' F' L U2 B' R'
F' U' R D U2 B U
F2 U' R U L' U2 B
L D' F' L' F U2 R
U2 D' R2 D2 R' D B
U2 D' R2 D2 R' D' B
U2 D' R2 D2 R' D2 B
U2 D' R2 D2 R' B D
U2 D' R2 D2 R' B D'
U2 D' R2 D2 R' B D2
F' U' R D' U2 B U
L2 D' F2 L' D F U2
L2 D' F2 L' D' F U2
L2 D' F2 L' D2 F U2
L2 D' F2 L' F U2 D
L2 D' F2 L' F U2 D'
L2 D' F2 L' F U2 D2
L2 D' F2 L' F D U2
L2 D' F2 L' F D' U2
L2 D' F2 L' F D2 U2
F' U' R D2 U2 B U
F' U' R F U2 B U
F' U' R F' U2 B U
F' U' R F2 U2 B U
F2 U' R F2 U' B R
F' U' R' D F' U' B2
F2 U' R' U L' F' U2
L D' F2 L' D F U2
L D' F2 L' D' F U2
L D' F2 L' D2 F U2
L D' F2 L' F U2 D
L D' F2 L' F U2 D'
L D' F2 L' F U2 D2
L D' F2 L' F D U2
L D' F2 L' F D' U2
L D' F2 L' F D2 U2
F' U' R' F R2 F2 U'
F' U' R' F' R2 U' D
F' U' R' F' R2 U' D'
F' U' R' F' R2 U' D2
F' U' R' F' R2 D U'
F' U' R' F' R2 D' U'
F' U' R' F' R2 D2 U'
F' U' R' F' U' D B2
F' U' R' F' D U' B2
F' U' R' F2 R2 F U'
U' D' F2 U L' F U2
D' U' F2 U L' F U2
F' U' D R U2 B U
F' U' D R' F' R2 U'
D2 U' B R' B' U' R2
U2 D' B L R B' L'
U2 D' B L B' L' R
U2 D' B L B' R L'
F' U' D' R U2 B U
F' U' D' R' F' R2 U'
U2 D' B R L B' L'
U2 D' B R2 D2 R' B
R D' B2 L D2 F2 B'
R D' B2 L D2 B' F2
U2 D' B D2 R' B R2
U D' B L U R B'
U D' B L U B' R
F' U' D2 R U2 B U
F U' D F2 R F' U'
U2 D' B' L R B' L'
F' U' D2 R' F' R2 U'
U2 D' B' L B' L' R
U2 D' B' L B' R L'
U2 D' B' R L B' L'
U2 D' B' R2 D2 R' B
U2 D' B' D2 R' B R2
F' U' F R' F' R U'
U D' B' L U R B'
U D' B' L U B' R
U2 D' B2 L R B' L'
U2 D' B2 L B' L' R
U2 D' B2 L B' R L'
D' U2 L R D B' L'
D' U2 L R D' B' L'
D' U2 L R D2 B' L'
D' U2 L R B L' B2
D' U2 L R B' L' D
D' U2 L R B' L' D'
D' U2 L R B' L' D2
R' D2 L2 D' R F' U2
D' U2 L R B' D L'
D' U2 L R B' D' L'
D' U2 L R B' D2 L'
D' U2 L R B2 L' B
U2 D' B2 R L B' L'
D' U2 L R' B' L' R2
D' U2 L R' B' R2 L'
U2 D' B2 R2 D2 R' B
D' U2 L D R B' L'
D' U2 L D B' L' R
D' U2 L D B' R L'
D' U2 L D' R B' L'
D' U2 L D' B' L' R
D' U2 L D' B' R L'
D' U2 L D2 R B' L'
D' U2 L D2 B' L' R
D' U2 L D2 B' R L'
U2 D' B2 D2 R' B R2
U D' B2 L U R B'
U D' B2 L U B' R
D' U2 L B L' R B2
D' U2 L B L' B2 R
D' U2 L B R L' B2
D' U2 L B R B2 L'
D' U2 L B' L' R D
D' U2 L B' L' R D'
D' U2 L B' L' R D2
D' U2 L B' L' D R
D' U2 L B' L' D' R
D' U2 L B' L' D2 R
D' U2 L B' R L' D
D' U2 L B' R L' D'
D' U2 L B' R L' D2
D' U2 L B' R D L'
D' U2 L B' R D' L'
D' U2 L B' R D2 L'
D' U2 L B' D L' R
D' U2 L B' D R L'
D' U2 L B' D' L' R
D' U2 L B' D' R L'
D' U2 L B' D2 L' R
D' U2 L B' D2 R L'
D' U2 L B2 L' B R
F U' F U L' U2 B'
D2 U2 L' R D L B'
D U2 L R' B L' R2
D U2 L R' B R2 L'
D2 U2 L' D L R B'
D2 U2 L' D L B' R
D2 U2 L' D R L B'
U2 D2 L' R D L B'
F' U' F2 U2 L' B' U
F2 U' F2 R' U' R2 B
F2 U' F2 R2 U' R' B
U2 D2 L' D L R B'
U2 D2 L' D L B' R
U2 D2 L' D R L B'
U D2 L B' L U R
U D2 L B2 U R B
D U2 L' D2 L R B'
D U2 L' D2 L B' R
D U2 L' D2 R L B'
D' U2 R L D B' L'
D' U2 R L D' B' L'
D' U2 R L D2 B' L'
F U' F2 R F U' R
D' U2 R L B L' B2
D' U2 R L B' L' D
D' U2 R L B' L' D'
D' U2 R L B' L' D2
D' U2 R L B' D L'
D' U2 R L B' D' L'
D' U2 R L B' D2 L'
D' U2 R L B2 L' B
D' U2 R U' L U B'
D2 U2 R L' D L B'
D U2 L2 R' B L2 R2
D U2 L2 R' B R2 L2
D' U2 R D2 R' B R
D2 U2 R D L B' L'
U D2 L' B' L U R
D2 U2 R D' R' B R
U D2 L' B2 U R B
D' U2 R B L B' L'
D' U2 R B' L B' L'
U2 D2 R L' D L B'
D' U2 R B2 L B' L'
D2 U2 R B U R' U'
D' U2 R' L B' L' R2
D' U2 R' L B' R2 L'
D2 U2 R B' U' L U
U2 D2 R D L B' L'
U2 D2 R D' R' B R
L' D2 U B' L U R
D U2 R U R2 U' B
U D2 L2 B' L U R
L' D2 U B2 U R B
U2 D2 R B U R' U'
D U2 R U2 D F' U2
D U2 R U2 D' F' U2
D U2 R U2 D2 F' U2
D U2 R U2 F' U2 D
D U2 R U2 F' U2 D'
D U2 R U2 F' U2 D2
D U2 R U2 F' D U2
D U2 R U2 F' D' U2
D U2 R U2 F' D2 U2
U D2 L2 B2 U R B
U2 D2 R B' U' L U
D U2 R D R2 B R2
D U2 R D U2 F' U2
D U2 R D' R2 B R2
D U2 R D' U2 F' U2
D U2 R D2 R2 B R2
D U2 R D2 U2 F' U2
D U2 R F D2 F' B2
D U2 R F D2 B2 F'
L2 D2 U B' L U R
D U2 R B R2 B R2
L2 D2 U B2 U R B
D U2 R B U2 F' U2
D U2 R B' R2 B R2
D U2 R B' U2 F' U2
U' D2 R2 U' D' R' B
D U2 R B2 R2 B R2
D U2 R B2 U2 F' U2
D U2 R' L B L' R2
D U2 R' L B R2 L'
U' D2 R2 D' U' R' B
D U2 R' L2 B L2 R2
D U2 R' L2 B R2 L2
D' U2 R2 D2 R' D B
D' U2 R2 D2 R' D' B
D' U2 R2 D2 R' D2 B
D' U2 R2 D2 R' B D
D' U2 R2 D2 R' B D'
D' U2 R2 D2 R' B D2
D2 U2 R2 D' R' D B
D2 U2 R2 D' R' D' B
D2 U2 R2 D' R' D2 B
D2 U2 R2 D' R' B D
D2 U2 R2 D' R' B D'
D2 U2 R2 D' R' B D2
D U2 R' D' B D R2
L' D2 U2 R2 D' R' B
D U2 R' D2 B D2 R2
D U2 R' F' B R2 F
L D2 U B' L U R
L' D2 U2 B R D B2
D U2 R' F2 B R2 F2
D U2 R' B R D R
D U2 R' B R D' R
D U2 R' B R D2 R
D U2 R' B R' D R'
D U2 R' B R' D' R'
D U2 R' B R' D2 R'
L D2 U B2 U R B
D U2 R' B F' R2 F
D U2 R' B F2 R2 F2
D U2 R' B' R B2 R
D U2 R' B' R2 B2 D
D U2 R' B' R2 B2 D'
D U2 R' B' R2 B2 D2
U2 D2 R2 D' R' D B
U2 D2 R2 D' R' D' B
U2 D2 R2 D' R' D2 B
U2 D2 R2 D' R' B D
U2 D2 R2 D' R' B D'
U2 D2 R2 D' R' B D2
D U2 R' B2 R B' R
D U2 R' B2 R2 D B'
D U2 R' B2 R2 D' B'
D U2 R' B2 R2 D2 B'
D U2 R' B2 R2 B' D
D U2 R' B2 R2 B' D'
D U2 R' B2 R2 B' D2
L2 D2 U2 R2 D' R' B
R2 D2 U2 L2 D' R' B
L2 D2 U2 B R D B2
D U2 R2 D R B R2
D U2 R2 D' R B R2
D U2 R2 D2 R B R2
D U2 R2 B' R B R'
L D2 U2 R2 D' R' B
L D2 U2 B R D B2
D U2 F' R' F B R
D U2 F' R' B F R
D U2 F' R2 F R B
L' D2 F2 D L' F U2
D' U2 B L R B' L'
