B' L2 U' R' B2
B D L2 F2 R
B' L2 R U' R2 B2
B' L2 R U' B2 R2
B' L2 R2 U' R B2
B' L2 R2 U' B2 R
B' L2 U' R B2 R2
B' L2 U' R' B2 D
B' L2 U' R' B2 D'
B' L2 U' R' B2 D2
B' L2 U' R2 B2 R
B' L2 D' R2 U' R
B' L2 F U' R' B2
B' L2 F' U' R' B2
B' L2 F2 U' R' B2
B' R L2 U' R2 B2
B' R L2 U' B2 R2
B R D L2 F2 R
B R' D L2 F2 R
B' R' B2 D L2 F2
B' R' B2 D F2 L2
B' R2 L2 U' R B2
B' R2 L2 U' B2 R
L2 U2 F U B R
B R2 D L2 F2 R
B U B2 L2 U' R'
B' U' R' B2 D F2
B D L2 R F2 R
B D L2 R' F2 R
B D L2 R2 F2 R
B D L2 F2 R D
B D L2 F2 R D'
B D L2 F2 R D2
B D L2 F2 D R
B D L2 F2 D' R
B D L2 F2 D2 R
B D R L2 F2 R
B D R' L2 F2 R
B D R2 L2 F2 R
B' F L2 U' R' B2
F' B D L2 F2 R
F2 B D L2 F2 R
B F D L2 F2 R
F B D L2 F2 R
R B' L2 U' R' B
F' B' L2 U' R' B2
B' F' L2 U' R' B2
F2 B' L2 U' R' B2
D B' U' R' F2 B2
D B' U' R' B2 F2
F B' L2 U' R' B2
D B' U' F2 R' B2
B F' D L2 F2 R
B' F2 L2 U' R' B2
B F2 D L2 F2 R
B F2 D L2 R' F2 R
B F2 D L2 R2 F2 R
B F2 D L2 F2 R D
B F2 D L2 F2 R D'
B F2 D L2 F2 R D2
B F2 D L2 F2 D R
B F2 D L2 F2 D' R
B F2 D L2 F2 D2 R
B F2 D R L2 F2 R
B F2 D R' L2 F2 R
B F2 D R2 L2 F2 R
