D' L R' F2 L2 B'
D' L' R F2 B R2
D' L' R B R2 F2
D' L' R B F2 R2
D L' R B R2 F'
U2 L' D' R' F2 B'
U2 L' D' R' B' F2
U2 L' D' F2 R' B'
D' L' F2 R B R2
R2 U L' R' B R2
R2 U R' L' B R2
R2 U R' B L' R2
R2 U R' B R2 L'
D' R L' F2 B R2
D' R L' B R2 F2
D' R L' B F2 R2
D R L' B R2 F'
L' U' R2 U R B
D' R B L' R2 F2
D' R B L' F2 R2
D' R B R2 L' F2
D R B L' R2 F'
D R B R2 L' F'
D' R' L F2 L2 B'
U' R2 U L' R B
U' R2 U R L' B
U' R2 U R B L'
U R2 U L' R B'
U R2 U L' B' R
U R2 U R L' B'
L' D R B R2 F'
L' D' R F2 B R2
L' D' R B R2 F2
L' D' R B F2 R2
U2 D' L' R' F2 B'
U2 D' L' R' B' F2
U2 D' L' F2 R' B'
L' D' F2 R B R2
U2 D' R' L' F2 B'
U2 D' R' L' B' F2
D' U2 L' R' F2 B'
D' U2 L' R' B' F2
D' U2 L' F2 R' B'
D' U2 R' L' F2 B'
D' U2 R' L' B' F2
F D R B R2 F' L'
F2 D B2 L R U2 B
F2 D B2 R L U2 B
B2 D B2 U2 L' R' B'
B2 D B2 U2 R' L' B'
L' F' U' R2 U R B
L' F' D R B R2 F'
L' F' D' R F2 B R2
L' F' D' R B R2 F2
L' F' D' R B F2 R2
B2 D' L2 F2 L R B
B2 D' L2 F2 R L B
L' F' D' F2 R B R2
F2 D' R U2 F2 B R2
F2 D' R U2 B R2 F2
F2 D' R U2 B F2 R2
F2 D' R' F2 D2 L2 B'
F2 D' U2 F2 L' R' B'
F2 D' U2 F2 R' L' B'
D' F2 R B R2 D2 L2
F2 D' F2 L' R B R2
F2 D' F2 R L' B R2
D' F2 R' U2 R2 U2 B
F2 D' F2 R B L' R2
F2 D' F2 R B R2 L'
D' F2 R' U2 F' R2 U2
D F2 R U2 B R2 F'
D F2 R B2 U2 R2 B'
D F2 R B2 U2 B' R2
D F2 R' D2 F2 L2 B'
L' F2 U' R2 U R B
R2 F2 U' L' R F' U2
R2 F2 U' R L' F' U2
L' F2 D R B R2 F'
L' F2 D' R F2 B R2
L' F2 D' R B R2 F2
L' F2 D' R B F2 R2
L' F2 D' F2 R B R2
U2 F2 D' F2 L' R' B'
U2 F2 D' F2 R' L' B'
D F2 B2 L R U2 B
D F2 B2 R L U2 B
U2 B L' D' F2 B' R'
U2 B L' D' B' R' F2
U2 B L' D' B' F2 R'
U2 B L' B' D' R' F2
U2 B L' B' D' F2 R'
R B L' R' D' R' F2
R B L' R' D' F2 R'
R B L' R2 U' R' U
R B L' U' R U R
R B R' L' D' R' F2
R B R' L' D' F2 R'
R B R' D' L' R' F2
R B R' D' L' F2 R'
R B R' D' R' L' F2
R2 B U L' R' B R2
R2 B U R' L' B R2
R B R2 L' U' R' U
R2 B U R' B L' R2
R2 B U R' B R2 L'
R B R2 U' R' U L'
R B U' R U L' R
R B U' R U R L'
U2 B D' L' F2 B' R'
U2 B D' L' B' R' F2
U2 B D' L' B' F2 R'
D' B' L' R F2 B R'
D' B' L' R B R' F2
D' B' L' R B F2 R'
D' B' L' F2 R B R'
D' B' R L' F2 B R'
D' B' R L' B R' F2
D' B' R L' B F2 R'
D' B' R B L' R' F2
D' B' R B L' F2 R'
D' B' R B R' L' F2
L' B' R B R' D' F2
R B' R U L' R B2
R B' R U L' B2 R
R B' R U R L' B2
R B' R U R B2 L'
R B' R U B2 L' R
R B' R U B2 R L'
R2 B' U L' R' B R2
R2 B' U R' L' B R2
R2 B' U R' B L' R2
R2 B' U R' B R2 L'
R B' R2 B2 L' D F2
R' B' D L' F D2 B2
D B2 L R U2 L2 B
D B2 L R U2 B L2
D B2 L R' F' U2 L2
D B2 L U2 L' B' L'
D' B2 L2 F2 L R B
D' B2 L2 F2 R L B
D B2 R L U2 L2 B
D B2 R L U2 B L2
L B2 L2 D' F2 R B
D B2 R' L F' U2 L2
R B2 R U R B' L'
R B2 R U B' L' R
R B2 R U B' R L'
R2 B2 U L' R' B R2
R2 B2 U R' L' B R2
R2 B2 U R' B L' R2
R2 B2 U R' B R2 L'
R B2 R2 B' D L' F
D B2 U2 L' D2 R2 B'
D B2 U2 L' D2 B' R2
D B2 U2 L' B' D2 R2
D B2 U2 B' L' B' R'
D B2 U2 B2 L' R' B'
D B2 U2 B2 R' L' B'
D B2 F2 L R U2 B
D B2 F2 R L U2 B
